"address","lon","lat"
"L 8 193 Macquarie St, Sydney NSW 2000",151.2120445,-33.8670835
"Suite 202 Level 2 139 Macquarie St, Sydney NSW 2000",151.2124013,-33.8644407
"Grace Hotel Ste 1 Lvl 1 77 York St, Sydney NSW 2000",151.2058908,-33.8689641
"2 Chifley Sq, Sydney NSW 2000",151.2117412,-33.8658605
"195 Mcquarie St, Sydney NSW 2000",151.2120209,-33.8671673
"Lvl 3 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"Lvl 5/ 650 George St, Sydney NSW 2000",151.1749161,-33.8612688
"341 George St, Sydney NSW 2000",151.2066123,-33.8672664
"Shop 9.01, World Square Shopping Centre, 644 George St,, Sydney NSW 2000",151.2068788,-33.8771813
"Shop 9.01 World Sq Shopng Cntr 644 George St, Sydney NSW 2000",151.2068788,-33.8771813
"suite 1/lvl 3 229-231 Macquarie St, Sydney NSW 2000",151.2118558,-33.8685664
"Level 7 235 MacQuarie St, Sydney NSW 2000",151.211798,-33.8687646
"Lvl 26/ 25 Bligh St, Sydney NSW 2000",151.2098724,-33.8652983
"195 Macquarie St, Sydney NSW 2000",151.2120209,-33.8671673
"Suite 15 Lvl 1 183 Macquarie St, Sydney NSW 2000",151.2121424,-33.8666132
"Suite 602/ 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Suite 2 Level 19 55 Market St, Sydney NSW 2000",151.2461694,-33.9066488
"Lvl 9/ 88 Pitt St, Sydney NSW 2000",151.2037933,-33.8924877
"Level 20/ 31 Market St, Sydney NSW 2052",151.2471613,-33.9049969
"Lvl 8/ suite 3 187 Macquarie St, City NSW 2000",150.9984402,-33.8140568
"8 Macquarie St, Sydney NSW 2001",151.2122169,-33.8681623
"33 York St, Sydney NSW 1026",151.2055071,-33.8661804
"Level 6/Gateway 1 Macquarie Pl, Circular Quay NSW 2000",151.209871,-33.8620702
"135 Macquarie St, City NSW 2000",151.2124146,-33.8642583
"580 George St, Sydney NSW 1026",151.2071479,-33.8747966
"Suite 3 Level 3 171 Bigge Street, Liverpool NSW 2170",150.926777,-33.921606
