"POA_CODE_2016","low_income","high_income","p_income","f_income","h_income","chinese_p","english_only_n","non_english_n","owner","rent","rental","rent_distress","repay","repay_distress","house","semi","unit"
2168,27.1716894977169,10.634703196347,2219,5714,5098,0,8779,4096,21.5853881278539,39.6465753424658,302.89497716895,17.4200913242009,1789.70776255708,11.1438356164384,80.4041095890411,7.60639269406393,11.8159817351598
2170,19.4903571428571,15.0571428571429,3441,9467,8695,0.81375,22683,9456,24.3235714285714,30.3971428571429,399.535714285714,13.5635714285714,2020.19642857143,13.1166071428571,76.3558928571429,11.2778571428571,11.9607142857143
2171,8.14324324324324,25.8108108108108,1397,4139,4255,0,6526,2229,20.9648648648649,16.6351351351351,500.72972972973,7.11081081081081,2223.18918918919,16.9378378378378,95.6972972972973,4.08378378378378,0
2173,6.3,25.7,910,2179,2172,2.9,3230,645,14.5,30.7,480,10.7,2167,11.6,80.8,19,0
2176,17.2647058823529,16.375,1393,4362,4385,0,4897,3960,39.0651960784314,23.3151960784314,404,11.0593137254902,2021.23039215686,10.7647058823529,87.1004901960784,11.5348039215686,1.1328431372549
2177,19.4745762711864,14.9898305084746,935,2798,2875,2.54915254237288,3848,3645,30.5203389830508,30.8559322033898,354.067796610169,15.4474576271186,1945.76271186441,11.8762711864407,85.9779661016949,13.3338983050847,0.379661016949152
2190,25.7,12.4,436,1334,1184,0,6223,5195,30.9,32.6,370,17.4,2058,12.6,64.5,28.9,5.8
2191,21.8,15.5,548,1675,1440,5.4,2672,1307,33.6,29.4,430,12.9,2378,10.7,67.4,25.1,6.6
2192,23.2,9.6,504,1339,1192,4.6,3512,3246,28.7,43.6,360,20.7,2000,8,48.3,10.3,40.6
2193,15.51875,27.3520833333333,1505,4375,3937,3.70208333333333,4541,1321,42.0791666666667,23.1604166666667,466.354166666667,9.36458333333333,2370.1875,6.31875,68.5333333333333,12.28125,16.7479166666667
2194,22.3,8.8,486,1274,1239,31.2,4382,6744,21.2,52.7,395,26.7,1742,8.4,23.1,11.3,65
2195,25.4701754385965,5.21754385964912,870,2162,2084,1.16771929824561,4210,6906,19.3985964912281,56.2540350877193,350,33.1161403508772,1632.84210526316,7.57298245614035,26.1501754385965,4.41087719298246,68.7214035087719
2197,24.9,12.2,469,1396,1225,1.8,3407,1723,31.8,32.1,380,16.1,2080,10.7,72,21,6.2
2199,25.3,10.7,467,1343,1203,2.8,5257,3780,30.1,34.5,380,19,2000,10.8,67.7,15.2,16.5
2200,20.7,14.9,489,1434,1392,0,3366,2412,35.9,26.2,450,14.3,2167,12.6,68.3,29.7,1
2204,16.3,23.8,793,2096,1814,1.7,14837,4102,24.2,45.2,450,16.7,2383,5.8,32.4,20.2,45.2
2205,16.1,19.6,621,1746,1789,15.5,919,500,23.1,42.9,570,18.7,2200,9.3,50.7,7.8,41
2206,15.8,25.2,681,2051,1824,0,8027,3411,44.6,20.2,500,7.6,2500,7.8,81.5,8.6,9.5
2207,18.6206611570248,19.4468319559229,2634,7775,6802,10.9933884297521,11245,5618,37.895041322314,24.763085399449,454.931129476584,11.331129476584,2192.33608815427,9.84325068870523,62.0396694214876,21.0691460055096,15.4809917355372
2208,19.7,19.9,588,1774,1564,14.7,4864,2701,42.4,24.9,480,10.5,2350,8.9,82.3,7.7,8.5
2209,25.4,13.1,527,1516,1308,30.6,1846,1254,26.4,40.8,350,19.8,2167,8.9,50.4,20.6,28.2
2210,11.4,33.4,784,2356,2168,5,4039,583,50.5,8.6,500,2.6,2600,8.4,94.6,4.4,0.7
2212,11,30,857,2363,2188,4.9,1134,182,36.2,16.1,510,5,2400,10.2,76.9,22.4,0
2213,18.8095833333333,21.71625,2097,6133,5168,5.42083333333333,14458,2465,35.5616666666667,24.7183333333333,421.741666666667,9.82083333333333,2292.24166666667,8.88416666666667,71.6429166666667,23.6054166666667,3.77125
2214,12.9,20.1,697,1985,1851,2.4,3195,265,45.1,9.4,500,3.7,2253,11.8,95.3,4.5,0
2216,16.352380952381,17.6186147186147,1967,5048,4715,11.2541125541126,5719,4713,27.7718614718615,38.2857142857143,476.666666666667,15.0290043290043,2197.80952380952,8.85151515151515,42.0926406926407,6.78831168831169,48.8545454545455
2217,14.7611111111111,26,2138,5892,5486,6.37777777777778,2882,951,40.4833333333333,23.4611111111111,529.333333333333,10.2777777777778,2472.22222222222,10.4055555555556,77.9944444444445,7.08888888888889,14.1444444444444
2218,17.6720379146919,15.3270142180095,1242,3221,3094,23.1981042654028,5329,3846,28.8791469194313,40.4616113744076,440,16.8488151658768,1997.34597156398,8.06398104265403,36.8620853080569,5.61943127962085,55.8227488151659
2219,19.7199004975124,19.7606965174129,2350,5912,4689,2.02238805970149,7444,2211,40.4666666666667,27.6029850746269,458.109452736318,12.7641791044776,2345.60696517413,8.5497512437811,46.6646766169154,24.718407960199,27.6597014925373
