POA_CODE_2016,low_income,high_income,p_income,f_income,h_income,chinese_p,english_only_n,non_english_n,owner,rent,rental,rent_distress,repay,repay_distress,house,semi,unit
2077,14.483653846153846,22.33629807692308,2371,6551,5998,14.758173076923073,17683,5038,27.340624999999996,34.396874999999994,486.03365384615387,14.296634615384615,2241.826923076923,8.396875,52.919711538461534,6.074278846153846,40.51514423076923
2079,9,34.2,828,2397,2268,4.3,5660,529,36.5,13.3,545,4.9,2400,8.7,95.2,4.1,0.3
2081,9.1,34.6,850,2511,2355,1.6,4030,243,36.4,12.3,550,3.4,2331,8.5,94,5.8,0
2082,9.5,29.300000000000004,824,2334,2138,0.9000000000000001,4719,200,39,11.400000000000002,550,4.3,2383,10.2,95.9,3,0.8
2084,9.4,39.5,817,2457,2391,0.4,2610,120,41.8,14.9,650,6.5,2890,8.6,90,2.8,2.8
2085,12.443750000000001,37.13263888888889,1635,5233,4747,2.5631944444444446,9376,745,45.488194444444446,8.334722222222222,834.9027777777778,3.0145833333333334,3000,7.905555555555556,82.69027777777778,15.958333333333334,0.9027777777777778
2086,9.8,40.1,863,2639,2514,3.6999999999999997,10876,917,39.2,12.9,760,5.1,3000,10.1,93.3,4.7,1.6
2087,17.2,36.2,767,2556,2151,5.300000000000001,6209,755,39.3,19,600,8.2,2817,7.5,80.9,7.6000000000000005,11
2088,10.7,44.9,1295,3671,2522,3.1,22190,2202,36.3,34.3,560,13.7,3000,6.1,35.4,12.1,51.7
2089,10.4,37.3,1356,3098,2301,5,7307,1203,23.5,52.9,550,15.3,2500,4.5,7.3,11.1,81
2092,8.4,54.2,1062,3672,3384,3.3000000000000003,5891,448,39.6,16.6,780,7.1,3700,10.2,85.9,9,4.7
2093,8.477586206896552,56.48793103448276,3261,11468,10589,1.9017241379310348,7550,420,44.643103448275866,10.880172413793105,994.3362068965517,5.037068965517241,3918.405172413793,8.693103448275863,93.7344827586207,3.8060344827586206,2.0146551724137933
2095,12.4,42.8,1280,3277,2449,0,11811,1385,26.6,51,650,16.7,2882,3.8,11.3,11.1,76.9
2096,12.5,45.5,1031,3178,2693,0,2005,89,36.7,23.3,620,9.4,3100,7.6,70.8,8,16.2
2097,12.4,31.2,955,2483,2115,1.2,6340,498,33.3,30.1,530,11.6,2500,7.2,41.7,4.5,52.7
2099,15.606042884990252,23.317153996101364,3217,9266,8059,2.249317738791423,27734,4265,27.409941520467836,34.68460038986355,506.7368421052632,15.48674463937622,2447.0526315789475,8.310721247563352,43.339766081871346,6.344249512670565,49.686744639376215
2100,12.806382978723404,32.374468085106386,3357,9989,8991,3.448581560283688,16113,1651,30.809574468085103,23.868439716312057,581.4609929078014,10.431205673758864,2717.241134751773,9.879432624113475,65.74078014184397,9.789716312056736,23.195744680851064
2101,14.271370967741936,28.153629032258067,3447,9445,8390,0.2782258064516129,16462,943,34.563709677419354,26.772983870967742,563.7701612903226,11.127822580645162,2640.391129032258,7.905241935483871,54.733467741935485,8.505645161290323,34.057661290322585
