,"Both employed, worked full-time","Both employed, worked part-time","One employed full-time, one part-time","One employed full-time, other not working","One employed part-time, other not working",Both not working,Other,Labour force status not stated,"Both employed, worked full-time (%)","Both employed, worked part-time (%)","One employed full-time, one part-time (%)","One employed full-time, other not working (%)","One employed part-time, other not working (%)",Both not working (%),Other (%),Labour force status not stated (%)
West Wollongong,171.0,33.0,219.0,151.0,42.0,238.0,47.0,42.0,18.1,3.5,23.2,16.0,4.5,25.2,5.0,4.5
Westleigh,228.0,49.0,321.0,178.0,67.0,195.0,63.0,81.0,19.3,4.1,27.2,15.1,5.7,16.5,5.3,6.9
Westmead,850.0,92.0,411.0,989.0,163.0,351.0,158.0,147.0,26.9,2.9,13.0,31.3,5.2,11.1,5.0,4.7
Wetherill Park,254.0,35.0,218.0,276.0,79.0,392.0,70.0,83.0,18.1,2.5,15.5,19.6,5.6,27.9,5.0,5.9
Whalan,120.0,21.0,94.0,171.0,46.0,306.0,57.0,62.0,13.7,2.4,10.7,19.5,5.2,34.9,6.5,7.1
Whitebridge,105.0,18.0,168.0,87.0,31.0,127.0,30.0,45.0,17.2,2.9,27.5,14.2,5.1,20.8,4.9,7.4
Wickham (NSW),49.0,10.0,29.0,22.0,10.0,21.0,10.0,10.0,30.4,6.2,18.0,13.7,6.2,13.0,6.2,6.2
Wiley Park,202.0,70.0,180.0,509.0,246.0,468.0,101.0,118.0,10.7,3.7,9.5,26.9,13.0,24.7,5.3,6.2
Willmot,33.0,5.0,39.0,76.0,29.0,120.0,29.0,24.0,9.3,1.4,11.0,21.4,8.2,33.8,8.2,6.8
Willoughby (NSW),339.0,43.0,320.0,262.0,47.0,160.0,75.0,76.0,25.6,3.3,24.2,19.8,3.6,12.1,5.7,5.7
Willoughby East,84.0,16.0,119.0,87.0,27.0,45.0,25.0,23.0,19.7,3.8,27.9,20.4,6.3,10.6,5.9,5.4
Windale,38.0,9.0,48.0,53.0,35.0,193.0,18.0,29.0,9.0,2.1,11.3,12.5,8.3,45.6,4.3,6.9
Windang,54.0,19.0,102.0,54.0,33.0,274.0,27.0,40.0,9.0,3.2,16.9,9.0,5.5,45.4,4.5,6.6
Winmalee,367.0,53.0,434.0,282.0,66.0,222.0,111.0,80.0,22.7,3.3,26.9,17.5,4.1,13.7,6.9,5.0
Winston Hills,664.0,97.0,655.0,410.0,154.0,539.0,148.0,148.0,23.6,3.4,23.3,14.6,5.5,19.1,5.3,5.3
Wollongong,572.0,121.0,447.0,417.0,191.0,848.0,163.0,191.0,19.4,4.1,15.2,14.1,6.5,28.7,5.5,6.5
Wollstonecraft,713.0,53.0,321.0,299.0,70.0,190.0,102.0,115.0,38.3,2.8,17.2,16.0,3.8,10.2,5.5,6.2
Wombarra,46.0,18.0,52.0,25.0,13.0,29.0,18.0,11.0,21.7,8.5,24.5,11.8,6.1,13.7,8.5,5.2
Woodbine (NSW),140.0,17.0,113.0,125.0,43.0,95.0,38.0,34.0,23.1,2.8,18.7,20.7,7.1,15.7,6.3,5.6
Woodcroft (NSW),618.0,35.0,265.0,295.0,60.0,153.0,86.0,59.0,39.3,2.2,16.9,18.8,3.8,9.7,5.5,3.8
Woodpark,60.0,5.0,57.0,53.0,16.0,66.0,25.0,21.0,19.8,1.7,18.8,17.5,5.3,21.8,8.3,6.9
Woodrising,52.0,3.0,75.0,50.0,19.0,30.0,15.0,7.0,20.7,1.2,29.9,19.9,7.6,12.0,6.0,2.8
Woollahra,412.0,62.0,273.0,284.0,91.0,184.0,83.0,104.0,27.6,4.2,18.3,19.0,6.1,12.3,5.6,7.0
Woolloomooloo,194.0,24.0,62.0,69.0,19.0,89.0,26.0,39.0,37.2,4.6,11.9,13.2,3.6,17.0,5.0,7.5
Woolooware,209.0,37.0,281.0,135.0,53.0,160.0,44.0,63.0,21.3,3.8,28.6,13.7,5.4,16.3,4.5,6.4
Woolwich,34.0,16.0,40.0,34.0,12.0,39.0,11.0,6.0,17.7,8.3,20.8,17.7,6.2,20.3,5.7,3.1
Woonona,455.0,70.0,678.0,364.0,96.0,601.0,150.0,133.0,17.9,2.7,26.6,14.3,3.8,23.6,5.9,5.2
Woronora,141.0,22.0,149.0,59.0,31.0,81.0,41.0,25.0,25.7,4.0,27.1,10.7,5.6,14.8,7.5,4.6
Woronora Heights,207.0,24.0,269.0,102.0,24.0,54.0,41.0,34.0,27.4,3.2,35.6,13.5,3.2,7.2,5.4,4.5
Woy Woy,271.0,59.0,357.0,288.0,104.0,670.0,117.0,120.0,13.6,3.0,18.0,14.5,5.2,33.7,5.9,6.0
Woy Woy Bay,16.0,7.0,26.0,17.0,6.0,20.0,5.0,12.0,14.7,6.4,23.9,15.6,5.5,18.3,4.6,11.0
Wyoming,353.0,67.0,417.0,317.0,102.0,504.0,118.0,102.0,17.8,3.4,21.1,16.0,5.2,25.5,6.0,5.2
Wyong,90.0,32.0,85.0,106.0,55.0,223.0,37.0,33.0,13.6,4.8,12.9,16.0,8.3,33.7,5.6,5.0
Wyongah,83.0,12.0,107.0,69.0,22.0,85.0,38.0,16.0,19.2,2.8,24.8,16.0,5.1,19.7,8.8,3.7
Yagoona,528.0,94.0,395.0,601.0,271.0,915.0,167.0,167.0,16.8,3.0,12.6,19.2,8.6,29.2,5.3,5.3
Yarrawarrah,178.0,30.0,238.0,96.0,42.0,112.0,51.0,44.0,22.5,3.8,30.1,12.1,5.3,14.2,6.4,5.6
Yattalunga (NSW),20.0,4.0,35.0,22.0,6.0,26.0,6.0,4.0,16.3,3.3,28.5,17.9,4.9,21.1,4.9,3.3
Yennora,22.0,6.0,19.0,52.0,15.0,94.0,13.0,19.0,9.2,2.5,7.9,21.7,6.2,39.2,5.4,7.9
Yowie Bay,145.0,35.0,208.0,107.0,40.0,173.0,47.0,46.0,18.1,4.4,26.0,13.4,5.0,21.6,5.9,5.7
Zetland,352.0,22.0,123.0,102.0,30.0,80.0,42.0,42.0,44.4,2.8,15.5,12.9,3.8,10.1,5.3,5.3
