,Greek,Macedonian,Gaelic (Scotland,Irish,Welsh,&nbsp;,English only spoken at home,Households where a non English language is spoken,"Celtic, nec",German,Punjabi,French,Cantonese,Serbian,Tagalog,Spanish,Italian,Dutch,Croatian,Hindi,Nepali,Bengali,Mandarin,Telugu,Vietnamese,Polish,Afrikaans,Key Word Sign Australia,Arabic,Finnish,Portuguese,Czech,Japanese,Malayalam,Korean,Hakka,Burmese,Thai,Maltese,Sinhalese,Russian,Danish,Turkish,Swedish,Indonesian,Filipino,Urdu,Slovak,Hebrew,Hungarian,"Non-verbal, so described",Ukrainian,Bisaya,Maori (Cook Island,Tok Pisin (Neomelanesian,Persian (excluding Dari,Auslan,Norwegian,Khmer,Samoan,Tongan,Invented Languages,Min Nan,Marathi,Fijian,Bislama,Maori (New Zealand,Shona,Lao,Dari,Tamil,Kurdish,Gujarati,"Aboriginal English, so described",Wiradjuri,Romanian,Malay,Estonian,Latin,Bosnian,"Swiss, so described","Other Australian Indigenous Languages, nec",Gumbaynggir,Chin Haka,Dinka,Slovene,Hazaraghi,Cebuano,Dhanggatti,"African Languages, nec",Kuuku-Ya'u,Yoruba,Latvian,Kirundi (Rundi,Assyrian Neo-Aramaic,Yankunytjatjara,"Serbo-Croatian/Yugoslavian, so described",Norf'k-Pitcairn,Gilbertese,Armenian,Paakantyi,Catalan,IIokano,Akan,Swahili,Bandjalang,Githabul,Gamilaraay,Rohingya,Pashto,Somali,Luritja,Krio,"Burmese and Related Languages, nec",Bulgarian,Tibetan,Chaldean Neo-Aramaic,Dharawal,Mongolian,Tokelauan,Karen,Greek (%),Macedonian (%),Gaelic (Scotland (%),Irish (%),Welsh (%),&nbsp; (%),English only spoken at home (%),Households where a non English language is spoken (%),"Celtic, nec (%)",German (%),Punjabi (%),French (%),Cantonese (%),Serbian (%),Tagalog (%),Spanish (%),Italian (%),Dutch (%),Croatian (%),Hindi (%),Nepali (%),Bengali (%),Mandarin (%),Telugu (%),Vietnamese (%),Polish (%),Afrikaans (%),Key Word Sign Australia (%),Arabic (%),Finnish (%),Portuguese (%),Czech (%),Japanese (%),Malayalam (%),Korean (%),Hakka (%),Burmese (%),Thai (%),Maltese (%),Sinhalese (%),Russian (%),Danish (%),Turkish (%),Swedish (%),Indonesian (%),Filipino (%),Urdu (%),Slovak (%),Hebrew (%),Hungarian (%),"Non-verbal, so described (%)",Ukrainian (%),Bisaya (%),Maori (Cook Island (%),Tok Pisin (Neomelanesian (%),Persian (excluding Dari (%),Auslan (%),Norwegian (%),Khmer (%),Samoan (%),Tongan (%),Invented Languages (%),Min Nan (%),Marathi (%),Fijian (%),Bislama (%),Maori (New Zealand (%),Shona (%),Lao (%),Dari (%),Tamil (%),Kurdish (%),Gujarati (%),"Aboriginal English, so described (%)",Wiradjuri (%),Romanian (%),Malay (%),Estonian (%),Latin (%),Bosnian (%),"Swiss, so described (%)","Other Australian Indigenous Languages, nec (%)",Gumbaynggir (%),Chin Haka (%),Dinka (%),Slovene (%),Hazaraghi (%),Cebuano (%),Dhanggatti (%),"African Languages, nec (%)",Kuuku-Ya'u (%),Yoruba (%),Latvian (%),Kirundi (Rundi (%),Assyrian Neo-Aramaic (%),Yankunytjatjara (%),"Serbo-Croatian/Yugoslavian, so described (%)",Norf'k-Pitcairn (%),Gilbertese (%),Armenian (%),Paakantyi (%),Catalan (%),IIokano (%),Akan (%),Swahili (%),Bandjalang (%),Githabul (%),Gamilaraay (%),Rohingya (%),Pashto (%),Somali (%),Luritja (%),Krio (%),"Burmese and Related Languages, nec (%)",Bulgarian (%),Tibetan (%),Chaldean Neo-Aramaic (%),Dharawal (%),Mongolian (%),Tokelauan (%),Karen (%),SSC_CODE
Carwoola,,,,,,&nbsp;,"1,235",47,,13,,5,,,,7,8,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,87.2,9.6,,0.9,,0.4,,,,0.5,0.6,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10841
Hoskinstown,,,0,0,0,&nbsp;,162,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,87.6,7.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11944
Captains Flat,,3,,,,&nbsp;,525,21,,,,,3,,,,,,,,,,5,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,&nbsp;,87.6,8.0,,,,,0.5,,,,,,,,,,0.8,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10804
Burra (Queanbeyan-Palerang Regional - NSW),,3,0,,,&nbsp;,684,14,,,,8,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.0,,,&nbsp;,86.8,5.1,,,,1.0,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10697
Mount Fairy,,,0,0,0,&nbsp;,191,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,95.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12758
Mulloon,,,0,0,0,&nbsp;,118,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,83.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12827
Royalla,,,,,,&nbsp;,863,28,,,,,,7,,,18,,,,,,,,,,4,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,87.4,9.4,,,,,,0.7,,,1.8,,,,,,,,,,0.4,,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13434
Primrose Valley,,,0,0,0,&nbsp;,128,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,88.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13265
Urila,,,0,0,0,&nbsp;,97,3,0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,68.8,6.7,0.0,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14059
Tarago,3,,0,,,&nbsp;,370,6,,,,,,,,,,4,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.0,,,&nbsp;,87.1,4.0,,,,,,,,,,0.9,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13758
Currawang,,,0,0,0,&nbsp;,146,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,78.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11177
Googong,,29,,,,&nbsp;,"2,098",155,,,26,,,,32,,48,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,&nbsp;,78.2,18.5,,,1.0,,,,1.2,,1.8,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11704
Wamboin,,,,,,&nbsp;,"1,480",49,,4,,,,,,6,9,7,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,87.7,8.5,,0.2,,,,,,0.4,0.5,0.4,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14123
Bywong,,,,,,&nbsp;,"1,188",35,,,,7,,,,4,7,4,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,89.7,7.2,,,,0.5,,,,0.3,0.5,0.3,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10735
Michelago,,4,,,,&nbsp;,494,14,,8,,3,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,&nbsp;,89.0,7.4,,1.4,,0.5,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12598
Jerrabomberra,,166,,,,&nbsp;,"8,215",496,,,,,,,,,117,,49,40,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,&nbsp;,86.7,16.1,,,,,,,,,1.2,,0.5,0.4,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12016
Queanbeyan West,,68,,,,&nbsp;,"2,573",173,,,24,,,25,,,26,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,&nbsp;,82.6,14.4,,,0.8,,,0.8,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13293
Delegate,,,0,0,0,&nbsp;,315,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,91.0,2.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11233
Bombala,5,,,,,&nbsp;,"1,243",25,,,,,,,,,5,,,,,,,,,,,,,,,,,,17,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,&nbsp;,89.9,4.2,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,1.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10455
Cathcart (NSW),,,0,0,0,&nbsp;,102,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,90.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10855
Cooma (NSW),25,,,,,&nbsp;,"5,519",262,,63,,,,,,,51,,,,,,31,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,&nbsp;,82.5,9.1,,0.9,,,,,,,0.8,,,,,,0.5,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11036
Kosciuszko National Park,,,,,,&nbsp;,381,30,,6,,,,,,3,,3,,,,,6,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,69.1,4.8,,1.1,,,,,,0.5,,0.5,,,,,1.1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12199
Adaminaby,3,,0,0,0,&nbsp;,280,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,&nbsp;,92.7,7.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10015
Nimmitabel,,,0,0,0,&nbsp;,306,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,96.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12966
Numeralla,,,0,0,0,&nbsp;,211,3,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,80.8,3.0,0.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13039
Colinton (NSW),,,0,0,,&nbsp;,111,3,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,85.4,6.5,,2.3,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10968
Dairymans Plains,,,0,0,0,&nbsp;,140,4,,,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,94.6,6.3,,,,,,,,,,2.0,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11188
Binjura,,,0,0,0,&nbsp;,288,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,89.2,5.8,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10370
Bunyan,,,0,0,0,&nbsp;,144,5,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,96.0,7.7,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10691
Bredbo,3,,0,0,0,&nbsp;,311,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.0,0.0,0.0,&nbsp;,88.9,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10559
Berridale,,3,,,,&nbsp;,"1,088",29,,11,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,&nbsp;,91.5,5.6,,0.9,,,,,,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10316
Kalkite,,,,,,&nbsp;,177,10,,3,,,,,,,8,,,,,,,,,,,,,,,,,,,,,4,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,84.3,12.3,,1.4,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,1.9,,,1.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12052
Crackenback,,,0,0,,&nbsp;,154,7,,4,,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,79.4,7.2,,2.1,,2.1,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11103
Jindabyne,,,,,,&nbsp;,"2,199",102,,32,,18,,,,,13,,,,,,26,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,83.7,6.9,,1.2,,0.7,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12030
East Jindabyne,,,,,,&nbsp;,623,19,,9,,5,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,90.2,6.5,,1.3,,0.7,,0.4,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11352
Dalgety,,,0,0,0,&nbsp;,196,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,96.1,2.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11190
Moonbah,,,0,0,,&nbsp;,528,9,,,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,93.0,4.3,,,,0.9,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12698
Catalina,,,,,,&nbsp;,"2,111",52,,7,,,,,,5,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,91.0,5.4,,0.3,,,,,,0.2,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10853
Batemans Bay,,,,,,&nbsp;,"1,291",46,,6,,,,,,,,4,,,,,6,,,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,84.9,5.8,,0.4,,,,,,,,0.3,,,,,0.4,,,0.3,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10229
Nelligen,,,0,0,,&nbsp;,301,9,,3,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,90.4,6.2,,0.9,,,,,,,0.9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12920
Long Beach,,,,,,&nbsp;,"1,312",35,,,4,5,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,91.9,6.3,,,0.3,0.4,,,,0.3,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12376
