,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Bateau Bay,4662.0,355.0,1033.0,987.0,2927.0,46.8,3.6,10.4,9.9,29.4,10227
Killarney Vale,2398.0,275.0,635.0,426.0,2042.0,41.5,4.8,11.0,7.4,35.4,12131
Blue Haven,2089.0,232.0,477.0,213.0,1808.0,43.3,4.8,9.9,4.4,37.5,10415
San Remo (NSW),1317.0,170.0,369.0,168.0,1377.0,38.7,5.0,10.8,4.9,40.5,13470
Doyalson,95.0,19.0,34.0,15.0,98.0,36.4,7.3,13.0,5.7,37.5,11286
Buff Point,1335.0,126.0,324.0,194.0,877.0,46.7,4.4,11.3,6.8,30.7,10645
Budgewoi,1152.0,148.0,333.0,233.0,927.0,41.2,5.3,11.9,8.3,33.2,10642
Halekulani,943.0,102.0,310.0,185.0,603.0,44.0,4.8,14.5,8.6,28.1,11830
Glenning Valley,886.0,39.0,135.0,66.0,488.0,54.9,2.4,8.4,4.1,30.2,11672
Berkeley Vale,3058.0,287.0,661.0,425.0,2203.0,46.1,4.3,10.0,6.4,33.2,10304
Chittaway Point,380.0,29.0,79.0,31.0,258.0,48.9,3.7,10.2,4.0,33.2,10912
Chittaway Bay,765.0,71.0,182.0,93.0,519.0,46.9,4.4,11.2,5.7,31.8,10911
Kanwal,1367.0,135.0,381.0,438.0,1054.0,40.5,4.0,11.3,13.0,31.2,12067
Wyongah,726.0,79.0,148.0,70.0,559.0,45.9,5.0,9.4,4.4,35.3,14448
Tuggerawong,447.0,35.0,113.0,72.0,377.0,42.8,3.4,10.8,6.9,36.1,13951
Rocky Point (NSW),111.0,13.0,15.0,11.0,62.0,52.4,6.1,7.1,5.2,29.2,13388
Gorokan,2598.0,363.0,971.0,511.0,2420.0,37.9,5.3,14.1,7.4,35.3,11721
Charmhaven,779.0,82.0,239.0,132.0,795.0,38.4,4.0,11.8,6.5,39.2,10889
Lake Haven,1223.0,138.0,395.0,376.0,936.0,39.9,4.5,12.9,12.3,30.5,12247
Jilliby,772.0,34.0,77.0,33.0,391.0,59.1,2.6,5.9,2.5,29.9,12027
Yarramalong,151.0,11.0,17.0,6.0,79.0,57.2,4.2,6.4,2.3,29.9,14475
Cedar Brush Creek,40.0,0.0,12.0,3.0,21.0,52.6,0.0,15.8,3.9,27.6,10867
Wyong Creek,203.0,7.0,38.0,10.0,116.0,54.3,1.9,10.2,2.7,31.0,14447
Dooralong,135.0,15.0,30.0,10.0,122.0,43.3,4.8,9.6,3.2,39.1,11276
Lake Munmorah,2175.0,181.0,485.0,325.0,1234.0,49.4,4.1,11.0,7.4,28.0,12253
Chain Valley Bay,1132.0,58.0,250.0,199.0,480.0,53.4,2.7,11.8,9.4,22.7,10880
Kingfisher Shores,70.0,3.0,9.0,3.0,43.0,54.7,2.3,7.0,2.3,33.6,12146
Mannering Park,806.0,112.0,241.0,111.0,735.0,40.2,5.6,12.0,5.5,36.7,12477
Doyalson North,190.0,14.0,54.0,70.0,52.0,50.0,3.7,14.2,18.4,13.7,11287
Ourimbah,1505.0,108.0,300.0,124.0,1087.0,48.2,3.5,9.6,4.0,34.8,13103
Fountaindale,344.0,21.0,51.0,20.0,148.0,58.9,3.6,8.7,3.4,25.3,11554
Palm Grove (NSW),53.0,3.0,7.0,6.0,27.0,55.2,3.1,7.3,6.2,28.1,13133
Gwandalan,1320.0,112.0,309.0,139.0,789.0,49.5,4.2,11.6,5.2,29.6,11824
Summerland Point,982.0,93.0,225.0,146.0,589.0,48.3,4.6,11.1,7.2,28.9,13690
Long Jetty,1953.0,259.0,796.0,426.0,1850.0,37.0,4.9,15.1,8.1,35.0,12378
Shelly Beach (NSW),578.0,26.0,94.0,84.0,306.0,53.1,2.4,8.6,7.7,28.1,13535
Blue Bay,406.0,43.0,130.0,51.0,253.0,46.0,4.9,14.7,5.8,28.7,10414
Toowoon Bay,221.0,21.0,66.0,49.0,112.0,47.1,4.5,14.1,10.4,23.9,13916
The Entrance North,512.0,74.0,149.0,75.0,447.0,40.7,5.9,11.9,6.0,35.6,13819
Magenta (NSW),118.0,6.0,15.0,6.0,38.0,64.5,3.3,8.2,3.3,20.8,12441
The Entrance,1105.0,233.0,564.0,276.0,1255.0,32.2,6.8,16.4,8.0,36.6,13818
Toukley,1422.0,196.0,572.0,421.0,1275.0,36.6,5.0,14.7,10.8,32.8,13925
Canton Beach,356.0,72.0,205.0,150.0,246.0,34.6,7.0,19.9,14.6,23.9,10798
Noraville,1009.0,108.0,259.0,189.0,821.0,42.3,4.5,10.9,7.9,34.4,12974
Norah Head,554.0,26.0,69.0,82.0,230.0,57.6,2.7,7.2,8.5,23.9,12973
Kangy Angy,127.0,12.0,27.0,12.0,73.0,50.6,4.8,10.8,4.8,29.1,12064
Tuggerah,311.0,34.0,74.0,39.0,275.0,42.4,4.6,10.1,5.3,37.5,13950
Wyong,1380.0,192.0,494.0,269.0,1280.0,38.2,5.3,13.7,7.4,35.4,14446
Mardi,1466.0,98.0,260.0,146.0,888.0,51.3,3.4,9.1,5.1,31.1,12488
Tacoma South,89.0,11.0,29.0,12.0,78.0,40.6,5.0,13.2,5.5,35.6,13725
Hamlyn Terrace,2406.0,166.0,341.0,300.0,1418.0,52.0,3.6,7.4,6.5,30.6,11843
Woongarrah,2161.0,127.0,289.0,145.0,1120.0,56.2,3.3,7.5,3.8,29.2,14415
Warnervale,250.0,17.0,52.0,17.0,159.0,50.5,3.4,10.5,3.4,32.1,14154
Wallarah,131.0,0.0,26.0,11.0,99.0,49.1,0.0,9.7,4.1,37.1,14109
Wadalba,980.0,87.0,223.0,74.0,723.0,47.0,4.2,10.7,3.5,34.6,14080
Watanobbi,1164.0,131.0,334.0,144.0,1234.0,38.7,4.4,11.1,4.8,41.0,14181
Tacoma,261.0,3.0,55.0,14.0,166.0,52.3,0.6,11.0,2.8,33.3,13724
Llanarth (NSW),1004.0,43.0,108.0,60.0,487.0,59.0,2.5,6.3,3.5,28.6,12362
South Bathurst,503.0,46.0,126.0,117.0,506.0,38.8,3.5,9.7,9.0,39.0,13577
Bathurst,1872.0,261.0,652.0,437.0,2807.0,31.0,4.3,10.8,7.2,46.6,10231
Robin Hill,502.0,3.0,32.0,24.0,180.0,67.7,0.4,4.3,3.2,24.3,13375
West Bathurst,1095.0,120.0,307.0,201.0,1157.0,38.0,4.2,10.7,7.0,40.2,14241
Mitchell (NSW),188.0,26.0,36.0,19.0,1021.0,14.6,2.0,2.8,1.5,79.1,12650
Gormans Hill,196.0,22.0,80.0,117.0,237.0,30.1,3.4,12.3,17.9,36.3,11720
Abercrombie,505.0,15.0,66.0,23.0,221.0,60.8,1.8,8.0,2.8,26.6,10004
Eglinton (NSW),960.0,35.0,116.0,70.0,541.0,55.7,2.0,6.7,4.1,31.4,11386
Windradyne,1006.0,103.0,223.0,166.0,784.0,44.1,4.5,9.8,7.3,34.4,14324
Raglan (NSW),481.0,36.0,58.0,38.0,291.0,53.2,4.0,6.4,4.2,32.2,13304
White Rock (NSW),361.0,9.0,29.0,11.0,164.0,62.9,1.6,5.1,1.9,28.6,14275
Kelso (NSW),3239.0,245.0,542.0,359.0,2421.0,47.6,3.6,8.0,5.3,35.6,12090
O'Connell (NSW),256.0,11.0,42.0,19.0,114.0,57.9,2.5,9.5,4.3,25.8,13052
Brewongle,71.0,3.0,3.0,11.0,20.0,65.7,2.8,2.8,10.2,18.5,10564
Trunkey Creek,59.0,0.0,15.0,6.0,17.0,60.8,0.0,15.5,6.2,17.5,13942
Perthville,260.0,7.0,38.0,21.0,172.0,52.2,1.4,7.6,4.2,34.5,13189
Sofala,42.0,4.0,24.0,13.0,22.0,40.0,3.8,22.9,12.4,21.0,13569
Wattle Flat (NSW),101.0,18.0,37.0,15.0,61.0,43.5,7.8,15.9,6.5,26.3,14191
Peel,134.0,3.0,14.0,6.0,47.0,65.7,1.5,6.9,2.9,23.0,13174
Limekilns,48.0,0.0,4.0,3.0,36.0,52.7,0.0,4.4,3.3,39.6,12330
Clear Creek,70.0,0.0,6.0,3.0,25.0,67.3,0.0,5.8,2.9,24.0,10925
Rockley,67.0,3.0,23.0,13.0,52.0,42.4,1.9,14.6,8.2,32.9,13380
Georges Plains,114.0,3.0,15.0,8.0,56.0,58.2,1.5,7.7,4.1,28.6,11602
Duramana,110.0,6.0,19.0,4.0,35.0,63.2,3.4,10.9,2.3,20.1,11330
Billywillinga,98.0,10.0,10.0,3.0,43.0,59.8,6.1,6.1,1.8,26.2,10357
Mount Rankin,181.0,9.0,25.0,10.0,77.0,59.9,3.0,8.3,3.3,25.5,12786
Rock Forest,96.0,0.0,21.0,4.0,46.0,57.5,0.0,12.6,2.4,27.5,13377
Evans Plains,81.0,6.0,5.0,3.0,25.0,67.5,5.0,4.2,2.5,20.8,11470
The Lagoon,105.0,0.0,11.0,3.0,41.0,65.6,0.0,6.9,1.9,25.6,13828
Wisemans Creek,43.0,0.0,13.0,4.0,34.0,45.7,0.0,13.8,4.3,36.2,14343
Yetholme,113.0,10.0,26.0,3.0,31.0,61.7,5.5,14.2,1.6,16.9,14513
Meadow Flat,157.0,10.0,24.0,6.0,53.0,62.8,4.0,9.6,2.4,21.2,12549
Tarana,89.0,6.0,16.0,3.0,23.0,65.0,4.4,11.7,2.2,16.8,13760
Glanmire (NSW),89.0,6.0,11.0,3.0,26.0,65.9,4.4,8.1,2.2,19.3,11640
Napoleon Reef,83.0,4.0,11.0,8.0,28.0,61.9,3.0,8.2,6.0,20.9,12893
Oberon,1243.0,100.0,240.0,216.0,857.0,46.8,3.8,9.0,8.1,32.3,13068
Black Springs (NSW),93.0,10.0,19.0,10.0,53.0,50.3,5.4,10.3,5.4,28.6,10389
Condobolin,1182.0,79.0,211.0,223.0,1008.0,43.7,2.9,7.8,8.3,37.3,11002
Tullamore,213.0,13.0,28.0,39.0,70.0,58.7,3.6,7.7,10.7,19.3,13954
Lake Cargelligo,565.0,39.0,52.0,101.0,395.0,49.0,3.4,4.5,8.8,34.3,12242
Tullibigeal,109.0,3.0,16.0,13.0,49.0,57.4,1.6,8.4,6.8,25.8,13957
Ungarie,232.0,13.0,38.0,46.0,111.0,52.7,3.0,8.6,10.5,25.2,14011
Euabalong,69.0,3.0,10.0,3.0,45.0,53.1,2.3,7.7,2.3,34.6,11449
Fifield,62.0,0.0,3.0,7.0,24.0,64.6,0.0,3.1,7.3,25.0,11514
Tottenham (NSW),202.0,11.0,52.0,37.0,80.0,52.9,2.9,13.6,9.7,20.9,13923
Cowra,3855.0,310.0,795.0,722.0,2579.0,46.7,3.8,9.6,8.7,31.2,11099
Canowindra,894.0,78.0,185.0,191.0,471.0,49.1,4.3,10.2,10.5,25.9,10796
Woodstock (Cowra - NSW),278.0,38.0,85.0,42.0,158.0,46.3,6.3,14.1,7.0,26.3,14394
Gooloogong,155.0,14.0,36.0,31.0,92.0,47.3,4.3,11.0,9.5,28.0,11709
Mandurama,160.0,16.0,40.0,16.0,74.0,52.3,5.2,13.1,5.2,24.2,12467
Wattamondara,83.0,6.0,22.0,8.0,56.0,47.4,3.4,12.6,4.6,32.0,14190
Darbys Falls,108.0,8.0,22.0,6.0,73.0,49.8,3.7,10.1,2.8,33.6,11205
Billimari,61.0,3.0,9.0,4.0,35.0,54.5,2.7,8.0,3.6,31.2,10354
Moorbel,87.0,3.0,15.0,15.0,49.0,51.5,1.8,8.9,8.9,29.0,12709
Forbes (NSW),3152.0,283.0,555.0,562.0,2191.0,46.7,4.2,8.2,8.3,32.5,11536
Eugowra,362.0,33.0,64.0,53.0,147.0,54.9,5.0,9.7,8.0,22.3,11454
Warroo (NSW),60.0,0.0,3.0,3.0,32.0,61.2,0.0,3.1,3.1,32.7,14175
Bedgerabong,58.0,0.0,12.0,12.0,30.0,51.8,0.0,10.7,10.7,26.8,10247
Grenfell,1110.0,93.0,210.0,214.0,536.0,51.3,4.3,9.7,9.9,24.8,11776
Greenethorpe,107.0,16.0,15.0,10.0,45.0,55.4,8.3,7.8,5.2,23.3,11760
Quandialla,92.0,3.0,6.0,15.0,43.0,57.9,1.9,3.8,9.4,27.0,13290
Caragabal,93.0,3.0,16.0,0.0,24.0,68.4,2.2,11.8,0.0,17.6,10806
Parkes (NSW),4190.0,311.0,775.0,710.0,3022.0,46.5,3.5,8.6,7.9,33.5,13151
Cookamidgera,53.0,8.0,24.0,4.0,43.0,40.2,6.1,18.2,3.0,32.6,11016
Peak Hill (NSW),397.0,47.0,98.0,85.0,316.0,42.1,5.0,10.4,9.0,33.5,13166
Trundle,272.0,25.0,54.0,47.0,167.0,48.1,4.4,9.6,8.3,29.6,13940
Bogan Gate,119.0,7.0,21.0,11.0,67.0,52.9,3.1,9.3,4.9,29.8,10438
Alectown,90.0,0.0,0.0,11.0,38.0,64.7,0.0,0.0,7.9,27.3,10029
West Wyalong,1306.0,74.0,181.0,252.0,695.0,52.1,3.0,7.2,10.0,27.7,14256
Wyalong,279.0,18.0,45.0,35.0,149.0,53.0,3.4,8.6,6.7,28.3,14431
Weethalle,110.0,5.0,11.0,20.0,53.0,55.3,2.5,5.5,10.1,26.6,14215
Tallimba,79.0,5.0,7.0,3.0,39.0,59.4,3.8,5.3,2.3,29.3,13732
Barellan,207.0,16.0,36.0,26.0,138.0,48.9,3.8,8.5,6.1,32.6,10197
Ardlethan,226.0,13.0,45.0,31.0,133.0,50.4,2.9,10.0,6.9,29.7,10076
Ariah Park,236.0,6.0,37.0,25.0,63.0,64.3,1.6,10.1,6.8,17.2,10081
Barmedman,192.0,19.0,34.0,20.0,97.0,53.0,5.2,9.4,5.5,26.8,10202
Beckom,72.0,4.0,3.0,0.0,23.0,70.6,3.9,2.9,0.0,22.5,10244
South Bowenfels,569.0,13.0,63.0,75.0,216.0,60.8,1.4,6.7,8.0,23.1,13578
Marrangaroo,368.0,29.0,40.0,18.0,376.0,44.3,3.5,4.8,2.2,45.2,12502
Lithgow,1737.0,179.0,574.0,397.0,1529.0,39.3,4.1,13.0,9.0,34.6,12347
Bowenfels,624.0,60.0,163.0,137.0,624.0,38.8,3.7,10.1,8.5,38.8,10529
Rydal,77.0,13.0,31.0,7.0,39.0,46.1,7.8,18.6,4.2,23.4,13452
Pottery Estate,40.0,3.0,13.0,10.0,46.0,35.7,2.7,11.6,8.9,41.1,13254
Oakey Park,124.0,8.0,41.0,17.0,92.0,44.0,2.8,14.5,6.0,32.6,13055
Morts Estate,217.0,23.0,56.0,38.0,172.0,42.9,4.5,11.1,7.5,34.0,12732
Hermitage Flat,115.0,14.0,36.0,30.0,97.0,39.4,4.8,12.3,10.3,33.2,11895
McKellars Park,87.0,7.0,23.0,11.0,65.0,45.1,3.6,11.9,5.7,33.7,12544
South Littleton,123.0,8.0,18.0,15.0,70.0,52.6,3.4,7.7,6.4,29.9,13590
Littleton,320.0,34.0,51.0,53.0,208.0,48.0,5.1,7.7,8.0,31.2,12360
Vale Of Clwydd,114.0,12.0,61.0,23.0,180.0,29.2,3.1,15.6,5.9,46.2,14064
Portland (NSW),912.0,74.0,240.0,139.0,651.0,45.2,3.7,11.9,6.9,32.3,13250
Lidsdale,180.0,3.0,34.0,10.0,114.0,52.8,0.9,10.0,2.9,33.4,12318
Wallerawang,761.0,70.0,112.0,87.0,514.0,49.3,4.5,7.3,5.6,33.3,14114
Little Hartley,249.0,6.0,42.0,21.0,108.0,58.5,1.4,9.9,4.9,25.4,12352
Hartley (NSW),179.0,19.0,39.0,13.0,101.0,51.0,5.4,11.1,3.7,28.8,11861
Clarence,85.0,6.0,25.0,11.0,42.0,50.3,3.6,14.8,6.5,24.9,10919
Glen Davis,47.0,3.0,11.0,4.0,20.0,55.3,3.5,12.9,4.7,23.5,11646
Cullen Bullen,118.0,11.0,20.0,8.0,82.0,49.4,4.6,8.4,3.3,34.3,11148
Megalong Valley,65.0,7.0,13.0,10.0,30.0,52.0,5.6,10.4,8.0,24.0,12557
Kanimbla (NSW),71.0,0.0,7.0,3.0,28.0,65.1,0.0,6.4,2.8,25.7,12065
Capertee,54.0,3.0,28.0,7.0,24.0,46.6,2.6,24.1,6.0,20.7,10802
Running Stream,55.0,6.0,10.0,15.0,33.0,46.2,5.0,8.4,12.6,27.7,13441
Mudgee,3856.0,361.0,762.0,622.0,2907.0,45.3,4.2,9.0,7.3,34.2,12812
Putta Bucca,126.0,0.0,7.0,0.0,46.0,70.4,0.0,3.9,0.0,25.7,13278
Bombira,200.0,3.0,12.0,8.0,51.0,73.0,1.1,4.4,2.9,18.6,10457
Burrundulla,83.0,0.0,3.0,0.0,20.0,78.3,0.0,2.8,0.0,18.9,10717
Spring Flat,108.0,3.0,7.0,0.0,39.0,68.8,1.9,4.5,0.0,24.8,13613
Kandos,411.0,63.0,151.0,135.0,361.0,36.7,5.6,13.5,12.0,32.2,12057
Rylstone,349.0,36.0,108.0,65.0,222.0,44.7,4.6,13.8,8.3,28.5,13457
Ilford,80.0,5.0,16.0,3.0,49.0,52.3,3.3,10.5,2.0,32.0,11971
Clandulla,63.0,6.0,9.0,8.0,68.0,40.9,3.9,5.8,5.2,44.2,10916
Charbon,34.0,9.0,12.0,7.0,48.0,30.9,8.2,10.9,6.4,43.6,10883
Lue,84.0,7.0,8.0,7.0,40.0,57.5,4.8,5.5,4.8,27.4,12420
Gulgong,870.0,104.0,197.0,143.0,654.0,44.2,5.3,10.0,7.3,33.2,11794
Dunedoo,508.0,19.0,100.0,94.0,275.0,51.0,1.9,10.0,9.4,27.6,11316
Leadville,72.0,4.0,3.0,8.0,43.0,55.4,3.1,2.3,6.2,33.1,12290
Cassilis (NSW),135.0,4.0,22.0,12.0,70.0,55.6,1.6,9.1,4.9,28.8,10844
Tallawang,89.0,3.0,0.0,3.0,35.0,68.5,2.3,0.0,2.3,26.9,13731
Beryl,69.0,0.0,9.0,0.0,21.0,69.7,0.0,9.1,0.0,21.2,10327
Stubbo,101.0,9.0,10.0,10.0,41.0,59.1,5.3,5.8,5.8,24.0,13682
Cope,46.0,4.0,6.0,3.0,30.0,51.7,4.5,6.7,3.4,33.7,11057
Yarrawonga (NSW),153.0,20.0,26.0,22.0,110.0,46.2,6.0,7.9,6.6,33.2,14486
Piambong,76.0,0.0,12.0,3.0,39.0,58.5,0.0,9.2,2.3,30.0,13197
Cooks Gap,212.0,19.0,53.0,24.0,128.0,48.6,4.4,12.2,5.5,29.4,11018
Frog Rock,67.0,5.0,11.0,7.0,33.0,54.5,4.1,8.9,5.7,26.8,11570
Cooyal,50.0,6.0,7.0,4.0,21.0,56.8,6.8,8.0,4.5,23.9,11055
St Fillans,112.0,7.0,11.0,12.0,55.0,56.9,3.6,5.6,6.1,27.9,13634
Eurunderee,88.0,0.0,11.0,3.0,28.0,67.7,0.0,8.5,2.3,21.5,11467
Budgee Budgee (NSW),105.0,0.0,8.0,7.0,41.0,65.2,0.0,5.0,4.3,25.5,10641
Kains Flat,84.0,4.0,12.0,4.0,26.0,64.6,3.1,9.2,3.1,20.0,12049
Menah,71.0,0.0,6.0,8.0,28.0,62.8,0.0,5.3,7.1,24.8,12566
Grattai,131.0,8.0,37.0,13.0,75.0,49.6,3.0,14.0,4.9,28.4,11741
Hargraves,109.0,13.0,32.0,17.0,51.0,49.1,5.9,14.4,7.7,23.0,11854
Windeyer (NSW),66.0,9.0,32.0,9.0,55.0,38.6,5.3,18.7,5.3,32.2,14322
Bocoble,59.0,9.0,14.0,8.0,29.0,49.6,7.6,11.8,6.7,24.4,10432
Mount Frome,79.0,0.0,3.0,6.0,18.0,74.5,0.0,2.8,5.7,17.0,12760
Buckaroo,70.0,0.0,12.0,0.0,30.0,62.5,0.0,10.7,0.0,26.8,10630
Blayney,1165.0,111.0,275.0,212.0,929.0,43.3,4.1,10.2,7.9,34.5,10410
Millthorpe,530.0,33.0,77.0,37.0,260.0,56.6,3.5,8.2,3.9,27.7,12623
Carcoar,137.0,12.0,32.0,25.0,71.0,49.5,4.3,11.6,9.0,25.6,10808
Lyndhurst (Blayney - NSW),148.0,9.0,31.0,17.0,94.0,49.5,3.0,10.4,5.7,31.4,12426
Forest Reefs,239.0,3.0,27.0,10.0,89.0,64.9,0.8,7.3,2.7,24.2,11547
Neville,128.0,9.0,16.0,4.0,51.0,61.5,4.3,7.7,1.9,24.5,12937
Barry (Blayney - NSW),79.0,4.0,8.0,3.0,35.0,61.2,3.1,6.2,2.3,27.1,10218
Newbridge (NSW),77.0,6.0,19.0,10.0,46.0,48.7,3.8,12.0,6.3,29.1,12948
Orange,13624.0,1097.0,2804.0,1922.0,10532.0,45.4,3.7,9.4,6.4,35.1,13092
Clifton Grove,426.0,15.0,32.0,21.0,187.0,62.6,2.2,4.7,3.1,27.5,10934
Cumnock,209.0,16.0,35.0,28.0,81.0,56.6,4.3,9.5,7.6,22.0,11159
Cudal,258.0,16.0,16.0,34.0,104.0,60.3,3.7,3.7,7.9,24.3,11140
Molong,1089.0,72.0,148.0,146.0,565.0,53.9,3.6,7.3,7.2,28.0,12671
Manildra,327.0,25.0,48.0,43.0,166.0,53.7,4.1,7.9,7.1,27.3,12473
Cargo,237.0,10.0,40.0,21.0,142.0,52.7,2.2,8.9,4.7,31.6,10813
Spring Terrace,74.0,0.0,3.0,3.0,21.0,73.3,0.0,3.0,3.0,20.8,13620
Springside (NSW),152.0,0.0,23.0,6.0,59.0,63.3,0.0,9.6,2.5,24.6,13626
Spring Hill (Cabonne - NSW),209.0,11.0,33.0,7.0,94.0,59.0,3.1,9.3,2.0,26.6,13615
Guyong,63.0,0.0,3.0,3.0,23.0,68.5,0.0,3.3,3.3,25.0,11821
Emu Swamp,90.0,3.0,4.0,5.0,34.0,66.2,2.2,2.9,3.7,25.0,11419
Lewis Ponds,73.0,0.0,13.0,0.0,28.0,64.0,0.0,11.4,0.0,24.6,12312
Lucknow (NSW),135.0,4.0,21.0,11.0,66.0,57.0,1.7,8.9,4.6,27.8,12418
Spring Creek (NSW),72.0,0.0,7.0,3.0,30.0,64.3,0.0,6.2,2.7,26.8,13611
Huntley (Orange - NSW),70.0,0.0,17.0,3.0,49.0,50.4,0.0,12.2,2.2,35.3,11958
Canobolas,243.0,11.0,22.0,8.0,113.0,61.2,2.8,5.5,2.0,28.5,10793
Clergate,97.0,3.0,8.0,0.0,55.0,59.5,1.8,4.9,0.0,33.7,10929
March,57.0,4.0,12.0,4.0,24.0,56.4,4.0,11.9,4.0,23.8,12486
Summer Hill Creek,98.0,4.0,9.0,12.0,46.0,58.0,2.4,5.3,7.1,27.2,13688
Mullion Creek,259.0,4.0,31.0,9.0,110.0,62.7,1.0,7.5,2.2,26.6,12826
Nashdale,186.0,10.0,16.0,4.0,89.0,61.0,3.3,5.2,1.3,29.2,12913
Windera (NSW),146.0,3.0,3.0,0.0,54.0,70.9,1.5,1.5,0.0,26.2,14319
Lidster,156.0,7.0,7.0,12.0,57.0,65.3,2.9,2.9,5.0,23.8,12319
Borenore,230.0,6.0,20.0,12.0,91.0,64.1,1.7,5.6,3.3,25.3,10513
Yeoval,151.0,11.0,30.0,52.0,119.0,41.6,3.0,8.3,14.3,32.8,14507
Grafton,3450.0,386.0,908.0,867.0,2913.0,40.5,4.5,10.7,10.2,34.2,11733
Rushforth,115.0,7.0,9.0,12.0,37.0,63.9,3.9,5.0,6.7,20.6,13446
Great Marlow,91.0,3.0,7.0,9.0,31.0,64.5,2.1,5.0,6.4,22.0,11745
South Grafton,1926.0,242.0,552.0,406.0,1748.0,39.5,5.0,11.3,8.3,35.9,13582
Junction Hill,708.0,26.0,72.0,65.0,269.0,62.1,2.3,6.3,5.7,23.6,12045
Carrs Creek,48.0,4.0,12.0,3.0,31.0,49.0,4.1,12.2,3.1,31.6,10834
Tucabia,153.0,13.0,49.0,14.0,103.0,46.1,3.9,14.8,4.2,31.0,13945
Ulmarra,323.0,18.0,89.0,48.0,175.0,49.5,2.8,13.6,7.4,26.8,14004
Ramornie,85.0,6.0,18.0,5.0,54.0,50.6,3.6,10.7,3.0,32.1,13308
Nymboida,95.0,11.0,37.0,12.0,105.0,36.5,4.2,14.2,4.6,40.4,13048
Blaxlands Creek,60.0,11.0,9.0,3.0,30.0,53.1,9.7,8.0,2.7,26.5,10408
Glenreagh,287.0,52.0,83.0,37.0,241.0,41.0,7.4,11.9,5.3,34.4,11675
Wells Crossing,41.0,9.0,26.0,9.0,58.0,28.7,6.3,18.2,6.3,40.6,14223
Kungala,55.0,0.0,30.0,3.0,44.0,41.7,0.0,22.7,2.3,33.3,12212
Wooli,168.0,19.0,65.0,33.0,80.0,46.0,5.2,17.8,9.0,21.9,14403
Halfway Creek,68.0,5.0,25.0,11.0,89.0,34.3,2.5,12.6,5.6,44.9,11831
Copmanhurst,96.0,16.0,51.0,12.0,72.0,38.9,6.5,20.6,4.9,29.1,11060
Whiteman Creek,75.0,16.0,21.0,6.0,27.0,51.7,11.0,14.5,4.1,18.6,14277
The Whiteman,62.0,0.0,11.0,0.0,25.0,63.3,0.0,11.2,0.0,25.5,13843
Waterview Heights,642.0,34.0,73.0,49.0,280.0,59.6,3.2,6.8,4.5,26.0,14186
Lawrence (NSW),458.0,35.0,114.0,73.0,222.0,50.8,3.9,12.6,8.1,24.6,12288
Eatonsville,93.0,11.0,19.0,3.0,58.0,50.5,6.0,10.3,1.6,31.5,11370
Seelands,213.0,16.0,26.0,10.0,95.0,59.2,4.4,7.2,2.8,26.4,13515
Mountain View (NSW),86.0,3.0,3.0,6.0,38.0,63.2,2.2,2.2,4.4,27.9,12808
Southgate,80.0,0.0,19.0,8.0,57.0,48.8,0.0,11.6,4.9,34.8,13604
Lower Southgate,44.0,0.0,14.0,7.0,35.0,44.0,0.0,14.0,7.0,35.0,12413
Ashby Heights,93.0,7.0,38.0,6.0,54.0,47.0,3.5,19.2,3.0,27.3,10095
Tullymorgan,44.0,6.0,18.0,6.0,41.0,38.3,5.2,15.7,5.2,35.7,13960
Ashby (NSW),173.0,6.0,25.0,12.0,70.0,60.5,2.1,8.7,4.2,24.5,10094
South Arm (Clarence Valley - NSW),103.0,10.0,17.0,14.0,71.0,47.9,4.7,7.9,6.5,33.0,13574
Woodford Island,105.0,0.0,13.0,12.0,65.0,53.8,0.0,6.7,6.2,33.3,14384
Brushgrove,72.0,16.0,34.0,10.0,50.0,39.6,8.8,18.7,5.5,27.5,10622
Elland,171.0,15.0,26.0,15.0,68.0,58.0,5.1,8.8,5.1,23.1,11399
Coutts Crossing,406.0,37.0,90.0,43.0,246.0,49.4,4.5,10.9,5.2,29.9,11094
Kremnos,64.0,4.0,27.0,9.0,49.0,41.8,2.6,17.6,5.9,32.0,12204
Lanitza,104.0,15.0,37.0,8.0,94.0,40.3,5.8,14.3,3.1,36.4,12270
Braunstone,119.0,15.0,27.0,15.0,81.0,46.3,5.8,10.5,5.8,31.5,10550
Glenugie,76.0,6.0,19.0,3.0,59.0,46.6,3.7,11.7,1.8,36.2,11681
Clarenza,276.0,15.0,32.0,12.0,125.0,60.0,3.3,7.0,2.6,27.2,10922
Swan Creek (NSW),51.0,0.0,7.0,0.0,19.0,66.2,0.0,9.1,0.0,24.7,13706
Pillar Valley,107.0,9.0,42.0,10.0,95.0,40.7,3.4,16.0,3.8,36.1,13204
Minnie Water,110.0,0.0,27.0,10.0,51.0,55.6,0.0,13.6,5.1,25.8,12640
Tyndale,68.0,3.0,22.0,6.0,32.0,51.9,2.3,16.8,4.6,24.4,13997
Ilarwill,125.0,7.0,12.0,4.0,35.0,68.3,3.8,6.6,2.2,19.1,11970
Yamba (NSW),2647.0,182.0,635.0,560.0,1276.0,49.9,3.4,12.0,10.6,24.1,14458
Gulmarrad,880.0,42.0,88.0,43.0,314.0,64.4,3.1,6.4,3.1,23.0,11795
