,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Turramurra,5777.0,166.0,513.0,552.0,2498.0,60.8,1.7,5.4,5.8,26.3,13980
South Turramurra,1509.0,43.0,115.0,88.0,602.0,64.0,1.8,4.9,3.7,25.5,13598
North Turramurra,2126.0,27.0,178.0,657.0,651.0,58.4,0.7,4.9,18.1,17.9,13013
Warrawee,1507.0,53.0,118.0,82.0,678.0,61.8,2.2,4.8,3.4,27.8,14165
North Wahroonga,1055.0,16.0,61.0,78.0,368.0,66.9,1.0,3.9,4.9,23.3,13015
Cremorne Point,980.0,51.0,235.0,79.0,729.0,47.3,2.5,11.3,3.8,35.1,11113
Cremorne (NSW),4233.0,216.0,1039.0,356.0,3704.0,44.3,2.3,10.9,3.7,38.8,11112
Neutral Bay,3479.0,227.0,972.0,363.0,4124.0,38.0,2.5,10.6,4.0,45.0,12934
Crows Nest (NSW),1693.0,111.0,403.0,87.0,1849.0,40.9,2.7,9.7,2.1,44.6,11131
Wollstonecraft,3102.0,148.0,581.0,218.0,3170.0,43.0,2.1,8.0,3.0,43.9,14359
Waverton,1136.0,47.0,230.0,100.0,1151.0,42.6,1.8,8.6,3.8,43.2,14202
North Sydney,2741.0,172.0,563.0,249.0,3181.0,39.7,2.5,8.2,3.6,46.1,13010
Mosman,12198.0,486.0,2070.0,1220.0,7482.0,52.0,2.1,8.8,5.2,31.9,12738
Kirribilli,1309.0,101.0,369.0,154.0,1613.0,36.9,2.8,10.4,4.3,45.5,12173
Kurraba Point,611.0,24.0,128.0,39.0,525.0,46.0,1.8,9.6,2.9,39.6,12217
Milsons Point,1025.0,60.0,156.0,82.0,674.0,51.3,3.0,7.8,4.1,33.8,12629
McMahons Point,894.0,64.0,222.0,73.0,842.0,42.7,3.1,10.6,3.5,40.2,12547
Lavender Bay,338.0,18.0,75.0,31.0,403.0,39.1,2.1,8.7,3.6,46.6,12285
Seaforth (NSW),3269.0,91.0,305.0,187.0,1477.0,61.3,1.7,5.7,3.5,27.7,13509
Balgowlah Heights,1586.0,40.0,121.0,98.0,607.0,64.7,1.6,4.9,4.0,24.8,10154
Clontarf (NSW),862.0,15.0,56.0,60.0,375.0,63.0,1.1,4.1,4.4,27.4,10935
Balgowlah,3279.0,178.0,579.0,237.0,1973.0,52.5,2.8,9.3,3.8,31.6,10153
Manly (NSW),5317.0,320.0,1279.0,538.0,6343.0,38.5,2.3,9.3,3.9,46.0,12475
Fairlight,2337.0,109.0,432.0,198.0,1744.0,48.5,2.3,9.0,4.1,36.2,11482
Avalon Beach,4383.0,208.0,706.0,421.0,2229.0,55.2,2.6,8.9,5.3,28.0,10111
Palm Beach (NSW),804.0,41.0,127.0,77.0,349.0,57.5,2.9,9.1,5.5,25.0,13132
Whale Beach,136.0,7.0,26.0,13.0,43.0,60.4,3.1,11.6,5.8,19.1,14267
Clareville,412.0,10.0,54.0,23.0,130.0,65.5,1.6,8.6,3.7,20.7,10923
Scotland Island,259.0,28.0,48.0,9.0,114.0,56.6,6.1,10.5,2.0,24.9,13505
Elanora Heights,2026.0,88.0,218.0,139.0,850.0,61.0,2.6,6.6,4.2,25.6,11389
Ingleside,421.0,24.0,65.0,37.0,270.0,51.5,2.9,8.0,4.5,33.0,11979
Bayview (NSW),1720.0,65.0,293.0,402.0,657.0,54.8,2.1,9.3,12.8,20.9,10237
Church Point,548.0,9.0,71.0,29.0,187.0,64.9,1.1,8.4,3.4,22.2,10915
Lovett Bay,58.0,7.0,25.0,3.0,32.0,46.4,5.6,20.0,2.4,25.6,12397
Mona Vale,4779.0,192.0,794.0,625.0,2384.0,54.5,2.2,9.0,7.1,27.2,12672
Newport (NSW),3962.0,183.0,792.0,318.0,2305.0,52.4,2.4,10.5,4.2,30.5,12956
Bilgola Plateau,1708.0,45.0,209.0,112.0,664.0,62.4,1.6,7.6,4.1,24.3,10351
Bilgola Beach,138.0,0.0,16.0,3.0,43.0,69.0,0.0,8.0,1.5,21.5,10350
Warriewood,3274.0,156.0,486.0,346.0,1536.0,56.5,2.7,8.4,6.0,26.5,14173
North Narrabeen,2392.0,138.0,434.0,170.0,1414.0,52.6,3.0,9.5,3.7,31.1,12999
