,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Tarcutta,138.0,24.0,133.0,46.8,8.1,45.1,13763
Gregadoo,116.0,16.0,40.0,67.4,9.3,23.3,11773
Big Springs,59.0,3.0,24.0,68.6,3.5,27.9,10345
Mangoplah,101.0,24.0,69.0,52.1,12.4,35.6,12470
Gelston Park,68.0,9.0,16.0,73.1,9.7,17.2,11597
Berry,1169.0,140.0,595.0,61.4,7.4,31.2,10322
Kangaroo Valley,332.0,79.0,193.0,55.0,13.1,32.0,12061
Barrengarry,78.0,12.0,32.0,63.9,9.8,26.2,10213
Upper Kangaroo River,51.0,3.0,22.0,67.1,3.9,28.9,14030
Broughton Vale,85.0,14.0,28.0,66.9,11.0,22.0,10606
Bellawongarah,46.0,17.0,16.0,58.2,21.5,20.3,10267
Beaumont (NSW),46.0,15.0,25.0,53.5,17.4,29.1,10242
Far Meadow,105.0,13.0,53.0,61.4,7.6,31.0,11488
Coolangatta (NSW),131.0,18.0,78.0,57.7,7.9,34.4,11026
Jaspers Brush,140.0,38.0,86.0,53.0,14.4,32.6,12002
Shoalhaven Heads,1143.0,263.0,946.0,48.6,11.2,40.2,13540
Callala Bay,874.0,176.0,613.0,52.6,10.6,36.9,10757
Callala Beach,286.0,46.0,227.0,51.2,8.2,40.6,10758
Currarong,172.0,28.0,121.0,53.6,8.7,37.7,11176
Myola (NSW),41.0,0.0,23.0,64.1,0.0,35.9,12878
Orient Point,186.0,52.0,212.0,41.3,11.6,47.1,13096
Culburra Beach,1050.0,181.0,842.0,50.7,8.7,40.6,11146
Greenwell Point,503.0,105.0,350.0,52.5,11.0,36.5,11769
Numbaa,42.0,11.0,22.0,56.0,14.7,29.3,13035
Huskisson,263.0,52.0,293.0,43.3,8.6,48.2,11966
Vincentia,1319.0,281.0,860.0,53.6,11.4,35.0,14075
Hyams Beach,60.0,3.0,28.0,65.9,3.3,30.8,11967
Bomaderry,2171.0,462.0,2194.0,45.0,9.6,45.5,10453
Cambewarra,105.0,11.0,55.0,61.4,6.4,32.2,10763
North Nowra,1944.0,391.0,1674.0,48.5,9.8,41.8,13000
Bangalee (NSW),318.0,33.0,153.0,63.1,6.5,30.4,10173
Meroo Meadow,192.0,48.0,98.0,56.8,14.2,29.0,12579
Cambewarra Village,508.0,72.0,260.0,60.5,8.6,31.0,10764
Tapitallee,288.0,49.0,127.0,62.1,10.6,27.4,13755
Worrigee,1658.0,486.0,1244.0,48.9,14.3,36.7,14423
Nowra,2243.0,698.0,3350.0,35.7,11.1,53.3,13028
Nowra Hill,475.0,87.0,295.0,55.4,10.2,34.4,13029
West Nowra,395.0,163.0,435.0,39.8,16.4,43.8,14248
Terara,89.0,15.0,89.0,46.1,7.8,46.1,13795
South Nowra,601.0,188.0,434.0,49.1,15.4,35.5,13594
St Georges Basin,1142.0,203.0,768.0,54.0,9.6,36.3,13636
Worrowing Heights,209.0,21.0,119.0,59.9,6.0,34.1,14424
Basin View,498.0,137.0,438.0,46.4,12.8,40.8,10223
Sanctuary Point,2415.0,570.0,2352.0,45.3,10.7,44.1,13472
Erowal Bay,230.0,73.0,161.0,49.6,15.7,34.7,11436
Wrights Beach,54.0,3.0,36.0,58.1,3.2,38.7,14428
Old Erowal Bay,317.0,99.0,331.0,42.4,13.3,44.3,13075
Sussex Inlet,1393.0,272.0,1123.0,50.0,9.8,40.3,13700
Swanhaven,78.0,17.0,40.0,57.8,12.6,29.6,13709
