,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Weethalle,95.0,15.0,72.0,52.2,8.2,39.6,14215
Tallimba,65.0,10.0,34.0,59.6,9.2,31.2,13732
Barellan,180.0,38.0,156.0,48.1,10.2,41.7,10197
Ardlethan,176.0,29.0,157.0,48.6,8.0,43.4,10076
Ariah Park,190.0,21.0,98.0,61.5,6.8,31.7,10081
Barmedman,164.0,24.0,126.0,52.2,7.6,40.1,10202
Beckom,51.0,10.0,11.0,70.8,13.9,15.3,10244
South Bowenfels,486.0,67.0,257.0,60.0,8.3,31.7,13578
Marrangaroo,212.0,16.0,122.0,60.6,4.6,34.9,12502
Lithgow,1517.0,367.0,1973.0,39.3,9.5,51.2,12347
Bowenfels,526.0,148.0,669.0,39.2,11.0,49.8,10529
Rydal,62.0,11.0,55.0,48.4,8.6,43.0,13452
Pottery Estate,37.0,0.0,51.0,42.0,0.0,58.0,13254
Oakey Park,113.0,22.0,119.0,44.5,8.7,46.9,13055
Morts Estate,182.0,54.0,204.0,41.4,12.3,46.4,12732
Hermitage Flat,94.0,31.0,137.0,35.9,11.8,52.3,11895
McKellars Park,73.0,23.0,66.0,45.1,14.2,40.7,12544
South Littleton,99.0,21.0,84.0,48.5,10.3,41.2,13590
Littleton,299.0,65.0,243.0,49.3,10.7,40.0,12360
Vale Of Clwydd,96.0,42.0,192.0,29.1,12.7,58.2,14064
Portland (NSW),764.0,204.0,711.0,45.5,12.2,42.3,13250
Lidsdale,144.0,28.0,106.0,51.8,10.1,38.1,12318
Wallerawang,622.0,140.0,510.0,48.9,11.0,40.1,14114
Little Hartley,228.0,42.0,114.0,59.4,10.9,29.7,12352
Hartley (NSW),161.0,30.0,124.0,51.1,9.5,39.4,11861
Clarence,79.0,18.0,42.0,56.8,12.9,30.2,10919
Glen Davis,35.0,8.0,32.0,46.7,10.7,42.7,11646
Cullen Bullen,80.0,22.0,54.0,51.3,14.1,34.6,11148
Megalong Valley,53.0,11.0,31.0,55.8,11.6,32.6,12557
Kanimbla (NSW),59.0,8.0,30.0,60.8,8.2,30.9,12065
Capertee,38.0,11.0,52.0,37.6,10.9,51.5,10802
Running Stream,47.0,0.0,35.0,57.3,0.0,42.7,13441
Mudgee,3272.0,1012.0,2951.0,45.2,14.0,40.8,12812
Putta Bucca,105.0,6.0,44.0,67.7,3.9,28.4,13278
Bombira,178.0,16.0,44.0,74.8,6.7,18.5,10457
Burrundulla,70.0,3.0,13.0,81.4,3.5,15.1,10717
Spring Flat,89.0,9.0,32.0,68.5,6.9,24.6,13613
Kandos,354.0,118.0,463.0,37.9,12.6,49.5,12057
Rylstone,297.0,89.0,269.0,45.3,13.6,41.1,13457
Ilford,59.0,20.0,43.0,48.4,16.4,35.2,11971
Clandulla,56.0,10.0,55.0,46.3,8.3,45.5,10916
Charbon,22.0,21.0,58.0,21.8,20.8,57.4,10883
Lue,67.0,9.0,48.0,54.0,7.3,38.7,12420
Gulgong,738.0,213.0,680.0,45.2,13.1,41.7,11794
Dunedoo,385.0,95.0,282.0,50.5,12.5,37.0,11316
Leadville,46.0,13.0,26.0,54.1,15.3,30.6,12290
Cassilis (NSW),118.0,25.0,74.0,54.4,11.5,34.1,10844
Tallawang,53.0,8.0,22.0,63.9,9.6,26.5,13731
Beryl,49.0,11.0,27.0,56.3,12.6,31.0,10327
Stubbo,87.0,15.0,54.0,55.8,9.6,34.6,13682
Cope,37.0,9.0,28.0,50.0,12.2,37.8,11057
Yarrawonga (NSW),132.0,27.0,125.0,46.5,9.5,44.0,14486
Piambong,64.0,6.0,39.0,58.7,5.5,35.8,13197
Cooks Gap,163.0,41.0,153.0,45.7,11.5,42.9,11018
Frog Rock,65.0,20.0,31.0,56.0,17.2,26.7,11570
Cooyal,46.0,10.0,27.0,55.4,12.0,32.5,11055
St Fillans,98.0,16.0,57.0,57.3,9.4,33.3,13634
Eurunderee,67.0,12.0,27.0,63.2,11.3,25.5,11467
Budgee Budgee (NSW),85.0,16.0,37.0,61.6,11.6,26.8,10641
Kains Flat,79.0,15.0,35.0,61.2,11.6,27.1,12049
Menah,60.0,6.0,25.0,65.9,6.6,27.5,12566
Grattai,111.0,29.0,87.0,48.9,12.8,38.3,11741
Hargraves,91.0,18.0,75.0,49.5,9.8,40.8,11854
Windeyer (NSW),50.0,7.0,69.0,39.7,5.6,54.8,14322
Bocoble,40.0,25.0,32.0,41.2,25.8,33.0,10432
Mount Frome,64.0,3.0,18.0,75.3,3.5,21.2,12760
Buckaroo,70.0,13.0,23.0,66.0,12.3,21.7,10630
Blayney,1040.0,279.0,1027.0,44.3,11.9,43.8,10410
Millthorpe,461.0,92.0,268.0,56.2,11.2,32.6,12623
Carcoar,110.0,14.0,77.0,54.7,7.0,38.3,10808
Lyndhurst (Blayney - NSW),123.0,34.0,106.0,46.8,12.9,40.3,12426
Forest Reefs,214.0,35.0,89.0,63.3,10.4,26.3,11547
Neville,110.0,16.0,60.0,59.1,8.6,32.3,12937
Barry (Blayney - NSW),68.0,17.0,37.0,55.7,13.9,30.3,10218
Newbridge (NSW),66.0,19.0,54.0,47.5,13.7,38.8,12948
Orange,12003.0,2837.0,10977.0,46.5,11.0,42.5,13092
Clifton Grove,403.0,59.0,167.0,64.1,9.4,26.6,10934
Cumnock,193.0,26.0,103.0,59.9,8.1,32.0,11159
Cudal,227.0,34.0,128.0,58.4,8.7,32.9,11140
Molong,980.0,134.0,666.0,55.1,7.5,37.4,12671
Manildra,279.0,55.0,189.0,53.3,10.5,36.1,12473
Cargo,200.0,69.0,132.0,49.9,17.2,32.9,10813
Spring Terrace,64.0,0.0,23.0,73.6,0.0,26.4,13620
Springside (NSW),144.0,25.0,67.0,61.0,10.6,28.4,13626
Spring Hill (Cabonne - NSW),179.0,41.0,93.0,57.2,13.1,29.7,13615
Guyong,45.0,12.0,13.0,64.3,17.1,18.6,11821
Emu Swamp,74.0,3.0,28.0,70.5,2.9,26.7,11419
Lewis Ponds,63.0,11.0,32.0,59.4,10.4,30.2,12312
Lucknow (NSW),123.0,16.0,78.0,56.7,7.4,35.9,12418
Huntley (Orange - NSW),66.0,14.0,49.0,51.2,10.9,38.0,11958
Canobolas,230.0,29.0,102.0,63.7,8.0,28.3,10793
Clergate,88.0,12.0,54.0,57.1,7.8,35.1,10929
March,48.0,10.0,24.0,58.5,12.2,29.3,12486
Summer Hill Creek,97.0,19.0,36.0,63.8,12.5,23.7,13688
Mullion Creek,224.0,38.0,107.0,60.7,10.3,29.0,12826
Nashdale,160.0,24.0,84.0,59.7,9.0,31.3,12913
Windera (NSW),140.0,7.0,48.0,71.8,3.6,24.6,14319
Lidster,133.0,13.0,64.0,63.3,6.2,30.5,12319
Borenore,198.0,17.0,87.0,65.6,5.6,28.8,10513
Yeoval,122.0,38.0,125.0,42.8,13.3,43.9,14507
Grafton,2967.0,744.0,3396.0,41.7,10.5,47.8,11733
Rushforth,115.0,8.0,51.0,66.1,4.6,29.3,13446
Great Marlow,87.0,13.0,33.0,65.4,9.8,24.8,11745
South Grafton,1671.0,427.0,2130.0,39.5,10.1,50.4,13582
Junction Hill,648.0,92.0,305.0,62.0,8.8,29.2,12045
Carrs Creek,41.0,23.0,32.0,42.7,24.0,33.3,10834
Tucabia,128.0,37.0,112.0,46.2,13.4,40.4,13945
Ulmarra,288.0,52.0,210.0,52.4,9.5,38.2,14004
Ramornie,63.0,18.0,60.0,44.7,12.8,42.6,13308
Nymboida,74.0,43.0,99.0,34.3,19.9,45.8,13048
Blaxlands Creek,57.0,8.0,33.0,58.2,8.2,33.7,10408
Glenreagh,243.0,89.0,265.0,40.7,14.9,44.4,11675
Wells Crossing,43.0,32.0,54.0,33.3,24.8,41.9,14223
Kungala,46.0,14.0,51.0,41.4,12.6,45.9,12212
Wooli,148.0,30.0,145.0,45.8,9.3,44.9,14403
Halfway Creek,66.0,23.0,80.0,39.1,13.6,47.3,11831
Copmanhurst,87.0,27.0,106.0,39.5,12.3,48.2,11060
Whiteman Creek,62.0,7.0,47.0,53.4,6.0,40.5,14277
The Whiteman,62.0,26.0,20.0,57.4,24.1,18.5,13843
Waterview Heights,597.0,85.0,305.0,60.5,8.6,30.9,14186
Lawrence (NSW),389.0,105.0,291.0,49.6,13.4,37.1,12288
Eatonsville,86.0,19.0,60.0,52.1,11.5,36.4,11370
Seelands,173.0,34.0,84.0,59.5,11.7,28.9,13515
Mountain View (NSW),68.0,14.0,33.0,59.1,12.2,28.7,12808
Southgate,72.0,19.0,49.0,51.4,13.6,35.0,13604
Lower Southgate,44.0,12.0,26.0,53.7,14.6,31.7,12413
Ashby Heights,85.0,41.0,62.0,45.2,21.8,33.0,10095
Tullymorgan,34.0,22.0,39.0,35.8,23.2,41.1,13960
Ashby (NSW),153.0,30.0,75.0,59.3,11.6,29.1,10094
South Arm (Clarence Valley - NSW),90.0,23.0,75.0,47.9,12.2,39.9,13574
Woodford Island,88.0,14.0,63.0,53.3,8.5,38.2,14384
Brushgrove,56.0,16.0,72.0,38.9,11.1,50.0,10622
Elland,135.0,30.0,81.0,54.9,12.2,32.9,11399
Coutts Crossing,368.0,83.0,293.0,49.5,11.2,39.4,11094
Kremnos,60.0,18.0,64.0,42.3,12.7,45.1,12204
Lanitza,95.0,25.0,112.0,40.9,10.8,48.3,12270
Braunstone,98.0,18.0,95.0,46.4,8.5,45.0,10550
Glenugie,64.0,18.0,68.0,42.7,12.0,45.3,11681
Clarenza,236.0,18.0,143.0,59.4,4.5,36.0,10922
Swan Creek (NSW),47.0,4.0,21.0,65.3,5.6,29.2,13706
Pillar Valley,89.0,30.0,104.0,39.9,13.5,46.6,13204
Minnie Water,88.0,22.0,59.0,52.1,13.0,34.9,12640
Tyndale,64.0,12.0,52.0,50.0,9.4,40.6,13997
Ilarwill,111.0,11.0,45.0,66.5,6.6,26.9,11970
Yamba (NSW),2262.0,483.0,1835.0,49.4,10.5,40.1,14458
Gulmarrad,803.0,151.0,303.0,63.9,12.0,24.1,11795
Angourie,83.0,7.0,60.0,55.3,4.7,40.0,10059
Brooms Head,90.0,15.0,67.0,52.3,8.7,39.0,10603
Wooloweyah,131.0,58.0,114.0,43.2,19.1,37.6,14411
Woombah,329.0,83.0,239.0,50.5,12.7,36.7,14414
Maclean,832.0,180.0,878.0,44.0,9.5,46.5,12431
Iluka (NSW),670.0,127.0,558.0,49.4,9.4,41.2,11975
Harwood,79.0,28.0,113.0,35.9,12.7,51.4,11865
Chatsworth (NSW),64.0,6.0,56.0,50.8,4.8,44.4,10894
Townsend,292.0,82.0,272.0,45.2,12.7,42.1,13928
Palmers Channel,65.0,11.0,21.0,67.0,11.3,21.6,13135
James Creek,103.0,7.0,53.0,63.2,4.3,32.5,11999
Palmers Island,182.0,48.0,98.0,55.5,14.6,29.9,13136
Bellingen,1031.0,407.0,1139.0,40.0,15.8,44.2,10273
Brierfield,118.0,34.0,82.0,50.4,14.5,35.0,10568
Fernmount,133.0,36.0,95.0,50.4,13.6,36.0,11509
Darkwood,37.0,15.0,67.0,31.1,12.6,56.3,11210
Thora,103.0,39.0,97.0,43.1,16.3,40.6,13849
Gleniffer,146.0,56.0,92.0,49.7,19.0,31.3,11668
Valery,43.0,17.0,31.0,47.3,18.7,34.1,14066
Kalang,91.0,29.0,57.0,51.4,16.4,32.2,12050
Coffs Harbour,7413.0,1990.0,8732.0,40.9,11.0,48.1,10959
North Boambee Valley,704.0,143.0,479.0,53.1,10.8,36.1,12983
Coramba,291.0,62.0,230.0,49.9,10.6,39.5,11065
Nana Glen,374.0,105.0,269.0,50.0,14.0,36.0,12889
Upper Orara,315.0,63.0,190.0,55.5,11.1,33.5,14041
Bucca (NSW),213.0,44.0,134.0,54.5,11.3,34.3,10625
Karangi,213.0,39.0,125.0,56.5,10.3,33.2,12072
Megan,57.0,14.0,39.0,51.8,12.7,35.5,12558
Ulong,48.0,14.0,66.0,37.5,10.9,51.6,14005
Lowanna,74.0,33.0,126.0,31.8,14.2,54.1,12398
Dorrigo,383.0,113.0,392.0,43.1,12.7,44.1,11278
Deer Vale,39.0,19.0,38.0,40.6,19.8,39.6,11232
Fernbrook,48.0,14.0,36.0,49.0,14.3,36.7,11506
Hernani,60.0,10.0,14.0,71.4,11.9,16.7,11896
Bostobrick,49.0,10.0,42.0,48.5,9.9,41.6,10516
North Dorrigo,66.0,29.0,46.0,46.8,20.6,32.6,12989
Sapphire Beach,827.0,163.0,472.0,56.6,11.1,32.3,13491
Emerald Beach,809.0,239.0,548.0,50.7,15.0,34.3,11411
Korora,1001.0,203.0,569.0,56.5,11.4,32.1,12197
Moonee Beach,764.0,165.0,408.0,57.1,12.3,30.5,12703
Toormina,1792.0,456.0,2219.0,40.1,10.2,49.7,13912
Boambee East,1834.0,464.0,1501.0,48.3,12.2,39.5,10422
Boambee,711.0,111.0,402.0,58.1,9.1,32.8,10421
Sawtell,1318.0,250.0,1195.0,47.7,9.0,43.3,13498
Bonville,1092.0,199.0,601.0,57.7,10.5,31.8,10474
Bundagen,15.0,13.0,64.0,16.3,14.1,69.6,10669
Mylestom,124.0,37.0,110.0,45.8,13.7,40.6,12875
Raleigh,219.0,52.0,176.0,49.0,11.6,39.4,13307
Urunga,1025.0,256.0,1011.0,44.7,11.2,44.1,14061
Repton,248.0,71.0,151.0,52.8,15.1,32.1,13352
Valla,340.0,88.0,239.0,51.0,13.2,35.8,14067
Woolgoolga,1878.0,319.0,1646.0,48.9,8.3,42.8,14402
Safety Beach (NSW),427.0,94.0,183.0,60.7,13.4,26.0,13462
Sandy Beach,712.0,225.0,639.0,45.2,14.3,40.5,13479
Upper Corindi,49.0,15.0,42.0,46.2,14.2,39.6,14020
Corindi Beach,570.0,153.0,443.0,48.9,13.1,38.0,11073
Red Rock,123.0,45.0,134.0,40.7,14.9,44.4,13334
Arrawarra,209.0,36.0,176.0,49.6,8.6,41.8,10088
Arrawarra Headland,198.0,61.0,155.0,47.8,14.7,37.4,10089
Mullaway,180.0,64.0,139.0,47.0,16.7,36.3,12822
Bourke,368.0,209.0,533.0,33.2,18.8,48.0,10522
Wanaaring,24.0,17.0,19.0,40.0,28.3,31.7,14126
North Bourke,90.0,18.0,58.0,54.2,10.8,34.9,12985
Enngonia,28.0,21.0,38.0,32.2,24.1,43.7,11426
Brewarrina,141.0,140.0,410.0,20.4,20.3,59.3,10563
Cobar,1122.0,423.0,971.0,44.6,16.8,38.6,10949
Coonamble,655.0,211.0,829.0,38.6,12.4,48.9,11044
Gulargambone,129.0,50.0,201.0,33.9,13.2,52.9,11792
Quambone,42.0,31.0,34.0,39.3,29.0,31.8,13287
Nyngan,650.0,177.0,628.0,44.7,12.2,43.2,13049
Nevertire,78.0,3.0,35.0,67.2,2.6,30.2,12936
Warren,437.0,109.0,409.0,45.8,11.4,42.8,14171
Hermidale,50.0,6.0,23.0,63.3,7.6,29.1,11894
Ravenswood (NSW),112.0,40.0,145.0,37.7,13.5,48.8,13321
Cumborah,55.0,19.0,75.0,36.9,12.8,50.3,11158
Goodooga,35.0,47.0,94.0,19.9,26.7,53.4,11702
Carinda,52.0,23.0,47.0,42.6,18.9,38.5,10814
Pilliga,56.0,18.0,59.0,42.1,13.5,44.4,13205
Come By Chance,50.0,12.0,28.0,55.6,13.3,31.1,10993
Walgett,390.0,229.0,659.0,30.5,17.9,51.6,14096
Burren Junction,92.0,19.0,70.0,50.8,10.5,38.7,10710
Lightning Ridge,461.0,212.0,904.0,29.2,13.4,57.3,12320
Collarenebri,146.0,71.0,198.0,35.2,17.1,47.7,10969
Rowena,69.0,17.0,33.0,58.0,14.3,27.7,13431
Broken Hill,5216.0,1443.0,5951.0,41.4,11.4,47.2,10592
White Cliffs,35.0,14.0,46.0,36.8,14.7,48.4,14274
Menindee,114.0,54.0,185.0,32.3,15.3,52.4,12571
Wilcannia,97.0,88.0,283.0,20.7,18.8,60.5,14290
Tibooburra,35.0,7.0,35.0,45.5,9.1,45.5,13860
Pooncarie,43.0,9.0,27.0,54.4,11.4,34.2,13242
Ivanhoe (NSW),80.0,16.0,72.0,47.6,9.5,42.9,11991
Baradine,250.0,54.0,264.0,44.0,9.5,46.5,10190
Coonabarabran,1029.0,220.0,933.0,47.2,10.1,42.8,11043
Binnaway,190.0,48.0,223.0,41.2,10.4,48.4,10372
Mendooran,176.0,50.0,164.0,45.1,12.8,42.1,12570
Coolah,455.0,100.0,268.0,55.3,12.2,32.6,11024
Bugaldie,54.0,6.0,41.0,53.5,5.9,40.6,10646
Ulamambri,94.0,16.0,39.0,63.1,10.7,26.2,14001
Tambar Springs,45.0,19.0,57.0,37.2,15.7,47.1,13743
Merrygoen,48.0,0.0,35.0,57.8,0.0,42.2,12587
Dubbo,12248.0,2983.0,11068.0,46.6,11.3,42.1,11296
Terramungamine,114.0,21.0,53.0,60.6,11.2,28.2,13801
Brocklehurst,146.0,7.0,91.0,59.8,2.9,37.3,10583
Wongarbon,270.0,64.0,152.0,55.6,13.2,31.3,14373
Elong Elong,46.0,11.0,36.0,49.5,11.8,38.7,11406
Gollan,56.0,0.0,12.0,82.4,0.0,17.6,11694
Eumungerie,105.0,25.0,97.0,46.3,11.0,42.7,11456
Minore,58.0,13.0,43.0,50.9,11.4,37.7,12641
Ballimore,57.0,13.0,44.0,50.0,11.4,38.6,10161
Gilgandra,960.0,208.0,942.0,45.5,9.9,44.6,11619
Collie (NSW),87.0,6.0,48.0,61.7,4.3,34.0,10975
Armatree,62.0,3.0,23.0,70.5,3.4,26.1,10084
Curban,60.0,8.0,22.0,66.7,8.9,24.4,11166
Tooraweenah,111.0,11.0,57.0,62.0,6.1,31.8,13911
Narromine,1448.0,340.0,1289.0,47.1,11.0,41.9,12911
Burroway,59.0,0.0,17.0,77.6,0.0,22.4,10715
Trangie,350.0,87.0,362.0,43.8,10.9,45.3,13932
Tomingley,116.0,18.0,78.0,54.7,8.5,36.8,13896
Wellington (NSW),902.0,316.0,1510.0,33.1,11.6,55.4,14221
Mumbil,70.0,26.0,93.0,37.0,13.8,49.2,12832
Stuart Town,90.0,14.0,68.0,52.3,8.1,39.5,13680
Euchareena,64.0,10.0,34.0,59.3,9.3,31.5,11452
Neurea,46.0,4.0,30.0,57.5,5.0,37.5,12933
Mount Arthur,65.0,12.0,39.0,56.0,10.3,33.6,12747
Maryvale (NSW),70.0,15.0,41.0,55.6,11.9,32.5,12517
Geurie,253.0,58.0,184.0,51.1,11.7,37.2,11608
Montefiores,214.0,34.0,128.0,56.9,9.0,34.0,12685
Greta (NSW),901.0,275.0,768.0,46.3,14.1,39.5,11778
Lower Belford,166.0,15.0,116.0,55.9,5.1,39.1,12401
Belford,57.0,19.0,38.0,50.0,16.7,33.3,10258
Branxton,769.0,152.0,503.0,54.0,10.7,35.3,10549
Pokolbin,467.0,47.0,151.0,70.2,7.1,22.7,13236
Keinbah,41.0,21.0,31.0,44.1,22.6,33.3,12084
Lovedale,222.0,30.0,90.0,64.9,8.8,26.3,12396
East Branxton,566.0,197.0,424.0,47.7,16.6,35.7,11346
North Rothbury,297.0,98.0,187.0,51.0,16.8,32.1,13004
Leconfield,63.0,19.0,27.0,57.8,17.4,24.8,12291
Cessnock,3994.0,1153.0,4741.0,40.4,11.7,47.9,10878
Nulkaba,301.0,27.0,163.0,61.3,5.5,33.2,13031
Aberdare,658.0,232.0,834.0,38.2,13.5,48.4,10006
Kearsley,271.0,66.0,237.0,47.2,11.5,41.3,12080
Bellbird,659.0,159.0,600.0,46.5,11.2,42.3,10268
Bellbird Heights,300.0,72.0,214.0,51.2,12.3,36.5,10269
Ellalong,356.0,103.0,309.0,46.4,13.4,40.2,11398
Kitchener,159.0,50.0,141.0,45.4,14.3,40.3,12174
Abernethy,99.0,22.0,73.0,51.0,11.3,37.6,10011
Mulbring,247.0,37.0,149.0,57.0,8.5,34.4,12813
Buchanan (NSW),81.0,10.0,52.0,56.6,7.0,36.4,10628
Millfield,299.0,90.0,250.0,46.8,14.1,39.1,12620
Paxton,309.0,63.0,251.0,49.6,10.1,40.3,13162
Black Hill (NSW),265.0,13.0,135.0,64.2,3.1,32.7,10385
Mount Vincent,142.0,42.0,86.0,52.6,15.6,31.9,12799
Brunkerville,97.0,13.0,44.0,63.0,8.4,28.6,10620
Quorrobolong,209.0,31.0,121.0,57.9,8.6,33.5,13302
Congewai,77.0,13.0,44.0,57.5,9.7,32.8,11007
Mount View,47.0,0.0,23.0,67.1,0.0,32.9,12798
Paynes Crossing,29.0,0.0,25.0,53.7,0.0,46.3,13163
Laguna,54.0,14.0,50.0,45.8,11.9,42.4,12237
Wollombi,72.0,9.0,52.0,54.1,6.8,39.1,14355
Watagan,25.0,21.0,36.0,30.5,25.6,43.9,14180
Murrays Run,60.0,22.0,47.0,46.5,17.1,36.4,12855
Bucketty,69.0,7.0,46.0,56.6,5.7,37.7,10634
Clarence Town,825.0,171.0,468.0,56.4,11.7,32.0,10920
Dungog,687.0,103.0,657.0,47.5,7.1,45.4,11320
Bendolba,69.0,20.0,46.0,51.1,14.8,34.1,10291
Paterson (NSW),349.0,66.0,209.0,55.9,10.6,33.5,13159
Martins Creek,133.0,36.0,91.0,51.2,13.8,35.0,12511
Torryburn (Dungog - NSW),66.0,11.0,34.0,59.5,9.9,30.6,13920
Vacy,277.0,55.0,129.0,60.1,11.9,28.0,14063
East Gresford,104.0,26.0,96.0,46.0,11.5,42.5,11350
Gresford,99.0,8.0,72.0,55.3,4.5,40.2,11777
Glen Martin,69.0,9.0,35.0,61.1,8.0,31.0,11650
Wallarobba,77.0,10.0,46.0,57.9,7.5,34.6,14111
Hilldale,72.0,8.0,59.0,51.8,5.8,42.4,11906
Glen Oak,136.0,30.0,82.0,54.8,12.1,33.1,11652
Glen William,53.0,8.0,27.0,60.2,9.1,30.7,11654
Brookfield (NSW),82.0,7.0,54.0,57.3,4.9,37.8,10596
Abermain,754.0,242.0,681.0,45.0,14.4,40.6,10010
Weston (NSW),1106.0,280.0,1189.0,43.0,10.9,46.2,14262
Kurri Kurri,1702.0,558.0,2101.0,39.0,12.8,48.2,12221
Stanford Merthyr,188.0,41.0,191.0,44.8,9.8,45.5,13647
Pelaw Main,320.0,99.0,342.0,42.0,13.0,44.9,13177
Heddon Greta,832.0,185.0,507.0,54.6,12.1,33.3,11888
Neath,131.0,31.0,182.0,38.1,9.0,52.9,12917
Cliftleigh,170.0,98.0,216.0,35.1,20.2,44.6,10932
Sawyers Gully,180.0,41.0,158.0,47.5,10.8,41.7,13499
Hunterview,1063.0,255.0,662.0,53.7,12.9,33.4,11955
Redbournberry,99.0,19.0,53.0,57.9,11.1,31.0,13337
Singleton (NSW),1466.0,443.0,1657.0,41.1,12.4,46.5,13549
Whittingham,155.0,29.0,97.0,55.2,10.3,34.5,14279
Gowrie (Singleton - NSW),151.0,24.0,62.0,63.7,10.1,26.2,11729
Glenridding,80.0,31.0,86.0,40.6,15.7,43.7,11676
Singleton Heights,1413.0,424.0,1287.0,45.2,13.6,41.2,13550
Wattle Ponds,498.0,45.0,217.0,65.5,5.9,28.6,14193
McDougalls Hill,64.0,11.0,41.0,55.2,9.5,35.3,12541
Darlington (Singleton - NSW),133.0,30.0,110.0,48.7,11.0,40.3,11213
Broke (NSW),188.0,39.0,121.0,54.0,11.2,34.8,10590
Putty,26.0,3.0,24.0,49.1,5.7,45.3,13279
Howes Valley,26.0,8.0,18.0,50.0,15.4,34.6,11948
Bulga (NSW),144.0,23.0,61.0,63.2,10.1,26.8,10651
Jerrys Plains,112.0,25.0,51.0,59.6,13.3,27.1,12021
Maison Dieu,57.0,16.0,46.0,47.9,13.4,38.7,12448
Bridgman,84.0,21.0,39.0,58.3,14.6,27.1,10567
Mount Olive (Singleton - NSW),76.0,11.0,24.0,68.5,9.9,21.6,12781
Westbrook (NSW),68.0,7.0,33.0,63.0,6.5,30.6,14257
Reedy Creek (NSW),80.0,6.0,41.0,63.0,4.7,32.3,13342
Sedgefield,74.0,13.0,28.0,64.3,11.3,24.3,13514
Mitchells Flat,92.0,22.0,43.0,58.6,14.0,27.4,12651
Glendon,49.0,12.0,17.0,62.8,15.4,21.8,11660
Elderslie (Singleton - NSW),53.0,10.0,26.0,59.6,11.2,29.2,11392
Lambs Valley (Singleton - NSW),154.0,18.0,69.0,63.9,7.5,28.6,12263
Stanhope (NSW),66.0,3.0,29.0,67.3,3.1,29.6,13648
Glendon Brook,106.0,14.0,57.0,59.9,7.9,32.2,11661
Maitland (NSW),477.0,138.0,667.0,37.2,10.8,52.0,12449
South Maitland,103.0,36.0,162.0,34.2,12.0,53.8,13591
Gillieston Heights,1006.0,403.0,754.0,46.5,18.6,34.9,11624
Louth Park,289.0,38.0,156.0,59.8,7.9,32.3,12395
Horseshoe Bend,93.0,40.0,133.0,35.0,15.0,50.0,11939
Oakhampton,69.0,6.0,43.0,58.5,5.1,36.4,13056
East Maitland,3854.0,962.0,3846.0,44.5,11.1,44.4,11360
Metford,1512.0,379.0,1437.0,45.4,11.4,43.2,12592
Tenambit,996.0,228.0,925.0,46.3,10.6,43.0,13787
Raworth,715.0,99.0,379.0,59.9,8.3,31.8,13325
Morpeth,554.0,95.0,436.0,51.1,8.8,40.2,12727
Ashtonfield,1894.0,267.0,1038.0,59.2,8.3,32.4,10102
Chisholm (NSW),647.0,155.0,220.0,63.3,15.2,21.5,10909
Largs,766.0,123.0,416.0,58.7,9.4,31.9,12278
Bolwarra Heights,1268.0,184.0,614.0,61.4,8.9,29.7,10451
Lorn,523.0,91.0,388.0,52.2,9.1,38.7,12389
Bolwarra (NSW),441.0,55.0,223.0,61.3,7.6,31.0,10450
Woodville (NSW),179.0,17.0,120.0,56.6,5.4,38.0,14398
Maitland Vale,54.0,13.0,30.0,55.7,13.4,30.9,12451
Rutherford,3493.0,1164.0,3566.0,42.5,14.2,43.4,13449
Aberglasslyn,1908.0,539.0,1228.0,51.9,14.7,33.4,10009
Luskintyre,86.0,18.0,36.0,61.4,12.9,25.7,12423
Lochinvar,329.0,48.0,220.0,55.1,8.0,36.9,12368
Windella,337.0,53.0,145.0,63.0,9.9,27.1,14317
Telarah,633.0,220.0,840.0,37.4,13.0,49.6,13780
Farley,91.0,14.0,68.0,52.6,8.1,39.3,11490
Bishops Bridge,98.0,13.0,56.0,58.7,7.8,33.5,10380
Thornton (NSW),3180.0,640.0,1975.0,54.9,11.0,34.1,13851
Millers Forest,148.0,31.0,92.0,54.6,11.4,33.9,12618
Berry Park,53.0,6.0,37.0,55.2,6.2,38.5,10325
Anna Bay,1272.0,303.0,1141.0,46.8,11.2,42.0,10060
Boat Harbour (Port Stephens - NSW),408.0,62.0,217.0,59.4,9.0,31.6,10425
Bobs Farm,151.0,42.0,147.0,44.4,12.4,43.2,10429
One Mile (NSW),147.0,25.0,118.0,50.7,8.6,40.7,13085
Lemon Tree Passage,949.0,228.0,743.0,49.4,11.9,38.7,12300
Mallabula,298.0,91.0,283.0,44.3,13.5,42.1,12455
Tanilba Bay,1145.0,232.0,883.0,50.7,10.3,39.1,13748
Salamander Bay,1787.0,322.0,1418.0,50.7,9.1,40.2,13463
Soldiers Point,581.0,114.0,392.0,53.4,10.5,36.1,13570
Corlette,2356.0,315.0,1257.0,60.0,8.0,32.0,11075
Taylors Beach (NSW),53.0,10.0,25.0,60.2,11.4,28.4,13777
Nelson Bay (NSW),2042.0,475.0,1771.0,47.6,11.1,41.3,12923
Fingal Bay,635.0,101.0,411.0,55.4,8.8,35.8,11518
Shoal Bay (NSW),496.0,144.0,503.0,43.4,12.6,44.0,13539
Raymond Terrace,3568.0,1101.0,4172.0,40.4,12.5,47.2,13327
Tomago,71.0,16.0,118.0,34.6,7.8,57.6,13889
Heatherbrae,149.0,32.0,206.0,38.5,8.3,53.2,11884
