,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Gresford,9.0,24.0,0.0,3.0,8.0,0.0,0.0,4.0,4.0,0.0,27.0,11.4,30.4,0.0,3.8,10.1,0.0,0.0,5.1,5.1,0.0,34.2,11777
Glen Martin,0.0,16.0,0.0,8.0,11.0,0.0,3.0,0.0,3.0,0.0,13.0,0.0,29.6,0.0,14.8,20.4,0.0,5.6,0.0,5.6,0.0,24.1,11650
Wallarobba,3.0,11.0,8.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,11.0,6.1,22.4,16.3,0.0,26.5,0.0,0.0,6.1,0.0,0.0,22.4,14111
Hilldale,3.0,13.0,3.0,0.0,16.0,3.0,0.0,5.0,5.0,0.0,15.0,4.8,20.6,4.8,0.0,25.4,4.8,0.0,7.9,7.9,0.0,23.8,11906
Glen Oak,3.0,24.0,4.0,3.0,24.0,7.0,5.0,16.0,19.0,3.0,31.0,2.2,17.3,2.9,2.2,17.3,5.0,3.6,11.5,13.7,2.2,22.3,11652
Glen William,3.0,4.0,0.0,3.0,7.0,0.0,0.0,4.0,3.0,0.0,7.0,9.7,12.9,0.0,9.7,22.6,0.0,0.0,12.9,9.7,0.0,22.6,11654
Brookfield (NSW),0.0,5.0,4.0,0.0,18.0,0.0,3.0,3.0,8.0,0.0,23.0,0.0,7.8,6.2,0.0,28.1,0.0,4.7,4.7,12.5,0.0,35.9,10596
Abermain,47.0,174.0,29.0,9.0,119.0,9.0,19.0,49.0,45.0,10.0,152.0,7.1,26.3,4.4,1.4,18.0,1.4,2.9,7.4,6.8,1.5,23.0,10010
Weston (NSW),68.0,325.0,47.0,26.0,212.0,18.0,17.0,61.0,42.0,17.0,255.0,6.2,29.9,4.3,2.4,19.5,1.7,1.6,5.6,3.9,1.6,23.4,14262
Kurri Kurri,91.0,392.0,43.0,26.0,306.0,23.0,24.0,126.0,110.0,26.0,521.0,5.4,23.2,2.5,1.5,18.1,1.4,1.4,7.5,6.5,1.5,30.9,12221
Stanford Merthyr,4.0,33.0,9.0,0.0,19.0,3.0,0.0,3.0,7.0,3.0,41.0,3.3,27.0,7.4,0.0,15.6,2.5,0.0,2.5,5.7,2.5,33.6,13647
Pelaw Main,11.0,75.0,9.0,8.0,53.0,3.0,6.0,16.0,14.0,4.0,57.0,4.3,29.3,3.5,3.1,20.7,1.2,2.3,6.2,5.5,1.6,22.3,13177
Heddon Greta,51.0,149.0,43.0,3.0,101.0,25.0,8.0,49.0,51.0,9.0,80.0,9.0,26.2,7.6,0.5,17.8,4.4,1.4,8.6,9.0,1.6,14.1,11888
Neath,11.0,24.0,4.0,0.0,25.0,0.0,3.0,11.0,4.0,0.0,56.0,8.0,17.4,2.9,0.0,18.1,0.0,2.2,8.0,2.9,0.0,40.6,12917
Cliftleigh,32.0,116.0,17.0,12.0,57.0,8.0,9.0,20.0,19.0,11.0,85.0,8.3,30.1,4.4,3.1,14.8,2.1,2.3,5.2,4.9,2.8,22.0,10932
Sawyers Gully,5.0,13.0,5.0,9.0,13.0,8.0,5.0,5.0,5.0,0.0,42.0,4.5,11.8,4.5,8.2,11.8,7.3,4.5,4.5,4.5,0.0,38.2,13499
Hunterview,90.0,228.0,103.0,18.0,132.0,74.0,28.0,76.0,92.0,21.0,175.0,8.7,22.0,9.9,1.7,12.7,7.1,2.7,7.3,8.9,2.0,16.9,11955
Redbournberry,0.0,7.0,10.0,0.0,14.0,9.0,0.0,4.0,5.0,0.0,12.0,0.0,11.5,16.4,0.0,23.0,14.8,0.0,6.6,8.2,0.0,19.7,13337
Singleton (NSW),88.0,270.0,78.0,12.0,194.0,69.0,35.0,124.0,123.0,30.0,355.0,6.4,19.6,5.7,0.9,14.1,5.0,2.5,9.0,8.9,2.2,25.8,13549
Whittingham,6.0,14.0,10.0,3.0,18.0,10.0,0.0,10.0,4.0,0.0,27.0,5.9,13.7,9.8,2.9,17.6,9.8,0.0,9.8,3.9,0.0,26.5,14279
Gowrie (Singleton - NSW),4.0,31.0,9.0,0.0,29.0,7.0,0.0,10.0,5.0,0.0,8.0,3.9,30.1,8.7,0.0,28.2,6.8,0.0,9.7,4.9,0.0,7.8,11729
Glenridding,0.0,9.0,9.0,0.0,13.0,3.0,0.0,3.0,3.0,0.0,25.0,0.0,13.8,13.8,0.0,20.0,4.6,0.0,4.6,4.6,0.0,38.5,11676
Singleton Heights,107.0,363.0,75.0,10.0,232.0,73.0,30.0,102.0,82.0,26.0,343.0,7.4,25.2,5.2,0.7,16.1,5.1,2.1,7.1,5.7,1.8,23.8,13550
Wattle Ponds,34.0,86.0,68.0,4.0,76.0,50.0,16.0,17.0,33.0,8.0,42.0,7.8,19.8,15.7,0.9,17.5,11.5,3.7,3.9,7.6,1.8,9.7,14193
McDougalls Hill,3.0,6.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,11.1,22.2,14.8,0.0,22.2,18.5,0.0,0.0,0.0,0.0,11.1,12541
Darlington (Singleton - NSW),4.0,20.0,3.0,0.0,11.0,3.0,0.0,7.0,8.0,4.0,25.0,4.7,23.5,3.5,0.0,12.9,3.5,0.0,8.2,9.4,4.7,29.4,11213
Broke (NSW),11.0,57.0,9.0,8.0,25.0,8.0,3.0,4.0,6.0,3.0,89.0,4.9,25.6,4.0,3.6,11.2,3.6,1.3,1.8,2.7,1.3,39.9,10590
Putty,0.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,77.0,0.0,7.5,0.0,0.0,3.2,0.0,0.0,3.2,3.2,0.0,82.8,13279
Howes Valley,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,54.0,0.0,13.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0,78.3,11948
Bulga (NSW),13.0,20.0,8.0,0.0,9.0,3.0,7.0,9.0,3.0,0.0,46.0,11.0,16.9,6.8,0.0,7.6,2.5,5.9,7.6,2.5,0.0,39.0,10651
Jerrys Plains,4.0,22.0,17.0,5.0,6.0,7.0,0.0,9.0,0.0,3.0,53.0,3.2,17.5,13.5,4.0,4.8,5.6,0.0,7.1,0.0,2.4,42.1,12021
Maison Dieu,0.0,10.0,3.0,0.0,12.0,3.0,0.0,10.0,0.0,3.0,26.0,0.0,14.9,4.5,0.0,17.9,4.5,0.0,14.9,0.0,4.5,38.8,12448
Bridgman,6.0,13.0,0.0,0.0,11.0,7.0,0.0,3.0,4.0,0.0,10.0,11.1,24.1,0.0,0.0,20.4,13.0,0.0,5.6,7.4,0.0,18.5,10567
Mount Olive (Singleton - NSW),0.0,8.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0,27.6,0.0,0.0,27.6,13.8,0.0,0.0,0.0,10.3,20.7,12781
Westbrook (NSW),3.0,10.0,0.0,0.0,4.0,4.0,0.0,9.0,3.0,0.0,14.0,6.4,21.3,0.0,0.0,8.5,8.5,0.0,19.1,6.4,0.0,29.8,14257
Reedy Creek (NSW),3.0,3.0,0.0,0.0,7.0,5.0,0.0,3.0,4.0,0.0,23.0,6.2,6.2,0.0,0.0,14.6,10.4,0.0,6.2,8.3,0.0,47.9,13342
Sedgefield,4.0,13.0,13.0,0.0,7.0,7.0,0.0,3.0,7.0,0.0,16.0,5.7,18.6,18.6,0.0,10.0,10.0,0.0,4.3,10.0,0.0,22.9,13514
Mitchells Flat,0.0,13.0,10.0,3.0,18.0,10.0,3.0,3.0,0.0,0.0,11.0,0.0,18.3,14.1,4.2,25.4,14.1,4.2,4.2,0.0,0.0,15.5,12651
Glendon,0.0,6.0,9.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,15.8,23.7,0.0,18.4,0.0,0.0,0.0,7.9,0.0,34.2,11660
Elderslie (Singleton - NSW),3.0,3.0,5.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,11.0,8.6,8.6,14.3,8.6,17.1,11.4,0.0,0.0,0.0,0.0,31.4,11392
Lambs Valley (Singleton - NSW),6.0,16.0,15.0,4.0,4.0,10.0,15.0,3.0,7.0,4.0,36.0,5.0,13.3,12.5,3.3,3.3,8.3,12.5,2.5,5.8,3.3,30.0,12263
Stanhope (NSW),5.0,4.0,3.0,0.0,5.0,3.0,6.0,4.0,0.0,0.0,21.0,9.8,7.8,5.9,0.0,9.8,5.9,11.8,7.8,0.0,0.0,41.2,13648
Glendon Brook,7.0,21.0,11.0,3.0,9.0,3.0,0.0,7.0,10.0,0.0,20.0,7.7,23.1,12.1,3.3,9.9,3.3,0.0,7.7,11.0,0.0,22.0,11661
Maitland (NSW),27.0,88.0,25.0,9.0,46.0,18.0,7.0,43.0,59.0,15.0,191.0,5.1,16.7,4.7,1.7,8.7,3.4,1.3,8.1,11.2,2.8,36.2,12449
South Maitland,8.0,12.0,0.0,3.0,15.0,0.0,0.0,0.0,8.0,0.0,94.0,5.7,8.6,0.0,2.1,10.7,0.0,0.0,0.0,5.7,0.0,67.1,13591
Gillieston Heights,99.0,218.0,55.0,29.0,124.0,44.0,26.0,82.0,108.0,16.0,167.0,10.2,22.5,5.7,3.0,12.8,4.5,2.7,8.5,11.2,1.7,17.3,11624
Louth Park,18.0,19.0,12.0,19.0,34.0,32.0,21.0,10.0,32.0,0.0,24.0,8.1,8.6,5.4,8.6,15.4,14.5,9.5,4.5,14.5,0.0,10.9,12395
Horseshoe Bend,6.0,14.0,0.0,7.0,10.0,6.0,5.0,12.0,14.0,0.0,46.0,5.0,11.7,0.0,5.8,8.3,5.0,4.2,10.0,11.7,0.0,38.3,11939
Oakhampton,3.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,19.0,7.7,12.8,0.0,0.0,0.0,0.0,7.7,12.8,10.3,0.0,48.7,13056
East Maitland,205.0,637.0,165.0,127.0,473.0,152.0,126.0,266.0,394.0,70.0,811.0,6.0,18.6,4.8,3.7,13.8,4.4,3.7,7.8,11.5,2.0,23.7,11360
Metford,124.0,373.0,70.0,45.0,229.0,30.0,47.0,121.0,134.0,34.0,271.0,8.4,25.2,4.7,3.0,15.5,2.0,3.2,8.2,9.1,2.3,18.3,12592
Tenambit,38.0,202.0,31.0,14.0,145.0,29.0,19.0,57.0,85.0,17.0,177.0,4.7,24.8,3.8,1.7,17.8,3.6,2.3,7.0,10.4,2.1,21.7,13787
Raworth,52.0,122.0,83.0,22.0,84.0,35.0,25.0,31.0,60.0,6.0,65.0,8.9,20.9,14.2,3.8,14.4,6.0,4.3,5.3,10.3,1.0,11.1,13325
Morpeth,22.0,77.0,17.0,17.0,37.0,22.0,15.0,17.0,45.0,7.0,56.0,6.6,23.2,5.1,5.1,11.1,6.6,4.5,5.1,13.6,2.1,16.9,12727
Ashtonfield,112.0,380.0,72.0,94.0,239.0,64.0,74.0,78.0,181.0,30.0,229.0,7.2,24.5,4.6,6.1,15.4,4.1,4.8,5.0,11.7,1.9,14.7,10102
Chisholm (NSW),54.0,51.0,94.0,27.0,48.0,32.0,24.0,28.0,72.0,5.0,33.0,11.5,10.9,20.1,5.8,10.3,6.8,5.1,6.0,15.4,1.1,7.1,10909
Largs,39.0,167.0,46.0,12.0,85.0,49.0,17.0,39.0,36.0,5.0,89.0,6.7,28.6,7.9,2.1,14.6,8.4,2.9,6.7,6.2,0.9,15.2,12278
Bolwarra Heights,68.0,251.0,68.0,47.0,105.0,99.0,37.0,61.0,122.0,17.0,125.0,6.8,25.1,6.8,4.7,10.5,9.9,3.7,6.1,12.2,1.7,12.5,10451
Lorn,18.0,69.0,31.0,20.0,34.0,36.0,23.0,23.0,58.0,7.0,77.0,4.5,17.4,7.8,5.1,8.6,9.1,5.8,5.8,14.6,1.8,19.4,12389
Bolwarra (NSW),19.0,61.0,15.0,20.0,21.0,19.0,23.0,15.0,50.0,7.0,55.0,6.2,20.0,4.9,6.6,6.9,6.2,7.5,4.9,16.4,2.3,18.0,10450
Woodville (NSW),10.0,30.0,3.0,6.0,20.0,5.0,14.0,5.0,16.0,0.0,27.0,7.4,22.1,2.2,4.4,14.7,3.7,10.3,3.7,11.8,0.0,19.9,14398
Maitland Vale,5.0,12.0,0.0,3.0,8.0,3.0,4.0,0.0,4.0,0.0,10.0,10.2,24.5,0.0,6.1,16.3,6.1,8.2,0.0,8.2,0.0,20.4,12451
Rutherford,262.0,840.0,272.0,24.0,446.0,195.0,34.0,262.0,277.0,84.0,787.0,7.5,24.1,7.8,0.7,12.8,5.6,1.0,7.5,8.0,2.4,22.6,13449
Aberglasslyn,168.0,371.0,220.0,43.0,189.0,178.0,32.0,158.0,177.0,37.0,200.0,9.5,20.9,12.4,2.4,10.7,10.0,1.8,8.9,10.0,2.1,11.3,10009
Luskintyre,3.0,9.0,9.0,3.0,3.0,7.0,4.0,4.0,3.0,0.0,12.0,5.3,15.8,15.8,5.3,5.3,12.3,7.0,7.0,5.3,0.0,21.1,12423
Lochinvar,11.0,18.0,21.0,9.0,17.0,28.0,3.0,21.0,14.0,4.0,49.0,5.6,9.2,10.8,4.6,8.7,14.4,1.5,10.8,7.2,2.1,25.1,12368
Windella,21.0,24.0,36.0,14.0,11.0,39.0,10.0,16.0,25.0,4.0,28.0,9.2,10.5,15.8,6.1,4.8,17.1,4.4,7.0,11.0,1.8,12.3,14317
Telarah,44.0,122.0,55.0,7.0,96.0,24.0,3.0,46.0,59.0,18.0,152.0,7.0,19.5,8.8,1.1,15.3,3.8,0.5,7.3,9.4,2.9,24.3,13780
Farley,8.0,5.0,13.0,0.0,4.0,13.0,0.0,0.0,9.0,0.0,8.0,13.3,8.3,21.7,0.0,6.7,21.7,0.0,0.0,15.0,0.0,13.3,11490
Bishops Bridge,3.0,8.0,4.0,3.0,6.0,0.0,4.0,4.0,7.0,0.0,33.0,4.2,11.1,5.6,4.2,8.3,0.0,5.6,5.6,9.7,0.0,45.8,10380
Thornton (NSW),183.0,521.0,243.0,84.0,415.0,144.0,100.0,180.0,272.0,36.0,272.0,7.5,21.3,9.9,3.4,16.9,5.9,4.1,7.3,11.1,1.5,11.1,13851
Millers Forest,3.0,5.0,18.0,3.0,10.0,4.0,5.0,11.0,5.0,0.0,7.0,4.2,7.0,25.4,4.2,14.1,5.6,7.0,15.5,7.0,0.0,9.9,12618
Berry Park,0.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,12.1,9.1,0.0,18.2,12.1,0.0,48.5,10325
Anna Bay,53.0,200.0,29.0,27.0,218.0,21.0,53.0,70.0,73.0,20.0,415.0,4.5,17.0,2.5,2.3,18.5,1.8,4.5,5.9,6.2,1.7,35.2,10060
Boat Harbour (Port Stephens - NSW),17.0,55.0,16.0,23.0,35.0,3.0,26.0,16.0,30.0,3.0,48.0,6.2,20.2,5.9,8.5,12.9,1.1,9.6,5.9,11.0,1.1,17.6,10425
Bobs Farm,11.0,13.0,0.0,10.0,21.0,0.0,3.0,8.0,7.0,0.0,34.0,10.3,12.1,0.0,9.3,19.6,0.0,2.8,7.5,6.5,0.0,31.8,10429
One Mile (NSW),7.0,11.0,3.0,21.0,22.0,4.0,23.0,9.0,18.0,0.0,23.0,5.0,7.8,2.1,14.9,15.6,2.8,16.3,6.4,12.8,0.0,16.3,13085
Lemon Tree Passage,28.0,189.0,0.0,8.0,81.0,16.0,4.0,41.0,25.0,9.0,214.0,4.6,30.7,0.0,1.3,13.2,2.6,0.7,6.7,4.1,1.5,34.8,12300
Mallabula,24.0,81.0,0.0,4.0,25.0,11.0,6.0,17.0,15.0,0.0,78.0,9.2,31.0,0.0,1.5,9.6,4.2,2.3,6.5,5.7,0.0,29.9,12455
Tanilba Bay,65.0,275.0,8.0,9.0,129.0,21.0,9.0,58.0,58.0,19.0,243.0,7.3,30.8,0.9,1.0,14.4,2.3,1.0,6.5,6.5,2.1,27.2,13748
Salamander Bay,66.0,267.0,38.0,52.0,220.0,17.0,50.0,71.0,74.0,27.0,368.0,5.3,21.4,3.0,4.2,17.6,1.4,4.0,5.7,5.9,2.2,29.4,13463
Soldiers Point,21.0,86.0,5.0,11.0,41.0,0.0,23.0,19.0,24.0,4.0,106.0,6.2,25.3,1.5,3.2,12.1,0.0,6.8,5.6,7.1,1.2,31.2,13570
Corlette,65.0,227.0,88.0,105.0,216.0,40.0,119.0,50.0,141.0,20.0,255.0,4.9,17.1,6.6,7.9,16.3,3.0,9.0,3.8,10.6,1.5,19.2,11075
Taylors Beach (NSW),0.0,11.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,33.3,0.0,0.0,24.2,0.0,0.0,0.0,9.1,0.0,33.3,13777
Nelson Bay (NSW),95.0,295.0,75.0,50.0,209.0,37.0,56.0,128.0,140.0,27.0,370.0,6.4,19.9,5.1,3.4,14.1,2.5,3.8,8.6,9.4,1.8,25.0,12923
Fingal Bay,20.0,44.0,19.0,10.0,29.0,4.0,13.0,31.0,19.0,7.0,246.0,4.5,10.0,4.3,2.3,6.6,0.9,2.9,7.0,4.3,1.6,55.7,11518
Shoal Bay (NSW),19.0,100.0,3.0,7.0,55.0,3.0,12.0,27.0,21.0,4.0,385.0,3.0,15.7,0.5,1.1,8.6,0.5,1.9,4.2,3.3,0.6,60.5,13539
Raymond Terrace,300.0,885.0,254.0,57.0,577.0,135.0,68.0,263.0,317.0,86.0,1011.0,7.6,22.4,6.4,1.4,14.6,3.4,1.7,6.7,8.0,2.2,25.6,13327
Tomago,0.0,7.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,46.0,0.0,10.1,5.8,0.0,5.8,0.0,0.0,5.8,5.8,0.0,66.7,13889
Heatherbrae,4.0,16.0,0.0,0.0,10.0,3.0,3.0,5.0,9.0,0.0,53.0,3.9,15.5,0.0,0.0,9.7,2.9,2.9,4.9,8.7,0.0,51.5,11884
Eagleton,0.0,22.0,8.0,4.0,9.0,0.0,3.0,5.0,7.0,0.0,3.0,0.0,36.1,13.1,6.6,14.8,0.0,4.9,8.2,11.5,0.0,4.9,11342
Duns Creek,14.0,30.0,9.0,8.0,21.0,9.0,9.0,9.0,24.0,3.0,24.0,8.8,18.8,5.6,5.0,13.1,5.6,5.6,5.6,15.0,1.9,15.0,11326
Seaham,21.0,80.0,15.0,12.0,65.0,20.0,14.0,24.0,32.0,3.0,37.0,6.5,24.8,4.6,3.7,20.1,6.2,4.3,7.4,9.9,0.9,11.5,13510
Wallalong,21.0,63.0,37.0,28.0,42.0,35.0,27.0,24.0,35.0,0.0,60.0,5.6,16.9,9.9,7.5,11.3,9.4,7.3,6.5,9.4,0.0,16.1,14104
Brandy Hill,3.0,30.0,10.0,11.0,35.0,8.0,14.0,11.0,27.0,4.0,38.0,1.6,15.7,5.2,5.8,18.3,4.2,7.3,5.8,14.1,2.1,19.9,10548
Hinton,5.0,19.0,13.0,6.0,12.0,16.0,12.0,9.0,12.0,0.0,20.0,4.0,15.3,10.5,4.8,9.7,12.9,9.7,7.3,9.7,0.0,16.1,11916
Butterwick,0.0,7.0,3.0,3.0,4.0,8.0,6.0,8.0,6.0,0.0,3.0,0.0,14.6,6.2,6.2,8.3,16.7,12.5,16.7,12.5,0.0,6.2,10725
East Seaham,3.0,22.0,0.0,4.0,14.0,0.0,7.0,11.0,8.0,0.0,35.0,2.9,21.2,0.0,3.8,13.5,0.0,6.7,10.6,7.7,0.0,33.7,11362
Nelsons Plains,8.0,20.0,21.0,3.0,8.0,4.0,4.0,7.0,14.0,0.0,31.0,6.7,16.7,17.5,2.5,6.7,3.3,3.3,5.8,11.7,0.0,25.8,12924
Osterley (NSW),0.0,5.0,0.0,5.0,3.0,3.0,0.0,3.0,4.0,0.0,5.0,0.0,17.9,0.0,17.9,10.7,10.7,0.0,10.7,14.3,0.0,17.9,13099
Tea Gardens,33.0,82.0,12.0,19.0,61.0,4.0,23.0,24.0,44.0,5.0,193.0,6.6,16.4,2.4,3.8,12.2,0.8,4.6,4.8,8.8,1.0,38.6,13779
North Arm Cove,9.0,16.0,0.0,9.0,16.0,0.0,8.0,4.0,6.0,0.0,29.0,9.3,16.5,0.0,9.3,16.5,0.0,8.2,4.1,6.2,0.0,29.9,12979
Bundabah,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,46.2,0.0,0.0,30.8,0.0,0.0,0.0,0.0,0.0,23.1,10668
Pindimar,3.0,9.0,3.0,3.0,14.0,0.0,7.0,5.0,3.0,0.0,29.0,3.9,11.8,3.9,3.9,18.4,0.0,9.2,6.6,3.9,0.0,38.2,13211
Hawks Nest,13.0,49.0,5.0,10.0,46.0,4.0,7.0,20.0,12.0,3.0,103.0,4.8,18.0,1.8,3.7,16.9,1.5,2.6,7.4,4.4,1.1,37.9,11873
Karuah,18.0,87.0,8.0,3.0,58.0,7.0,0.0,16.0,24.0,7.0,161.0,4.6,22.4,2.1,0.8,14.9,1.8,0.0,4.1,6.2,1.8,41.4,12076
Medowie,236.0,811.0,54.0,118.0,466.0,131.0,134.0,184.0,256.0,55.0,694.0,7.5,25.8,1.7,3.8,14.8,4.2,4.3,5.9,8.2,1.8,22.1,12554
Salt Ash,16.0,68.0,12.0,10.0,50.0,17.0,9.0,13.0,27.0,4.0,101.0,4.9,20.8,3.7,3.1,15.3,5.2,2.8,4.0,8.3,1.2,30.9,13467
Williamtown,6.0,10.0,9.0,0.0,16.0,8.0,3.0,9.0,12.0,0.0,177.0,2.4,4.0,3.6,0.0,6.4,3.2,1.2,3.6,4.8,0.0,70.8,14299
Twelve Mile Creek,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,16.3,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,76.7,13988
Swan Bay (Port Stephens - NSW),4.0,20.0,7.0,4.0,10.0,3.0,5.0,3.0,9.0,0.0,37.0,3.9,19.6,6.9,3.9,9.8,2.9,4.9,2.9,8.8,0.0,36.3,13704
Muswellbrook,279.0,884.0,226.0,79.0,459.0,219.0,42.0,268.0,182.0,51.0,1077.0,7.4,23.5,6.0,2.1,12.2,5.8,1.1,7.1,4.8,1.4,28.6,12868
Denman,35.0,113.0,40.0,3.0,88.0,61.0,5.0,38.0,21.0,0.0,140.0,6.4,20.8,7.4,0.6,16.2,11.2,0.9,7.0,3.9,0.0,25.7,11241
Gungal,3.0,28.0,9.0,0.0,7.0,3.0,0.0,3.0,4.0,0.0,19.0,3.9,36.8,11.8,0.0,9.2,3.9,0.0,3.9,5.3,0.0,25.0,11810
Martindale,4.0,4.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,28.0,8.5,8.5,0.0,0.0,17.0,0.0,0.0,6.4,0.0,0.0,59.6,12510
Castle Rock,3.0,9.0,4.0,4.0,9.0,12.0,3.0,4.0,0.0,0.0,30.0,3.8,11.5,5.1,5.1,11.5,15.4,3.8,5.1,0.0,0.0,38.5,10848
Aberdeen (NSW),52.0,158.0,41.0,5.0,66.0,74.0,9.0,36.0,20.0,11.0,197.0,7.8,23.6,6.1,0.7,9.9,11.1,1.3,5.4,3.0,1.6,29.4,10007
Wybong,4.0,13.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0,12.1,39.4,0.0,9.1,9.1,9.1,0.0,9.1,0.0,0.0,12.1,14436
Sandy Hollow,3.0,15.0,0.0,0.0,9.0,5.0,0.0,4.0,0.0,0.0,23.0,5.1,25.4,0.0,0.0,15.3,8.5,0.0,6.8,0.0,0.0,39.0,13486
Muscle Creek,14.0,24.0,10.0,11.0,6.0,11.0,5.0,8.0,4.0,0.0,19.0,12.5,21.4,8.9,9.8,5.4,9.8,4.5,7.1,3.6,0.0,17.0,12867
McCullys Gap,3.0,20.0,0.0,3.0,11.0,6.0,3.0,3.0,5.0,0.0,12.0,4.5,30.3,0.0,4.5,16.7,9.1,4.5,4.5,7.6,0.0,18.2,12540
Scone,122.0,299.0,140.0,109.0,183.0,121.0,78.0,106.0,85.0,23.0,459.0,7.1,17.3,8.1,6.3,10.6,7.0,4.5,6.1,4.9,1.3,26.6,13503
Middle Brook,3.0,10.0,0.0,10.0,8.0,3.0,4.0,8.0,3.0,0.0,28.0,3.9,13.0,0.0,13.0,10.4,3.9,5.2,10.4,3.9,0.0,36.4,12600
Dartbrook,6.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.4,25.8,9.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,35.5,11217
Segenhoe,6.0,6.0,6.0,10.0,8.0,3.0,0.0,10.0,0.0,0.0,29.0,7.7,7.7,7.7,12.8,10.3,3.8,0.0,12.8,0.0,0.0,37.2,13517
Rouchel,0.0,3.0,10.0,3.0,3.0,0.0,3.0,0.0,4.0,0.0,18.0,0.0,6.8,22.7,6.8,6.8,0.0,6.8,0.0,9.1,0.0,40.9,13422
Murrurundi,17.0,68.0,3.0,8.0,30.0,9.0,11.0,12.0,8.0,0.0,126.0,5.8,23.3,1.0,2.7,10.3,3.1,3.8,4.1,2.7,0.0,43.2,12864
Blandford,0.0,5.0,0.0,3.0,3.0,0.0,6.0,0.0,3.0,0.0,4.0,0.0,20.8,0.0,12.5,12.5,0.0,25.0,0.0,12.5,0.0,16.7,10406
Wingen,3.0,17.0,4.0,8.0,13.0,6.0,0.0,8.0,4.0,4.0,73.0,2.1,12.1,2.9,5.7,9.3,4.3,0.0,5.7,2.9,2.9,52.1,14331
Parkville (NSW),6.0,18.0,13.0,3.0,9.0,5.0,3.0,8.0,5.0,0.0,20.0,6.7,20.0,14.4,3.3,10.0,5.6,3.3,8.9,5.6,0.0,22.2,13154
Upper Dartbrook,0.0,5.0,0.0,5.0,3.0,0.0,3.0,4.0,0.0,0.0,18.0,0.0,13.2,0.0,13.2,7.9,0.0,7.9,10.5,0.0,0.0,47.4,14022
Gundy,7.0,12.0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,33.0,10.6,18.2,0.0,6.1,0.0,0.0,4.5,4.5,6.1,0.0,50.0,11809
Moonan Flat,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.7,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3,12697
Niangala,3.0,5.0,0.0,0.0,7.0,3.0,0.0,0.0,3.0,0.0,9.0,10.0,16.7,0.0,0.0,23.3,10.0,0.0,0.0,10.0,0.0,30.0,12962
Merriwa (NSW),34.0,97.0,55.0,17.0,73.0,11.0,20.0,26.0,19.0,6.0,194.0,6.2,17.6,10.0,3.1,13.2,2.0,3.6,4.7,3.4,1.1,35.1,12585
Moobi,6.0,7.0,3.0,6.0,0.0,3.0,6.0,3.0,3.0,0.0,4.0,14.6,17.1,7.3,14.6,0.0,7.3,14.6,7.3,7.3,0.0,9.8,12688
Dapto,243.0,696.0,159.0,49.0,565.0,124.0,47.0,199.0,266.0,66.0,569.0,8.1,23.3,5.3,1.6,18.9,4.2,1.6,6.7,8.9,2.2,19.1,11202
Kanahooka,93.0,282.0,104.0,22.0,203.0,95.0,24.0,91.0,145.0,19.0,245.0,7.0,21.3,7.9,1.7,15.3,7.2,1.8,6.9,11.0,1.4,18.5,12055
Koonawarra,87.0,303.0,39.0,7.0,219.0,32.0,14.0,74.0,72.0,31.0,194.0,8.1,28.3,3.6,0.7,20.4,3.0,1.3,6.9,6.7,2.9,18.1,12187
