,School Education,"Cafes, Restaurants and Takeaway Food Services",Building Installation Services,Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Depository Financial Intermediation,Auxiliary Finance and Investment Services,Hospitals,Public Order and Safety Services,Defence,"Architectural, Engineering and Technical Services",Tertiary Education,"Building Cleaning, Pest Control and Gardening Services",Residential Care Services,Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Clothing, Footwear and Personal Accessory Retailing",Coal Mining,Allied Health Services,Management and Related Consulting Services,State Government Administration,Building Completion Services,Accommodation,Other Machinery and Equipment Wholesaling,Medical Services,Pharmaceutical and Other Store-Based Retailing,Other Social Assistance Services,Child Care Services,Furniture Manufacturing,Specialised Food Retailing,Advertising Services,Air and Space Transport,Meat and Meat Product Manufacturing,Personal Care Services,Converted Paper Product Manufacturing,Real Estate Services,Printing and Printing Support Services,"Newspaper, Periodical, Book and Directory Publishing",Employment Services,"Furniture, Floor Covering and Other Goods Wholesaling",Automotive Repair and Maintenance,Veterinary Services,Road Passenger Transport,Local Government Administration,"Cement, Lime, Plaster and Concrete Product Manufacturing",Telecommunications Services,Specialised Machinery and Equipment Manufacturing,Recreational Goods Retailing,"Adult, Community and Other Education",Property Operators,Building Structure Services,Fruit and Vegetable Processing,Fertiliser and Pesticide Manufacturing,Polymer Product Manufacturing,Other Goods and Equipment Rental and Hiring,Sports and Physical Recreation Activities,Postal and Courier Pick-up and Delivery Services,Horse and Dog Racing Activities,"Pubs, Taverns and Bars",Rail Passenger Transport,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Building Installation Services (%),Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Depository Financial Intermediation (%),Auxiliary Finance and Investment Services (%),Hospitals (%),Public Order and Safety Services (%),Defence (%),"Architectural, Engineering and Technical Services (%)",Tertiary Education (%),"Building Cleaning, Pest Control and Gardening Services (%)",Residential Care Services (%),Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Coal Mining (%),Allied Health Services (%),Management and Related Consulting Services (%),State Government Administration (%),Building Completion Services (%),Accommodation (%),Other Machinery and Equipment Wholesaling (%),Medical Services (%),Pharmaceutical and Other Store-Based Retailing (%),Other Social Assistance Services (%),Child Care Services (%),Furniture Manufacturing (%),Specialised Food Retailing (%),Advertising Services (%),Air and Space Transport (%),Meat and Meat Product Manufacturing (%),Personal Care Services (%),Converted Paper Product Manufacturing (%),Real Estate Services (%),Printing and Printing Support Services (%),"Newspaper, Periodical, Book and Directory Publishing (%)",Employment Services (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Automotive Repair and Maintenance (%),Veterinary Services (%),Road Passenger Transport (%),Local Government Administration (%),"Cement, Lime, Plaster and Concrete Product Manufacturing (%)",Telecommunications Services (%),Specialised Machinery and Equipment Manufacturing (%),Recreational Goods Retailing (%),"Adult, Community and Other Education (%)",Property Operators (%),Building Structure Services (%),Fruit and Vegetable Processing (%),Fertiliser and Pesticide Manufacturing (%),Polymer Product Manufacturing (%),Other Goods and Equipment Rental and Hiring (%),Sports and Physical Recreation Activities (%),Postal and Courier Pick-up and Delivery Services (%),Horse and Dog Racing Activities (%),"Pubs, Taverns and Bars (%)",Rail Passenger Transport (%)
Dulwich Hill,386,256,,,,219,,,291,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.7,,,,3.2,,,4.2,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas,67,69,,,,,53,,53,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.9,,,,,3.0,,3.0,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas Valley,74,77,,,,,,,88,,,,,75,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.6,,,,,,,4.1,,,,,3.5,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dural,166,139,,,102,108,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.7,,,2.7,2.9,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Vale,98,119,,108,,,,,93,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.3,,3.9,,,,,3.4,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earlwood,363,296,,,,210,190,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.9,,,,2.8,2.5,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gosford,79,82,,,,,,,96,,,,,,62,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,5.0,,,,,,,5.9,,,,,,3.8,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hills,79,53,,42,,44,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,3.5,,2.8,,2.9,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Killara,,67,,,,75,,,,,,,42,,,,,62,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,5.9,,,,,,,3.3,,,,,4.9,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lindfield,,,,,,93,58,68,,,,64,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.9,4.6,,,,4.3,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ryde,61,,,,,,37,,,,,42,,,,,,51,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,3.3,,,,,3.7,,,,,,4.5,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Creek,11,,10,14,,,,,10,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,2.9,4.1,,,,,2.9,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastlakes,63,172,,,,,,,90,,,,,79,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,6.4,,,,,,,3.3,,,,,2.9,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastwood,267,380,,,,257,,,,,,,246,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,5.2,,,,3.5,,,,,,,3.4,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edensor Park,140,191,,111,,,,,108,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.5,,2.6,,,,,2.6,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgecliff,,44,,,,91,37,49,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,7.9,3.2,4.3,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgeworth,72,126,,,,,,,98,,,,,,94,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.7,,,,,,,3.6,,,,,,3.5,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elanora Heights,102,54,61,,55,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,2.7,3.1,,2.8,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderslie,186,92,59,60,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,4.2,2.7,2.8,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleebana,225,129,,,,,,,141,,,86,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,4.5,,,,,,,4.9,,,3.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elermore Vale,111,118,,,,,,,132,,,,57,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.9,,,,,,,5.5,,,,2.4,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Bay,,119,,,,215,127,122,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,6.6,3.9,3.8,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerton,18,33,,28,,,,,,,,,,,20,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.7,,4.0,,,,,,,,,,,2.9,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Bay,36,32,32,,35,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.1,3.1,,3.4,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu Heights,99,77,76,47,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,4.3,4.2,2.6,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu Plains,262,103,,109,,,,,135,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,2.7,,2.8,,,,,3.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,39,59,,,,44,48,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.8,,,,3.6,3.9,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engadine,482,274,291,,,,,,275,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.2,3.4,,,,,,3.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enmore,73,73,,,,73,,,96,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,3.5,,,4.6,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epping,479,386,,,,376,,,,,,,374,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.9,,,,3.8,,,,,,,3.7,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erina,71,97,,,,,,,50,,,,,40,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.3,,,,,,,3.2,,,,,2.6,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermington,154,188,105,,,,105,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.5,2.5,,,,2.5,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskine Park,128,157,97,162,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.3,2.7,4.4,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskineville,,,,,,188,,,175,,,178,230,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,3.6,,,3.6,4.7,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eschol Park,60,55,,39,,,,,35,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.2,,3.0,,,,,2.7,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ettalong Beach,,63,,,,,,,49,,,,,48,75,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,3.2,,,,,3.2,5.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,,179,,136,124,,,,,,,,,127,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,2.7,2.5,,,,,,,,,2.5,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield East,,69,,42,,32,33,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,2.7,,2.0,2.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Heights,,82,,77,56,,,,,,,,,51,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,3.9,2.8,,,,,,,,,2.6,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield West,87,166,,128,,,95,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4.2,,3.3,,,2.4,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairlight,106,,,,,139,,142,,,,120,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,4.4,,4.5,,,,3.8,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairy Meadow,131,168,,,,,,,80,,,,120,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.2,,,,,,,3.0,,,,4.4,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmborough Heights,138,91,,,,,,,71,,,,53,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,4.5,,,,,,,3.5,,,,2.6,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faulconbridge,195,66,,,,,,,97,70,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,3.2,,,,,,,4.8,3.4,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fennell Bay,26,20,,,,,,,26,,,,,,31,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.4,,,,,,,4.4,,,,,,5.2,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figtree,315,187,,,,,,,195,,,,235,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,3.9,,,,,,,4.1,,,,4.9,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Dock,200,179,,,,177,129,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.9,,,,3.9,2.8,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletcher,65,54,,,,,,,74,,,44,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.8,,,,,,,5.2,,,3.1,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders,99,120,,,,,,,89,,,,,,,144,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.9,,,,,,,3.7,,,,,,,5.9,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floraville,50,28,,,,,,,28,,,,,,,,29,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.6,,,,,,,3.6,,,,,,,,3.8,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Lodge,,72,,,,70,,,79,,,,131,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,4.2,,,4.7,,,,7.9,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forestville,176,117,,,,124,95,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.3,,,,3.5,2.7,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forresters Beach,106,61,,,33,,,,,36,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,4.9,,,2.6,,,,,2.9,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenchs Forest,344,207,,,,189,,,174,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,3.2,,,,2.9,,,2.7,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Suburb,58,47,,,,,,,48,,,42,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.9,,,,,,,5.0,,,4.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateshead,,56,,,,,,,46,,,,,42,57,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,3.7,,,,,3.4,4.6,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Hall,211,109,88,116,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,3.0,2.4,3.2,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,44,50,,,,,,,59,,,,31,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.8,,,,,,,5.7,,,,3.0,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girraween,67,60,,,,,71,,75,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.9,,,,,3.5,,3.7,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladesville,248,201,,,,185,,,184,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.5,,,,3.3,,,3.2,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glebe,,218,,,,281,179,,,,,,386,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,4.8,3.1,,,,,,6.6,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Alpine,152,136,59,,,60,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.4,2.3,,,2.4,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenbrook,287,77,,,,61,,,102,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,,,,2.3,,,3.9,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,58,76,,,,,,,60,,,,,,37,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,5.4,,,,,,,4.3,,,,,,2.6,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendenning,,78,,,,,69,,100,,,,,,67,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,2.9,,4.1,,,,,,2.8,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfield,140,125,,,,,87,,99,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.6,,,,,2.5,,2.8,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenhaven,198,95,,,,128,,,74,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,3.0,,,,4.0,,,2.3,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmore Park,541,405,,326,,,,,354,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3.7,,3.0,,,,,3.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenning Valley,56,69,,,,,21,,36,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.7,,,,,2.0,,3.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood,305,289,,,,,274,,287,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.7,,,,,3.5,,3.7,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon,150,120,,,,163,,109,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,5.5,,3.6,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorokan,93,129,,,,,,,74,,,,,,121,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.6,,,,,,,2.6,,,,,,4.3,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gosford,44,82,,,,,,,142,,,,,,64,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4.6,,,,,,,8.0,,,,,,3.6,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville,,383,,,,,148,,185,,,,,,180,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,2.6,,3.2,,,,,,3.1,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Point,109,64,,,45,45,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.1,,,2.9,2.9,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Point,12,14,,,,,,,,,,,,,12,,12,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,5.8,,,,,,,,,,,,,4.9,,4.9,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley,154,241,,160,,,,,150,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.6,,3.1,,,,,2.9,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenacre,287,334,201,182,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.4,2.6,2.4,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Park,75,65,,56,,,45,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.4,,2.9,,,2.3,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,105,,,,,153,,,145,,,99,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,5.5,,,5.2,,,3.6,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystanes,494,347,,302,,,251,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3.4,,3.0,,,2.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
