,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Merewether Heights,54.0,40.0,30.0,--,--,--
Merrylands,45.0,35.0,30.0,--,--,--
Merrylands West,47.0,35.0,33.0,--,--,--
Middle Cove,51.0,50.0,27.0,--,--,--
Miller,50.0,39.0,37.0,--,--,--
Millers Point,53.0,34.0,42.0,--,--,--
Milperra,54.0,38.0,26.0,--,--,--
Milsons Point,51.0,32.0,35.0,--,--,--
Minchinbury,47.0,40.0,23.0,--,--,--
Minmi,49.0,35.0,23.0,--,--,--
Minto,47.0,38.0,29.0,--,--,--
Miranda (NSW),50.0,33.0,39.0,--,--,--
Mona Vale,52.0,38.0,35.0,--,--,--
Monterey,51.0,37.0,38.0,--,--,--
Moorebank,48.0,35.0,32.0,--,--,--
Mortdale,45.0,34.0,35.0,--,--,--
Mortlake (NSW),42.0,45.0,37.0,--,--,--
Mosman,50.0,36.0,39.0,--,--,--
Mount Annan,43.0,35.0,23.0,--,--,--
Mount Colah,49.0,40.0,24.0,--,--,--
Mount Druitt,43.0,33.0,29.0,--,--,--
Mount Hutton (NSW),51.0,33.0,39.0,--,--,--
Mount Kembla,51.0,46.0,27.0,--,--,--
Mount Lewis,53.0,30.0,30.0,--,--,--
Mount Ousley,53.0,33.0,31.0,--,--,--
Mount Pleasant (NSW),52.0,39.0,34.0,--,--,--
Mount Pritchard,50.0,41.0,32.0,--,--,--
Mount Riverview,54.0,38.0,27.0,--,--,--
Mount Saint Thomas,47.0,34.0,37.0,--,--,--
Mount Warrigal,56.0,38.0,31.0,--,--,--
Narara,50.0,37.0,30.0,--,--,--
Narellan,49.0,37.0,30.0,--,--,--
Narellan Vale,44.0,38.0,24.0,--,--,--
Naremburn,43.0,37.0,36.0,--,--,--
Narrabeen,49.0,32.0,48.0,--,--,--
Narraweena,51.0,42.0,43.0,--,--,--
Narwee,49.0,37.0,36.0,--,--,--
Neutral Bay,43.0,31.0,35.0,--,--,--
New Lambton,49.0,36.0,42.0,--,--,--
New Lambton Heights,52.0,40.0,24.0,--,--,--
Newcastle,56.0,30.0,30.0,--,--,--
Newcastle East,55.0,35.0,34.0,--,--,--
Newcastle West,45.0,29.0,30.0,--,--,--
Newington (NSW),41.0,35.0,29.0,--,--,--
Newtown (NSW),41.0,34.0,32.0,--,--,--
Niagara Park,50.0,39.0,33.0,--,--,--
Norah Head,56.0,35.0,35.0,--,--,--
Noraville,55.0,38.0,40.0,--,--,--
Normanhurst,49.0,46.0,32.0,--,--,--
North Avoca,51.0,38.0,27.0,--,--,--
North Balgowlah,47.0,42.0,28.0,--,--,--
North Curl Curl,47.0,42.0,33.0,--,--,--
North Lambton,51.0,30.0,27.0,--,--,--
North Manly,48.0,42.0,33.0,--,--,--
North Narrabeen,48.0,40.0,32.0,--,--,--
North Parramatta,41.0,32.0,34.0,--,--,--
North Rocks,52.0,40.0,27.0,--,--,--
North Ryde,50.0,40.0,33.0,--,--,--
North St Marys,52.0,35.0,38.0,--,--,--
North Strathfield,42.0,30.0,28.0,--,--,--
North Sydney,42.0,31.0,34.0,--,--,--
North Turramurra,58.0,49.0,47.0,--,--,--
North Wahroonga,53.0,37.0,24.0,--,--,--
North Willoughby,47.0,39.0,39.0,--,--,--
North Wollongong,50.0,28.0,26.0,--,--,--
Northbridge (NSW),51.0,39.0,28.0,--,--,--
Northmead,47.0,35.0,38.0,--,--,--
Oatley,52.0,39.0,29.0,--,--,--
Old Guildford,46.0,35.0,25.0,--,--,--
Old Toongabbie,49.0,37.0,34.0,--,--,--
Oxley Park,48.0,38.0,34.0,--,--,--
Paddington (NSW),45.0,35.0,33.0,--,--,--
Padstow,50.0,38.0,35.0,--,--,--
Padstow Heights,51.0,39.0,33.0,--,--,--
Pagewood,52.0,41.0,38.0,--,--,--
Palm Beach (NSW),60.0,50.0,47.0,--,--,--
Panania,49.0,38.0,35.0,--,--,--
Parramatta,34.0,29.0,29.0,--,--,--
Peakhurst,50.0,40.0,38.0,--,--,--
Peakhurst Heights,54.0,46.0,33.0,--,--,--
Pearl Beach,66.0,43.0,63.0,--,--,--
Pelican (NSW),57.0,38.0,41.0,--,--,--
Pendle Hill,42.0,38.0,38.0,--,--,--
