,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Wandella (NSW),32.0,33.0,5.0,8.0,41.0,42.3,6.4,10.3,14128
Angledale,55.0,20.0,3.0,0.0,70.5,25.6,3.8,0.0,10056
Verona,74.0,49.0,3.0,13.0,53.2,35.3,2.2,9.4,14073
Tanja,32.0,34.0,4.0,3.0,43.8,46.6,5.5,4.1,13749
Coolagolite,52.0,49.0,12.0,10.0,42.3,39.8,9.8,8.1,11023
Brogo,97.0,96.0,20.0,19.0,41.8,41.4,8.6,8.2,10589
Coopers Gully,49.0,25.0,3.0,0.0,63.6,32.5,3.9,0.0,11048
Stony Creek (Bega Valley - NSW),39.0,22.0,3.0,0.0,60.9,34.4,4.7,0.0,13668
Numbugga,24.0,30.0,0.0,0.0,44.4,55.6,0.0,0.0,13038
Buckajo,100.0,51.0,11.0,11.0,57.8,29.5,6.4,6.4,10629
Kameruka,35.0,16.0,3.0,3.0,61.4,28.1,5.3,5.3,12054
Greigs Flat,28.0,23.0,3.0,0.0,51.9,42.6,5.6,0.0,11775
Broulee,355.0,242.0,36.0,27.0,53.8,36.7,5.5,4.1,10608
Tomakin,178.0,150.0,12.0,17.0,49.9,42.0,3.4,4.8,13890
Mossy Point,136.0,101.0,13.0,9.0,52.5,39.0,5.0,3.5,12741
Bodalla,164.0,140.0,15.0,29.0,47.1,40.2,4.3,8.3,10434
Narooma,390.0,391.0,49.0,54.0,44.1,44.2,5.5,6.1,12900
Eden,592.0,458.0,74.0,86.0,48.9,37.9,6.1,7.1,11375
South Durras,71.0,58.0,8.0,12.0,47.7,38.9,5.4,8.1,13580
Mogo (Eurobodalla - NSW),68.0,46.0,8.0,17.0,48.9,33.1,5.8,12.2,12660
Jeremadra,34.0,38.0,3.0,5.0,42.5,47.5,3.8,6.2,12012
Mogendoura,38.0,35.0,5.0,6.0,45.2,41.7,6.0,7.1,12657
Turlinjah,33.0,41.0,3.0,0.0,42.9,53.2,3.9,0.0,13975
Potato Point,27.0,16.0,6.0,7.0,48.2,28.6,10.7,12.5,13253
Kianga (NSW),96.0,108.0,19.0,15.0,40.3,45.4,8.0,6.3,12119
Tuross Head,333.0,300.0,49.0,64.0,44.6,40.2,6.6,8.6,13979
Pambula Beach,139.0,131.0,19.0,6.0,47.1,44.4,6.4,2.0,13141
Merimbula,758.0,581.0,94.0,86.0,49.9,38.2,6.2,5.7,12575
Tura Beach,589.0,409.0,88.0,54.0,51.7,35.9,7.7,4.7,13973
South Pambula,118.0,95.0,8.0,8.0,51.5,41.5,3.5,3.5,13595
Pambula,176.0,160.0,16.0,25.0,46.7,42.4,4.2,6.6,13140
Broadwater (Bega Valley - NSW),28.0,15.0,3.0,0.0,60.9,32.6,6.5,0.0,10579
Bald Hills (NSW),51.0,47.0,7.0,3.0,47.2,43.5,6.5,2.8,10147
Millingandi,73.0,72.0,8.0,3.0,46.8,46.2,5.1,1.9,12622
Mirador,96.0,52.0,9.0,6.0,58.9,31.9,5.5,3.7,12644
Berrambool,99.0,78.0,11.0,9.0,50.3,39.6,5.6,4.6,10312
Moruya,752.0,617.0,117.0,100.0,47.4,38.9,7.4,6.3,12734
Moruya Heads,195.0,184.0,24.0,27.0,45.3,42.8,5.6,6.3,12735
Bergalia,39.0,31.0,8.0,0.0,50.0,39.7,10.3,0.0,10302
Congo,35.0,43.0,5.0,6.0,39.3,48.3,5.6,6.7,11008
Bingie,37.0,31.0,3.0,5.0,48.7,40.8,3.9,6.6,10367
Bermagui,244.0,230.0,35.0,33.0,45.0,42.4,6.5,6.1,10307
Dalmeny,264.0,265.0,29.0,38.0,44.3,44.5,4.9,6.4,11191
Wallaga Lake,82.0,71.0,10.0,8.0,48.0,41.5,5.8,4.7,14102
