,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%),SSC_CODE
Woongarrah,919.0,1018.0,490.0,420.0,23.9,26.5,12.8,10.9,14415
Warnervale,104.0,128.0,62.0,69.0,20.6,25.4,12.3,13.7,14154
Wallarah,58.0,53.0,37.0,37.0,20.1,18.3,12.8,12.8,14109
Wadalba,465.0,589.0,218.0,239.0,22.2,28.2,10.4,11.4,14080
Watanobbi,619.0,762.0,353.0,328.0,20.6,25.3,11.7,10.9,14181
Tacoma,108.0,133.0,58.0,49.0,22.0,27.1,11.8,10.0,13724
Llanarth (NSW),442.0,503.0,251.0,172.0,25.9,29.5,14.7,10.1,12362
South Bathurst,253.0,370.0,135.0,120.0,19.5,28.5,10.4,9.2,13577
Bathurst,1349.0,1691.0,602.0,432.0,22.4,28.0,10.0,7.2,10231
Robin Hill,168.0,233.0,125.0,85.0,22.6,31.4,16.8,11.4,13375
West Bathurst,587.0,769.0,358.0,338.0,20.4,26.8,12.5,11.8,14241
Mitchell (NSW),179.0,72.0,17.0,9.0,14.0,5.6,1.3,0.7,12650
Gormans Hill,116.0,135.0,64.0,52.0,17.4,20.2,9.6,7.8,11720
Abercrombie,200.0,273.0,111.0,81.0,24.1,32.9,13.4,9.7,10004
Eglinton (NSW),388.0,522.0,233.0,194.0,22.5,30.2,13.5,11.2,11386
Windradyne,455.0,648.0,310.0,273.0,19.9,28.3,13.5,11.9,14324
Raglan (NSW),186.0,283.0,109.0,127.0,20.4,31.1,12.0,13.9,13304
White Rock (NSW),124.0,150.0,85.0,59.0,22.3,27.0,15.3,10.6,14275
Kelso (NSW),1442.0,1819.0,893.0,680.0,21.2,26.7,13.1,10.0,12090
O'Connell (NSW),104.0,131.0,70.0,55.0,23.0,28.9,15.5,12.1,13052
Brewongle,19.0,23.0,18.0,11.0,17.9,21.7,17.0,10.4,10564
Trunkey Creek,14.0,30.0,15.0,17.0,13.1,28.0,14.0,15.9,13942
Perthville,97.0,167.0,78.0,37.0,19.4,33.3,15.6,7.4,13189
Sofala,11.0,24.0,10.0,21.0,9.6,21.1,8.8,18.4,13569
Wattle Flat (NSW),32.0,48.0,24.0,36.0,14.3,21.5,10.8,16.1,14191
Peel,39.0,59.0,38.0,30.0,18.1,27.4,17.7,14.0,13174
Limekilns,24.0,26.0,17.0,9.0,26.4,28.6,18.7,9.9,12330
Clear Creek,16.0,27.0,21.0,11.0,16.3,27.6,21.4,11.2,10925
Rockley,21.0,49.0,20.0,15.0,13.1,30.6,12.5,9.4,13380
Georges Plains,36.0,48.0,22.0,19.0,17.9,23.9,10.9,9.5,11602
Duramana,42.0,48.0,31.0,25.0,25.0,28.6,18.5,14.9,11330
Billywillinga,16.0,49.0,24.0,25.0,10.8,33.1,16.2,16.9,10357
Mount Rankin,66.0,86.0,45.0,41.0,20.9,27.2,14.2,13.0,12786
Rock Forest,30.0,53.0,33.0,12.0,17.8,31.4,19.5,7.1,13377
Evans Plains,31.0,33.0,25.0,10.0,25.2,26.8,20.3,8.1,11470
The Lagoon,23.0,56.0,29.0,13.0,13.8,33.5,17.4,7.8,13828
Wisemans Creek,25.0,21.0,11.0,15.0,26.3,22.1,11.6,15.8,14343
Yetholme,31.0,53.0,30.0,33.0,16.0,27.3,15.5,17.0,14513
Meadow Flat,46.0,64.0,52.0,38.0,18.7,26.0,21.1,15.4,12549
Tarana,23.0,39.0,24.0,13.0,16.9,28.7,17.6,9.6,13760
Glanmire (NSW),34.0,47.0,13.0,8.0,26.0,35.9,9.9,6.1,11640
Napoleon Reef,28.0,38.0,32.0,20.0,19.7,26.8,22.5,14.1,12893
Oberon,451.0,660.0,331.0,265.0,17.0,24.8,12.5,10.0,13068
Black Springs (NSW),38.0,27.0,18.0,30.0,20.3,14.4,9.6,16.0,10389
Condobolin,479.0,591.0,283.0,302.0,17.7,21.9,10.5,11.2,11002
Tullamore,57.0,81.0,43.0,55.0,15.9,22.6,12.0,15.4,13954
Lake Cargelligo,192.0,230.0,143.0,136.0,16.7,20.0,12.4,11.8,12242
Tullibigeal,31.0,39.0,15.0,28.0,17.1,21.5,8.3,15.5,13957
Ungarie,65.0,107.0,57.0,60.0,14.7,24.2,12.9,13.6,14011
Euabalong,23.0,36.0,17.0,13.0,17.0,26.7,12.6,9.6,11449
Fifield,17.0,15.0,10.0,17.0,17.7,15.6,10.4,17.7,11514
Tottenham (NSW),54.0,79.0,51.0,51.0,14.1,20.7,13.4,13.4,13923
Cowra,1420.0,1927.0,1074.0,984.0,17.2,23.3,13.0,11.9,11099
Canowindra,312.0,444.0,250.0,222.0,17.2,24.5,13.8,12.2,10796
Woodstock (Cowra - NSW),102.0,129.0,79.0,78.0,17.0,21.5,13.1,13.0,14394
Gooloogong,51.0,77.0,48.0,43.0,16.3,24.7,15.4,13.8,11709
Mandurama,48.0,71.0,36.0,40.0,15.9,23.5,11.9,13.2,12467
Wattamondara,33.0,44.0,30.0,25.0,20.0,26.7,18.2,15.2,14190
Darbys Falls,38.0,47.0,33.0,28.0,16.7,20.7,14.5,12.3,11205
Billimari,21.0,17.0,14.0,20.0,17.9,14.5,12.0,17.1,10354
Moorbel,31.0,49.0,20.0,22.0,17.6,27.8,11.4,12.5,12709
Forbes (NSW),1206.0,1606.0,829.0,725.0,17.9,23.8,12.3,10.8,11536
Eugowra,126.0,154.0,79.0,84.0,19.1,23.4,12.0,12.8,11454
Warroo (NSW),36.0,24.0,15.0,6.0,36.0,24.0,15.0,6.0,14175
Bedgerabong,27.0,29.0,8.0,17.0,23.7,25.4,7.0,14.9,10247
Grenfell,337.0,516.0,321.0,299.0,15.5,23.8,14.8,13.8,11776
Greenethorpe,30.0,44.0,21.0,15.0,15.0,22.0,10.5,7.5,11760
Quandialla,23.0,29.0,24.0,29.0,14.0,17.7,14.6,17.7,13290
Caragabal,27.0,36.0,19.0,16.0,19.3,25.7,13.6,11.4,10806
Parkes (NSW),1618.0,2194.0,1135.0,999.0,18.0,24.4,12.6,11.1,13151
Cookamidgera,29.0,32.0,11.0,15.0,22.0,24.2,8.3,11.4,11016
Peak Hill (NSW),164.0,192.0,109.0,91.0,17.7,20.7,11.7,9.8,13166
Trundle,104.0,111.0,73.0,65.0,18.7,20.0,13.1,11.7,13940
Bogan Gate,36.0,43.0,33.0,22.0,15.9,18.9,14.5,9.7,10438
Alectown,22.0,36.0,16.0,27.0,15.6,25.5,11.3,19.1,10029
West Wyalong,473.0,563.0,301.0,263.0,18.9,22.4,12.0,10.5,14256
Wyalong,89.0,144.0,78.0,52.0,16.9,27.3,14.8,9.8,14431
Weethalle,41.0,43.0,18.0,26.0,19.0,19.9,8.3,12.0,14215
Tallimba,32.0,27.0,17.0,18.0,21.3,18.0,11.3,12.0,13732
Barellan,75.0,90.0,54.0,60.0,17.8,21.3,12.8,14.2,10197
Ardlethan,66.0,88.0,49.0,53.0,14.4,19.2,10.7,11.5,10076
Ariah Park,64.0,88.0,49.0,71.0,16.7,22.9,12.8,18.5,10081
Barmedman,48.0,84.0,34.0,52.0,13.3,23.3,9.4,14.4,10202
Beckom,7.0,21.0,20.0,11.0,7.6,22.8,21.7,12.0,10244
South Bowenfels,179.0,238.0,146.0,119.0,19.4,25.7,15.8,12.9,13578
Marrangaroo,74.0,97.0,63.0,55.0,8.8,11.6,7.5,6.6,12502
Lithgow,755.0,1078.0,560.0,428.0,17.1,24.4,12.7,9.7,12347
Bowenfels,217.0,328.0,172.0,179.0,13.5,20.4,10.7,11.2,10529
Rydal,33.0,34.0,23.0,14.0,20.1,20.7,14.0,8.5,13452
Pottery Estate,18.0,37.0,5.0,9.0,16.4,33.6,4.5,8.2,13254
Oakey Park,43.0,64.0,31.0,45.0,15.2,22.6,11.0,15.9,13055
Morts Estate,92.0,121.0,69.0,65.0,18.3,24.1,13.7,12.9,12732
Hermitage Flat,59.0,78.0,30.0,33.0,20.4,27.0,10.4,11.4,11895
McKellars Park,37.0,55.0,42.0,7.0,19.9,29.6,22.6,3.8,12544
South Littleton,40.0,73.0,19.0,22.0,17.3,31.6,8.2,9.5,13590
Littleton,113.0,196.0,72.0,76.0,17.2,29.8,10.9,11.6,12360
Vale Of Clwydd,83.0,91.0,34.0,36.0,21.6,23.6,8.8,9.4,14064
Portland (NSW),310.0,409.0,271.0,264.0,15.4,20.3,13.5,13.1,13250
Lidsdale,46.0,67.0,55.0,40.0,13.0,18.9,15.5,11.3,12318
Wallerawang,297.0,351.0,186.0,173.0,19.4,22.9,12.1,11.3,14114
Little Hartley,85.0,138.0,65.0,59.0,19.3,31.3,14.7,13.4,12352
Hartley (NSW),59.0,88.0,45.0,37.0,17.5,26.0,13.3,10.9,11861
Clarence,33.0,36.0,33.0,22.0,18.9,20.6,18.9,12.6,10919
Glen Davis,8.0,23.0,9.0,18.0,9.0,25.8,10.1,20.2,11646
Cullen Bullen,28.0,37.0,15.0,30.0,11.6,15.3,6.2,12.4,11148
Megalong Valley,17.0,38.0,11.0,21.0,14.2,31.7,9.2,17.5,12557
Kanimbla (NSW),16.0,45.0,21.0,15.0,13.9,39.1,18.3,13.0,12065
Capertee,14.0,28.0,14.0,19.0,12.2,24.3,12.2,16.5,10802
Running Stream,29.0,18.0,16.0,19.0,25.0,15.5,13.8,16.4,13441
Mudgee,1648.0,2215.0,1080.0,876.0,19.4,26.0,12.7,10.3,12812
Putta Bucca,43.0,48.0,24.0,21.0,23.5,26.2,13.1,11.5,13278
Bombira,54.0,71.0,46.0,34.0,20.5,27.0,17.5,12.9,10457
Burrundulla,15.0,20.0,24.0,16.0,13.5,18.0,21.6,14.4,10717
Spring Flat,26.0,47.0,26.0,14.0,16.9,30.5,16.9,9.1,13613
Kandos,124.0,242.0,139.0,147.0,11.0,21.5,12.4,13.1,12057
Rylstone,127.0,212.0,102.0,105.0,16.1,26.9,13.0,13.3,13457
Ilford,24.0,36.0,13.0,29.0,15.5,23.2,8.4,18.7,11971
Clandulla,15.0,30.0,21.0,32.0,9.0,18.1,12.7,19.3,10916
Charbon,17.0,30.0,12.0,8.0,15.5,27.3,10.9,7.3,10883
Lue,28.0,36.0,24.0,19.0,17.8,22.9,15.3,12.1,12420
Gulgong,312.0,459.0,261.0,247.0,15.9,23.3,13.3,12.6,11794
Dunedoo,140.0,194.0,113.0,126.0,14.2,19.7,11.5,12.8,11316
Leadville,8.0,20.0,18.0,19.0,6.2,15.6,14.1,14.8,12290
Cassilis (NSW),29.0,68.0,32.0,31.0,12.3,28.9,13.6,13.2,10844
Tallawang,17.0,23.0,12.0,18.0,12.1,16.4,8.6,12.9,13731
Beryl,18.0,26.0,7.0,16.0,17.8,25.7,6.9,15.8,10327
Stubbo,30.0,47.0,24.0,31.0,16.4,25.7,13.1,16.9,13682
Cope,11.0,17.0,13.0,16.0,11.6,17.9,13.7,16.8,11057
Yarrawonga (NSW),46.0,85.0,49.0,39.0,13.5,24.9,14.4,11.4,14486
Piambong,18.0,33.0,21.0,15.0,14.0,25.6,16.3,11.6,13197
Cooks Gap,62.0,100.0,55.0,50.0,14.6,23.5,12.9,11.8,11018
Frog Rock,28.0,28.0,12.0,17.0,23.0,23.0,9.8,13.9,11570
Cooyal,13.0,24.0,16.0,15.0,14.3,26.4,17.6,16.5,11055
St Fillans,36.0,38.0,33.0,42.0,18.0,19.0,16.5,21.0,13634
Eurunderee,28.0,39.0,24.0,13.0,20.4,28.5,17.5,9.5,11467
Budgee Budgee (NSW),26.0,48.0,19.0,20.0,16.2,30.0,11.9,12.5,10641
Kains Flat,19.0,42.0,20.0,27.0,13.6,30.0,14.3,19.3,12049
Menah,21.0,25.0,24.0,12.0,18.4,21.9,21.1,10.5,12566
Grattai,60.0,61.0,44.0,36.0,23.0,23.4,16.9,13.8,11741
Hargraves,33.0,37.0,33.0,46.0,15.1,16.9,15.1,21.0,11854
Windeyer (NSW),24.0,30.0,38.0,14.0,14.6,18.3,23.2,8.5,14322
Bocoble,16.0,31.0,17.0,13.0,13.7,26.5,14.5,11.1,10432
Mount Frome,16.0,34.0,11.0,16.0,14.2,30.1,9.7,14.2,12760
Buckaroo,25.0,37.0,20.0,7.0,23.4,34.6,18.7,6.5,10630
Blayney,536.0,625.0,349.0,292.0,20.0,23.3,13.0,10.9,10410
Millthorpe,171.0,288.0,139.0,105.0,18.3,30.8,14.9,11.2,12623
Carcoar,51.0,60.0,51.0,14.0,19.2,22.6,19.2,5.3,10808
Lyndhurst (Blayney - NSW),74.0,84.0,28.0,43.0,25.1,28.5,9.5,14.6,12426
Forest Reefs,78.0,118.0,45.0,49.0,20.9,31.6,12.0,13.1,11547
Neville,34.0,59.0,34.0,24.0,16.1,28.0,16.1,11.4,12937
Barry (Blayney - NSW),27.0,33.0,17.0,16.0,20.3,24.8,12.8,12.0,10218
Newbridge (NSW),31.0,34.0,33.0,17.0,19.7,21.7,21.0,10.8,12948
Orange,6253.0,8057.0,3569.0,2801.0,20.9,26.9,11.9,9.3,13092
Clifton Grove,171.0,194.0,110.0,86.0,25.1,28.5,16.2,12.6,10934
Cumnock,72.0,90.0,47.0,45.0,19.8,24.8,12.9,12.4,11159
Cudal,76.0,107.0,54.0,74.0,17.1,24.0,12.1,16.6,11140
Molong,370.0,519.0,243.0,259.0,18.4,25.8,12.1,12.9,12671
Manildra,102.0,145.0,86.0,73.0,16.7,23.7,14.1,11.9,12473
Cargo,93.0,127.0,64.0,55.0,20.8,28.3,14.3,12.3,10813
Spring Terrace,22.0,27.0,13.0,18.0,22.0,27.0,13.0,18.0,13620
Springside (NSW),39.0,90.0,39.0,29.0,16.7,38.5,16.7,12.4,13626
Spring Hill (Cabonne - NSW),65.0,109.0,50.0,48.0,17.9,29.9,13.7,13.2,13615
Guyong,11.0,28.0,16.0,7.0,11.5,29.2,16.7,7.3,11821
Emu Swamp,32.0,38.0,21.0,13.0,24.8,29.5,16.3,10.1,11419
Lewis Ponds,14.0,31.0,26.0,13.0,12.3,27.2,22.8,11.4,12312
Lucknow (NSW),48.0,76.0,26.0,23.0,19.5,30.9,10.6,9.3,12418
Spring Creek (NSW),28.0,28.0,19.0,8.0,25.0,25.0,17.0,7.1,13611
Huntley (Orange - NSW),32.0,37.0,18.0,10.0,24.1,27.8,13.5,7.5,11958
Canobolas,90.0,122.0,62.0,41.0,23.0,31.1,15.8,10.5,10793
Clergate,40.0,40.0,17.0,18.0,24.2,24.2,10.3,10.9,10929
March,12.0,27.0,20.0,14.0,12.6,28.4,21.1,14.7,12486
Summer Hill Creek,33.0,57.0,27.0,17.0,19.3,33.3,15.8,9.9,13688
Mullion Creek,88.0,128.0,64.0,43.0,20.7,30.1,15.1,10.1,12826
Nashdale,71.0,96.0,46.0,38.0,22.5,30.5,14.6,12.1,12913
Windera (NSW),62.0,67.0,37.0,21.0,28.7,31.0,17.1,9.7,14319
Lidster,60.0,58.0,28.0,23.0,24.8,24.0,11.6,9.5,12319
Borenore,66.0,110.0,57.0,28.0,18.1,30.1,15.6,7.7,10513
Yeoval,59.0,64.0,45.0,41.0,16.5,17.9,12.6,11.5,14507
Grafton,1491.0,2115.0,1048.0,902.0,17.5,24.8,12.3,10.6,11733
Rushforth,29.0,53.0,34.0,18.0,15.8,29.0,18.6,9.8,13446
Great Marlow,31.0,34.0,19.0,16.0,21.8,23.9,13.4,11.3,11745
South Grafton,833.0,1078.0,588.0,614.0,17.1,22.1,12.1,12.6,13582
Junction Hill,193.0,336.0,184.0,165.0,16.9,29.3,16.1,14.4,12045
Carrs Creek,20.0,13.0,19.0,13.0,18.9,12.3,17.9,12.3,10834
Tucabia,38.0,74.0,46.0,50.0,11.7,22.8,14.2,15.4,13945
Ulmarra,128.0,152.0,90.0,75.0,19.5,23.2,13.7,11.5,14004
Ramornie,29.0,33.0,28.0,24.0,17.8,20.2,17.2,14.7,13308
Nymboida,34.0,64.0,47.0,43.0,13.3,25.0,18.4,16.8,13048
Blaxlands Creek,19.0,25.0,20.0,24.0,16.7,21.9,17.5,21.1,10408
Glenreagh,133.0,170.0,95.0,113.0,18.9,24.2,13.5,16.1,11675
Wells Crossing,9.0,27.0,14.0,30.0,7.0,21.1,10.9,23.4,14223
Kungala,24.0,23.0,22.0,21.0,19.0,18.3,17.5,16.7,12212
Wooli,59.0,101.0,53.0,50.0,16.0,27.4,14.4,13.6,14403
Halfway Creek,33.0,47.0,20.0,36.0,17.1,24.4,10.4,18.7,11831
Copmanhurst,42.0,51.0,39.0,48.0,16.3,19.8,15.2,18.7,11060
Whiteman Creek,23.0,23.0,20.0,31.0,16.7,16.7,14.5,22.5,14277
The Whiteman,14.0,36.0,15.0,17.0,13.3,34.3,14.3,16.2,13843
Waterview Heights,180.0,294.0,161.0,159.0,16.7,27.3,15.0,14.8,14186
Lawrence (NSW),125.0,203.0,154.0,132.0,13.9,22.6,17.1,14.7,12288
Eatonsville,27.0,43.0,24.0,29.0,15.0,23.9,13.3,16.1,11370
Seelands,59.0,95.0,44.0,47.0,16.5,26.6,12.3,13.2,13515
Mountain View (NSW),17.0,31.0,16.0,22.0,12.1,22.0,11.3,15.6,12808
Southgate,34.0,36.0,28.0,20.0,21.2,22.5,17.5,12.5,13604
Lower Southgate,20.0,30.0,16.0,8.0,19.6,29.4,15.7,7.8,12413
Ashby Heights,18.0,56.0,27.0,33.0,9.1,28.4,13.7,16.8,10095
Tullymorgan,18.0,32.0,18.0,7.0,16.5,29.4,16.5,6.4,13960
Ashby (NSW),35.0,83.0,58.0,54.0,12.2,28.9,20.2,18.8,10094
South Arm (Clarence Valley - NSW),32.0,44.0,28.0,34.0,15.5,21.4,13.6,16.5,13574
Woodford Island,27.0,64.0,33.0,18.0,13.4,31.7,16.3,8.9,14384
Brushgrove,25.0,36.0,25.0,33.0,14.8,21.3,14.8,19.5,10622
Elland,44.0,71.0,49.0,31.0,15.2,24.6,17.0,10.7,11399
Coutts Crossing,148.0,205.0,105.0,133.0,18.2,25.2,12.9,16.4,11094
Kremnos,23.0,39.0,30.0,22.0,14.9,25.3,19.5,14.3,12204
Lanitza,43.0,60.0,32.0,42.0,17.6,24.6,13.1,17.2,12270
Braunstone,38.0,74.0,37.0,29.0,14.6,28.5,14.2,11.2,10550
Glenugie,28.0,48.0,18.0,24.0,15.6,26.7,10.0,13.3,11681
Clarenza,79.0,135.0,57.0,63.0,17.0,29.0,12.2,13.5,10922
Swan Creek (NSW),15.0,23.0,9.0,17.0,16.7,25.6,10.0,18.9,13706
Pillar Valley,46.0,67.0,41.0,36.0,17.3,25.2,15.4,13.5,13204
Minnie Water,26.0,48.0,32.0,37.0,13.1,24.2,16.2,18.7,12640
Tyndale,24.0,30.0,24.0,16.0,15.8,19.7,15.8,10.5,13997
Ilarwill,32.0,53.0,37.0,37.0,16.6,27.5,19.2,19.2,11970
Yamba (NSW),886.0,1373.0,746.0,602.0,16.7,25.9,14.1,11.3,14458
Gulmarrad,211.0,366.0,225.0,237.0,15.5,27.0,16.6,17.5,11795
Angourie,50.0,49.0,37.0,18.0,25.9,25.4,19.2,9.3,10059
Brooms Head,25.0,45.0,39.0,35.0,12.4,22.3,19.3,17.3,10603
Wooloweyah,70.0,120.0,67.0,27.0,19.9,34.1,19.0,7.7,14411
Woombah,120.0,170.0,107.0,115.0,16.0,22.7,14.3,15.4,14414
Maclean,339.0,508.0,323.0,267.0,14.8,22.1,14.1,11.6,12431
Iluka (NSW),175.0,374.0,214.0,237.0,11.5,24.5,14.0,15.5,11975
Harwood,38.0,76.0,44.0,29.0,15.1,30.2,17.5,11.5,11865
Chatsworth (NSW),27.0,35.0,21.0,28.0,19.3,25.0,15.0,20.0,10894
Townsend,118.0,159.0,82.0,108.0,16.9,22.7,11.7,15.5,13928
Palmers Channel,16.0,24.0,29.0,10.0,15.4,23.1,27.9,9.6,13135
James Creek,30.0,55.0,36.0,28.0,16.0,29.3,19.1,14.9,11999
Palmers Island,64.0,114.0,43.0,54.0,16.8,29.9,11.3,14.2,13136
Bellingen,553.0,890.0,469.0,365.0,18.9,30.4,16.0,12.5,10273
Brierfield,53.0,72.0,48.0,31.0,20.6,28.0,18.7,12.1,10568
Fernmount,58.0,84.0,54.0,27.0,20.0,29.0,18.6,9.3,11509
Darkwood,25.0,32.0,29.0,25.0,18.8,24.1,21.8,18.8,11210
Thora,44.0,62.0,45.0,35.0,17.3,24.3,17.6,13.7,13849
Gleniffer,55.0,95.0,46.0,53.0,17.2,29.7,14.4,16.6,11668
Valery,21.0,32.0,21.0,17.0,20.2,30.8,20.2,16.3,14066
Kalang,32.0,68.0,49.0,31.0,13.7,29.2,21.0,13.3,12050
Coffs Harbour,4312.0,5477.0,2565.0,1922.0,20.3,25.7,12.1,9.0,10959
North Boambee Valley,270.0,388.0,226.0,148.0,16.2,23.3,13.5,8.9,12983
Coramba,118.0,200.0,106.0,74.0,17.5,29.6,15.7,11.0,11065
Nana Glen,132.0,242.0,132.0,114.0,15.7,28.8,15.7,13.6,12889
Upper Orara,116.0,195.0,74.0,95.0,17.7,29.7,11.3,14.5,14041
Bucca (NSW),87.0,118.0,59.0,53.0,19.8,26.8,13.4,12.0,10625
Karangi,71.0,128.0,80.0,49.0,15.7,28.3,17.7,10.8,12072
Megan,22.0,38.0,19.0,22.0,15.9,27.5,13.8,15.9,12558
Ulong,19.0,48.0,21.0,31.0,10.2,25.7,11.2,16.6,14005
Lowanna,42.0,81.0,30.0,35.0,14.4,27.8,10.3,12.0,12398
Dorrigo,159.0,289.0,165.0,134.0,15.4,28.1,16.0,13.0,11278
Deer Vale,14.0,24.0,19.0,22.0,12.4,21.2,16.8,19.5,11232
Fernbrook,23.0,33.0,21.0,8.0,22.1,31.7,20.2,7.7,11506
Hernani,24.0,19.0,19.0,11.0,25.0,19.8,19.8,11.5,11896
Bostobrick,21.0,31.0,19.0,16.0,20.4,30.1,18.4,15.5,10516
North Dorrigo,22.0,36.0,31.0,26.0,14.0,22.9,19.7,16.6,12989
Sapphire Beach,347.0,488.0,277.0,186.0,20.5,28.9,16.4,11.0,13491
Emerald Beach,383.0,550.0,290.0,189.0,21.6,31.1,16.4,10.7,11411
Korora,420.0,624.0,293.0,219.0,20.9,31.1,14.6,10.9,12197
Moonee Beach,312.0,444.0,250.0,185.0,21.0,29.9,16.8,12.5,12703
Toormina,917.0,1288.0,636.0,499.0,18.2,25.6,12.6,9.9,13912
Boambee East,848.0,1229.0,534.0,461.0,20.2,29.3,12.8,11.0,10422
Boambee,296.0,390.0,205.0,155.0,21.7,28.5,15.0,11.3,10421
Sawtell,603.0,918.0,453.0,294.0,19.7,30.0,14.8,9.6,13498
Bonville,414.0,575.0,308.0,270.0,20.1,27.9,14.9,13.1,10474
Bundagen,7.0,36.0,26.0,15.0,6.0,31.0,22.4,12.9,10669
Mylestom,59.0,67.0,39.0,42.0,19.6,22.3,13.0,14.0,12875
Raleigh,96.0,144.0,83.0,67.0,16.8,25.3,14.6,11.8,13307
Urunga,394.0,719.0,381.0,296.0,15.1,27.6,14.6,11.3,14061
Repton,97.0,154.0,88.0,74.0,18.8,29.8,17.0,14.3,13352
Valla,152.0,221.0,102.0,97.0,20.0,29.1,13.4,12.8,14067
Woolgoolga,741.0,1064.0,532.0,437.0,16.6,23.8,11.9,9.8,14402
Safety Beach (NSW),152.0,239.0,129.0,102.0,19.8,31.1,16.8,13.3,13462
Sandy Beach,349.0,516.0,247.0,188.0,19.7,29.1,13.9,10.6,13479
Upper Corindi,26.0,36.0,17.0,17.0,18.8,26.1,12.3,12.3,14020
Corindi Beach,294.0,340.0,170.0,164.0,22.3,25.8,12.9,12.4,11073
Red Rock,56.0,102.0,43.0,50.0,15.9,29.0,12.2,14.2,13334
Arrawarra,70.0,106.0,66.0,72.0,14.1,21.4,13.3,14.5,10088
Arrawarra Headland,94.0,97.0,88.0,46.0,20.5,21.1,19.2,10.0,10089
Mullaway,91.0,132.0,66.0,46.0,20.6,29.9,14.9,10.4,12822
Bourke,212.0,294.0,132.0,103.0,14.5,20.1,9.0,7.0,10522
Wanaaring,12.0,17.0,8.0,10.0,11.7,16.5,7.8,9.7,14126
North Bourke,34.0,50.0,28.0,23.0,14.9,21.9,12.3,10.1,12985
Enngonia,19.0,27.0,8.0,5.0,18.1,25.7,7.6,4.8,11426
Brewarrina,135.0,163.0,95.0,82.0,15.2,18.3,10.7,9.2,10563
Cobar,544.0,745.0,367.0,329.0,17.5,24.0,11.8,10.6,10949
Coonamble,323.0,470.0,227.0,196.0,14.8,21.6,10.4,9.0,11044
Gulargambone,66.0,83.0,46.0,65.0,14.1,17.7,9.8,13.9,11792
Quambone,16.0,30.0,6.0,18.0,13.2,24.8,5.0,14.9,13287
Nyngan,291.0,428.0,167.0,177.0,16.9,24.9,9.7,10.3,13049
Nevertire,30.0,46.0,14.0,11.0,20.8,31.9,9.7,7.6,12936
Warren,173.0,293.0,119.0,100.0,15.6,26.4,10.7,9.0,14171
Hermidale,19.0,29.0,14.0,7.0,17.3,26.4,12.7,6.4,11894
Ravenswood (NSW),56.0,81.0,32.0,31.0,13.4,19.4,7.7,7.4,13321
Cumborah,21.0,33.0,20.0,24.0,10.2,16.0,9.7,11.7,11158
Goodooga,25.0,40.0,10.0,11.0,13.6,21.7,5.4,6.0,11702
Carinda,24.0,31.0,18.0,13.0,18.0,23.3,13.5,9.8,10814
Pilliga,23.0,34.0,15.0,22.0,14.2,21.0,9.3,13.6,13205
Come By Chance,28.0,23.0,8.0,14.0,29.8,24.5,8.5,14.9,10993
Walgett,258.0,316.0,144.0,112.0,15.9,19.5,8.9,6.9,14096
Burren Junction,40.0,56.0,21.0,32.0,17.9,25.0,9.4,14.3,10710
Lightning Ridge,304.0,390.0,187.0,199.0,15.7,20.2,9.7,10.3,12320
Collarenebri,110.0,117.0,40.0,42.0,22.0,23.4,8.0,8.4,10969
Rowena,26.0,32.0,13.0,16.0,17.8,21.9,8.9,11.0,13431
Broken Hill,2339.0,3604.0,1734.0,1572.0,15.8,24.3,11.7,10.6,10592
White Cliffs,18.0,20.0,15.0,20.0,15.7,17.4,13.0,17.4,14274
Menindee,60.0,86.0,42.0,58.0,13.0,18.7,9.1,12.6,12571
Wilcannia,87.0,105.0,48.0,41.0,15.0,18.1,8.3,7.1,14290
Tibooburra,29.0,29.0,8.0,14.0,25.4,25.4,7.0,12.3,13860
Pooncarie,24.0,36.0,20.0,7.0,16.7,25.0,13.9,4.9,13242
Ivanhoe (NSW),43.0,41.0,16.0,24.0,15.8,15.1,5.9,8.8,11991
Baradine,100.0,132.0,67.0,97.0,15.8,20.8,10.6,15.3,10190
Coonabarabran,409.0,601.0,391.0,308.0,15.2,22.4,14.6,11.5,11043
Binnaway,77.0,95.0,59.0,81.0,14.4,17.8,11.0,15.2,10372
Mendooran,72.0,105.0,61.0,76.0,15.9,23.2,13.5,16.8,12570
Coolah,148.0,246.0,159.0,119.0,14.3,23.7,15.3,11.5,11024
Bugaldie,22.0,30.0,15.0,18.0,17.7,24.2,12.1,14.5,10646
Ulamambri,27.0,40.0,22.0,23.0,15.3,22.6,12.4,13.0,14001
Tambar Springs,29.0,24.0,21.0,24.0,18.7,15.5,13.5,15.5,13743
Merrygoen,16.0,26.0,13.0,13.0,15.7,25.5,12.7,12.7,12587
Dubbo,6325.0,8319.0,3747.0,2907.0,20.6,27.1,12.2,9.5,11296
Terramungamine,38.0,62.0,36.0,17.0,19.0,31.0,18.0,8.5,13801
Brocklehurst,54.0,66.0,39.0,27.0,19.4,23.7,14.0,9.7,10583
Wongarbon,93.0,179.0,83.0,80.0,16.5,31.7,14.7,14.2,14373
Elong Elong,17.0,21.0,10.0,19.0,17.2,21.2,10.1,19.2,11406
Gollan,13.0,17.0,10.0,10.0,14.1,18.5,10.9,10.9,11694
