,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Blueys Beach,113.0,46.0,17.0,33.0,73.4,28.4,10.4,20.9,10420
Boomerang Beach,167.0,69.0,27.0,50.0,70.8,30.1,11.6,21.6,10487
Tuncurry,3384.0,817.0,668.0,848.0,60.7,14.7,12.0,15.2,13969
South Kempsey,1052.0,439.0,241.0,295.0,58.5,24.4,13.4,16.4,13588
West Kempsey,2214.0,967.0,543.0,615.0,57.4,25.1,14.1,15.9,14247
Kempsey,210.0,71.0,54.0,52.0,52.4,18.1,13.5,13.2,12095
Frederickton,688.0,267.0,152.0,192.0,60.9,23.7,13.4,17.1,11561
Aldavilla,417.0,133.0,102.0,137.0,37.0,11.8,9.0,12.1,10028
Euroka,213.0,82.0,43.0,57.0,75.3,29.5,15.2,20.0,11464
Dondingalong,435.0,141.0,99.0,131.0,75.3,24.6,17.1,22.5,11272
Greenhill (NSW),286.0,128.0,77.0,81.0,50.4,23.0,13.6,14.4,11763
East Kempsey,686.0,269.0,142.0,205.0,64.6,25.5,13.5,19.4,11354
Verges Creek,130.0,47.0,21.0,26.0,68.4,24.5,10.9,13.8,14072
Yarravel,621.0,243.0,159.0,183.0,67.8,26.3,17.2,19.9,14483
Stuarts Point,441.0,119.0,114.0,122.0,66.0,18.1,17.2,18.2,13681
Barraganyatti,76.0,26.0,17.0,16.0,62.3,20.6,13.9,13.0,10209
Yarrahapinni,110.0,39.0,19.0,40.0,66.3,22.8,11.4,24.1,14474
Hat Head,199.0,61.0,58.0,68.0,71.8,22.1,21.1,24.1,11869
Kinchela,148.0,39.0,33.0,50.0,62.4,16.9,14.2,22.1,12140
Gladstone (NSW),209.0,80.0,51.0,69.0,65.7,25.2,16.2,22.0,11639
Smithtown,296.0,128.0,55.0,72.0,63.2,27.4,11.8,15.3,13564
Mungay Creek,68.0,22.0,19.0,11.0,59.6,18.6,15.8,10.0,12841
Willawarrin,100.0,28.0,35.0,30.0,63.3,17.6,21.7,19.4,14295
Temagog,136.0,40.0,24.0,38.0,64.5,18.7,11.8,17.9,13783
Turners Flat,80.0,29.0,16.0,21.0,67.2,24.2,12.7,17.9,13976
Millbank (NSW),61.0,16.0,19.0,14.0,60.4,15.4,17.6,13.7,12616
Hickeys Creek,85.0,19.0,22.0,23.0,72.6,15.7,18.8,19.3,11899
Belmore River,149.0,66.0,39.0,40.0,66.2,30.4,18.2,19.0,10280
Austral Eden,66.0,28.0,15.0,20.0,55.5,23.5,12.3,16.5,10110
Crescent Head,897.0,289.0,163.0,258.0,70.4,22.7,12.8,20.2,11114
Fishermans Reach,85.0,19.0,27.0,22.0,63.0,13.7,19.7,16.7,11524
Clybucca,83.0,30.0,9.0,21.0,65.4,23.4,7.4,17.1,10940
Bellimbopinni,60.0,20.0,19.0,10.0,61.9,20.8,19.2,10.5,10272
Collombatti,359.0,129.0,73.0,105.0,66.5,23.3,13.2,19.4,10979
Kundabung,345.0,122.0,80.0,95.0,68.5,24.4,15.7,18.8,12209
Sherwood (Kempsey - NSW),91.0,37.0,19.0,42.0,75.2,28.2,14.7,33.9,13537
Bellbrook,165.0,54.0,35.0,51.0,74.0,24.0,15.2,22.6,10270
Macksville,1312.0,484.0,281.0,448.0,61.9,22.8,13.2,21.1,12430
North Macksville,336.0,99.0,67.0,120.0,65.4,19.4,13.2,23.3,12995
Way Way,158.0,43.0,40.0,67.0,79.8,21.4,20.1,34.0,14203
Scotts Head,564.0,171.0,98.0,194.0,76.1,23.0,13.2,25.9,13508
Gumma,294.0,111.0,62.0,85.0,77.4,29.4,16.7,22.9,11801
Nambucca Heads,3432.0,987.0,757.0,1054.0,62.7,18.0,13.8,19.2,12887
Hyland Park,269.0,70.0,60.0,92.0,75.8,19.7,17.2,26.0,11968
Bowraville,558.0,212.0,124.0,201.0,63.1,23.9,14.0,22.5,10537
Valla Beach,822.0,270.0,139.0,262.0,74.9,24.5,12.7,23.8,14068
South Arm (Nambucca - NSW),180.0,53.0,31.0,66.0,71.1,21.3,12.5,25.7,13575
Newee Creek,230.0,82.0,50.0,68.0,69.3,25.1,15.2,20.9,12952
Congarinni North,223.0,83.0,34.0,81.0,75.9,27.9,11.6,27.9,11006
Congarinni,215.0,75.0,40.0,78.0,85.7,29.9,15.5,31.7,11005
Talarm,142.0,37.0,25.0,43.0,74.0,19.9,13.1,23.1,13728
Warrell Creek,158.0,43.0,27.0,52.0,76.0,20.7,12.9,25.5,14170
Eungai Creek,248.0,89.0,52.0,79.0,74.0,26.8,15.4,23.2,11458
Eungai Rail,119.0,54.0,29.0,35.0,65.4,31.2,16.0,18.8,11459
Allgomera,73.0,15.0,10.0,28.0,65.2,13.9,9.2,25.9,10040
Yarranbella,98.0,19.0,23.0,27.0,64.9,13.1,15.0,18.4,14478
Utungun,99.0,41.0,15.0,36.0,72.8,31.3,11.5,27.5,14062
Upper Taylors Arm,72.0,24.0,11.0,18.0,75.0,23.3,10.9,17.3,14045
Taylors Arm,85.0,20.0,24.0,16.0,65.4,15.5,18.3,12.6,13776
Argents Hill,130.0,32.0,27.0,27.0,68.4,17.3,14.5,14.8,10079
Missabotti,183.0,72.0,42.0,62.0,77.9,30.0,17.8,26.4,12649
South West Rocks,2647.0,720.0,527.0,793.0,66.6,18.1,13.3,20.0,13600
Arakoon,285.0,62.0,58.0,91.0,74.8,16.4,15.4,23.9,10069
Jerseyville,65.0,19.0,16.0,22.0,64.4,18.4,15.8,20.4,12022
Lord Howe Island,235.0,78.0,44.0,100.0,71.0,23.9,13.6,30.8,12387
Lake Cathie,2136.0,713.0,403.0,630.0,73.5,24.5,13.9,21.7,12243
Bonny Hills,1850.0,676.0,347.0,605.0,75.8,27.6,14.2,24.7,10470
North Haven (NSW),922.0,256.0,183.0,236.0,61.9,17.1,12.3,15.8,12992
Kendall,614.0,249.0,120.0,196.0,68.1,27.8,13.4,21.7,12096
West Haven,621.0,157.0,137.0,204.0,62.4,15.7,13.7,20.4,14245
Laurieton,1099.0,254.0,236.0,332.0,60.5,14.0,13.0,18.3,12283
Kew (NSW),655.0,208.0,113.0,209.0,69.8,22.3,12.0,22.1,12109
Herons Creek,143.0,55.0,18.0,28.0,68.8,27.4,8.7,13.9,11897
Upsalls Creek,64.0,25.0,4.0,32.0,69.6,28.1,4.5,34.4,14049
Logans Crossing,99.0,32.0,30.0,38.0,88.4,28.3,26.5,32.8,12373
Lorne (NSW),175.0,52.0,26.0,65.0,74.8,22.7,11.2,28.0,12390
Lakewood,698.0,214.0,130.0,196.0,69.6,21.3,13.0,19.5,12259
Dunbogan,649.0,153.0,135.0,185.0,70.4,16.7,14.7,20.1,11310
Johns River,177.0,46.0,23.0,58.0,61.7,16.4,8.0,19.9,12037
Camden Head,104.0,34.0,21.0,53.0,80.6,26.8,16.5,40.5,10771
Port Macquarie,26140.0,9274.0,4668.0,7750.0,69.9,24.8,12.5,20.7,13246
Lake Innes,253.0,90.0,47.0,75.0,75.5,26.9,13.9,22.3,12251
Fernbank Creek,79.0,36.0,26.0,28.0,75.2,33.0,23.4,26.4,11505
Riverside (NSW),186.0,54.0,53.0,53.0,65.7,19.3,18.6,19.0,13367
Thrumster,240.0,111.0,20.0,58.0,80.0,36.8,6.6,19.2,13852
North Shore (NSW),205.0,90.0,40.0,47.0,66.6,29.1,12.9,15.3,13006
Telegraph Point,370.0,127.0,72.0,105.0,73.3,24.9,14.1,20.7,13781
Blackmans Point,92.0,26.0,15.0,36.0,60.5,16.8,9.9,23.2,10395
Gum Scrub,78.0,18.0,10.0,16.0,70.9,16.7,9.3,14.5,11797
Cooperabung,188.0,59.0,31.0,41.0,77.7,25.2,13.0,17.2,11046
Rollands Plains,97.0,37.0,28.0,42.0,72.9,27.2,20.3,31.3,13392
Upper Rollands Plains,78.0,29.0,9.0,27.0,78.0,28.7,9.2,26.2,14043
Pembrooke,79.0,34.0,23.0,24.0,68.1,29.6,18.9,22.0,13180
Frazers Creek,120.0,45.0,31.0,42.0,82.2,29.8,21.1,28.8,11560
Mortons Creek,183.0,55.0,35.0,45.0,76.6,22.7,14.6,18.9,12731
Brombin,71.0,30.0,15.0,20.0,78.9,33.3,16.1,20.8,10593
Long Flat (NSW),69.0,25.0,11.0,30.0,68.3,25.5,11.3,29.4,12377
Byabarra,194.0,65.0,40.0,74.0,75.2,25.1,15.7,29.6,10727
Ellenborough,102.0,32.0,25.0,32.0,68.5,21.2,15.3,19.9,11401
Comboyne,284.0,91.0,60.0,140.0,74.5,23.6,15.8,36.6,10992
Wauchope,3335.0,1300.0,710.0,925.0,66.3,25.8,14.1,18.4,14197
Yippin Creek,104.0,46.0,22.0,38.0,61.2,27.7,13.5,22.6,14515
Rosewood (Port Macquarie-Hastings - NSW),143.0,38.0,34.0,47.0,70.8,18.3,16.5,23.0,13414
Beechwood,358.0,168.0,63.0,102.0,73.8,34.9,13.2,21.2,10248
Redbank (NSW),231.0,79.0,49.0,79.0,75.2,25.7,15.7,26.1,13336
Crosslands,315.0,149.0,57.0,69.0,77.6,36.0,14.1,17.1,11127
King Creek,992.0,368.0,160.0,308.0,78.7,29.3,12.7,24.5,12145
Sancrox,351.0,126.0,65.0,114.0,75.6,26.4,13.8,24.4,13471
Gloucester,1674.0,567.0,313.0,669.0,68.0,23.0,12.7,27.2,11685
Craven,63.0,16.0,17.0,28.0,58.9,15.0,15.0,26.2,11107
Stratford (NSW),94.0,29.0,18.0,32.0,74.0,23.4,14.8,25.4,13672
Forbesdale,108.0,46.0,7.0,55.0,76.1,33.1,5.2,39.3,11539
Barrington (NSW),235.0,58.0,47.0,94.0,73.7,18.1,14.5,29.4,10216
Bowman,80.0,22.0,17.0,32.0,71.4,20.2,15.3,28.1,10531
Diamond Beach,568.0,193.0,112.0,160.0,76.8,26.5,15.4,21.8,11251
Manning Point,136.0,19.0,39.0,34.0,59.6,8.4,16.8,15.2,12478
Mitchells Island,289.0,77.0,53.0,93.0,71.2,19.0,13.0,23.1,12652
Oxley Island,175.0,75.0,42.0,68.0,72.9,30.9,17.4,28.7,13109
Old Bar,2545.0,916.0,555.0,756.0,70.9,25.6,15.5,21.1,13073
Black Head,587.0,148.0,120.0,198.0,75.8,19.2,15.3,25.5,10384
Red Head,321.0,115.0,58.0,107.0,75.9,27.1,13.9,25.4,13329
Rainbow Flat,452.0,130.0,90.0,136.0,78.3,22.9,15.5,23.7,13305
Hallidays Point,339.0,116.0,54.0,125.0,78.1,26.6,12.4,28.9,11832
Wallabi Point,443.0,193.0,71.0,140.0,82.8,36.6,13.6,26.3,14099
Koorainghat,123.0,36.0,34.0,38.0,73.7,21.4,20.6,23.0,12191
Tallwoods Village,492.0,129.0,72.0,140.0,80.0,21.4,11.9,23.1,13737
Taree,8451.0,3110.0,1855.0,2384.0,63.7,23.4,14.0,18.0,13764
Cundletown,1101.0,425.0,203.0,344.0,66.1,25.5,12.2,20.6,11161
Taree South,194.0,58.0,52.0,58.0,69.8,20.9,19.1,21.6,13765
Pampoolah,230.0,58.0,40.0,77.0,69.9,17.6,12.0,23.1,13142
Glenthorne,128.0,47.0,32.0,44.0,62.7,23.4,15.1,21.9,11680
Tinonee,664.0,247.0,136.0,256.0,73.9,27.4,15.1,28.3,13876
Harrington,1869.0,418.0,373.0,532.0,68.2,15.2,13.6,19.4,11858
Wherrol Flat,207.0,58.0,29.0,79.0,76.7,21.6,10.9,29.2,14271
Coopernook,300.0,122.0,56.0,86.0,67.7,27.5,12.5,19.6,11047
Moto,65.0,28.0,17.0,26.0,63.1,25.5,16.0,23.0,12742
Moorland (NSW),278.0,98.0,58.0,82.0,67.5,23.6,14.1,19.8,12714
Hannam Vale,126.0,30.0,23.0,48.0,82.9,19.4,15.1,31.2,11849
Stewarts River,78.0,17.0,14.0,28.0,74.3,17.9,13.7,25.7,13659
Upper Lansdowne,337.0,105.0,66.0,108.0,71.4,22.6,14.1,22.6,14033
Lansdowne (Mid-Coast - NSW),328.0,118.0,73.0,78.0,67.6,24.5,15.3,16.1,12273
Kundle Kundle,127.0,47.0,21.0,41.0,82.5,30.3,13.5,26.6,12211
Killabakh,171.0,50.0,39.0,67.0,78.1,22.4,17.6,29.9,12128
Cedar Party,218.0,72.0,61.0,53.0,70.8,23.5,19.6,17.2,10870
Marlee,127.0,38.0,30.0,48.0,69.8,20.8,16.9,26.7,12494
Elands,111.0,36.0,29.0,59.0,66.1,21.6,17.0,34.5,11388
Bobin,95.0,29.0,20.0,36.0,72.0,22.7,15.7,27.1,10427
Mount George (NSW),155.0,56.0,41.0,60.0,64.9,23.8,17.7,25.1,12761
Killawarra (NSW),98.0,38.0,16.0,46.0,69.5,26.6,11.0,33.3,12132
Burrell Creek,141.0,34.0,29.0,48.0,71.6,17.0,14.9,25.0,10709
Bootawa,103.0,24.0,13.0,47.0,66.9,15.7,8.4,30.3,10504
Mondrook,114.0,46.0,27.0,46.0,81.4,31.9,19.4,30.9,12676
Hillville,179.0,67.0,40.0,68.0,72.5,26.4,15.8,27.2,11913
Kimbriki,77.0,23.0,6.0,39.0,70.6,20.7,5.2,34.8,12139
Belbora,63.0,18.0,12.0,18.0,59.4,17.5,11.4,16.8,10256
Krambach,228.0,92.0,39.0,61.0,70.4,28.2,12.0,18.7,12202
Possum Brush,78.0,27.0,18.0,18.0,63.4,21.3,14.5,14.1,13251
Dyers Crossing,217.0,76.0,35.0,51.0,73.6,26.4,11.9,17.8,11338
Firefly,168.0,49.0,30.0,49.0,72.1,20.9,12.8,21.4,11521
Coralville,68.0,16.0,6.0,24.0,52.7,12.3,4.7,18.9,11064
Wingham,2935.0,1061.0,614.0,887.0,66.2,24.0,13.8,20.0,14332
Thurgoona,5027.0,2371.0,709.0,1665.0,76.2,36.0,10.8,25.3,13856
East Albury,3700.0,1368.0,568.0,1235.0,73.7,27.3,11.3,24.6,11344
Wirlinga,77.0,41.0,17.0,33.0,79.4,41.0,17.5,35.9,14337
North Albury,3149.0,1238.0,660.0,898.0,64.3,25.3,13.5,18.3,12977
Lavington,6645.0,2698.0,1275.0,1713.0,64.6,26.2,12.4,16.6,12287
Glenroy (Albury - NSW),1940.0,792.0,355.0,638.0,71.3,29.1,13.1,23.5,11678
Hamilton Valley,319.0,132.0,52.0,70.0,71.7,29.9,11.7,15.7,11842
Albury,2905.0,1007.0,457.0,1120.0,71.7,24.9,11.3,27.7,10027
South Albury,759.0,260.0,111.0,227.0,64.4,22.1,9.4,19.2,13573
West Albury,2123.0,720.0,397.0,762.0,65.4,22.2,12.2,23.5,14239
Splitters Creek,190.0,67.0,26.0,90.0,87.2,32.2,12.2,41.5,13610
Jindera,1205.0,569.0,216.0,431.0,73.1,34.5,13.1,26.0,12032
Holbrook,916.0,342.0,194.0,389.0,65.9,24.5,13.9,28.0,11920
Table Top,849.0,353.0,138.0,365.0,79.6,32.8,12.9,34.1,13722
Little Billabong,68.0,34.0,3.0,34.0,81.0,38.6,3.5,40.0,12350
Gerogery,330.0,143.0,55.0,135.0,75.9,33.2,12.9,31.0,11605
Brocklesby,105.0,61.0,20.0,63.0,75.0,42.7,13.9,45.7,10584
Walla Walla,470.0,178.0,101.0,238.0,70.7,26.9,15.3,36.0,14097
Glenellen,92.0,35.0,19.0,37.0,90.2,33.0,17.4,34.9,11663
Burrumbuttock,221.0,88.0,48.0,113.0,75.9,30.6,16.7,39.0,10716
Walbundrie,87.0,40.0,18.0,59.0,76.3,32.5,14.2,50.4,14092
Morven (Greater Hume Shire - NSW),93.0,40.0,19.0,38.0,83.8,34.8,17.0,35.2,12737
Culcairn,817.0,350.0,145.0,373.0,71.3,30.6,12.6,32.7,11147
Henty (NSW),637.0,278.0,138.0,388.0,66.1,28.7,14.3,40.0,11892
Mullengandra,75.0,27.0,15.0,30.0,74.3,28.4,16.3,31.9,12823
Bowna,69.0,24.0,9.0,46.0,73.4,28.9,11.1,54.8,10534
Bungowannah,102.0,36.0,19.0,54.0,75.0,27.1,14.2,41.5,10686
Woomargama,102.0,42.0,19.0,44.0,80.3,31.3,14.6,33.6,14413
Springdale Heights,1069.0,461.0,238.0,266.0,66.0,28.7,14.7,16.5,13622
Hay (NSW),1195.0,448.0,275.0,510.0,60.2,22.4,13.8,25.6,11874
Hay South,190.0,68.0,28.0,97.0,65.1,23.2,9.7,33.8,11875
Gol Gol,861.0,422.0,139.0,309.0,74.9,36.6,12.2,26.8,11693
Buronga,646.0,285.0,122.0,210.0,67.8,29.9,12.8,22.0,10696
Wentworth (NSW),750.0,226.0,157.0,298.0,59.8,18.0,12.5,23.8,14225
Coomealla,382.0,136.0,81.0,123.0,56.3,20.1,11.9,18.1,11041
Dareton,236.0,79.0,44.0,69.0,57.1,19.3,10.5,16.8,11206
Curlwaa,243.0,85.0,38.0,94.0,74.3,25.6,11.6,28.5,11170
Euston,363.0,165.0,68.0,130.0,57.8,26.1,10.8,20.6,11468
Pomona (NSW),81.0,42.0,21.0,28.0,65.9,33.1,16.4,21.9,13240
Tooleybuc,122.0,48.0,27.0,60.0,52.8,20.8,11.3,25.0,13902
Balranald,683.0,284.0,126.0,385.0,62.8,26.0,11.6,35.4,10168
Corowa,3037.0,1120.0,539.0,1119.0,66.3,24.4,11.7,24.4,11080
Mulwala,1177.0,428.0,213.0,375.0,64.6,23.4,11.7,20.6,12830
Balldale,83.0,38.0,11.0,49.0,66.4,30.6,8.9,39.5,10159
Rand,109.0,44.0,29.0,60.0,71.7,27.8,18.4,38.7,13311
Oaklands,181.0,81.0,31.0,112.0,66.5,29.9,11.6,41.5,13059
Howlong,1478.0,543.0,238.0,505.0,65.2,23.9,10.5,22.2,11950
Urana,188.0,61.0,35.0,93.0,57.1,18.8,10.6,28.9,14052
Deniliquin,4223.0,1592.0,841.0,1666.0,65.0,24.5,12.9,25.6,11237
Mayrung,78.0,29.0,10.0,34.0,70.9,25.9,8.5,32.7,12537
Mathoura,535.0,186.0,86.0,212.0,68.0,23.9,11.1,27.1,12522
Barham,841.0,252.0,164.0,343.0,64.3,19.3,12.5,26.3,10199
Wakool,177.0,63.0,24.0,79.0,70.8,25.3,9.8,32.1,14090
Moulamein,231.0,101.0,42.0,143.0,59.7,26.0,10.7,36.7,12743
Koraleigh,199.0,85.0,42.0,65.0,68.2,29.1,14.4,22.5,12195
Conargo,66.0,28.0,8.0,26.0,62.3,26.9,7.8,26.3,10998
Murray Downs,171.0,52.0,29.0,87.0,73.4,22.3,12.4,38.7,12852
Moama,3399.0,1317.0,529.0,1076.0,67.0,25.9,10.4,21.2,12654
Warragoon,77.0,31.0,14.0,36.0,76.2,34.1,13.5,38.7,14159
Blighty,74.0,34.0,18.0,30.0,71.8,32.1,16.7,31.6,10412
Barooga,970.0,376.0,162.0,360.0,65.4,25.2,10.9,24.2,10205
Tocumwal,1431.0,473.0,258.0,594.0,63.7,21.1,11.5,26.4,13886
Finley,1331.0,475.0,258.0,645.0,63.8,22.7,12.4,30.9,11520
Berrigan,669.0,219.0,149.0,363.0,62.5,20.4,13.8,33.9,10318
Jerilderie,511.0,182.0,104.0,259.0,60.3,21.4,12.3,30.6,12014
Armidale,13337.0,4506.0,2102.0,5271.0,69.4,23.4,10.9,27.4,10085
Guyra,1048.0,397.0,192.0,355.0,65.5,24.7,12.0,22.2,11822
South Guyra,172.0,69.0,35.0,51.0,63.5,25.2,12.8,19.1,13586
Llangothlin,77.0,25.0,3.0,36.0,74.0,25.8,3.0,35.3,12364
Ben Lomond (NSW),81.0,22.0,18.0,51.0,60.9,17.1,13.8,39.5,10286
Black Mountain (NSW),186.0,65.0,38.0,71.0,75.3,26.9,15.6,29.1,10387
Thalgarrah,120.0,41.0,25.0,41.0,84.5,28.7,16.8,28.3,13810
Hillgrove (Armidale Regional - NSW),100.0,42.0,12.0,32.0,70.9,29.0,8.3,22.2,11907
Ebor,105.0,34.0,18.0,42.0,76.6,23.0,12.6,28.6,11372
Uralla (NSW),1602.0,594.0,328.0,613.0,71.5,26.5,14.6,27.4,14051
Saumarez Ponds,273.0,107.0,39.0,120.0,79.6,31.5,11.5,34.5,13495
Invergowrie,464.0,191.0,85.0,187.0,79.7,32.4,14.5,31.5,11983
Arding,135.0,44.0,27.0,55.0,79.9,26.2,16.1,32.7,10075
Castle Doyle,111.0,38.0,18.0,36.0,89.5,28.4,13.8,27.9,10846
Dangarsleigh,98.0,13.0,16.0,44.0,74.2,10.5,12.8,34.9,11200
Kellys Plains,107.0,33.0,13.0,49.0,84.9,26.4,10.7,36.6,12087
Yarrowyck,85.0,31.0,10.0,39.0,86.7,29.8,9.1,38.6,14492
Kentucky,102.0,33.0,13.0,49.0,72.3,23.6,9.8,35.8,12102
Kentucky South,75.0,29.0,21.0,26.0,75.0,31.2,21.6,27.7,12103
Balala,70.0,21.0,16.0,30.0,59.3,17.4,13.2,25.0,10144
Rocky River (Uralla - NSW),170.0,61.0,29.0,72.0,76.2,26.6,12.8,31.7,13390
Walcha,1369.0,514.0,221.0,683.0,65.1,24.5,10.5,32.6,14093
Woolbrook,89.0,46.0,19.0,21.0,65.9,33.3,13.7,15.0,14400
Nowendoc,73.0,31.0,12.0,49.0,58.4,23.7,9.3,38.9,13026
Yarrowitch,98.0,29.0,14.0,44.0,66.7,19.9,9.8,32.1,14491
Stonehenge (NSW),88.0,20.0,13.0,37.0,80.7,17.9,11.8,33.3,13665
Glen Innes,3250.0,1198.0,644.0,1199.0,64.7,23.9,12.8,23.9,11649
Emmaville,286.0,62.0,58.0,111.0,64.0,13.7,12.9,24.6,11414
Deepwater (NSW),259.0,59.0,45.0,91.0,65.7,15.1,11.5,23.3,11231
Dundee,99.0,31.0,25.0,60.0,72.8,23.7,18.5,44.8,11314
Red Range,113.0,37.0,27.0,48.0,70.6,23.7,17.0,29.8,13333
Shannon Vale,93.0,25.0,17.0,47.0,73.8,19.2,13.2,34.6,13526
Glencoe (NSW),103.0,32.0,13.0,56.0,66.5,20.4,8.5,35.4,11657
Inverell,6161.0,2465.0,1192.0,2018.0,66.4,26.5,12.8,21.7,11981
Ashford (NSW),327.0,105.0,72.0,114.0,59.1,19.0,13.0,20.7,10099
Tingha,380.0,145.0,89.0,124.0,56.7,21.8,13.4,18.5,13874
Yetman,114.0,43.0,18.0,43.0,74.5,27.0,11.0,27.2,14514
Bundarra,350.0,137.0,78.0,137.0,62.9,24.6,14.1,24.6,10671
Gilgai,362.0,143.0,71.0,101.0,61.5,24.3,12.1,17.2,11618
Bonshaw (NSW),61.0,25.0,12.0,27.0,67.0,30.1,14.8,32.5,10473
Coolatai,58.0,16.0,17.0,29.0,54.7,15.4,16.5,28.4,11028
Bukkulla,84.0,44.0,12.0,25.0,78.5,42.3,11.2,23.4,10648
Oakwood (NSW),89.0,32.0,20.0,17.0,68.5,25.2,15.3,13.7,13061
Nullamanna,81.0,29.0,14.0,42.0,65.3,22.5,11.3,34.4,13032
Elsmore,178.0,92.0,40.0,132.0,62.7,31.6,14.0,47.1,11408
Bingara,727.0,196.0,162.0,340.0,58.2,15.6,12.9,27.2,10365
Gravesend,170.0,78.0,37.0,76.0,67.7,31.2,14.8,30.8,11742
Auburn Vale,78.0,26.0,3.0,26.0,83.0,27.1,3.3,26.0,10107
Gum Flat,125.0,55.0,22.0,53.0,77.6,32.0,13.8,31.7,11796
Delungra,321.0,156.0,59.0,125.0,65.5,31.7,11.9,25.2,11234
Warialda,794.0,286.0,160.0,367.0,61.2,22.0,12.2,28.1,14149
Yallaroi,70.0,30.0,4.0,30.0,79.5,32.6,4.3,34.1,14456
Warialda Rail,65.0,25.0,10.0,34.0,71.4,27.2,11.5,35.8,14150
Upper Horton,71.0,40.0,22.0,40.0,60.2,33.1,18.2,33.1,14029
Tabulam,276.0,70.0,78.0,106.0,70.4,18.1,20.0,27.0,13723
Tenterfield,2293.0,684.0,400.0,934.0,67.1,20.1,11.7,27.3,13792
Drake,188.0,49.0,49.0,59.0,60.8,16.2,15.8,19.8,11290
Liston,86.0,23.0,20.0,38.0,71.1,19.2,16.7,30.6,12346
Legume,93.0,39.0,31.0,55.0,72.1,32.8,25.0,45.1,12296
Urbenville,157.0,50.0,44.0,74.0,57.7,18.9,16.1,26.6,14057
Woodenbong,221.0,60.0,52.0,106.0,68.4,18.6,15.9,33.0,14382
Jennings,80.0,25.0,12.0,19.0,64.0,18.2,9.6,14.0,12008
Moree,4408.0,1918.0,756.0,1514.0,60.1,26.1,10.3,20.6,12722
Pallamallawa,186.0,100.0,26.0,77.0,53.3,28.3,7.4,22.3,13131
Garah,137.0,51.0,17.0,58.0,54.8,21.1,6.8,23.8,11586
Boomi,101.0,37.0,11.0,52.0,66.0,24.3,7.1,33.3,10489
Ashley,172.0,100.0,30.0,57.0,67.5,38.5,11.5,21.6,10100
Boggabilla,404.0,137.0,76.0,146.0,54.9,18.7,10.5,19.9,10441
North Star,111.0,52.0,15.0,65.0,60.0,28.9,8.4,36.9,13008
Mungindi (NSW),268.0,134.0,51.0,121.0,62.3,31.5,11.9,28.6,12843
Gurley,123.0,55.0,21.0,57.0,65.8,28.4,10.9,30.2,11817
Biniguy,73.0,32.0,8.0,19.0,61.9,26.0,7.0,16.2,10369
Bellata,170.0,80.0,33.0,72.0,65.4,31.1,12.7,27.4,10266
Narrabri,4012.0,1653.0,616.0,1497.0,66.6,27.5,10.2,24.9,12903
Wee Waa,956.0,431.0,159.0,342.0,59.9,27.0,10.0,21.5,14211
Merah North,97.0,48.0,14.0,49.0,68.3,33.6,10.0,33.1,12572
Maules Creek,68.0,32.0,4.0,38.0,80.0,37.6,4.2,44.7,12526
Baan Baa,88.0,30.0,14.0,28.0,67.7,23.1,10.4,22.0,10120
Tarriaro,70.0,31.0,6.0,34.0,81.4,36.5,7.0,43.0,13770
Bohena Creek,92.0,30.0,30.0,34.0,65.7,22.2,21.6,24.8,10444
Jacks Creek,81.0,24.0,10.0,13.0,75.7,22.0,9.7,12.1,11993
Gwabegar,78.0,32.0,11.0,16.0,63.9,24.1,8.8,11.9,11823
Gunnedah,5268.0,2219.0,864.0,1777.0,68.7,29.0,11.3,23.2,11812
Curlewis (NSW),408.0,177.0,82.0,126.0,65.1,28.4,13.1,20.1,11169
Boggabri,556.0,213.0,113.0,238.0,61.2,23.4,12.4,26.0,10442
Carroll,165.0,77.0,32.0,60.0,63.2,29.1,12.3,23.2,10832
Piallaway,75.0,30.0,10.0,24.0,68.2,27.0,8.8,22.9,13196
Breeza,80.0,33.0,13.0,32.0,65.0,26.4,10.6,24.6,10561
Caroona,94.0,35.0,13.0,24.0,58.4,21.5,8.1,14.7,10823
Spring Ridge,151.0,53.0,19.0,63.0,73.7,26.1,9.4,30.7,13619
Emerald Hill,69.0,24.0,8.0,34.0,65.1,21.6,7.5,30.9,11412
Mullaley,101.0,29.0,17.0,38.0,74.8,22.1,14.0,30.4,12820
Kelvin,94.0,56.0,15.0,39.0,68.6,39.7,10.5,28.5,12091
Werris Creek,768.0,288.0,182.0,284.0,58.7,22.1,14.0,21.7,14238
Quirindi,1823.0,710.0,356.0,733.0,65.4,25.5,12.8,26.3,13301
Wallabadah,251.0,75.0,43.0,105.0,70.9,21.1,12.1,29.5,14098
Currabubula,188.0,86.0,36.0,80.0,72.6,32.8,13.6,31.1,11172
Quipolly,98.0,42.0,18.0,40.0,68.5,29.8,12.2,27.4,13300
Willow Tree,145.0,52.0,35.0,58.0,57.3,20.5,13.6,22.9,14305
Blackville,56.0,17.0,6.0,31.0,63.6,20.2,6.6,34.1,10398
Hillvue,3794.0,1638.0,640.0,1170.0,74.4,32.2,12.6,22.9,11914
