,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Balgowlah Heights,1980.0,1003.0,292.0,771.0,81.0,41.1,11.9,31.6,10154
Clontarf (NSW),1049.0,432.0,154.0,408.0,76.4,31.4,11.2,29.7,10935
Balgowlah,4845.0,2220.0,605.0,1516.0,77.5,35.5,9.7,24.2,10153
Manly (NSW),9863.0,3091.0,1113.0,3014.0,71.4,22.4,8.1,21.8,12475
Fairlight,3778.0,1496.0,493.0,1183.0,78.5,31.1,10.2,24.6,11482
Avalon Beach,6271.0,2650.0,923.0,1886.0,79.0,33.4,11.6,23.8,10111
Palm Beach (NSW),1035.0,377.0,205.0,312.0,73.9,26.9,14.6,22.3,13132
Whale Beach,157.0,73.0,29.0,53.0,72.4,33.8,13.2,24.5,14267
Clareville,511.0,197.0,99.0,161.0,80.1,30.8,15.5,25.1,10923
Scotland Island,376.0,156.0,54.0,143.0,82.3,34.0,11.7,31.2,13505
Elanora Heights,2670.0,1258.0,408.0,828.0,80.5,37.9,12.3,24.9,11389
Ingleside,597.0,211.0,99.0,201.0,73.3,26.0,12.0,24.8,11979
Bayview (NSW),2176.0,775.0,325.0,702.0,69.4,24.7,10.4,22.4,10237
Church Point,675.0,260.0,102.0,184.0,78.8,30.6,11.9,21.6,10915
Lovett Bay,67.0,23.0,19.0,26.0,52.3,17.6,13.9,19.5,12397
Mona Vale,6570.0,2598.0,1048.0,1830.0,74.8,29.6,11.9,20.8,12672
Newport (NSW),5941.0,2370.0,975.0,1768.0,78.6,31.4,12.9,23.4,12956
Bilgola Plateau,2273.0,1029.0,340.0,656.0,83.0,37.6,12.4,24.0,10351
Bilgola Beach,168.0,71.0,37.0,65.0,83.2,34.0,17.8,31.4,10350
Warriewood,4394.0,2061.0,632.0,1188.0,75.9,35.6,10.9,20.5,14173
North Narrabeen,3513.0,1628.0,540.0,971.0,77.5,35.9,11.9,21.4,12999
Beacon Hill,4455.0,1993.0,652.0,1222.0,75.7,33.8,11.1,20.8,10238
Narraweena,3595.0,1589.0,656.0,874.0,67.1,29.7,12.3,16.3,12910
Cromer (NSW),4451.0,2110.0,685.0,1215.0,74.3,35.2,11.4,20.3,11118
Oxford Falls,78.0,34.0,6.0,15.0,68.4,30.4,5.4,13.5,13106
Dee Why,12550.0,4879.0,1584.0,2724.0,69.5,27.0,8.8,15.1,11227
North Curl Curl,2377.0,1161.0,351.0,827.0,77.3,37.8,11.4,26.9,12988
Forestville (NSW),4930.0,2228.0,754.0,1632.0,76.6,34.7,11.7,25.4,11548
Killarney Heights,2704.0,1228.0,387.0,918.0,79.2,36.0,11.3,26.9,12130
Frenchs Forest,8068.0,3819.0,1204.0,2538.0,78.3,37.0,11.7,24.6,11568
Belrose,5160.0,2232.0,797.0,1602.0,73.0,31.6,11.3,22.7,10283
Davidson,1808.0,807.0,280.0,583.0,79.4,35.5,12.3,25.8,11219
Curl Curl,1355.0,634.0,191.0,453.0,74.2,34.5,10.4,24.7,11167
Freshwater (NSW),5376.0,2245.0,637.0,1483.0,76.5,32.0,9.1,21.1,11569
Manly Vale,3592.0,1536.0,478.0,968.0,72.4,30.9,9.6,19.5,12476
North Manly,1774.0,846.0,234.0,513.0,75.9,36.2,10.0,22.0,12997
Queenscliff (NSW),2222.0,669.0,246.0,573.0,75.9,22.8,8.4,19.6,13296
Brookvale,1905.0,649.0,203.0,399.0,70.7,24.0,7.5,14.8,10601
Allambie Heights,4149.0,1957.0,634.0,1247.0,76.3,36.0,11.7,22.9,10036
North Balgowlah,2066.0,1141.0,286.0,721.0,81.0,44.8,11.2,28.2,12981
Narrabeen,4854.0,1666.0,704.0,1298.0,67.8,23.3,9.8,18.1,12902
Collaroy (NSW),4856.0,1881.0,655.0,1328.0,73.9,28.6,10.0,20.2,10970
Collaroy Plateau,2757.0,1313.0,426.0,747.0,75.7,36.0,11.7,20.4,10971
Wheeler Heights,1761.0,906.0,280.0,479.0,78.4,40.2,12.5,21.3,14268
Terrey Hills,1826.0,805.0,269.0,632.0,75.5,33.2,11.1,26.0,13804
Duffys Forest,280.0,110.0,39.0,118.0,72.9,28.5,10.1,31.1,11301
Ellis Lane,544.0,262.0,100.0,168.0,80.6,38.8,14.9,24.9,11405
