,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Sefton,1465.0,118.0,141.0,7.0,13.0,84.0,6.8,8.1,0.4,0.7
Seven Hills,5785.0,243.0,160.0,7.0,24.0,93.0,3.9,2.6,0.1,0.4
Shalvey,970.0,132.0,0.0,0.0,13.0,87.0,11.8,0.0,0.0,1.2
Shell Cove,379.0,10.0,0.0,0.0,0.0,97.4,2.6,0.0,0.0,0.0
Shellharbour,938.0,194.0,31.0,25.0,0.0,79.0,16.3,2.6,2.1,0.0
Shelly Beach,441.0,49.0,9.0,28.0,3.0,83.2,9.2,1.7,5.3,0.6
Shortland,1297.0,47.0,91.0,4.0,6.0,89.8,3.3,6.3,0.3,0.4
Silverwater,313.0,16.0,37.0,0.0,0.0,85.5,4.4,10.1,0.0,0.0
Smithfield,3018.0,291.0,101.0,79.0,4.0,86.4,8.3,2.9,2.3,0.1
South Coogee,714.0,321.0,954.0,7.0,54.0,34.8,15.7,46.5,0.3,2.6
South Granville,933.0,50.0,10.0,5.0,5.0,93.0,5.0,1.0,0.5,0.5
South Hurstville,944.0,333.0,235.0,7.0,16.0,61.5,21.7,15.3,0.5,1.0
South Penrith,3927.0,199.0,24.0,0.0,10.0,94.4,4.8,0.6,0.0,0.2
South Turramurra,944.0,35.0,0.0,0.0,15.0,95.0,3.5,0.0,0.0,1.5
South Wentworthville,1322.0,297.0,45.0,5.0,0.0,79.2,17.8,2.7,0.3,0.0
Speers Point,1095.0,52.0,123.0,3.0,0.0,86.0,4.1,9.7,0.2,0.0
Springfield,1343.0,13.0,20.0,0.0,3.0,97.4,0.9,1.5,0.0,0.2
Springwood,2391.0,296.0,285.0,0.0,23.0,79.8,9.9,9.5,0.0,0.8
St Andrews,1758.0,50.0,10.0,0.0,6.0,96.4,2.7,0.5,0.0,0.3
St Clair,6059.0,29.0,12.0,0.0,49.0,98.5,0.5,0.2,0.0,0.8
St Helens Park,1594.0,212.0,0.0,0.0,9.0,87.8,11.7,0.0,0.0,0.5
St Huberts Island,431.0,12.0,0.0,0.0,3.0,96.6,2.7,0.0,0.0,0.7
St Ives,4232.0,195.0,212.0,8.0,26.0,90.6,4.2,4.5,0.2,0.6
St Ives Chase,977.0,0.0,6.0,0.0,0.0,99.4,0.0,0.6,0.0,0.0
St Johns Park,1445.0,49.0,12.0,0.0,13.0,95.1,3.2,0.8,0.0,0.9
St Leonards,128.0,44.0,767.0,8.0,3.0,13.5,4.6,80.7,0.8,0.3
St Marys,2596.0,381.0,640.0,24.0,9.0,71.1,10.4,17.5,0.7,0.2
St Peters,384.0,475.0,51.0,40.0,14.0,39.8,49.3,5.3,4.1,1.5
Stanhope Gardens,1082.0,6.0,0.0,0.0,10.0,98.5,0.5,0.0,0.0,0.9
Stanmore,1053.0,742.0,1115.0,70.0,4.0,35.3,24.9,37.4,2.3,0.1
Stockton,1305.0,133.0,137.0,42.0,18.0,79.8,8.1,8.4,2.6,1.1
Strathfield,4078.0,314.0,2648.0,16.0,64.0,57.3,4.4,37.2,0.2,0.9
Strathfield South,718.0,154.0,122.0,6.0,7.0,71.3,15.3,12.1,0.6,0.7
Summer Hill,517.0,480.0,1606.0,33.0,93.0,18.9,17.6,58.8,1.2,3.4
Surry Hills,89.0,1998.0,4891.0,61.0,148.0,1.2,27.8,68.1,0.8,2.1
Sutherland,1218.0,605.0,2212.0,13.0,94.0,29.4,14.6,53.4,0.3,2.3
Swansea,1456.0,425.0,124.0,80.0,3.0,69.7,20.4,5.9,3.8,0.1
Swansea Heads,209.0,10.0,8.0,0.0,0.0,92.1,4.4,3.5,0.0,0.0
Sydenham,141.0,211.0,20.0,16.0,0.0,36.3,54.4,5.2,4.1,0.0
Sydney,3.0,24.0,4215.0,98.0,52.0,0.1,0.5,96.0,2.2,1.2
Sylvania,2323.0,596.0,468.0,14.0,16.0,68.0,17.4,13.7,0.4,0.5
Sylvania Waters,944.0,104.0,140.0,0.0,4.0,79.2,8.7,11.7,0.0,0.3
Tacoma,223.0,0.0,3.0,3.0,3.0,96.1,0.0,1.3,1.3,1.3
Tacoma South,99.0,3.0,0.0,0.0,0.0,97.1,2.9,0.0,0.0,0.0
Tamarama,131.0,79.0,452.0,0.0,3.0,19.7,11.9,68.0,0.0,0.5
Taren Point,337.0,73.0,3.0,8.0,0.0,80.0,17.3,0.7,1.9,0.0
Tarrawanna,411.0,28.0,117.0,3.0,0.0,73.5,5.0,20.9,0.5,0.0
Tascott,618.0,3.0,16.0,4.0,3.0,96.0,0.5,2.5,0.6,0.5
Tempe,936.0,229.0,67.0,3.0,6.0,75.4,18.5,5.4,0.2,0.5
Teralba,444.0,24.0,13.0,65.0,5.0,80.6,4.4,2.4,11.8,0.9
Terrey Hills,827.0,9.0,15.0,35.0,0.0,93.3,1.0,1.7,4.0,0.0
Terrigal,2634.0,457.0,287.0,313.0,16.0,71.1,12.3,7.7,8.4,0.4
The Entrance,579.0,143.0,588.0,38.0,49.0,41.4,10.2,42.1,2.7,3.5
The Entrance North,255.0,105.0,69.0,55.0,10.0,51.6,21.3,14.0,11.1,2.0
The Hill,202.0,230.0,525.0,0.0,7.0,21.0,23.9,54.5,0.0,0.7
The Junction,257.0,163.0,196.0,0.0,3.0,41.5,26.3,31.7,0.0,0.5
Thirroul,1555.0,343.0,184.0,22.0,22.0,73.1,16.1,8.7,1.0,1.0
Thornleigh,2270.0,251.0,91.0,9.0,3.0,86.5,9.6,3.5,0.3,0.1
Tighes Hill,556.0,46.0,65.0,11.0,3.0,81.6,6.8,9.5,1.6,0.4
Tingira Heights,933.0,28.0,8.0,0.0,4.0,95.9,2.9,0.8,0.0,0.4
Toongabbie,3457.0,789.0,231.0,14.0,16.0,76.7,17.5,5.1,0.3,0.4
Toowoon Bay,100.0,88.0,14.0,40.0,0.0,41.3,36.4,5.8,16.5,0.0
Toronto,1712.0,181.0,100.0,24.0,7.0,84.6,8.9,4.9,1.2,0.3
Toukley,1326.0,323.0,181.0,24.0,4.0,71.4,17.4,9.7,1.3,0.2
Towradgi,883.0,111.0,127.0,3.0,146.0,69.5,8.7,10.0,0.2,11.5
Tregear,1129.0,66.0,64.0,0.0,16.0,88.5,5.2,5.0,0.0,1.3
Tuggerah,258.0,81.0,0.0,0.0,0.0,76.1,23.9,0.0,0.0,0.0
Tuggerawong,411.0,10.0,18.0,55.0,0.0,83.2,2.0,3.6,11.1,0.0
Tumbi Umbi,1073.0,111.0,13.0,3.0,3.0,89.2,9.2,1.1,0.2,0.2
Turramurra,3032.0,98.0,500.0,3.0,35.0,82.7,2.7,13.6,0.1,1.0
Turrella,389.0,16.0,24.0,0.0,3.0,90.0,3.7,5.6,0.0,0.7
Ultimo,11.0,259.0,1434.0,3.0,24.0,0.6,15.0,82.8,0.2,1.4
Umina Beach,5021.0,688.0,265.0,160.0,30.0,81.5,11.2,4.3,2.6,0.5
Unanderra,1837.0,239.0,152.0,17.0,5.0,81.6,10.6,6.8,0.8,0.2
Valentine,1618.0,122.0,54.0,0.0,21.0,89.1,6.7,3.0,0.0,1.2
Valley Heights,453.0,17.0,4.0,3.0,3.0,94.4,3.5,0.8,0.6,0.6
Vaucluse,1667.0,311.0,1305.0,18.0,32.0,50.0,9.3,39.2,0.5,1.0
Villawood,1766.0,283.0,338.0,3.0,12.0,73.5,11.8,14.1,0.1,0.5
Voyager Point,229.0,0.0,0.0,0.0,3.0,98.7,0.0,0.0,0.0,1.3
Wahroonga,4003.0,323.0,499.0,4.0,24.0,82.5,6.7,10.3,0.1,0.5
Waitara,346.0,34.0,296.0,4.0,3.0,50.7,5.0,43.3,0.6,0.4
Wakeley,1189.0,197.0,3.0,0.0,3.0,85.4,14.2,0.2,0.0,0.2
Wallsend,3920.0,313.0,330.0,25.0,29.0,84.9,6.8,7.1,0.5,0.6
Wamberal,1721.0,213.0,101.0,11.0,8.0,83.8,10.4,4.9,0.5,0.4
Warabrook,507.0,182.0,32.0,0.0,4.0,69.9,25.1,4.4,0.0,0.6
Waratah,1178.0,229.0,364.0,14.0,0.0,66.0,12.8,20.4,0.8,0.0
Waratah West,1025.0,44.0,43.0,0.0,4.0,91.8,3.9,3.9,0.0,0.4
Wareemba,359.0,121.0,93.0,20.0,4.0,60.1,20.3,15.6,3.4,0.7
Warilla,1728.0,153.0,202.0,119.0,26.0,77.6,6.9,9.1,5.3,1.2
Warners Bay,2081.0,453.0,136.0,4.0,12.0,77.5,16.9,5.1,0.1,0.4
Warrawee,752.0,0.0,5.0,0.0,0.0,99.3,0.0,0.7,0.0,0.0
Warrawong,1280.0,74.0,568.0,8.0,4.0,66.2,3.8,29.4,0.4,0.2
Warriewood,751.0,230.0,26.0,14.0,53.0,69.9,21.4,2.4,1.3,4.9
Warrimoo,784.0,4.0,9.0,3.0,3.0,97.6,0.5,1.1,0.4,0.4
Warwick Farm,535.0,105.0,1009.0,10.0,29.0,31.7,6.2,59.8,0.6,1.7
Watanobbi,1060.0,46.0,20.0,0.0,0.0,94.1,4.1,1.8,0.0,0.0
Waterloo,114.0,498.0,2074.0,10.0,56.0,4.1,18.1,75.4,0.4,2.0
Watsons Bay,120.0,43.0,43.0,21.0,0.0,52.9,18.9,18.9,9.3,0.0
Wattle Grove,2851.0,54.0,13.0,0.0,8.0,97.4,1.8,0.4,0.0,0.3
Waverley,270.0,396.0,643.0,17.0,74.0,19.3,28.3,45.9,1.2,5.3
Waverton,299.0,256.0,1023.0,5.0,8.0,18.8,16.1,64.3,0.3,0.5
Wentworthville,1881.0,624.0,999.0,11.0,24.0,53.2,17.6,28.2,0.3,0.7
Werrington,729.0,299.0,266.0,0.0,18.0,55.6,22.8,20.3,0.0,1.4
Werrington County,1245.0,6.0,3.0,0.0,8.0,98.7,0.5,0.2,0.0,0.6
Werrington Downs,1043.0,0.0,0.0,0.0,11.0,99.0,0.0,0.0,0.0,1.0
West Gosford,350.0,70.0,256.0,4.0,0.0,51.5,10.3,37.6,0.6,0.0
West Hoxton,1279.0,38.0,5.0,0.0,3.0,96.5,2.9,0.4,0.0,0.2
West Pennant Hills,4215.0,355.0,172.0,3.0,43.0,88.0,7.4,3.6,0.1,0.9
West Pymble,1582.0,5.0,31.0,0.0,7.0,97.4,0.3,1.9,0.0,0.4
West Ryde,2256.0,288.0,1753.0,17.0,23.0,52.0,6.6,40.4,0.4,0.5
West Wallsend,575.0,0.0,5.0,7.0,3.0,97.5,0.0,0.8,1.2,0.5
West Wollongong,1236.0,191.0,425.0,17.0,0.0,66.1,10.2,22.7,0.9,0.0
Westleigh,1307.0,3.0,3.0,0.0,0.0,99.5,0.2,0.2,0.0,0.0
Westmead,977.0,151.0,2155.0,12.0,186.0,28.1,4.3,61.9,0.3,5.3
Wetherill Park,1710.0,132.0,11.0,6.0,3.0,91.8,7.1,0.6,0.3,0.2
Whalan,1683.0,31.0,237.0,0.0,9.0,85.9,1.6,12.1,0.0,0.5
Whitebridge,779.0,52.0,15.0,0.0,6.0,91.4,6.1,1.8,0.0,0.7
Wickham,174.0,70.0,75.0,4.0,6.0,52.9,21.3,22.8,1.2,1.8
Wiley Park,972.0,200.0,1707.0,8.0,48.0,33.1,6.8,58.2,0.3,1.6
Willmot,693.0,102.0,16.0,9.0,0.0,84.5,12.4,2.0,1.1,0.0
Willoughby,1236.0,287.0,579.0,10.0,17.0,58.1,13.5,27.2,0.5,0.8
Willoughby East,527.0,38.0,9.0,0.0,0.0,91.8,6.6,1.6,0.0,0.0
Windale,915.0,143.0,94.0,0.0,3.0,79.2,12.4,8.1,0.0,0.3
Windang,586.0,22.0,101.0,385.0,9.0,53.1,2.0,9.2,34.9,0.8
Winmalee,2083.0,18.0,8.0,3.0,8.0,98.3,0.8,0.4,0.1,0.4
Winston Hills,2852.0,79.0,13.0,4.0,51.0,95.1,2.6,0.4,0.1,1.7
Wollongong,1635.0,446.0,4348.0,114.0,75.0,24.7,6.7,65.7,1.7,1.1
Wollstonecraft,226.0,468.0,3146.0,3.0,40.0,5.8,12.1,81.0,0.1,1.0
Wombarra,273.0,6.0,12.0,0.0,11.0,90.4,2.0,4.0,0.0,3.6
Woodbine,787.0,21.0,4.0,0.0,0.0,96.9,2.6,0.5,0.0,0.0
Woodcroft,1151.0,160.0,48.0,0.0,0.0,84.7,11.8,3.5,0.0,0.0
Woodpark,407.0,9.0,0.0,0.0,5.0,96.7,2.1,0.0,0.0,1.2
Woodrising,463.0,12.0,0.0,0.0,5.0,96.5,2.5,0.0,0.0,1.0
Woollahra,758.0,937.0,1539.0,30.0,55.0,22.8,28.2,46.4,0.9,1.7
Woolloomooloo,6.0,434.0,1085.0,34.0,25.0,0.4,27.4,68.5,2.1,1.6
Woolooware,1932.0,265.0,293.0,60.0,27.0,75.0,10.3,11.4,2.3,1.0
Woolwich,188.0,51.0,67.0,4.0,3.0,60.1,16.3,21.4,1.3,1.0
Woonona,2495.0,491.0,644.0,14.0,15.0,68.2,13.4,17.6,0.4,0.4
Woronora,579.0,8.0,0.0,0.0,0.0,98.6,1.4,0.0,0.0,0.0
Woronora Heights,786.0,8.0,0.0,0.0,7.0,98.1,1.0,0.0,0.0,0.9
Woy Woy,2954.0,945.0,343.0,32.0,17.0,68.8,22.0,8.0,0.7,0.4
Woy Woy Bay,193.0,3.0,6.0,0.0,0.0,95.5,1.5,3.0,0.0,0.0
Wyoming,2793.0,219.0,171.0,12.0,63.0,85.7,6.7,5.2,0.4,1.9
Wyong,931.0,184.0,98.0,127.0,5.0,69.2,13.7,7.3,9.4,0.4
Wyongah,612.0,3.0,6.0,3.0,0.0,98.1,0.5,1.0,0.5,0.0
Yagoona,3889.0,466.0,240.0,28.0,47.0,83.3,10.0,5.1,0.6,1.0
Yarrawarrah,413.0,6.0,0.0,0.0,3.0,97.9,1.4,0.0,0.0,0.7
Yattalunga,177.0,3.0,3.0,0.0,6.0,93.7,1.6,1.6,0.0,3.2
Yennora,327.0,115.0,4.0,3.0,0.0,72.8,25.6,0.9,0.7,0.0
Yowie Bay,1149.0,35.0,44.0,0.0,3.0,93.3,2.8,3.6,0.0,0.2
Zetland,17.0,209.0,15.0,0.0,6.0,6.9,84.6,6.1,0.0,2.4
