,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Pretty Beach (Central Coast - NSW),88.0,25.0,6.0,32.0,40.0,9.0,31.0,0.0,0.0,17.0,0.0,24.0,31.8,9.0,2.2,11.6,14.4,3.2,11.2,0.0,0.0,6.1,0.0,8.7,13261
Hardys Bay,63.0,25.0,0.0,21.0,27.0,0.0,35.0,0.0,0.0,5.0,0.0,22.0,30.0,11.9,0.0,10.0,12.9,0.0,16.7,0.0,0.0,2.4,0.0,10.5,11852
Kincumber South,63.0,59.0,19.0,89.0,67.0,14.0,144.0,0.0,0.0,89.0,4.0,63.0,9.9,9.3,3.0,14.0,10.6,2.2,22.7,0.0,0.0,14.0,0.6,9.9,12142
Somersby,144.0,95.0,15.0,161.0,113.0,29.0,109.0,3.0,0.0,85.0,0.0,114.0,16.2,10.7,1.7,18.1,12.7,3.3,12.3,0.3,0.0,9.6,0.0,12.8,13571
Calga,20.0,12.0,3.0,19.0,14.0,3.0,10.0,0.0,0.0,3.0,0.0,7.0,21.1,12.6,3.2,20.0,14.7,3.2,10.5,0.0,0.0,3.2,0.0,7.4,10752
Woy Woy,1095.0,691.0,268.0,1349.0,1111.0,345.0,1513.0,8.0,5.0,1166.0,28.0,1138.0,12.1,7.7,3.0,14.9,12.3,3.8,16.8,0.1,0.1,12.9,0.3,12.6,14425
Patonga,45.0,16.0,3.0,34.0,23.0,11.0,27.0,0.0,0.0,17.0,0.0,22.0,22.8,8.1,1.5,17.3,11.7,5.6,13.7,0.0,0.0,8.6,0.0,11.2,13160
Mooney Mooney,62.0,29.0,13.0,50.0,28.0,6.0,27.0,0.0,0.0,14.0,0.0,11.0,23.8,11.1,5.0,19.2,10.7,2.3,10.3,0.0,0.0,5.4,0.0,4.2,12704
Kariong,681.0,545.0,222.0,834.0,795.0,197.0,670.0,3.0,0.0,334.0,12.0,474.0,13.7,11.0,4.5,16.8,16.0,4.0,13.5,0.1,0.0,6.7,0.2,9.6,12074
Peats Ridge,28.0,21.0,9.0,50.0,42.0,8.0,65.0,0.0,0.0,16.0,0.0,47.0,9.6,7.2,3.1,17.1,14.4,2.7,22.3,0.0,0.0,5.5,0.0,16.1,13172
Central Mangrove,28.0,22.0,3.0,34.0,38.0,11.0,35.0,0.0,0.0,22.0,0.0,21.0,12.3,9.6,1.3,14.9,16.7,4.8,15.4,0.0,0.0,9.6,0.0,9.2,10876
Mangrove Mountain,91.0,57.0,22.0,95.0,81.0,20.0,79.0,0.0,0.0,61.0,9.0,48.0,16.0,10.0,3.9,16.7,14.2,3.5,13.9,0.0,0.0,10.7,1.6,8.4,12472
Kulnura,64.0,48.0,11.0,70.0,74.0,23.0,70.0,3.0,0.0,56.0,0.0,63.0,12.7,9.6,2.2,13.9,14.7,4.6,13.9,0.6,0.0,11.2,0.0,12.5,12206
Mount White,16.0,10.0,5.0,32.0,31.0,12.0,25.0,0.0,0.0,14.0,0.0,16.0,9.6,6.0,3.0,19.2,18.6,7.2,15.0,0.0,0.0,8.4,0.0,9.6,12803
Wendoree Park,23.0,13.0,3.0,14.0,11.0,3.0,12.0,0.0,0.0,3.0,0.0,17.0,26.1,14.8,3.4,15.9,12.5,3.4,13.6,0.0,0.0,3.4,0.0,19.3,14224
Wisemans Ferry,26.0,12.0,6.0,37.0,10.0,3.0,30.0,0.0,0.0,25.0,3.0,26.0,14.5,6.7,3.4,20.7,5.6,1.7,16.8,0.0,0.0,14.0,1.7,14.5,14344
Gunderman,22.0,13.0,7.0,20.0,18.0,7.0,29.0,0.0,0.0,8.0,0.0,51.0,11.8,7.0,3.7,10.7,9.6,3.7,15.5,0.0,0.0,4.3,0.0,27.3,11808
Spencer,22.0,22.0,3.0,38.0,32.0,4.0,35.0,0.0,0.0,20.0,0.0,96.0,7.7,7.7,1.0,13.2,11.1,1.4,12.2,0.0,0.0,7.0,0.0,33.4,13607
Erina,624.0,371.0,102.0,521.0,511.0,128.0,625.0,3.0,0.0,440.0,9.0,716.0,14.8,8.8,2.4,12.4,12.2,3.0,14.9,0.1,0.0,10.5,0.2,17.0,11433
Green Point (Central Coast - NSW),939.0,577.0,179.0,786.0,780.0,194.0,726.0,6.0,0.0,444.0,21.0,476.0,17.7,10.9,3.4,14.8,14.7,3.7,13.7,0.1,0.0,8.4,0.4,9.0,11753
Matcham,242.0,90.0,15.0,89.0,118.0,28.0,74.0,0.0,0.0,30.0,0.0,53.0,31.0,11.5,1.9,11.4,15.1,3.6,9.5,0.0,0.0,3.8,0.0,6.8,12520
Holgate,223.0,84.0,23.0,98.0,119.0,26.0,72.0,0.0,0.0,43.0,0.0,46.0,29.7,11.2,3.1,13.0,15.8,3.5,9.6,0.0,0.0,5.7,0.0,6.1,11921
Lisarow,741.0,437.0,168.0,687.0,643.0,165.0,540.0,4.0,0.0,260.0,8.0,273.0,18.1,10.7,4.1,16.8,15.7,4.0,13.2,0.1,0.0,6.4,0.2,6.7,12343
Erina Heights,81.0,43.0,7.0,50.0,43.0,10.0,25.0,0.0,0.0,22.0,0.0,23.0,26.2,13.9,2.3,16.2,13.9,3.2,8.1,0.0,0.0,7.1,0.0,7.4,11434
Terrigal,2291.0,1041.0,333.0,1296.0,1424.0,292.0,1088.0,4.0,0.0,539.0,17.0,683.0,24.5,11.1,3.6,13.9,15.2,3.1,11.6,0.0,0.0,5.8,0.2,7.3,13805
Springfield (Central Coast - NSW),551.0,352.0,137.0,513.0,473.0,120.0,431.0,0.0,0.0,269.0,11.0,238.0,17.2,11.0,4.3,16.0,14.8,3.7,13.5,0.0,0.0,8.4,0.3,7.4,13623
North Gosford,518.0,289.0,157.0,455.0,439.0,115.0,385.0,7.0,3.0,212.0,3.0,315.0,17.3,9.7,5.2,15.2,14.7,3.8,12.9,0.2,0.1,7.1,0.1,10.5,12991
West Gosford,178.0,89.0,46.0,151.0,158.0,45.0,183.0,0.0,0.0,152.0,8.0,128.0,15.0,7.5,3.9,12.8,13.4,3.8,15.5,0.0,0.0,12.8,0.7,10.8,14244
Gosford,751.0,273.0,127.0,352.0,514.0,91.0,304.0,3.0,0.0,178.0,10.0,398.0,24.3,8.8,4.1,11.4,16.6,2.9,9.8,0.1,0.0,5.8,0.3,12.9,11722
East Gosford,733.0,390.0,122.0,442.0,452.0,90.0,437.0,7.0,0.0,321.0,8.0,418.0,20.6,11.0,3.4,12.4,12.7,2.5,12.3,0.2,0.0,9.0,0.2,11.8,11349
Point Frederick,409.0,173.0,61.0,182.0,204.0,53.0,161.0,0.0,0.0,120.0,6.0,230.0,24.4,10.3,3.6,10.9,12.2,3.2,9.6,0.0,0.0,7.2,0.4,13.7,13232
Kincumber,857.0,547.0,216.0,976.0,767.0,218.0,913.0,3.0,0.0,602.0,6.0,526.0,14.5,9.3,3.7,16.5,13.0,3.7,15.5,0.1,0.0,10.2,0.1,8.9,12141
Picketts Valley,40.0,9.0,0.0,27.0,26.0,9.0,18.0,0.0,0.0,11.0,0.0,5.0,26.8,6.0,0.0,18.1,17.4,6.0,12.1,0.0,0.0,7.4,0.0,3.4,13198
Narara,1041.0,670.0,310.0,1120.0,933.0,236.0,903.0,3.0,0.0,461.0,26.0,458.0,16.4,10.5,4.9,17.6,14.7,3.7,14.2,0.0,0.0,7.2,0.4,7.2,12895
Niagara Park,339.0,209.0,101.0,385.0,304.0,80.0,298.0,3.0,0.0,205.0,3.0,165.0,15.7,9.6,4.7,17.8,14.0,3.7,13.8,0.1,0.0,9.5,0.1,7.6,12961
Mount Elliot (NSW),48.0,19.0,3.0,16.0,18.0,5.0,12.0,0.0,0.0,7.0,0.0,14.0,34.5,13.7,2.2,11.5,12.9,3.6,8.6,0.0,0.0,5.0,0.0,10.1,12757
Point Clare,586.0,355.0,119.0,449.0,412.0,106.0,383.0,0.0,0.0,232.0,14.0,244.0,19.5,11.8,4.0,15.0,13.7,3.5,12.8,0.0,0.0,7.7,0.5,8.1,13231
Tascott,308.0,143.0,51.0,205.0,196.0,40.0,169.0,0.0,0.0,82.0,3.0,107.0,22.7,10.5,3.8,15.1,14.4,2.9,12.4,0.0,0.0,6.0,0.2,7.9,13772
Koolewong,177.0,91.0,26.0,112.0,94.0,20.0,84.0,0.0,0.0,48.0,4.0,56.0,24.5,12.6,3.6,15.5,13.0,2.8,11.6,0.0,0.0,6.6,0.6,7.8,12185
Saratoga,599.0,349.0,131.0,565.0,426.0,113.0,371.0,3.0,0.0,197.0,0.0,246.0,19.2,11.2,4.2,18.1,13.7,3.6,11.9,0.1,0.0,6.3,0.0,7.9,13492
Davistown,225.0,232.0,80.0,421.0,249.0,62.0,321.0,4.0,0.0,215.0,3.0,195.0,10.8,11.1,3.8,20.2,12.0,3.0,15.4,0.2,0.0,10.3,0.1,9.4,11221
Yattalunga (NSW),93.0,42.0,28.0,72.0,51.0,20.0,47.0,0.0,0.0,29.0,0.0,32.0,21.7,9.8,6.5,16.8,11.9,4.7,11.0,0.0,0.0,6.8,0.0,7.5,14496
North Avoca,533.0,216.0,61.0,221.0,264.0,61.0,160.0,0.0,0.0,62.0,0.0,144.0,30.0,12.1,3.4,12.4,14.8,3.4,9.0,0.0,0.0,3.5,0.0,8.1,12980
Umina Beach,1638.0,1239.0,479.0,2336.0,1735.0,529.0,2212.0,18.0,0.0,1451.0,30.0,1585.0,11.9,9.0,3.5,17.0,12.6,3.9,16.1,0.1,0.0,10.6,0.2,11.5,14007
Booker Bay,150.0,99.0,28.0,186.0,141.0,37.0,207.0,0.0,0.0,116.0,3.0,157.0,12.7,8.4,2.4,15.8,11.9,3.1,17.5,0.0,0.0,9.8,0.3,13.3,10477
Ettalong Beach,465.0,325.0,135.0,637.0,517.0,115.0,736.0,3.0,0.0,511.0,5.0,558.0,11.2,7.8,3.2,15.3,12.4,2.8,17.7,0.1,0.0,12.3,0.1,13.4,11445
Pearl Beach,160.0,53.0,11.0,44.0,53.0,3.0,37.0,0.0,0.0,19.0,0.0,65.0,33.5,11.1,2.3,9.2,11.1,0.6,7.8,0.0,0.0,4.0,0.0,13.6,13171
Wamberal,1250.0,609.0,181.0,781.0,698.0,187.0,543.0,0.0,0.0,277.0,3.0,358.0,24.6,12.0,3.6,15.4,13.8,3.7,10.7,0.0,0.0,5.5,0.1,7.1,14122
Forresters Beach,498.0,267.0,74.0,398.0,311.0,78.0,260.0,0.0,0.0,147.0,0.0,203.0,21.4,11.5,3.2,17.1,13.4,3.4,11.2,0.0,0.0,6.3,0.0,8.7,11549
Tumbi Umbi,542.0,391.0,164.0,766.0,564.0,148.0,649.0,0.0,0.0,375.0,4.0,397.0,13.1,9.5,4.0,18.5,13.6,3.6,15.7,0.0,0.0,9.1,0.1,9.6,13962
Horsfield Bay,101.0,49.0,17.0,63.0,77.0,8.0,59.0,0.0,0.0,16.0,0.0,58.0,22.3,10.8,3.8,13.9,17.0,1.8,13.1,0.0,0.0,3.5,0.0,12.8,11941
Phegans Bay,98.0,42.0,16.0,43.0,42.0,18.0,44.0,0.0,0.0,10.0,0.0,29.0,27.6,11.8,4.5,12.1,11.8,5.1,12.4,0.0,0.0,2.8,0.0,8.2,13192
Woy Woy Bay,79.0,49.0,12.0,64.0,51.0,13.0,40.0,0.0,0.0,21.0,0.0,29.0,21.7,13.5,3.3,17.6,14.0,3.6,11.0,0.0,0.0,5.8,0.0,8.0,14426
Blackwall (NSW),200.0,149.0,55.0,252.0,207.0,55.0,271.0,0.0,0.0,157.0,3.0,191.0,12.6,9.4,3.5,15.9,13.1,3.5,17.1,0.0,0.0,9.9,0.2,12.0,10399
Wyoming,1127.0,797.0,319.0,1219.0,1148.0,365.0,1177.0,11.0,0.0,783.0,15.0,1057.0,13.6,9.6,3.8,14.7,13.8,4.4,14.2,0.1,0.0,9.4,0.2,12.7,14445
Bateau Bay,1333.0,864.0,338.0,1682.0,1232.0,388.0,1584.0,10.0,0.0,1019.0,15.0,1150.0,13.4,8.7,3.4,16.9,12.4,3.9,15.9,0.1,0.0,10.2,0.2,11.5,10227
Killarney Vale,498.0,483.0,263.0,1087.0,681.0,243.0,1033.0,6.0,0.0,591.0,24.0,695.0,8.6,8.4,4.6,18.9,11.8,4.2,17.9,0.1,0.0,10.3,0.4,12.1,12131
Blue Haven,270.0,361.0,207.0,948.0,633.0,230.0,985.0,11.0,0.0,589.0,11.0,425.0,5.6,7.5,4.3,19.7,13.1,4.8,20.5,0.2,0.0,12.2,0.2,8.8,10415
San Remo (NSW),175.0,193.0,150.0,649.0,402.0,194.0,713.0,5.0,0.0,478.0,11.0,322.0,5.2,5.7,4.4,19.2,11.9,5.7,21.0,0.1,0.0,14.1,0.3,9.5,13470
Doyalson,11.0,14.0,13.0,41.0,50.0,11.0,65.0,0.0,0.0,41.0,0.0,11.0,4.4,5.6,5.2,16.4,20.0,4.4,26.0,0.0,0.0,16.4,0.0,4.4,11286
Buff Point,214.0,214.0,118.0,582.0,310.0,104.0,534.0,4.0,0.0,346.0,9.0,338.0,7.5,7.5,4.1,20.4,10.9,3.6,18.7,0.1,0.0,12.1,0.3,11.8,10645
Budgewoi,239.0,216.0,93.0,558.0,315.0,113.0,503.0,4.0,0.0,322.0,11.0,325.0,8.6,7.8,3.3,20.0,11.3,4.1,18.1,0.1,0.0,11.6,0.4,11.7,10642
Halekulani,137.0,168.0,69.0,433.0,222.0,86.0,429.0,0.0,0.0,287.0,3.0,239.0,6.4,7.8,3.2,20.2,10.4,4.0,20.0,0.0,0.0,13.4,0.1,11.2,11830
Glenning Valley,282.0,170.0,69.0,278.0,240.0,55.0,219.0,3.0,0.0,115.0,0.0,113.0,17.6,10.6,4.3,17.4,15.0,3.4,13.7,0.2,0.0,7.2,0.0,7.1,11672
Berkeley Vale,703.0,617.0,337.0,1309.0,868.0,278.0,1052.0,6.0,0.0,648.0,17.0,581.0,10.6,9.3,5.1,19.7,13.1,4.2,15.8,0.1,0.0,9.8,0.3,8.7,10304
Chittaway Point,86.0,62.0,27.0,176.0,106.0,34.0,121.0,0.0,0.0,64.0,0.0,42.0,11.4,8.2,3.6,23.4,14.1,4.5,16.1,0.0,0.0,8.5,0.0,5.6,10912
Chittaway Bay,180.0,143.0,61.0,300.0,230.0,69.0,291.0,3.0,0.0,154.0,3.0,144.0,11.1,8.8,3.7,18.4,14.1,4.2,17.9,0.2,0.0,9.5,0.2,8.8,10911
Kanwal,243.0,243.0,119.0,532.0,358.0,122.0,544.0,4.0,0.0,410.0,8.0,714.0,7.2,7.2,3.5,15.8,10.7,3.6,16.2,0.1,0.0,12.2,0.2,21.2,12067
Wyongah,134.0,133.0,87.0,305.0,201.0,76.0,292.0,0.0,0.0,149.0,0.0,149.0,8.4,8.4,5.5,19.2,12.6,4.8,18.4,0.0,0.0,9.4,0.0,9.4,14448
Tuggerawong,100.0,85.0,43.0,217.0,128.0,42.0,177.0,0.0,0.0,107.0,3.0,102.0,9.6,8.2,4.1,20.9,12.3,4.0,17.1,0.0,0.0,10.3,0.3,9.8,13951
Rocky Point (NSW),19.0,26.0,6.0,46.0,31.0,9.0,36.0,0.0,0.0,23.0,0.0,15.0,9.5,13.0,3.0,23.0,15.5,4.5,18.0,0.0,0.0,11.5,0.0,7.5,13388
Gorokan,471.0,448.0,255.0,1209.0,808.0,289.0,1265.0,9.0,0.0,933.0,21.0,936.0,6.9,6.5,3.7,17.7,11.8,4.2,18.5,0.1,0.0,13.6,0.3,13.7,11721
Charmhaven,128.0,146.0,77.0,382.0,234.0,101.0,430.0,4.0,0.0,224.0,10.0,235.0,6.3,7.2,3.8,18.8,11.5,5.0,21.2,0.2,0.0,11.0,0.5,11.6,10889
Lake Haven,182.0,171.0,95.0,450.0,374.0,134.0,589.0,4.0,3.0,451.0,8.0,540.0,5.9,5.6,3.1,14.6,12.2,4.4,19.1,0.1,0.1,14.7,0.3,17.5,12247
Jilliby,220.0,139.0,39.0,235.0,174.0,47.0,172.0,0.0,0.0,97.0,4.0,133.0,16.7,10.6,3.0,17.9,13.2,3.6,13.1,0.0,0.0,7.4,0.3,10.1,12027
Yarramalong,54.0,39.0,5.0,53.0,33.0,6.0,28.0,0.0,0.0,17.0,0.0,25.0,19.7,14.2,1.8,19.3,12.0,2.2,10.2,0.0,0.0,6.2,0.0,9.1,14475
Cedar Brush Creek,20.0,8.0,5.0,12.0,10.0,0.0,10.0,0.0,0.0,7.0,0.0,15.0,24.4,9.8,6.1,14.6,12.2,0.0,12.2,0.0,0.0,8.5,0.0,18.3,10867
Wyong Creek,73.0,33.0,15.0,62.0,46.0,6.0,54.0,0.0,0.0,27.0,0.0,48.0,20.2,9.1,4.2,17.2,12.7,1.7,15.0,0.0,0.0,7.5,0.0,13.3,14447
Dooralong,44.0,34.0,5.0,48.0,47.0,12.0,47.0,0.0,0.0,29.0,0.0,30.0,14.5,11.2,1.6,15.8,15.5,3.9,15.5,0.0,0.0,9.5,0.0,9.9,11276
Lake Munmorah,339.0,344.0,149.0,885.0,497.0,155.0,826.0,6.0,0.0,539.0,3.0,505.0,7.7,7.9,3.4,20.2,11.3,3.5,18.9,0.1,0.0,12.3,0.1,11.5,12253
Chain Valley Bay,125.0,139.0,56.0,432.0,194.0,69.0,441.0,3.0,0.0,297.0,3.0,285.0,5.9,6.6,2.6,20.4,9.2,3.3,20.8,0.1,0.0,14.0,0.1,13.5,10880
Kingfisher Shores,24.0,11.0,7.0,32.0,11.0,3.0,23.0,0.0,0.0,9.0,0.0,12.0,18.5,8.5,5.4,24.6,8.5,2.3,17.7,0.0,0.0,6.9,0.0,9.2,12146
Mannering Park,144.0,138.0,64.0,395.0,211.0,99.0,453.0,3.0,0.0,245.0,3.0,202.0,7.1,6.8,3.2,19.6,10.5,4.9,22.5,0.1,0.0,12.2,0.1,10.0,12477
Doyalson North,12.0,23.0,4.0,74.0,23.0,11.0,82.0,0.0,0.0,81.0,0.0,58.0,3.3,6.3,1.1,20.2,6.3,3.0,22.4,0.0,0.0,22.1,0.0,15.8,11287
Ourimbah,575.0,350.0,138.0,518.0,474.0,124.0,423.0,0.0,0.0,215.0,9.0,195.0,18.5,11.3,4.4,16.7,15.3,4.0,13.6,0.0,0.0,6.9,0.3,6.3,13103
Fountaindale,126.0,60.0,22.0,96.0,85.0,19.0,68.0,0.0,0.0,37.0,0.0,42.0,21.6,10.3,3.8,16.5,14.6,3.3,11.7,0.0,0.0,6.4,0.0,7.2,11554
Palm Grove (NSW),18.0,10.0,0.0,11.0,9.0,8.0,9.0,0.0,0.0,6.0,0.0,20.0,18.4,10.2,0.0,11.2,9.2,8.2,9.2,0.0,0.0,6.1,0.0,20.4,13133
Gwandalan,212.0,197.0,105.0,626.0,301.0,115.0,505.0,3.0,3.0,291.0,5.0,228.0,7.9,7.4,3.9,23.4,11.3,4.3,18.9,0.1,0.1,10.9,0.2,8.5,11824
Summerland Point,160.0,150.0,76.0,446.0,236.0,75.0,440.0,0.0,0.0,231.0,5.0,156.0,7.8,7.4,3.7,21.9,11.6,3.7,21.6,0.0,0.0,11.3,0.2,7.6,13690
Long Jetty,545.0,401.0,192.0,876.0,626.0,175.0,926.0,8.0,0.0,633.0,11.0,715.0,10.3,7.6,3.6,16.6,11.9,3.3,17.6,0.2,0.0,12.0,0.2,13.6,12378
Shelly Beach (NSW),162.0,116.0,47.0,191.0,128.0,30.0,175.0,0.0,0.0,90.0,0.0,97.0,14.9,10.7,4.3,17.6,11.8,2.8,16.1,0.0,0.0,8.3,0.0,8.9,13535
Blue Bay,131.0,84.0,32.0,133.0,99.0,30.0,164.0,0.0,0.0,67.0,0.0,116.0,14.8,9.5,3.6,15.0,11.2,3.4,18.6,0.0,0.0,7.6,0.0,13.1,10414
Toowoon Bay,63.0,48.0,16.0,64.0,37.0,12.0,77.0,0.0,0.0,46.0,0.0,78.0,13.8,10.5,3.5,14.0,8.1,2.6,16.9,0.0,0.0,10.1,0.0,17.1,13916
The Entrance North,145.0,125.0,37.0,257.0,132.0,38.0,222.0,3.0,0.0,128.0,0.0,137.0,11.6,10.0,3.0,20.6,10.6,3.0,17.8,0.2,0.0,10.3,0.0,11.0,13819
Magenta (NSW),49.0,30.0,8.0,14.0,32.0,11.0,22.0,0.0,0.0,3.0,0.0,6.0,27.1,16.6,4.4,7.7,17.7,6.1,12.2,0.0,0.0,1.7,0.0,3.3,12441
The Entrance,329.0,232.0,132.0,449.0,405.0,120.0,645.0,8.0,0.0,413.0,15.0,567.0,9.6,6.7,3.8,13.1,11.8,3.5,18.8,0.2,0.0,12.0,0.4,16.5,13818
Toukley,264.0,261.0,119.0,661.0,361.0,131.0,694.0,3.0,0.0,460.0,16.0,796.0,6.8,6.7,3.1,17.1,9.3,3.4,17.9,0.1,0.0,11.9,0.4,20.5,13925
Canton Beach,38.0,65.0,30.0,147.0,80.0,45.0,222.0,3.0,0.0,179.0,3.0,181.0,3.7,6.3,2.9,14.3,7.8,4.4,21.6,0.3,0.0,17.4,0.3,17.6,10798
Noraville,234.0,207.0,87.0,476.0,291.0,92.0,441.0,3.0,0.0,209.0,5.0,251.0,9.8,8.7,3.6,20.0,12.2,3.9,18.5,0.1,0.0,8.8,0.2,10.5,12974
Norah Head,179.0,93.0,26.0,199.0,84.0,22.0,141.0,0.0,0.0,103.0,0.0,74.0,18.8,9.8,2.7,20.9,8.8,2.3,14.8,0.0,0.0,10.8,0.0,7.8,12973
Kangy Angy,26.0,21.0,4.0,44.0,33.0,9.0,50.0,0.0,0.0,37.0,0.0,29.0,10.4,8.4,1.6,17.7,13.3,3.6,20.1,0.0,0.0,14.9,0.0,11.6,12064
Tuggerah,97.0,75.0,30.0,127.0,136.0,32.0,109.0,0.0,0.0,54.0,0.0,47.0,13.1,10.1,4.1,17.2,18.4,4.3,14.7,0.0,0.0,7.3,0.0,6.4,13950
Wyong,337.0,278.0,115.0,545.0,428.0,156.0,602.0,5.0,0.0,516.0,22.0,517.0,9.3,7.7,3.2,15.0,11.8,4.3,16.6,0.1,0.0,14.2,0.6,14.3,14446
Mardi,458.0,255.0,120.0,437.0,420.0,127.0,409.0,3.0,0.0,236.0,0.0,312.0,16.0,8.9,4.2,15.3,14.7,4.4,14.3,0.1,0.0,8.2,0.0,10.9,12488
Tacoma South,25.0,21.0,3.0,46.0,41.0,11.0,29.0,0.0,0.0,23.0,0.0,15.0,11.7,9.9,1.4,21.6,19.2,5.2,13.6,0.0,0.0,10.8,0.0,7.0,13725
Hamlyn Terrace,502.0,444.0,208.0,752.0,611.0,197.0,788.0,3.0,0.0,473.0,93.0,385.0,10.9,9.6,4.5,16.3,13.2,4.3,17.1,0.1,0.0,10.2,2.0,8.3,11843
Woongarrah,452.0,412.0,166.0,698.0,549.0,169.0,608.0,3.0,0.0,356.0,10.0,303.0,11.8,10.7,4.3,18.2,14.3,4.4,15.8,0.1,0.0,9.3,0.3,7.9,14415
Warnervale,42.0,43.0,20.0,124.0,69.0,15.0,83.0,0.0,0.0,64.0,3.0,30.0,8.5,8.7,4.0,25.0,13.9,3.0,16.7,0.0,0.0,12.9,0.6,6.0,14154
Wallarah,17.0,27.0,3.0,50.0,35.0,15.0,49.0,0.0,0.0,34.0,0.0,47.0,5.8,9.3,1.0,17.2,12.0,5.2,16.8,0.0,0.0,11.7,0.0,16.2,14109
Wadalba,249.0,194.0,91.0,373.0,300.0,95.0,323.0,3.0,3.0,219.0,16.0,142.0,12.1,9.4,4.4,18.1,14.5,4.6,15.7,0.1,0.1,10.6,0.8,6.9,14080
Watanobbi,257.0,230.0,136.0,506.0,446.0,162.0,528.0,10.0,0.0,326.0,12.0,308.0,8.5,7.6,4.5,16.8,14.8,5.4,17.5,0.3,0.0,10.8,0.4,10.2,14181
Tacoma,27.0,34.0,19.0,110.0,60.0,14.0,106.0,0.0,0.0,63.0,0.0,48.0,5.5,6.9,3.8,22.3,12.1,2.8,21.5,0.0,0.0,12.8,0.0,9.7,13724
Llanarth (NSW),425.0,207.0,63.0,243.0,238.0,66.0,185.0,0.0,0.0,118.0,3.0,90.0,25.1,12.2,3.7,14.4,14.1,3.9,10.9,0.0,0.0,7.0,0.2,5.3,12362
South Bathurst,196.0,90.0,40.0,208.0,139.0,49.0,205.0,3.0,0.0,174.0,4.0,147.0,15.2,7.0,3.1,16.1,10.8,3.8,15.9,0.2,0.0,13.5,0.3,11.4,13577
Bathurst,1247.0,464.0,190.0,762.0,1026.0,208.0,703.0,3.0,0.0,511.0,19.0,729.0,20.6,7.7,3.1,12.6,17.0,3.4,11.6,0.0,0.0,8.5,0.3,12.1,10231
Robin Hill,205.0,72.0,28.0,134.0,74.0,24.0,73.0,0.0,0.0,50.0,0.0,42.0,28.2,9.9,3.9,18.5,10.2,3.3,10.1,0.0,0.0,6.9,0.0,5.8,13375
West Bathurst,407.0,219.0,119.0,480.0,339.0,125.0,493.0,7.0,0.0,269.0,9.0,303.0,14.2,7.6,4.1,16.7,11.8,4.3,17.1,0.2,0.0,9.4,0.3,10.5,14241
Mitchell (NSW),41.0,26.0,15.0,53.0,310.0,4.0,32.0,0.0,0.0,29.0,0.0,781.0,3.2,2.0,1.2,4.1,24.2,0.3,2.5,0.0,0.0,2.3,0.0,61.0,12650
Gormans Hill,71.0,35.0,19.0,94.0,55.0,25.0,97.0,0.0,0.0,86.0,3.0,152.0,10.7,5.3,2.9,14.2,8.3,3.8,14.7,0.0,0.0,13.0,0.5,23.0,11720
Abercrombie,181.0,77.0,48.0,152.0,108.0,39.0,101.0,0.0,0.0,50.0,0.0,40.0,21.9,9.3,5.8,18.4,13.1,4.7,12.2,0.0,0.0,6.0,0.0,4.8,10004
Eglinton (NSW),241.0,139.0,86.0,347.0,212.0,61.0,256.0,5.0,0.0,155.0,3.0,153.0,13.9,8.0,5.0,20.0,12.2,3.5,14.8,0.3,0.0,8.9,0.2,8.8,11386
Windradyne,356.0,178.0,90.0,363.0,307.0,95.0,404.0,6.0,0.0,199.0,4.0,214.0,15.5,7.7,3.9,15.8,13.4,4.1,17.6,0.3,0.0,8.7,0.2,9.3,14324
