,Median weekly rent,Median monthly mortgage repayments,Median weekly rent (%),Median monthly mortgage repayments (%)
Redfern,165.0,3364.0,--,--
Redhead,380.0,1099.0,--,--
Regents Park (NSW),408.0,0.0,--,--
Regentville,315.0,1850.0,--,--
Revesby,400.0,2059.0,--,--
Riverstone,378.0,1950.0,--,--
Riverwood,255.0,0.0,--,--
Rockdale,520.0,2167.0,--,--
Rocky Point (NSW),0.0,1625.0,--,--
Rooty Hill,383.0,1901.0,--,--
Rosebery (NSW),435.0,2600.0,--,--
Roselands,400.0,1530.0,--,--
Rosemeadow,350.0,1950.0,--,--
Rouse Hill,580.0,1950.0,--,--
Rozelle,460.0,3033.0,--,--
Ruse,370.0,2000.0,--,--
Rushcutters Bay,458.0,0.0,--,--
Russell Lea,453.0,0.0,--,--
Russell Vale,275.0,1621.0,--,--
Ryde,435.0,2405.0,--,--
San Remo (NSW),350.0,1517.0,--,--
Sans Souci,470.0,3000.0,--,--
Saratoga,390.0,2167.0,--,--
Sefton,117.0,0.0,--,--
Seven Hills (NSW),230.0,2167.0,--,--
Shalvey,283.0,1733.0,--,--
Shell Cove,525.0,2719.0,--,--
Shellharbour,343.0,1733.0,--,--
Shelly Beach (NSW),350.0,2167.0,--,--
Shortland,338.0,1600.0,--,--
Silverwater (Parramatta - NSW),470.0,0.0,--,--
Smithfield (NSW),380.0,1733.0,--,--
South Coogee,150.0,5200.0,--,--
South Granville,182.0,0.0,--,--
South Hurstville,423.0,0.0,--,--
Speers Point,390.0,1690.0,--,--
Springwood (NSW),360.0,1900.0,--,--
St Andrews (NSW),378.0,2037.0,--,--
St Huberts Island,0.0,1650.0,--,--
St Johns Park,400.0,1950.0,--,--
St Leonards (NSW),540.0,0.0,--,--
St Marys (NSW),340.0,1430.0,--,--
St Peters (NSW),569.0,3068.0,--,--
Stanhope Gardens,610.0,2175.0,--,--
Stanmore (NSW),525.0,2000.0,--,--
Stockton (NSW),300.0,2070.0,--,--
Strathfield South,613.0,0.0,--,--
Summer Hill (Inner West - NSW),460.0,2600.0,--,--
Surry Hills,400.0,1800.0,--,--
Sutherland (NSW),427.0,1625.0,--,--
Swansea (NSW),308.0,1600.0,--,--
Swansea Heads,0.0,2734.0,--,--
Sydney,715.0,0.0,--,--
Sylvania,500.0,2192.0,--,--
Sylvania Waters,578.0,0.0,--,--
Tacoma,295.0,1950.0,--,--
Tarrawanna,200.0,1573.0,--,--
Tempe,300.0,2792.0,--,--
Teralba,260.0,1517.0,--,--
Terrey Hills,908.0,0.0,--,--
Terrigal,450.0,2253.0,--,--
The Entrance,325.0,1733.0,--,--
The Entrance North,340.0,2059.0,--,--
The Hill,305.0,4171.0,--,--
The Junction,350.0,2059.0,--,--
Thirroul,375.0,1860.0,--,--
Thornleigh,465.0,3343.0,--,--
Tighes Hill,240.0,1517.0,--,--
Tingira Heights,345.0,1679.0,--,--
Toongabbie (NSW),350.0,2546.0,--,--
Toronto,280.0,1600.0,--,--
