,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Waratah (NSW),376.0,494.0,830.0,13.0,69.0,21.1,27.7,46.6,0.7,3.9,14141
Wickham (NSW),97.0,110.0,261.0,0.0,12.0,20.2,22.9,54.4,0.0,2.5,14285
Maryville,192.0,209.0,204.0,5.0,9.0,31.0,33.8,33.0,0.8,1.5,12518
Tighes Hill,179.0,225.0,224.0,3.0,18.0,27.6,34.7,34.5,0.5,2.8,13863
Islington,175.0,233.0,392.0,3.0,26.0,21.1,28.1,47.3,0.4,3.1,11990
Ballina,1334.0,634.0,1544.0,146.0,181.0,34.7,16.5,40.2,3.8,4.7,10162
West Ballina,584.0,239.0,369.0,8.0,63.0,46.2,18.9,29.2,0.6,5.0,14240
East Ballina,964.0,536.0,719.0,9.0,47.0,42.4,23.6,31.6,0.4,2.1,11345
Skennars Head,207.0,125.0,78.0,3.0,9.0,49.1,29.6,18.5,0.7,2.1,13554
Alstonville,1088.0,587.0,520.0,42.0,65.0,47.3,25.5,22.6,1.8,2.8,10046
Wollongbar,380.0,406.0,235.0,3.0,15.0,36.6,39.1,22.6,0.3,1.4,14357
Wardell,99.0,82.0,84.0,3.0,15.0,35.0,29.0,29.7,1.1,5.3,14144
East Wardell,29.0,40.0,26.0,3.0,3.0,28.7,39.6,25.7,3.0,3.0,11365
Empire Vale,36.0,21.0,0.0,0.0,0.0,63.2,36.8,0.0,0.0,0.0,11416
Meerschaum Vale,56.0,54.0,20.0,3.0,0.0,42.1,40.6,15.0,2.3,0.0,12556
Dalwood (Ballina - NSW),42.0,15.0,23.0,0.0,0.0,52.5,18.8,28.8,0.0,0.0,11195
Marom Creek,18.0,15.0,7.0,3.0,0.0,41.9,34.9,16.3,7.0,0.0,12499
Rous,44.0,10.0,17.0,0.0,5.0,57.9,13.2,22.4,0.0,6.6,13427
Pimlico (NSW),46.0,37.0,22.0,0.0,0.0,43.8,35.2,21.0,0.0,0.0,13207
Coolgardie (NSW),22.0,10.0,5.0,0.0,0.0,59.5,27.0,13.5,0.0,0.0,11031
Keith Hall,14.0,21.0,9.0,0.0,3.0,29.8,44.7,19.1,0.0,6.4,12086
Uralba,42.0,33.0,9.0,0.0,3.0,48.3,37.9,10.3,0.0,3.4,14050
Tuckombil,42.0,35.0,15.0,0.0,0.0,45.7,38.0,16.3,0.0,0.0,13947
Fernleigh,51.0,31.0,12.0,0.0,0.0,54.3,33.0,12.8,0.0,0.0,11508
Tintenbar,120.0,90.0,34.0,0.0,3.0,48.6,36.4,13.8,0.0,1.2,13878
Cumbalum,140.0,249.0,77.0,0.0,5.0,29.7,52.9,16.3,0.0,1.1,11154
Brooklet,34.0,29.0,20.0,0.0,0.0,41.0,34.9,24.1,0.0,0.0,10598
Knockrow,29.0,13.0,21.0,0.0,0.0,46.0,20.6,33.3,0.0,0.0,12178
Newrybar,79.0,47.0,38.0,3.0,3.0,46.5,27.6,22.4,1.8,1.8,12957
Alstonvale,88.0,36.0,23.0,0.0,3.0,58.7,24.0,15.3,0.0,2.0,10045
Teven,51.0,23.0,15.0,4.0,0.0,54.8,24.7,16.1,4.3,0.0,13807
Pearces Creek,25.0,23.0,16.0,0.0,3.0,37.3,34.3,23.9,0.0,4.5,13170
Lynwood (NSW),44.0,22.0,11.0,0.0,3.0,55.0,27.5,13.8,0.0,3.8,12427
Rous Mill,32.0,21.0,14.0,0.0,0.0,47.8,31.3,20.9,0.0,0.0,13428
Ewingsdale,102.0,88.0,67.0,3.0,4.0,38.6,33.3,25.4,1.1,1.5,11474
Eureka (NSW),37.0,36.0,38.0,5.0,3.0,31.1,30.3,31.9,4.2,2.5,11461
Coorabell,66.0,33.0,49.0,3.0,4.0,42.6,21.3,31.6,1.9,2.6,11051
Possum Creek,34.0,27.0,29.0,0.0,3.0,36.6,29.0,31.2,0.0,3.2,13252
Bangalow,228.0,270.0,186.0,4.0,18.0,32.3,38.2,26.3,0.6,2.5,10174
Coopers Shoot,50.0,24.0,22.0,0.0,0.0,52.1,25.0,22.9,0.0,0.0,11049
Skinners Shoot,10.0,3.0,21.0,0.0,4.0,26.3,7.9,55.3,0.0,10.5,13556
Talofa,9.0,5.0,17.0,0.0,0.0,29.0,16.1,54.8,0.0,0.0,13739
Nashua,39.0,26.0,22.0,0.0,3.0,43.3,28.9,24.4,0.0,3.3,12914
Federal (NSW),80.0,96.0,55.0,4.0,8.0,32.9,39.5,22.6,1.6,3.3,11499
Binna Burra (NSW),29.0,19.0,18.0,3.0,0.0,42.0,27.5,26.1,4.3,0.0,10371
Brunswick Heads,293.0,117.0,309.0,5.0,33.0,38.7,15.5,40.8,0.7,4.4,10621
Ocean Shores,732.0,682.0,533.0,6.0,56.0,36.4,33.9,26.5,0.3,2.8,13070
Tyagarah,24.0,15.0,18.0,0.0,3.0,40.0,25.0,30.0,0.0,5.0,13993
New Brighton,52.0,35.0,32.0,0.0,0.0,43.7,29.4,26.9,0.0,0.0,12939
South Golden Beach,74.0,106.0,103.0,0.0,8.0,25.4,36.4,35.4,0.0,2.7,13581
Wooyung,23.0,10.0,13.0,0.0,4.0,46.0,20.0,26.0,0.0,8.0,14418
Byron Bay,649.0,408.0,670.0,12.0,95.0,35.4,22.2,36.5,0.7,5.2,10733
Suffolk Park,407.0,414.0,435.0,9.0,32.0,31.4,31.9,33.5,0.7,2.5,13684
Broken Head,44.0,23.0,21.0,0.0,0.0,50.0,26.1,23.9,0.0,0.0,10591
Woodburn (Richmond Valley - NSW),96.0,83.0,79.0,0.0,7.0,36.2,31.3,29.8,0.0,2.6,14379
Broadwater (Richmond Valley - NSW),100.0,76.0,63.0,3.0,10.0,39.7,30.2,25.0,1.2,4.0,10580
Rileys Hill,19.0,31.0,12.0,0.0,0.0,30.6,50.0,19.4,0.0,0.0,13364
Evans Head,474.0,214.0,480.0,6.0,40.0,39.0,17.6,39.5,0.5,3.3,11469
Bungawalbin,16.0,11.0,12.0,0.0,3.0,38.1,26.2,28.6,0.0,7.1,10683
New Italy,25.0,28.0,10.0,0.0,0.0,39.7,44.4,15.9,0.0,0.0,12941
Swan Bay (Richmond Valley - NSW),26.0,30.0,9.0,0.0,0.0,40.0,46.2,13.8,0.0,0.0,13705
Doonbah,74.0,18.0,3.0,0.0,3.0,75.5,18.4,3.1,0.0,3.1,11274
Lennox Head,905.0,799.0,537.0,7.0,52.0,39.3,34.7,23.3,0.3,2.3,12303
Myocum,139.0,100.0,101.0,3.0,10.0,39.4,28.3,28.6,0.8,2.8,12877
Billinudgel,20.0,26.0,27.0,3.0,0.0,26.3,34.2,35.5,3.9,0.0,10355
Yelgun,9.0,11.0,14.0,0.0,5.0,23.1,28.2,35.9,0.0,12.8,14499
The Pocket,40.0,26.0,34.0,0.0,0.0,40.0,26.0,34.0,0.0,0.0,13834
Middle Pocket,19.0,14.0,15.0,0.0,0.0,39.6,29.2,31.2,0.0,0.0,12606
Main Arm,87.0,41.0,51.0,8.0,8.0,44.6,21.0,26.2,4.1,4.1,12445
Upper Main Arm,41.0,18.0,24.0,5.0,3.0,45.1,19.8,26.4,5.5,3.3,14035
Mullumbimby,513.0,368.0,403.0,9.0,47.0,38.3,27.5,30.1,0.7,3.5,12828
Mullumbimby Creek,77.0,51.0,38.0,0.0,8.0,44.3,29.3,21.8,0.0,4.6,12829
Wilsons Creek,54.0,40.0,34.0,3.0,9.0,38.6,28.6,24.3,2.1,6.4,14310
Goonengerry,66.0,38.0,32.0,3.0,7.0,45.2,26.0,21.9,2.1,4.8,11712
Huonbrook,25.0,8.0,10.0,3.0,3.0,51.0,16.3,20.4,6.1,6.1,11962
Whian Whian,20.0,20.0,10.0,0.0,0.0,40.0,40.0,20.0,0.0,0.0,14272
Yorklea,55.0,57.0,20.0,3.0,3.0,39.9,41.3,14.5,2.2,2.2,14517
Casino,1527.0,1022.0,1469.0,41.0,157.0,36.2,24.2,34.8,1.0,3.7,10843
North Casino,97.0,178.0,22.0,0.0,4.0,32.2,59.1,7.3,0.0,1.3,12987
Fairy Hill,72.0,54.0,9.0,0.0,3.0,52.2,39.1,6.5,0.0,2.2,11483
Bonalbo,61.0,33.0,40.0,0.0,11.0,42.1,22.8,27.6,0.0,7.6,10463
Coraki,179.0,129.0,108.0,7.0,13.0,41.1,29.6,24.8,1.6,3.0,11063
Mallanganee,25.0,21.0,18.0,0.0,6.0,35.7,30.0,25.7,0.0,8.6,12457
Dobies Bight,17.0,19.0,7.0,0.0,0.0,39.5,44.2,16.3,0.0,0.0,11262
Backmede,24.0,16.0,5.0,0.0,0.0,53.3,35.6,11.1,0.0,0.0,10130
Stratheden,28.0,30.0,10.0,0.0,3.0,39.4,42.3,14.1,0.0,4.2,13674
Woodview,20.0,22.0,9.0,0.0,0.0,39.2,43.1,17.6,0.0,0.0,14397
Bentley (NSW),33.0,15.0,13.0,0.0,0.0,54.1,24.6,21.3,0.0,0.0,10298
Spring Grove,70.0,58.0,14.0,0.0,3.0,48.3,40.0,9.7,0.0,2.1,13614
Greenridge,5.0,18.0,8.0,0.0,0.0,16.1,58.1,25.8,0.0,0.0,11768
McKees Hill,38.0,43.0,23.0,0.0,3.0,35.5,40.2,21.5,0.0,2.8,12543
Tatham,27.0,27.0,17.0,0.0,3.0,36.5,36.5,23.0,0.0,4.1,13773
West Coraki,19.0,14.0,3.0,0.0,0.0,52.8,38.9,8.3,0.0,0.0,14243
Ellangowan (NSW),49.0,42.0,20.0,0.0,5.0,42.2,36.2,17.2,0.0,4.3,11400
Leeville,26.0,35.0,13.0,0.0,0.0,35.1,47.3,17.6,0.0,0.0,12295
Shannon Brook,30.0,20.0,12.0,0.0,3.0,46.2,30.8,18.5,0.0,4.6,13525
Rappville,29.0,11.0,13.0,0.0,0.0,54.7,20.8,24.5,0.0,0.0,13318
Goonellabah,1715.0,1522.0,1478.0,34.0,127.0,35.2,31.2,30.3,0.7,2.6,11711
Chilcotts Grass,31.0,29.0,9.0,0.0,4.0,42.5,39.7,12.3,0.0,5.5,10903
Eden Creek,40.0,14.0,9.0,0.0,4.0,59.7,20.9,13.4,0.0,6.0,11376
West Wiangaree,23.0,17.0,4.0,0.0,0.0,52.3,38.6,9.1,0.0,0.0,14254
Wiangaree,19.0,16.0,15.0,0.0,0.0,38.0,32.0,30.0,0.0,0.0,14283
Doubtful Creek,29.0,27.0,0.0,0.0,0.0,51.8,48.2,0.0,0.0,0.0,11282
Ettrick (NSW),19.0,20.0,10.0,0.0,4.0,35.8,37.7,18.9,0.0,7.5,11448
Kyogle,333.0,232.0,268.0,0.0,39.0,38.2,26.6,30.7,0.0,4.5,12229
Cedar Point,31.0,22.0,8.0,0.0,5.0,47.0,33.3,12.1,0.0,7.6,10871
Geneva,134.0,75.0,66.0,0.0,3.0,48.2,27.0,23.7,0.0,1.1,11599
Upper Horseshoe Creek,11.0,12.0,7.0,0.0,0.0,36.7,40.0,23.3,0.0,0.0,14028
Barkers Vale,34.0,13.0,17.0,5.0,0.0,49.3,18.8,24.6,7.2,0.0,10201
Wadeville,53.0,9.0,6.0,4.0,0.0,73.6,12.5,8.3,5.6,0.0,14082
Lillian Rock,44.0,23.0,10.0,3.0,3.0,53.0,27.7,12.0,3.6,3.6,12323
Fawcetts Plain,18.0,21.0,6.0,0.0,0.0,40.0,46.7,13.3,0.0,0.0,11498
New Park,30.0,14.0,7.0,0.0,3.0,55.6,25.9,13.0,0.0,5.6,12945
Homeleigh,21.0,8.0,6.0,0.0,0.0,60.0,22.9,17.1,0.0,0.0,11931
Cawongla,41.0,20.0,12.0,0.0,0.0,56.2,27.4,16.4,0.0,0.0,10864
Green Pigeon,27.0,23.0,12.0,0.0,3.0,41.5,35.4,18.5,0.0,4.6,11752
Collins Creek,25.0,20.0,5.0,0.0,3.0,47.2,37.7,9.4,0.0,5.7,10978
East Lismore,563.0,488.0,734.0,11.0,61.0,30.3,26.3,39.5,0.6,3.3,11358
Lismore (NSW),316.0,357.0,627.0,11.0,70.0,22.9,25.9,45.4,0.8,5.1,12344
Lismore Heights,290.0,286.0,301.0,3.0,20.0,32.2,31.8,33.4,0.3,2.2,12345
South Lismore,191.0,239.0,221.0,0.0,25.0,28.3,35.4,32.7,0.0,3.7,13589
Girards Hill,187.0,152.0,206.0,0.0,26.0,32.7,26.6,36.1,0.0,4.6,11631
Monaltrie,38.0,25.0,22.0,0.0,4.0,42.7,28.1,24.7,0.0,4.5,12674
North Lismore,116.0,93.0,65.0,4.0,12.0,40.0,32.1,22.4,1.4,4.1,12994
Loftville,71.0,3.0,46.0,3.0,7.0,54.6,2.3,35.4,2.3,5.4,12372
Modanville,92.0,80.0,23.0,3.0,3.0,45.8,39.8,11.4,1.5,1.5,12655
Clunes (NSW),104.0,129.0,66.0,0.0,13.0,33.3,41.3,21.2,0.0,4.2,10939
Terania Creek,44.0,18.0,11.0,0.0,3.0,57.9,23.7,14.5,0.0,3.9,13794
The Channon,60.0,45.0,32.0,3.0,0.0,42.9,32.1,22.9,2.1,0.0,13816
Koonorigan,47.0,43.0,31.0,0.0,0.0,38.8,35.5,25.6,0.0,0.0,12188
Rosebank,62.0,49.0,32.0,0.0,4.0,42.2,33.3,21.8,0.0,2.7,13401
Corndale (NSW),43.0,49.0,27.0,0.0,0.0,36.1,41.2,22.7,0.0,0.0,11076
East Coraki,24.0,30.0,21.0,0.0,0.0,32.0,40.0,28.0,0.0,0.0,11347
Tregeagle,81.0,58.0,13.0,0.0,0.0,53.3,38.2,8.6,0.0,0.0,13933
Wyrallah,64.0,66.0,19.0,0.0,4.0,41.8,43.1,12.4,0.0,2.6,14449
South Gundurimba,54.0,36.0,24.0,0.0,3.0,46.2,30.8,20.5,0.0,2.6,13585
Caniaba,78.0,110.0,17.0,0.0,3.0,37.5,52.9,8.2,0.0,1.4,10790
Blakebrook,26.0,11.0,14.0,0.0,0.0,51.0,21.6,27.5,0.0,0.0,10402
Booerie Creek,18.0,14.0,13.0,0.0,0.0,40.0,31.1,28.9,0.0,0.0,10475
Goolmangar,24.0,22.0,17.0,0.0,0.0,38.1,34.9,27.0,0.0,0.0,11708
Keerrong,21.0,10.0,11.0,0.0,3.0,46.7,22.2,24.4,0.0,6.7,12083
Tullera,43.0,35.0,11.0,0.0,0.0,48.3,39.3,12.4,0.0,0.0,13956
Bexhill,59.0,71.0,33.0,5.0,6.0,33.9,40.8,19.0,2.9,3.4,10333
Richmond Hill (NSW),156.0,115.0,22.0,7.0,3.0,51.5,38.0,7.3,2.3,1.0,13361
Boat Harbour (Lismore - NSW),17.0,16.0,8.0,0.0,0.0,41.5,39.0,19.5,0.0,0.0,10424
McLeans Ridges,74.0,71.0,18.0,0.0,0.0,45.4,43.6,11.0,0.0,0.0,12545
Eltham (NSW),52.0,47.0,11.0,0.0,6.0,44.8,40.5,9.5,0.0,5.2,11409
Lindendale,39.0,26.0,15.0,0.0,3.0,47.0,31.3,18.1,0.0,3.6,12336
Nimbin,276.0,149.0,147.0,17.0,24.0,45.0,24.3,24.0,2.8,3.9,12965
Stony Chute,38.0,15.0,6.0,3.0,3.0,58.5,23.1,9.2,4.6,4.6,13667
Blue Knob,66.0,20.0,15.0,3.0,0.0,63.5,19.2,14.4,2.9,0.0,10416
Tuntable Creek,30.0,23.0,19.0,13.0,3.0,34.1,26.1,21.6,14.8,3.4,13971
Coffee Camp,41.0,22.0,8.0,4.0,3.0,52.6,28.2,10.3,5.1,3.8,10958
Tucki Tucki,21.0,14.0,3.0,0.0,3.0,51.2,34.1,7.3,0.0,7.3,13946
Larnook,68.0,46.0,19.0,0.0,5.0,49.3,33.3,13.8,0.0,3.6,12279
Georgica,41.0,40.0,11.0,4.0,0.0,42.7,41.7,11.5,4.2,0.0,11604
Jiggi,50.0,57.0,29.0,0.0,0.0,36.8,41.9,21.3,0.0,0.0,12026
Rock Valley,50.0,28.0,12.0,3.0,0.0,53.8,30.1,12.9,3.2,0.0,13378
Dunoon,99.0,100.0,52.0,4.0,4.0,38.2,38.6,20.1,1.5,1.5,11325
Dorroughby,19.0,23.0,7.0,0.0,0.0,38.8,46.9,14.3,0.0,0.0,11280
Numulgi,35.0,16.0,13.0,0.0,0.0,54.7,25.0,20.3,0.0,0.0,13041
Fingal Head,71.0,47.0,59.0,0.0,10.0,38.0,25.1,31.6,0.0,5.3,11519
Casuarina (NSW),172.0,397.0,265.0,0.0,18.0,20.2,46.6,31.1,0.0,2.1,10851
Kingscliff,1124.0,704.0,912.0,13.0,72.0,39.8,24.9,32.3,0.5,2.5,12154
Chinderah,532.0,69.0,132.0,8.0,40.0,68.1,8.8,16.9,1.0,5.1,10905
Cudgen,106.0,94.0,84.0,0.0,3.0,36.9,32.8,29.3,0.0,1.0,11143
Murwillumbah,937.0,807.0,811.0,24.0,82.0,35.2,30.3,30.5,0.9,3.1,12866
South Murwillumbah,121.0,133.0,128.0,0.0,18.0,30.2,33.2,32.0,0.0,4.5,13593
Bray Park (NSW),115.0,77.0,101.0,0.0,9.0,38.1,25.5,33.4,0.0,3.0,10552
Smiths Creek (Tweed - NSW),50.0,43.0,14.0,0.0,3.0,45.5,39.1,12.7,0.0,2.7,13562
Mount Burrell,48.0,22.0,23.0,0.0,0.0,51.6,23.7,24.7,0.0,0.0,12749
Byrrill Creek,28.0,11.0,12.0,0.0,0.0,54.9,21.6,23.5,0.0,0.0,10734
Pumpenbil,38.0,30.0,7.0,0.0,0.0,50.7,40.0,9.3,0.0,0.0,13272
Tumbulgum,41.0,66.0,36.0,0.0,3.0,28.1,45.2,24.7,0.0,2.1,13964
Limpinwood,33.0,25.0,19.0,0.0,3.0,41.2,31.2,23.8,0.0,3.8,12333
Tyalgum,58.0,72.0,44.0,3.0,5.0,31.9,39.6,24.2,1.6,2.7,13994
Dum Dum,23.0,17.0,8.0,0.0,0.0,47.9,35.4,16.7,0.0,0.0,11304
Byangum,22.0,12.0,4.0,0.0,3.0,53.7,29.3,9.8,0.0,7.3,10729
Eungella (NSW),35.0,22.0,33.0,0.0,5.0,36.8,23.2,34.7,0.0,5.3,11460
Crystal Creek (NSW),32.0,38.0,15.0,0.0,0.0,37.6,44.7,17.6,0.0,0.0,11138
Chillingham,43.0,32.0,13.0,0.0,3.0,47.3,35.2,14.3,0.0,3.3,10904
Stokers Siding,94.0,94.0,43.0,0.0,6.0,39.7,39.7,18.1,0.0,2.5,13664
Numinbah,16.0,12.0,15.0,0.0,3.0,34.8,26.1,32.6,0.0,6.5,13040
Upper Crystal Creek,36.0,15.0,22.0,0.0,3.0,47.4,19.7,28.9,0.0,3.9,14021
Nobbys Creek,41.0,41.0,18.0,0.0,3.0,39.8,39.8,17.5,0.0,2.9,12968
Dungay,26.0,22.0,22.0,4.0,0.0,35.1,29.7,29.7,5.4,0.0,11318
Kynnumboon,24.0,9.0,12.0,0.0,3.0,50.0,18.8,25.0,0.0,6.2,12228
Dunbible,65.0,35.0,15.0,0.0,8.0,52.8,28.5,12.2,0.0,6.5,11309
Fernvale (NSW),40.0,26.0,16.0,0.0,3.0,47.1,30.6,18.8,0.0,3.5,11511
Kielvale,49.0,29.0,13.0,0.0,0.0,53.8,31.9,14.3,0.0,0.0,12122
Reserve Creek,20.0,9.0,16.0,0.0,0.0,44.4,20.0,35.6,0.0,0.0,13353
Tygalgah,15.0,4.0,20.0,0.0,4.0,34.9,9.3,46.5,0.0,9.3,13996
Urliup,38.0,19.0,13.0,0.0,0.0,54.3,27.1,18.6,0.0,0.0,14060
Eviron,25.0,12.0,15.0,0.0,0.0,48.1,23.1,28.8,0.0,0.0,11472
Duranbah,27.0,24.0,24.0,3.0,3.0,33.3,29.6,29.6,3.7,3.7,11331
Condong,34.0,47.0,27.0,0.0,0.0,31.5,43.5,25.0,0.0,0.0,11003
Clothiers Creek,38.0,31.0,13.0,0.0,4.0,44.2,36.0,15.1,0.0,4.7,10936
Nunderi,109.0,81.0,24.0,3.0,4.0,49.3,36.7,10.9,1.4,1.8,13042
Uki,102.0,75.0,46.0,0.0,14.0,43.0,31.6,19.4,0.0,5.9,14000
Bogangar,322.0,403.0,350.0,4.0,50.0,28.5,35.7,31.0,0.4,4.4,10439
Mooball,25.0,21.0,14.0,0.0,0.0,41.7,35.0,23.3,0.0,0.0,12687
Cabarita Beach,4.0,6.0,20.0,0.0,0.0,13.3,20.0,66.7,0.0,0.0,10737
Pottsville,797.0,852.0,605.0,9.0,64.0,34.3,36.6,26.0,0.4,2.8,13257
Crabbes Creek,41.0,33.0,20.0,3.0,4.0,40.6,32.7,19.8,3.0,4.0,11102
Upper Burringbar,37.0,25.0,27.0,5.0,8.0,36.3,24.5,26.5,4.9,7.8,14015
Burringbar,114.0,121.0,55.0,0.0,3.0,38.9,41.3,18.8,0.0,1.0,10713
Hastings Point,181.0,24.0,59.0,45.0,10.0,56.7,7.5,18.5,14.1,3.1,11868
Round Mountain,19.0,11.0,9.0,0.0,0.0,48.7,28.2,23.1,0.0,0.0,13425
Cudgera Creek,39.0,42.0,19.0,0.0,3.0,37.9,40.8,18.4,0.0,2.9,11144
Tweed Heads,1505.0,624.0,1313.0,53.0,158.0,41.2,17.1,35.9,1.5,4.3,13984
Tweed Heads West,966.0,667.0,845.0,10.0,105.0,37.3,25.7,32.6,0.4,4.0,13986
Piggabeen,39.0,45.0,22.0,0.0,0.0,36.8,42.5,20.8,0.0,0.0,13202
Bilambil Heights,442.0,478.0,243.0,6.0,27.0,37.0,40.0,20.3,0.5,2.3,10348
Cobaki,20.0,25.0,15.0,0.0,0.0,33.3,41.7,25.0,0.0,0.0,10947
Bilambil,57.0,55.0,21.0,3.0,4.0,40.7,39.3,15.0,2.1,2.9,10347
Carool,22.0,18.0,18.0,0.0,3.0,36.1,29.5,29.5,0.0,4.9,10822
Glengarrie,39.0,8.0,6.0,0.0,0.0,73.6,15.1,11.3,0.0,0.0,11666
Banora Point,2927.0,1869.0,1264.0,132.0,188.0,45.9,29.3,19.8,2.1,2.9,10185
Terranora,330.0,455.0,98.0,3.0,18.0,36.5,50.3,10.8,0.3,2.0,13802
North Tumbulgum,28.0,34.0,22.0,0.0,0.0,33.3,40.5,26.2,0.0,0.0,13012
Tweed Heads South,1403.0,581.0,1107.0,47.0,139.0,42.8,17.7,33.8,1.4,4.2,13985
Griffith (NSW),1991.0,1639.0,2228.0,50.0,257.0,32.3,26.6,36.1,0.8,4.2,11782
Yoogali,166.0,133.0,55.0,0.0,4.0,46.4,37.2,15.4,0.0,1.1,14516
Bilbul,79.0,60.0,32.0,3.0,3.0,44.6,33.9,18.1,1.7,1.7,10349
Yenda (NSW),199.0,181.0,131.0,4.0,24.0,36.9,33.6,24.3,0.7,4.5,14504
Beelbangera,46.0,58.0,26.0,0.0,0.0,35.4,44.6,20.0,0.0,0.0,10251
Myall Park (NSW),21.0,25.0,13.0,0.0,0.0,35.6,42.4,22.0,0.0,0.0,12873
Binya,16.0,12.0,10.0,0.0,3.0,39.0,29.3,24.4,0.0,7.3,10373
Hillston,195.0,97.0,193.0,10.0,33.0,36.9,18.4,36.6,1.9,6.2,11912
Rankins Springs,34.0,14.0,14.0,3.0,3.0,50.0,20.6,20.6,4.4,4.4,13316
Whitton,74.0,62.0,40.0,3.0,10.0,39.2,32.8,21.2,1.6,5.3,14280
Tharbogang,54.0,39.0,37.0,0.0,4.0,40.3,29.1,27.6,0.0,3.0,13811
Hanwood,148.0,121.0,112.0,3.0,13.0,37.3,30.5,28.2,0.8,3.3,11850
Coleambally,177.0,104.0,161.0,5.0,16.0,38.2,22.5,34.8,1.1,3.5,10964
Darlington Point,129.0,117.0,161.0,7.0,7.0,30.6,27.8,38.2,1.7,1.7,11215
Carrathool,32.0,7.0,38.0,0.0,0.0,41.6,9.1,49.4,0.0,0.0,10827
Goolgowi,54.0,41.0,48.0,4.0,5.0,35.5,27.0,31.6,2.6,3.3,11705
Merriwagga,19.0,7.0,14.0,0.0,0.0,47.5,17.5,35.0,0.0,0.0,12586
Nericon,32.0,34.0,21.0,0.0,3.0,35.6,37.8,23.3,0.0,3.3,12927
Lake Wyangan,112.0,117.0,41.0,0.0,10.0,40.0,41.8,14.6,0.0,3.6,12255
Murrami,22.0,29.0,27.0,0.0,3.0,27.2,35.8,33.3,0.0,3.7,12850
Stanbridge,31.0,15.0,15.0,3.0,3.0,46.3,22.4,22.4,4.5,4.5,13646
Leeton,1067.0,952.0,951.0,19.0,121.0,34.3,30.6,30.6,0.6,3.9,12293
Yanco,88.0,71.0,76.0,0.0,10.0,35.9,29.0,31.0,0.0,4.1,14460
Corbie Hill,43.0,28.0,3.0,0.0,3.0,55.8,36.4,3.9,0.0,3.9,11068
Merungle Hill,33.0,31.0,6.0,0.0,3.0,45.2,42.5,8.2,0.0,4.1,12590
Narrandera,635.0,489.0,455.0,7.0,62.0,38.5,29.7,27.6,0.4,3.8,12906
Grong Grong,47.0,22.0,16.0,4.0,3.0,51.1,23.9,17.4,4.3,3.3,11784
Boree Creek,41.0,16.0,10.0,7.0,0.0,55.4,21.6,13.5,9.5,0.0,10512
Gillenbah,21.0,3.0,12.0,0.0,4.0,52.5,7.5,30.0,0.0,10.0,11622
Tumbarumba,297.0,203.0,195.0,0.0,27.0,41.1,28.1,27.0,0.0,3.7,13961
Khancoban,65.0,22.0,28.0,0.0,9.0,52.4,17.7,22.6,0.0,7.3,12111
Rosewood (Snowy Valleys - NSW),39.0,22.0,15.0,0.0,5.0,48.1,27.2,18.5,0.0,6.2,13415
Humula,28.0,20.0,8.0,0.0,0.0,50.0,35.7,14.3,0.0,0.0,11952
Tooma,17.0,13.0,7.0,0.0,3.0,42.5,32.5,17.5,0.0,7.5,13906
Tumut,871.0,687.0,706.0,22.0,64.0,37.1,29.2,30.0,0.9,2.7,13966
Gilmore (NSW),27.0,28.0,8.0,3.0,0.0,40.9,42.4,12.1,4.5,0.0,11626
Batlow,235.0,147.0,115.0,4.0,16.0,45.5,28.4,22.2,0.8,3.1,10232
Talbingo,59.0,8.0,21.0,0.0,0.0,67.0,9.1,23.9,0.0,0.0,13730
Gocup,23.0,19.0,8.0,0.0,0.0,46.0,38.0,16.0,0.0,0.0,11690
Bombowlee,53.0,40.0,5.0,0.0,3.0,52.5,39.6,5.0,0.0,3.0,10459
Lacmalac,27.0,23.0,9.0,0.0,0.0,45.8,39.0,15.3,0.0,0.0,12231
Mundongo,32.0,31.0,7.0,0.0,3.0,43.8,42.5,9.6,0.0,4.1,12840
Adelong,178.0,119.0,62.0,0.0,18.0,47.2,31.6,16.4,0.0,4.8,10018
Cootamundra,1201.0,726.0,694.0,29.0,86.0,43.9,26.5,25.4,1.1,3.1,11053
Stockinbingal,86.0,47.0,14.0,0.0,4.0,57.0,31.1,9.3,0.0,2.6,13660
Wallendbeen,60.0,22.0,14.0,3.0,3.0,58.8,21.6,13.7,2.9,2.9,14113
Gundagai,290.0,162.0,167.0,3.0,34.0,44.2,24.7,25.5,0.5,5.2,11803
South Gundagai,130.0,100.0,62.0,3.0,14.0,42.1,32.4,20.1,1.0,4.5,13584
Tumblong,16.0,27.0,13.0,0.0,8.0,25.0,42.2,20.3,0.0,12.5,13963
Nangus,32.0,20.0,23.0,7.0,0.0,39.0,24.4,28.0,8.5,0.0,12890
Coolac,46.0,11.0,9.0,0.0,3.0,66.7,15.9,13.0,0.0,4.3,11022
Junee,489.0,490.0,393.0,5.0,72.0,33.7,33.8,27.1,0.3,5.0,12046
Harefield,21.0,18.0,7.0,0.0,0.0,45.7,39.1,15.2,0.0,0.0,11853
Old Junee,43.0,33.0,15.0,0.0,8.0,43.4,33.3,15.2,0.0,8.1,13078
Illabo,21.0,14.0,7.0,4.0,3.0,42.9,28.6,14.3,8.2,6.1,11972
