,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Buckajo,122,55,25,71,,4,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,19.2,8.7,24.7,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,10629
Kameruka,47,24,5,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,21.4,4.5,19.6,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,12054
Greigs Flat,40,39,10,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,26.7,6.8,24.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,11775
Broulee,612,328,167,357,,,65,,,,,,,,,,,,,,,,,,,,,,,,,35.7,19.2,9.8,20.9,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,10608
Tomakin,295,207,142,223,,,46,,,,,,,,,,,,,,,,,,,,,,,,,29.3,20.6,14.1,22.1,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,13890
Mossy Point,231,112,47,101,,,,,,,15,,,,,,,,,,,,,,,,,,,,,41.5,20.1,8.4,18.1,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,12741
Bodalla,246,157,62,193,,,20,,,,,,,,,,,,,,,,,,,,,,,,,33.4,21.3,8.4,26.2,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,10434
Narooma,866,431,328,629,,,,,,,98,,,,,,,,,,,,,,,,,,,,,33.0,16.4,12.5,24.0,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,12900
Eden,994,595,350,783,,,,,,,105,,,,,,,,,,,,,,,,,,,,,31.6,18.9,11.1,24.9,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,11375
South Durras,130,44,56,80,7,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,13.2,16.8,24.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,13580
Mogo (Eurobodalla - NSW),111,51,48,67,,,,,,,10,,,,,,,,,,,,,,,,,,,,,35.0,16.1,15.1,21.1,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,12660
Jeremadra,64,41,6,42,,,,,,,5,,,,,,,,,,,,,,,,,,,,,39.3,25.2,3.7,25.8,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,12012
Mogendoura,77,30,15,33,,,,,,,11,,,,,,,,,,,,,,,,,,,,,41.4,16.1,8.1,17.7,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,12657
Turlinjah,47,28,19,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,18.4,12.5,19.7,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,13975
Potato Point,52,15,22,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,10.6,15.6,19.9,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,13253
Kianga (NSW),199,138,99,196,,,53,,,,,,,,,,,,,,,,,,,,,,,,,25.7,17.9,12.8,25.4,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,12119
Tuross Head,697,536,179,526,,,,,,,79,,,,,,,,,,,,,,,,,,,,,31.1,23.9,8.0,23.5,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,13979
Pambula Beach,243,107,71,128,,,,,,,33,,,,,,,,,,,,,,,,,,,,,37.6,16.5,11.0,19.8,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,13141
Merimbula,"1,177",683,379,750,,,149,,,,,,,,,,,,,,,,,,,,,,,,,33.3,19.3,10.7,21.2,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,12575
Tura Beach,906,681,287,795,,,143,,,,,,,,,,,,,,,,,,,,,,,,,28.7,21.6,9.1,25.2,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,13973
South Pambula,162,82,49,127,,,22,,,,,,,,,,,,,,,,,,,,,,,,,33.5,16.9,10.1,26.2,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,13595
Pambula,354,151,74,232,,,,,,,47,,,,,,,,,,,,,,,,,,,,,36.6,15.6,7.6,24.0,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,13140
Broadwater (Bega Valley - NSW),35,24,11,35,,,6,,,,,,,,,,,,,,,,,,,,,,,,,29.9,20.5,9.4,29.9,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,10579
Bald Hills (NSW),96,55,,40,,,15,,,,16,,,,,,,,,,,,,,,,,,,,,36.8,21.1,,15.3,,,5.7,,,,6.1,,,,,,,,,,,,,,,,,,,,,10147
Millingandi,133,72,45,102,,,28,,,,,,,,,,,,,,,,,,,,,,,,,29.8,16.1,10.1,22.8,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,12622
Mirador,110,85,24,100,,,,,,,14,,,,,,,,,,,,,,,,,,,,,29.1,22.5,6.3,26.5,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,12644
Berrambool,167,88,42,103,,,22,,,,,,,,,,,,,,,,,,,,,,,,,36.1,19.0,9.1,22.3,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,10312
Moruya,"1,206",997,376,843,,,,,,,174,,,,,,,,,,,,,,,,,,,,,30.4,25.1,9.5,21.2,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,12734
Moruya Heads,355,222,79,166,,,,,,,28,,,,,,,,,,,,,,,,,,,,,36.7,23.0,8.2,17.2,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,12735
Bergalia,73,32,19,32,,,,,,,6,,,,,,,,,,,,,,,,,,,,,43.5,19.0,11.3,19.0,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,10302
Congo,113,43,41,20,,,,,,,,,,8,,,,,,,,,,,,,,,,,,47.5,18.1,17.2,8.4,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,11008
Bingie,91,39,20,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,19.5,10.0,15.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,10367
Bermagui,536,236,165,343,,,68,,,,,,,,,,,,,,,,,,,,,,,,,35.2,15.5,10.8,22.5,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,10307
Dalmeny,611,375,162,471,,,,,,,84,,,,,,,,,,,,,,,,,,,,,31.7,19.5,8.4,24.5,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,11191
Wallaga Lake,256,65,54,104,,,21,,,,,,,,,,,,,,,,,,,,,,,,,46.5,11.8,9.8,18.9,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,14102
Central Tilba,123,37,49,43,,,,,,,15,,,,,,,,,,,,,,,,,,,,,41.1,12.4,16.4,14.4,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,10877
North Narooma,244,108,56,121,,,25,,,,,,,,,,,,,,,,,,,,,,,,,38.9,17.2,8.9,19.3,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,12998
Akolele,67,9,52,25,,,,,,,,,9,,,,,,,,,,,,,,,,,,,39.0,5.2,30.2,14.5,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,10023
Mystery Bay,64,30,26,41,,,,,,,4,,,,,,,,,,,,,,,,,,,,,35.2,16.5,14.3,22.5,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,12883
Goulburn,"4,668","6,410","2,503","5,650",,,871,,,,,,,,,,,,,,,,,,,,,,,,,20.8,28.6,11.2,25.2,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,11725
Run-o-Waters,77,159,36,135,,,21,,,,,,,,,,,,,,,,,,,,,,,,,16.4,33.8,7.7,28.7,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,13440
Marulan,255,318,95,341,,,52,,,,,,,,,,,,,,,,,,,,,,,,,21.7,27.0,8.1,29.0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,12513
Windellama,91,84,53,85,,,,,,,13,,,,,,,,,,,,,,,,,,,,,26.0,24.0,15.1,24.3,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,14318
Bigga,42,53,57,69,,,9,,,,,,,,,,,,,,,,,,,,,,,,,17.6,22.3,23.9,29.0,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,10346
Tirrannaville,35,49,31,78,,,,,,,15,,,,,,,,,,,,,,,,,,,,,15.1,21.1,13.4,33.6,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,13883
Lake Bathurst,50,71,43,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,31.1,18.9,14.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,12239
Quialigo,60,77,14,72,11,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,29.6,5.4,27.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,13297
Laggan,76,122,30,100,,,11,,,,,,,,,,,,,,,,,,,,,,,,,21.6,34.7,8.5,28.4,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,12235
Grabben Gullen,53,76,55,52,,,10,,,,,,,,,,,,,,,,,,,,,,,,,20.3,29.1,21.1,19.9,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,11731
Parkesbourne,52,43,15,30,,,24,,,,,,,,,,,,,,,,,,,,,,,,,31.0,25.6,8.9,17.9,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,13152
Yarra,22,48,19,56,,,16,,,,,,,,,,,,,,,,,,,,,,,,,11.8,25.8,10.2,30.1,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,14468
Crookwell,378,921,202,794,,,207,,,,,,,,,,,,,,,,,,,,,,,,,14.3,34.9,7.6,30.1,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,11123
Bungonia,81,99,36,115,,,12,,,,,,,,,,,,,,,,,,,,,,,,,22.1,27.0,9.8,31.4,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,10685
Collector,96,83,30,52,12,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,26.7,9.6,16.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,10972
Middle Arm,96,106,16,82,,,,,,,16,,,,,,,,,,,,,,,,,,,,,27.2,30.0,4.5,23.2,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,12599
Taralga,68,166,35,139,,,,,,,24,,,,,,,,,,,,,,,,,,,,,14.8,36.0,7.6,30.2,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,13759
Tarlo,29,52,8,50,,,14,,,,,,,,,,,,,,,,,,,,,,,,,17.8,31.9,4.9,30.7,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,13767
Wayo,15,33,11,43,,,,,,,5,,,,,,,,,,,,,,,,,,,,,12.8,28.2,9.4,36.8,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,14204
Kingsdale,25,54,15,51,,,,,,,,9,,,,,,,,,,,,,,,,,,,,14.5,31.2,8.7,29.5,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,12155
Bannister (NSW),25,43,5,38,,4,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,36.4,4.2,32.2,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,10183
Brayton,22,35,33,48,,,,8,,,,,,,,,,,,,,,,,,,,,,,,12.9,20.6,19.4,28.2,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,10554
Greenwich Park,25,33,24,22,,,9,,,,,,,,,,,,,,,,,,,,,,,,,20.5,27.0,19.7,18.0,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,11771
Tallong,215,184,53,231,,,,,,,30,,,,,,,,,,,,,,,,,,,,,26.5,22.7,6.5,28.4,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,13733
Carrick (NSW),36,34,16,29,,,5,,,,,,,,,,,,,,,,,,,,,,,,,28.3,26.8,12.6,22.8,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,10828
Brisbane Grove,22,41,9,32,,,14,,,,,,,,,,,,,,,,,,,,,,,,,16.8,31.3,6.9,24.4,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,10577
Binda,41,65,67,84,,,,,,,6,,,,,,,,,,,,,,,,,,,,,15.1,23.9,24.6,30.9,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,10363
Towrang,32,44,29,47,9,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,25.6,16.9,27.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,13930
Mummel,29,26,17,26,,,9,,,,,,,,,,,,,,,,,,,,,,,,,25.2,22.6,14.8,22.6,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,12835
Baw Baw (NSW),42,66,32,77,,,,,,,,14,,,,,,,,,,,,,,,,,,,,15.7,24.7,12.0,28.8,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,10234
Boxers Creek,43,80,24,62,,,8,,,,,,,,,,,,,,,,,,,,,,,,,18.9,35.2,10.6,27.3,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,10541
Gundary,65,42,18,101,13,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,15.7,6.7,37.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,11806
Yass,"1,502","1,831",571,"1,615",,,332,,,,,,,,,,,,,,,,,,,,,,,,,23.1,28.2,8.8,24.8,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,14493
Bookham,34,32,22,49,,,11,,,,,,,,,,,,,,,,,,,,,,,,,20.2,19.0,13.1,29.2,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,10478
Binalong,123,152,57,143,,,29,,,,,,,,,,,,,,,,,,,,,,,,,23.0,28.5,10.7,26.8,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,10362
Jugiong,23,74,22,87,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10.3,33.2,9.9,39.0,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,12044
Galong,34,98,25,33,,,13,,,,,,,,,,,,,,,,,,,,,,,,,15.9,45.8,11.7,15.4,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,11580
Manton (NSW),84,69,40,61,,,12,,,,,,,,,,,,,,,,,,,,,,,,,28.7,23.5,13.7,20.8,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,12481
Yass River,131,86,26,65,,,10,,,,,,,,,,,,,,,,,,,,,,,,,37.3,24.5,7.4,18.5,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,14494
Rye Park,39,72,29,37,,,49,,,,,,,,,,,,,,,,,,,,,,,,,15.1,27.8,11.2,14.3,,,18.9,,,,,,,,,,,,,,,,,,,,,,,,,13455
Dalton,49,24,9,73,,,29,,,,,,,,,,,,,,,,,,,,,,,,,24.5,12.0,4.5,36.5,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,11194
Gundaroo,473,196,106,190,,,47,,,,,,,,,,,,,,,,,,,,,,,,,41.7,17.3,9.3,16.8,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,11805
Bowning,155,136,58,149,,,28,,,,,,,,,,,,,,,,,,,,,,,,,27.2,23.9,10.2,26.2,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,10535
Bellmount Forest,49,24,,26,,,13,,,,,,5,,,,,,,,,,,,,,,,,,,39.5,19.4,,21.0,,,10.5,,,,,,4.0,,,,,,,,,,,,,,,,,,,10274
Gunning,170,149,50,200,,,39,,,,,,,,,,,,,,,,,,,,,,,,,25.8,22.6,7.6,30.4,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,11813
Lade Vale,42,38,,21,,,10,,,,,,,,7,,,,,,,,,,,,,,,,,32.3,29.2,,16.2,,,7.7,,,,,,,,5.4,,,,,,,,,,,,,,,,,12232
Good Hope,39,40,33,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,23.7,19.5,23.1,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,11700
Wallaroo (NSW),229,190,85,120,,,27,,,,,,,,,,,,,,,,,,,,,,,,,32.5,27.0,12.1,17.0,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,14112
Murrumbateman,"1,100",821,238,594,,,96,,,,,,,,,,,,,,,,,,,,,,,,,34.2,25.5,7.4,18.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,12860
Springrange,70,101,26,60,,,16,,,,,,,,,,,,,,,,,,,,,,,,,24.0,34.6,8.9,20.5,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,13625
Jeir,85,68,26,58,,,8,,,,,,,,,,,,,,,,,,,,,,,,,33.2,26.6,10.2,22.7,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,12004
Marchmont,62,73,,43,13,,,,,,11,,,,,,,,,,,,,,,,,,,,,27.3,32.2,,18.9,5.7,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,12487
Nanima,60,47,23,25,,,,,,,,,,,,5,,,,,,,,,,,,,,,,36.1,28.3,13.9,15.1,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,12891
Young,"1,747","3,586",860,"2,428",,,407,,,,,,,,,,,,,,,,,,,,,,,,,17.0,35.0,8.4,23.7,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,14518
Kingsvale,21,63,15,42,,,,,,,9,,,,,,,,,,,,,,,,,,,,,11.9,35.6,8.5,23.7,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,12161
Burrangong,33,96,,53,,,,,,16,,,,10,,,,,,,,,,,,,,,,,,14.5,42.1,,23.2,,,,,,7.0,,,,4.4,,,,,,,,,,,,,,,,,,10706
Wyangala,42,41,22,53,,,8,,,,,,,,,,,,,,,,,,,,,,,,,24.0,23.4,12.6,30.3,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,14434
Wombat,30,93,13,60,,,12,,,,,,,,,,,,,,,,,,,,,,,,,13.7,42.5,5.9,27.4,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,14364
Cunningar,18,39,11,50,,,7,,,,,,,,,,,,,,,,,,,,,,,,,13.8,30.0,8.5,38.5,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,11164
Harden,270,720,145,629,,,105,,,,,,,,,,,,,,,,,,,,,,,,,13.3,35.5,7.1,31.0,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,11851
Boorowa,238,666,126,434,,,63,,,,,,,,,,,,,,,,,,,,,,,,,14.6,40.9,7.7,26.7,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,10503
Murrumburrah,11,50,8,25,,,6,,,,,,,,,,,,,,,,,,,,,,,,,10.6,48.1,7.7,24.0,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,12863
Frogmore,20,45,13,32,,,19,,,,,,,,,,,,,,,,,,,,,,,,,14.5,32.6,9.4,23.2,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,11571
Maimuru,14,35,,34,14,,,,,16,,,,,,,,,,,,,,,,,,,,,,10.1,25.2,,24.5,10.1,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,12444
Bendick Murrell,22,35,18,61,4,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,23.8,12.2,41.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,10290
Koorawatha,57,121,66,123,,,,,,,18,,,,,,,,,,,,,,,,,,,,,13.6,28.9,15.8,29.4,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,12192
Monteagle,38,73,,64,,,16,,,,,8,,,,,,,,,,,,,,,,,,,,17.5,33.6,,29.5,,,7.4,,,,,3.7,,,,,,,,,,,,,,,,,,,,12683
Murringo,75,96,36,113,,,20,,,,,,,,,,,,,,,,,,,,,,,,,20.5,26.2,9.8,30.9,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,12858
Thuddungra,12,31,9,43,,,,,,,9,,,,,,,,,,,,,,,,,,,,,10.5,27.2,7.9,37.7,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,13853
Bribbaree,17,31,,43,,,23,,,,12,,,,,,,,,,,,,,,,,,,,,12.2,22.3,,30.9,,,16.5,,,,8.6,,,,,,,,,,,,,,,,,,,,,10566
Avoca Beach,"1,559","1,033",358,915,,,153,,,,,,,,,,,,,,,,,,,,,,,,,34.0,22.5,7.8,19.9,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,10114
Copacabana,997,605,194,495,,,82,,,,,,,,,,,,,,,,,,,,,,,,,36.5,22.1,7.1,18.1,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,11056
Killcare Heights,304,155,38,126,,,25,,,,,,,,,,,,,,,,,,,,,,,,,41.4,21.1,5.2,17.1,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,12134
Macmasters Beach,446,304,102,217,,,57,,,,,,,,,,,,,,,,,,,,,,,,,34.6,23.6,7.9,16.8,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,12432
Empire Bay,700,613,163,601,,,81,,,,,,,,,,,,,,,,,,,,,,,,,29.0,25.4,6.8,24.9,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,11415
Wagstaffe,80,35,13,50,,,,,,,,,,,,,8,,,,,,,,,,,,,,,38.6,16.9,6.3,24.2,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,14084
St Huberts Island,218,311,58,321,,,,,,,46,,,,,,,,,,,,,,,,,,,,,20.8,29.6,5.5,30.6,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,13638
Killcare,160,99,57,86,,,11,,,,,,,,,,,,,,,,,,,,,,,,,35.6,22.0,12.7,19.2,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,12133
Bensville,656,734,150,568,97,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,29.0,5.9,22.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,10297
Daleys Point,155,206,63,161,,,23,,,,,,,,,,,,,,,,,,,,,,,,,22.6,30.0,9.2,23.4,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,11189
Pretty Beach (Central Coast - NSW),135,59,28,81,11,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,17.0,8.1,23.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,13261
Hardys Bay,82,31,46,35,,,,,,,10,,,,,,,,,,,,,,,,,,,,,35.0,13.2,19.7,15.0,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,11852
Kincumber South,118,177,48,194,,,34,,,,,,,,,,,,,,,,,,,,,,,,,17.3,26.0,7.0,28.4,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,12142
Somersby,296,217,102,248,,,,,,,,40,,,,,,,,,,,,,,,,,,,,28.1,20.6,9.7,23.6,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,13571
Calga,45,26,17,23,,,,,,,,,,,,,,7,,,,,,,,,,,,,,32.1,18.6,12.1,16.4,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,10752
Woy Woy,"2,927","2,723",933,"2,397",,,,,,,318,,,,,,,,,,,,,,,,,,,,,27.5,25.6,8.8,22.6,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,14425
Patonga,45,37,,49,,12,13,,,,,,,,,,,,,,,,,,,,,,,,,22.8,18.8,,24.9,,6.1,6.6,,,,,,,,,,,,,,,,,,,,,,,,,13160
Mooney Mooney,121,64,22,60,,,,,,,,10,,,,,,,,,,,,,,,,,,,,39.9,21.1,7.3,19.8,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,12704
Kariong,"1,949","1,352",542,"1,294",,,216,,,,,,,,,,,,,,,,,,,,,,,,,30.6,21.2,8.5,20.3,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,12074
Peats Ridge,85,115,42,61,,,,19,,,,,,,,,,,,,,,,,,,,,,,,22.8,30.8,11.3,16.4,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,13172
Central Mangrove,76,57,,68,,,14,17,,,,,,,,,,,,,,,,,,,,,,,,28.5,21.3,,25.5,,,5.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,10876
Mangrove Mountain,209,171,65,123,,,,33,,,,,,,,,,,,,,,,,,,,,,,,29.9,24.4,9.3,17.6,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,12472
Kulnura,175,150,53,115,,,29,,,,,,,,,,,,,,,,,,,,,,,,,28.9,24.8,8.7,19.0,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,12206
Mount White,55,29,24,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,16.5,13.6,20.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,12803
Wendoree Park,47,21,21,24,,,,,,,,,,5,,,,,,,,,,,,,,,,,,34.3,15.3,15.3,17.5,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,14224
Wisemans Ferry,66,38,11,72,,,,,,,10,,,,,,,,,,,,,,,,,,,,,30.4,17.5,5.1,33.2,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,14344
Gunderman,65,16,55,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,8.5,29.3,17.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,11808
Spencer,94,60,89,42,,,,,,,6,,,,,,,,,,,,,,,,,,,,,31.2,19.9,29.6,14.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,13607
Erina,"1,028","1,161",443,"1,073",,,239,,,,,,,,,,,,,,,,,,,,,,,,,21.5,24.3,9.3,22.5,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,11433
Green Point (Central Coast - NSW),"1,562","1,593",497,"1,411",,,226,,,,,,,,,,,,,,,,,,,,,,,,,24.4,24.9,7.8,22.1,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,11753
Matcham,279,214,73,223,,,41,,,,,,,,,,,,,,,,,,,,,,,,,28.3,21.7,7.4,22.6,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,12520
Holgate,333,188,76,209,,,35,,,,,,,,,,,,,,,,,,,,,,,,,34.3,19.3,7.8,21.5,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,11921
Lisarow,"1,449","1,055",345,"1,085",,,227,,,,,,,,,,,,,,,,,,,,,,,,,28.3,20.6,6.7,21.2,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,12343
Erina Heights,113,102,41,75,,,,,,,19,,,,,,,,,,,,,,,,,,,,,27.8,25.1,10.1,18.5,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,11434
Terrigal,"3,234","3,046",809,"2,234",,,392,,,,,,,,,,,,,,,,,,,,,,,,,28.5,26.8,7.1,19.7,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,13805
Springfield (Central Coast - NSW),"1,175",956,305,773,,,155,,,,,,,,,,,,,,,,,,,,,,,,,28.6,23.3,7.4,18.8,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,13623
