,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
North Batemans Bay,153,109,60,135,14,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,19.9,10.9,24.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,12982
Surfside,397,326,134,331,,,,,,,48,,,,,,,,,,,,,,,,,,,,,29.1,23.9,9.8,24.3,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,13698
Maloneys Beach,94,102,22,98,,,17,,,,,,,,,,,,,,,,,,,,,,,,,25.5,27.6,6.0,26.6,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,12460
Lilli Pilli (Eurobodalla - NSW),206,132,73,131,,,21,,,,,,,,,,,,,,,,,,,,,,,,,33.2,21.3,11.8,21.1,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,12321
Malua Bay,557,473,234,368,,,,,,,57,,,,,,,,,,,,,,,,,,,,,28.9,24.6,12.2,19.1,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,12461
Surf Beach (NSW),508,428,216,432,,,69,,,,,,,,,,,,,,,,,,,,,,,,,27.0,22.7,11.5,22.9,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,13697
Denhams Beach,146,135,96,166,,,31,,,,,,,,,,,,,,,,,,,,,,,,,22.6,20.9,14.9,25.7,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,11236
Sunshine Bay,272,325,82,358,,,47,,,,,,,,,,,,,,,,,,,,,,,,,22.3,26.7,6.7,29.4,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,13695
Rosedale (NSW),92,47,26,40,,,6,,,,,,,,,,,,,,,,,,,,,,,,,43.0,22.0,12.1,18.7,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,13407
Batehaven,466,463,148,433,,,69,,,,,,,,,,,,,,,,,,,,,,,,,26.1,26.0,8.3,24.3,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,10228
