,Average number of people per household,Average number of persons per bedroom,Median weekly household income,Average number of people per household (%),Average number of persons per bedroom (%),Median weekly household income (%),SSC_CODE
North Willoughby,2.0,0.0,2499.0,--,--,--,13016
Willoughby (NSW),1.6,0.9,900.0,--,--,--,14303
Artarmon,2.4,0.8,1625.0,--,--,--,10090
Roseville,2.3,1.0,2250.0,--,--,--,13412
Lane Cove North,2.3,1.3,1937.0,--,--,--,12267
Lane Cove West,2.5,1.0,4124.0,--,--,--,12268
Lane Cove,3.1,1.3,2874.0,--,--,--,12266
Greenwich,2.0,1.0,3499.0,--,--,--,11770
St Leonards (NSW),2.3,1.5,2124.0,--,--,--,13642
Cammeray,2.2,1.0,2374.0,--,--,--,10778
Hornsby Heights,4.4,1.4,2749.0,--,--,--,11937
Mount Colah,3.2,1.0,2250.0,--,--,--,12750
Asquith,3.5,0.8,2750.0,--,--,--,10103
Hornsby,2.4,1.1,1624.0,--,--,--,11936
Mount Kuring-Gai,3.7,0.5,1458.0,--,--,--,12772
Berowra Heights,2.7,0.8,2250.0,--,--,--,10310
Normanhurst,2.6,1.0,1374.0,--,--,--,12976
Thornleigh,2.9,1.0,1875.0,--,--,--,13850
Westleigh,4.3,0.9,3624.0,--,--,--,14260
Wahroonga,3.5,1.1,2083.0,--,--,--,14085
Waitara,0.0,0.0,1208.0,--,--,--,14086
Killara (NSW),0.0,1.0,4750.0,--,--,--,12129
Lindfield,2.4,1.0,2333.0,--,--,--,12339
Gordon (NSW),3.0,1.1,3374.0,--,--,--,11718
Pymble,3.0,1.0,3874.0,--,--,--,13281
West Pymble,4.0,1.3,2750.0,--,--,--,14250
St Ives (NSW),3.2,1.1,3750.0,--,--,--,13639
Turramurra,3.0,1.0,3250.0,--,--,--,13980
South Turramurra,0.0,1.0,3250.0,--,--,--,13598
Warrawee,4.0,0.0,3125.0,--,--,--,14165
Cremorne (NSW),2.0,1.4,2625.0,--,--,--,11112
Neutral Bay,1.9,1.0,2333.0,--,--,--,12934
Crows Nest (NSW),2.0,1.2,2250.0,--,--,--,11131
Wollstonecraft,1.8,1.1,2562.0,--,--,--,14359
North Sydney,1.6,1.0,1875.0,--,--,--,13010
Mosman,2.1,1.2,2562.0,--,--,--,12738
Kirribilli,2.1,1.4,2250.0,--,--,--,12173
McMahons Point,1.7,0.8,2125.0,--,--,--,12547
Seaforth (NSW),4.0,1.0,2249.0,--,--,--,13509
Manly (NSW),2.7,1.0,2291.0,--,--,--,12475
Fairlight,3.1,1.3,2750.0,--,--,--,11482
Avalon Beach,2.8,1.0,1625.0,--,--,--,10111
Clareville,0.0,1.1,2999.0,--,--,--,10923
Elanora Heights,4.1,1.0,2833.0,--,--,--,11389
Mona Vale,3.8,1.2,2124.0,--,--,--,12672
Newport (NSW),2.6,1.1,2312.0,--,--,--,12956
Bilgola Plateau,3.1,0.9,3374.0,--,--,--,10351
Warriewood,3.8,1.1,2208.0,--,--,--,14173
North Narrabeen,3.1,1.0,2562.0,--,--,--,12999
Beacon Hill,3.0,1.2,3299.0,--,--,--,10238
Narraweena,3.3,1.0,1625.0,--,--,--,12910
Cromer (NSW),3.8,1.0,2625.0,--,--,--,11118
Dee Why,2.5,1.0,1937.0,--,--,--,11227
North Curl Curl,3.8,1.2,2812.0,--,--,--,12988
Forestville (NSW),4.0,1.0,2666.0,--,--,--,11548
Killarney Heights,4.0,1.0,4583.0,--,--,--,12130
Frenchs Forest,3.2,1.0,2625.0,--,--,--,11568
Belrose,2.5,0.8,2749.0,--,--,--,10283
Curl Curl,1.0,1.0,3083.0,--,--,--,11167
Freshwater (NSW),2.5,0.7,2333.0,--,--,--,11569
Manly Vale,2.2,1.3,1958.0,--,--,--,12476
North Manly,1.6,0.6,2750.0,--,--,--,12997
Queenscliff (NSW),1.4,1.3,1874.0,--,--,--,13296
Brookvale,1.6,1.5,2083.0,--,--,--,10601
Allambie Heights,3.7,0.9,2916.0,--,--,--,10036
North Balgowlah,3.5,1.3,3083.0,--,--,--,12981
Narrabeen,2.7,1.3,2125.0,--,--,--,12902
Collaroy (NSW),2.8,1.3,2083.0,--,--,--,10970
Wheeler Heights,4.0,1.3,3124.0,--,--,--,14268
Terrey Hills,5.0,1.1,2750.0,--,--,--,13804
Ellis Lane,3.1,1.0,3249.0,--,--,--,11405
Grasmere,3.3,1.1,1208.0,--,--,--,11739
Camden,2.7,0.9,1458.0,--,--,--,10770
Camden Park (NSW),4.4,0.9,2333.0,--,--,--,10772
Cawdor (NSW),1.0,0.0,2750.0,--,--,--,10863
Camden South,3.8,0.9,1974.0,--,--,--,10773
Harrington Park,4.1,0.9,2821.0,--,--,--,11859
Elderslie (Camden - NSW),3.1,0.8,1833.0,--,--,--,11391
Narellan,3.0,0.9,1541.0,--,--,--,12896
Kirkham,6.0,1.4,4750.0,--,--,--,12171
Currans Hill,3.7,0.9,1906.0,--,--,--,11175
Gregory Hills,3.6,0.9,2326.0,--,--,--,11774
Narellan Vale,3.6,0.9,2218.0,--,--,--,12897
Spring Farm (NSW),3.2,0.9,2316.0,--,--,--,13612
Airds,3.2,1.0,705.0,--,--,--,10022
Bradbury (NSW),3.3,1.0,1517.0,--,--,--,10543
St Helens Park,3.4,1.0,1463.0,--,--,--,13637
Wedderburn (NSW),3.0,0.6,1656.0,--,--,--,14209
Woodbine (NSW),3.4,0.9,2249.0,--,--,--,14378
Campbelltown (NSW),3.3,1.1,1532.0,--,--,--,10780
Leumeah,3.0,0.9,1380.0,--,--,--,12308
Blair Athol (NSW),3.8,0.9,1375.0,--,--,--,10400
Eschol Park,3.7,1.0,1892.0,--,--,--,11441
Blairmount,4.0,0.0,2374.0,--,--,--,10401
Kearns,4.7,1.1,1875.0,--,--,--,12079
Claymore,3.7,1.1,618.0,--,--,--,10924
Holsworthy,3.7,1.0,1906.0,--,--,--,11926
Ingleburn,3.3,1.0,1395.0,--,--,--,11978
Macquarie Links,2.0,0.6,2374.0,--,--,--,12435
Denham Court,1.6,0.0,762.0,--,--,--,11235
Bardia,4.4,0.9,2463.0,--,--,--,10194
Ruse,3.4,1.0,1640.0,--,--,--,13443
Minto Heights,5.3,1.0,3999.0,--,--,--,12643
Macquarie Fields,3.1,1.0,940.0,--,--,--,12433
Glenfield (NSW),3.1,0.9,1833.0,--,--,--,11664
St Andrews (NSW),3.9,1.1,1728.0,--,--,--,13631
Bow Bowing,2.5,0.9,1458.0,--,--,--,10526
Minto,3.3,1.0,1141.0,--,--,--,12642
Rosemeadow,3.7,1.1,1289.0,--,--,--,13410
Ambarvale,3.3,1.0,1036.0,--,--,--,10049
Glen Alpine,3.6,0.9,2250.0,--,--,--,11645
Yanderra,3.2,1.0,1875.0,--,--,--,14461
Douglas Park,3.6,1.5,2125.0,--,--,--,11283
Razorback,4.0,0.0,2250.0,--,--,--,13328
Appin (NSW),3.8,0.9,1833.0,--,--,--,10063
Picton (NSW),3.0,0.8,1937.0,--,--,--,13200
Tahmoor,3.4,0.9,1410.0,--,--,--,13727
Buxton (NSW),3.7,1.0,1875.0,--,--,--,10726
Thirlmere,3.4,1.0,1958.0,--,--,--,13847
Couridjah,3.0,0.5,2333.0,--,--,--,11093
The Oaks,3.8,1.1,1687.0,--,--,--,13831
Werombi,4.0,0.8,1749.0,--,--,--,14232
Orangeville,4.0,1.0,2416.0,--,--,--,13094
Mount Hunter,2.0,0.8,1562.0,--,--,--,12765
Silverdale (NSW),4.0,0.8,2285.0,--,--,--,13544
Oakdale (NSW),3.4,0.9,1850.0,--,--,--,13054
Blackheath,2.6,0.8,1525.0,--,--,--,10393
Mount Victoria,3.3,1.1,1187.0,--,--,--,12797
Glenbrook,3.5,0.9,2083.0,--,--,--,11656
Blaxland (NSW),3.6,0.9,2041.0,--,--,--,10407
Warrimoo,3.4,0.9,2107.0,--,--,--,14174
Mount Riverview,3.9,0.7,2542.0,--,--,--,12788
Yarramundi,3.5,1.0,3166.0,--,--,--,14477
Katoomba,2.8,0.9,1014.0,--,--,--,12077
Leura,2.8,1.1,1125.0,--,--,--,12309
Medlow Bath,0.0,0.6,2374.0,--,--,--,12553
Linden (NSW),2.0,0.6,3083.0,--,--,--,12335
Woodford (NSW),3.3,0.8,2062.0,--,--,--,14383
Hazelbrook,3.5,1.0,1786.0,--,--,--,11881
Lawson (NSW),3.7,1.1,1833.0,--,--,--,12289
Bullaburra,2.0,0.7,2124.0,--,--,--,10656
Faulconbridge,2.8,0.9,1812.0,--,--,--,11496
Winmalee,3.8,1.0,2055.0,--,--,--,14334
Yellow Rock (Blue Mountains - NSW),4.5,1.0,2750.0,--,--,--,14502
Springwood (NSW),3.3,0.9,1812.0,--,--,--,13629
Valley Heights,3.4,0.9,1875.0,--,--,--,14069
Wentworth Falls,2.9,0.9,1388.0,--,--,--,14226
Werrington Downs,3.1,0.9,2050.0,--,--,--,14237
Cambridge Park,3.6,1.0,1586.0,--,--,--,10768
Werrington County,3.5,1.0,2036.0,--,--,--,14236
Cambridge Gardens,3.6,1.1,1792.0,--,--,--,10767
Cranebrook,3.5,1.0,1494.0,--,--,--,11105
Llandilo,4.9,1.1,2750.0,--,--,--,12363
Penrith,2.8,1.0,1210.0,--,--,--,13184
Jordan Springs,3.8,0.9,2303.0,--,--,--,12042
Emu Plains,3.3,0.9,2111.0,--,--,--,11418
Leonay,3.6,0.8,2083.0,--,--,--,12304
Emu Heights (NSW),3.1,0.9,2291.0,--,--,--,11417
Glenmore Park,3.7,0.9,2335.0,--,--,--,11670
Jamisontown,2.8,1.1,1517.0,--,--,--,12000
South Penrith,3.3,1.0,1554.0,--,--,--,13596
Kingswood (Penrith - NSW),2.6,1.0,1097.0,--,--,--,12163
Caddens,4.0,0.9,1874.0,--,--,--,10743
Werrington,3.2,1.1,1158.0,--,--,--,14235
Claremont Meadows,3.4,0.9,1708.0,--,--,--,10918
Wallacia,3.1,1.0,2349.0,--,--,--,14101
Mulgoa,3.5,0.9,1949.0,--,--,--,12814
Luddenham,2.5,0.9,2374.0,--,--,--,12419
Orchard Hills,2.5,0.6,2624.0,--,--,--,13095
Warragamba,2.7,1.0,1392.0,--,--,--,14158
North Richmond,3.2,1.0,1833.0,--,--,--,13002
Agnes Banks,3.4,1.1,1343.0,--,--,--,10021
Hobartville (NSW),3.4,1.0,1875.0,--,--,--,11917
South Windsor,3.5,1.0,1168.0,--,--,--,13601
Windsor (NSW),4.0,1.1,1625.0,--,--,--,14325
Bligh Park,3.3,1.0,1857.0,--,--,--,10411
Londonderry (NSW),3.9,1.0,2416.0,--,--,--,12375
Berkshire Park,5.6,1.4,2125.0,--,--,--,10305
Erskine Park,3.6,1.0,2111.0,--,--,--,11438
St Clair (Penrith - NSW),3.8,1.1,1968.0,--,--,--,13632
Colyton,3.3,1.0,1409.0,--,--,--,10987
Oxley Park,2.7,0.9,1213.0,--,--,--,13110
St Marys (NSW),2.8,1.0,1103.0,--,--,--,13643
North St Marys,3.3,0.9,929.0,--,--,--,13007
Newington (NSW),2.4,0.8,2750.0,--,--,--,12953
Lidcombe,2.7,1.0,1093.0,--,--,--,12316
Wentworth Point,2.2,1.2,2125.0,--,--,--,14227
Auburn (NSW),2.5,1.0,1156.0,--,--,--,10106
Berala,3.1,1.1,1125.0,--,--,--,10299
Carlingford,3.9,1.1,1812.0,--,--,--,10818
Beecroft,2.9,0.9,3874.0,--,--,--,10249
Epping (NSW),3.2,0.9,2643.0,--,--,--,11428
Rydalmere,2.1,1.0,1124.0,--,--,--,13453
Parramatta,2.2,1.0,1805.0,--,--,--,13156
Ermington,3.0,1.0,1062.0,--,--,--,11435
Dundas (NSW),2.5,1.2,1312.0,--,--,--,11312
Melrose Park (NSW),0.0,0.0,2250.0,--,--,--,12563
Telopea,1.9,0.9,687.0,--,--,--,13782
Oatlands (NSW),2.0,0.8,2250.0,--,--,--,13063
Dundas Valley,2.6,1.3,833.0,--,--,--,11313
Chester Hill,3.3,1.1,1375.0,--,--,--,10899
Sefton,0.0,0.7,1374.0,--,--,--,13516
Carramar (NSW),2.6,1.3,700.0,--,--,--,10826
Fairfield East,1.9,0.8,880.0,--,--,--,11478
Yennora,1.0,1.0,437.0,--,--,--,14506
Fairfield (NSW),3.1,1.0,1166.0,--,--,--,11477
Merrylands,3.0,1.1,1057.0,--,--,--,12588
Granville (NSW),2.5,1.0,959.0,--,--,--,11738
Guildford (NSW),2.5,1.1,1037.0,--,--,--,11790
Pemulwuy,3.6,0.9,3312.0,--,--,--,13181
Greystanes,3.2,0.9,1583.0,--,--,--,11781
South Granville,2.3,0.9,575.0,--,--,--,13583
Merrylands West,3.2,1.3,1062.0,--,--,--,12589
Woodpark,4.0,1.3,2083.0,--,--,--,14390
South Wentworthville,3.3,1.2,1458.0,--,--,--,13599
Smithfield (NSW),3.2,1.1,1125.0,--,--,--,13559
North Parramatta,2.4,1.0,1325.0,--,--,--,13001
North Rocks,2.3,0.7,2562.0,--,--,--,13003
Northmead,2.5,0.8,1343.0,--,--,--,13023
Westmead,2.4,0.9,714.0,--,--,--,14261
Wentworthville,2.5,0.8,1224.0,--,--,--,14228
Winston Hills,3.2,1.1,2374.0,--,--,--,14335
Rosehill (NSW),1.5,1.0,1874.0,--,--,--,13408
Harris Park,2.5,1.1,900.0,--,--,--,11860
Old Toongabbie,3.2,0.9,2083.0,--,--,--,13081
Constitution Hill,3.6,1.0,1187.0,--,--,--,11014
Girraween (NSW),2.9,0.9,1374.0,--,--,--,11636
Pennant Hills,4.1,0.8,2583.0,--,--,--,13183
Eastwood (NSW),2.1,0.8,2083.0,--,--,--,11369
Denistone East,2.0,0.0,2124.0,--,--,--,11239
Gladesville,2.4,0.9,2041.0,--,--,--,11638
Hunters Hill,3.2,1.2,2374.0,--,--,--,11954
Macquarie Park,1.6,0.8,1125.0,--,--,--,12437
Marsfield,2.8,0.9,2750.0,--,--,--,12506
Ryde,2.5,0.9,1874.0,--,--,--,13454
West Ryde,3.0,1.0,1687.0,--,--,--,14251
Putney,0.0,1.0,1875.0,--,--,--,13277
Busby,3.3,0.9,788.0,--,--,--,10720
Heckenberg,3.4,1.1,966.0,--,--,--,11887
Miller,2.9,0.8,850.0,--,--,--,12617
Ashcroft,3.2,0.9,706.0,--,--,--,10097
Sadleir,3.2,1.0,850.0,--,--,--,13461
Austral,3.5,0.8,1812.0,--,--,--,10109
Rossmore (NSW),4.3,0.9,1437.0,--,--,--,13420
Kemps Creek,4.2,1.2,1468.0,--,--,--,12094
Bringelly,3.9,1.3,2249.0,--,--,--,10575
Cecil Hills,0.0,0.0,4374.0,--,--,--,10865
Leppington,3.6,0.9,1812.0,--,--,--,12305
Cobbitty,3.0,0.7,2125.0,--,--,--,10954
Oran Park,3.8,1.0,2687.0,--,--,--,13091
Green Valley (NSW),3.6,1.1,1562.0,--,--,--,11756
Hinchinbrook (NSW),3.5,0.9,1458.0,--,--,--,11915
Hoxton Park,2.9,1.2,1312.0,--,--,--,11951
Horningsea Park,3.4,1.0,2750.0,--,--,--,11935
West Hoxton,4.1,1.0,2399.0,--,--,--,14246
Bonnyrigg Heights,4.9,1.0,1666.0,--,--,--,10472
Bossley Park,3.5,1.0,1843.0,--,--,--,10515
Abbotsbury,3.6,0.0,2624.0,--,--,--,10002
Cabramatta,2.1,0.8,1042.0,--,--,--,10740
Lansvale,3.0,1.0,1874.0,--,--,--,12275
Canley Vale,3.4,0.9,1024.0,--,--,--,10792
Mount Pritchard,3.7,1.1,1213.0,--,--,--,12785
Cabramatta West,3.3,1.0,933.0,--,--,--,10741
Canley Heights,3.2,0.9,850.0,--,--,--,10791
Edensor Park,2.9,0.9,1874.0,--,--,--,11377
Fairfield West,2.9,0.9,1274.0,--,--,--,11480
Fairfield Heights,3.4,1.3,1312.0,--,--,--,11479
Prairiewood,2.0,1.0,1625.0,--,--,--,13258
Horsley Park,2.8,1.0,1687.0,--,--,--,11943
Wetherill Park,4.5,1.4,1875.0,--,--,--,14264
Wakeley,4.3,0.7,1624.0,--,--,--,14089
Casula,2.8,0.9,1562.0,--,--,--,10852
Moorebank,3.6,1.0,1854.0,--,--,--,12712
Voyager Point,6.0,0.0,2499.0,--,--,--,14079
Wattle Grove (NSW),3.5,1.0,1906.0,--,--,--,14192
Hammondville,2.7,0.9,1792.0,--,--,--,11844
Sandy Point (NSW),4.0,1.0,4249.0,--,--,--,13487
Liverpool,2.7,1.0,1110.0,--,--,--,12361
Warwick Farm,3.0,1.1,819.0,--,--,--,14177
Cartwright,2.3,1.1,700.0,--,--,--,10838
Lurnea,2.7,1.0,735.0,--,--,--,12422
Prestons,3.9,1.0,1875.0,--,--,--,13260
Gymea Bay,3.5,0.9,3250.0,--,--,--,11827
Gymea,2.4,0.9,1861.0,--,--,--,11826
Grays Point,3.3,0.9,2374.0,--,--,--,11743
Miranda (NSW),2.5,1.0,1604.0,--,--,--,12645
Yowie Bay,2.5,0.7,2749.0,--,--,--,14519
Taren Point,1.0,0.7,1792.0,--,--,--,13766
Caringbah,2.8,1.0,1805.0,--,--,--,10815
Sylvania Waters,2.4,1.0,1875.0,--,--,--,13718
Sylvania,3.4,1.1,1792.0,--,--,--,13717
Caringbah South,3.3,1.0,2208.0,--,--,--,10816
Kurnell,3.6,1.2,1958.0,--,--,--,12216
Cronulla,2.4,1.0,1660.0,--,--,--,11119
Bundeena,2.7,0.9,1562.0,--,--,--,10672
Maianbar,4.0,1.2,1437.0,--,--,--,12443
Woolooware,3.2,0.9,2687.0,--,--,--,14410
Burraneer,3.7,1.0,1874.0,--,--,--,10705
Waterfall,3.5,1.0,2625.0,--,--,--,14182
Illawong,4.0,0.8,2750.0,--,--,--,11974
Alfords Point,3.0,0.8,3250.0,--,--,--,10031
Barden Ridge,3.6,0.9,2666.0,--,--,--,10193
Menai,3.3,1.0,1968.0,--,--,--,12567
Bangor (NSW),3.9,1.0,3125.0,--,--,--,10177
Woronora,2.7,0.9,2874.0,--,--,--,14420
Bonnet Bay,0.0,0.0,3499.0,--,--,--,10469
Jannali,3.1,1.1,1625.0,--,--,--,12001
Oyster Bay,3.1,0.8,1875.0,--,--,--,13112
Como (NSW),2.4,0.8,1562.0,--,--,--,10996
Kareela,2.9,0.8,2625.0,--,--,--,12073
Kirrawee,3.2,1.1,1812.0,--,--,--,12172
Sutherland (NSW),2.4,0.9,1771.0,--,--,--,13701
Loftus,3.9,0.9,2600.0,--,--,--,12371
Engadine,3.5,1.1,2181.0,--,--,--,11422
Yarrawarrah,4.2,1.1,2125.0,--,--,--,14485
Woronora Heights,3.4,0.7,2750.0,--,--,--,14422
