,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
West Ryde,4703.0,930.0,521.0,3192.0,50.3,10.0,5.6,34.2
West Wallsend,580.0,146.0,83.0,450.0,46.1,11.6,6.6,35.8
West Wollongong,1679.0,373.0,215.0,1108.0,49.7,11.0,6.4,32.8
Westleigh,2342.0,206.0,125.0,919.0,65.2,5.7,3.5,25.6
Westmead,3881.0,748.0,447.0,2690.0,49.9,9.6,5.8,34.6
Wetherill Park,2754.0,417.0,185.0,1664.0,54.8,8.3,3.7,33.1
Whalan,1528.0,642.0,286.0,1586.0,37.8,15.9,7.1,39.3
Whitebridge,1129.0,180.0,100.0,564.0,57.3,9.1,5.1,28.6
Wickham,202.0,125.0,32.0,441.0,25.3,15.6,4.0,55.2
Wiley Park,3392.0,927.0,231.0,2120.0,50.9,13.9,3.5,31.8
Willmot,651.0,253.0,85.0,678.0,39.1,15.2,5.1,40.8
Willoughby,2175.0,451.0,266.0,1423.0,50.4,10.4,6.2,33.0
Willoughby East,735.0,97.0,61.0,317.0,60.7,8.0,5.0,26.2
Windale,708.0,378.0,194.0,866.0,33.0,17.6,9.0,40.4
Windang,1044.0,349.0,198.0,458.0,51.0,17.0,9.7,22.4
Winmalee,2831.0,458.0,204.0,1367.0,58.2,9.4,4.2,28.1
Winston Hills,4319.0,556.0,434.0,1776.0,60.9,7.8,6.1,25.1
Wollongong,4242.0,1710.0,823.0,6161.0,32.8,13.2,6.4,47.6
Wollstonecraft,2541.0,764.0,266.0,3421.0,36.3,10.9,3.8,48.9
Wombarra,303.0,83.0,24.0,237.0,46.9,12.8,3.7,36.7
Woodbine,1122.0,207.0,50.0,720.0,53.5,9.9,2.4,34.3
Woodcroft,2498.0,246.0,123.0,1256.0,60.6,6.0,3.0,30.5
Woodpark,570.0,102.0,46.0,296.0,56.4,10.1,4.5,29.3
Woodrising,632.0,155.0,36.0,321.0,55.2,13.5,3.1,28.1
Woollahra,2554.0,708.0,502.0,2530.0,40.6,11.2,8.0,40.2
Woolloomooloo,741.0,496.0,117.0,1903.0,22.7,15.2,3.6,58.3
Woolooware,3242.0,468.0,320.0,1672.0,56.9,8.2,5.6,29.3
Woolwich,388.0,69.0,29.0,215.0,55.3,9.8,4.1,30.7
Woonona,4488.0,1022.0,647.0,2471.0,52.0,11.8,7.5,28.6
Woronora,1033.0,126.0,62.0,461.0,61.3,7.5,3.7,27.4
Woronora Heights,1501.0,72.0,29.0,701.0,65.3,3.1,1.3,30.5
Woy Woy,3526.0,1403.0,1051.0,2386.0,42.1,16.8,12.6,28.5
Woy Woy Bay,336.0,54.0,14.0,147.0,60.8,9.8,2.5,26.6
Wyoming,3403.0,922.0,478.0,2047.0,49.7,13.5,7.0,29.9
Wyong,1040.0,466.0,243.0,850.0,40.0,17.9,9.3,32.7
Wyongah,721.0,173.0,78.0,411.0,52.2,12.5,5.6,29.7
Yagoona,6132.0,1148.0,865.0,3332.0,53.4,10.0,7.5,29.0
Yarrawarrah,722.0,45.0,27.0,419.0,59.4,3.7,2.2,34.5
Yattalunga,199.0,48.0,25.0,107.0,52.6,12.7,6.6,28.3
Yennora,452.0,117.0,167.0,325.0,42.8,11.1,15.8,30.8
Yowie Bay,1856.0,183.0,172.0,768.0,62.3,6.1,5.8,25.8
Zetland,721.0,198.0,28.0,1423.0,30.4,8.4,1.2,60.0
