,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Wiley Park,10126.0,0.527,0.473,31.0,2489.0,1.9,1.0,3462.0,3.1,1072.0,1690.0,350.0,1.4
Willmot,2430.0,0.479,0.521,30.0,583.0,2.2,1.1,868.0,3.0,886.0,1465.0,280.0,1.5
Willoughby,6540.0,0.473,0.527,39.0,1722.0,1.8,0.9,2491.0,2.8,2548.0,3000.0,575.0,1.5
Willoughby East,1822.0,0.504,0.49600000000000005,39.0,486.0,1.9,1.2,594.0,3.2,3654.0,3000.0,837.0,1.8
Windale,3358.0,0.47200000000000003,0.528,38.0,821.0,1.8,0.7,1556.0,2.3,689.0,1481.0,166.0,1.1
Windang,2656.0,0.511,0.489,53.0,703.0,1.7,0.5,1362.0,2.1,784.0,1733.0,270.0,1.4
Winmalee,6202.0,0.483,0.517,40.0,1789.0,1.9,1.0,2292.0,2.9,1812.0,1950.0,400.0,2.1
Winston Hills,11674.0,0.484,0.516,40.0,3274.0,1.9,1.0,4168.0,2.9,2011.0,2400.0,500.0,1.9
Wollongong,18442.0,0.507,0.493,34.0,3935.0,1.6,0.3,9605.0,2.1,1180.0,1751.0,350.0,1.3
Wollstonecraft,8323.0,0.46299999999999997,0.537,36.0,2218.0,1.5,0.4,4283.0,2.1,2422.0,2541.0,570.0,1.2
Wombarra,872.0,0.49,0.51,44.0,258.0,1.7,0.8,391.0,2.7,2181.0,2600.0,495.0,2.0
Woodbine,2741.0,0.516,0.484,36.0,742.0,2.0,1.0,920.0,3.1,1570.0,1760.0,380.0,2.0
Woodcroft,6440.0,0.49100000000000005,0.509,35.0,1813.0,1.9,1.2,1912.0,3.5,2270.0,2167.0,440.0,2.0
Woodpark,1523.0,0.494,0.506,32.0,397.0,2.1,1.3,485.0,3.3,1577.0,2071.0,450.0,1.9
Woodrising,1168.0,0.506,0.494,34.0,325.0,1.9,1.0,418.0,2.9,1418.0,1453.0,333.0,2.0
Woollahra,7405.0,0.455,0.545,41.0,1824.0,1.6,0.5,3649.0,2.2,2529.0,3033.0,655.0,1.3
Woolloomooloo,4011.0,0.568,0.43200000000000005,37.0,776.0,1.5,0.2,2480.0,1.7,1794.0,2513.0,500.0,0.7
Woolooware,3962.0,0.489,0.511,39.0,1076.0,1.9,0.9,1549.0,2.7,1978.0,2200.0,405.0,1.9
Woolwich,814.0,0.469,0.531,51.0,222.0,2.1,0.8,329.0,2.6,3211.0,2500.0,470.0,2.1
Woonona,12187.0,0.48,0.52,41.0,3263.0,1.8,0.8,4930.0,2.6,1511.0,2167.0,320.0,1.7
Woronora,2201.0,0.508,0.49200000000000005,42.0,615.0,1.9,1.0,753.0,3.1,2310.0,2600.0,350.0,2.2
