,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Mosman,773.0,10036.0,215.0,7.0,91.0,2.0,12738
Kirribilli,212.0,1613.0,62.0,11.2,85.5,3.3,12173
Kurraba Point,32.0,637.0,7.0,4.7,94.2,1.0,12217
Milsons Point,51.0,960.0,17.0,5.0,93.4,1.7,12629
McMahons Point,57.0,989.0,22.0,5.3,92.6,2.1,12547
Lavender Bay,38.0,386.0,26.0,8.4,85.8,5.8,12285
Seaforth (NSW),126.0,2028.0,29.0,5.8,92.9,1.3,13509
Balgowlah Heights,62.0,947.0,7.0,6.1,93.2,0.7,10154
Clontarf (NSW),21.0,495.0,13.0,4.0,93.6,2.5,10935
Balgowlah,226.0,2723.0,54.0,7.5,90.7,1.8,10153
Manly (NSW),562.0,5796.0,162.0,8.6,88.9,2.5,12475
Fairlight,165.0,2084.0,49.0,7.2,90.7,2.1,11482
Avalon Beach,186.0,3038.0,74.0,5.6,92.1,2.2,10111
Palm Beach (NSW),39.0,544.0,10.0,6.6,91.7,1.7,13132
Whale Beach,6.0,92.0,0.0,6.1,93.9,0.0,14267
Clareville,16.0,263.0,0.0,5.7,94.3,0.0,10923
Scotland Island,9.0,203.0,3.0,4.2,94.4,1.4,13505
Elanora Heights,76.0,1230.0,18.0,5.7,92.9,1.4,11389
Ingleside,28.0,250.0,9.0,9.8,87.1,3.1,11979
Bayview (NSW),203.0,1197.0,44.0,14.1,82.9,3.0,10237
Church Point,15.0,335.0,8.0,4.2,93.6,2.2,10915
Lovett Bay,0.0,32.0,3.0,0.0,91.4,8.6,12397
Mona Vale,348.0,3313.0,85.0,9.3,88.4,2.3,12672
Newport (NSW),208.0,3027.0,103.0,6.2,90.7,3.1,12956
Bilgola Plateau,49.0,1092.0,13.0,4.2,94.6,1.1,10351
Bilgola Beach,7.0,88.0,0.0,7.4,92.6,0.0,10350
Warriewood,153.0,2220.0,44.0,6.3,91.8,1.8,14173
North Narrabeen,129.0,1650.0,55.0,7.0,90.0,3.0,12999
Beacon Hill,150.0,2034.0,47.0,6.7,91.2,2.1,10238
Narraweena,372.0,1745.0,81.0,16.9,79.4,3.7,12910
Cromer (NSW),281.0,2185.0,48.0,11.2,86.9,1.9,11118
Oxford Falls,7.0,31.0,0.0,18.4,81.6,0.0,13106
Dee Why,1011.0,7428.0,226.0,11.7,85.7,2.6,11227
North Curl Curl,62.0,1089.0,27.0,5.3,92.4,2.3,12988
Forestville (NSW),303.0,2400.0,54.0,11.0,87.1,2.0,11548
Killarney Heights,88.0,1279.0,18.0,6.4,92.3,1.3,12130
Frenchs Forest,217.0,3853.0,69.0,5.2,93.1,1.7,11568
Belrose,241.0,2524.0,91.0,8.4,88.4,3.2,10283
Davidson,21.0,869.0,8.0,2.3,96.8,0.9,11219
Curl Curl,51.0,665.0,26.0,6.9,89.6,3.5,11167
Freshwater (NSW),271.0,2908.0,70.0,8.3,89.5,2.2,11569
Manly Vale,213.0,2043.0,45.0,9.3,88.8,2.0,12476
North Manly,91.0,827.0,25.0,9.7,87.7,2.7,12997
Queenscliff (NSW),96.0,1292.0,30.0,6.8,91.1,2.1,13296
Brookvale,156.0,1097.0,35.0,12.1,85.2,2.7,10601
Allambie Heights,246.0,1919.0,65.0,11.0,86.1,2.9,10036
North Balgowlah,72.0,1014.0,14.0,6.5,92.2,1.3,12981
Narrabeen,538.0,2858.0,105.0,15.4,81.6,3.0,12902
Collaroy (NSW),245.0,2525.0,72.0,8.6,88.8,2.5,10970
Collaroy Plateau,92.0,1267.0,23.0,6.7,91.7,1.7,10971
Wheeler Heights,51.0,818.0,28.0,5.7,91.2,3.1,14268
Terrey Hills,48.0,820.0,12.0,5.5,93.2,1.4,13804
Duffys Forest,11.0,125.0,7.0,7.7,87.4,4.9,11301
Ellis Lane,26.0,231.0,9.0,9.8,86.8,3.4,11405
Grasmere,130.0,456.0,15.0,21.6,75.9,2.5,11739
Camden,259.0,943.0,23.0,21.1,77.0,1.9,10770
Camden Park (NSW),18.0,605.0,7.0,2.9,96.0,1.1,10772
Cawdor (NSW),24.0,105.0,3.0,18.2,79.5,2.3,10863
Camden South,156.0,1402.0,27.0,9.8,88.5,1.7,10773
Harrington Park,155.0,2803.0,35.0,5.2,93.7,1.2,11859
Elderslie (Camden - NSW),208.0,1700.0,31.0,10.7,87.7,1.6,11391
Narellan,199.0,1031.0,43.0,15.6,81.0,3.4,12896
Kirkham,6.0,174.0,3.0,3.3,95.1,1.6,12171
Mount Annan,196.0,3225.0,46.0,5.7,93.0,1.3,12745
Currans Hill,138.0,1499.0,20.0,8.3,90.5,1.2,11175
Gregory Hills,77.0,1351.0,21.0,5.3,93.2,1.4,11774
Narellan Vale,166.0,1988.0,38.0,7.6,90.7,1.7,12897
Spring Farm (NSW),72.0,1321.0,23.0,5.1,93.3,1.6,13612
Airds,305.0,582.0,46.0,32.7,62.4,4.9,10022
Bradbury (NSW),435.0,2461.0,79.0,14.6,82.7,2.7,10543
St Helens Park,227.0,1766.0,49.0,11.1,86.5,2.4,13637
Wedderburn (NSW),20.0,142.0,6.0,11.9,84.5,3.6,14209
Woodbine (NSW),99.0,728.0,13.0,11.8,86.7,1.5,14378
