,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Piallaway,14.0,28.0,0.0,33.3,66.7,0.0,13196
Breeza,15.0,36.0,0.0,29.4,70.6,0.0,10561
Caroona,21.0,45.0,0.0,31.8,68.2,0.0,10823
Spring Ridge,20.0,78.0,3.0,19.8,77.2,3.0,13619
Emerald Hill,5.0,37.0,3.0,11.1,82.2,6.7,11412
Mullaley,15.0,52.0,0.0,22.4,77.6,0.0,12820
Kelvin,12.0,40.0,3.0,21.8,72.7,5.5,12091
Werris Creek,231.0,373.0,21.0,37.0,59.7,3.4,14238
Quirindi,359.0,938.0,33.0,27.0,70.5,2.5,13301
Wallabadah,49.0,122.0,0.0,28.7,71.3,0.0,14098
Currabubula,25.0,97.0,0.0,20.5,79.5,0.0,11172
Quipolly,10.0,47.0,0.0,17.5,82.5,0.0,13300
Willow Tree,31.0,72.0,4.0,29.0,67.3,3.7,14305
Blackville,6.0,26.0,0.0,18.8,81.2,0.0,10398
Hillvue,313.0,1883.0,62.0,13.9,83.4,2.7,11914
Calala,149.0,1144.0,20.0,11.3,87.1,1.5,10748
Kingswood (Tamworth Regional - NSW),26.0,293.0,11.0,7.9,88.8,3.3,12164
South Tamworth,837.0,1718.0,124.0,31.2,64.1,4.6,13597
West Tamworth,685.0,1214.0,99.0,34.3,60.8,5.0,14252
North Tamworth,441.0,1418.0,89.0,22.6,72.8,4.6,13011
Tamworth,23.0,38.0,11.0,31.9,52.8,15.3,13746
East Tamworth,359.0,1651.0,50.0,17.4,80.1,2.4,11363
Oxley Vale,254.0,967.0,36.0,20.2,76.9,2.9,13111
Nemingha,45.0,200.0,6.0,17.9,79.7,2.4,12926
Westdale (Tamworth Regional - NSW),117.0,695.0,17.0,14.1,83.8,2.1,14259
Kootingal,152.0,630.0,21.0,18.9,78.5,2.6,12194
Duri,30.0,148.0,3.0,16.6,81.8,1.7,11332
Bithramere,11.0,48.0,3.0,17.7,77.4,4.8,10381
Winton (NSW),18.0,55.0,3.0,23.7,72.4,3.9,14336
Rushes Creek,15.0,28.0,0.0,34.9,65.1,0.0,13445
Somerton (NSW),22.0,75.0,4.0,21.8,74.3,4.0,13572
Bective,12.0,57.0,0.0,17.4,82.6,0.0,10245
Attunga,47.0,159.0,7.0,22.1,74.6,3.3,10105
Garthowen,8.0,44.0,0.0,15.4,84.6,0.0,11593
Limbri,14.0,33.0,0.0,29.8,70.2,0.0,12327
Tintinhull,26.0,108.0,7.0,18.4,76.6,5.0,13879
Loomberah,20.0,154.0,0.0,11.5,88.5,0.0,12386
Moonbi,78.0,300.0,15.0,19.8,76.3,3.8,12699
Bendemeer,54.0,129.0,4.0,28.9,69.0,2.1,10289
Watsons Creek (NSW),20.0,25.0,0.0,44.4,55.6,0.0,14188
Halls Creek (NSW),15.0,29.0,0.0,34.1,65.9,0.0,11834
Barraba,219.0,356.0,33.0,36.0,58.6,5.4,10206
Upper Manilla,9.0,35.0,0.0,20.5,79.5,0.0,14037
Manilla,325.0,592.0,57.0,33.4,60.8,5.9,12474
Daruka,17.0,229.0,5.0,6.8,91.2,2.0,11218
Moore Creek,53.0,632.0,8.0,7.6,91.2,1.2,12710
Hallsville,23.0,161.0,3.0,12.3,86.1,1.6,11835
Nundle,61.0,135.0,9.0,29.8,65.9,4.4,13043
Ogunbil,13.0,43.0,0.0,23.2,76.8,0.0,13071
Dungowan,23.0,105.0,0.0,18.0,82.0,0.0,11321
Piallamore,10.0,70.0,3.0,12.0,84.3,3.6,13195
Woolomin,30.0,75.0,0.0,28.6,71.4,0.0,14408
Warral,25.0,112.0,5.0,17.6,78.9,3.5,14163
Timbumburi,0.0,49.0,0.0,0.0,100.0,0.0,13870
Windale,509.0,772.0,63.0,37.9,57.4,4.7,14315
Jewells,81.0,780.0,18.0,9.2,88.7,2.0,12024
Belmont North,333.0,1835.0,61.0,14.9,82.3,2.7,10277
Belmont (NSW),664.0,2195.0,83.0,22.6,74.6,2.8,10276
Floraville,52.0,554.0,7.0,8.5,90.4,1.1,11535
Blacksmiths,188.0,547.0,26.0,24.7,71.9,3.4,10396
Pelican (NSW),66.0,271.0,7.0,19.2,78.8,2.0,13178
Marks Point,197.0,590.0,25.0,24.3,72.7,3.1,12492
Belmont South,84.0,328.0,14.0,19.7,77.0,3.3,10278
Kahibah,150.0,816.0,10.0,15.4,83.6,1.0,12048
Charlestown (NSW),735.0,4165.0,88.0,14.7,83.5,1.8,10885
Whitebridge,114.0,803.0,26.0,12.1,85.2,2.8,14276
Gateshead,295.0,810.0,26.0,26.1,71.6,2.3,11594
Dudley,97.0,718.0,21.0,11.6,85.9,2.5,11300
Highfields (NSW),37.0,278.0,3.0,11.6,87.4,0.9,11902
Garden Suburb,51.0,553.0,6.0,8.4,90.7,1.0,11587
Cardiff (NSW),430.0,1776.0,40.0,19.1,79.1,1.8,10809
Hillsborough (Lake Macquarie - NSW),33.0,190.0,3.0,14.6,84.1,1.3,11909
Warners Bay,527.0,2416.0,67.0,17.5,80.3,2.2,14153
Argenton,133.0,379.0,19.0,25.0,71.4,3.6,10078
Glendale (NSW),268.0,917.0,27.0,22.1,75.7,2.2,11658
Elermore Vale,336.0,1663.0,52.0,16.4,81.1,2.5,11394
Macquarie Hills,67.0,1025.0,11.0,6.1,92.9,1.0,12434
Kotara,207.0,1222.0,31.0,14.2,83.7,2.1,12200
Cardiff Heights,79.0,435.0,14.0,15.0,82.4,2.7,10810
Cardiff South,185.0,861.0,23.0,17.3,80.5,2.2,10811
New Lambton Heights,42.0,759.0,8.0,5.2,93.8,1.0,12943
Rankin Park,98.0,797.0,13.0,10.8,87.8,1.4,13315
Tingira Heights,66.0,604.0,15.0,9.6,88.2,2.2,13875
Mount Hutton (NSW),257.0,1068.0,41.0,18.8,78.2,3.0,12766
Eleebana,157.0,1802.0,29.0,7.9,90.6,1.5,11393
Redhead,275.0,1031.0,34.0,20.5,76.9,2.5,13340
Caves Beach,216.0,1211.0,20.0,14.9,83.7,1.4,10862
Nords Wharf,25.0,283.0,11.0,7.8,88.7,3.4,12975
Swansea (NSW),635.0,1471.0,80.0,29.0,67.3,3.7,13711
Swansea Heads,27.0,178.0,5.0,12.9,84.8,2.4,13712
Cams Wharf,5.0,35.0,13.0,9.4,66.0,24.5,10784
Murrays Beach,4.0,199.0,3.0,1.9,96.6,1.5,12854
Valentine,162.0,1778.0,36.0,8.2,90.0,1.8,14065
Croudace Bay,29.0,155.0,8.0,15.1,80.7,4.2,11128
Speers Point,183.0,1078.0,16.0,14.3,84.4,1.3,13605
Lakelands (NSW),35.0,446.0,3.0,7.2,92.1,0.6,12256
Boolaroo,98.0,309.0,8.0,23.6,74.5,1.9,10482
Booragul,108.0,355.0,19.0,22.4,73.7,3.9,10495
Fennell Bay,112.0,497.0,17.0,17.9,79.4,2.7,11500
Marmong Point,41.0,240.0,5.0,14.3,83.9,1.7,12498
Woodrising,30.0,346.0,3.0,7.9,91.3,0.8,14391
Bolton Point,141.0,596.0,18.0,18.7,78.9,2.4,10449
Teralba,120.0,446.0,17.0,20.6,76.5,2.9,13793
Fassifern (NSW),35.0,192.0,3.0,15.2,83.5,1.3,11495
Balcolyn,54.0,306.0,0.0,15.0,85.0,0.0,10145
Yarrawonga Park,25.0,113.0,5.0,17.5,79.0,3.5,14487
Mirrabooka (NSW),31.0,239.0,0.0,11.5,88.5,0.0,12647
Sunshine (NSW),27.0,138.0,3.0,16.1,82.1,1.8,13694
Silverwater (Lake Macquarie - NSW),15.0,85.0,4.0,14.4,81.7,3.8,13546
Bonnells Bay,175.0,1127.0,37.0,13.1,84.2,2.8,10468
Brightwaters,39.0,284.0,4.0,11.9,86.9,1.2,10570
Morisset Park,22.0,219.0,0.0,9.1,90.9,0.0,12724
Windermere Park,48.0,210.0,6.0,18.2,79.5,2.3,14321
Edgeworth,537.0,1750.0,65.0,22.8,74.4,2.8,11381
Cameron Park,133.0,2192.0,41.0,5.6,92.6,1.7,10775
Cooranbong,251.0,1562.0,56.0,13.4,83.6,3.0,11052
Wyee,156.0,631.0,27.0,19.2,77.5,3.3,14438
Morisset,337.0,938.0,46.0,25.5,71.0,3.5,12723
Wyee Point,36.0,325.0,14.0,9.6,86.7,3.7,14439
Mandalong,13.0,115.0,5.0,9.8,86.5,3.8,12465
Dora Creek,122.0,503.0,31.0,18.6,76.7,4.7,11277
Eraring,13.0,65.0,0.0,16.7,83.3,0.0,11429
Martinsville,8.0,110.0,0.0,6.8,93.2,0.0,12512
Blackalls Park,189.0,838.0,19.0,18.1,80.1,1.8,10390
Toronto,469.0,1643.0,59.0,21.6,75.7,2.7,13918
Kilaben Bay,60.0,443.0,11.0,11.7,86.2,2.1,12125
Coal Point,54.0,572.0,18.0,8.4,88.8,2.8,10943
Awaba,25.0,105.0,0.0,19.2,80.8,0.0,10118
Carey Bay,61.0,274.0,16.0,17.4,78.1,4.6,10812
Buttaba,37.0,351.0,3.0,9.5,89.8,0.8,10723
Fishing Point,32.0,361.0,11.0,7.9,89.4,2.7,11526
Rathmines,70.0,639.0,11.0,9.7,88.8,1.5,13319
Wangi Wangi,185.0,879.0,41.0,16.7,79.5,3.7,14135
Arcadia Vale,72.0,421.0,15.0,14.2,82.9,3.0,10073
Balmoral (Lake Macquarie - NSW),25.0,235.0,3.0,9.5,89.4,1.1,10166
Holmesville,79.0,378.0,16.0,16.7,79.9,3.4,11924
Barnsley,75.0,499.0,10.0,12.8,85.4,1.7,10204
Seahampton,19.0,87.0,0.0,17.9,82.1,0.0,13511
West Wallsend,128.0,688.0,12.0,15.5,83.1,1.4,14253
Killingworth (NSW),12.0,202.0,3.0,5.5,93.1,1.4,12137
Adamstown Heights,223.0,1643.0,31.0,11.8,86.6,1.6,10017
Adamstown,395.0,1953.0,49.0,16.5,81.5,2.0,10016
Kotara South,76.0,325.0,11.0,18.4,78.9,2.7,12201
Woodberry,239.0,792.0,32.0,22.5,74.5,3.0,14377
Beresfield,287.0,948.0,27.0,22.7,75.1,2.1,10301
Tarro,168.0,477.0,10.0,25.6,72.8,1.5,13771
Hexham (NSW),23.0,28.0,4.0,41.8,50.9,7.3,11898
Hamilton South,425.0,1095.0,53.0,27.0,69.6,3.4,11841
Broadmeadow,105.0,550.0,13.0,15.7,82.3,1.9,10578
Hamilton East,37.0,318.0,3.0,10.3,88.8,0.8,11839
Newcastle West,53.0,225.0,15.0,18.1,76.8,5.1,12951
Hamilton North,56.0,304.0,8.0,15.2,82.6,2.2,11840
Hamilton (NSW),292.0,1429.0,56.0,16.4,80.4,3.2,11838
New Lambton,622.0,3297.0,83.0,15.5,82.4,2.1,12942
Lambton,342.0,1573.0,45.0,17.4,80.3,2.3,12264
Jesmond,258.0,791.0,35.0,23.8,73.0,3.2,12023
Maryland (Newcastle - NSW),320.0,2248.0,50.0,12.2,85.9,1.9,12514
Fletcher (NSW),60.0,1410.0,29.0,4.0,94.1,1.9,11533
Minmi,33.0,198.0,3.0,14.1,84.6,1.3,12638
Warabrook,84.0,594.0,18.0,12.1,85.3,2.6,14140
Mayfield West,138.0,618.0,18.0,17.8,79.8,2.3,12536
Mayfield (Newcastle - NSW),722.0,2974.0,109.0,19.0,78.2,2.9,12530
Mayfield East,121.0,564.0,19.0,17.2,80.1,2.7,12534
Merewether Heights,38.0,425.0,3.0,8.2,91.2,0.6,12574
Merewether,548.0,3664.0,87.0,12.7,85.2,2.0,12573
The Junction,65.0,365.0,13.0,14.7,82.4,2.9,13827
Cooks Hill,254.0,1308.0,50.0,15.8,81.1,3.1,11019
Bar Beach,77.0,414.0,19.0,15.1,81.2,3.7,10187
Newcastle,132.0,1115.0,35.0,10.3,87.0,2.7,12949
The Hill,97.0,782.0,24.0,10.7,86.6,2.7,13826
Newcastle East,63.0,360.0,12.0,14.5,82.8,2.8,12950
Carrington (Newcastle - NSW),130.0,666.0,44.0,15.5,79.3,5.2,10830
Shortland,354.0,1164.0,50.0,22.6,74.2,3.2,13542
Birmingham Gardens,131.0,680.0,29.0,15.6,81.0,3.5,10377
Sandgate (NSW),18.0,41.0,6.0,27.7,63.1,9.2,13474
North Lambton,191.0,988.0,33.0,15.8,81.5,2.7,12993
Stockton (NSW),305.0,1148.0,56.0,20.2,76.1,3.7,13662
Fern Bay,248.0,896.0,33.0,21.1,76.1,2.8,11501
Fullerton Cove,14.0,198.0,3.0,6.5,92.1,1.4,11575
Wallsend,1087.0,3683.0,141.0,22.1,75.0,2.9,14118
Georgetown (NSW),153.0,637.0,15.0,19.0,79.1,1.9,11603
Waratah West,194.0,864.0,38.0,17.7,78.8,3.5,14142
Waratah (NSW),353.0,1366.0,68.0,19.8,76.4,3.8,14141
Wickham (NSW),62.0,405.0,12.0,12.9,84.6,2.5,14285
Maryville,68.0,549.0,8.0,10.9,87.8,1.3,12518
Tighes Hill,102.0,528.0,16.0,15.8,81.7,2.5,13863
Islington,117.0,682.0,22.0,14.3,83.1,2.7,11990
Ballina,1064.0,2599.0,168.0,27.8,67.8,4.4,10162
West Ballina,297.0,907.0,53.0,23.6,72.2,4.2,14240
East Ballina,282.0,1944.0,49.0,12.4,85.5,2.2,11345
Skennars Head,51.0,364.0,8.0,12.1,86.1,1.9,13554
Alstonville,404.0,1836.0,63.0,17.5,79.7,2.7,10046
Wollongbar,117.0,910.0,17.0,11.2,87.2,1.6,14357
Wardell,66.0,199.0,14.0,23.7,71.3,5.0,14144
East Wardell,13.0,86.0,3.0,12.7,84.3,2.9,11365
Empire Vale,9.0,50.0,5.0,14.1,78.1,7.8,11416
Meerschaum Vale,13.0,114.0,4.0,9.9,87.0,3.1,12556
Dalwood (Ballina - NSW),12.0,66.0,0.0,15.4,84.6,0.0,11195
Marom Creek,10.0,37.0,3.0,20.0,74.0,6.0,12499
Rous,3.0,72.0,5.0,3.8,90.0,6.2,13427
Pimlico (NSW),18.0,89.0,0.0,16.8,83.2,0.0,13207
Coolgardie (NSW),3.0,36.0,0.0,7.7,92.3,0.0,11031
Keith Hall,0.0,43.0,3.0,0.0,93.5,6.5,12086
Uralba,9.0,68.0,3.0,11.2,85.0,3.8,14050
Tuckombil,10.0,81.0,0.0,11.0,89.0,0.0,13947
Fernleigh,4.0,82.0,0.0,4.7,95.3,0.0,11508
Tintenbar,28.0,221.0,9.0,10.9,85.7,3.5,13878
Cumbalum,28.0,434.0,7.0,6.0,92.5,1.5,11154
Brooklet,7.0,74.0,0.0,8.6,91.4,0.0,10598
Knockrow,7.0,56.0,0.0,11.1,88.9,0.0,12178
Alstonvale,13.0,134.0,5.0,8.6,88.2,3.3,10045
Teven,4.0,83.0,0.0,4.6,95.4,0.0,13807
Pearces Creek,4.0,55.0,3.0,6.5,88.7,4.8,13170
Lynwood (NSW),11.0,66.0,0.0,14.3,85.7,0.0,12427
Rous Mill,8.0,70.0,0.0,10.3,89.7,0.0,13428
Ewingsdale,11.0,241.0,9.0,4.2,92.3,3.4,11474
Eureka (NSW),12.0,105.0,3.0,10.0,87.5,2.5,11461
Coorabell,14.0,138.0,4.0,9.0,88.5,2.6,11051
Possum Creek,5.0,84.0,0.0,5.6,94.4,0.0,13252
Bangalow,50.0,640.0,15.0,7.1,90.8,2.1,10174
Coopers Shoot,11.0,82.0,4.0,11.3,84.5,4.1,11049
Talofa,7.0,32.0,0.0,17.9,82.1,0.0,13739
Nashua,9.0,80.0,3.0,9.8,87.0,3.3,12914
Federal (NSW),16.0,215.0,5.0,6.8,91.1,2.1,11499
Binna Burra (NSW),8.0,51.0,0.0,13.6,86.4,0.0,10371
Brunswick Heads,145.0,572.0,37.0,19.2,75.9,4.9,10621
Ocean Shores,246.0,1714.0,50.0,12.2,85.3,2.5,13070
Tyagarah,3.0,53.0,3.0,5.1,89.8,5.1,13993
New Brighton,15.0,112.0,0.0,11.8,88.2,0.0,12939
South Golden Beach,24.0,261.0,5.0,8.3,90.0,1.7,13581
Byron Bay,257.0,1502.0,89.0,13.9,81.3,4.8,10733
Suffolk Park,77.0,1179.0,38.0,6.0,91.1,2.9,13684
Broken Head,16.0,80.0,0.0,16.7,83.3,0.0,10591
Woodburn (Richmond Valley - NSW),74.0,180.0,9.0,28.1,68.4,3.4,14379
Broadwater (Richmond Valley - NSW),52.0,193.0,4.0,20.9,77.5,1.6,10580
Rileys Hill,4.0,58.0,0.0,6.5,93.5,0.0,13364
Evans Head,335.0,852.0,42.0,27.3,69.3,3.4,11469
Bungawalbin,11.0,29.0,8.0,22.9,60.4,16.7,10683
New Italy,8.0,51.0,4.0,12.7,81.0,6.3,12941
Swan Bay (Richmond Valley - NSW),7.0,65.0,0.0,9.7,90.3,0.0,13705
Doonbah,25.0,72.0,3.0,25.0,72.0,3.0,11274
Lennox Head,177.0,2064.0,50.0,7.7,90.1,2.2,12303
Myocum,26.0,318.0,15.0,7.2,88.6,4.2,12877
Billinudgel,10.0,68.0,0.0,12.8,87.2,0.0,10355
Yelgun,3.0,30.0,5.0,7.9,78.9,13.2,14499
The Pocket,13.0,80.0,0.0,14.0,86.0,0.0,13834
Main Arm,25.0,159.0,8.0,13.0,82.8,4.2,12445
Upper Main Arm,23.0,66.0,4.0,24.7,71.0,4.3,14035
Mullumbimby,215.0,1092.0,39.0,16.0,81.1,2.9,12828
Mullumbimby Creek,9.0,159.0,8.0,5.1,90.3,4.5,12829
Wilsons Creek,13.0,117.0,4.0,9.7,87.3,3.0,14310
Goonengerry,22.0,120.0,7.0,14.8,80.5,4.7,11712
Huonbrook,14.0,35.0,3.0,26.9,67.3,5.8,11962
Whian Whian,6.0,41.0,3.0,12.0,82.0,6.0,14272
Yorklea,35.0,93.0,5.0,26.3,69.9,3.8,14517
Casino,1271.0,2779.0,167.0,30.1,65.9,4.0,10843
North Casino,25.0,259.0,5.0,8.7,89.6,1.7,12987
Fairy Hill,33.0,100.0,0.0,24.8,75.2,0.0,11483
Bonalbo,37.0,98.0,4.0,26.6,70.5,2.9,10463
Coraki,118.0,300.0,14.0,27.3,69.4,3.2,11063
Mallanganee,25.0,45.0,3.0,34.2,61.6,4.1,12457
Dobies Bight,10.0,37.0,0.0,21.3,78.7,0.0,11262
Backmede,4.0,39.0,0.0,9.3,90.7,0.0,10130
Stratheden,8.0,59.0,6.0,11.0,80.8,8.2,13674
Woodview,11.0,42.0,0.0,20.8,79.2,0.0,14397
Bentley (NSW),17.0,51.0,0.0,25.0,75.0,0.0,10298
Spring Grove,20.0,128.0,3.0,13.2,84.8,2.0,13614
Greenridge,4.0,35.0,0.0,10.3,89.7,0.0,11768
McKees Hill,16.0,84.0,3.0,15.5,81.6,2.9,12543
Tatham,24.0,51.0,0.0,32.0,68.0,0.0,13773
West Coraki,12.0,26.0,0.0,31.6,68.4,0.0,14243
Ellangowan (NSW),38.0,68.0,3.0,34.9,62.4,2.8,11400
Leeville,14.0,56.0,3.0,19.2,76.7,4.1,12295
Shannon Brook,20.0,38.0,3.0,32.8,62.3,4.9,13525
Rappville,27.0,33.0,0.0,45.0,55.0,0.0,13318
Goonellabah,874.0,3875.0,128.0,17.9,79.5,2.6,11711
Chilcotts Grass,3.0,66.0,0.0,4.3,95.7,0.0,10903
Eden Creek,16.0,41.0,4.0,26.2,67.2,6.6,11376
Wiangaree,14.0,35.0,0.0,28.6,71.4,0.0,14283
Ettrick (NSW),17.0,33.0,0.0,34.0,66.0,0.0,11448
Kyogle,248.0,589.0,34.0,28.5,67.6,3.9,12229
Cedar Point,13.0,54.0,0.0,19.4,80.6,0.0,10871
Geneva,74.0,199.0,6.0,26.5,71.3,2.2,11599
Upper Horseshoe Creek,11.0,27.0,0.0,28.9,71.1,0.0,14028
Barkers Vale,9.0,57.0,0.0,13.6,86.4,0.0,10201
Wadeville,20.0,57.0,0.0,26.0,74.0,0.0,14082
Lillian Rock,18.0,64.0,0.0,22.0,78.0,0.0,12323
Fawcetts Plain,9.0,42.0,4.0,16.4,76.4,7.3,11498
New Park,14.0,40.0,3.0,24.6,70.2,5.3,12945
Homeleigh,3.0,39.0,0.0,7.1,92.9,0.0,11931
Cawongla,12.0,64.0,0.0,15.8,84.2,0.0,10864
Collins Creek,3.0,38.0,3.0,6.8,86.4,6.8,10978
East Lismore,402.0,1402.0,54.0,21.6,75.5,2.9,11358
Lismore (NSW),282.0,1006.0,74.0,20.7,73.9,5.4,12344
Lismore Heights,161.0,720.0,10.0,18.1,80.8,1.1,12345
South Lismore,168.0,481.0,21.0,25.1,71.8,3.1,13589
Girards Hill,92.0,449.0,22.0,16.3,79.8,3.9,11631
Monaltrie,16.0,59.0,4.0,20.3,74.7,5.1,12674
North Lismore,61.0,220.0,9.0,21.0,75.9,3.1,12994
Loftville,60.0,63.0,4.0,47.2,49.6,3.1,12372
Modanville,19.0,183.0,4.0,9.2,88.8,1.9,12655
Clunes (NSW),21.0,281.0,8.0,6.8,90.6,2.6,10939
The Channon,21.0,120.0,0.0,14.9,85.1,0.0,13816
Koonorigan,33.0,88.0,0.0,27.3,72.7,0.0,12188
Rosebank,15.0,136.0,3.0,9.7,88.3,1.9,13401
Corndale (NSW),13.0,110.0,0.0,10.6,89.4,0.0,11076
East Coraki,12.0,61.0,0.0,16.4,83.6,0.0,11347
Tregeagle,15.0,139.0,0.0,9.7,90.3,0.0,13933
Wyrallah,13.0,130.0,3.0,8.9,89.0,2.1,14449
South Gundurimba,24.0,88.0,3.0,20.9,76.5,2.6,13585
Caniaba,16.0,182.0,3.0,8.0,90.5,1.5,10790
Booerie Creek,13.0,40.0,3.0,23.2,71.4,5.4,10475
Goolmangar,12.0,51.0,0.0,19.0,81.0,0.0,11708
Keerrong,6.0,39.0,3.0,12.5,81.2,6.2,12083
Tullera,11.0,89.0,6.0,10.4,84.0,5.7,13956
Bexhill,18.0,145.0,9.0,10.5,84.3,5.2,10333
Richmond Hill (NSW),33.0,263.0,9.0,10.8,86.2,3.0,13361
Boat Harbour (Lismore - NSW),9.0,42.0,0.0,17.6,82.4,0.0,10424
McLeans Ridges,15.0,156.0,3.0,8.6,89.7,1.7,12545
Eltham (NSW),8.0,106.0,3.0,6.8,90.6,2.6,11409
Lindendale,6.0,69.0,3.0,7.7,88.5,3.8,12336
Nimbin,126.0,455.0,37.0,20.4,73.6,6.0,12965
Tuntable Creek,16.0,64.0,0.0,20.0,80.0,0.0,13971
Coffee Camp,28.0,54.0,3.0,32.9,63.5,3.5,10958
Larnook,31.0,97.0,8.0,22.8,71.3,5.9,12279
Georgica,16.0,79.0,0.0,16.8,83.2,0.0,11604
Jiggi,15.0,111.0,3.0,11.6,86.0,2.3,12026
Rock Valley,17.0,73.0,0.0,18.9,81.1,0.0,13378
Leycester,9.0,43.0,0.0,17.3,82.7,0.0,12314
Dunoon,32.0,222.0,11.0,12.1,83.8,4.2,11325
Dorroughby,8.0,43.0,0.0,15.7,84.3,0.0,11280
Numulgi,11.0,59.0,0.0,15.7,84.3,0.0,13041
Fingal Head,25.0,158.0,8.0,13.1,82.7,4.2,11519
Casuarina (NSW),40.0,798.0,18.0,4.7,93.2,2.1,10851
Kingscliff,421.0,2333.0,75.0,14.9,82.5,2.7,12154
Chinderah,272.0,480.0,36.0,34.5,60.9,4.6,10905
Cudgen,33.0,247.0,10.0,11.4,85.2,3.4,11143
Murwillumbah,586.0,1996.0,81.0,22.0,75.0,3.0,12866
South Murwillumbah,68.0,318.0,14.0,17.0,79.5,3.5,13593
Bray Park (NSW),67.0,222.0,8.0,22.6,74.7,2.7,10552
Smiths Creek (Tweed - NSW),18.0,93.0,3.0,15.8,81.6,2.6,13562
Mount Burrell,29.0,63.0,7.0,29.3,63.6,7.1,12749
Tumbulgum,24.0,124.0,3.0,15.9,82.1,2.0,13964
Tyalgum,28.0,150.0,8.0,15.1,80.6,4.3,13994
Dum Dum,0.0,45.0,0.0,0.0,100.0,0.0,11304
Byangum,8.0,38.0,3.0,16.3,77.6,6.1,10729
Eungella (NSW),17.0,79.0,5.0,16.8,78.2,5.0,11460
Crystal Creek (NSW),15.0,74.0,0.0,16.9,83.1,0.0,11138
Chillingham,14.0,69.0,3.0,16.3,80.2,3.5,10904
Stokers Siding,33.0,192.0,6.0,14.3,83.1,2.6,13664
Upper Crystal Creek,20.0,50.0,3.0,27.4,68.5,4.1,14021
Nobbys Creek,18.0,81.0,3.0,17.6,79.4,2.9,12968
Dungay,8.0,65.0,3.0,10.5,85.5,3.9,11318
Dunbible,13.0,105.0,8.0,10.3,83.3,6.3,11309
Fernvale (NSW),3.0,81.0,3.0,3.4,93.1,3.4,11511
Kielvale,14.0,75.0,3.0,15.2,81.5,3.3,12122
Tygalgah,12.0,33.0,3.0,25.0,68.8,6.2,13996
Eviron,9.0,56.0,0.0,13.8,86.2,0.0,11472
Duranbah,6.0,67.0,4.0,7.8,87.0,5.2,11331
Condong,18.0,82.0,0.0,18.0,82.0,0.0,11003
Farrants Hill,6.0,47.0,0.0,11.3,88.7,0.0,11493
Clothiers Creek,10.0,66.0,3.0,12.7,83.5,3.8,10936
Nunderi,17.0,201.0,3.0,7.7,91.0,1.4,13042
Uki,30.0,197.0,13.0,12.5,82.1,5.4,14000
Bogangar,158.0,914.0,49.0,14.1,81.5,4.4,10439
Mooball,15.0,44.0,4.0,23.8,69.8,6.3,12687
Pottsville,250.0,2022.0,56.0,10.7,86.9,2.4,13257
Crabbes Creek,22.0,83.0,3.0,20.4,76.9,2.8,11102
Upper Burringbar,20.0,72.0,4.0,20.8,75.0,4.2,14015
Burringbar,40.0,250.0,7.0,13.5,84.2,2.4,10713
Hastings Point,72.0,244.0,8.0,22.2,75.3,2.5,11868
Cudgera Creek,11.0,96.0,3.0,10.0,87.3,2.7,11144
Tweed Heads,840.0,2648.0,162.0,23.0,72.5,4.4,13984
Tweed Heads West,632.0,1846.0,101.0,24.5,71.6,3.9,13986
Bilambil Heights,131.0,1034.0,24.0,11.0,87.0,2.0,10348
Cobaki,7.0,52.0,0.0,11.9,88.1,0.0,10947
Bilambil,13.0,119.0,4.0,9.6,87.5,2.9,10347
Carool,9.0,42.0,3.0,16.7,77.8,5.6,10822
Banora Point,1220.0,4972.0,183.0,19.1,78.0,2.9,10185
Terranora,64.0,825.0,19.0,7.0,90.9,2.1,13802
North Tumbulgum,19.0,73.0,3.0,20.0,76.8,3.2,13012
Tweed Heads South,855.0,2288.0,135.0,26.1,69.8,4.1,13985
Griffith (NSW),1524.0,4387.0,248.0,24.7,71.2,4.0,11782
Yoogali,56.0,290.0,5.0,16.0,82.6,1.4,14516
Bilbul,33.0,145.0,3.0,18.2,80.1,1.7,10349
Yenda (NSW),116.0,401.0,20.0,21.6,74.7,3.7,14504
Beelbangera,27.0,108.0,3.0,19.6,78.3,2.2,10251
Myall Park (NSW),9.0,44.0,0.0,17.0,83.0,0.0,12873
Binya,6.0,30.0,0.0,16.7,83.3,0.0,10373
Hillston,144.0,357.0,25.0,27.4,67.9,4.8,11912
Rankins Springs,17.0,51.0,3.0,23.9,71.8,4.2,13316
Whitton,60.0,114.0,7.0,33.1,63.0,3.9,14280
Tharbogang,30.0,104.0,6.0,21.4,74.3,4.3,13811
Hanwood,72.0,310.0,12.0,18.3,78.7,3.0,11850
Coleambally,100.0,346.0,19.0,21.5,74.4,4.1,10964
Darlington Point,126.0,288.0,6.0,30.0,68.6,1.4,11215
Carrathool,18.0,61.0,3.0,22.0,74.4,3.7,10827
Goolgowi,36.0,113.0,5.0,23.4,73.4,3.2,11705
Merriwagga,13.0,30.0,0.0,30.2,69.8,0.0,12586
Nericon,16.0,73.0,5.0,17.0,77.7,5.3,12927
Lake Wyangan,44.0,232.0,6.0,15.6,82.3,2.1,12255
Murrami,19.0,51.0,8.0,24.4,65.4,10.3,12850
Stanbridge,11.0,47.0,3.0,18.0,77.0,4.9,13646
