,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Hillville,15.0,18.0,12.0,14.0,43.0,12.6,15.1,10.1,11.8,36.1,11913
Kimbriki,15.0,4.0,12.0,12.0,18.0,21.7,5.8,17.4,17.4,26.1,12139
Belbora,7.0,11.0,7.0,7.0,19.0,13.0,20.4,13.0,13.0,35.2,10256
Krambach,30.0,14.0,26.0,24.0,49.0,20.4,9.5,17.7,16.3,33.3,12202
Possum Brush,7.0,13.0,10.0,5.0,29.0,10.9,20.3,15.6,7.8,45.3,13251
Dyers Crossing,15.0,14.0,26.0,29.0,51.0,9.7,9.0,16.8,18.7,32.9,11338
Firefly,10.0,11.0,12.0,13.0,42.0,10.6,11.7,12.8,13.8,44.7,11521
Coralville,12.0,4.0,3.0,7.0,14.0,30.0,10.0,7.5,17.5,35.0,11064
Wingham,195.0,236.0,266.0,362.0,629.0,10.4,12.6,14.2,19.4,33.7,14332
Thurgoona,567.0,434.0,505.0,820.0,1755.0,13.2,10.1,11.7,19.1,40.8,13856
East Albury,308.0,271.0,382.0,559.0,1333.0,10.4,9.1,12.8,18.8,44.8,11344
Wirlinga,11.0,9.0,5.0,13.0,29.0,16.4,13.4,7.5,19.4,43.3,14337
North Albury,278.0,266.0,313.0,487.0,900.0,11.6,11.1,13.1,20.4,37.7,12977
Lavington,613.0,522.0,711.0,1027.0,1891.0,12.1,10.3,14.0,20.3,37.3,12287
Glenroy (Albury - NSW),197.0,165.0,226.0,308.0,621.0,12.3,10.3,14.1,19.3,38.8,11678
Hamilton Valley,25.0,29.0,38.0,58.0,133.0,8.7,10.0,13.1,20.1,46.0,11842
Albury,276.0,248.0,296.0,396.0,958.0,12.1,10.9,13.0,17.3,41.9,10027
South Albury,66.0,67.0,89.0,142.0,268.0,9.8,9.9,13.2,21.0,39.7,13573
West Albury,204.0,160.0,192.0,302.0,630.0,13.0,10.2,12.2,19.2,40.1,14239
Splitters Creek,15.0,18.0,22.0,13.0,74.0,10.3,12.4,15.2,9.0,51.0,13610
Jindera,119.0,104.0,144.0,183.0,439.0,11.4,10.0,13.8,17.5,42.0,12032
Holbrook,85.0,77.0,74.0,91.0,287.0,12.8,11.6,11.2,13.7,43.4,11920
Table Top,99.0,76.0,95.0,99.0,342.0,13.1,10.1,12.6,13.1,45.4,13722
Little Billabong,8.0,4.0,3.0,5.0,40.0,12.5,6.2,4.7,7.8,62.5,12350
Gerogery,36.0,31.0,32.0,49.0,127.0,12.5,10.8,11.1,17.0,44.1,11605
Brocklesby,15.0,7.0,5.0,6.0,46.0,18.1,8.4,6.0,7.2,55.4,10584
Walla Walla,38.0,36.0,34.0,44.0,177.0,10.7,10.2,9.6,12.4,50.0,14097
Glenellen,11.0,13.0,15.0,9.0,41.0,11.5,13.5,15.6,9.4,42.7,11663
Burrumbuttock,20.0,18.0,29.0,29.0,84.0,10.5,9.5,15.3,15.3,44.2,10716
Walbundrie,6.0,8.0,10.0,3.0,49.0,7.6,10.1,12.7,3.8,62.0,14092
Morven (Greater Hume Shire - NSW),6.0,7.0,3.0,7.0,35.0,9.4,10.9,4.7,10.9,54.7,12737
Culcairn,79.0,51.0,65.0,75.0,275.0,13.5,8.7,11.1,12.8,46.8,11147
Henty (NSW),63.0,47.0,54.0,67.0,161.0,14.7,11.0,12.6,15.7,37.6,11892
Mullengandra,9.0,9.0,6.0,8.0,32.0,13.4,13.4,9.0,11.9,47.8,12823
Bowna,4.0,5.0,5.0,9.0,31.0,6.5,8.1,8.1,14.5,50.0,10534
Bungowannah,8.0,3.0,7.0,9.0,58.0,8.5,3.2,7.4,9.6,61.7,10686
Woomargama,13.0,7.0,10.0,11.0,36.0,15.7,8.4,12.0,13.3,43.4,14413
Springdale Heights,91.0,79.0,106.0,142.0,285.0,12.1,10.5,14.1,18.9,38.0,13622
Hay (NSW),118.0,88.0,126.0,164.0,452.0,11.6,8.6,12.3,16.1,44.3,11874
Hay South,15.0,18.0,17.0,22.0,96.0,8.2,9.8,9.2,12.0,52.2,11875
Gol Gol,78.0,68.0,77.0,110.0,353.0,10.6,9.3,10.5,15.0,48.1,11693
Buronga,61.0,53.0,61.0,102.0,211.0,11.6,10.1,11.6,19.5,40.3,10696
Wentworth (NSW),52.0,42.0,53.0,78.0,179.0,11.5,9.3,11.7,17.2,39.5,14225
Coomealla,49.0,28.0,37.0,51.0,130.0,15.9,9.1,12.0,16.5,42.1,11041
Dareton,14.0,4.0,17.0,37.0,21.0,13.9,4.0,16.8,36.6,20.8,11206
Curlwaa,23.0,25.0,31.0,37.0,75.0,11.4,12.4,15.3,18.3,37.1,11170
Euston,20.0,41.0,38.0,56.0,173.0,5.7,11.6,10.8,15.9,49.0,11468
Pomona (NSW),3.0,9.0,9.0,7.0,29.0,4.8,14.5,14.5,11.3,46.8,13240
Tooleybuc,18.0,4.0,11.0,15.0,63.0,15.0,3.3,9.2,12.5,52.5,13902
Balranald,59.0,60.0,78.0,103.0,228.0,10.3,10.5,13.7,18.0,39.9,10168
Corowa,247.0,234.0,274.0,330.0,939.0,11.2,10.6,12.4,14.9,42.5,11080
Mulwala,100.0,79.0,103.0,144.0,357.0,11.6,9.2,12.0,16.8,41.6,12830
Balldale,3.0,9.0,6.0,3.0,40.0,4.5,13.4,9.0,4.5,59.7,10159
Rand,9.0,13.0,11.0,3.0,57.0,9.2,13.3,11.2,3.1,58.2,13311
Oaklands,21.0,12.0,10.0,10.0,78.0,15.1,8.6,7.2,7.2,56.1,13059
Howlong,135.0,106.0,120.0,204.0,435.0,12.6,9.9,11.2,19.0,40.5,11950
Urana,11.0,11.0,18.0,16.0,70.0,8.2,8.2,13.4,11.9,52.2,14052
Deniliquin,388.0,324.0,423.0,659.0,1307.0,11.8,9.8,12.8,20.0,39.6,11237
Mayrung,9.0,9.0,8.0,5.0,57.0,9.9,9.9,8.8,5.5,62.6,12537
Mathoura,50.0,23.0,47.0,57.0,167.0,13.3,6.1,12.5,15.1,44.3,12522
Barham,67.0,71.0,76.0,76.0,257.0,11.3,12.0,12.8,12.8,43.4,10199
Wakool,10.0,13.0,16.0,14.0,74.0,7.5,9.8,12.0,10.5,55.6,14090
Moulamein,31.0,21.0,18.0,31.0,98.0,14.6,9.9,8.5,14.6,46.0,12743
Koraleigh,20.0,12.0,21.0,28.0,66.0,12.9,7.7,13.5,18.1,42.6,12195
Conargo,10.0,12.0,3.0,0.0,23.0,18.5,22.2,5.6,0.0,42.6,10998
Murray Downs,17.0,8.0,16.0,19.0,64.0,12.6,5.9,11.9,14.1,47.4,12852
Moama,303.0,256.0,275.0,460.0,1111.0,11.8,10.0,10.7,17.9,43.2,12654
Warragoon,3.0,4.0,8.0,6.0,29.0,5.6,7.4,14.8,11.1,53.7,14159
Blighty,8.0,3.0,11.0,3.0,52.0,9.6,3.6,13.3,3.6,62.7,10412
Barooga,87.0,71.0,102.0,112.0,328.0,11.3,9.2,13.2,14.5,42.4,10205
Tocumwal,136.0,105.0,120.0,122.0,387.0,14.6,11.3,12.9,13.1,41.6,13886
Finley,119.0,96.0,119.0,144.0,455.0,11.7,9.4,11.7,14.1,44.7,11520
Berrigan,56.0,46.0,48.0,60.0,236.0,11.5,9.5,9.9,12.4,48.7,10318
Jerilderie,40.0,44.0,46.0,70.0,196.0,9.4,10.3,10.8,16.4,46.0,12014
Armidale,1426.0,978.0,1165.0,2093.0,3391.0,14.8,10.1,12.1,21.7,35.1,10085
Guyra,83.0,90.0,99.0,159.0,321.0,10.4,11.2,12.4,19.9,40.1,11822
South Guyra,22.0,23.0,17.0,43.0,44.0,14.5,15.1,11.2,28.3,28.9,13586
Llangothlin,8.0,0.0,3.0,7.0,36.0,14.0,0.0,5.3,12.3,63.2,12364
Ben Lomond (NSW),6.0,4.0,3.0,6.0,40.0,9.7,6.5,4.8,9.7,64.5,10286
Black Mountain (NSW),16.0,10.0,16.0,16.0,68.0,11.7,7.3,11.7,11.7,49.6,10387
Thalgarrah,13.0,11.0,3.0,15.0,48.0,13.8,11.7,3.2,16.0,51.1,13810
Hillgrove (Armidale Regional - NSW),3.0,6.0,3.0,14.0,44.0,4.1,8.1,4.1,18.9,59.5,11907
Ebor,9.0,10.0,7.0,3.0,44.0,12.3,13.7,9.6,4.1,60.3,11372
Uralla (NSW),155.0,133.0,143.0,262.0,383.0,13.7,11.7,12.6,23.1,33.8,14051
Saumarez Ponds,31.0,26.0,33.0,48.0,89.0,12.9,10.8,13.7,19.9,36.9,13495
Invergowrie,41.0,42.0,43.0,77.0,121.0,11.8,12.1,12.4,22.1,34.8,11983
Arding,13.0,9.0,12.0,10.0,40.0,14.6,10.1,13.5,11.2,44.9,10075
Castle Doyle,15.0,11.0,12.0,12.0,44.0,15.5,11.3,12.4,12.4,45.4,10846
Dangarsleigh,9.0,15.0,9.0,12.0,42.0,10.3,17.2,10.3,13.8,48.3,11200
Kellys Plains,12.0,9.0,14.0,15.0,27.0,14.1,10.6,16.5,17.6,31.8,12087
Yarrowyck,9.0,5.0,8.0,9.0,26.0,15.8,8.8,14.0,15.8,45.6,14492
Kentucky,7.0,7.0,8.0,9.0,51.0,8.5,8.5,9.8,11.0,62.2,12102
Kentucky South,4.0,3.0,9.0,8.0,29.0,7.1,5.4,16.1,14.3,51.8,12103
Balala,7.0,4.0,4.0,4.0,26.0,14.3,8.2,8.2,8.2,53.1,10144
Rocky River (Uralla - NSW),9.0,17.0,12.0,27.0,45.0,7.8,14.7,10.3,23.3,38.8,13390
Walcha,121.0,102.0,142.0,141.0,579.0,10.6,8.9,12.4,12.3,50.5,14093
Woolbrook,8.0,3.0,5.0,7.0,45.0,11.8,4.4,7.4,10.3,66.2,14400
Nowendoc,8.0,5.0,7.0,11.0,34.0,10.8,6.8,9.5,14.9,45.9,13026
Yarrowitch,5.0,3.0,14.0,0.0,44.0,7.2,4.3,20.3,0.0,63.8,14491
Stonehenge (NSW),6.0,4.0,6.0,15.0,36.0,9.0,6.0,9.0,22.4,53.7,13665
Glen Innes,299.0,247.0,292.0,446.0,765.0,13.7,11.3,13.3,20.4,34.9,11649
Emmaville,17.0,19.0,25.0,22.0,72.0,10.0,11.2,14.7,12.9,42.4,11414
Deepwater (NSW),11.0,11.0,12.0,16.0,66.0,8.9,8.9,9.8,13.0,53.7,11231
Dundee,13.0,5.0,5.0,7.0,42.0,16.7,6.4,6.4,9.0,53.8,11314
Red Range,8.0,11.0,12.0,3.0,43.0,9.6,13.3,14.5,3.6,51.8,13333
Shannon Vale,3.0,13.0,9.0,11.0,38.0,3.8,16.2,11.2,13.8,47.5,13526
Glencoe (NSW),7.0,6.0,11.0,8.0,35.0,9.2,7.9,14.5,10.5,46.1,11657
Inverell,520.0,436.0,643.0,1033.0,1608.0,11.5,9.6,14.2,22.8,35.4,11981
Ashford (NSW),33.0,21.0,30.0,27.0,77.0,16.7,10.6,15.2,13.6,38.9,10099
Tingha,30.0,25.0,35.0,56.0,58.0,13.3,11.1,15.6,24.9,25.8,13874
Yetman,8.0,4.0,3.0,3.0,46.0,11.6,5.8,4.3,4.3,66.7,14514
Bundarra,29.0,18.0,35.0,26.0,104.0,12.7,7.9,15.3,11.4,45.4,10671
Gilgai,46.0,29.0,41.0,62.0,86.0,16.0,10.1,14.2,21.5,29.9,11618
Bonshaw (NSW),3.0,3.0,3.0,4.0,31.0,6.8,6.8,6.8,9.1,70.5,10473
Coolatai,4.0,4.0,4.0,3.0,39.0,6.9,6.9,6.9,5.2,67.2,11028
Bukkulla,12.0,0.0,4.0,8.0,38.0,18.5,0.0,6.2,12.3,58.5,10648
Oakwood (NSW),8.0,6.0,9.0,10.0,40.0,11.0,8.2,12.3,13.7,54.8,13061
Nullamanna,11.0,3.0,10.0,11.0,33.0,14.1,3.8,12.8,14.1,42.3,13032
Elsmore,5.0,3.0,12.0,14.0,20.0,8.8,5.3,21.1,24.6,35.1,11408
Bingara,59.0,41.0,63.0,78.0,163.0,13.5,9.4,14.4,17.8,37.3,10365
Gravesend,14.0,14.0,15.0,26.0,90.0,8.1,8.1,8.7,15.0,52.0,11742
Auburn Vale,3.0,5.0,7.0,12.0,29.0,4.7,7.8,10.9,18.8,45.3,10107
Gum Flat,11.0,9.0,11.0,16.0,56.0,10.4,8.5,10.4,15.1,52.8,11796
Delungra,23.0,16.0,35.0,25.0,131.0,9.2,6.4,14.0,10.0,52.4,11234
Warialda,59.0,61.0,75.0,99.0,246.0,10.3,10.6,13.0,17.2,42.8,14149
Yallaroi,0.0,3.0,6.0,4.0,50.0,0.0,4.5,9.1,6.1,75.8,14456
Warialda Rail,6.0,3.0,9.0,8.0,15.0,14.6,7.3,22.0,19.5,36.6,14150
Upper Horton,4.0,7.0,3.0,3.0,39.0,6.7,11.7,5.0,5.0,65.0,14029
Tabulam,7.0,19.0,21.0,16.0,66.0,5.1,14.0,15.4,11.8,48.5,13723
Tenterfield,199.0,158.0,185.0,238.0,567.0,13.6,10.8,12.7,16.3,38.9,13792
Drake,14.0,10.0,12.0,6.0,27.0,19.2,13.7,16.4,8.2,37.0,11290
Liston,3.0,3.0,11.0,3.0,29.0,5.8,5.8,21.2,5.8,55.8,12346
Legume,14.0,3.0,3.0,4.0,44.0,20.6,4.4,4.4,5.9,64.7,12296
Urbenville,12.0,10.0,10.0,11.0,34.0,14.5,12.0,12.0,13.3,41.0,14057
Woodenbong,22.0,19.0,18.0,23.0,58.0,14.7,12.7,12.0,15.3,38.7,14382
Jennings,0.0,4.0,8.0,4.0,11.0,0.0,14.8,29.6,14.8,40.7,12008
Moree,315.0,295.0,381.0,774.0,1898.0,8.0,7.5,9.7,19.8,48.5,12722
Pallamallawa,12.0,7.0,20.0,37.0,100.0,6.2,3.6,10.3,19.1,51.5,13131
Garah,8.0,9.0,11.0,13.0,104.0,4.9,5.5,6.7,8.0,63.8,11586
Boomi,8.0,3.0,10.0,7.0,70.0,7.7,2.9,9.6,6.7,67.3,10489
Ashley,16.0,11.0,12.0,25.0,98.0,9.2,6.3,6.9,14.4,56.3,10100
Boggabilla,22.0,22.0,37.0,41.0,115.0,8.7,8.7,14.6,16.1,45.3,10441
North Star,6.0,8.0,12.0,9.0,70.0,5.4,7.1,10.7,8.0,62.5,13008
Mungindi (NSW),16.0,13.0,36.0,27.0,130.0,6.8,5.5,15.2,11.4,54.9,12843
Gurley,15.0,7.0,13.0,20.0,72.0,11.2,5.2,9.7,14.9,53.7,11817
Biniguy,5.0,4.0,11.0,5.0,40.0,7.7,6.2,16.9,7.7,61.5,10369
Bellata,20.0,7.0,16.0,12.0,87.0,13.3,4.7,10.7,8.0,58.0,10266
Narrabri,353.0,294.0,367.0,681.0,1499.0,10.4,8.6,10.8,20.0,44.0,12903
Wee Waa,81.0,65.0,99.0,109.0,394.0,10.0,8.1,12.3,13.5,48.9,14211
Merah North,4.0,9.0,13.0,8.0,61.0,3.8,8.5,12.3,7.5,57.5,12572
Maules Creek,6.0,5.0,3.0,6.0,38.0,10.3,8.6,5.2,10.3,65.5,12526
Baan Baa,5.0,13.0,5.0,9.0,39.0,7.0,18.3,7.0,12.7,54.9,10120
Tarriaro,7.0,3.0,3.0,3.0,37.0,12.5,5.4,5.4,5.4,66.1,13770
Bohena Creek,8.0,11.0,10.0,13.0,42.0,9.0,12.4,11.2,14.6,47.2,10444
Jacks Creek,6.0,9.0,12.0,14.0,20.0,9.4,14.1,18.8,21.9,31.2,11993
Gwabegar,8.0,3.0,0.0,13.0,22.0,16.3,6.1,0.0,26.5,44.9,11823
Gunnedah,454.0,358.0,456.0,701.0,1961.0,10.9,8.6,10.9,16.8,47.0,11812
Curlewis (NSW),38.0,21.0,50.0,51.0,164.0,11.1,6.1,14.6,14.9,47.8,11169
Boggabri,44.0,27.0,50.0,48.0,243.0,9.9,6.1,11.3,10.8,54.7,10442
Carroll,15.0,11.0,10.0,16.0,66.0,12.0,8.8,8.0,12.8,52.8,10832
Piallaway,5.0,5.0,5.0,11.0,49.0,6.4,6.4,6.4,14.1,62.8,13196
Breeza,12.0,7.0,5.0,10.0,45.0,14.6,8.5,6.1,12.2,54.9,10561
Caroona,9.0,8.0,13.0,7.0,36.0,11.8,10.5,17.1,9.2,47.4,10823
Spring Ridge,6.0,12.0,13.0,12.0,82.0,4.4,8.8,9.6,8.8,60.3,13619
Emerald Hill,4.0,5.0,8.0,3.0,33.0,7.0,8.8,14.0,5.3,57.9,11412
Mullaley,7.0,6.0,9.0,9.0,41.0,9.7,8.3,12.5,12.5,56.9,12820
Kelvin,9.0,9.0,15.0,4.0,44.0,10.6,10.6,17.6,4.7,51.8,12091
Werris Creek,54.0,47.0,70.0,104.0,157.0,11.5,10.0,14.9,22.2,33.5,14238
Quirindi,134.0,120.0,168.0,262.0,591.0,9.9,8.8,12.4,19.3,43.6,13301
Wallabadah,20.0,13.0,16.0,28.0,80.0,11.4,7.4,9.1,16.0,45.7,14098
Currabubula,8.0,12.0,24.0,19.0,75.0,5.1,7.7,15.4,12.2,48.1,11172
Quipolly,18.0,10.0,8.0,8.0,48.0,18.4,10.2,8.2,8.2,49.0,13300
Willow Tree,14.0,6.0,9.0,10.0,53.0,14.4,6.2,9.3,10.3,54.6,14305
Blackville,3.0,4.0,4.0,0.0,29.0,7.5,10.0,10.0,0.0,72.5,10398
Hillvue,339.0,278.0,367.0,666.0,1331.0,10.8,8.9,11.7,21.2,42.4,11914
Calala,183.0,151.0,223.0,396.0,811.0,9.8,8.1,11.9,21.2,43.4,10748
Kingswood (Tamworth Regional - NSW),59.0,44.0,58.0,82.0,239.0,11.5,8.6,11.4,16.0,46.8,12164
South Tamworth,267.0,213.0,318.0,597.0,908.0,10.9,8.7,13.0,24.4,37.1,13597
West Tamworth,218.0,178.0,226.0,408.0,676.0,12.1,9.9,12.6,22.7,37.6,14252
North Tamworth,188.0,200.0,231.0,445.0,965.0,8.7,9.2,10.7,20.5,44.6,13011
Tamworth,10.0,6.0,11.0,9.0,38.0,11.9,7.1,13.1,10.7,45.2,13746
East Tamworth,267.0,244.0,260.0,501.0,1142.0,10.5,9.6,10.2,19.7,45.0,11363
Oxley Vale,151.0,144.0,173.0,336.0,650.0,9.8,9.4,11.2,21.8,42.3,13111
Nemingha,34.0,37.0,32.0,77.0,142.0,9.6,10.5,9.1,21.8,40.2,12926
Westdale (Tamworth Regional - NSW),115.0,101.0,135.0,274.0,573.0,9.1,8.0,10.7,21.7,45.4,14259
Kootingal,100.0,89.0,118.0,214.0,392.0,10.3,9.2,12.1,22.0,40.3,12194
Duri,29.0,17.0,39.0,41.0,136.0,10.6,6.2,14.3,15.0,49.8,11332
Bithramere,7.0,12.0,8.0,23.0,39.0,7.4,12.6,8.4,24.2,41.1,10381
Winton (NSW),13.0,14.0,19.0,13.0,63.0,10.1,10.9,14.7,10.1,48.8,14336
Rushes Creek,3.0,0.0,0.0,5.0,29.0,7.5,0.0,0.0,12.5,72.5,13445
Somerton (NSW),13.0,11.0,20.0,17.0,76.0,9.3,7.9,14.3,12.1,54.3,13572
Bective,4.0,13.0,7.0,3.0,66.0,4.0,12.9,6.9,3.0,65.3,10245
Attunga,20.0,21.0,37.0,41.0,130.0,7.5,7.9,13.9,15.4,48.9,10105
Garthowen,13.0,10.0,6.0,10.0,36.0,15.3,11.8,7.1,11.8,42.4,11593
Limbri,10.0,8.0,9.0,3.0,15.0,22.2,17.8,20.0,6.7,33.3,12327
Tintinhull,27.0,19.0,21.0,38.0,64.0,15.0,10.6,11.7,21.1,35.6,13879
Loomberah,31.0,23.0,29.0,39.0,152.0,10.7,7.9,10.0,13.4,52.4,12386
Moonbi,35.0,50.0,53.0,89.0,174.0,8.2,11.7,12.4,20.8,40.7,12699
Bendemeer,29.0,18.0,23.0,49.0,91.0,13.6,8.4,10.7,22.9,42.5,10289
Watsons Creek (NSW),10.0,0.0,9.0,0.0,20.0,25.6,0.0,23.1,0.0,51.3,14188
Halls Creek (NSW),8.0,3.0,6.0,4.0,38.0,12.3,4.6,9.2,6.2,58.5,11834
Barraba,42.0,53.0,42.0,52.0,193.0,10.2,12.8,10.2,12.6,46.7,10206
Upper Manilla,4.0,0.0,5.0,9.0,39.0,6.7,0.0,8.3,15.0,65.0,14037
Manilla,92.0,75.0,113.0,157.0,312.0,11.6,9.5,14.2,19.8,39.3,12474
Daruka,39.0,45.0,49.0,81.0,208.0,8.6,9.9,10.8,17.8,45.8,11218
Moore Creek,133.0,123.0,125.0,253.0,522.0,10.9,10.1,10.2,20.7,42.8,12710
Hallsville,23.0,28.0,23.0,59.0,115.0,8.8,10.7,8.8,22.5,43.9,11835
Nundle,31.0,18.0,20.0,13.0,76.0,18.8,10.9,12.1,7.9,46.1,13043
Ogunbil,10.0,6.0,11.0,11.0,32.0,13.7,8.2,15.1,15.1,43.8,13071
Dungowan,15.0,13.0,15.0,35.0,106.0,7.8,6.7,7.8,18.1,54.9,11321
Piallamore,14.0,10.0,12.0,27.0,60.0,11.1,7.9,9.5,21.4,47.6,13195
Woolomin,11.0,13.0,6.0,17.0,47.0,11.3,13.4,6.2,17.5,48.5,14408
Warral,19.0,17.0,22.0,34.0,88.0,9.9,8.9,11.5,17.7,45.8,14163
Timbumburi,13.0,12.0,11.0,8.0,43.0,14.3,13.2,12.1,8.8,47.3,13870
Windale,116.0,95.0,108.0,133.0,249.0,15.5,12.7,14.4,17.8,33.3,14315
Jewells,135.0,146.0,117.0,198.0,464.0,12.1,13.1,10.5,17.7,41.6,12024
Belmont North,341.0,310.0,312.0,550.0,1140.0,12.2,11.1,11.2,19.7,40.9,10277
Belmont (NSW),372.0,303.0,355.0,495.0,1176.0,13.1,10.7,12.5,17.4,41.4,10276
Floraville,118.0,118.0,93.0,156.0,370.0,13.1,13.1,10.3,17.3,41.1,11535
Blacksmiths,77.0,79.0,81.0,148.0,308.0,10.5,10.7,11.0,20.1,41.8,10396
Pelican (NSW),54.0,43.0,48.0,63.0,130.0,14.5,11.5,12.9,16.9,34.9,13178
Marks Point,96.0,98.0,98.0,127.0,258.0,13.6,13.8,13.8,17.9,36.4,12492
Belmont South,45.0,50.0,62.0,81.0,158.0,10.7,11.9,14.7,19.2,37.5,10278
Kahibah,131.0,158.0,127.0,215.0,478.0,11.2,13.5,10.9,18.4,41.0,12048
Charlestown (NSW),745.0,716.0,729.0,1163.0,2532.0,12.0,11.5,11.7,18.7,40.7,10885
Whitebridge,168.0,155.0,167.0,205.0,495.0,13.5,12.4,13.4,16.5,39.7,14276
Gateshead,111.0,120.0,140.0,246.0,414.0,10.3,11.1,13.0,22.8,38.4,11594
Dudley,157.0,127.0,137.0,156.0,489.0,14.0,11.3,12.2,13.9,43.7,11300
Highfields (NSW),47.0,48.0,52.0,75.0,173.0,11.0,11.2,12.1,17.5,40.4,11902
Garden Suburb,120.0,123.0,93.0,166.0,368.0,13.2,13.5,10.2,18.2,40.4,11587
Cardiff (NSW),287.0,281.0,330.0,603.0,1013.0,10.9,10.6,12.5,22.8,38.4,10809
Hillsborough (Lake Macquarie - NSW),35.0,48.0,31.0,67.0,118.0,11.3,15.5,10.0,21.7,38.2,11909
Warners Bay,416.0,392.0,386.0,639.0,1310.0,12.6,11.9,11.7,19.4,39.7,14153
Argenton,68.0,50.0,55.0,96.0,184.0,14.1,10.4,11.4,19.9,38.1,10078
Glendale (NSW),145.0,125.0,159.0,299.0,511.0,11.1,9.6,12.2,22.9,39.2,11658
Elermore Vale,282.0,270.0,305.0,480.0,910.0,11.9,11.4,12.9,20.3,38.4,11394
Macquarie Hills,188.0,163.0,212.0,325.0,748.0,10.9,9.4,12.3,18.8,43.3,12434
Kotara,213.0,226.0,249.0,364.0,753.0,11.3,12.0,13.2,19.3,40.0,12200
Cardiff Heights,77.0,68.0,68.0,115.0,280.0,12.0,10.6,10.6,17.9,43.6,10810
Cardiff South,138.0,136.0,185.0,302.0,537.0,10.1,10.0,13.6,22.2,39.4,10811
New Lambton Heights,157.0,152.0,181.0,178.0,501.0,12.7,12.3,14.6,14.4,40.5,12943
Rankin Park,149.0,130.0,113.0,201.0,501.0,12.8,11.2,9.7,17.3,43.2,13315
Tingira Heights,122.0,129.0,129.0,198.0,413.0,11.6,12.2,12.2,18.8,39.2,13875
Mount Hutton (NSW),164.0,182.0,202.0,289.0,589.0,11.0,12.2,13.5,19.3,39.4,12766
Eleebana,400.0,358.0,291.0,465.0,1120.0,14.5,13.0,10.5,16.8,40.5,11393
Redhead,196.0,202.0,194.0,258.0,590.0,13.0,13.4,12.8,17.1,39.0,13340
Caves Beach,269.0,212.0,221.0,298.0,642.0,15.4,12.1,12.6,17.0,36.7,10862
Nords Wharf,61.0,47.0,48.0,56.0,177.0,14.6,11.2,11.5,13.4,42.3,12975
Swansea (NSW),195.0,198.0,225.0,347.0,675.0,11.0,11.2,12.7,19.6,38.2,13711
Swansea Heads,38.0,28.0,43.0,44.0,112.0,13.9,10.2,15.7,16.1,40.9,13712
Catherine Hill Bay,4.0,4.0,10.0,13.0,23.0,7.0,7.0,17.5,22.8,40.4,10857
Cams Wharf,7.0,15.0,10.0,6.0,28.0,10.6,22.7,15.2,9.1,42.4,10784
Murrays Beach,35.0,24.0,31.0,58.0,116.0,12.7,8.7,11.2,21.0,42.0,12854
Valentine,377.0,338.0,286.0,460.0,1025.0,14.4,13.0,11.0,17.6,39.3,14065
Croudace Bay,30.0,36.0,25.0,39.0,104.0,12.4,14.9,10.3,16.1,43.0,11128
Speers Point,197.0,148.0,199.0,294.0,596.0,12.9,9.7,13.0,19.2,39.0,13605
Lakelands (NSW),104.0,85.0,91.0,140.0,306.0,13.6,11.1,11.9,18.3,40.1,12256
Boolaroo,62.0,39.0,63.0,115.0,191.0,12.4,7.8,12.6,23.0,38.1,10482
Booragul,57.0,54.0,53.0,81.0,165.0,13.1,12.4,12.2,18.7,38.0,10495
Fennell Bay,85.0,72.0,75.0,124.0,258.0,13.1,11.1,11.6,19.2,39.9,11500
Marmong Point,39.0,35.0,45.0,70.0,169.0,10.5,9.4,12.1,18.8,45.3,12498
Woodrising,69.0,46.0,77.0,118.0,204.0,12.7,8.5,14.2,21.8,37.6,14391
Bolton Point,91.0,78.0,91.0,128.0,263.0,13.0,11.2,13.0,18.3,37.6,10449
Teralba,82.0,61.0,69.0,110.0,271.0,13.0,9.7,10.9,17.4,42.9,13793
Fassifern (NSW),35.0,38.0,30.0,51.0,95.0,12.7,13.8,10.9,18.5,34.5,11495
Balcolyn,51.0,37.0,53.0,70.0,149.0,13.4,9.7,13.9,18.3,39.0,10145
Yarrawonga Park,19.0,12.0,19.0,34.0,74.0,11.3,7.1,11.3,20.2,44.0,14487
Mirrabooka (NSW),43.0,40.0,32.0,58.0,130.0,13.5,12.5,10.0,18.2,40.8,12647
Sunshine (NSW),21.0,24.0,21.0,33.0,45.0,13.8,15.8,13.8,21.7,29.6,13694
Silverwater (Lake Macquarie - NSW),17.0,19.0,20.0,9.0,48.0,14.4,16.1,16.9,7.6,40.7,13546
Bonnells Bay,149.0,172.0,174.0,295.0,593.0,10.1,11.6,11.8,20.0,40.1,10468
Brightwaters,45.0,49.0,36.0,69.0,159.0,12.2,13.2,9.7,18.6,43.0,10570
Morisset Park,37.0,39.0,40.0,73.0,117.0,11.5,12.1,12.4,22.6,36.2,12724
Windermere Park,41.0,38.0,37.0,57.0,98.0,14.4,13.3,13.0,20.0,34.4,14321
Edgeworth,282.0,292.0,341.0,585.0,992.0,10.7,11.1,12.9,22.1,37.5,11381
Cameron Park,411.0,378.0,453.0,899.0,1721.0,10.1,9.3,11.2,22.1,42.4,10775
Cooranbong,258.0,257.0,248.0,428.0,823.0,12.1,12.0,11.6,20.0,38.5,11052
