,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Arcadia (NSW),103.0,98.0,67.0,75.0,360.0,14.2,13.6,9.3,10.4,49.8,10072
Fiddletown,21.0,11.0,14.0,25.0,53.0,16.3,8.5,10.9,19.4,41.1,11513
Berowra Waters,0.0,0.0,3.0,9.0,10.0,0.0,0.0,13.6,40.9,45.5,10311
Berrilee,9.0,11.0,8.0,14.0,65.0,8.2,10.0,7.3,12.7,59.1,10319
Bilpin,43.0,26.0,28.0,58.0,137.0,14.1,8.5,9.2,19.0,44.9,10358
Colo Heights,15.0,16.0,22.0,22.0,49.0,11.5,12.3,16.9,16.9,37.7,10984
Lower Macdonald,11.0,15.0,17.0,18.0,64.0,8.4,11.5,13.0,13.7,48.9,12408
Cumberland Reach,7.0,7.0,11.0,21.0,48.0,6.6,6.6,10.4,19.8,45.3,11156
St Albans (NSW),12.0,13.0,6.0,9.0,15.0,19.4,21.0,9.7,14.5,24.2,13630
Bowen Mountain,98.0,83.0,77.0,143.0,378.0,12.1,10.2,9.5,17.6,46.5,10528
Grose Vale,65.0,72.0,63.0,104.0,347.0,9.7,10.7,9.4,15.5,51.6,11785
Grose Wold,49.0,38.0,19.0,34.0,164.0,15.2,11.8,5.9,10.6,50.9,11786
Kurrajong,160.0,180.0,161.0,225.0,794.0,10.0,11.2,10.0,14.0,49.5,12218
Kurrajong Hills,42.0,38.0,37.0,57.0,166.0,11.7,10.6,10.3,15.8,46.1,12220
Kurrajong Heights,83.0,74.0,73.0,115.0,321.0,12.0,10.7,10.5,16.6,46.4,12219
Kurmond,39.0,51.0,54.0,58.0,190.0,9.4,12.3,13.1,14.0,46.0,12215
The Slopes,14.0,13.0,30.0,20.0,85.0,8.4,7.8,18.0,12.0,50.9,13842
East Kurrajong,109.0,105.0,116.0,190.0,563.0,9.7,9.3,10.3,16.9,50.1,11356
Wilberforce (NSW),152.0,156.0,161.0,248.0,780.0,9.6,9.8,10.1,15.6,49.1,14288
Freemans Reach,90.0,89.0,100.0,165.0,550.0,8.6,8.5,9.6,15.8,52.8,11564
Sackville,21.0,11.0,18.0,25.0,74.0,13.8,7.2,11.8,16.4,48.7,13458
Ebenezer (NSW),61.0,54.0,39.0,79.0,252.0,12.0,10.6,7.7,15.6,49.6,11371
Glossodia,148.0,134.0,144.0,256.0,741.0,9.7,8.8,9.4,16.8,48.6,11684
Blaxlands Ridge,22.0,22.0,25.0,40.0,121.0,8.3,8.3,9.5,15.2,45.8,10409
Tennyson (NSW),24.0,17.0,13.0,32.0,112.0,11.7,8.3,6.3,15.6,54.6,13789
Vineyard,64.0,44.0,52.0,71.0,237.0,12.9,8.9,10.5,14.3,47.7,14076
McGraths Hill,133.0,110.0,157.0,229.0,722.0,9.4,7.8,11.1,16.2,51.1,12542
Maraylya,74.0,71.0,69.0,91.0,320.0,11.5,11.0,10.7,14.2,49.8,12484
Oakville,114.0,100.0,112.0,149.0,520.0,11.1,9.7,10.9,14.5,50.7,13060
Pitt Town,126.0,170.0,178.0,254.0,833.0,7.7,10.4,10.9,15.6,51.2,13226
Pitt Town Bottoms,8.0,4.0,3.0,13.0,23.0,14.8,7.4,5.6,24.1,42.6,13227
Rouse Hill,452.0,380.0,402.0,773.0,2023.0,10.8,9.0,9.6,18.4,48.2,13429
Beaumont Hills,475.0,456.0,439.0,798.0,2373.0,10.1,9.7,9.3,16.9,50.3,10243
Nelson (The Hills Shire - NSW),39.0,22.0,19.0,30.0,115.0,16.4,9.2,8.0,12.6,48.3,12922
Box Hill (NSW),50.0,48.0,48.0,80.0,189.0,11.7,11.2,11.2,18.6,44.1,10539
Blacktown,1766.0,2068.0,2000.0,5815.0,8124.0,8.4,9.9,9.6,27.8,38.8,10397
Kings Park (NSW),155.0,142.0,189.0,375.0,843.0,8.6,7.9,10.5,20.8,46.8,12150
