,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%)
Mount Warrigal,2621.0,1070.0,553.0,450.0,70.3,28.7,14.8,12.1
Narara,4649.0,2008.0,739.0,1094.0,75.4,32.6,12.0,17.7
Narellan,2018.0,912.0,301.0,406.0,72.9,33.0,10.9,14.7
Narellan Vale,4027.0,2066.0,616.0,691.0,76.0,39.0,11.6,13.0
Naremburn,3560.0,1392.0,431.0,857.0,80.8,31.6,9.8,19.5
Narrabeen,4431.0,1399.0,579.0,1069.0,67.4,21.3,8.8,16.3
Narraweena,3416.0,1466.0,605.0,746.0,69.0,29.6,12.2,15.1
Narwee,2406.0,1021.0,425.0,438.0,58.8,24.9,10.4,10.7
Neutral Bay,6440.0,1532.0,660.0,1614.0,76.3,18.1,7.8,19.1
New Lambton,5915.0,2455.0,956.0,1315.0,75.7,31.4,12.2,16.8
New Lambton Heights,1403.0,582.0,212.0,343.0,80.5,33.4,12.2,19.7
Newcastle,1638.0,376.0,181.0,440.0,73.5,16.9,8.1,19.7
Newcastle East,630.0,178.0,87.0,194.0,70.9,20.0,9.8,21.8
Newcastle West,362.0,84.0,43.0,74.0,67.9,15.7,8.1,13.9
Newington (NSW),3039.0,1369.0,394.0,632.0,73.6,33.2,9.5,15.3
Newport (NSW),5645.0,2250.0,866.0,1504.0,77.2,30.8,11.9,20.6
Newtown (NSW),9597.0,2139.0,967.0,2560.0,75.0,16.7,7.6,20.0
Niagara Park,1681.0,805.0,237.0,373.0,77.4,37.0,10.9,17.2
Norah Head,690.0,229.0,144.0,204.0,73.0,24.3,15.2,21.6
Noraville,1525.0,604.0,270.0,335.0,68.8,27.2,12.2,15.1
Normanhurst,3039.0,1258.0,469.0,1089.0,75.0,31.0,11.6,26.8
North Avoca,1241.0,447.0,190.0,343.0,78.3,28.2,12.0,21.6
North Balgowlah,2005.0,1055.0,286.0,610.0,81.2,42.7,11.6,24.7
North Bondi,4941.0,1958.0,632.0,1319.0,71.2,28.2,9.1,19.0
North Curl Curl,2092.0,975.0,299.0,595.0,78.4,36.5,11.2,22.3
North Epping,2756.0,1154.0,394.0,984.0,79.7,33.3,11.4,28.4
North Gosford,2024.0,791.0,317.0,468.0,71.3,27.9,11.2,16.5
North Lambton,1830.0,637.0,319.0,451.0,69.5,24.2,12.1,17.1
North Manly,1586.0,789.0,228.0,386.0,75.5,37.6,10.9,18.4
North Narrabeen,3391.0,1535.0,524.0,848.0,78.7,35.6,12.2,19.7
North Parramatta,6408.0,2325.0,978.0,1386.0,61.0,22.1,9.3,13.2
North Rocks,4682.0,2030.0,742.0,1333.0,76.4,33.1,12.1,21.8
North Ryde,5661.0,2324.0,941.0,1383.0,68.7,28.2,11.4,16.8
North St Marys,1662.0,720.0,318.0,262.0,58.3,25.2,11.2,9.2
North Strathfield,2354.0,867.0,291.0,488.0,64.1,23.6,7.9,13.3
North Sydney,3982.0,974.0,435.0,1042.0,70.5,17.3,7.7,18.5
North Turramurra,2370.0,876.0,405.0,784.0,71.1,26.3,12.2,23.5
North Wahroonga,1217.0,501.0,209.0,378.0,80.7,33.2,13.8,25.1
North Willoughby,2331.0,958.0,294.0,590.0,76.1,31.2,9.6,19.2
North Wollongong,1393.0,269.0,157.0,446.0,64.8,12.5,7.3,20.8
Northbridge (NSW),3597.0,1571.0,514.0,1275.0,79.6,34.7,11.4,28.2
Northmead,6149.0,2426.0,961.0,1495.0,73.6,29.0,11.5,17.9
Northwood (NSW),562.0,259.0,79.0,211.0,78.4,36.2,11.0,29.5
Oak Flats,3693.0,1621.0,788.0,760.0,72.1,31.6,15.4,14.8
Oakhurst (NSW),3311.0,1667.0,528.0,487.0,64.4,32.4,10.3,9.5
Oatlands (NSW),2987.0,1215.0,573.0,856.0,69.2,28.2,13.3,19.8
Oatley,6302.0,2424.0,1104.0,1830.0,76.7,29.5,13.4,22.3
Old Guildford,983.0,503.0,290.0,119.0,52.0,26.6,15.3,6.3
Old Toongabbie,1589.0,668.0,247.0,384.0,75.6,31.8,11.8,18.3
Ourimbah,2542.0,1121.0,405.0,662.0,78.2,34.5,12.5,20.4
Oxley Park,1446.0,698.0,241.0,216.0,63.2,30.5,10.5,9.4
Oyster Bay,3280.0,1449.0,515.0,749.0,78.9,34.9,12.4,18.0
