,People,Male,Female,Median age,Families,Average children per family,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Mount Saint Thomas,1422.0,675.0,747.0,35.0,380.0,1.9,572.0,2.6,1173.0,1975.0,188.0,1.5
Mount Warrigal,4543.0,2211.0,2332.0,41.0,1386.0,1.9,1785.0,2.7,1019.0,1863.0,250.0,1.8
Narara,7767.0,3793.0,3974.0,37.0,2182.0,1.9,2905.0,2.8,1294.0,1794.0,290.0,1.7
Narellan,3492.0,1711.0,1781.0,35.0,970.0,1.9,1304.0,2.8,1373.0,2000.0,300.0,1.9
Narellan Vale,7250.0,3540.0,3710.0,32.0,2009.0,2.0,2347.0,3.2,1768.0,2167.0,380.0,2.1
Naremburn,5474.0,2644.0,2830.0,36.0,1540.0,1.6,2483.0,2.4,2524.0,3000.0,540.0,1.4
Narrabeen,7474.0,3597.0,3877.0,42.0,1808.0,1.6,3788.0,2.0,1331.0,2500.0,425.0,1.4
Narraweena,6143.0,2927.0,3216.0,42.0,1631.0,1.9,2380.0,2.7,1224.0,2817.0,185.0,1.5
Narwee,4956.0,2374.0,2582.0,39.0,1273.0,1.7,1923.0,2.6,1013.0,2167.0,265.0,1.3
Neutral Bay,9384.0,4421.0,4963.0,35.0,2340.0,1.5,5416.0,1.9,2073.0,2557.0,462.0,1.1
New Lambton,9758.0,4708.0,5050.0,39.0,2551.0,1.8,4351.0,2.4,1206.0,1814.0,280.0,1.5
New Lambton Heights,2155.0,1069.0,1086.0,41.0,621.0,1.9,799.0,2.9,2120.0,2167.0,370.0,2.1
Newcastle,2384.0,1251.0,1133.0,34.0,524.0,1.5,1567.0,1.9,1750.0,2249.0,400.0,1.3
Newcastle East,991.0,504.0,487.0,41.0,208.0,1.5,633.0,2.0,1168.0,2375.0,280.0,1.2
Newcastle West,594.0,319.0,275.0,31.0,114.0,1.5,412.0,1.7,1200.0,1950.0,346.0,1.3
Newington,1888.0,945.0,943.0,34.0,443.0,1.9,793.0,2.3,1071.0,1291.0,220.0,1.6
Newport,3184.0,1593.0,1591.0,47.0,990.0,1.8,1257.0,2.7,1847.0,2167.0,400.0,2.2
Newtown,9565.0,4445.0,5120.0,33.0,2480.0,1.8,4460.0,2.2,894.0,1354.0,222.0,1.5
Niagara Park,2815.0,1396.0,1419.0,36.0,763.0,1.9,1071.0,2.7,1231.0,1733.0,290.0,1.7
Norah Head,1086.0,527.0,559.0,49.0,303.0,1.8,516.0,2.6,1062.0,2000.0,230.0,1.9
Noraville,2698.0,1321.0,1377.0,43.0,725.0,1.8,1262.0,2.4,902.0,1733.0,253.0,1.7
Normanhurst,5156.0,2410.0,2746.0,40.0,1326.0,1.9,1845.0,2.8,1775.0,2531.0,334.0,1.6
North Avoca,1953.0,996.0,957.0,39.0,533.0,1.9,1017.0,2.7,1791.0,2297.0,360.0,2.0
North Balgowlah,3458.0,1701.0,1757.0,37.0,938.0,2.0,1172.0,3.1,2438.0,3000.0,580.0,1.8
North Bondi,8581.0,4289.0,4292.0,34.0,1987.0,1.8,3966.0,2.4,2119.0,3250.0,500.0,1.3
North Curl Curl,3537.0,1778.0,1759.0,38.0,956.0,1.9,1213.0,3.1,2234.0,2809.0,580.0,1.8
North Epping,4393.0,2127.0,2266.0,41.0,1218.0,1.9,1541.0,3.0,2038.0,2600.0,480.0,1.8
North Gosford,3500.0,1696.0,1804.0,37.0,877.0,1.8,1556.0,2.4,1053.0,1717.0,265.0,1.4
North Lambton,3116.0,1532.0,1584.0,32.0,764.0,1.8,1305.0,2.5,1061.0,1733.0,300.0,1.6
North Manly,2776.0,1392.0,1384.0,38.0,743.0,1.9,950.0,3.0,1904.0,3467.0,500.0,1.7
North Narrabeen,5535.0,2789.0,2746.0,38.0,1506.0,1.9,2023.0,2.9,1793.0,2934.0,500.0,1.9
North Parramatta,12594.0,6428.0,6166.0,33.0,2987.0,1.7,5165.0,2.4,1277.0,1961.0,325.0,1.3
North Rocks,7625.0,3761.0,3864.0,40.0,2210.0,1.9,2676.0,3.0,1891.0,2500.0,450.0,2.0
North Ryde,10115.0,4936.0,5179.0,41.0,2695.0,1.8,3613.0,2.8,1604.0,2500.0,400.0,1.7
North St Marys,3680.0,1863.0,1817.0,35.0,975.0,1.9,1381.0,2.8,944.0,1746.0,250.0,1.4
North Strathfield,4441.0,2246.0,2195.0,31.0,1084.0,1.7,1804.0,2.6,1590.0,2400.0,440.0,1.3
North Sydney,6258.0,3074.0,3184.0,35.0,1457.0,1.5,3579.0,1.9,1926.0,2600.0,460.0,1.0
North Turramurra,3970.0,1763.0,2207.0,53.0,1050.0,1.9,1557.0,2.5,1632.0,2895.0,490.0,1.7
North Wahroonga,1886.0,949.0,937.0,42.0,569.0,1.9,652.0,3.1,2519.0,3360.0,673.0,2.1
North Willoughby,3895.0,1847.0,2048.0,39.0,1069.0,1.8,1567.0,2.6,1742.0,2900.0,480.0,1.4
North Wollongong,2272.0,1200.0,1072.0,25.0,337.0,1.7,910.0,2.0,1028.0,1970.0,290.0,1.4
Northbridge,1005.0,574.0,431.0,29.0,183.0,1.1,581.0,1.9,1666.0,2102.0,420.0,1.0
Northmead,10224.0,4864.0,5360.0,37.0,2835.0,1.7,4456.0,2.4,1389.0,2300.0,360.0,1.5
Northwood,907.0,438.0,469.0,42.0,250.0,2.0,296.0,3.2,2918.0,4333.0,1060.0,2.0
Oak Flats,6310.0,3097.0,3213.0,40.0,1827.0,1.8,2532.0,2.6,1091.0,1733.0,260.0,1.8
Oakhurst,1180.0,594.0,586.0,40.0,358.0,1.9,435.0,2.9,1242.0,1750.0,280.0,2.2
Oatlands,862.0,430.0,432.0,49.0,236.0,1.9,474.0,2.2,656.0,1040.0,108.0,1.8
Oatley,10098.0,4921.0,5177.0,41.0,2824.0,1.9,3896.0,2.7,1825.0,2500.0,380.0,1.8
Old Guildford,2596.0,1294.0,1302.0,28.0,613.0,2.5,688.0,3.9,1076.0,2167.0,350.0,1.9
Old Toongabbie,2682.0,1334.0,1348.0,37.0,752.0,1.9,964.0,2.9,1595.0,2000.0,360.0,1.8
Ourimbah,4162.0,2057.0,2105.0,35.0,1135.0,1.9,1543.0,2.8,1341.0,1950.0,265.0,2.0
Oxley Park,2923.0,1389.0,1534.0,33.0,776.0,1.8,1136.0,2.7,1108.0,1800.0,300.0,1.7
Oyster Bay,5428.0,2654.0,2774.0,38.0,1532.0,1.9,1890.0,3.0,2176.0,2880.0,460.0,2.0
Paddington,7987.0,3817.0,4170.0,32.0,1847.0,1.8,3626.0,2.4,2074.0,2557.0,400.0,1.6
Padstow,12717.0,6219.0,6498.0,39.0,3485.0,1.8,4823.0,2.7,1272.0,2167.0,330.0,1.6
Padstow Heights,3491.0,1673.0,1818.0,42.0,931.0,1.8,1299.0,2.7,1415.0,2207.0,390.0,1.8
Pagewood,3643.0,1785.0,1858.0,41.0,975.0,1.9,1362.0,2.8,1472.0,3000.0,250.0,1.7
Palm Beach,13956.0,6846.0,7110.0,39.0,3626.0,1.7,7461.0,2.2,957.0,2000.0,300.0,1.6
Panania,11489.0,5579.0,5910.0,37.0,3135.0,1.9,4301.0,2.8,1347.0,2200.0,301.0,1.7
Parramatta,19745.0,10303.0,9442.0,30.0,4876.0,1.5,8418.0,2.4,1314.0,1950.0,350.0,1.1
Peakhurst,9909.0,4736.0,5173.0,41.0,2600.0,1.9,3717.0,2.7,1190.0,2383.0,293.0,1.7
Peakhurst Heights,2322.0,1159.0,1163.0,43.0,703.0,1.9,857.0,2.9,1525.0,2383.0,291.0,1.9
Pearl Beach,513.0,239.0,274.0,62.0,130.0,1.5,645.0,1.9,1023.0,2925.0,320.0,1.4
Pelican,841.0,443.0,398.0,45.0,258.0,1.8,376.0,2.4,1016.0,2000.0,260.0,1.8
Pendle Hill,6663.0,3245.0,3418.0,36.0,1679.0,1.8,2512.0,2.7,1188.0,2020.0,320.0,1.3
