,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Kingswood (Tamworth Regional - NSW),324.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12164
South Tamworth,2062.0,490.0,107.0,3.0,76.9,18.3,4.0,0.1,13597
West Tamworth,1336.0,337.0,51.0,258.0,66.7,16.8,2.5,12.9,14252
North Tamworth,1392.0,479.0,64.0,0.0,71.5,24.6,3.3,0.0,13011
Tamworth,31.0,24.0,0.0,11.0,43.1,33.3,0.0,15.3,13746
East Tamworth,1683.0,222.0,124.0,27.0,81.3,10.7,6.0,1.3,11363
Oxley Vale,1182.0,73.0,3.0,3.0,93.7,5.8,0.2,0.2,13111
Nemingha,233.0,3.0,0.0,0.0,95.5,1.2,0.0,0.0,12926
Westdale (Tamworth Regional - NSW),798.0,18.0,10.0,0.0,96.1,2.2,1.2,0.0,14259
Kootingal,762.0,25.0,8.0,16.0,94.0,3.1,1.0,2.0,12194
Duri,173.0,0.0,3.0,0.0,98.3,0.0,1.7,0.0,11332
Rushes Creek,41.0,0.0,0.0,4.0,91.1,0.0,0.0,8.9,13445
Somerton (NSW),91.0,0.0,0.0,4.0,95.8,0.0,0.0,4.2,13572
Limbri,43.0,0.0,0.0,0.0,93.5,0.0,0.0,0.0,12327
Loomberah,168.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12386
Moonbi,351.0,22.0,0.0,16.0,90.2,5.7,0.0,4.1,12699
Bendemeer,183.0,0.0,0.0,3.0,96.8,0.0,0.0,1.6,10289
Barraba,574.0,3.0,18.0,6.0,94.6,0.5,3.0,1.0,10206
Upper Manilla,46.0,0.0,0.0,0.0,93.9,0.0,0.0,0.0,14037
Manilla,913.0,3.0,41.0,9.0,93.8,0.3,4.2,0.9,12474
Daruka,251.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11218
Moore Creek,686.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,12710
Hallsville,187.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11835
Nundle,195.0,0.0,3.0,9.0,94.2,0.0,1.4,4.3,13043
Dungowan,131.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11321
Woolomin,104.0,0.0,0.0,0.0,97.2,0.0,0.0,0.0,14408
Windale,988.0,246.0,100.0,0.0,74.1,18.4,7.5,0.0,14315
Jewells,815.0,62.0,4.0,0.0,92.5,7.0,0.5,0.0,12024
Belmont North,1969.0,229.0,21.0,8.0,88.4,10.3,0.9,0.4,10277
Belmont (NSW),2038.0,431.0,370.0,99.0,69.1,14.6,12.5,3.4,10276
Floraville,543.0,71.0,4.0,0.0,87.9,11.5,0.6,0.0,11535
Blacksmiths,657.0,55.0,17.0,23.0,86.8,7.3,2.2,3.0,10396
Pelican (NSW),320.0,17.0,5.0,0.0,93.6,5.0,1.5,0.0,13178
Marks Point,462.0,110.0,233.0,5.0,57.0,13.6,28.8,0.6,12492
Belmont South,336.0,55.0,19.0,11.0,79.8,13.1,4.5,2.6,10278
Kahibah,737.0,217.0,9.0,0.0,76.3,22.5,0.9,0.0,12048
Charlestown (NSW),3884.0,757.0,332.0,4.0,77.9,15.2,6.7,0.1,10885
Whitebridge,797.0,135.0,5.0,0.0,84.8,14.4,0.5,0.0,14276
Gateshead,1043.0,66.0,32.0,0.0,91.4,5.8,2.8,0.0,11594
Dudley,767.0,48.0,15.0,0.0,92.4,5.8,1.8,0.0,11300
Highfields (NSW),311.0,7.0,3.0,0.0,96.9,2.2,0.9,0.0,11902
Garden Suburb,608.0,0.0,3.0,0.0,99.5,0.0,0.5,0.0,11587
Cardiff (NSW),1975.0,168.0,95.0,10.0,87.7,7.5,4.2,0.4,10809
Hillsborough (Lake Macquarie - NSW),225.0,0.0,5.0,0.0,97.8,0.0,2.2,0.0,11909
Warners Bay,2183.0,669.0,147.0,0.0,72.6,22.2,4.9,0.0,14153
Argenton,451.0,54.0,21.0,3.0,84.6,10.1,3.9,0.6,10078
Glendale (NSW),1068.0,89.0,46.0,3.0,88.1,7.3,3.8,0.2,11658
Elermore Vale,1601.0,398.0,37.0,0.0,78.6,19.5,1.8,0.0,11394
Macquarie Hills,1072.0,24.0,0.0,0.0,97.8,2.2,0.0,0.0,12434
Kotara,1323.0,133.0,0.0,3.0,90.7,9.1,0.0,0.2,12200
Cardiff Heights,433.0,93.0,0.0,0.0,82.3,17.7,0.0,0.0,10810
Cardiff South,960.0,85.0,22.0,3.0,89.7,7.9,2.1,0.3,10811
New Lambton Heights,799.0,12.0,4.0,0.0,98.0,1.5,0.5,0.0,12943
Rankin Park,893.0,9.0,0.0,0.0,99.0,1.0,0.0,0.0,13315
Tingira Heights,653.0,10.0,12.0,3.0,95.1,1.5,1.7,0.4,13875
Mount Hutton (NSW),993.0,295.0,65.0,3.0,73.1,21.7,4.8,0.2,12766
Eleebana,1860.0,98.0,8.0,14.0,93.9,4.9,0.4,0.7,11393
Redhead,936.0,290.0,13.0,97.0,70.1,21.7,1.0,7.3,13340
Caves Beach,1270.0,123.0,55.0,0.0,87.5,8.5,3.8,0.0,10862
Nords Wharf,306.0,3.0,0.0,4.0,97.8,1.0,0.0,1.3,12975
Swansea (NSW),1477.0,203.0,471.0,24.0,67.7,9.3,21.6,1.1,13711
