,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
The Hill,370.0,372.0,140.0,38.4,38.6,14.5
The Junction,289.0,227.0,76.0,46.7,36.7,12.3
Thirroul,1533.0,450.0,72.0,72.1,21.2,3.4
Thornleigh,2133.0,402.0,63.0,81.3,15.3,2.4
Tighes Hill,364.0,254.0,40.0,53.5,37.3,5.9
Tingira Heights,806.0,140.0,16.0,82.8,14.4,1.6
Toongabbie,3487.0,783.0,122.0,77.4,17.4,2.7
Toowoon Bay,112.0,87.0,10.0,46.3,36.0,4.1
Toronto,1415.0,533.0,40.0,69.9,26.3,2.0
Toukley,1038.0,699.0,61.0,55.9,37.6,3.3
Towradgi,758.0,428.0,38.0,59.7,33.7,3.0
Tregear,966.0,212.0,26.0,75.8,16.6,2.0
Tuggerah,258.0,68.0,16.0,76.1,20.1,4.7
Tuggerawong,329.0,147.0,8.0,66.6,29.8,1.6
Tumbi Umbi,970.0,189.0,16.0,80.6,15.7,1.3
Turramurra,2764.0,751.0,56.0,75.4,20.5,1.5
Turrella,334.0,74.0,11.0,77.3,17.1,2.5
Ultimo,668.0,415.0,232.0,38.6,24.0,13.4
Umina Beach,4159.0,1612.0,172.0,67.5,26.2,2.8
Unanderra,1612.0,530.0,33.0,71.6,23.6,1.5
Valentine,1537.0,233.0,14.0,84.7,12.8,0.8
Valley Heights,382.0,85.0,6.0,79.6,17.7,1.3
Vaucluse,2351.0,690.0,114.0,70.5,20.7,3.4
Villawood,1642.0,646.0,33.0,68.4,26.9,1.4
Voyager Point,222.0,6.0,0.0,95.7,2.6,0.0
Wahroonga,3785.0,837.0,88.0,78.0,17.2,1.8
Waitara,386.0,247.0,22.0,56.5,36.2,3.2
Wakeley,1251.0,106.0,18.0,89.9,7.6,1.3
Wallsend,3132.0,1260.0,139.0,67.8,27.3,3.0
Wamberal,1514.0,415.0,79.0,73.7,20.2,3.8
Warabrook,509.0,144.0,50.0,70.2,19.9,6.9
Waratah,929.0,674.0,142.0,52.0,37.8,8.0
Waratah West,750.0,254.0,79.0,67.2,22.8,7.1
Wareemba,393.0,160.0,27.0,65.8,26.8,4.5
Warilla,1520.0,584.0,61.0,68.2,26.2,2.7
Warners Bay,1924.0,667.0,63.0,71.6,24.8,2.3
Warrawee,675.0,66.0,6.0,89.2,8.7,0.8
Warrawong,1225.0,578.0,52.0,63.3,29.9,2.7
Warriewood,830.0,156.0,36.0,77.3,14.5,3.4
Warrimoo,633.0,141.0,18.0,78.8,17.6,2.2
Warwick Farm,999.0,542.0,58.0,59.2,32.1,3.4
Watanobbi,894.0,182.0,31.0,79.4,16.2,2.8
Waterloo,1104.0,1356.0,96.0,40.1,49.3,3.5
Watsons Bay,152.0,53.0,8.0,67.0,23.3,3.5
Wattle Grove,2587.0,228.0,39.0,88.4,7.8,1.3
Waverley,732.0,477.0,97.0,52.3,34.1,6.9
Waverton,800.0,553.0,145.0,50.3,34.8,9.1
Wentworthville,2311.0,889.0,138.0,65.3,25.1,3.9
Werrington,850.0,310.0,51.0,64.8,23.6,3.9
Werrington County,1115.0,117.0,16.0,88.4,9.3,1.3
Werrington Downs,925.0,99.0,8.0,87.8,9.4,0.8
West Gosford,413.0,228.0,29.0,60.7,33.5,4.3
West Hoxton,1237.0,68.0,12.0,93.4,5.1,0.9
West Pennant Hills,4143.0,454.0,45.0,86.5,9.5,0.9
West Pymble,1320.0,255.0,24.0,81.2,15.7,1.5
West Ryde,2769.0,1214.0,191.0,63.8,28.0,4.4
West Wallsend,449.0,117.0,16.0,76.1,19.8,2.7
West Wollongong,1210.0,505.0,105.0,64.7,27.0,5.6
Westleigh,1181.0,103.0,16.0,89.9,7.8,1.2
Westmead,2042.0,941.0,205.0,58.7,27.0,5.9
Wetherill Park,1645.0,159.0,19.0,88.3,8.5,1.0
Whalan,1458.0,390.0,42.0,74.4,19.9,2.1
Whitebridge,685.0,145.0,20.0,80.4,17.0,2.3
Wickham,142.0,122.0,40.0,43.2,37.1,12.2
Wiley Park,1970.0,649.0,141.0,67.1,22.1,4.8
Willmot,648.0,129.0,19.0,79.0,15.7,2.3
Willoughby,1370.0,511.0,95.0,64.3,24.0,4.5
Willoughby East,467.0,86.0,18.0,81.4,15.0,3.1
