,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Toowoon Bay,2600.0,--,--,--,97.8,2.2,13916
The Entrance North,1950.0,--,--,--,94.2,5.8,13819
Magenta (NSW),2383.0,--,--,--,89.5,10.5,12441
The Entrance,1473.0,--,--,--,97.4,2.6,13818
Toukley,1602.0,--,--,--,95.0,5.0,13925
Canton Beach,1517.0,--,--,--,97.2,2.8,10798
Noraville,1733.0,--,--,--,93.3,6.7,12974
Norah Head,2013.0,--,--,--,94.9,5.1,12973
Kangy Angy,1997.0,--,--,--,93.8,6.2,12064
Tuggerah,1700.0,--,--,--,92.5,7.5,13950
Wyong,1517.0,--,--,--,95.7,4.3,14446
Mardi,1915.0,--,--,--,92.2,7.8,12488
Tacoma South,1733.0,--,--,--,89.9,10.1,13725
Hamlyn Terrace,1993.0,--,--,--,92.9,7.1,11843
Woongarrah,2167.0,--,--,--,89.7,10.3,14415
Warnervale,1850.0,--,--,--,93.3,6.7,14154
Wallarah,2029.0,--,--,--,88.7,11.3,14109
Wadalba,2015.0,--,--,--,91.6,8.4,14080
Watanobbi,1608.0,--,--,--,93.7,6.3,14181
Tacoma,1733.0,--,--,--,89.2,10.8,13724
Llanarth (NSW),2145.0,--,--,--,92.6,7.4,12362
Bathurst,1500.0,--,--,--,97.2,2.8,10231
West Bathurst,1354.0,--,--,--,94.2,5.8,14241
Mitchell (NSW),1344.0,--,--,--,100.0,0.0,12650
Gormans Hill,1517.0,--,--,--,96.9,3.1,11720
Abercrombie,1733.0,--,--,--,94.1,5.9,10004
Eglinton (NSW),1733.0,--,--,--,93.8,6.2,11386
Windradyne,1584.0,--,--,--,94.7,5.3,14324
Raglan (NSW),1733.0,--,--,--,90.4,9.6,13304
White Rock (NSW),2167.0,--,--,--,92.2,7.8,14275
Kelso (NSW),1768.0,--,--,--,94.1,5.9,12090
O'Connell (NSW),2167.0,--,--,--,87.0,13.0,13052
Trunkey Creek,867.0,--,--,--,100.0,0.0,13942
Perthville,1733.0,--,--,--,91.9,8.1,13189
Sofala,759.0,--,--,--,100.0,0.0,13569
Wattle Flat (NSW),1170.0,--,--,--,92.5,7.5,14191
Peel,1997.0,--,--,--,91.9,8.1,13174
Limekilns,1950.0,--,--,--,86.8,13.2,12330
Clear Creek,2167.0,--,--,--,92.7,7.3,10925
Rockley,867.0,--,--,--,95.5,4.5,13380
Georges Plains,1404.0,--,--,--,93.7,6.3,11602
Duramana,1733.0,--,--,--,91.8,8.2,11330
Billywillinga,1625.0,--,--,--,82.3,17.7,10357
Mount Rankin,2184.0,--,--,--,90.2,9.8,12786
Rock Forest,1733.0,--,--,--,87.9,12.1,13377
Evans Plains,1975.0,--,--,--,85.5,14.5,11470
