,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
St Ives Chase,3142.0,--,--,--,90.1,9.9,13640
Turramurra,3000.0,--,--,--,92.2,7.8,13980
South Turramurra,3000.0,--,--,--,91.9,8.1,13598
North Wahroonga,3033.0,--,--,--,91.7,8.3,13015
Neutral Bay,2500.0,--,--,--,95.5,4.5,12934
Crows Nest (NSW),2800.0,--,--,--,94.0,6.0,11131
Wollstonecraft,2541.0,--,--,--,95.8,4.2,14359
Waverton,2500.0,--,--,--,97.4,2.6,14202
North Sydney,2500.0,--,--,--,95.8,4.2,13010
Mosman,3000.0,--,--,--,93.9,6.1,12738
Kirribilli,2579.0,--,--,--,97.2,2.8,12173
Kurraba Point,3000.0,--,--,--,95.7,4.3,12217
Milsons Point,3000.0,--,--,--,96.1,3.9,12629
McMahons Point,2919.0,--,--,--,95.1,4.9,12547
Seaforth (NSW),3700.0,--,--,--,89.8,10.2,13509
Balgowlah Heights,4292.0,--,--,--,91.2,8.8,10154
Clontarf (NSW),4333.0,--,--,--,92.1,7.9,10935
Manly (NSW),2882.0,--,--,--,96.2,3.8,12475
Avalon Beach,2817.0,--,--,--,90.0,10.0,10111
Whale Beach,4767.0,--,--,--,95.5,4.5,14267
Clareville,3033.0,--,--,--,91.4,8.6,10923
Scotland Island,2173.0,--,--,--,86.1,13.9,13505
Elanora Heights,3000.0,--,--,--,90.4,9.6,11389
Ingleside,3017.0,--,--,--,94.6,5.4,11979
Lovett Bay,2761.0,--,--,--,86.4,13.6,12397
Newport (NSW),2700.0,--,--,--,90.6,9.4,12956
Bilgola Plateau,3100.0,--,--,--,86.5,13.5,10351
Bilgola Beach,3467.0,--,--,--,95.2,4.8,10350
Warriewood,2711.0,--,--,--,88.0,12.0,14173
North Narrabeen,2834.0,--,--,--,88.5,11.5,12999
Beacon Hill,2900.0,--,--,--,89.5,10.5,10238
Narraweena,2800.0,--,--,--,92.3,7.7,12910
Cromer (NSW),2700.0,--,--,--,90.4,9.6,11118
Oxford Falls,4117.0,--,--,--,79.5,20.5,13106
Dee Why,2167.0,--,--,--,91.9,8.1,11227
North Curl Curl,3006.0,--,--,--,91.9,8.1,12988
Forestville (NSW),2817.0,--,--,--,92.5,7.5,11548
Frenchs Forest,3000.0,--,--,--,89.9,10.1,11568
Belrose,3000.0,--,--,--,92.3,7.7,10283
Davidson,3000.0,--,--,--,91.5,8.5,11219
Curl Curl,3100.0,--,--,--,92.4,7.6,11167
North Manly,3200.0,--,--,--,89.2,10.8,12997
Queenscliff (NSW),2687.0,--,--,--,93.8,6.2,13296
Brookvale,2200.0,--,--,--,89.3,10.7,10601
Allambie Heights,2902.0,--,--,--,92.0,8.0,10036
North Balgowlah,3203.0,--,--,--,90.8,9.2,12981
Narrabeen,2311.0,--,--,--,94.0,6.0,12902
Collaroy (NSW),2500.0,--,--,--,92.8,7.2,10970
Collaroy Plateau,3000.0,--,--,--,89.2,10.8,10971
Wheeler Heights,2800.0,--,--,--,88.2,11.8,14268
Terrey Hills,2890.0,--,--,--,91.4,8.6,13804
Duffys Forest,5000.0,--,--,--,87.4,12.6,11301
Ellis Lane,2513.0,--,--,--,94.1,5.9,11405
Grasmere,2405.0,--,--,--,94.5,5.5,11739
Camden,2123.0,--,--,--,92.6,7.4,10770
Camden Park (NSW),2420.0,--,--,--,89.3,10.7,10772
Cawdor (NSW),2600.0,--,--,--,89.0,11.0,10863
Camden South,2167.0,--,--,--,90.3,9.7,10773
Harrington Park,2500.0,--,--,--,86.5,13.5,11859
Elderslie (Camden - NSW),2297.0,--,--,--,88.6,11.4,11391
Kirkham,2600.0,--,--,--,92.4,7.6,12171
Mount Annan,2167.0,--,--,--,88.5,11.5,12745
Currans Hill,2086.0,--,--,--,84.8,15.2,11175
Gregory Hills,2600.0,--,--,--,81.3,18.7,11774
Narellan Vale,2057.0,--,--,--,88.1,11.9,12897
Spring Farm (NSW),2300.0,--,--,--,83.8,16.2,13612
Airds,1200.0,--,--,--,98.8,1.2,10022
St Helens Park,1800.0,--,--,--,87.5,12.5,13637
Wedderburn (NSW),2817.0,--,--,--,87.3,12.7,14209
Woodbine (NSW),1760.0,--,--,--,88.2,11.8,14378
Campbelltown (NSW),1733.0,--,--,--,94.2,5.8,10780
Leumeah,1753.0,--,--,--,91.2,8.8,12308
Blair Athol (NSW),2167.0,--,--,--,84.8,15.2,10400
Raby,1900.0,--,--,--,88.5,11.5,13303
Eagle Vale,1733.0,--,--,--,86.8,13.2,11341
Eschol Park,1733.0,--,--,--,86.9,13.1,11441
Blairmount,1983.0,--,--,--,88.7,11.3,10401
Holsworthy,2167.0,--,--,--,88.4,11.6,11926
Ingleburn,1800.0,--,--,--,88.7,11.3,11978
Macquarie Links,2659.0,--,--,--,85.6,14.4,12435
Denham Court,2600.0,--,--,--,89.9,10.1,11235
Bardia,2405.0,--,--,--,80.3,19.7,10194
Edmondson Park,2643.0,--,--,--,79.9,20.1,11383
Ruse,1800.0,--,--,--,90.2,9.8,13443
Kentlyn,2500.0,--,--,--,89.4,10.6,12101
Minto Heights,3359.0,--,--,--,86.7,13.3,12643
Macquarie Fields,1700.0,--,--,--,89.7,10.3,12433
Long Point (Campbelltown - NSW),2550.0,--,--,--,93.1,6.9,12381
Bow Bowing,1863.0,--,--,--,85.4,14.6,10526
Rosemeadow,1733.0,--,--,--,89.7,10.3,13410
Ambarvale,1700.0,--,--,--,92.4,7.6,10049
Menangle Park,1500.0,--,--,--,95.0,5.0,12569
Englorie Park,1556.0,--,--,--,94.6,5.4,11423
Yanderra,1853.0,--,--,--,86.7,13.3,14461
Douglas Park,1976.0,--,--,--,88.3,11.7,11283
Razorback,2500.0,--,--,--,86.3,13.7,13328
Appin (NSW),2275.0,--,--,--,84.9,15.1,10063
Menangle,2375.0,--,--,--,92.9,7.1,12568
Tahmoor,1842.0,--,--,--,92.4,7.6,13727
Buxton (NSW),1950.0,--,--,--,85.9,14.1,10726
Thirlmere,2000.0,--,--,--,90.2,9.8,13847
Lakesland,2359.0,--,--,--,85.1,14.9,12258
Werombi,2600.0,--,--,--,88.7,11.3,14232
Orangeville,2600.0,--,--,--,85.4,14.6,13094
Mount Hunter,2167.0,--,--,--,82.8,17.2,12765
Brownlow Hill,2373.0,--,--,--,95.1,4.9,10609
Theresa Park,2035.0,--,--,--,87.0,13.0,13845
Silverdale (NSW),2320.0,--,--,--,86.0,14.0,13544
Oakdale (NSW),1960.0,--,--,--,86.4,13.6,13054
Blackheath,1616.0,--,--,--,93.9,6.1,10393
Mount Victoria,1500.0,--,--,--,91.1,8.9,12797
Glenbrook,2000.0,--,--,--,94.8,5.2,11656
Blaxland (NSW),2058.0,--,--,--,93.7,6.3,10407
Mount Riverview,2100.0,--,--,--,92.9,7.1,12788
Katoomba,1517.0,--,--,--,91.7,8.3,12077
Leura,1787.0,--,--,--,94.5,5.5,12309
Medlow Bath,1408.0,--,--,--,90.6,9.4,12553
Linden (NSW),1986.0,--,--,--,91.7,8.3,12335
Woodford (NSW),1733.0,--,--,--,91.7,8.3,14383
Bullaburra,1760.0,--,--,--,86.7,13.3,10656
Faulconbridge,1950.0,--,--,--,91.4,8.6,11496
Winmalee,1950.0,--,--,--,91.9,8.1,14334
Hawkesbury Heights,2174.0,--,--,--,88.5,11.5,11872
Yellow Rock (Blue Mountains - NSW),2000.0,--,--,--,91.3,8.7,14502
Valley Heights,1950.0,--,--,--,93.1,6.9,14069
Werrington Downs,1950.0,--,--,--,88.5,11.5,14237
Cambridge Park,1749.0,--,--,--,90.8,9.2,10768
Werrington County,1907.0,--,--,--,91.7,8.3,14236
Cambridge Gardens,1907.0,--,--,--,89.7,10.3,10767
Cranebrook,2000.0,--,--,--,89.6,10.4,11105
Castlereagh,2400.0,--,--,--,92.1,7.9,10850
Jordan Springs,2600.0,--,--,--,82.2,17.8,12042
Emu Plains,2167.0,--,--,--,91.6,8.4,11418
Leonay,2167.0,--,--,--,93.0,7.0,12304
Emu Heights (NSW),2000.0,--,--,--,92.7,7.3,11417
Regentville,2300.0,--,--,--,91.3,8.7,13346
Jamisontown,1890.0,--,--,--,93.0,7.0,12000
South Penrith,2000.0,--,--,--,92.2,7.8,13596
Kingswood (Penrith - NSW),1714.0,--,--,--,94.1,5.9,12163
Caddens,2600.0,--,--,--,79.6,20.4,10743
Claremont Meadows,2100.0,--,--,--,87.8,12.2,10918
Wallacia,2123.0,--,--,--,91.1,8.9,14101
Luddenham,2500.0,--,--,--,87.6,12.4,12419
Badgerys Creek,1654.0,--,--,--,93.8,6.2,10132
Warragamba,1560.0,--,--,--,91.0,9.0,14158
North Richmond,2097.0,--,--,--,92.4,7.6,13002
Agnes Banks,2000.0,--,--,--,89.4,10.6,10021
Hobartville (NSW),1890.0,--,--,--,91.4,8.6,11917
South Windsor,1800.0,--,--,--,91.9,8.1,13601
Windsor (NSW),1939.0,--,--,--,94.9,5.1,14325
Bligh Park,1950.0,--,--,--,90.7,9.3,10411
Londonderry (NSW),2200.0,--,--,--,87.4,12.6,12375
Berkshire Park,2406.0,--,--,--,95.4,4.6,10305
St Clair (Penrith - NSW),1985.0,--,--,--,88.2,11.8,13632
Colyton,1753.0,--,--,--,89.7,10.3,10987
Oxley Park,1800.0,--,--,--,90.3,9.7,13110
St Marys (NSW),1703.0,--,--,--,93.0,7.0,13643
Silverwater (Parramatta - NSW),2000.0,--,--,--,86.5,13.5,13547
Lidcombe,2100.0,--,--,--,90.5,9.5,12316
Wentworth Point,2100.0,--,--,--,89.8,10.2,14227
Berala,1733.0,--,--,--,92.9,7.1,10299
Regents Park (NSW),1709.0,--,--,--,92.3,7.7,13345
Epping (NSW),2210.0,--,--,--,91.6,8.4,11428
Rydalmere,2167.0,--,--,--,90.8,9.2,13453
Parramatta,1874.0,--,--,--,94.5,5.5,13156
Ermington,2461.0,--,--,--,90.7,9.3,11435
Dundas (NSW),2167.0,--,--,--,87.9,12.1,11312
Melrose Park (NSW),2800.0,--,--,--,87.1,12.9,12563
Oatlands (NSW),2383.0,--,--,--,89.1,10.9,13063
Dundas Valley,2200.0,--,--,--,89.4,10.6,11313
Carramar (NSW),1335.0,--,--,--,91.5,8.5,10826
Old Guildford,2000.0,--,--,--,86.9,13.1,13077
Fairfield East,1900.0,--,--,--,89.8,10.2,11478
Fairfield (NSW),1625.0,--,--,--,93.6,6.4,11477
Pemulwuy,2600.0,--,--,--,83.5,16.5,13181
Guildford West,2010.0,--,--,--,85.0,15.0,11791
Woodpark,2071.0,--,--,--,85.4,14.6,14390
South Wentworthville,2100.0,--,--,--,88.7,11.3,13599
Holroyd,2000.0,--,--,--,90.8,9.2,11925
North Parramatta,1950.0,--,--,--,93.7,6.3,13001
North Rocks,2400.0,--,--,--,88.9,11.1,13003
Winston Hills,2400.0,--,--,--,90.1,9.9,14335
Old Toongabbie,2154.0,--,--,--,90.7,9.3,13081
Constitution Hill,2088.0,--,--,--,91.7,8.3,11014
Mays Hill,1885.0,--,--,--,95.1,4.9,12538
Denistone East,2200.0,--,--,--,90.4,9.6,11239
Denistone West,2500.0,--,--,--,86.7,13.3,11240
Gladesville,2500.0,--,--,--,93.7,6.3,11638
Tennyson Point,3250.0,--,--,--,92.3,7.7,13790
Huntleys Point,3809.0,--,--,--,100.0,0.0,11961
Henley,2700.0,--,--,--,94.2,5.8,11891
Huntleys Cove,2949.0,--,--,--,93.6,6.4,11960
Hunters Hill,3500.0,--,--,--,91.5,8.5,11954
Macquarie Park,2000.0,--,--,--,95.5,4.5,12437
Marsfield,2167.0,--,--,--,92.0,8.0,12506
Ryde,2200.0,--,--,--,92.2,7.8,13454
East Ryde,2817.0,--,--,--,93.4,6.6,11361
Meadowbank (NSW),2076.0,--,--,--,93.7,6.3,12550
West Ryde,2100.0,--,--,--,92.6,7.4,14251
Heckenberg,1756.0,--,--,--,90.2,9.8,11887
Miller,1452.0,--,--,--,93.4,6.6,12617
Sadleir,1691.0,--,--,--,90.4,9.6,13461
Austral,2000.0,--,--,--,96.8,3.2,10109
Greendale (Liverpool - NSW),3200.0,--,--,--,95.4,4.6,11759
Cecil Park,2550.0,--,--,--,88.9,11.1,10866
Cecil Hills,2167.0,--,--,--,86.1,13.9,10865
Leppington,2518.0,--,--,--,91.2,8.8,12305
Cobbitty,2641.0,--,--,--,89.6,10.4,10954
Oran Park,2600.0,--,--,--,83.1,16.9,13091
Green Valley (NSW),1950.0,--,--,--,86.6,13.4,11756
Elizabeth Hills,2500.0,--,--,--,68.2,31.8,11397
Hinchinbrook (NSW),2000.0,--,--,--,85.1,14.9,11915
Hoxton Park,2113.0,--,--,--,81.4,18.6,11951
Carnes Hill,2635.0,--,--,--,75.0,25.0,10820
Horningsea Park,2167.0,--,--,--,83.5,16.5,11935
Middleton Grange,2400.0,--,--,--,77.9,22.1,12607
West Hoxton,2244.0,--,--,--,82.9,17.1,14246
Bonnyrigg Heights,2000.0,--,--,--,85.9,14.1,10472
Bonnyrigg,1900.0,--,--,--,90.0,10.0,10471
Cabramatta,1371.0,--,--,--,91.9,8.1,10740
Mount Pritchard,1883.0,--,--,--,88.0,12.0,12785
Cabramatta West,1768.0,--,--,--,91.6,8.4,10741
Edensor Park,2000.0,--,--,--,88.7,11.3,11377
Fairfield West,1950.0,--,--,--,89.0,11.0,11480
Fairfield Heights,1993.0,--,--,--,91.7,8.3,11479
Prairiewood,2167.0,--,--,--,92.3,7.7,13258
Mount Vernon,2500.0,--,--,--,86.4,13.6,12796
Wetherill Park,1950.0,--,--,--,90.4,9.6,14264
Wakeley,1950.0,--,--,--,87.9,12.1,14089
Moorebank,2419.0,--,--,--,84.5,15.5,12712
Voyager Point,2500.0,--,--,--,88.1,11.9,14079
Hammondville,2100.0,--,--,--,90.3,9.7,11844
Sandy Point (NSW),2600.0,--,--,--,88.0,12.0,13487
Pleasure Point,3000.0,--,--,--,83.8,16.2,13229
Warwick Farm,1517.0,--,--,--,95.1,4.9,14177
Cartwright,1729.0,--,--,--,91.3,8.7,10838
Lurnea,1842.0,--,--,--,88.4,11.6,12422
Prestons,2167.0,--,--,--,81.5,18.5,13260
Gymea Bay,2800.0,--,--,--,91.1,8.9,11827
Gymea,2383.0,--,--,--,92.8,7.2,11826
Miranda (NSW),2226.0,--,--,--,91.4,8.6,12645
Yowie Bay,2800.0,--,--,--,93.0,7.0,14519
Taren Point,2817.0,--,--,--,92.2,7.8,13766
Caringbah,2208.0,--,--,--,91.5,8.5,10815
Sylvania Waters,2700.0,--,--,--,84.9,15.1,13718
Sylvania,2500.0,--,--,--,89.8,10.2,13717
Kangaroo Point (NSW),4000.0,--,--,--,82.5,17.5,12060
Kurnell,2600.0,--,--,--,83.6,16.4,12216
Greenhills Beach,3900.0,--,--,--,80.6,19.4,11764
Bundeena,2365.0,--,--,--,88.9,11.1,10672
Maianbar,2500.0,--,--,--,93.2,6.8,12443
Woolooware,2200.0,--,--,--,91.5,8.5,14410
Lilli Pilli (Sutherland Shire - NSW),3402.0,--,--,--,87.8,12.2,12322
Port Hacking,3198.0,--,--,--,90.1,9.9,13244
Burraneer,3033.0,--,--,--,89.0,11.0,10705
Waterfall,2156.0,--,--,--,93.6,6.4,14182
Illawong,2500.0,--,--,--,91.0,9.0,11974
Alfords Point,2400.0,--,--,--,91.0,9.0,10031
Barden Ridge,2383.0,--,--,--,90.7,9.3,10193
Menai,2220.0,--,--,--,90.8,9.2,12567
Bangor (NSW),2500.0,--,--,--,91.8,8.2,10177
Bonnet Bay,2600.0,--,--,--,92.7,7.3,10469
Jannali,2340.0,--,--,--,91.3,8.7,12001
Oyster Bay,2817.0,--,--,--,89.9,10.1,13112
Como (NSW),2600.0,--,--,--,91.7,8.3,10996
Kareela,2600.0,--,--,--,91.2,8.8,12073
Kirrawee,2400.0,--,--,--,91.9,8.1,12172
Sutherland (NSW),2058.0,--,--,--,92.5,7.5,13701
Loftus,2275.0,--,--,--,92.5,7.5,12371
Engadine,2400.0,--,--,--,89.1,10.9,11422
Yarrawarrah,2200.0,--,--,--,91.8,8.2,14485
Woronora Heights,2383.0,--,--,--,91.6,8.4,14422
