,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Cardiff Heights,476.0,59.0,351.0,53.7,6.7,39.6
Cardiff South,1128.0,211.0,909.0,50.2,9.4,40.4
Caringbah,3508.0,866.0,3815.0,42.8,10.6,46.6
Carlingford,9750.0,603.0,6186.0,59.0,3.6,37.4
Carlton (NSW),3932.0,390.0,3076.0,53.1,5.3,41.6
Carramar (NSW),1061.0,89.0,1208.0,45.0,3.8,51.2
Carrington (Newcastle - NSW),401.0,224.0,777.0,28.6,16.0,55.4
Carss Park,548.0,25.0,348.0,59.5,2.7,37.8
Cartwright,617.0,58.0,957.0,37.8,3.6,58.6
Castle Cove,1188.0,75.0,618.0,63.2,4.0,32.9
Castle Hill (NSW),16866.0,1119.0,10049.0,60.2,4.0,35.8
Castlecrag,1365.0,83.0,640.0,65.4,4.0,30.7
Casula,5685.0,478.0,4282.0,54.4,4.6,41.0
Caves Beach,1737.0,184.0,1034.0,58.8,6.2,35.0
Cecil Hills,2910.0,126.0,2004.0,57.7,2.5,39.8
Centennial Park (NSW),456.0,277.0,935.0,27.3,16.6,56.1
Charlestown (NSW),4833.0,845.0,3826.0,50.9,8.9,40.3
Charmhaven,683.0,182.0,815.0,40.7,10.8,48.5
Chatswood,7950.0,974.0,7172.0,49.4,6.1,44.6
Chatswood West,657.0,67.0,324.0,62.7,6.4,30.9
Cheltenham (NSW),979.0,46.0,571.0,61.3,2.9,35.8
Cherrybrook,8789.0,299.0,5266.0,61.2,2.1,36.7
Chester Hill,4169.0,347.0,4263.0,47.5,4.0,48.6
Chifley (NSW),1226.0,139.0,1021.0,51.4,5.8,42.8
Chippendale,532.0,611.0,2030.0,16.8,19.3,64.0
Chipping Norton,3672.0,390.0,2635.0,54.8,5.8,39.3
Chiswick,880.0,299.0,776.0,45.0,15.3,39.7
Chittaway Bay,686.0,152.0,597.0,47.8,10.6,41.6
Chittaway Point,327.0,93.0,249.0,48.9,13.9,37.2
Church Point,542.0,48.0,260.0,63.8,5.6,30.6
Claremont Meadows,1579.0,267.0,1052.0,54.5,9.2,36.3
Claymore,413.0,166.0,1145.0,24.0,9.6,66.4
Clontarf (NSW),793.0,53.0,400.0,63.6,4.3,32.1
Clovelly,1511.0,521.0,1231.0,46.3,16.0,37.7
Coal Point,818.0,84.0,408.0,62.4,6.4,31.1
Coledale,408.0,125.0,295.0,49.3,15.1,35.6
Collaroy (NSW),5729.0,966.0,3788.0,54.7,9.2,36.1
Colyton,2788.0,495.0,2636.0,47.1,8.4,44.5
Como (NSW),1700.0,170.0,889.0,61.6,6.2,32.2
Concord,5891.0,527.0,4108.0,56.0,5.0,39.0
Concord West,2438.0,203.0,1705.0,56.1,4.7,39.2
Condell Park,4023.0,248.0,3208.0,53.8,3.3,42.9
Coniston,734.0,151.0,721.0,45.7,9.4,44.9
Connells Point,1260.0,50.0,741.0,61.4,2.4,36.1
Coogee (NSW),3571.0,1984.0,5031.0,33.7,18.7,47.5
Cooks Hill,823.0,416.0,1551.0,29.5,14.9,55.6
Copacabana,957.0,171.0,717.0,51.9,9.3,38.9
Cordeaux Heights,2201.0,135.0,1202.0,62.2,3.8,34.0
Corrimal,2336.0,373.0,2119.0,48.4,7.7,43.9
Cranebrook,5139.0,1140.0,4153.0,49.3,10.9,39.8
Cremorne (NSW),3472.0,1117.0,3676.0,42.0,13.5,44.5
Cremorne Point,737.0,171.0,596.0,49.0,11.4,39.6
Cringila,706.0,89.0,720.0,46.6,5.9,47.5
Cromer (NSW),3007.0,345.0,1939.0,56.8,6.5,36.6
Cronulla,5282.0,1849.0,6347.0,39.2,13.7,47.1
Croudace Bay,243.0,31.0,133.0,59.7,7.6,32.7
Crows Nest (NSW),1206.0,512.0,1375.0,39.0,16.6,44.5
Croydon (NSW),3836.0,454.0,3348.0,50.2,5.9,43.8
Croydon Park (NSW),4120.0,486.0,3609.0,50.2,5.9,43.9
Curl Curl,940.0,150.0,588.0,56.0,8.9,35.0
Currans Hill,1762.0,422.0,1206.0,52.0,12.4,35.6
Daceyville,248.0,46.0,568.0,28.8,5.3,65.9
Daleys Point,278.0,24.0,187.0,56.9,4.9,38.2
Dapto,4025.0,672.0,3152.0,51.3,8.6,40.2
Darling Point,1191.0,430.0,1384.0,39.6,14.3,46.1
Darlinghurst,1356.0,1912.0,4195.0,18.2,25.6,56.2
Darlington (Sydney - NSW),284.0,284.0,1072.0,17.3,17.3,65.4
Davidson,1182.0,65.0,579.0,64.7,3.6,31.7
Davistown,916.0,176.0,697.0,51.2,9.8,39.0
Dawes Point,194.0,54.0,158.0,47.8,13.3,38.9
Dean Park,1069.0,178.0,881.0,50.2,8.4,41.4
Dee Why,6560.0,2107.0,6733.0,42.6,13.7,43.7
Denistone,1632.0,117.0,974.0,59.9,4.3,35.8
Denistone East,969.0,53.0,572.0,60.8,3.3,35.9
Denistone West,424.0,30.0,223.0,62.6,4.4,32.9
Dharruk,875.0,150.0,934.0,44.7,7.7,47.7
Dolans Bay,263.0,20.0,128.0,64.0,4.9,31.1
Dolls Point,615.0,156.0,659.0,43.0,10.9,46.1
Doonside,4341.0,488.0,4776.0,45.2,5.1,49.7
Double Bay,1290.0,459.0,1657.0,37.9,13.5,48.6
Dover Heights,1732.0,144.0,1071.0,58.8,4.9,36.3
Drummoyne,3895.0,1082.0,3338.0,46.8,13.0,40.1
Dudley,941.0,132.0,633.0,55.2,7.7,37.1
Dulwich Hill,3867.0,1296.0,4459.0,40.2,13.5,46.3
Dundas (NSW),1494.0,173.0,1062.0,54.7,6.3,38.9
Dundas Valley,1768.0,194.0,1534.0,50.6,5.5,43.9
Dural (Hornsby - NSW),3168.0,229.0,2053.0,58.1,4.2,37.7
Eagle Vale,1982.0,322.0,1805.0,48.2,7.8,43.9
Earlwood,7123.0,764.0,5040.0,55.1,5.9,39.0
East Gosford,1268.0,298.0,1443.0,42.1,9.9,48.0
