,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Lane Cove,21.0,21.0,26.0,50.0,50.0,--,12266
Riverview (NSW),29.0,7.0,16.0,80.6,19.4,--,13370
Longueville,5.0,3.0,23.0,62.5,37.5,--,12385
St Leonards (NSW),6.0,3.0,22.0,66.7,33.3,--,13642
Naremburn,7.0,7.0,25.0,50.0,50.0,--,12898
Cammeray,23.0,5.0,37.0,82.1,17.9,--,10778
Hornsby Heights,14.0,23.0,17.0,37.8,62.2,--,11937
Mount Colah,31.0,32.0,25.0,49.2,50.8,--,12750
Asquith,4.0,7.0,30.0,36.4,63.6,--,10103
Hornsby,49.0,49.0,33.0,50.0,50.0,--,11936
Mount Kuring-Gai,19.0,15.0,22.0,55.9,44.1,--,12772
Cowan,0.0,10.0,26.0,0.0,100.0,--,11097
Berowra,17.0,18.0,26.0,48.6,51.4,--,10308
Brooklyn (NSW),4.0,3.0,48.0,57.1,42.9,--,10599
Berowra Heights,17.0,22.0,29.0,43.6,56.4,--,10310
Normanhurst,13.0,28.0,15.0,31.7,68.3,--,12976
Thornleigh,21.0,25.0,24.0,45.7,54.3,--,13850
Westleigh,13.0,9.0,17.0,59.1,40.9,--,14260
Wahroonga,24.0,40.0,18.0,37.5,62.5,--,14085
Waitara,6.0,5.0,20.0,54.5,45.5,--,14086
Lindfield,7.0,5.0,28.0,58.3,41.7,--,12339
Gordon (NSW),8.0,12.0,22.0,40.0,60.0,--,11718
Pymble,7.0,5.0,16.0,58.3,41.7,--,13281
West Pymble,7.0,3.0,17.0,70.0,30.0,--,14250
St Ives (NSW),15.0,13.0,26.0,53.6,46.4,--,13639
St Ives Chase,3.0,0.0,25.0,100.0,0.0,--,13640
Turramurra,11.0,8.0,27.0,57.9,42.1,--,13980
South Turramurra,4.0,3.0,18.0,57.1,42.9,--,13598
North Turramurra,4.0,0.0,43.0,100.0,0.0,--,13013
Warrawee,11.0,3.0,18.0,78.6,21.4,--,14165
Cremorne Point,4.0,3.0,39.0,57.1,42.9,--,11113
Cremorne (NSW),8.0,6.0,33.0,57.1,42.9,--,11112
Neutral Bay,13.0,13.0,31.0,50.0,50.0,--,12934
Crows Nest (NSW),5.0,12.0,32.0,29.4,70.6,--,11131
Wollstonecraft,15.0,15.0,35.0,50.0,50.0,--,14359
North Sydney,14.0,18.0,25.0,43.8,56.2,--,13010
Mosman,26.0,31.0,30.0,45.6,54.4,--,12738
Kirribilli,7.0,8.0,33.0,46.7,53.3,--,12173
McMahons Point,4.0,6.0,51.0,40.0,60.0,--,12547
Seaforth (NSW),11.0,19.0,25.0,36.7,63.3,--,13509
Clontarf (NSW),0.0,3.0,36.0,0.0,100.0,--,10935
Balgowlah,14.0,11.0,30.0,56.0,44.0,--,10153
Manly (NSW),40.0,28.0,35.0,58.8,41.2,--,12475
Fairlight,11.0,12.0,38.0,47.8,52.2,--,11482
Avalon Beach,24.0,27.0,25.0,47.1,52.9,--,10111
Clareville,6.0,4.0,38.0,60.0,40.0,--,10923
Scotland Island,0.0,5.0,26.0,0.0,100.0,--,13505
Elanora Heights,16.0,18.0,35.0,47.1,52.9,--,11389
Ingleside,8.0,5.0,22.0,61.5,38.5,--,11979
Mona Vale,36.0,35.0,20.0,50.7,49.3,--,12672
Newport (NSW),23.0,18.0,30.0,56.1,43.9,--,12956
Bilgola Plateau,15.0,8.0,14.0,65.2,34.8,--,10351
Warriewood,30.0,24.0,19.0,55.6,44.4,--,14173
North Narrabeen,34.0,28.0,34.0,54.8,45.2,--,12999
Beacon Hill,19.0,16.0,34.0,54.3,45.7,--,10238
Narraweena,45.0,42.0,22.0,51.7,48.3,--,12910
Cromer (NSW),41.0,29.0,21.0,58.6,41.4,--,11118
Dee Why,58.0,46.0,31.0,55.8,44.2,--,11227
North Curl Curl,17.0,21.0,26.0,44.7,55.3,--,12988
Forestville (NSW),16.0,8.0,19.0,66.7,33.3,--,11548
Killarney Heights,10.0,11.0,19.0,47.6,52.4,--,12130
Frenchs Forest,29.0,33.0,22.0,46.8,53.2,--,11568
Davidson,3.0,3.0,45.0,50.0,50.0,--,11219
Freshwater (NSW),17.0,17.0,34.0,50.0,50.0,--,11569
Manly Vale,22.0,12.0,23.0,64.7,35.3,--,12476
North Manly,6.0,6.0,29.0,50.0,50.0,--,12997
Queenscliff (NSW),4.0,8.0,33.0,33.3,66.7,--,13296
Brookvale,13.0,17.0,26.0,43.3,56.7,--,10601
Allambie Heights,19.0,21.0,17.0,47.5,52.5,--,10036
North Balgowlah,9.0,6.0,41.0,60.0,40.0,--,12981
Narrabeen,40.0,31.0,31.0,56.3,43.7,--,12902
Collaroy (NSW),24.0,19.0,34.0,55.8,44.2,--,10970
Collaroy Plateau,10.0,5.0,17.0,66.7,33.3,--,10971
Wheeler Heights,12.0,20.0,15.0,37.5,62.5,--,14268
Terrey Hills,11.0,11.0,26.0,50.0,50.0,--,13804
Ellis Lane,3.0,3.0,24.0,50.0,50.0,--,11405
Grasmere,11.0,6.0,48.0,64.7,35.3,--,11739
Camden,39.0,40.0,31.0,49.4,50.6,--,10770
Camden Park (NSW),22.0,25.0,16.0,46.8,53.2,--,10772
Cawdor (NSW),6.0,3.0,48.0,66.7,33.3,--,10863
Camden South,55.0,49.0,24.0,52.9,47.1,--,10773
Harrington Park,76.0,101.0,16.0,42.9,57.1,--,11859
Elderslie (Camden - NSW),67.0,79.0,21.0,45.9,54.1,--,11391
Narellan,65.0,62.0,22.0,51.2,48.8,--,12896
Mount Annan,159.0,154.0,19.0,50.8,49.2,--,12745
Currans Hill,90.0,87.0,21.0,50.8,49.2,--,11175
Gregory Hills,63.0,47.0,18.0,57.3,42.7,--,11774
Narellan Vale,118.0,131.0,19.0,47.4,52.6,--,12897
Spring Farm (NSW),96.0,72.0,18.0,57.1,42.9,--,13612
Airds,247.0,268.0,18.0,48.0,52.0,--,10022
Bradbury (NSW),191.0,204.0,20.0,48.4,51.6,--,10543
St Helens Park,135.0,144.0,16.0,48.4,51.6,--,13637
Wedderburn (NSW),10.0,6.0,31.0,62.5,37.5,--,14209
Woodbine (NSW),26.0,31.0,21.0,45.6,54.4,--,14378
Campbelltown (NSW),271.0,293.0,22.0,48.0,52.0,--,10780
Leumeah,153.0,202.0,23.0,43.1,56.9,--,12308
Blair Athol (NSW),20.0,24.0,19.0,45.5,54.5,--,10400
Raby,88.0,101.0,18.0,46.6,53.4,--,13303
Eagle Vale,108.0,119.0,24.0,47.6,52.4,--,11341
Eschol Park,54.0,61.0,21.0,47.0,53.0,--,11441
Blairmount,12.0,11.0,16.0,52.2,47.8,--,10401
Kearns,40.0,36.0,20.0,52.6,47.4,--,12079
Claymore,68.0,138.0,11.0,33.0,67.0,--,10924
Holsworthy,61.0,38.0,21.0,61.6,38.4,--,11926
Ingleburn,170.0,187.0,21.0,47.6,52.4,--,11978
Macquarie Links,9.0,7.0,18.0,56.2,43.8,--,12435
Denham Court,8.0,0.0,54.0,100.0,0.0,--,11235
Bardia,15.0,8.0,18.0,65.2,34.8,--,10194
Edmondson Park,3.0,3.0,25.0,50.0,50.0,--,11383
Ruse,107.0,130.0,19.0,45.1,54.9,--,13443
Minto Heights,11.0,7.0,19.0,61.1,38.9,--,12643
Macquarie Fields,247.0,318.0,20.0,43.7,56.3,--,12433
Glenfield (NSW),66.0,68.0,24.0,49.3,50.7,--,11664
St Andrews (NSW),111.0,105.0,20.0,51.4,48.6,--,13631
Bow Bowing,20.0,19.0,18.0,51.3,48.7,--,10526
Minto,181.0,218.0,21.0,45.4,54.6,--,12642
Rosemeadow,158.0,229.0,18.0,40.8,59.2,--,13410
Ambarvale,220.0,201.0,19.0,52.3,47.7,--,10049
Menangle Park,5.0,3.0,21.0,62.5,37.5,--,12569
Glen Alpine,22.0,37.0,20.0,37.3,62.7,--,11645
Yanderra,19.0,15.0,19.0,55.9,44.1,--,14461
Douglas Park,17.0,28.0,17.0,37.8,62.2,--,11283
Razorback,10.0,6.0,20.0,62.5,37.5,--,13328
Appin (NSW),51.0,52.0,18.0,49.5,50.5,--,10063
Menangle,6.0,4.0,27.0,60.0,40.0,--,12568
Picton (NSW),68.0,46.0,28.0,59.6,40.4,--,13200
Tahmoor,105.0,118.0,19.0,47.1,52.9,--,13727
Buxton (NSW),32.0,44.0,19.0,42.1,57.9,--,10726
Thirlmere,68.0,59.0,25.0,53.5,46.5,--,13847
Werombi,16.0,11.0,23.0,59.3,40.7,--,14232
Orangeville,18.0,29.0,27.0,38.3,61.7,--,13094
Mount Hunter,12.0,17.0,17.0,41.4,58.6,--,12765
Silverdale (NSW),55.0,49.0,18.0,52.9,47.1,--,13544
Oakdale (NSW),44.0,45.0,18.0,49.4,50.6,--,13054
Blackheath,49.0,44.0,27.0,52.7,47.3,--,10393
Mount Victoria,13.0,11.0,21.0,54.2,45.8,--,12797
Glenbrook,42.0,44.0,20.0,48.8,51.2,--,11656
Blaxland (NSW),77.0,75.0,20.0,50.7,49.3,--,10407
Warrimoo,43.0,31.0,25.0,58.1,41.9,--,14174
Lapstone,8.0,0.0,44.0,100.0,0.0,--,12276
Mount Riverview,33.0,29.0,16.0,53.2,46.8,--,12788
Yarramundi,20.0,26.0,23.0,43.5,56.5,--,14477
Katoomba,133.0,158.0,25.0,45.7,54.3,--,12077
Leura,41.0,38.0,32.0,51.9,48.1,--,12309
Medlow Bath,9.0,4.0,22.0,69.2,30.8,--,12553
Hazelbrook,102.0,93.0,20.0,52.3,47.7,--,11881
Lawson (NSW),56.0,54.0,19.0,50.9,49.1,--,12289
Bullaburra,9.0,9.0,27.0,50.0,50.0,--,10656
Faulconbridge,42.0,31.0,31.0,57.5,42.5,--,11496
Winmalee,66.0,75.0,19.0,46.8,53.2,--,14334
Hawkesbury Heights,8.0,14.0,17.0,36.4,63.6,--,11872
Springwood (NSW),65.0,87.0,24.0,42.8,57.2,--,13629
Valley Heights,18.0,20.0,15.0,47.4,52.6,--,14069
Wentworth Falls,54.0,68.0,19.0,44.3,55.7,--,14226
Werrington Downs,70.0,61.0,12.0,53.4,46.6,--,14237
Cambridge Park,219.0,247.0,20.0,47.0,53.0,--,10768
Werrington County,85.0,86.0,21.0,49.7,50.3,--,14236
Cambridge Gardens,40.0,55.0,20.0,42.1,57.9,--,10767
Cranebrook,410.0,403.0,18.0,50.4,49.6,--,11105
Llandilo,47.0,39.0,17.0,54.7,45.3,--,12363
Castlereagh,4.0,9.0,17.0,30.8,69.2,--,10850
Penrith,330.0,331.0,22.0,49.9,50.1,--,13184
Jordan Springs,87.0,81.0,21.0,51.8,48.2,--,12042
Emu Plains,114.0,195.0,26.0,36.9,63.1,--,11418
Leonay,25.0,23.0,24.0,52.1,47.9,--,12304
Emu Heights (NSW),46.0,57.0,25.0,44.7,55.3,--,11417
Glenmore Park,269.0,284.0,19.0,48.6,51.4,--,11670
Regentville,8.0,5.0,25.0,61.5,38.5,--,13346
Jamisontown,83.0,89.0,21.0,48.3,51.7,--,12000
South Penrith,233.0,223.0,21.0,51.1,48.9,--,13596
Kingswood (Penrith - NSW),206.0,193.0,24.0,51.6,48.4,--,12163
Caddens,16.0,9.0,19.0,64.0,36.0,--,10743
Werrington,104.0,105.0,21.0,49.8,50.2,--,14235
Claremont Meadows,71.0,65.0,18.0,52.2,47.8,--,10918
Wallacia,36.0,24.0,23.0,60.0,40.0,--,14101
Mulgoa,24.0,18.0,33.0,57.1,42.9,--,12814
Luddenham,14.0,17.0,18.0,45.2,54.8,--,12419
Badgerys Creek,0.0,3.0,29.0,0.0,100.0,--,10132
Orchard Hills,10.0,14.0,32.0,41.7,58.3,--,13095
Warragamba,40.0,35.0,23.0,53.3,46.7,--,14158
Richmond (NSW),100.0,101.0,26.0,49.8,50.2,--,13360
North Richmond,95.0,123.0,22.0,43.6,56.4,--,13002
Agnes Banks,14.0,24.0,22.0,36.8,63.2,--,10021
Hobartville (NSW),54.0,57.0,22.0,48.6,51.4,--,11917
South Windsor,228.0,223.0,18.0,50.6,49.4,--,13601
Windsor (NSW),57.0,48.0,21.0,54.3,45.7,--,14325
Bligh Park,163.0,159.0,19.0,50.6,49.4,--,10411
Windsor Downs,9.0,15.0,22.0,37.5,62.5,--,14326
Londonderry (NSW),92.0,86.0,23.0,51.7,48.3,--,12375
Berkshire Park,169.0,99.0,30.0,63.1,36.9,--,10305
Erskine Park,81.0,64.0,22.0,55.9,44.1,--,11438
St Clair (Penrith - NSW),311.0,282.0,19.0,52.4,47.6,--,13632
Colyton,208.0,221.0,20.0,48.5,51.5,--,10987
Oxley Park,47.0,54.0,24.0,46.5,53.5,--,13110
St Marys (NSW),243.0,257.0,23.0,48.6,51.4,--,13643
North St Marys,171.0,167.0,20.0,50.6,49.4,--,13007
Silverwater (Parramatta - NSW),272.0,93.0,31.0,74.5,25.5,--,13547
Newington (NSW),6.0,4.0,32.0,60.0,40.0,--,12953
Lidcombe,28.0,18.0,27.0,60.9,39.1,--,12316
Wentworth Point,20.0,17.0,25.0,54.1,45.9,--,14227
Auburn (NSW),29.0,40.0,34.0,42.0,58.0,--,10106
Berala,17.0,24.0,28.0,41.5,58.5,--,10299
Regents Park (NSW),12.0,25.0,25.0,32.4,67.6,--,13345
Carlingford,27.0,33.0,26.0,45.0,55.0,--,10818
Beecroft,12.0,13.0,25.0,48.0,52.0,--,10249
Epping (NSW),21.0,20.0,27.0,51.2,48.8,--,11428
Rydalmere,30.0,29.0,24.0,50.8,49.2,--,13453
Parramatta,68.0,52.0,32.0,56.7,43.3,--,13156
Ermington,47.0,81.0,23.0,36.7,63.3,--,11435
Dundas (NSW),11.0,9.0,33.0,55.0,45.0,--,11312
Melrose Park (NSW),8.0,4.0,43.0,66.7,33.3,--,12563
Telopea,32.0,36.0,29.0,47.1,52.9,--,13782
Oatlands (NSW),7.0,13.0,33.0,35.0,65.0,--,13063
Dundas Valley,20.0,31.0,24.0,39.2,60.8,--,11313
Chester Hill,54.0,85.0,24.0,38.8,61.2,--,10899
Old Guildford,9.0,19.0,24.0,32.1,67.9,--,13077
Fairfield East,11.0,29.0,40.0,27.5,72.5,--,11478
Yennora,5.0,3.0,25.0,62.5,37.5,--,14506
Fairfield (NSW),38.0,48.0,26.0,44.2,55.8,--,11477
Merrylands,123.0,115.0,26.0,51.7,48.3,--,12588
Granville (NSW),41.0,48.0,27.0,46.1,53.9,--,11738
Guildford (NSW),97.0,78.0,28.0,55.4,44.6,--,11790
Pemulwuy,15.0,21.0,26.0,41.7,58.3,--,13181
Greystanes,122.0,133.0,26.0,47.8,52.2,--,11781
South Granville,26.0,18.0,49.0,59.1,40.9,--,13583
Merrylands West,35.0,34.0,24.0,50.7,49.3,--,12589
Guildford West,25.0,34.0,30.0,42.4,57.6,--,11791
Woodpark,16.0,9.0,18.0,64.0,36.0,--,14390
South Wentworthville,39.0,33.0,23.0,54.2,45.8,--,13599
Smithfield (NSW),71.0,83.0,22.0,46.1,53.9,--,13559
North Parramatta,58.0,55.0,29.0,51.3,48.7,--,13001
North Rocks,11.0,16.0,32.0,40.7,59.3,--,13003
Northmead,40.0,38.0,25.0,51.3,48.7,--,13023
Westmead,37.0,27.0,28.0,57.8,42.2,--,14261
Winston Hills,37.0,43.0,23.0,46.2,53.8,--,14335
Rosehill (NSW),9.0,8.0,35.0,52.9,47.1,--,13408
Harris Park,10.0,13.0,30.0,43.5,56.5,--,11860
Old Toongabbie,26.0,19.0,22.0,57.8,42.2,--,13081
Pendle Hill,20.0,25.0,23.0,44.4,55.6,--,13182
Girraween (NSW),15.0,23.0,39.0,39.5,60.5,--,11636
North Epping,5.0,3.0,28.0,62.5,37.5,--,12990
Pennant Hills,15.0,15.0,16.0,50.0,50.0,--,13183
Denistone,0.0,3.0,15.0,0.0,100.0,--,11238
Eastwood (NSW),19.0,24.0,28.0,44.2,55.8,--,11369
Denistone East,0.0,0.0,34.0,0.0,0.0,--,11239
Gladesville,31.0,34.0,26.0,47.7,52.3,--,11638
Tennyson Point,7.0,3.0,36.0,70.0,30.0,--,13790
Hunters Hill,53.0,17.0,16.0,75.7,24.3,--,11954
Macquarie Park,12.0,17.0,21.0,41.4,58.6,--,12437
Marsfield,20.0,20.0,26.0,50.0,50.0,--,12506
North Ryde,27.0,21.0,35.0,56.2,43.8,--,13005
Ryde,45.0,55.0,28.0,45.0,55.0,--,13454
Meadowbank (NSW),6.0,7.0,26.0,46.2,53.8,--,12550
West Ryde,23.0,22.0,19.0,51.1,48.9,--,14251
Busby,100.0,99.0,17.0,50.3,49.7,--,10720
Heckenberg,54.0,80.0,19.0,40.3,59.7,--,11887
Miller,62.0,69.0,24.0,47.3,52.7,--,12617
Ashcroft,72.0,84.0,20.0,46.2,53.8,--,10097
Sadleir,65.0,53.0,27.0,55.1,44.9,--,13461
Austral,27.0,21.0,24.0,56.2,43.8,--,10109
Rossmore (NSW),25.0,25.0,21.0,50.0,50.0,--,13420
Kemps Creek,17.0,30.0,16.0,36.2,63.8,--,12094
Bringelly,20.0,21.0,22.0,48.8,51.2,--,10575
Cecil Hills,10.0,4.0,28.0,71.4,28.6,--,10865
Catherine Field,12.0,4.0,31.0,75.0,25.0,--,10856
Leppington,22.0,30.0,21.0,42.3,57.7,--,12305
Cobbitty,21.0,20.0,22.0,51.2,48.8,--,10954
Oran Park,32.0,47.0,19.0,40.5,59.5,--,13091
Green Valley (NSW),51.0,65.0,22.0,44.0,56.0,--,11756
Elizabeth Hills,3.0,4.0,18.0,42.9,57.1,--,11397
Hinchinbrook (NSW),75.0,76.0,23.0,49.7,50.3,--,11915
Hoxton Park,44.0,39.0,16.0,53.0,47.0,--,11951
Horningsea Park,22.0,23.0,28.0,48.9,51.1,--,11935
Middleton Grange,23.0,24.0,15.0,48.9,51.1,--,12607
West Hoxton,23.0,44.0,19.0,34.3,65.7,--,14246
Bonnyrigg Heights,24.0,33.0,19.0,42.1,57.9,--,10472
Bonnyrigg,41.0,50.0,24.0,45.1,54.9,--,10471
Bossley Park,58.0,58.0,25.0,50.0,50.0,--,10515
Abbotsbury,10.0,7.0,21.0,58.8,41.2,--,10002
Cabramatta,26.0,18.0,34.0,59.1,40.9,--,10740
Canley Vale,35.0,31.0,21.0,53.0,47.0,--,10792
Mount Pritchard,113.0,88.0,20.0,56.2,43.8,--,12785
Cabramatta West,29.0,35.0,20.0,45.3,54.7,--,10741
Canley Heights,51.0,33.0,24.0,60.7,39.3,--,10791
Edensor Park,16.0,22.0,20.0,42.1,57.9,--,11377
Fairfield West,41.0,40.0,24.0,50.6,49.4,--,11480
Fairfield Heights,16.0,18.0,26.0,47.1,52.9,--,11479
Greenfield Park,19.0,19.0,22.0,50.0,50.0,--,11761
Mount Vernon,3.0,9.0,20.0,25.0,75.0,--,12796
Wetherill Park,23.0,26.0,21.0,46.9,53.1,--,14264
Wakeley,13.0,16.0,13.0,44.8,55.2,--,14089
St Johns Park,29.0,21.0,20.0,58.0,42.0,--,13641
Casula,67.0,77.0,24.0,46.5,53.5,--,10852
Moorebank,53.0,61.0,21.0,46.5,53.5,--,12712
Chipping Norton,45.0,39.0,26.0,53.6,46.4,--,10908
Voyager Point,11.0,3.0,5.0,78.6,21.4,--,14079
Wattle Grove (NSW),85.0,87.0,17.0,49.4,50.6,--,14192
Hammondville,26.0,38.0,27.0,40.6,59.4,--,11844
Sandy Point (NSW),7.0,4.0,20.0,63.6,36.4,--,13487
Liverpool,142.0,111.0,23.0,56.1,43.9,--,12361
Warwick Farm,43.0,53.0,24.0,44.8,55.2,--,14177
Cartwright,48.0,35.0,29.0,57.8,42.2,--,10838
Lurnea,101.0,129.0,27.0,43.9,56.1,--,12422
Prestons,90.0,87.0,16.0,50.8,49.2,--,13260
Gymea Bay,32.0,19.0,31.0,62.7,37.3,--,11827
Gymea,47.0,45.0,28.0,51.1,48.9,--,11826
Grays Point,11.0,18.0,22.0,37.9,62.1,--,11743
Miranda (NSW),94.0,89.0,28.0,51.4,48.6,--,12645
Yowie Bay,9.0,10.0,29.0,47.4,52.6,--,14519
Taren Point,3.0,5.0,60.0,37.5,62.5,--,13766
Caringbah,86.0,74.0,27.0,53.8,46.2,--,10815
Sylvania Waters,10.0,10.0,22.0,50.0,50.0,--,13718
Sylvania,56.0,56.0,19.0,50.0,50.0,--,13717
Caringbah South,76.0,67.0,22.0,53.1,46.9,--,10816
Kurnell,29.0,37.0,27.0,43.9,56.1,--,12216
Greenhills Beach,6.0,5.0,13.0,54.5,45.5,--,11764
Cronulla,89.0,95.0,28.0,48.4,51.6,--,11119
Bundeena,18.0,20.0,35.0,47.4,52.6,--,10672
Maianbar,8.0,3.0,32.0,72.7,27.3,--,12443
Woolooware,24.0,9.0,21.0,72.7,27.3,--,14410
Burraneer,4.0,19.0,29.0,17.4,82.6,--,10705
Heathcote (NSW),39.0,42.0,19.0,48.1,51.9,--,11883
Waterfall,7.0,4.0,42.0,63.6,36.4,--,14182
Illawong,24.0,19.0,30.0,55.8,44.2,--,11974
Alfords Point,7.0,13.0,31.0,35.0,65.0,--,10031
Barden Ridge,22.0,23.0,21.0,48.9,51.1,--,10193
Menai,75.0,79.0,19.0,48.7,51.3,--,12567
Bangor (NSW),30.0,25.0,23.0,54.5,45.5,--,10177
Woronora,11.0,10.0,39.0,52.4,47.6,--,14420
Bonnet Bay,0.0,9.0,15.0,0.0,100.0,--,10469
Jannali,50.0,44.0,21.0,53.2,46.8,--,12001
Oyster Bay,18.0,30.0,30.0,37.5,62.5,--,13112
Como (NSW),11.0,15.0,38.0,42.3,57.7,--,10996
Kareela,8.0,13.0,23.0,38.1,61.9,--,12073
Kirrawee,58.0,48.0,25.0,54.7,45.3,--,12172
Sutherland (NSW),75.0,67.0,26.0,52.8,47.2,--,13701
Loftus,28.0,38.0,29.0,42.4,57.6,--,12371
Engadine,127.0,101.0,20.0,55.7,44.3,--,11422
Yarrawarrah,18.0,17.0,18.0,51.4,48.6,--,14485
Woronora Heights,20.0,21.0,24.0,48.8,51.2,--,14422
