,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Community and Personal Service Workers,Labourers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Community and Personal Service Workers (%),Labourers (%),Machinery Operators And Drivers (%)
Tregear,148,126,61,42,90,111,184,234,14.3,12.2,5.9,4.1,8.7,10.8,17.8,22.7
Tuggerah,67,62,66,39,53,53,52,33,15.5,14.4,15.3,9.0,12.3,12.3,12.1,7.7
Tuggerawong,68,83,69,58,63,68,65,37,13.1,16.0,13.3,11.2,12.2,13.1,12.5,7.1
Tumbi Umbi,342,353,329,252,252,245,200,109,16.2,16.7,15.6,11.9,11.9,11.6,9.5,5.2
Turramurra,768,311,"1,977","1,033",464,354,126,64,14.8,6.0,38.1,19.9,9.0,6.8,2.4,1.2
Turrella,117,94,105,74,46,46,71,52,19.1,15.3,17.1,12.1,7.5,7.5,11.6,8.5
Ultimo,447,268,"1,075",370,315,371,204,55,14.1,8.4,33.8,11.6,9.9,11.7,6.4,1.7
Umina Beach,"1,015","1,027","1,047",630,701,769,702,393,15.9,16.1,16.4,9.9,11.0,12.0,11.0,6.1
Unanderra,262,351,291,143,173,257,263,188,13.3,17.8,14.8,7.3,8.8,13.1,13.4,9.6
Valentine,495,344,710,363,269,245,176,116,17.9,12.5,25.7,13.1,9.7,8.9,6.4,4.2
Valley Heights,117,103,182,92,53,81,48,25,16.5,14.5,25.6,13.0,7.5,11.4,6.8,3.5
Vaucluse,527,230,"1,466","1,009",349,292,97,46,12.7,5.5,35.2,24.3,8.4,7.0,2.3,1.1
Villawood,198,198,121,73,102,130,191,187,15.9,15.9,9.7,5.9,8.2,10.4,15.3,15.0
Voyager Point,158,94,220,97,62,55,24,28,21.2,12.6,29.6,13.0,8.3,7.4,3.2,3.8
Wahroonga,"1,166",438,"2,992","1,504",586,625,268,101,14.9,5.6,38.2,19.2,7.5,8.0,3.4,1.3
Waitara,405,214,"1,007",303,179,221,148,69,15.7,8.3,38.9,11.7,6.9,8.5,5.7,2.7
