,Occupied private dwellings,All private dwellings (including unoccupied),Occupied private dwellings (%),All private dwellings (including unoccupied) (%)
Dawes Point,118.0,122.0,96.7,--
Dean Park,938.0,971.0,96.6,--
Dee Why,7480.0,8139.0,91.9,--
Denistone,1167.0,1222.0,95.5,--
Denistone East,684.0,710.0,96.3,--
Denistone West,236.0,242.0,97.5,--
Dharruk,871.0,898.0,97.0,--
Dolans Bay,360.0,383.0,94.0,--
Dolls Point,642.0,687.0,93.4,--
Doonside,4227.0,4402.0,96.0,--
