,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Parramatta,6197.0,1903.0,818.0,69.5,21.3,9.2,13156
Ermington,2735.0,691.0,81.0,78.0,19.7,2.3,11435
Dundas (NSW),1146.0,274.0,53.0,77.8,18.6,3.6,11312
Melrose Park (NSW),416.0,76.0,13.0,82.4,15.0,2.6,12563
Telopea,1374.0,631.0,71.0,66.2,30.4,3.4,13782
Oatlands (NSW),1423.0,312.0,36.0,80.4,17.6,2.0,13063
Dundas Valley,1344.0,410.0,70.0,73.7,22.5,3.8,11313
Chester Hill,2895.0,852.0,87.0,75.5,22.2,2.3,10899
Sefton,1318.0,331.0,35.0,78.3,19.7,2.1,13516
Carramar (NSW),793.0,342.0,52.0,66.8,28.8,4.4,10826
Old Guildford,557.0,82.0,18.0,84.8,12.5,2.7,13077
Fairfield East,1105.0,266.0,54.0,77.5,18.7,3.8,11478
Yennora,301.0,138.0,16.0,66.2,30.3,3.5,14506
Fairfield (NSW),4328.0,1153.0,191.0,76.3,20.3,3.4,11477
Merrylands,6836.0,1763.0,454.0,75.5,19.5,5.0,12588
Granville (NSW),3457.0,956.0,349.0,72.6,20.1,7.3,11738
Guildford (NSW),4853.0,1393.0,235.0,74.9,21.5,3.6,11790
Pemulwuy,1321.0,181.0,16.0,87.0,11.9,1.1,13181
Greystanes,6018.0,1098.0,89.0,83.5,15.2,1.2,11781
South Granville,1149.0,374.0,42.0,73.4,23.9,2.7,13583
Merrylands West,1523.0,600.0,63.0,69.7,27.4,2.9,12589
Guildford West,1175.0,242.0,33.0,81.0,16.7,2.3,11791
Woodpark,377.0,60.0,9.0,84.5,13.5,2.0,14390
South Wentworthville,1498.0,399.0,52.0,76.9,20.5,2.7,13599
Holroyd,321.0,72.0,26.0,76.6,17.2,6.2,11925
Smithfield (NSW),2774.0,845.0,79.0,75.0,22.9,2.1,13559
North Parramatta,3084.0,1397.0,256.0,65.1,29.5,5.4,13001
North Rocks,2173.0,326.0,29.0,86.0,12.9,1.1,13003
Northmead,2998.0,1132.0,132.0,70.3,26.6,3.1,13023
Westmead,3961.0,1041.0,243.0,75.5,19.8,4.6,14261
Wentworthville,2818.0,696.0,155.0,76.8,19.0,4.2,14228
Winston Hills,3163.0,677.0,58.0,81.1,17.4,1.5,14335
Rosehill (NSW),876.0,346.0,95.0,66.5,26.3,7.2,13408
Harris Park,1344.0,373.0,153.0,71.9,19.9,8.2,11860
Old Toongabbie,849.0,205.0,14.0,79.5,19.2,1.3,13081
Constitution Hill,1028.0,260.0,26.0,78.2,19.8,2.0,11014
Pendle Hill,1668.0,535.0,100.0,72.4,23.2,4.3,13182
Girraween (NSW),1371.0,295.0,44.0,80.2,17.3,2.6,11636
Mays Hill,173.0,35.0,10.0,79.4,16.1,4.6,12538
North Epping,1205.0,191.0,27.0,84.7,13.4,1.9,12990
Cheltenham (NSW),611.0,61.0,9.0,89.7,9.0,1.3,10896
Pennant Hills,1919.0,480.0,63.0,77.9,19.5,2.6,13183
Denistone,1006.0,156.0,33.0,84.2,13.1,2.8,11238
Eastwood (NSW),4430.0,1093.0,372.0,75.1,18.5,6.3,11369
Denistone East,576.0,95.0,16.0,83.8,13.8,2.3,11239
Denistone West,241.0,43.0,8.0,82.5,14.7,2.7,11240
Gladesville,3006.0,1373.0,150.0,66.4,30.3,3.3,11638
Tennyson Point,321.0,57.0,9.0,82.9,14.7,2.3,13790
Huntleys Point,37.0,8.0,3.0,77.1,16.7,6.2,11961
Henley,122.0,27.0,0.0,81.9,18.1,0.0,11891
Huntleys Cove,228.0,80.0,8.0,72.2,25.3,2.5,11960
Hunters Hill,2178.0,652.0,51.0,75.6,22.6,1.8,11954
Macquarie Park,1778.0,971.0,300.0,58.3,31.8,9.8,12437
Marsfield,3052.0,1267.0,451.0,64.0,26.6,9.5,12506
North Ryde,2768.0,631.0,113.0,78.8,18.0,3.2,13005
Ryde,6889.0,2288.0,512.0,71.1,23.6,5.3,13454
East Ryde,671.0,117.0,11.0,84.0,14.6,1.4,11361
Meadowbank (NSW),1251.0,614.0,147.0,62.2,30.5,7.3,12550
West Ryde,3487.0,1116.0,274.0,71.5,22.9,5.6,14251
Putney,1092.0,186.0,26.0,83.7,14.3,2.0,13277
Busby,962.0,220.0,24.0,79.8,18.2,2.0,10720
Heckenberg,691.0,170.0,10.0,79.3,19.5,1.1,11887
Miller,669.0,366.0,29.0,62.9,34.4,2.7,12617
Ashcroft,752.0,253.0,21.0,73.3,24.7,2.0,10097
Sadleir,682.0,238.0,22.0,72.4,25.3,2.3,13461
Austral,627.0,189.0,17.0,75.3,22.7,2.0,10109
Rossmore (NSW),522.0,90.0,13.0,83.5,14.4,2.1,13420
Kemps Creek,502.0,66.0,8.0,87.2,11.5,1.4,12094
Bringelly,599.0,81.0,10.0,86.8,11.7,1.4,10575
Greendale (Liverpool - NSW),77.0,18.0,0.0,81.1,18.9,0.0,11759
Cecil Park,180.0,31.0,0.0,85.3,14.7,0.0,10866
Cecil Hills,1661.0,130.0,16.0,91.9,7.2,0.9,10865
Catherine Field,357.0,50.0,5.0,86.7,12.1,1.2,10856
Leppington,828.0,210.0,24.0,78.0,19.8,2.3,12305
Cobbitty,561.0,82.0,13.0,85.5,12.5,2.0,10954
Oran Park,1229.0,149.0,24.0,87.7,10.6,1.7,13091
Green Valley (NSW),2969.0,326.0,41.0,89.0,9.8,1.2,11756
Elizabeth Hills,623.0,58.0,0.0,91.5,8.5,0.0,11397
Hinchinbrook (NSW),2704.0,253.0,32.0,90.5,8.5,1.1,11915
Hoxton Park,1043.0,103.0,7.0,90.5,8.9,0.6,11951
Carnes Hill,525.0,41.0,3.0,92.3,7.2,0.5,10820
Horningsea Park,902.0,68.0,9.0,92.1,6.9,0.9,11935
Middleton Grange,1304.0,104.0,14.0,91.7,7.3,1.0,12607
West Hoxton,2334.0,184.0,17.0,92.1,7.3,0.7,14246
Bonnyrigg Heights,1757.0,129.0,18.0,92.3,6.8,0.9,10472
Bonnyrigg,2072.0,360.0,28.0,84.2,14.6,1.1,10471
Bossley Park,3611.0,490.0,43.0,87.1,11.8,1.0,10515
Abbotsbury,1099.0,92.0,8.0,91.7,7.7,0.7,10002
Cabramatta,4986.0,1181.0,304.0,77.1,18.3,4.7,10740
Lansvale,601.0,128.0,27.0,79.5,16.9,3.6,12275
Canley Vale,2310.0,561.0,101.0,77.7,18.9,3.4,10792
Mount Pritchard,2295.0,565.0,51.0,78.8,19.4,1.8,12785
Cabramatta West,1610.0,278.0,36.0,83.7,14.4,1.9,10741
Canley Heights,2579.0,384.0,68.0,85.1,12.7,2.2,10791
