,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Koonawarra,994.0,270.0,17.0,77.6,21.1,1.3,12187
Avondale (NSW),454.0,175.0,5.0,71.6,27.6,0.8,10116
Marshall Mount,35.0,10.0,0.0,77.8,22.2,0.0,12507
Haywards Bay,275.0,25.0,5.0,90.2,8.2,1.6,11880
Brownsville,141.0,84.0,4.0,61.6,36.7,1.7,10612
Horsley,2236.0,300.0,26.0,87.3,11.7,1.0,11942
Kembla Grange,63.0,7.0,4.0,85.1,9.5,5.4,12092
Port Kembla,1254.0,579.0,62.0,66.2,30.6,3.3,13245
Coniston,537.0,248.0,53.0,64.1,29.6,6.3,11010
Unanderra,1360.0,644.0,46.0,66.3,31.4,2.2,14008
Mount Kembla,281.0,44.0,3.0,85.7,13.4,0.9,12769
Kembla Heights,28.0,7.0,4.0,71.8,17.9,10.3,12093
Cordeaux Heights,1271.0,120.0,12.0,90.6,8.6,0.9,11070
Farmborough Heights,1144.0,197.0,23.0,83.9,14.4,1.7,11491
Berkeley,1964.0,717.0,75.0,71.3,26.0,2.7,10303
Cringila,519.0,151.0,21.0,75.1,21.9,3.0,11116
Lake Heights,1003.0,335.0,44.0,72.6,24.2,3.2,12248
Warrawong,1121.0,590.0,54.0,63.5,33.4,3.1,14167
Windang,673.0,498.0,28.0,56.1,41.5,2.3,14316
Primbee,426.0,182.0,19.0,67.9,29.0,3.0,13264
Mount Keira,449.0,89.0,22.0,80.2,15.9,3.9,12768
Bulli,1599.0,413.0,42.0,77.8,20.1,2.0,10662
Bargo,1156.0,285.0,25.0,78.9,19.4,1.7,10198
Yerrinbool,303.0,80.0,3.0,78.5,20.7,0.8,14510
Wilton (NSW),832.0,73.0,8.0,91.1,8.0,0.9,14311
Pheasants Nest,166.0,17.0,7.0,87.4,8.9,3.7,13191
Albion Park,3561.0,621.0,60.0,83.9,14.6,1.4,10025
Tullimbar,164.0,16.0,0.0,91.1,8.9,0.0,13958
Yellow Rock (Shellharbour - NSW),47.0,9.0,3.0,79.7,15.3,5.1,14503
Albion Park Rail,1836.0,541.0,52.0,75.6,22.3,2.1,10026
Kiama,1906.0,772.0,63.0,69.5,28.2,2.3,12116
Kiama Heights,239.0,40.0,11.0,82.4,13.8,3.8,12118
Bombo,27.0,15.0,3.0,60.0,33.3,6.7,10458
Kiama Downs,1413.0,241.0,27.0,84.1,14.3,1.6,12117
Minnamurra,224.0,65.0,7.0,75.7,22.0,2.4,12639
Gerringong,1016.0,302.0,32.0,75.3,22.4,2.4,11606
Jamberoo,452.0,100.0,32.0,77.4,17.1,5.5,11998
Werri Beach,159.0,39.0,4.0,78.7,19.3,2.0,14233
Gerroa,166.0,49.0,8.0,74.4,22.0,3.6,11607
Curramore (NSW),51.0,3.0,3.0,89.5,5.3,5.3,11174
Jerrara,33.0,5.0,0.0,86.8,13.2,0.0,12017
Flinders (NSW),1797.0,311.0,37.0,83.8,14.5,1.7,11534
Shellharbour,981.0,273.0,33.0,76.2,21.2,2.6,13533
Shell Cove,1551.0,123.0,14.0,91.9,7.3,0.8,13532
Barrack Point,171.0,73.0,0.0,70.1,29.9,0.0,10208
Dunmore (NSW),54.0,8.0,3.0,83.1,12.3,4.6,11323
Oak Flats,1751.0,516.0,48.0,75.6,22.3,2.1,13053
Blackbutt (NSW),916.0,241.0,18.0,78.0,20.5,1.5,10391
Shellharbour City Centre,37.0,31.0,4.0,51.4,43.1,5.6,13534
Warilla,1586.0,766.0,68.0,65.5,31.7,2.8,14151
Lake Illawarra,804.0,522.0,47.0,58.6,38.0,3.4,12250
Barrack Heights,1625.0,494.0,43.0,75.2,22.8,2.0,10207
Mount Warrigal,1359.0,310.0,30.0,80.0,18.2,1.8,12801
Fairy Meadow,1806.0,817.0,207.0,63.8,28.9,7.3,11484
Balgownie,1538.0,459.0,33.0,75.8,22.6,1.6,10155
Gwynneville,564.0,278.0,181.0,55.1,27.2,17.7,11825
North Wollongong,454.0,312.0,130.0,50.7,34.8,14.5,13017
Mount Ousley,443.0,101.0,19.0,78.7,17.9,3.4,12782
Mount Pleasant (NSW),376.0,83.0,3.0,81.4,18.0,0.6,12784
Tarrawanna,534.0,230.0,13.0,68.7,29.6,1.7,13769
Corrimal,1724.0,792.0,64.0,66.8,30.7,2.5,11082
Towradgi,798.0,390.0,41.0,64.9,31.7,3.3,13929
Fernhill,261.0,169.0,7.0,59.7,38.7,1.6,11507
East Corrimal,872.0,450.0,44.0,63.8,32.9,3.2,11348
Bellambi,1014.0,512.0,53.0,64.2,32.4,3.4,10264
West Wollongong,1198.0,493.0,136.0,65.6,27.0,7.4,14255
Keiraville,720.0,308.0,166.0,60.3,25.8,13.9,12085
Figtree,3087.0,810.0,70.0,77.8,20.4,1.8,11515
Helensburgh,1700.0,268.0,27.0,85.2,13.4,1.4,11890
Otford,95.0,19.0,6.0,79.2,15.8,5.0,13101
Stanwell Park,372.0,54.0,14.0,84.5,12.3,3.2,13653
Stanwell Tops,132.0,20.0,0.0,86.8,13.2,0.0,13654
Thirroul,1631.0,422.0,57.0,77.3,20.0,2.7,13848
Austinmer,671.0,178.0,30.0,76.3,20.3,3.4,10108
Coledale,342.0,57.0,12.0,83.2,13.9,2.9,10966
Wombarra,251.0,45.0,15.0,80.7,14.5,4.8,14363
Scarborough (NSW),80.0,11.0,4.0,84.2,11.6,4.2,13500
Coalcliff,53.0,8.0,3.0,82.8,12.5,4.7,10944
Woonona,3205.0,1146.0,92.0,72.1,25.8,2.1,14416
Russell Vale,416.0,108.0,12.0,77.6,20.1,2.2,13448
Wollongong,3885.0,2741.0,1119.0,50.2,35.4,14.4,14358
Mount Saint Thomas,389.0,140.0,20.0,70.9,25.5,3.6,12791
Mangerton,736.0,267.0,34.0,71.0,25.7,3.3,12468
Bulahdelah,381.0,167.0,16.0,67.6,29.6,2.8,10649
Wards River,51.0,26.0,5.0,62.2,31.7,6.1,14147
Stroud Road,58.0,19.0,5.0,70.7,23.2,6.1,13679
Stroud,246.0,74.0,4.0,75.9,22.8,1.2,13677
Girvan,43.0,18.0,0.0,70.5,29.5,0.0,11637
Nerong,33.0,12.0,0.0,73.3,26.7,0.0,12929
Allworth,34.0,35.0,3.0,47.2,48.6,4.2,10041
Bunyah,43.0,12.0,0.0,78.2,21.8,0.0,10690
Markwell,33.0,14.0,0.0,70.2,29.8,0.0,12493
Booral (NSW),105.0,23.0,11.0,75.5,16.5,7.9,10496
Limeburners Creek (Mid-Coast - NSW),88.0,18.0,3.0,80.7,16.5,2.8,12328
Forster (NSW),3737.0,1890.0,167.0,64.5,32.6,2.9,11550
Green Point (Mid-Coast - NSW),159.0,52.0,8.0,72.6,23.7,3.7,11755
Darawank,110.0,34.0,3.0,74.8,23.1,2.0,11203
Tarbuck Bay,55.0,22.0,0.0,71.4,28.6,0.0,13762
Nabiac,346.0,103.0,6.0,76.0,22.6,1.3,12885
Failford,149.0,60.0,6.0,69.3,27.9,2.8,11476
Coomba Park,159.0,93.0,8.0,61.2,35.8,3.1,11038
Smiths Lake,348.0,104.0,13.0,74.8,22.4,2.8,13563
Bungwahl,62.0,30.0,3.0,65.3,31.6,3.2,10687
Charlotte Bay,45.0,8.0,4.0,78.9,14.0,7.0,10887
Wootton,60.0,22.0,4.0,69.8,25.6,4.7,14417
Coolongolook,94.0,36.0,7.0,68.6,26.3,5.1,11032
Coomba Bay,30.0,19.0,0.0,61.2,38.8,0.0,11037
Minimbah,55.0,12.0,3.0,78.6,17.1,4.3,12636
Elizabeth Beach,61.0,24.0,0.0,71.8,28.2,0.0,11396
Blueys Beach,56.0,19.0,3.0,71.8,24.4,3.8,10420
Boomerang Beach,71.0,30.0,4.0,67.6,28.6,3.8,10487
Tuncurry,1595.0,1100.0,90.0,57.3,39.5,3.2,13969
South Kempsey,537.0,208.0,32.0,69.1,26.8,4.1,13588
West Kempsey,1116.0,639.0,56.0,61.6,35.3,3.1,14247
Kempsey,93.0,95.0,11.0,46.7,47.7,5.5,12095
Frederickton,342.0,96.0,9.0,76.5,21.5,2.0,11561
Aldavilla,193.0,49.0,5.0,78.1,19.8,2.0,10028
Euroka,94.0,17.0,0.0,84.7,15.3,0.0,11464
Dondingalong,194.0,64.0,8.0,72.9,24.1,3.0,11272
Greenhill (NSW),163.0,40.0,8.0,77.3,19.0,3.8,11763
East Kempsey,331.0,177.0,10.0,63.9,34.2,1.9,11354
Verges Creek,63.0,14.0,0.0,81.8,18.2,0.0,14072
Yarravel,312.0,71.0,9.0,79.6,18.1,2.3,14483
Stuarts Point,189.0,136.0,9.0,56.6,40.7,2.7,13681
Barraganyatti,39.0,11.0,0.0,78.0,22.0,0.0,10209
Yarrahapinni,59.0,21.0,0.0,73.8,26.2,0.0,14474
Hat Head,87.0,49.0,3.0,62.6,35.3,2.2,11869
Kinchela,74.0,27.0,3.0,71.2,26.0,2.9,12140
Gladstone (NSW),96.0,50.0,6.0,63.2,32.9,3.9,11639
Smithtown,162.0,64.0,4.0,70.4,27.8,1.7,13564
Mungay Creek,30.0,14.0,4.0,62.5,29.2,8.3,12841
Willawarrin,52.0,17.0,0.0,75.4,24.6,0.0,14295
Temagog,66.0,29.0,3.0,67.3,29.6,3.1,13783
Turners Flat,39.0,10.0,0.0,79.6,20.4,0.0,13976
Millbank (NSW),32.0,13.0,3.0,66.7,27.1,6.2,12616
Hickeys Creek,36.0,10.0,0.0,78.3,21.7,0.0,11899
Belmore River,73.0,17.0,3.0,78.5,18.3,3.2,10280
Crescent Head,391.0,186.0,27.0,64.7,30.8,4.5,11114
Fishermans Reach,37.0,32.0,0.0,53.6,46.4,0.0,11524
Clybucca,36.0,11.0,5.0,69.2,21.2,9.6,10940
Bellimbopinni,28.0,7.0,0.0,80.0,20.0,0.0,10272
Collombatti,157.0,40.0,8.0,76.6,19.5,3.9,10979
Kundabung,162.0,28.0,3.0,83.9,14.5,1.6,12209
Sherwood (Kempsey - NSW),48.0,10.0,3.0,78.7,16.4,4.9,13537
Bellbrook,75.0,48.0,3.0,59.5,38.1,2.4,10270
Macksville,640.0,313.0,29.0,65.2,31.9,3.0,12430
North Macksville,167.0,77.0,7.0,66.5,30.7,2.8,12995
Way Way,69.0,20.0,3.0,75.0,21.7,3.3,14203
Scotts Head,248.0,110.0,9.0,67.6,30.0,2.5,13508
Gumma,133.0,31.0,5.0,78.7,18.3,3.0,11801
Nambucca Heads,1591.0,1108.0,88.0,57.1,39.8,3.2,12887
Hyland Park,113.0,49.0,11.0,65.3,28.3,6.4,11968
Bowraville,276.0,150.0,20.0,61.9,33.6,4.5,10537
Valla Beach,370.0,172.0,23.0,65.5,30.4,4.1,14068
South Arm (Nambucca - NSW),88.0,38.0,6.0,66.7,28.8,4.5,13575
Newee Creek,107.0,19.0,8.0,79.9,14.2,6.0,12952
Congarinni North,96.0,23.0,0.0,80.7,19.3,0.0,11006
Congarinni,96.0,10.0,0.0,90.6,9.4,0.0,11005
Talarm,65.0,21.0,4.0,72.2,23.3,4.4,13728
Warrell Creek,71.0,15.0,4.0,78.9,16.7,4.4,14170
Eungai Creek,104.0,32.0,10.0,71.2,21.9,6.8,11458
Eungai Rail,52.0,19.0,3.0,70.3,25.7,4.1,11459
Allgomera,28.0,19.0,3.0,56.0,38.0,6.0,10040
Yarranbella,46.0,14.0,7.0,68.7,20.9,10.4,14478
Utungun,50.0,12.0,0.0,80.6,19.4,0.0,14062
Upper Taylors Arm,29.0,17.0,0.0,63.0,37.0,0.0,14045
Taylors Arm,34.0,10.0,4.0,70.8,20.8,8.3,13776
Argents Hill,58.0,25.0,8.0,63.7,27.5,8.8,10079
Missabotti,83.0,29.0,0.0,74.1,25.9,0.0,12649
South West Rocks,1269.0,653.0,56.0,64.2,33.0,2.8,13600
Arakoon,132.0,41.0,7.0,73.3,22.8,3.9,10069
Jerseyville,30.0,10.0,3.0,69.8,23.3,7.0,12022
Lord Howe Island,90.0,43.0,7.0,64.3,30.7,5.0,12387
Lake Cathie,1019.0,271.0,32.0,77.1,20.5,2.4,12243
Bonny Hills,864.0,222.0,24.0,77.8,20.0,2.2,10470
North Haven (NSW),445.0,321.0,12.0,57.2,41.3,1.5,12992
Kendall,299.0,78.0,13.0,76.7,20.0,3.3,12096
West Haven,296.0,183.0,17.0,59.7,36.9,3.4,14245
Laurieton,527.0,441.0,29.0,52.9,44.2,2.9,12283
Kew (NSW),314.0,64.0,5.0,82.0,16.7,1.3,12109
Herons Creek,62.0,12.0,3.0,80.5,15.6,3.9,11897
Upsalls Creek,30.0,11.0,3.0,68.2,25.0,6.8,14049
Lorne (NSW),70.0,20.0,6.0,72.9,20.8,6.2,12390
Lakewood,343.0,139.0,7.0,70.1,28.4,1.4,12259
Dunbogan,302.0,129.0,13.0,68.0,29.1,2.9,11310
Johns River,69.0,31.0,7.0,64.5,29.0,6.5,12037
Camden Head,49.0,12.0,3.0,76.6,18.8,4.7,10771
Port Macquarie,11899.0,5543.0,642.0,65.8,30.7,3.6,13246
Lake Innes,117.0,18.0,3.0,84.8,13.0,2.2,12251
Fernbank Creek,39.0,7.0,0.0,84.8,15.2,0.0,11505
Riverside (NSW),83.0,22.0,0.0,79.0,21.0,0.0,13367
Thrumster,118.0,13.0,0.0,90.1,9.9,0.0,13852
North Shore (NSW),88.0,43.0,4.0,65.2,31.9,3.0,13006
Telegraph Point,166.0,42.0,9.0,76.5,19.4,4.1,13781
Blackmans Point,35.0,23.0,3.0,57.4,37.7,4.9,10395
Gum Scrub,39.0,4.0,0.0,90.7,9.3,0.0,11797
Cooperabung,74.0,17.0,0.0,81.3,18.7,0.0,11046
Rollands Plains,43.0,15.0,0.0,74.1,25.9,0.0,13392
Pembrooke,32.0,10.0,0.0,76.2,23.8,0.0,13180
Frazers Creek,53.0,14.0,0.0,79.1,20.9,0.0,11560
Mortons Creek,84.0,11.0,6.0,83.2,10.9,5.9,12731
Long Flat (NSW),31.0,15.0,3.0,63.3,30.6,6.1,12377
Byabarra,86.0,15.0,3.0,82.7,14.4,2.9,10727
Comboyne,131.0,44.0,5.0,72.8,24.4,2.8,10992
Wauchope,1617.0,700.0,57.0,68.1,29.5,2.4,14197
Yippin Creek,57.0,18.0,0.0,76.0,24.0,0.0,14515
Rosewood (Port Macquarie-Hastings - NSW),62.0,9.0,0.0,87.3,12.7,0.0,13414
Beechwood,164.0,49.0,7.0,74.5,22.3,3.2,10248
Redbank (NSW),113.0,11.0,4.0,88.3,8.6,3.1,13336
Crosslands,160.0,23.0,5.0,85.1,12.2,2.7,11127
King Creek,447.0,48.0,12.0,88.2,9.5,2.4,12145
Sancrox,158.0,33.0,3.0,81.4,17.0,1.5,13471
Gloucester,805.0,413.0,27.0,64.7,33.2,2.2,11685
Stratford (NSW),35.0,19.0,6.0,58.3,31.7,10.0,13672
Forbesdale,49.0,3.0,0.0,94.2,5.8,0.0,11539
Barrington (NSW),114.0,34.0,0.0,77.0,23.0,0.0,10216
Bowman,33.0,18.0,3.0,61.1,33.3,5.6,10531
Diamond Beach,263.0,68.0,8.0,77.6,20.1,2.4,11251
Manning Point,64.0,48.0,6.0,54.2,40.7,5.1,12478
Mitchells Island,136.0,30.0,0.0,81.9,18.1,0.0,12652
Oxley Island,78.0,22.0,0.0,78.0,22.0,0.0,13109
Old Bar,1225.0,514.0,51.0,68.4,28.7,2.8,13073
Black Head,256.0,113.0,11.0,67.4,29.7,2.9,10384
Red Head,152.0,51.0,8.0,72.0,24.2,3.8,13329
Rainbow Flat,197.0,36.0,3.0,83.5,15.3,1.3,13305
Hallidays Point,160.0,25.0,3.0,85.1,13.3,1.6,11832
Wallabi Point,214.0,31.0,6.0,85.3,12.4,2.4,14099
Koorainghat,53.0,10.0,3.0,80.3,15.2,4.5,12191
Tallwoods Village,218.0,45.0,3.0,82.0,16.9,1.1,13737
Taree,4029.0,2220.0,216.0,62.3,34.3,3.3,13764
Cundletown,548.0,169.0,19.0,74.5,23.0,2.6,11161
Taree South,92.0,36.0,3.0,70.2,27.5,2.3,13765
Pampoolah,106.0,29.0,5.0,75.7,20.7,3.6,13142
Glenthorne,55.0,24.0,6.0,64.7,28.2,7.1,11680
Tinonee,302.0,92.0,8.0,75.1,22.9,2.0,13876
Harrington,929.0,395.0,28.0,68.7,29.2,2.1,11858
Wherrol Flat,96.0,26.0,0.0,78.7,21.3,0.0,14271
Coopernook,137.0,63.0,9.0,65.6,30.1,4.3,11047
Moto,29.0,3.0,3.0,82.9,8.6,8.6,12742
Moorland (NSW),135.0,53.0,9.0,68.5,26.9,4.6,12714
Stewarts River,33.0,4.0,0.0,89.2,10.8,0.0,13659
Upper Lansdowne,156.0,42.0,5.0,76.8,20.7,2.5,14033
Lansdowne (Mid-Coast - NSW),163.0,47.0,10.0,74.1,21.4,4.5,12273
Killabakh,81.0,18.0,0.0,81.8,18.2,0.0,12128
Cedar Party,108.0,31.0,0.0,77.7,22.3,0.0,10870
Elands,42.0,45.0,3.0,46.7,50.0,3.3,11388
Bobin,35.0,13.0,0.0,72.9,27.1,0.0,10427
Mount George (NSW),70.0,37.0,4.0,63.1,33.3,3.6,12761
Killawarra (NSW),44.0,10.0,0.0,81.5,18.5,0.0,12132
Burrell Creek,64.0,26.0,0.0,71.1,28.9,0.0,10709
Bootawa,39.0,16.0,0.0,70.9,29.1,0.0,10504
Mondrook,51.0,9.0,3.0,81.0,14.3,4.8,12676
Hillville,94.0,12.0,0.0,88.7,11.3,0.0,11913
Kimbriki,37.0,13.0,4.0,68.5,24.1,7.4,12139
Belbora,29.0,15.0,0.0,65.9,34.1,0.0,10256
Krambach,100.0,50.0,4.0,64.9,32.5,2.6,12202
Dyers Crossing,91.0,40.0,3.0,67.9,29.9,2.2,11338
Firefly,82.0,28.0,3.0,72.6,24.8,2.7,11521
Coralville,35.0,11.0,3.0,71.4,22.4,6.1,11064
Wingham,1391.0,609.0,56.0,67.7,29.6,2.7,14332
Thurgoona,2209.0,397.0,159.0,79.9,14.4,5.8,13856
East Albury,1530.0,798.0,111.0,62.7,32.7,4.6,11344
North Albury,1441.0,839.0,107.0,60.4,35.1,4.5,12977
Lavington,3090.0,1825.0,192.0,60.5,35.7,3.8,12287
Glenroy (Albury - NSW),883.0,265.0,28.0,75.1,22.5,2.4,11678
Hamilton Valley,148.0,27.0,13.0,78.7,14.4,6.9,11842
Albury,1115.0,763.0,86.0,56.8,38.8,4.4,10027
South Albury,276.0,325.0,37.0,43.3,50.9,5.8,13573
West Albury,958.0,475.0,44.0,64.9,32.2,3.0,14239
Splitters Creek,80.0,6.0,0.0,93.0,7.0,0.0,13610
Jindera,576.0,108.0,9.0,83.1,15.6,1.3,12032
Holbrook,427.0,219.0,12.0,64.9,33.3,1.8,11920
Table Top,381.0,42.0,0.0,90.1,9.9,0.0,13722
Little Billabong,33.0,3.0,0.0,91.7,8.3,0.0,12350
Gerogery,150.0,39.0,8.0,76.1,19.8,4.1,11605
Brocklesby,48.0,23.0,0.0,67.6,32.4,0.0,10584
Walla Walla,216.0,82.0,4.0,71.5,27.2,1.3,14097
Burrumbuttock,95.0,29.0,0.0,76.6,23.4,0.0,10716
Walbundrie,42.0,16.0,0.0,72.4,27.6,0.0,14092
Morven (Greater Hume Shire - NSW),34.0,14.0,3.0,66.7,27.5,5.9,12737
Culcairn,369.0,146.0,21.0,68.8,27.2,3.9,11147
Henty (NSW),306.0,166.0,5.0,64.2,34.8,1.0,11892
Bowna,28.0,7.0,3.0,73.7,18.4,7.9,10534
Bungowannah,45.0,14.0,0.0,76.3,23.7,0.0,10686
Woomargama,47.0,24.0,0.0,66.2,33.8,0.0,14413
Springdale Heights,514.0,254.0,27.0,64.7,31.9,3.4,13622
Hay (NSW),583.0,288.0,13.0,66.0,32.6,1.5,11874
Hay South,95.0,40.0,3.0,68.8,29.0,2.2,11875
Gol Gol,414.0,94.0,7.0,80.4,18.3,1.4,11693
Buronga,292.0,123.0,17.0,67.6,28.5,3.9,10696
Wentworth (NSW),360.0,209.0,21.0,61.0,35.4,3.6,14225
Coomealla,209.0,48.0,0.0,81.3,18.7,0.0,11041
Dareton,123.0,63.0,4.0,64.7,33.2,2.1,11206
Curlwaa,107.0,33.0,6.0,73.3,22.6,4.1,11170
Euston,191.0,57.0,6.0,75.2,22.4,2.4,11468
Pomona (NSW),46.0,14.0,0.0,76.7,23.3,0.0,13240
Tooleybuc,70.0,20.0,4.0,74.5,21.3,4.3,13902
Balranald,343.0,164.0,4.0,67.1,32.1,0.8,10168
Corowa,1462.0,718.0,51.0,65.5,32.2,2.3,11080
Mulwala,581.0,273.0,13.0,67.0,31.5,1.5,12830
Balldale,37.0,20.0,4.0,60.7,32.8,6.6,10159
Rand,52.0,27.0,0.0,65.8,34.2,0.0,13311
Oaklands,87.0,45.0,4.0,64.0,33.1,2.9,13059
Howlong,732.0,295.0,23.0,69.7,28.1,2.2,11950
Urana,84.0,51.0,3.0,60.9,37.0,2.2,14052
Deniliquin,1960.0,1006.0,82.0,64.3,33.0,2.7,11237
Mayrung,38.0,14.0,0.0,73.1,26.9,0.0,12537
Mathoura,273.0,137.0,6.0,65.6,32.9,1.4,12522
Barham,379.0,247.0,11.0,59.5,38.8,1.7,10199
Wakool,81.0,41.0,0.0,66.4,33.6,0.0,14090
Moulamein,119.0,70.0,3.0,62.0,36.5,1.6,12743
Koraleigh,93.0,20.0,5.0,78.8,16.9,4.2,12195
Conargo,29.0,17.0,3.0,59.2,34.7,6.1,10998
Moama,1638.0,630.0,52.0,70.6,27.2,2.2,12654
Warragoon,34.0,9.0,0.0,79.1,20.9,0.0,14159
Blighty,38.0,12.0,3.0,71.7,22.6,5.7,10412
Barooga,460.0,182.0,17.0,69.8,27.6,2.6,10205
Tocumwal,699.0,361.0,25.0,64.4,33.3,2.3,13886
Finley,618.0,331.0,31.0,63.1,33.8,3.2,11520
Berrigan,292.0,190.0,9.0,59.5,38.7,1.8,10318
Jerilderie,260.0,123.0,7.0,66.7,31.5,1.8,12014
Armidale,5196.0,2460.0,429.0,64.3,30.4,5.3,10085
Guyra,508.0,205.0,28.0,68.6,27.7,3.8,11822
South Guyra,80.0,30.0,5.0,69.6,26.1,4.3,13586
Ben Lomond (NSW),46.0,19.0,0.0,70.8,29.2,0.0,10286
Black Mountain (NSW),81.0,16.0,0.0,83.5,16.5,0.0,10387
Thalgarrah,57.0,19.0,0.0,75.0,25.0,0.0,13810
Ebor,42.0,26.0,0.0,61.8,38.2,0.0,11372
Uralla (NSW),720.0,342.0,23.0,66.4,31.5,2.1,14051
Saumarez Ponds,119.0,22.0,0.0,84.4,15.6,0.0,13495
Invergowrie,210.0,52.0,5.0,78.7,19.5,1.9,11983
Arding,69.0,11.0,0.0,86.2,13.8,0.0,10075
Dangarsleigh,44.0,7.0,0.0,86.3,13.7,0.0,11200
Kellys Plains,54.0,5.0,0.0,91.5,8.5,0.0,12087
Kentucky,45.0,21.0,0.0,68.2,31.8,0.0,12102
Kentucky South,30.0,21.0,0.0,58.8,41.2,0.0,12103
Balala,33.0,13.0,0.0,71.7,28.3,0.0,10144
Rocky River (Uralla - NSW),69.0,32.0,5.0,65.1,30.2,4.7,13390
Walcha,668.0,294.0,19.0,68.1,30.0,1.9,14093
Woolbrook,42.0,9.0,3.0,77.8,16.7,5.6,14400
Nowendoc,41.0,18.0,3.0,66.1,29.0,4.8,13026
Yarrowitch,39.0,24.0,3.0,59.1,36.4,4.5,14491
Stonehenge (NSW),38.0,8.0,0.0,82.6,17.4,0.0,13665
Glen Innes,1509.0,862.0,66.0,61.9,35.4,2.7,11649
Emmaville,151.0,69.0,5.0,67.1,30.7,2.2,11414
Deepwater (NSW),110.0,68.0,5.0,60.1,37.2,2.7,11231
Dundee,42.0,11.0,3.0,75.0,19.6,5.4,11314
Red Range,51.0,26.0,0.0,66.2,33.8,0.0,13333
Inverell,3017.0,1332.0,120.0,67.5,29.8,2.7,11981
Ashford (NSW),166.0,83.0,9.0,64.3,32.2,3.5,10099
Tingha,204.0,65.0,15.0,71.8,22.9,5.3,13874
Yetman,49.0,27.0,0.0,64.5,35.5,0.0,14514
Bundarra,180.0,63.0,7.0,72.0,25.2,2.8,10671
Gilgai,176.0,49.0,9.0,75.2,20.9,3.8,11618
Elsmore,73.0,16.0,0.0,82.0,18.0,0.0,11408
Bingara,350.0,224.0,19.0,59.0,37.8,3.2,10365
Gravesend,82.0,31.0,4.0,70.1,26.5,3.4,11742
Auburn Vale,34.0,3.0,3.0,85.0,7.5,7.5,10107
Gum Flat,60.0,6.0,4.0,85.7,8.6,5.7,11796
Delungra,167.0,57.0,3.0,73.6,25.1,1.3,11234
Warialda,418.0,189.0,15.0,67.2,30.4,2.4,14149
Upper Horton,42.0,17.0,0.0,71.2,28.8,0.0,14029
Tabulam,117.0,68.0,6.0,61.3,35.6,3.1,13723
Tenterfield,1041.0,583.0,33.0,62.8,35.2,2.0,13792
Drake,67.0,64.0,7.0,48.6,46.4,5.1,11290
Liston,38.0,26.0,0.0,59.4,40.6,0.0,12346
Legume,43.0,16.0,4.0,68.3,25.4,6.3,12296
Urbenville,78.0,40.0,3.0,64.5,33.1,2.5,14057
Woodenbong,107.0,57.0,0.0,65.2,34.8,0.0,14382
Jennings,42.0,21.0,6.0,60.9,30.4,8.7,12008
Moree,2211.0,971.0,97.0,67.4,29.6,3.0,12722
Pallamallawa,112.0,49.0,0.0,69.6,30.4,0.0,13131
Garah,74.0,28.0,4.0,69.8,26.4,3.8,11586
Boomi,43.0,28.0,0.0,60.6,39.4,0.0,10489
Ashley,94.0,28.0,3.0,75.2,22.4,2.4,10100
Boggabilla,209.0,67.0,9.0,73.3,23.5,3.2,10441
North Star,60.0,22.0,3.0,70.6,25.9,3.5,13008
Mungindi (NSW),123.0,87.0,10.0,55.9,39.5,4.5,12843
Gurley,60.0,22.0,0.0,73.2,26.8,0.0,11817
Biniguy,31.0,12.0,0.0,72.1,27.9,0.0,10369
Bellata,85.0,33.0,3.0,70.2,27.3,2.5,10266
Narrabri,1906.0,735.0,80.0,70.0,27.0,2.9,12903
Wee Waa,466.0,239.0,21.0,64.2,32.9,2.9,14211
Merah North,41.0,9.0,0.0,82.0,18.0,0.0,12572
Maules Creek,32.0,13.0,0.0,71.1,28.9,0.0,12526
Baan Baa,47.0,19.0,5.0,66.2,26.8,7.0,10120
Tarriaro,37.0,8.0,0.0,82.2,17.8,0.0,13770
Gunnedah,2466.0,1071.0,94.0,67.9,29.5,2.6,11812
Curlewis (NSW),209.0,58.0,4.0,77.1,21.4,1.5,11169
Boggabri,275.0,131.0,15.0,65.3,31.1,3.6,10442
Piallaway,35.0,9.0,3.0,74.5,19.1,6.4,13196
Breeza,46.0,9.0,0.0,83.6,16.4,0.0,10561
Caroona,52.0,15.0,5.0,72.2,20.8,6.9,10823
Spring Ridge,72.0,30.0,3.0,68.6,28.6,2.9,13619
Emerald Hill,36.0,8.0,3.0,76.6,17.0,6.4,11412
Mullaley,49.0,18.0,0.0,73.1,26.9,0.0,12820
Kelvin,49.0,16.0,0.0,75.4,24.6,0.0,12091
Werris Creek,385.0,232.0,19.0,60.5,36.5,3.0,14238
Quirindi,886.0,407.0,30.0,67.0,30.8,2.3,13301
Wallabadah,107.0,51.0,4.0,66.0,31.5,2.5,14098
Currabubula,88.0,33.0,4.0,70.4,26.4,3.2,11172
Willow Tree,78.0,29.0,3.0,70.9,26.4,2.7,14305
Hillvue,1760.0,427.0,64.0,78.2,19.0,2.8,11914
Calala,1025.0,257.0,37.0,77.7,19.5,2.8,10748
Kingswood (Tamworth Regional - NSW),290.0,33.0,4.0,88.7,10.1,1.2,12164
South Tamworth,1580.0,988.0,104.0,59.1,37.0,3.9,13597
West Tamworth,1195.0,704.0,99.0,59.8,35.2,5.0,14252
