,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Thornleigh,593.0,1057.0,1009.0,3349.0,834.0,796.0,7.8,13.8,13.2,43.8,10.9,10.4
Tighes Hill,97.0,187.0,193.0,654.0,128.0,191.0,6.7,12.9,13.3,45.1,8.8,13.2
Tingira Heights,267.0,459.0,321.0,1298.0,265.0,321.0,9.1,15.6,10.9,44.1,9.0,10.9
Toongabbie,918.0,1792.0,1901.0,5748.0,1253.0,1189.0,7.2,14.0,14.9,44.9,9.8,9.3
Toowoon Bay,24.0,47.0,39.0,185.0,83.0,154.0,4.6,9.0,7.4,35.3,15.8,29.4
Toronto,317.0,701.0,594.0,1862.0,546.0,1107.0,6.2,13.7,11.6,36.3,10.6,21.6
Toukley,228.0,498.0,335.0,1296.0,445.0,1330.0,5.5,12.1,8.1,31.4,10.8,32.2
Towradgi,185.0,357.0,328.0,1158.0,254.0,766.0,6.1,11.7,10.8,38.0,8.3,25.2
Tregear,377.0,877.0,566.0,1469.0,436.0,267.0,9.4,22.0,14.2,36.8,10.9,6.7
Tuggerah,119.0,146.0,103.0,403.0,56.0,83.0,12.9,15.9,11.2,43.8,6.1,9.0
Tuggerawong,80.0,226.0,149.0,509.0,100.0,167.0,6.5,18.2,12.0,41.0,8.1,13.5
Tumbi Umbi,247.0,594.0,447.0,1327.0,299.0,473.0,7.3,17.5,13.2,39.2,8.8,14.0
Turramurra,541.0,1521.0,1483.0,3894.0,1058.0,1782.0,5.3,14.8,14.4,37.9,10.3,17.3
Turrella,101.0,191.0,175.0,604.0,117.0,154.0,7.5,14.2,13.0,44.8,8.7,11.4
Ultimo,156.0,251.0,1060.0,2059.0,235.0,293.0,3.8,6.2,26.1,50.8,5.8,7.2
Umina Beach,1017.0,1890.0,1672.0,5823.0,1624.0,3175.0,6.7,12.4,11.0,38.3,10.7,20.9
Unanderra,439.0,828.0,784.0,2320.0,508.0,1054.0,7.4,14.0,13.2,39.1,8.6,17.8
Valentine,297.0,845.0,665.0,2175.0,635.0,557.0,5.7,16.3,12.9,42.1,12.3,10.8
Valley Heights,89.0,210.0,178.0,616.0,152.0,114.0,6.6,15.5,13.1,45.5,11.2,8.4
Vaucluse,526.0,1217.0,1184.0,3807.0,903.0,1287.0,5.9,13.6,13.3,42.7,10.1,14.4
Villawood,459.0,1123.0,944.0,2674.0,519.0,1088.0,6.7,16.5,13.9,39.3,7.6,16.0
Voyager Point,79.0,135.0,93.0,412.0,28.0,9.0,10.4,17.8,12.2,54.2,3.7,1.2
Wahroonga,756.0,2179.0,2304.0,5496.0,1591.0,2720.0,5.0,14.5,15.3,36.5,10.6,18.1
Waitara,92.0,213.0,271.0,674.0,133.0,301.0,5.4,12.6,16.0,39.9,7.9,17.8
Wakeley,354.0,761.0,837.0,2181.0,415.0,331.0,7.3,15.6,17.2,44.7,8.5,6.8
Wallsend,755.0,1440.0,1575.0,4618.0,1082.0,2024.0,6.6,12.5,13.7,40.2,9.4,17.6
Wamberal,336.0,768.0,767.0,2213.0,468.0,888.0,6.2,14.1,14.1,40.7,8.6,16.3
Warabrook,104.0,264.0,331.0,813.0,169.0,339.0,5.2,13.1,16.4,40.4,8.4,16.8
Waratah,224.0,431.0,626.0,1588.0,343.0,1192.0,5.1,9.8,14.2,36.0,7.8,27.1
Waratah West,177.0,309.0,495.0,1061.0,293.0,462.0,6.3,11.0,17.7,37.9,10.5,16.5
Wareemba,74.0,128.0,132.0,655.0,150.0,280.0,5.2,9.0,9.3,46.1,10.5,19.7
Warilla,404.0,903.0,703.0,2200.0,650.0,941.0,7.0,15.6,12.1,37.9,11.2,16.2
Warners Bay,419.0,841.0,785.0,2626.0,759.0,1157.0,6.4,12.8,11.9,39.8,11.5,17.6
Warrawee,142.0,408.0,393.0,910.0,276.0,299.0,5.9,16.8,16.2,37.6,11.4,12.3
Warrawong,267.0,501.0,596.0,1765.0,570.0,1026.0,5.7,10.6,12.6,37.4,12.1,21.7
Warriewood,219.0,369.0,388.0,1401.0,305.0,329.0,7.3,12.2,12.9,46.5,10.1,10.9
Warrimoo,194.0,363.0,290.0,1092.0,157.0,168.0,8.6,16.1,12.8,48.4,7.0,7.4
Warwick Farm,372.0,587.0,609.0,2005.0,426.0,588.0,8.1,12.8,13.3,43.7,9.3,12.8
Watanobbi,318.0,607.0,402.0,1394.0,227.0,267.0,9.9,18.8,12.5,43.3,7.0,8.3
