,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Schofields,500.0,451.0,320.0,9.0,54.0,37.5,33.8,24.0,0.7,4.0
Scotland Island,69.0,107.0,43.0,0.0,25.0,28.2,43.7,17.6,0.0,10.2
Seaforth,887.0,771.0,380.0,5.0,92.0,41.5,36.1,17.8,0.2,4.3
Sefton,664.0,508.0,475.0,8.0,158.0,36.6,28.0,26.2,0.4,8.7
Seven Hills,2143.0,2270.0,1696.0,27.0,338.0,33.1,35.1,26.2,0.4,5.2
Shalvey,166.0,297.0,582.0,8.0,70.0,14.8,26.4,51.8,0.7,6.2
Shell Cove,256.0,462.0,143.0,3.0,29.0,28.6,51.7,16.0,0.3,3.2
Shellharbour,459.0,335.0,314.0,4.0,114.0,37.4,27.3,25.6,0.3,9.3
Shelly Beach,249.0,128.0,111.0,3.0,41.0,46.6,24.0,20.8,0.6,7.7
Shortland,579.0,425.0,348.0,9.0,62.0,40.7,29.9,24.5,0.6,4.4
Silverwater (Auburn),58.0,96.0,159.0,0.0,23.0,17.2,28.5,47.2,0.0,6.8
Smithfield,1366.0,1081.0,1128.0,16.0,248.0,35.6,28.2,29.4,0.4,6.5
South Coogee,452.0,352.0,982.0,25.0,226.0,22.2,17.3,48.2,1.2,11.1
South Granville,333.0,337.0,232.0,8.0,86.0,33.4,33.8,23.2,0.8,8.6
South Hurstville,582.0,500.0,437.0,11.0,117.0,35.3,30.4,26.5,0.7,7.1
South Penrith,1443.0,1701.0,858.0,8.0,148.0,34.7,40.9,20.6,0.2,3.6
South Turramurra,463.0,413.0,69.0,4.0,41.0,46.6,41.6,6.9,0.4,4.1
South Wentworthville,583.0,535.0,569.0,10.0,119.0,32.1,29.5,31.3,0.6,6.6
Speers Point,572.0,344.0,296.0,3.0,71.0,44.5,26.8,23.1,0.2,5.5
Springfield (Gosford),330.0,627.0,357.0,3.0,117.0,23.0,43.7,24.9,0.2,8.2
Springwood,1140.0,1145.0,598.0,112.0,92.0,36.9,37.1,19.4,3.6,3.0
St Andrews,441.0,950.0,357.0,8.0,61.0,24.2,52.2,19.6,0.4,3.4
St Clair (Penrith),1593.0,3335.0,992.0,11.0,221.0,25.9,54.2,16.1,0.2,3.6
St Helens Park,236.0,1066.0,533.0,12.0,139.0,11.9,53.7,26.9,0.6,7.0
St Huberts Island,293.0,92.0,48.0,0.0,28.0,63.7,20.0,10.4,0.0,6.1
St Ives,2422.0,1701.0,467.0,22.0,127.0,51.1,35.9,9.9,0.5,2.7
St Ives Chase,517.0,393.0,67.0,0.0,28.0,51.4,39.1,6.7,0.0,2.8
St Johns Park,729.0,482.0,219.0,3.0,97.0,47.8,31.6,14.4,0.2,6.4
St Leonards,212.0,340.0,1129.0,7.0,391.0,10.2,16.4,54.4,0.3,18.8
St Marys,1016.0,942.0,1570.0,12.0,361.0,26.1,24.2,40.3,0.3,9.3
St Peters,229.0,359.0,412.0,3.0,125.0,20.3,31.9,36.6,0.3,11.1
Stanhope Gardens,320.0,803.0,291.0,8.0,114.0,20.8,52.1,18.9,0.5,7.4
Stanmore,677.0,826.0,1270.0,13.0,344.0,21.6,26.4,40.5,0.4,11.0
Stockton,590.0,377.0,487.0,13.0,115.0,37.3,23.8,30.8,0.8,7.3
Strathfield,2434.0,1522.0,2288.0,35.0,589.0,35.4,22.2,33.3,0.5,8.6
Strathfield South,362.0,385.0,268.0,0.0,73.0,33.2,35.3,24.6,0.0,6.7
Summer Hill (Ashfield),508.0,673.0,1301.0,12.0,261.0,18.4,24.4,47.2,0.4,9.5
Surry Hills,697.0,1324.0,3806.0,32.0,2066.0,8.8,16.7,48.0,0.4,26.1
Sutherland,993.0,1425.0,1724.0,25.0,261.0,22.4,32.2,38.9,0.6,5.9
Swansea,936.0,360.0,561.0,47.0,152.0,45.5,17.5,27.3,2.3,7.4
Swansea Heads,87.0,73.0,45.0,5.0,4.0,40.7,34.1,21.0,2.3,1.9
Sydenham,120.0,126.0,103.0,0.0,36.0,31.1,32.6,26.7,0.0,9.3
Sydney,653.0,600.0,2509.0,22.0,2378.0,10.6,9.7,40.7,0.4,38.6
Sylvania,1610.0,1024.0,792.0,90.0,213.0,43.1,27.4,21.2,2.4,5.7
Sylvania Waters,459.0,355.0,158.0,6.0,71.0,43.8,33.9,15.1,0.6,6.8
Tacoma,67.0,116.0,28.0,4.0,10.0,30.0,52.0,12.6,1.8,4.5
Tacoma South,26.0,48.0,6.0,0.0,6.0,29.5,54.5,6.8,0.0,6.8
Tamarama,165.0,128.0,272.0,0.0,116.0,24.2,18.8,39.9,0.0,17.0
Taren Point,232.0,118.0,72.0,17.0,39.0,48.0,24.4,14.9,3.5,8.1
Tarrawanna,223.0,133.0,152.0,23.0,51.0,38.5,23.0,26.3,4.0,8.8
Tascott,251.0,245.0,109.0,0.0,55.0,37.9,37.0,16.5,0.0,8.3
Tempe,390.0,422.0,267.0,11.0,143.0,31.6,34.2,21.6,0.9,11.6
Teralba,199.0,184.0,137.0,5.0,26.0,36.0,33.3,24.8,0.9,4.7
Terrey Hills,363.0,347.0,115.0,7.0,46.0,41.3,39.5,13.1,0.8,5.2
Terrigal,1415.0,1130.0,983.0,14.0,253.0,37.3,29.8,25.9,0.4,6.7
The Entrance,398.0,97.0,709.0,9.0,172.0,28.8,7.0,51.3,0.7,12.4
The Entrance North,168.0,81.0,189.0,0.0,55.0,34.1,16.5,38.4,0.0,11.2
The Hill,220.0,175.0,469.0,0.0,178.0,21.1,16.8,45.0,0.0,17.1
The Junction,164.0,115.0,302.0,4.0,37.0,26.1,18.3,48.1,0.6,5.9
Thirroul,833.0,642.0,505.0,20.0,110.0,39.5,30.5,24.0,0.9,5.2
Thornleigh,968.0,1091.0,451.0,8.0,97.0,37.0,41.7,17.2,0.3,3.7
Tighes Hill,194.0,196.0,237.0,6.0,31.0,29.2,29.5,35.7,0.9,4.7
Tingira Heights,293.0,499.0,177.0,3.0,65.0,28.3,48.2,17.1,0.3,6.3
Toongabbie,1436.0,1595.0,1195.0,12.0,202.0,32.3,35.9,26.9,0.3,4.5
Toowoon Bay,107.0,22.0,92.0,0.0,12.0,45.7,9.4,39.3,0.0,5.1
Toronto,742.0,424.0,777.0,24.0,121.0,35.5,20.3,37.2,1.1,5.8
Toukley,715.0,320.0,709.0,9.0,124.0,38.1,17.0,37.8,0.5,6.6
Towradgi,458.0,289.0,354.0,52.0,73.0,37.4,23.6,28.9,4.2,6.0
Tregear,215.0,246.0,686.0,4.0,111.0,17.0,19.5,54.4,0.3,8.8
Tuggerah,96.0,108.0,134.0,8.0,23.0,26.0,29.3,36.3,2.2,6.2
Tuggerawong,138.0,167.0,111.0,7.0,24.0,30.9,37.4,24.9,1.6,5.4
Tumbi Umbi,531.0,553.0,299.0,87.0,67.0,34.5,36.0,19.5,5.7,4.4
Turramurra,1722.0,1213.0,505.0,83.0,165.0,46.7,32.9,13.7,2.3,4.5
Turrella,137.0,94.0,50.0,4.0,30.0,43.4,29.7,15.8,1.3,9.5
Ultimo,201.0,299.0,1440.0,10.0,1003.0,6.8,10.1,48.8,0.3,34.0
Umina Beach,2230.0,1574.0,1602.0,62.0,744.0,35.9,25.3,25.8,1.0,12.0
Unanderra,667.0,547.0,804.0,62.0,170.0,29.6,24.3,35.7,2.8,7.6
Valentine,897.0,786.0,218.0,4.0,56.0,45.8,40.1,11.1,0.2,2.9
Valley Heights,197.0,217.0,54.0,0.0,13.0,40.8,44.9,11.2,0.0,2.7
Vaucluse,1265.0,753.0,746.0,12.0,530.0,38.3,22.8,22.6,0.4,16.0
Villawood,288.0,298.0,1085.0,14.0,156.0,15.6,16.2,58.9,0.8,8.5
Voyager Point,58.0,259.0,41.0,0.0,10.0,15.8,70.4,11.1,0.0,2.7
Wahroonga,2061.0,1690.0,597.0,43.0,205.0,44.8,36.8,13.0,0.9,4.5
Waitara,418.0,406.0,1285.0,33.0,209.0,17.8,17.3,54.7,1.4,8.9
Wakeley,534.0,538.0,250.0,5.0,65.0,38.4,38.7,18.0,0.4,4.7
Wallsend,1691.0,1439.0,1321.0,114.0,251.0,35.1,29.9,27.4,2.4,5.2
Wamberal,723.0,763.0,401.0,52.0,148.0,34.7,36.6,19.2,2.5,7.1
Warabrook,247.0,228.0,242.0,0.0,36.0,32.8,30.3,32.2,0.0,4.8
Waratah,454.0,401.0,751.0,13.0,183.0,25.2,22.3,41.7,0.7,10.2
Waratah West,399.0,263.0,340.0,5.0,78.0,36.7,24.2,31.3,0.5,7.2
Wareemba,272.0,138.0,140.0,11.0,34.0,45.8,23.2,23.6,1.9,5.7
Warilla,776.0,454.0,839.0,22.0,163.0,34.4,20.2,37.2,1.0,7.2
Warners Bay,1233.0,807.0,680.0,13.0,142.0,42.9,28.1,23.7,0.5,4.9
Warrawee,372.0,304.0,62.0,0.0,48.0,47.3,38.7,7.9,0.0,6.1
Warrawong,775.0,218.0,929.0,8.0,167.0,36.9,10.4,44.3,0.4,8.0
Warriewood,557.0,797.0,295.0,8.0,63.0,32.4,46.4,17.2,0.5,3.7
Warrimoo,286.0,375.0,124.0,5.0,21.0,35.2,46.2,15.3,0.6,2.6
Warwick Farm,204.0,262.0,1026.0,11.0,234.0,11.8,15.1,59.1,0.6,13.5
Watanobbi,245.0,507.0,444.0,0.0,61.0,19.5,40.4,35.4,0.0,4.9
Waterloo,142.0,492.0,3142.0,48.0,877.0,3.0,10.5,66.8,1.0,18.7
Watsons Bay,104.0,50.0,60.0,15.0,17.0,43.2,20.7,24.9,6.2,7.1
Wattle Grove,414.0,981.0,690.0,0.0,61.0,19.3,45.7,32.1,0.0,2.8
Waverley,457.0,376.0,658.0,18.0,177.0,27.1,22.3,39.0,1.1,10.5
Waverton,475.0,300.0,609.0,10.0,159.0,30.5,19.3,39.2,0.6,10.2
Wentworthville,883.0,996.0,1728.0,30.0,510.0,21.3,24.0,41.7,0.7,12.3
Werrington,303.0,443.0,540.0,6.0,90.0,21.9,32.1,39.1,0.4,6.5
Werrington County,443.0,614.0,152.0,4.0,49.0,35.1,48.6,12.0,0.3,3.9
Werrington Downs,260.0,622.0,142.0,4.0,20.0,24.7,59.1,13.5,0.4,1.9
West Gosford,226.0,161.0,230.0,23.0,99.0,30.7,21.8,31.2,3.1,13.4
West Hoxton,284.0,1442.0,262.0,0.0,144.0,13.3,67.7,12.3,0.0,6.8
West Pennant Hills,2194.0,2148.0,552.0,71.0,125.0,43.1,42.2,10.8,1.4,2.5
West Pymble,717.0,653.0,143.0,14.0,53.0,45.3,41.3,9.0,0.9,3.4
West Ryde,1303.0,1130.0,1788.0,12.0,358.0,28.4,24.6,39.0,0.3,7.8
West Wallsend,209.0,257.0,92.0,3.0,30.0,35.4,43.5,15.6,0.5,5.1
West Wollongong,643.0,478.0,503.0,0.0,116.0,36.9,27.5,28.9,0.0,6.7
Westleigh,674.0,643.0,125.0,0.0,31.0,45.7,43.6,8.5,0.0,2.1
Westmead,510.0,686.0,2041.0,26.0,263.0,14.5,19.5,57.9,0.7,7.5
Wetherill Park,802.0,642.0,322.0,4.0,79.0,43.4,34.7,17.4,0.2,4.3
Whalan,428.0,426.0,883.0,8.0,151.0,22.6,22.5,46.6,0.4,8.0
Whitebridge,361.0,366.0,134.0,0.0,43.0,39.9,40.5,14.8,0.0,4.8
Wickham,65.0,77.0,240.0,0.0,51.0,15.0,17.7,55.3,0.0,11.8
Wiley Park,668.0,686.0,1421.0,8.0,340.0,21.4,22.0,45.5,0.3,10.9
Willmot,134.0,179.0,385.0,6.0,93.0,16.8,22.4,48.2,0.8,11.7
Willoughby,679.0,703.0,630.0,10.0,124.0,31.6,32.7,29.3,0.5,5.8
Willoughby East,247.0,210.0,91.0,8.0,5.0,44.1,37.5,16.3,1.4,0.9
Windale,104.0,90.0,882.0,10.0,87.0,8.9,7.7,75.2,0.9,7.4
Windang,630.0,186.0,221.0,4.0,106.0,55.2,16.3,19.4,0.4,9.3
Winmalee,745.0,1066.0,274.0,8.0,66.0,34.5,49.3,12.7,0.4,3.1
Winston Hills,1236.0,1326.0,316.0,26.0,126.0,40.8,43.8,10.4,0.9,4.2
Wollongong,1676.0,1006.0,3519.0,65.0,862.0,23.5,14.1,49.4,0.9,12.1
Wollstonecraft,916.0,802.0,1850.0,12.0,309.0,23.5,20.6,47.6,0.3,7.9
Wombarra,106.0,125.0,49.0,0.0,17.0,35.7,42.1,16.5,0.0,5.7
Woodbine,263.0,388.0,163.0,3.0,38.0,30.7,45.3,19.0,0.4,4.4
Woodcroft,273.0,888.0,270.0,0.0,62.0,18.3,59.5,18.1,0.0,4.2
Woodpark,155.0,187.0,53.0,5.0,28.0,36.2,43.7,12.4,1.2,6.5
Woodrising,114.0,289.0,101.0,0.0,13.0,22.2,56.3,19.7,0.0,2.5
Woollahra,1141.0,653.0,998.0,83.0,586.0,33.0,18.9,28.8,2.4,16.9
Woolloomooloo,160.0,190.0,1163.0,18.0,556.0,7.7,9.1,55.6,0.9,26.6
Woolooware,1009.0,895.0,413.0,8.0,177.0,40.4,35.8,16.5,0.3,7.1
Woolwich,150.0,65.0,46.0,0.0,60.0,46.7,20.2,14.3,0.0,18.7
Woonona,1445.0,1308.0,1129.0,32.0,214.0,35.0,31.7,27.4,0.8,5.2
Woronora,278.0,352.0,61.0,4.0,20.0,38.9,49.2,8.5,0.6,2.8
Woronora Heights,279.0,515.0,24.0,0.0,15.0,33.5,61.8,2.9,0.0,1.8
Woy Woy,1653.0,946.0,1367.0,33.0,447.0,37.2,21.3,30.7,0.7,10.1
Woy Woy Bay,79.0,113.0,24.0,5.0,35.0,30.7,44.0,9.3,1.9,13.6
Wyoming,1072.0,1245.0,802.0,42.0,146.0,32.4,37.6,24.2,1.3,4.4
Wyong,501.0,272.0,529.0,0.0,96.0,35.8,19.4,37.8,0.0,6.9
Wyongah,228.0,246.0,138.0,0.0,48.0,34.5,37.3,20.9,0.0,7.3
Yagoona,1711.0,1391.0,1356.0,25.0,376.0,35.2,28.6,27.9,0.5,7.7
Yarrawarrah,191.0,217.0,12.0,0.0,6.0,44.7,50.8,2.8,0.0,1.4
Yattalunga,54.0,80.0,24.0,4.0,8.0,32.0,47.3,14.2,2.4,4.7
Yennora,105.0,88.0,197.0,8.0,43.0,23.8,19.9,44.6,1.8,9.7
Yowie Bay,628.0,447.0,124.0,15.0,50.0,49.7,35.4,9.8,1.2,4.0
Zetland,132.0,356.0,567.0,6.0,161.0,10.8,29.2,46.5,0.5,13.2
