,School Education,"Cafes, Restaurants and Takeaway Food Services",Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Hospitals,Auxiliary Finance and Investment Services,Depository Financial Intermediation,Public Order and Safety Services,Defence,Tertiary Education,Manufacturing,Residential Care Services,"Building Cleaning, Pest Control and Gardening Services",Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Architectural, Engineering and Technical Services",Building Installation Services,Local Government Administration,"Pubs, Taverns and Bars",Air and Space Transport,Building Completion Services,Medical Services,Real Estate Services,Other Social Assistance Services,Other Machinery and Equipment Wholesaling,Employment Services,Automotive Repair and Maintenance,Postal and Courier Pick-up and Delivery Services,State Government Administration,Coal Mining,Polymer Product Manufacturing,Pharmaceutical and Other Store-Based Retailing,Department Stores,Health Care and Social Assistance,Advertising Services,Religious Services,Specialised Food Retailing,"Grocery, Liquor and Tobacco Product Wholesaling",Clothing and Footwear Manufacturing,Converted Paper Product Manufacturing,Accommodation,Clubs,Management and Related Consulting Services,"Clothing, Footwear and Personal Accessory Retailing",Allied Health Services,Meat and Meat Product Manufacturing,Timber and Hardware Goods Wholesaling,"Furniture, Floor Covering and Other Goods Wholesaling",Central Government Administration,Food Retailing,Horse and Dog Racing Activities,Land Development and Site Preparation Services,Personal Care Services,Transport Equipment Manufacturing,Petroleum and Coal Product Manufacturing,Road Passenger Transport,"Adult, Community and Other Education",Structural Metal Product Manufacturing,Telecommunications Services,Property Operators,Electrical and Electronic Goods Retailing,Mushroom and Vegetable Growing,Other Wood Product Manufacturing,Building Structure Services,Other Transport Support Services,Furniture Manufacturing,Rail Passenger Transport,Heavy and Civil Engineering Construction,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Hospitals (%),Auxiliary Finance and Investment Services (%),Depository Financial Intermediation (%),Public Order and Safety Services (%),Defence (%),Tertiary Education (%),Manufacturing (%),Residential Care Services (%),"Building Cleaning, Pest Control and Gardening Services (%)",Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Architectural, Engineering and Technical Services (%)",Building Installation Services (%),Local Government Administration (%),"Pubs, Taverns and Bars (%)",Air and Space Transport (%),Building Completion Services (%),Medical Services (%),Real Estate Services (%),Other Social Assistance Services (%),Other Machinery and Equipment Wholesaling (%),Employment Services (%),Automotive Repair and Maintenance (%),Postal and Courier Pick-up and Delivery Services (%),State Government Administration (%),Coal Mining (%),Polymer Product Manufacturing (%),Pharmaceutical and Other Store-Based Retailing (%),Department Stores (%),Health Care and Social Assistance (%),Advertising Services (%),Religious Services (%),Specialised Food Retailing (%),"Grocery, Liquor and Tobacco Product Wholesaling (%)",Clothing and Footwear Manufacturing (%),Converted Paper Product Manufacturing (%),Accommodation (%),Clubs (%),Management and Related Consulting Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Allied Health Services (%),Meat and Meat Product Manufacturing (%),Timber and Hardware Goods Wholesaling (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Central Government Administration (%),Food Retailing (%),Horse and Dog Racing Activities (%),Land Development and Site Preparation Services (%),Personal Care Services (%),Transport Equipment Manufacturing (%),Petroleum and Coal Product Manufacturing (%),Road Passenger Transport (%),"Adult, Community and Other Education (%)",Structural Metal Product Manufacturing (%),Telecommunications Services (%),Property Operators (%),Electrical and Electronic Goods Retailing (%),Mushroom and Vegetable Growing (%),Other Wood Product Manufacturing (%),Building Structure Services (%),Other Transport Support Services (%),Furniture Manufacturing (%),Rail Passenger Transport (%),Heavy and Civil Engineering Construction (%)
Hurstville Grove,63,57,,32,33,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.9,,2.7,2.8,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illawong,237,155,,95,153,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.6,,2.2,3.6,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingleburn,235,184,175,,,168,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,2.9,2.8,,,2.7,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingleside,8,7,,7,8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.2,,5.2,5.9,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington,30,19,,,,28,,,,,34,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.1,,,,4.5,,,,,5.5,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamisontown,108,75,92,,,83,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,2.9,3.6,,,3.3,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannali,117,93,,,80,69,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.5,,,3.0,2.6,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesmond,,55,,,,30,,,,,35,,,19,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,4.1,,,,,4.7,,,2.6,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewells,80,46,,,,43,,,,,,,,,,41,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.4,,,,3.2,,,,,,,,,,3.1,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahibah,68,38,,,28,53,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,3.4,,,2.5,4.7,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanahooka,103,71,,,,79,,,,,57,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.4,,,,3.8,,,,,2.8,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangaroo Point,,,,11,10,16,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.2,5.1,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanwal,44,45,,,,53,,,,,,,35,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.3,,,,3.9,,,,,,,2.6,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareela,86,,,,57,39,,36,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,4.4,3.0,,2.8,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kariong,101,101,,,,145,,,73,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.6,,,,5.2,,,2.6,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearns,48,59,54,,,,,,36,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.9,3.6,,,,,,2.4,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keiraville,107,61,,,,40,,,,,137,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,5.0,,,,3.3,,,,,11.2,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellyville,479,313,,,,283,,,,,,,,,,253,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.3,,,,3.0,,,,,,,,,,2.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kembla Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,15,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,19.0,7.6,6.3,6.3,,,,,,,,,,,,,,
Kensington,,277,,,210,215,161,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,4.1,4.2,3.1,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilaben Bay,40,29,,,,21,,,,,18,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,4.5,,,,3.2,,,,,2.8,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killara,166,,,,309,,172,,,,,,,,,,132,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,7.8,,4.3,,,,,,,,,,3.3,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killarney Heights,84,64,,,89,,,,,,,,,,,,105,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.3,,,4.5,,,,,,,,,,,,5.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killarney Vale,87,110,,,,83,,,,,,,115,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.2,,,,3.2,,,,,,,4.4,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kincumber,135,103,,,,120,,,,,,,117,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.8,,,,4.4,,,,,,,4.3,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kincumber South,9,,,,,12,,,,,,,11,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,6.0,,,,,,,5.5,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Langley,297,153,,,,164,,120,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,2.9,,,,3.1,,2.3,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Park,83,52,,,,55,,,52,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.8,,,,3.0,,,2.8,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsford,207,416,,,233,279,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,6.4,,,3.6,4.3,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsgrove,176,204,,,147,129,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.4,,,3.2,2.8,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingswood,148,123,110,,,205,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.3,3.0,,,5.6,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirrawee,241,155,,,130,148,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,3.5,,,2.9,3.3,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirribilli,,,,,135,,103,77,,,,,,,,,71,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,5.1,3.8,,,,,,,,,3.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kogarah,,327,,,134,340,,186,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,2.4,6.2,,3.4,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kogarah Bay,32,45,,,26,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.2,,,3.0,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,
Koolewong,17,13,,,,16,,,,,,,,,,,10,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.6,,,,4.5,,,,,,,,,,,2.8,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koonawarra,,39,40,,,,,,,,,,46,,72,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.3,,,,,,,,,,3.7,,5.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotara,118,73,,,45,111,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,4.1,,,2.5,6.3,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotara South,33,,,16,,28,,,,,17,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,3.0,,5.3,,,,,3.2,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurnell,,29,32,,,28,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,2.8,3.1,,,2.7,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,
Kyeemagh,,13,,,,,,,,,,,,13,,,10,,,,,,11,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,3.8,,,2.9,,,,,,3.2,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Bay,35,24,,21,39,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,4.0,,3.5,6.4,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Perouse,6,8,,,5,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.4,,,3.4,,,,,,,,,,,,,,,,,,,3.4,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Haven,48,54,,,,46,,,,,,,39,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.5,,,,3.8,,,,,,,3.3,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Heights,40,53,,,,28,,,,,,,,30,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.8,,,,2.5,,,,,,,,2.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Illawarra,37,43,,,,,,,,,,,,31,68,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.1,,,,,,,,,,,,3.0,6.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakelands,44,43,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.2,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakemba,,262,,,,,,,,,,,120,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,5.5,,,,,,,,,,,2.5,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,
Lalor Park,84,87,113,,,122,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.0,3.9,,,4.3,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton,151,94,,,51,160,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,4.5,,,2.4,7.6,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove,186,,,,224,197,157,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,4.7,4.1,3.3,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove North,170,,,,210,189,155,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,4.2,3.8,3.1,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove West,45,,,,49,43,47,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.4,3.8,4.2,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansvale,27,27,34,,,,,,,,,29,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,3.7,,,,,,,,,3.1,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapstone,55,,,,14,17,,,,,21,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,3.1,3.8,,,,,4.7,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Bay,,,,,33,25,22,,,,21,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.3,3.8,,,,3.6,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leichhardt,265,202,,,291,262,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,2.9,,,4.1,3.7,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonay,106,39,,31,,53,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.9,,2.3,,3.9,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethbridge Park,,39,49,,,30,,,,,,54,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.9,,,2.4,,,,,,4.2,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leumeah,219,130,145,,,100,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,3.2,3.6,,,2.5,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisham,68,,,,62,60,,,,,58,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,4.2,4.1,,,,,3.9,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Grove,,,,,49,55,46,53,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.6,3.8,4.4,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidcombe,,320,,129,129,189,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,2.3,2.3,3.3,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilli Pilli,71,42,,,40,,,,,,,,,,,,,,36,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.7,,,3.6,,,,,,,,,,,,,,3.2,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilyfield,102,,,,124,167,106,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.6,4.8,3.1,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindfield,150,,,,214,,145,118,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,6.1,,4.1,3.4,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linley Point,,,,,8,,,,,,,,,,,,,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,7,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,4.5,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,4.0,,,,,,,,,,,
Lisarow,117,102,,,,115,,,69,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.9,,,,4.4,,,2.6,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Bay,47,32,,,,35,,,,44,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,3.9,,,,4.3,,,,5.4,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,,231,,228,,288,,,,,,,,172,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,3.3,,4.1,,,,,,,,2.5,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loftus,110,,,,58,67,,,63,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,2.9,3.4,,,3.2,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Jetty,88,89,,66,,,,,,,,,60,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.2,,3.8,,,,,,,,,3.5,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Point,7,7,12,8,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.4,7.6,5.1,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
