,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Collaroy Plateau,317.0,778.0,147.0,17.0,25.2,61.8,11.7,1.4,10971
Wheeler Heights,211.0,505.0,80.0,7.0,26.3,62.9,10.0,0.9,14268
Terrey Hills,256.0,467.0,77.0,8.0,31.7,57.8,9.5,1.0,13804
Duffys Forest,46.0,74.0,12.0,0.0,34.8,56.1,9.1,0.0,11301
Ellis Lane,94.0,130.0,28.0,0.0,37.3,51.6,11.1,0.0,11405
Grasmere,197.0,221.0,21.0,0.0,44.9,50.3,4.8,0.0,11739
Camden,300.0,327.0,162.0,9.0,37.6,41.0,20.3,1.1,10770
Camden Park (NSW),144.0,424.0,35.0,3.0,23.8,70.0,5.8,0.5,10772
Cawdor (NSW),48.0,62.0,9.0,0.0,40.3,52.1,7.6,0.0,10863
Camden South,510.0,637.0,182.0,5.0,38.2,47.8,13.6,0.4,10773
Harrington Park,719.0,1837.0,309.0,20.0,24.9,63.7,10.7,0.7,11859
Elderslie (Camden - NSW),496.0,890.0,258.0,21.0,29.8,53.5,15.5,1.3,11391
Narellan,336.0,439.0,214.0,22.0,33.2,43.4,21.2,2.2,12896
Kirkham,60.0,112.0,12.0,0.0,32.6,60.9,6.5,0.0,12171
Mount Annan,790.0,1939.0,478.0,19.0,24.5,60.1,14.8,0.6,12745
Currans Hill,347.0,794.0,285.0,17.0,24.0,55.0,19.8,1.2,11175
Gregory Hills,496.0,770.0,113.0,13.0,35.6,55.3,8.1,0.9,11774
Narellan Vale,519.0,1096.0,348.0,16.0,26.2,55.4,17.6,0.8,12897
Spring Farm (NSW),381.0,649.0,198.0,8.0,30.8,52.5,16.0,0.6,13612
Airds,100.0,206.0,395.0,18.0,13.9,28.7,54.9,2.5,10022
Bradbury (NSW),775.0,1002.0,584.0,44.0,32.2,41.7,24.3,1.8,10543
St Helens Park,436.0,892.0,433.0,19.0,24.5,50.1,24.3,1.1,13637
Wedderburn (NSW),50.0,83.0,24.0,0.0,31.8,52.9,15.3,0.0,14209
Woodbine (NSW),248.0,368.0,119.0,5.0,33.5,49.7,16.1,0.7,14378
Campbelltown (NSW),1169.0,1205.0,696.0,72.0,37.2,38.4,22.2,2.3,10780
Leumeah,856.0,1189.0,566.0,43.0,32.3,44.8,21.3,1.6,12308
Blair Athol (NSW),158.0,487.0,115.0,9.0,20.5,63.3,15.0,1.2,10400
Raby,520.0,845.0,316.0,18.0,30.6,49.7,18.6,1.1,13303
Eagle Vale,412.0,817.0,351.0,14.0,25.8,51.3,22.0,0.9,11341
Eschol Park,230.0,363.0,149.0,11.0,30.5,48.2,19.8,1.5,11441
Blairmount,24.0,63.0,20.0,3.0,21.8,57.3,18.2,2.7,10401
Kearns,178.0,436.0,133.0,6.0,23.6,57.9,17.7,0.8,12079
Claymore,49.0,153.0,302.0,15.0,9.4,29.5,58.2,2.9,10924
Holsworthy,291.0,846.0,173.0,27.0,21.8,63.3,12.9,2.0,11926
Ingleburn,1108.0,2033.0,817.0,64.0,27.5,50.5,20.3,1.6,11978
Macquarie Links,85.0,245.0,30.0,3.0,23.4,67.5,8.3,0.8,12435
Denham Court,249.0,232.0,29.0,0.0,48.8,45.5,5.7,0.0,11235
Bardia,104.0,261.0,61.0,6.0,24.1,60.4,14.1,1.4,10194
Edmondson Park,137.0,398.0,50.0,7.0,23.1,67.2,8.4,1.2,11383
Ruse,538.0,714.0,319.0,22.0,33.8,44.8,20.0,1.4,13443
Kentlyn,57.0,105.0,20.0,3.0,30.8,56.8,10.8,1.6,12101
Minto Heights,45.0,45.0,13.0,0.0,43.7,43.7,12.6,0.0,12643
Macquarie Fields,809.0,1747.0,891.0,64.0,23.0,49.8,25.4,1.8,12433
Glenfield (NSW),667.0,1411.0,399.0,30.0,26.6,56.3,15.9,1.2,11664
Long Point (Campbelltown - NSW),13.0,31.0,3.0,0.0,27.7,66.0,6.4,0.0,12381
St Andrews (NSW),415.0,813.0,337.0,30.0,26.0,51.0,21.1,1.9,13631
Bow Bowing,115.0,260.0,66.0,7.0,25.7,58.0,14.7,1.6,10526
Minto,751.0,1828.0,639.0,53.0,23.0,55.9,19.5,1.6,12642
Rosemeadow,524.0,1004.0,512.0,33.0,25.3,48.4,24.7,1.6,13410
Ambarvale,532.0,830.0,589.0,36.0,26.8,41.8,29.6,1.8,10049
Menangle Park,26.0,31.0,12.0,5.0,35.1,41.9,16.2,6.8,12569
Gilead,85.0,5.0,3.0,0.0,91.4,5.4,3.2,0.0,11617
Glen Alpine,450.0,745.0,124.0,12.0,33.8,56.0,9.3,0.9,11645
Englorie Park,29.0,55.0,29.0,6.0,24.4,46.2,24.4,5.0,11423
Yanderra,56.0,91.0,29.0,7.0,30.6,49.7,15.8,3.8,14461
Douglas Park,144.0,180.0,56.0,0.0,37.9,47.4,14.7,0.0,11283
Razorback,105.0,164.0,20.0,3.0,36.0,56.2,6.8,1.0,13328
Appin (NSW),230.0,387.0,95.0,6.0,32.0,53.9,13.2,0.8,10063
Menangle,140.0,148.0,13.0,0.0,46.5,49.2,4.3,0.0,12568
Picton (NSW),458.0,671.0,197.0,11.0,34.3,50.2,14.7,0.8,13200
Tahmoor,454.0,628.0,274.0,12.0,33.2,45.9,20.0,0.9,13727
Buxton (NSW),155.0,301.0,82.0,8.0,28.4,55.1,15.0,1.5,10726
Thirlmere,388.0,509.0,159.0,16.0,36.2,47.5,14.8,1.5,13847
Couridjah,24.0,45.0,8.0,0.0,31.2,58.4,10.4,0.0,11093
Lakesland,38.0,64.0,14.0,0.0,32.8,55.2,12.1,0.0,12258
The Oaks,246.0,373.0,87.0,3.0,34.7,52.6,12.3,0.4,13831
Werombi,94.0,140.0,24.0,0.0,36.4,54.3,9.3,0.0,14232
Orangeville,115.0,201.0,27.0,3.0,33.2,58.1,7.8,0.9,13094
Belimbla Park,52.0,76.0,21.0,3.0,34.2,50.0,13.8,2.0,10261
Mount Hunter,62.0,111.0,22.0,0.0,31.8,56.9,11.3,0.0,12765
Brownlow Hill,24.0,50.0,5.0,0.0,30.4,63.3,6.3,0.0,10609
Theresa Park,62.0,76.0,8.0,0.0,42.5,52.1,5.5,0.0,13845
Silverdale (NSW),297.0,611.0,90.0,4.0,29.6,61.0,9.0,0.4,13544
Oakdale (NSW),148.0,270.0,59.0,0.0,31.0,56.6,12.4,0.0,13054
Blackheath,588.0,367.0,218.0,12.0,49.6,31.0,18.4,1.0,10393
Mount Victoria,107.0,89.0,43.0,3.0,44.2,36.8,17.8,1.2,12797
Glenbrook,504.0,708.0,145.0,13.0,36.8,51.7,10.6,0.9,11656
Blaxland (NSW),764.0,1033.0,324.0,18.0,35.7,48.3,15.1,0.8,10407
Warrimoo,228.0,368.0,79.0,5.0,33.5,54.1,11.6,0.7,14174
Lapstone,101.0,129.0,27.0,0.0,39.3,50.2,10.5,0.0,12276
Mount Riverview,345.0,439.0,107.0,9.0,38.3,48.8,11.9,1.0,12788
Yarramundi,58.0,133.0,21.0,4.0,26.9,61.6,9.7,1.9,14477
Katoomba,748.0,633.0,481.0,36.0,39.4,33.4,25.3,1.9,12077
Leura,556.0,379.0,146.0,10.0,51.0,34.7,13.4,0.9,12309
Medlow Bath,79.0,58.0,21.0,0.0,50.0,36.7,13.3,0.0,12553
Linden (NSW),60.0,50.0,22.0,3.0,44.4,37.0,16.3,2.2,12335
Woodford (NSW),224.0,256.0,71.0,4.0,40.4,46.1,12.8,0.7,14383
Hazelbrook,451.0,657.0,236.0,6.0,33.4,48.7,17.5,0.4,11881
Lawson (NSW),251.0,290.0,137.0,8.0,36.6,42.3,20.0,1.2,12289
Bullaburra,127.0,150.0,54.0,3.0,38.0,44.9,16.2,0.9,10656
Faulconbridge,420.0,548.0,179.0,11.0,36.3,47.3,15.5,0.9,11496
Winmalee,647.0,886.0,238.0,21.0,36.1,49.4,13.3,1.2,14334
Hawkesbury Heights,41.0,74.0,16.0,0.0,31.3,56.5,12.2,0.0,11872
Yellow Rock (Blue Mountains - NSW),94.0,170.0,18.0,3.0,33.0,59.6,6.3,1.1,14502
Springwood (NSW),922.0,1009.0,330.0,18.0,40.5,44.3,14.5,0.8,13629
Valley Heights,131.0,171.0,39.0,7.0,37.6,49.1,11.2,2.0,14069
Sun Valley (NSW),24.0,33.0,3.0,0.0,40.0,55.0,5.0,0.0,13691
Wentworth Falls,787.0,627.0,217.0,11.0,47.9,38.2,13.2,0.7,14226
Werrington Downs,292.0,475.0,152.0,11.0,31.4,51.1,16.3,1.2,14237
Cambridge Park,608.0,754.0,451.0,34.0,32.9,40.8,24.4,1.8,10768
Werrington County,388.0,481.0,172.0,13.0,36.8,45.6,16.3,1.2,14236
Cambridge Gardens,203.0,270.0,94.0,11.0,35.1,46.7,16.3,1.9,10767
Cranebrook,1224.0,2172.0,868.0,57.0,28.3,50.3,20.1,1.3,11105
Llandilo,131.0,227.0,45.0,3.0,32.3,55.9,11.1,0.7,12363
Castlereagh,99.0,162.0,28.0,4.0,33.8,55.3,9.6,1.4,10850
Penrith,1122.0,1125.0,874.0,91.0,34.9,35.0,27.2,2.8,13184
Jordan Springs,463.0,805.0,178.0,10.0,31.8,55.3,12.2,0.7,12042
Emu Plains,814.0,1072.0,365.0,18.0,35.9,47.2,16.1,0.8,11418
Leonay,275.0,372.0,73.0,6.0,37.9,51.2,10.1,0.8,12304
Emu Heights (NSW),282.0,496.0,129.0,9.0,30.8,54.1,14.1,1.0,11417
Glenmore Park,1657.0,3759.0,911.0,43.0,26.0,59.0,14.3,0.7,11670
Regentville,74.0,111.0,28.0,5.0,33.9,50.9,12.8,2.3,13346
Jamisontown,496.0,559.0,337.0,25.0,35.0,39.4,23.8,1.8,12000
South Penrith,1138.0,1497.0,639.0,49.0,34.2,45.0,19.2,1.5,13596
Kingswood (Penrith - NSW),701.0,923.0,634.0,51.0,30.4,40.0,27.5,2.2,12163
Caddens,112.0,169.0,19.0,3.0,37.0,55.8,6.3,1.0,10743
Werrington,320.0,421.0,296.0,28.0,30.0,39.5,27.8,2.6,14235
Claremont Meadows,296.0,794.0,200.0,5.0,22.9,61.3,15.4,0.4,10918
Wallacia,153.0,213.0,56.0,10.0,35.4,49.3,13.0,2.3,14101
Mulgoa,185.0,258.0,49.0,4.0,37.3,52.0,9.9,0.8,12814
Luddenham,126.0,280.0,45.0,0.0,27.9,62.1,10.0,0.0,12419
Badgerys Creek,13.0,26.0,12.0,3.0,24.1,48.1,22.2,5.6,10132
Orchard Hills,157.0,284.0,64.0,3.0,30.9,55.9,12.6,0.6,13095
Warragamba,100.0,142.0,82.0,6.0,30.3,43.0,24.8,1.8,14158
Richmond (NSW),456.0,403.0,308.0,27.0,38.2,33.8,25.8,2.3,13360
North Richmond,470.0,591.0,278.0,13.0,34.8,43.7,20.6,1.0,13002
Agnes Banks,72.0,125.0,28.0,0.0,32.0,55.6,12.4,0.0,10021
Hobartville (NSW),241.0,324.0,165.0,14.0,32.4,43.5,22.2,1.9,11917
South Windsor,459.0,594.0,451.0,33.0,29.9,38.6,29.3,2.1,13601
Windsor (NSW),172.0,192.0,112.0,9.0,35.5,39.6,23.1,1.9,14325
Bligh Park,444.0,909.0,366.0,23.0,25.5,52.2,21.0,1.3,10411
Windsor Downs,122.0,199.0,17.0,0.0,36.1,58.9,5.0,0.0,14326
Londonderry (NSW),312.0,519.0,149.0,18.0,31.3,52.0,14.9,1.8,12375
Berkshire Park,78.0,169.0,35.0,3.0,27.4,59.3,12.3,1.1,10305
Erskine Park,428.0,1069.0,261.0,13.0,24.2,60.4,14.7,0.7,11438
St Clair (Penrith - NSW),1575.0,2938.0,969.0,62.0,28.4,53.0,17.5,1.1,13632
Colyton,641.0,1028.0,509.0,43.0,28.9,46.3,22.9,1.9,10987
Oxley Park,243.0,319.0,202.0,21.0,31.0,40.6,25.7,2.7,13110
St Marys (NSW),893.0,1167.0,850.0,80.0,29.9,39.0,28.4,2.7,13643
North St Marys,234.0,362.0,348.0,30.0,24.0,37.2,35.7,3.1,13007
Silverwater (Parramatta - NSW),203.0,291.0,70.0,13.0,35.2,50.4,12.1,2.3,13547
Newington (NSW),468.0,994.0,162.0,23.0,28.4,60.4,9.8,1.4,12953
Lidcombe,1533.0,2482.0,716.0,154.0,31.4,50.8,14.7,3.2,12316
Wentworth Point,1094.0,598.0,196.0,44.0,56.6,31.0,10.1,2.3,14227
Auburn (NSW),2337.0,4481.0,1251.0,245.0,28.1,53.9,15.0,2.9,10106
Berala,591.0,1247.0,382.0,64.0,25.9,54.6,16.7,2.8,10299
Regents Park (NSW),297.0,686.0,227.0,31.0,23.9,55.3,18.3,2.5,13345
Carlingford,1982.0,3972.0,844.0,72.0,28.9,57.8,12.3,1.0,10818
Beecroft,829.0,1539.0,228.0,38.0,31.5,58.4,8.7,1.4,10249
Epping (NSW),1996.0,3562.0,767.0,113.0,31.0,55.3,11.9,1.8,11428
Rydalmere,527.0,920.0,306.0,32.0,29.5,51.5,17.1,1.8,13453
Parramatta,2448.0,3043.0,738.0,205.0,38.0,47.3,11.5,3.2,13156
Ermington,800.0,1572.0,465.0,35.0,27.9,54.7,16.2,1.2,11435
Dundas (NSW),345.0,666.0,169.0,19.0,28.8,55.5,14.1,1.6,11312
Melrose Park (NSW),114.0,258.0,48.0,6.0,26.8,60.6,11.3,1.4,12563
Telopea,446.0,698.0,254.0,27.0,31.3,49.0,17.8,1.9,13782
Oatlands (NSW),429.0,853.0,196.0,19.0,28.7,57.0,13.1,1.3,13063
Dundas Valley,412.0,759.0,216.0,21.0,29.3,53.9,15.3,1.5,11313
Chester Hill,679.0,1668.0,671.0,69.0,22.0,54.0,21.7,2.2,10899
Sefton,296.0,802.0,290.0,32.0,20.8,56.5,20.4,2.3,13516
Carramar (NSW),213.0,358.0,222.0,33.0,25.8,43.3,26.9,4.0,10826
Old Guildford,112.0,375.0,116.0,12.0,18.2,61.0,18.9,2.0,13077
Fairfield East,268.0,624.0,277.0,42.0,22.1,51.5,22.9,3.5,11478
Yennora,87.0,169.0,75.0,7.0,25.7,50.0,22.2,2.1,14506
Fairfield (NSW),1033.0,2281.0,1139.0,167.0,22.4,49.4,24.7,3.6,11477
Merrylands,1820.0,3854.0,1398.0,203.0,25.0,53.0,19.2,2.8,12588
Granville (NSW),1137.0,1875.0,567.0,124.0,30.7,50.6,15.3,3.3,11738
Guildford (NSW),1262.0,2787.0,1000.0,134.0,24.3,53.8,19.3,2.6,11790
Pemulwuy,343.0,891.0,128.0,14.0,24.9,64.8,9.3,1.0,13181
Greystanes,1901.0,3329.0,930.0,106.0,30.3,53.1,14.8,1.7,11781
South Granville,279.0,717.0,223.0,25.0,22.4,57.6,17.9,2.0,13583
Merrylands West,440.0,793.0,337.0,32.0,27.5,49.5,21.0,2.0,12589
Guildford West,305.0,659.0,254.0,29.0,24.5,52.8,20.4,2.3,11791
Woodpark,100.0,224.0,69.0,3.0,25.3,56.6,17.4,0.8,14390
South Wentworthville,403.0,860.0,288.0,29.0,25.5,54.4,18.2,1.8,13599
Holroyd,99.0,191.0,34.0,13.0,29.4,56.7,10.1,3.9,11925
Smithfield (NSW),744.0,1493.0,689.0,61.0,24.9,50.0,23.1,2.0,13559
North Parramatta,1033.0,1483.0,585.0,76.0,32.5,46.7,18.4,2.4,13001
North Rocks,726.0,1294.0,249.0,17.0,31.8,56.6,10.9,0.7,13003
Northmead,1149.0,1428.0,447.0,57.0,37.3,46.3,14.5,1.9,13023
Westmead,1164.0,2522.0,342.0,97.0,28.2,61.1,8.3,2.4,14261
Wentworthville,821.0,1720.0,381.0,73.0,27.4,57.4,12.7,2.4,14228
Winston Hills,1075.0,1800.0,367.0,28.0,32.9,55.0,11.2,0.9,14335
Rosehill (NSW),368.0,408.0,113.0,26.0,40.2,44.6,12.3,2.8,13408
Harris Park,511.0,736.0,138.0,38.0,35.9,51.7,9.7,2.7,11860
Old Toongabbie,247.0,478.0,129.0,14.0,28.5,55.1,14.9,1.6,13081
Constitution Hill,309.0,488.0,251.0,26.0,28.8,45.4,23.4,2.4,11014
Pendle Hill,485.0,988.0,256.0,49.0,27.3,55.6,14.4,2.8,13182
Girraween (NSW),306.0,954.0,166.0,13.0,21.3,66.3,11.5,0.9,11636
Mays Hill,43.0,104.0,26.0,6.0,24.0,58.1,14.5,3.4,12538
North Epping,367.0,762.0,118.0,10.0,29.2,60.6,9.4,0.8,12990
Cheltenham (NSW),197.0,372.0,64.0,3.0,31.0,58.5,10.1,0.5,10896
Pennant Hills,628.0,1118.0,206.0,29.0,31.7,56.4,10.4,1.5,13183
Denistone,361.0,586.0,93.0,14.0,34.3,55.6,8.8,1.3,11238
Eastwood (NSW),1532.0,2455.0,615.0,98.0,32.6,52.2,13.1,2.1,11369
Denistone East,166.0,357.0,74.0,12.0,27.3,58.6,12.2,2.0,11239
Denistone West,66.0,166.0,19.0,3.0,26.0,65.4,7.5,1.2,11240
Gladesville,1098.0,1517.0,404.0,68.0,35.6,49.1,13.1,2.2,11638
Tennyson Point,110.0,190.0,26.0,4.0,33.3,57.6,7.9,1.2,13790
Huntleys Point,20.0,18.0,0.0,0.0,52.6,47.4,0.0,0.0,11961
Henley,42.0,76.0,7.0,0.0,33.6,60.8,5.6,0.0,11891
Huntleys Cove,119.0,79.0,31.0,6.0,50.6,33.6,13.2,2.6,11960
Hunters Hill,705.0,1261.0,244.0,24.0,31.6,56.4,10.9,1.1,11954
Macquarie Park,916.0,600.0,191.0,80.0,51.3,33.6,10.7,4.5,12437
Marsfield,1218.0,1479.0,393.0,79.0,38.4,46.7,12.4,2.5,12506
North Ryde,848.0,1604.0,396.0,48.0,29.3,55.4,13.7,1.7,13005
Ryde,2534.0,3444.0,941.0,198.0,35.6,48.4,13.2,2.8,13454
East Ryde,189.0,418.0,82.0,6.0,27.2,60.1,11.8,0.9,11361
Meadowbank (NSW),700.0,414.0,103.0,42.0,55.6,32.9,8.2,3.3,12550
West Ryde,1346.0,1711.0,504.0,97.0,36.8,46.8,13.8,2.7,14251
Putney,313.0,671.0,132.0,16.0,27.7,59.3,11.7,1.4,13277
Busby,197.0,460.0,340.0,22.0,19.3,45.1,33.4,2.2,10720
Heckenberg,149.0,326.0,250.0,26.0,19.8,43.4,33.3,3.5,11887
Miller,148.0,299.0,248.0,22.0,20.6,41.7,34.6,3.1,12617
Ashcroft,142.0,377.0,253.0,23.0,17.9,47.4,31.8,2.9,10097
Sadleir,134.0,326.0,248.0,23.0,18.3,44.6,33.9,3.1,13461
Austral,220.0,345.0,107.0,10.0,32.3,50.6,15.7,1.5,10109
Rossmore (NSW),201.0,293.0,82.0,9.0,34.4,50.1,14.0,1.5,13420
Kemps Creek,180.0,279.0,86.0,12.0,32.3,50.1,15.4,2.2,12094
Bringelly,210.0,360.0,89.0,6.0,31.6,54.1,13.4,0.9,10575
Greendale (Liverpool - NSW),23.0,40.0,16.0,0.0,29.1,50.6,20.3,0.0,11759
Cecil Park,58.0,115.0,20.0,0.0,30.1,59.6,10.4,0.0,10866
Cecil Hills,357.0,1181.0,234.0,26.0,19.9,65.7,13.0,1.4,10865
Catherine Field,115.0,232.0,35.0,3.0,29.9,60.3,9.1,0.8,10856
Leppington,287.0,476.0,110.0,16.0,32.3,53.5,12.4,1.8,12305
Cobbitty,233.0,294.0,50.0,3.0,40.2,50.7,8.6,0.5,10954
Oran Park,377.0,749.0,143.0,19.0,29.3,58.2,11.1,1.5,13091
Green Valley (NSW),674.0,1889.0,667.0,51.0,20.5,57.6,20.3,1.6,11756
Elizabeth Hills,138.0,448.0,86.0,0.0,20.5,66.7,12.8,0.0,11397
Hinchinbrook (NSW),594.0,1797.0,537.0,35.0,20.0,60.6,18.1,1.2,11915
Hoxton Park,208.0,733.0,169.0,12.0,18.5,65.3,15.1,1.1,11951
Carnes Hill,123.0,376.0,58.0,0.0,22.1,67.5,10.4,0.0,10820
Horningsea Park,157.0,653.0,140.0,3.0,16.5,68.5,14.7,0.3,11935
Middleton Grange,296.0,862.0,196.0,15.0,21.6,63.0,14.3,1.1,12607
West Hoxton,422.0,1719.0,378.0,19.0,16.6,67.7,14.9,0.7,14246
Bonnyrigg Heights,406.0,1142.0,396.0,25.0,20.6,58.0,20.1,1.3,10472
Bonnyrigg,452.0,1106.0,670.0,38.0,19.9,48.8,29.6,1.7,10471
Bossley Park,959.0,2233.0,659.0,68.0,24.5,57.0,16.8,1.7,10515
Abbotsbury,263.0,739.0,159.0,15.0,22.4,62.8,13.5,1.3,10002
Cabramatta,1305.0,2405.0,1566.0,202.0,23.8,43.9,28.6,3.7,10740
Lansvale,167.0,320.0,152.0,13.0,25.6,49.1,23.3,2.0,12275
Canley Vale,547.0,1262.0,677.0,79.0,21.3,49.2,26.4,3.1,10792
Mount Pritchard,590.0,1241.0,659.0,48.0,23.2,48.9,26.0,1.9,12785
Cabramatta West,369.0,904.0,543.0,39.0,19.9,48.7,29.3,2.1,10741
Canley Heights,586.0,1405.0,781.0,90.0,20.5,49.1,27.3,3.1,10791
Edensor Park,610.0,1520.0,494.0,44.0,22.9,57.0,18.5,1.6,11377
Fairfield West,722.0,1559.0,684.0,57.0,23.9,51.6,22.6,1.9,11480
Fairfield Heights,414.0,1008.0,457.0,48.0,21.5,52.3,23.7,2.5,11479
Greenfield Park,296.0,777.0,273.0,9.0,21.8,57.3,20.1,0.7,11761
Prairiewood,274.0,451.0,159.0,18.0,30.4,50.0,17.6,2.0,13258
Horsley Park,155.0,251.0,63.0,5.0,32.7,53.0,13.3,1.1,11943
Mount Vernon,82.0,180.0,27.0,3.0,28.1,61.6,9.2,1.0,12796
Wetherill Park,491.0,904.0,288.0,21.0,28.8,53.1,16.9,1.2,14264
Wakeley,340.0,682.0,262.0,17.0,26.1,52.4,20.1,1.3,14089
St Johns Park,451.0,852.0,341.0,26.0,27.0,51.0,20.4,1.6,13641
Casula,973.0,2303.0,690.0,54.0,24.2,57.3,17.2,1.3,10852
Moorebank,791.0,1489.0,393.0,36.0,29.2,55.0,14.5,1.3,12712
Chipping Norton,701.0,1343.0,361.0,45.0,28.6,54.8,14.7,1.8,10908
Voyager Point,138.0,310.0,22.0,4.0,29.1,65.4,4.6,0.8,14079
Wattle Grove (NSW),573.0,1568.0,319.0,21.0,23.1,63.2,12.9,0.8,14192
Hammondville,261.0,445.0,156.0,16.0,29.7,50.7,17.8,1.8,11844
Sandy Point (NSW),66.0,97.0,8.0,0.0,38.6,56.7,4.7,0.0,13487
Pleasure Point,40.0,101.0,12.0,0.0,26.1,66.0,7.8,0.0,13229
Liverpool,1629.0,3218.0,1485.0,147.0,25.1,49.7,22.9,2.3,12361
Warwick Farm,391.0,560.0,359.0,37.0,29.0,41.6,26.7,2.7,14177
Cartwright,144.0,216.0,161.0,14.0,26.9,40.4,30.1,2.6,10838
Lurnea,525.0,1149.0,538.0,45.0,23.3,50.9,23.8,2.0,12422
Prestons,696.0,2657.0,525.0,39.0,17.8,67.8,13.4,1.0,13260
Gymea Bay,572.0,1151.0,182.0,11.0,29.9,60.1,9.5,0.6,11827
Gymea,793.0,960.0,335.0,34.0,37.4,45.2,15.8,1.6,11826
Grays Point,289.0,527.0,64.0,11.0,32.4,59.1,7.2,1.2,11743
Miranda (NSW),1362.0,1890.0,729.0,60.0,33.7,46.8,18.0,1.5,12645
Yowie Bay,273.0,486.0,83.0,11.0,32.0,57.0,9.7,1.3,14519
Taren Point,219.0,187.0,48.0,6.0,47.6,40.7,10.4,1.3,13766
Caringbah,1086.0,1309.0,595.0,54.0,35.7,43.0,19.5,1.8,10815
Sylvania Waters,269.0,494.0,129.0,12.0,29.8,54.6,14.3,1.3,13718
Sylvania,1085.0,1357.0,420.0,25.0,37.6,47.0,14.5,0.9,13717
Kangaroo Point (NSW),64.0,96.0,6.0,0.0,38.6,57.8,3.6,0.0,12060
Caringbah South,1091.0,1894.0,379.0,47.0,32.0,55.5,11.1,1.4,10816
Dolans Bay,58.0,105.0,8.0,5.0,33.0,59.7,4.5,2.8,11266
Kurnell,163.0,328.0,100.0,8.0,27.2,54.8,16.7,1.3,12216
Greenhills Beach,32.0,168.0,8.0,0.0,15.4,80.8,3.8,0.0,11764
Cronulla,2380.0,1614.0,689.0,76.0,50.0,33.9,14.5,1.6,11119
Bundeena,235.0,229.0,75.0,5.0,43.2,42.1,13.8,0.9,10672
Woolooware,350.0,551.0,156.0,15.0,32.6,51.4,14.6,1.4,14410
Lilli Pilli (Sutherland Shire - NSW),128.0,234.0,24.0,0.0,33.2,60.6,6.2,0.0,12322
Port Hacking,99.0,187.0,25.0,3.0,31.5,59.6,8.0,1.0,13244
Burraneer,315.0,584.0,77.0,14.0,31.8,59.0,7.8,1.4,10705
Heathcote (NSW),547.0,878.0,194.0,19.0,33.4,53.6,11.8,1.2,11883
Waterfall,47.0,76.0,17.0,4.0,32.6,52.8,11.8,2.8,14182
Illawong,693.0,1201.0,206.0,22.0,32.7,56.6,9.7,1.0,11974
Alfords Point,240.0,562.0,80.0,7.0,27.0,63.2,9.0,0.8,10031
Barden Ridge,262.0,765.0,118.0,11.0,22.7,66.2,10.2,1.0,10193
Menai,770.0,1666.0,461.0,27.0,26.3,57.0,15.8,0.9,12567
Bangor (NSW),547.0,857.0,190.0,12.0,34.1,53.4,11.8,0.7,10177
Woronora,202.0,338.0,69.0,8.0,32.7,54.8,11.2,1.3,14420
Bonnet Bay,262.0,370.0,46.0,3.0,38.5,54.3,6.8,0.4,10469
Jannali,511.0,832.0,264.0,22.0,31.4,51.1,16.2,1.4,12001
Oyster Bay,407.0,976.0,129.0,9.0,26.8,64.2,8.5,0.6,13112
Como (NSW),304.0,673.0,99.0,5.0,28.1,62.3,9.2,0.5,10996
Kareela,361.0,567.0,98.0,8.0,34.9,54.8,9.5,0.8,12073
Kirrawee,855.0,1224.0,394.0,33.0,34.1,48.8,15.7,1.3,12172
Sutherland (NSW),1171.0,1151.0,529.0,57.0,40.3,39.6,18.2,2.0,13701
Loftus,379.0,637.0,154.0,12.0,32.1,53.9,13.0,1.0,12371
Engadine,1557.0,2671.0,640.0,46.0,31.7,54.4,13.0,0.9,11422
Yarrawarrah,277.0,460.0,62.0,0.0,34.7,57.6,7.8,0.0,14485
Woronora Heights,211.0,536.0,69.0,8.0,25.6,65.0,8.4,1.0,14422
