,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Yerrinbool,116.0,153.0,39.0,5.0,37.1,48.9,12.5,1.6,14510
Wilton (NSW),273.0,527.0,66.0,7.0,31.3,60.4,7.6,0.8,14311
Pheasants Nest,60.0,97.0,11.0,0.0,35.7,57.7,6.5,0.0,13191
Albion Park,1136.0,1919.0,596.0,25.0,30.9,52.2,16.2,0.7,10025
Calderwood,20.0,27.0,3.0,0.0,40.0,54.0,6.0,0.0,10750
Tullimbar,61.0,84.0,22.0,0.0,36.5,50.3,13.2,0.0,13958
Yellow Rock (Shellharbour - NSW),18.0,34.0,3.0,0.0,32.7,61.8,5.5,0.0,14503
Albion Park Rail,710.0,737.0,446.0,26.0,37.0,38.4,23.2,1.4,10026
Kiama,961.0,709.0,242.0,22.0,49.7,36.7,12.5,1.1,12116
Kiama Heights,132.0,89.0,29.0,0.0,52.8,35.6,11.6,0.0,12118
Bombo,7.0,17.0,3.0,0.0,25.9,63.0,11.1,0.0,10458
Kiama Downs,568.0,711.0,173.0,5.0,39.0,48.8,11.9,0.3,12117
Minnamurra,118.0,87.0,23.0,0.0,51.8,38.2,10.1,0.0,12639
Gerringong,448.0,473.0,107.0,7.0,43.3,45.7,10.3,0.7,11606
Jamberoo,221.0,195.0,44.0,0.0,48.0,42.4,9.6,0.0,11998
Werri Beach,74.0,69.0,15.0,3.0,46.0,42.9,9.3,1.9,14233
Gerroa,85.0,52.0,30.0,3.0,50.0,30.6,17.6,1.8,11607
Curramore (NSW),21.0,24.0,3.0,4.0,40.4,46.2,5.8,7.7,11174
Jerrara,12.0,20.0,3.0,0.0,34.3,57.1,8.6,0.0,12017
Toolijooa,9.0,12.0,3.0,0.0,37.5,50.0,12.5,0.0,13903
Foxground,26.0,14.0,0.0,0.0,65.0,35.0,0.0,0.0,11558
Flinders (NSW),553.0,1033.0,247.0,18.0,29.9,55.8,13.3,1.0,11534
Shellharbour,403.0,424.0,160.0,15.0,40.2,42.3,16.0,1.5,13533
Shell Cove,503.0,919.0,151.0,6.0,31.9,58.2,9.6,0.4,13532
Barrack Point,60.0,90.0,22.0,0.0,34.9,52.3,12.8,0.0,10208
Dunmore (NSW),26.0,31.0,4.0,0.0,42.6,50.8,6.6,0.0,11323
Oak Flats,702.0,740.0,357.0,20.0,38.6,40.7,19.6,1.1,13053
Blackbutt (NSW),322.0,441.0,171.0,10.0,34.1,46.7,18.1,1.1,10391
Warilla,587.0,575.0,443.0,35.0,35.8,35.1,27.0,2.1,14151
Lake Illawarra,301.0,264.0,244.0,18.0,36.4,31.9,29.5,2.2,12250
Barrack Heights,594.0,641.0,422.0,35.0,35.1,37.9,24.9,2.1,10207
Mount Warrigal,564.0,546.0,303.0,15.0,39.5,38.2,21.2,1.1,12801
Fairy Meadow,692.0,738.0,373.0,47.0,37.4,39.9,20.2,2.5,11484
Balgownie,573.0,731.0,257.0,12.0,36.4,46.5,16.3,0.8,10155
Gwynneville,182.0,272.0,103.0,15.0,31.8,47.6,18.0,2.6,11825
North Wollongong,237.0,126.0,73.0,18.0,52.2,27.8,16.1,4.0,13017
Mount Ousley,169.0,219.0,55.0,9.0,37.4,48.5,12.2,2.0,12782
Mount Pleasant (NSW),155.0,200.0,26.0,5.0,40.2,51.8,6.7,1.3,12784
Tarrawanna,215.0,252.0,74.0,12.0,38.9,45.6,13.4,2.2,13769
Corrimal,663.0,746.0,325.0,30.0,37.6,42.3,18.4,1.7,11082
Towradgi,287.0,383.0,134.0,14.0,35.1,46.8,16.4,1.7,13929
Fernhill,101.0,98.0,66.0,8.0,37.0,35.9,24.2,2.9,11507
East Corrimal,334.0,363.0,181.0,11.0,37.6,40.8,20.4,1.2,11348
Bellambi,316.0,357.0,345.0,23.0,30.4,34.3,33.1,2.2,10264
West Wollongong,422.0,544.0,238.0,26.0,34.3,44.2,19.3,2.1,14255
Keiraville,287.0,314.0,111.0,11.0,39.7,43.4,15.4,1.5,12085
Figtree,1126.0,1572.0,440.0,43.0,35.4,49.4,13.8,1.4,11515
Helensburgh,482.0,1024.0,224.0,9.0,27.7,58.9,12.9,0.5,11890
Otford,34.0,59.0,8.0,0.0,33.7,58.4,7.9,0.0,13101
