,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Blayney,1258.0,122.0,91.2,8.8,10410
Millthorpe,425.0,58.0,88.0,12.0,12623
Carcoar,118.0,27.0,81.4,18.6,10808
Lyndhurst (Blayney - NSW),138.0,24.0,85.2,14.8,12426
Forest Reefs,161.0,19.0,89.4,10.6,11547
Neville,92.0,14.0,86.8,13.2,12937
Barry (Blayney - NSW),59.0,5.0,92.2,7.8,10218
Newbridge (NSW),81.0,20.0,80.2,19.8,12948
Orange,13972.0,1632.0,89.5,10.5,13092
Clifton Grove,269.0,18.0,93.7,6.3,10934
Cumnock,173.0,49.0,77.9,22.1,11159
Cudal,205.0,24.0,89.5,10.5,11140
Molong,927.0,108.0,89.6,10.4,12671
Manildra,282.0,34.0,89.2,10.8,12473
Cargo,200.0,24.0,89.3,10.7,10813
Spring Hill (Cabonne - NSW),162.0,14.0,92.0,8.0,13615
Guyong,35.0,10.0,77.8,22.2,11821
Emu Swamp,52.0,5.0,91.2,8.8,11419
Lewis Ponds,47.0,12.0,79.7,20.3,12312
Lucknow (NSW),102.0,7.0,93.6,6.4,12418
Spring Creek (NSW),47.0,3.0,94.0,6.0,13611
Huntley (Orange - NSW),56.0,4.0,93.3,6.7,11958
Canobolas,163.0,11.0,93.7,6.3,10793
Clergate,68.0,3.0,95.8,4.2,10929
March,39.0,3.0,92.9,7.1,12486
Summer Hill Creek,72.0,6.0,92.3,7.7,13688
Mullion Creek,159.0,9.0,94.6,5.4,12826
Nashdale,129.0,21.0,86.0,14.0,12913
Windera (NSW),77.0,3.0,96.2,3.8,14319
Lidster,96.0,10.0,90.6,9.4,12319
Borenore,145.0,24.0,85.8,14.2,10513
Yeoval,158.0,26.0,85.9,14.1,14507
Grafton,4008.0,400.0,90.9,9.1,11733
Great Marlow,71.0,3.0,95.9,4.1,11745
South Grafton,2320.0,308.0,88.3,11.7,13582
Junction Hill,530.0,43.0,92.5,7.5,12045
Tucabia,143.0,17.0,89.4,10.6,13945
Ulmarra,296.0,34.0,89.7,10.3,14004
Nymboida,115.0,28.0,80.4,19.6,13048
Glenreagh,286.0,13.0,95.7,4.3,11675
Wells Crossing,58.0,5.0,92.1,7.9,14223
Kungala,54.0,6.0,90.0,10.0,12212
Wooli,201.0,186.0,51.9,48.1,14403
Halfway Creek,79.0,18.0,81.4,18.6,11831
Copmanhurst,126.0,18.0,87.5,12.5,11060
Whiteman Creek,54.0,3.0,94.7,5.3,14277
The Whiteman,54.0,5.0,91.5,8.5,13843
Waterview Heights,464.0,19.0,96.1,3.9,14186
Lawrence (NSW),409.0,29.0,93.4,6.6,12288
Eatonsville,76.0,3.0,96.2,3.8,11370
Seelands,136.0,7.0,95.1,4.9,13515
Mountain View (NSW),63.0,0.0,100.0,0.0,12808
Southgate,71.0,18.0,79.8,20.2,13604
Lower Southgate,39.0,5.0,88.6,11.4,12413
Ashby Heights,83.0,9.0,90.2,9.8,10095
Ashby (NSW),138.0,9.0,93.9,6.1,10094
South Arm (Clarence Valley - NSW),81.0,3.0,96.4,3.6,13574
Woodford Island,86.0,16.0,84.3,15.7,14384
Brushgrove,79.0,16.0,83.2,16.8,10622
Elland,114.0,5.0,95.8,4.2,11399
