,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Boree Creek,74.0,43.0,63.2,36.8,10512
Gillenbah,38.0,10.0,79.2,20.8,11622
Tumbarumba,719.0,122.0,85.5,14.5,13961
Khancoban,125.0,93.0,57.3,42.7,12111
Rosewood (Snowy Valleys - NSW),70.0,21.0,76.9,23.1,13415
Humula,57.0,11.0,83.8,16.2,11952
Tooma,37.0,10.0,78.7,21.3,13906
Tumut,2353.0,273.0,89.6,10.4,13966
Batlow,522.0,80.0,86.7,13.3,10232
Talbingo,92.0,164.0,35.9,64.1,13730
Bombowlee,96.0,13.0,88.1,11.9,10459
Mundongo,67.0,11.0,85.9,14.1,12840
Adelong,377.0,57.0,86.9,13.1,10018
Cootamundra,2725.0,356.0,88.4,11.6,11053
Stockinbingal,147.0,33.0,81.7,18.3,13660
Wallendbeen,99.0,38.0,72.3,27.7,14113
Gundagai,664.0,92.0,87.8,12.2,11803
South Gundagai,295.0,47.0,86.3,13.7,13584
Coolac,78.0,18.0,81.2,18.8,11022
Junee,1457.0,139.0,91.3,8.7,12046
Harefield,47.0,9.0,83.9,16.1,11853
Old Junee,93.0,11.0,89.4,10.6,13078
Illabo,50.0,16.0,75.8,24.2,11972
Temora,1872.0,253.0,88.1,11.9,13784
Lake Albert (NSW),2187.0,199.0,91.7,8.3,12238
East Wagga Wagga,86.0,21.0,80.4,19.6,11364
Kooringal (NSW),2836.0,327.0,89.7,10.3,12193
Gumly Gumly,99.0,6.0,94.3,5.7,11800
Tatton,805.0,69.0,92.1,7.9,13775
Estella,769.0,62.0,92.5,7.5,11444
Boorooma,266.0,19.0,93.3,6.7,10501
North Wagga Wagga,225.0,29.0,88.6,11.4,13014
Cartwrights Hill,61.0,4.0,93.8,6.2,10839
Springvale (Wagga Wagga - NSW),481.0,14.0,97.2,2.8,13628
Lloyd,283.0,20.0,93.4,6.6,12365
Bourkelands,982.0,64.0,93.9,6.1,10523
Glenfield Park,1938.0,145.0,93.0,7.0,11665
Tolland,1295.0,156.0,89.2,10.8,13887
Mount Austin,1539.0,168.0,90.2,9.8,12748
Turvey Park,1243.0,162.0,88.5,11.5,13983
San Isidore,116.0,9.0,92.8,7.2,13469
Ashmont,1424.0,180.0,88.8,11.2,10101
Wagga Wagga,3059.0,548.0,84.8,15.2,14083
Ladysmith,122.0,15.0,89.1,10.9,12233
The Rock,434.0,30.0,93.5,6.5,13838
Forest Hill (NSW),695.0,67.0,91.2,8.8,11544
Collingullie,71.0,6.0,92.2,7.8,10976
Lockhart,424.0,87.0,83.0,17.0,12369
Ganmain,275.0,26.0,91.4,8.6,11585
Uranquinty,320.0,16.0,95.2,4.8,14055
Oura,69.0,10.0,87.3,12.7,13102
Gobbagombalin,155.0,20.0,88.6,11.4,11689
Brucedale,57.0,6.0,90.5,9.5,10613
Euberta,42.0,13.0,76.4,23.6,11451
Marrar,122.0,8.0,93.8,6.2,12503
Coolamon,734.0,83.0,89.8,10.2,11025
Tarcutta,164.0,42.0,79.6,20.4,13763
Big Springs,42.0,12.0,77.8,22.2,10345
Mangoplah,77.0,16.0,82.8,17.2,12470
Berry,1024.0,151.0,87.1,12.9,10322
Kangaroo Valley,321.0,130.0,71.2,28.8,12061
Barrengarry,55.0,25.0,68.8,31.2,10213
Upper Kangaroo River,47.0,54.0,46.5,53.5,14030
Broughton Vale,67.0,26.0,72.0,28.0,10606
Bellawongarah,40.0,18.0,69.0,31.0,10267
Beaumont (NSW),44.0,11.0,80.0,20.0,10242
Far Meadow,70.0,16.0,81.4,18.6,11488
Coolangatta (NSW),99.0,20.0,83.2,16.8,11026
Jaspers Brush,133.0,28.0,82.6,17.4,12002
Shoalhaven Heads,1369.0,238.0,85.2,14.8,13540
Callala Bay,836.0,374.0,69.1,30.9,10757
Callala Beach,306.0,654.0,31.9,68.1,10758
Currarong,165.0,368.0,31.0,69.0,11176
Myola (NSW),45.0,34.0,57.0,43.0,12878
Orient Point,237.0,112.0,67.9,32.1,13096
Culburra Beach,1147.0,903.0,56.0,44.0,11146
Greenwell Point,530.0,168.0,75.9,24.1,11769
Huskisson,358.0,262.0,57.7,42.3,11966
Vincentia,1357.0,963.0,58.5,41.5,14075
Hyams Beach,48.0,192.0,20.0,80.0,11967
Bomaderry,2688.0,250.0,91.5,8.5,10453
North Nowra,2100.0,208.0,91.0,9.0,13000
Bangalee (NSW),235.0,22.0,91.4,8.6,10173
Meroo Meadow,157.0,24.0,86.7,13.3,12579
Cambewarra Village,378.0,30.0,92.6,7.4,10764
Tapitallee,204.0,16.0,92.7,7.3,13755
Worrigee,1643.0,152.0,91.5,8.5,14423
Nowra,3619.0,389.0,90.3,9.7,13028
Nowra Hill,350.0,28.0,92.6,7.4,13029
West Nowra,510.0,34.0,93.8,6.2,14248
Terara,110.0,14.0,88.7,11.3,13795
South Nowra,626.0,71.0,89.8,10.2,13594
St Georges Basin,1091.0,290.0,79.0,21.0,13636
Worrowing Heights,214.0,13.0,94.3,5.7,14424
Basin View,557.0,161.0,77.6,22.4,10223
Sanctuary Point,2902.0,1102.0,72.5,27.5,13472
Erowal Bay,243.0,182.0,57.2,42.8,11436
Wrights Beach,49.0,20.0,71.0,29.0,14428
Old Erowal Bay,391.0,111.0,77.9,22.1,13075
Sussex Inlet,1589.0,740.0,68.2,31.8,13700
Swanhaven,79.0,57.0,58.1,41.9,13709
Berrara,112.0,219.0,33.8,66.2,10313
Cudmirrah,118.0,111.0,51.5,48.5,11145
Falls Creek (NSW),299.0,34.0,89.8,10.2,11487
Tomerong,353.0,54.0,86.7,13.3,13894
Wandandian,98.0,4.0,96.1,3.9,14127
Woollamia,211.0,66.0,76.2,23.8,14405
Ulladulla,2731.0,488.0,84.8,15.2,14003
Kings Point,216.0,72.0,75.0,25.0,12153
Burrill Lake,589.0,236.0,71.4,28.6,10712
Dolphin Point,71.0,62.0,53.4,46.6,11269
Milton (NSW),577.0,79.0,88.0,12.0,12630
Mollymook Beach,1034.0,608.0,63.0,37.0,12670
Narrawallee,500.0,367.0,57.7,42.3,12909
Mollymook,424.0,290.0,59.4,40.6,12669
Manyana,230.0,400.0,36.5,63.5,12482
Conjola,49.0,22.0,69.0,31.0,11011
Fishermans Paradise,189.0,79.0,70.5,29.5,11523
Lake Tabourie,263.0,130.0,66.9,33.1,12254
Conjola Park,134.0,87.0,60.6,39.4,11012
Lake Conjola,196.0,182.0,51.9,48.1,12244
Morton,68.0,20.0,77.3,22.7,12730
Woodstock (Shoalhaven - NSW),72.0,17.0,80.9,19.1,14396
Bawley Point,286.0,397.0,41.9,58.1,10235
Kioloa,120.0,173.0,41.0,59.0,12165
Termeil,88.0,29.0,75.2,24.8,13797
Bowral,4096.0,563.0,87.9,12.1,10536
Burradoo,937.0,186.0,83.4,16.6,10701
Woodlands (Wingecarribee - NSW),91.0,29.0,75.8,24.2,14388
Balmoral (Wingecarribee - NSW),146.0,6.0,96.1,3.9,10167
Hill Top (Wingecarribee - NSW),865.0,95.0,90.1,9.9,11905
Colo Vale,523.0,45.0,92.1,7.9,10985
Aylmerton,70.0,12.0,85.4,14.6,10119
Mittagong,2207.0,262.0,89.4,10.6,12653
Willow Vale (Wingecarribee - NSW),240.0,20.0,92.3,7.7,14307
Renwick,200.0,17.0,92.2,7.8,13350
Balaclava (NSW),163.0,13.0,92.6,7.4,10143
Welby,270.0,13.0,95.4,4.6,14219
Braemar,156.0,16.0,90.7,9.3,10545
Moss Vale,3182.0,353.0,90.0,10.0,12739
Sutton Forest,168.0,63.0,72.7,27.3,13703
Berrima,241.0,77.0,75.8,24.2,10320
New Berrima,222.0,9.0,96.1,3.9,12938
Robertson (NSW),661.0,157.0,80.8,19.2,13374
Wildes Meadow,96.0,45.0,68.1,31.9,14292
Burrawang,141.0,47.0,75.0,25.0,10708
Avoca (NSW),73.0,23.0,76.0,24.0,10113
Fitzroy Falls,74.0,23.0,76.3,23.7,11529
Bundanoon (NSW),1101.0,221.0,83.3,16.7,10670
Wingello,212.0,44.0,82.8,17.2,14330
Exeter (NSW),386.0,98.0,79.8,20.2,11475
High Range,130.0,39.0,76.9,23.1,11900
Joadja,39.0,28.0,58.2,41.8,12035
Canyonleigh,142.0,53.0,72.8,27.2,10799
Penrose,98.0,28.0,77.8,22.2,13185
Baulkham Hills,12047.0,616.0,95.1,4.9,10233
Bella Vista,2176.0,96.0,95.8,4.2,10263
Glenhaven,2128.0,139.0,93.9,6.1,11667
Castle Hill (NSW),12633.0,754.0,94.4,5.6,10847
West Pennant Hills,5061.0,273.0,94.9,5.1,14249
Cherrybrook,5793.0,243.0,96.0,4.0,10898
Kellyville,8033.0,478.0,94.4,5.6,12088
Kenthurst,1440.0,98.0,93.6,6.4,12100
Glenorie,1008.0,50.0,95.3,4.7,11673
Maroota,183.0,17.0,91.5,8.5,12500
Cattai,235.0,13.0,94.8,5.2,10859
South Maroota,157.0,6.0,96.3,3.7,13592
Dural (Hornsby - NSW),2336.0,175.0,93.0,7.0,11328
Lower Portland,176.0,30.0,85.4,14.6,12412
Middle Dural,284.0,20.0,93.4,6.6,12603
Annangrove,374.0,27.0,93.3,6.7,10062
Galston,1024.0,72.0,93.4,6.6,11582
Arcadia (NSW),413.0,19.0,95.6,4.4,10072
Berowra Waters,31.0,0.0,100.0,0.0,10311
Berrilee,67.0,7.0,90.5,9.5,10319
Bilpin,215.0,48.0,81.7,18.3,10358
Colo Heights,93.0,14.0,86.9,13.1,10984
Cumberland Reach,56.0,14.0,80.0,20.0,11156
St Albans (NSW),56.0,39.0,58.9,41.1,13630
Bowen Mountain,509.0,32.0,94.1,5.9,10528
Grose Vale,372.0,18.0,95.4,4.6,11785
Grose Wold,184.0,14.0,92.9,7.1,11786
Kurrajong,971.0,77.0,92.7,7.3,12218
Kurrajong Hills,207.0,15.0,93.2,6.8,12220
Kurrajong Heights,443.0,43.0,91.2,8.8,12219
Kurmond,276.0,17.0,94.2,5.8,12215
East Kurrajong,609.0,25.0,96.1,3.9,11356
Wilberforce (NSW),951.0,45.0,95.5,4.5,14288
Freemans Reach,623.0,35.0,94.7,5.3,11564
Sackville,92.0,10.0,90.2,9.8,13458
Ebenezer (NSW),288.0,28.0,91.1,8.9,11371
Glossodia,873.0,49.0,94.7,5.3,11684
Blaxlands Ridge,137.0,4.0,97.2,2.8,10409
Tennyson (NSW),123.0,5.0,96.1,3.9,13789
Vineyard,403.0,27.0,93.7,6.3,14076
McGraths Hill,838.0,45.0,94.9,5.1,12542
Maraylya,352.0,35.0,91.0,9.0,12484
Oakville,585.0,40.0,93.6,6.4,13060
Pitt Town,910.0,36.0,96.2,3.8,13226
Pitt Town Bottoms,21.0,7.0,75.0,25.0,13227
Rouse Hill,2294.0,151.0,93.8,6.2,13429
Beaumont Hills,2468.0,101.0,96.1,3.9,10243
Nelson (The Hills Shire - NSW),141.0,11.0,92.8,7.2,12922
Box Hill (NSW),267.0,31.0,89.6,10.4,10539
Blacktown,14909.0,825.0,94.8,5.2,10397
Kings Park (NSW),1158.0,73.0,94.1,5.9,12150
Acacia Gardens,1112.0,15.0,98.7,1.3,10014
Quakers Hill,8190.0,321.0,96.2,3.8,13286
Marayong,2537.0,150.0,94.4,5.6,12485
Woodcroft (NSW),1828.0,67.0,96.5,3.5,14381
Bungarribee,687.0,19.0,97.3,2.7,10682
Doonside,4154.0,237.0,94.6,5.4,11275
Seven Hills (NSW),6335.0,360.0,94.6,5.4,13518
Lalor Park,2750.0,168.0,94.2,5.8,12261
Kings Langley,3027.0,119.0,96.2,3.8,12149
Toongabbie (NSW),4544.0,258.0,94.6,5.4,13907
Prospect (NSW),1455.0,47.0,96.9,3.1,13266
Glenwood (NSW),4417.0,138.0,97.0,3.0,11682
Parklea,656.0,20.0,97.0,3.0,13153
Stanhope Gardens,2794.0,95.0,96.7,3.3,13649
Kellyville Ridge,2877.0,89.0,97.0,3.0,12089
The Ponds,3262.0,110.0,96.7,3.3,13835
Riverstone,2305.0,206.0,91.8,8.2,13368
Schofields,1532.0,135.0,91.9,8.1,13502
Marsden Park,348.0,81.0,81.1,18.9,12505
Colebee,529.0,103.0,83.7,16.3,10965
Bidwill (NSW),1278.0,65.0,95.2,4.8,10340
Hebersham,1625.0,82.0,95.2,4.8,11886
Dharruk,826.0,37.0,95.7,4.3,11248
Blackett,1031.0,86.0,92.3,7.7,10392
Emerton,698.0,41.0,94.5,5.5,11413
Glendenning,1429.0,51.0,96.6,3.4,11659
Dean Park,945.0,27.0,97.2,2.8,11224
Plumpton (NSW),2454.0,44.0,98.2,1.8,13230
Oakhurst (NSW),1906.0,64.0,96.8,3.2,13058
Hassall Grove,1221.0,20.0,98.4,1.6,11866
Shalvey,1009.0,58.0,94.6,5.4,13523
Willmot,723.0,48.0,93.8,6.2,14302
Tregear,1183.0,82.0,93.5,6.5,13934
Lethbridge Park,1513.0,105.0,93.5,6.5,12307
Ropes Crossing,1833.0,57.0,97.0,3.0,13397
Mount Druitt,4934.0,313.0,94.0,6.0,12756
Whalan,1857.0,105.0,94.6,5.4,14266
Eastern Creek,241.0,24.0,90.9,9.1,11366
Minchinbury,1601.0,65.0,96.1,3.9,12633
Rooty Hill,4062.0,222.0,94.8,5.2,13395
Botany,3651.0,254.0,93.5,6.5,10517
Mascot,5202.0,489.0,91.4,8.6,12519
Eastlakes,2592.0,182.0,93.4,6.6,11368
Rosebery (NSW),3723.0,402.0,90.3,9.7,13405
Pagewood,1250.0,69.0,94.8,5.2,13125
Daceyville,535.0,25.0,95.5,4.5,11185
Hillsdale,1956.0,98.0,95.2,4.8,11911
Eastgardens,301.0,12.0,96.2,3.8,11367
Matraville,3321.0,182.0,94.8,5.2,12524
Marrickville,9759.0,828.0,92.2,7.8,12504
Petersham,3140.0,257.0,92.4,7.6,13190
Dulwich Hill,5467.0,409.0,93.0,7.0,11303
Newtown (NSW),6104.0,775.0,88.7,11.3,12960
Lewisham (NSW),1213.0,131.0,90.3,9.7,12313
Stanmore (NSW),3036.0,211.0,93.5,6.5,13650
Camperdown (NSW),4459.0,464.0,90.6,9.4,10781
Enmore (Inner West - NSW),1548.0,132.0,92.1,7.9,11425
St Peters (NSW),1211.0,157.0,88.5,11.5,13644
Sydenham (NSW),419.0,17.0,96.1,3.9,13714
Tempe,1224.0,80.0,93.9,6.1,13785
Darlinghurst,5036.0,780.0,86.6,13.4,11212
Erskineville,3442.0,309.0,91.8,8.2,11439
Alexandria,3596.0,354.0,91.0,9.0,10030
Glebe (NSW),4768.0,538.0,89.9,10.1,11641
Forest Lodge,1879.0,287.0,86.7,13.3,11546
Annandale (NSW),3588.0,427.0,89.4,10.6,10061
Darlington (Sydney - NSW),1173.0,82.0,93.5,6.5,11214
Potts Point,3613.0,701.0,83.8,16.2,13256
Elizabeth Bay,2851.0,586.0,83.0,17.0,11395
Sydney,6028.0,1341.0,81.8,18.2,13715
Woolloomooloo,1881.0,278.0,87.1,12.9,14406
Rushcutters Bay,1285.0,201.0,86.5,13.5,13444
Pyrmont,5370.0,524.0,91.1,8.9,13284
Ultimo,2852.0,240.0,92.2,7.8,14006
Redfern,5777.0,642.0,90.0,10.0,13339
Eveleigh,249.0,14.0,94.7,5.3,11471
Chippendale,3362.0,306.0,91.7,8.3,10907
Surry Hills,7182.0,979.0,88.0,12.0,13699
Haymarket,1956.0,170.0,92.0,8.0,11877
Dawes Point,158.0,42.0,79.0,21.0,11222
Millers Point,664.0,529.0,55.7,44.3,12619
Barangaroo,52.0,38.0,57.8,42.2,10191
Balmain East,791.0,116.0,87.2,12.8,10165
The Rocks (Sydney - NSW),250.0,224.0,52.7,47.3,13840
Waterloo (NSW),6480.0,628.0,91.2,8.8,14183
Zetland,4203.0,457.0,90.2,9.8,14524
Beaconsfield (NSW),395.0,34.0,92.1,7.9,10239
Bronte,2438.0,348.0,87.5,12.5,10594
Tamarama,587.0,90.0,86.7,13.3,13741
Bondi,3991.0,430.0,90.3,9.7,10464
Bondi Beach,4741.0,917.0,83.8,16.2,10465
North Bondi,3264.0,402.0,89.0,11.0,12984
Waverley (NSW),1490.0,154.0,90.6,9.4,14200
Bondi Junction,3612.0,438.0,89.2,10.8,10467
Queens Park (NSW),1081.0,93.0,92.1,7.9,13294
Centennial Park (NSW),1089.0,83.0,92.9,7.1,10873
Darling Point,1861.0,370.0,83.4,16.6,11211
Edgecliff,1135.0,113.0,90.9,9.1,11379
Double Bay,1989.0,287.0,87.4,12.6,11281
Bellevue Hill,3878.0,419.0,90.2,9.8,10271
Rose Bay (NSW),3861.0,440.0,89.8,10.2,13398
Paddington (NSW),5285.0,681.0,88.6,11.4,13115
Point Piper,542.0,126.0,81.1,18.9,13233
Vaucluse,3131.0,423.0,88.1,11.9,14071
Dover Heights,1260.0,96.0,92.9,7.1,11284
Watsons Bay,265.0,36.0,88.0,12.0,14187
Woollahra,2914.0,354.0,89.2,10.8,14404
Clovelly,1789.0,202.0,89.9,10.1,10938
South Coogee,2063.0,180.0,92.0,8.0,13579
Coogee (NSW),6032.0,640.0,90.4,9.6,11015
La Perouse,137.0,12.0,91.9,8.1,12230
Little Bay,1574.0,124.0,92.7,7.3,12349
Malabar,1305.0,81.0,94.2,5.8,12453
Chifley (NSW),1066.0,94.0,91.9,8.1,10901
Phillip Bay,215.0,15.0,93.5,6.5,13193
Kensington (NSW),4627.0,330.0,93.3,6.7,12099
Kingsford (NSW),5404.0,308.0,94.6,5.4,12156
Maroubra,11355.0,1143.0,90.9,9.1,12501
Randwick,11476.0,1098.0,91.3,8.7,13312
Georges Hall,2629.0,144.0,94.8,5.2,11601
Bass Hill,2673.0,236.0,91.9,8.1,10224
Yagoona,5240.0,408.0,92.8,7.2,14453
Villawood,1766.0,121.0,93.6,6.4,14074
Greenacre,6764.0,484.0,93.3,6.7,11757
Potts Hill,247.0,16.0,93.9,6.1,13255
Milperra,1265.0,53.0,96.0,4.0,12625
Revesby,4611.0,315.0,93.6,6.4,13355
Condell Park,3225.0,263.0,92.5,7.5,11001
Bankstown,9588.0,751.0,92.7,7.3,10180
Mount Lewis,346.0,22.0,94.0,6.0,12774
Punchbowl (Canterbury-Bankstown - NSW),5699.0,403.0,93.4,6.6,13273
Padstow,4471.0,309.0,93.5,6.5,13120
Padstow Heights,1227.0,100.0,92.5,7.5,13121
Panania,4130.0,245.0,94.4,5.6,13144
East Hills,1129.0,99.0,91.9,8.1,11351
Picnic Point,1978.0,107.0,94.9,5.1,13199
Revesby Heights,519.0,49.0,91.4,8.6,13356
Birrong,907.0,50.0,94.8,5.2,10379
Belmore,4258.0,369.0,92.0,8.0,10279
Belfield,2079.0,124.0,94.4,5.6,10257
Campsie,7961.0,501.0,94.1,5.9,10782
Canterbury (NSW),2579.0,246.0,91.3,8.7,10797
Clemton Park,510.0,22.0,95.9,4.1,10928
Earlwood,5747.0,461.0,92.6,7.4,11343
Kingsgrove,4142.0,290.0,93.5,6.5,12158
Riverwood,4381.0,266.0,94.3,5.7,13371
Roselands,3603.0,284.0,92.7,7.3,13409
Beverly Hills,3328.0,234.0,93.4,6.6,10331
Narwee,1920.0,125.0,93.9,6.1,12912
Lakemba,4895.0,325.0,93.8,6.2,12257
Wiley Park,3079.0,161.0,95.0,5.0,14293
Hurstville,9520.0,627.0,93.8,6.2,11964
Carlton (NSW),3602.0,242.0,93.7,6.3,10819
Penshurst (NSW),4380.0,228.0,95.1,4.9,13186
Oatley,3569.0,295.0,92.4,7.6,13064
Mortdale,3749.0,274.0,93.2,6.8,12728
Peakhurst,3447.0,256.0,93.1,6.9,13168
Hurstville Grove,829.0,53.0,94.0,6.0,11965
Lugarno,1845.0,107.0,94.5,5.5,12421
Peakhurst Heights,814.0,46.0,94.7,5.3,13169
South Hurstville,1634.0,118.0,93.3,6.7,13587
Blakehurst,1901.0,155.0,92.5,7.5,10403
Kyle Bay,313.0,28.0,91.8,8.2,12227
Connells Point,901.0,51.0,94.6,5.4,11013
Carss Park,430.0,33.0,92.9,7.1,10837
Arncliffe,3443.0,289.0,92.3,7.7,10086
Wolli Creek,2481.0,216.0,92.0,8.0,14353
Turrella,769.0,57.0,93.1,6.9,13982
Bardwell Valley,772.0,55.0,93.3,6.7,10196
Bardwell Park,768.0,50.0,93.9,6.1,10195
Bexley,6045.0,418.0,93.5,6.5,10334
Kogarah,5283.0,330.0,94.1,5.9,12181
Bexley North,1396.0,105.0,93.0,7.0,10335
Allawah,2027.0,123.0,94.3,5.7,10038
Beverley Park,812.0,74.0,91.6,8.4,10330
Kogarah Bay,622.0,66.0,90.4,9.6,12182
Kyeemagh,317.0,20.0,94.1,5.9,12226
Brighton-le-Sands,3283.0,372.0,89.8,10.2,10569
Rockdale,5218.0,368.0,93.4,6.6,13379
Monterey,1684.0,196.0,89.6,10.4,12686
Banksia,1057.0,68.0,94.0,6.0,10178
Sandringham (NSW),463.0,53.0,89.7,10.3,13478
Dolls Point,747.0,75.0,90.9,9.1,11267
Sans Souci,3934.0,360.0,91.6,8.4,13489
Ramsgate,388.0,41.0,90.4,9.6,13309
Ramsgate Beach,712.0,70.0,91.0,9.0,13310
Concord,4795.0,313.0,93.9,6.1,10999
Breakfast Point,1748.0,225.0,88.6,11.4,10557
Cabarita (NSW),697.0,72.0,90.6,9.4,10736
Mortlake (NSW),398.0,50.0,88.8,11.2,12729
North Strathfield,1612.0,95.0,94.4,5.6,13009
Concord West,1901.0,125.0,93.8,6.2,11000
Sydney Olympic Park,644.0,56.0,92.0,8.0,13716
Liberty Grove,720.0,25.0,96.6,3.4,12315
Rhodes,4708.0,348.0,93.1,6.9,13358
Drummoyne,4623.0,487.0,90.5,9.5,11293
Russell Lea,1791.0,134.0,93.0,7.0,13447
Rodd Point,477.0,33.0,93.5,6.5,13391
Abbotsford (NSW),2157.0,188.0,92.0,8.0,10003
Chiswick,1211.0,121.0,90.9,9.1,10910
Five Dock,3391.0,319.0,91.4,8.6,11530
Canada Bay,443.0,39.0,91.9,8.1,10785
Wareemba,578.0,50.0,92.0,8.0,14148
Balmain,4196.0,397.0,91.4,8.6,10164
Birchgrove,1260.0,150.0,89.4,10.6,10374
Woolwich,291.0,23.0,92.7,7.3,14412
Leichhardt (NSW),5425.0,426.0,92.7,7.3,12297
Lilyfield,2817.0,230.0,92.5,7.5,12325
Rozelle,3447.0,374.0,90.2,9.8,13435
Ashfield (NSW),8540.0,625.0,93.2,6.8,10098
Summer Hill (Inner West - NSW),2881.0,264.0,91.6,8.4,13687
Hurlstone Park,1702.0,128.0,93.0,7.0,11963
Ashbury,1062.0,81.0,92.9,7.1,10093
Burwood (NSW),5289.0,425.0,92.6,7.4,10718
Croydon (NSW),3468.0,202.0,94.5,5.5,11134
Strathfield (NSW),8035.0,556.0,93.5,6.5,13675
Croydon Park (NSW),3859.0,275.0,93.3,6.7,11135
Enfield (NSW),987.0,72.0,93.2,6.8,11421
Burwood Heights,291.0,19.0,93.9,6.1,10719
Haberfield,2173.0,146.0,93.7,6.3,11828
Homebush West,2711.0,150.0,94.8,5.2,11930
Homebush (NSW),2254.0,242.0,90.3,9.7,11929
Strathfield South,1158.0,59.0,95.2,4.8,13676
Chatswood,8894.0,972.0,90.1,9.9,10892
North Willoughby,1481.0,103.0,93.5,6.5,13016
Willoughby (NSW),2237.0,145.0,93.9,6.1,14303
Artarmon,3590.0,253.0,93.4,6.6,10090
Roseville,3222.0,255.0,92.7,7.3,13412
Lane Cove North,4564.0,399.0,92.0,8.0,12267
Chatswood West,485.0,51.0,90.5,9.5,10893
Lane Cove West,938.0,223.0,80.8,19.2,12268
Lane Cove,4275.0,387.0,91.7,8.3,12266
Riverview (NSW),936.0,55.0,94.5,5.5,13370
Greenwich,2078.0,195.0,91.4,8.6,11770
Northwood (NSW),283.0,28.0,91.0,9.0,13024
Longueville,653.0,50.0,92.9,7.1,12385
St Leonards (NSW),2518.0,313.0,88.9,11.1,13642
Naremburn,2225.0,213.0,91.3,8.7,12898
Cammeray,2993.0,270.0,91.7,8.3,10778
Castle Cove,833.0,76.0,91.6,8.4,10845
Castlecrag,919.0,91.0,91.0,9.0,10849
Northbridge (NSW),2028.0,168.0,92.3,7.7,13022
Middle Cove,427.0,23.0,94.9,5.1,12602
Willoughby East,553.0,25.0,95.7,4.3,14304
Hornsby Heights,2013.0,88.0,95.8,4.2,11937
Mount Colah,2258.0,126.0,94.7,5.3,12750
Asquith,1091.0,160.0,87.2,12.8,10103
Hornsby,8162.0,568.0,93.5,6.5,11936
Mount Kuring-Gai,551.0,32.0,94.5,5.5,12772
Cowan,210.0,5.0,97.7,2.3,11097
Berowra,1493.0,73.0,95.3,4.7,10308
Brooklyn (NSW),266.0,52.0,83.6,16.4,10599
Berowra Heights,1709.0,81.0,95.5,4.5,10310
Dangar Island,117.0,61.0,65.7,34.3,11199
Normanhurst,1717.0,91.0,95.0,5.0,12976
Thornleigh,2693.0,154.0,94.6,5.4,13850
Westleigh,1454.0,71.0,95.3,4.7,14260
Wahroonga,5454.0,396.0,93.2,6.8,14085
East Killara,886.0,73.0,92.4,7.6,11355
Killara (NSW),3490.0,274.0,92.7,7.3,12129
Lindfield,3333.0,285.0,92.1,7.9,12339
Gordon (NSW),2552.0,178.0,93.5,6.5,11718
East Lindfield,1164.0,66.0,94.6,5.4,11357
Roseville Chase,504.0,41.0,92.5,7.5,13413
Pymble,3460.0,254.0,93.2,6.8,13281
West Pymble,1644.0,106.0,93.9,6.1,14250
St Ives (NSW),5832.0,413.0,93.4,6.6,13639
St Ives Chase,970.0,49.0,95.2,4.8,13640
Turramurra,4030.0,298.0,93.1,6.9,13980
South Turramurra,969.0,39.0,96.1,3.9,13598
North Turramurra,1464.0,123.0,92.2,7.8,13013
Warrawee,972.0,60.0,94.2,5.8,14165
North Wahroonga,650.0,43.0,93.8,6.2,13015
Cremorne Point,1046.0,152.0,87.3,12.7,11113
Cremorne (NSW),4882.0,416.0,92.1,7.9,11112
Neutral Bay,4622.0,542.0,89.5,10.5,12934
Crows Nest (NSW),2086.0,234.0,89.9,10.1,11131
Wollstonecraft,3710.0,342.0,91.6,8.4,14359
Waverton,1342.0,138.0,90.7,9.3,14202
North Sydney,3360.0,644.0,83.9,16.1,13010
Mosman,11023.0,1372.0,88.9,11.1,12738
Kirribilli,1890.0,382.0,83.2,16.8,12173
Kurraba Point,682.0,128.0,84.2,15.8,12217
Milsons Point,1030.0,225.0,82.1,17.9,12629
McMahons Point,1057.0,234.0,81.9,18.1,12547
Lavender Bay,450.0,80.0,84.9,15.1,12285
Seaforth (NSW),2188.0,189.0,92.0,8.0,13509
Balgowlah Heights,1020.0,71.0,93.5,6.5,10154
Clontarf (NSW),526.0,60.0,89.8,10.2,10935
Balgowlah,3007.0,273.0,91.7,8.3,10153
Manly (NSW),6522.0,1314.0,83.2,16.8,12475
Fairlight,2303.0,286.0,89.0,11.0,11482
Avalon Beach,3297.0,419.0,88.7,11.3,10111
Palm Beach (NSW),598.0,544.0,52.4,47.6,13132
Whale Beach,97.0,129.0,42.9,57.1,14267
Clareville,279.0,82.0,77.3,22.7,10923
Scotland Island,209.0,142.0,59.5,40.5,13505
Elanora Heights,1326.0,74.0,94.7,5.3,11389
Ingleside,282.0,21.0,93.1,6.9,11979
Bayview (NSW),1442.0,156.0,90.2,9.8,10237
Church Point,356.0,61.0,85.4,14.6,10915
Lovett Bay,32.0,27.0,54.2,45.8,12397
Mona Vale,3749.0,414.0,90.1,9.9,12672
Newport (NSW),3336.0,438.0,88.4,11.6,12956
Bilgola Plateau,1150.0,90.0,92.7,7.3,10351
Bilgola Beach,92.0,31.0,74.8,25.2,10350
Warriewood,2407.0,147.0,94.2,5.8,14173
North Narrabeen,1840.0,128.0,93.5,6.5,12999
Beacon Hill,2224.0,110.0,95.3,4.7,10238
