,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%)
Marrickville,2351.0,2666.0,3855.0,44.0,276.0,25.6,29.0,41.9,0.5,3.0
Marsfield,1442.0,1361.0,1638.0,110.0,138.0,30.8,29.0,34.9,2.3,2.9
Maryland (Newcastle - NSW),742.0,1319.0,501.0,15.0,48.0,28.3,50.2,19.1,0.6,1.8
Maryville,166.0,220.0,194.0,9.0,10.0,27.7,36.7,32.4,1.5,1.7
Mascot,1029.0,1343.0,1202.0,9.0,87.0,28.0,36.6,32.8,0.2,2.4
Matraville,1076.0,937.0,996.0,17.0,80.0,34.6,30.2,32.1,0.5,2.6
Mayfield (Newcastle - NSW),921.0,1250.0,1436.0,23.0,96.0,24.7,33.5,38.5,0.6,2.6
Mayfield East,174.0,253.0,242.0,3.0,17.0,25.3,36.7,35.1,0.4,2.5
Mayfield West,206.0,226.0,229.0,3.0,30.0,29.7,32.6,33.0,0.4,4.3
Mays Hill,83.0,68.0,83.0,0.0,0.0,35.5,29.1,35.5,0.0,0.0
McMahons Point,315.0,195.0,591.0,3.0,11.0,28.3,17.5,53.0,0.3,1.0
Meadowbank (NSW),210.0,406.0,1033.0,12.0,33.0,12.4,24.0,61.0,0.7,1.9
Melrose Park (NSW),188.0,219.0,76.0,4.0,6.0,38.1,44.4,15.4,0.8,1.2
Menai,1003.0,1667.0,587.0,8.0,49.0,30.3,50.3,17.7,0.2,1.5
Merewether,1388.0,1296.0,1444.0,39.0,91.0,32.6,30.4,33.9,0.9,2.1
Merewether Heights,231.0,203.0,42.0,4.0,8.0,47.3,41.6,8.6,0.8,1.6
Merrylands,2360.0,2393.0,3295.0,54.0,285.0,28.1,28.5,39.3,0.6,3.4
Merrylands West,622.0,599.0,762.0,58.0,78.0,29.4,28.3,36.0,2.7,3.7
