,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%)
Barrack Heights,1909.0,154.0,69.0,5.0,89.3,7.2,3.2,0.2
Barrack Point,156.0,8.0,24.0,42.0,67.8,3.5,10.4,18.3
Bass Hill,1928.0,405.0,183.0,40.0,75.3,15.8,7.1,1.6
Bateau Bay,3565.0,410.0,521.0,4.0,79.2,9.1,11.6,0.1
Baulkham Hills,8847.0,1869.0,555.0,0.0,78.5,16.6,4.9,0.0
Bayview (NSW),832.0,88.0,265.0,0.0,70.2,7.4,22.4,0.0
Beacon Hill,1956.0,167.0,39.0,0.0,90.5,7.7,1.8,0.0
Beaconsfield (NSW),101.0,148.0,105.0,0.0,28.0,41.0,29.1,0.0
Beecroft,2603.0,100.0,91.0,4.0,93.0,3.6,3.3,0.1
Belfield,1523.0,421.0,87.0,10.0,74.6,20.6,4.3,0.5
Bella Vista,1748.0,325.0,3.0,0.0,84.2,15.7,0.1,0.0
Bellambi,849.0,478.0,298.0,5.0,52.0,29.3,18.2,0.3
Bellevue Hill,1398.0,207.0,2062.0,0.0,38.0,5.6,56.1,0.0
Belmont (NSW),1921.0,230.0,419.0,125.0,71.2,8.5,15.5,4.6
Belmont North,2009.0,150.0,152.0,6.0,86.7,6.5,6.6,0.3
Belmont South,399.0,42.0,19.0,12.0,84.5,8.9,4.0,2.5
Belmore,2195.0,427.0,1532.0,24.0,52.3,10.2,36.5,0.6
Belrose,2362.0,331.0,18.0,6.0,86.8,12.2,0.7,0.2
Bensville,808.0,3.0,0.0,0.0,99.6,0.4,0.0,0.0
Berala,1541.0,445.0,737.0,0.0,56.5,16.3,27.0,0.0
Berkeley,2458.0,172.0,115.0,0.0,89.5,6.3,4.2,0.0
Berkeley Vale,2653.0,105.0,209.0,7.0,89.2,3.5,7.0,0.2
Berowra,1394.0,35.0,16.0,3.0,96.3,2.4,1.1,0.2
Berowra Heights,1653.0,15.0,4.0,0.0,98.9,0.9,0.2,0.0
Beverley Park,652.0,51.0,19.0,3.0,89.9,7.0,2.6,0.4
Beverly Hills,2305.0,494.0,441.0,18.0,69.8,15.0,13.4,0.5
Bexley,3353.0,1414.0,1307.0,39.0,54.8,23.1,21.4,0.6
Bexley North,1079.0,91.0,162.0,10.0,80.2,6.8,12.0,0.7
Bidwill (NSW),918.0,426.0,28.0,3.0,66.8,31.0,2.0,0.2
Birchgrove,436.0,607.0,189.0,4.0,35.3,49.1,15.3,0.3
Birmingham Gardens,681.0,39.0,60.0,0.0,87.3,5.0,7.7,0.0
Birrong,734.0,122.0,26.0,0.0,83.2,13.8,2.9,0.0
Blackalls Park,945.0,106.0,8.0,0.0,89.2,10.0,0.8,0.0
Blackbutt (NSW),802.0,266.0,90.0,0.0,69.3,23.0,7.8,0.0
Blackett,966.0,36.0,43.0,4.0,92.1,3.4,4.1,0.4
Blacksmiths,693.0,21.0,48.0,10.0,89.3,2.7,6.2,1.3
Blacktown,10196.0,2124.0,2056.0,19.0,70.8,14.7,14.3,0.1
