,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Elderslie (Singleton - NSW),0.0,0.0,19.0,22.0,0.0,0.0,0.0,46.3,53.7,0.0,11392
Lambs Valley (Singleton - NSW),0.0,20.0,43.0,43.0,0.0,0.0,18.9,40.6,40.6,0.0,12263
Stanhope (NSW),0.0,3.0,22.0,17.0,0.0,0.0,7.1,52.4,40.5,0.0,13648
Glendon Brook,0.0,6.0,36.0,26.0,7.0,0.0,8.0,48.0,34.7,9.3,11661
Maitland (NSW),91.0,304.0,210.0,89.0,35.0,12.5,41.7,28.8,12.2,4.8,12449
South Maitland,27.0,58.0,52.0,24.0,3.0,16.5,35.4,31.7,14.6,1.8,13591
Gillieston Heights,26.0,298.0,513.0,209.0,34.0,2.4,27.6,47.5,19.4,3.1,11624
Louth Park,0.0,12.0,85.0,77.0,3.0,0.0,6.8,48.0,43.5,1.7,12395
Horseshoe Bend,10.0,62.0,40.0,21.0,15.0,6.8,41.9,27.0,14.2,10.1,11939
Oakhampton,5.0,18.0,27.0,14.0,3.0,7.5,26.9,40.3,20.9,4.5,13056
East Maitland,411.0,1728.0,1651.0,709.0,155.0,8.8,37.1,35.5,15.2,3.3,11360
Metford,88.0,598.0,691.0,272.0,40.0,5.2,35.4,40.9,16.1,2.4,12592
Tenambit,55.0,418.0,399.0,182.0,41.0,5.0,38.2,36.4,16.6,3.7,13787
Raworth,4.0,136.0,286.0,132.0,12.0,0.7,23.9,50.2,23.2,2.1,13325
Morpeth,17.0,238.0,220.0,100.0,12.0,2.9,40.5,37.5,17.0,2.0,12727
Ashtonfield,24.0,370.0,704.0,361.0,29.0,1.6,24.9,47.3,24.3,1.9,10102
Chisholm (NSW),4.0,69.0,269.0,114.0,3.0,0.9,15.0,58.6,24.8,0.7,10909
Largs,22.0,145.0,282.0,164.0,14.0,3.5,23.1,45.0,26.2,2.2,12278
Bolwarra Heights,11.0,194.0,443.0,281.0,15.0,1.2,20.6,46.9,29.8,1.6,10451
Lorn,30.0,194.0,196.0,89.0,10.0,5.8,37.4,37.8,17.1,1.9,12389
Bolwarra (NSW),5.0,83.0,152.0,104.0,6.0,1.4,23.7,43.4,29.7,1.7,10450
Woodville (NSW),0.0,31.0,59.0,56.0,3.0,0.0,20.8,39.6,37.6,2.0,14398
Maitland Vale,0.0,10.0,20.0,15.0,0.0,0.0,22.2,44.4,33.3,0.0,12451
Rutherford,296.0,1554.0,1533.0,705.0,237.0,6.8,35.9,35.4,16.3,5.5,13449
Aberglasslyn,19.0,432.0,858.0,390.0,36.0,1.1,24.9,49.5,22.5,2.1,10009
Luskintyre,0.0,6.0,30.0,21.0,0.0,0.0,10.5,52.6,36.8,0.0,12423
Lochinvar,4.0,57.0,100.0,96.0,12.0,1.5,21.2,37.2,35.7,4.5,12368
Windella,0.0,11.0,96.0,103.0,4.0,0.0,5.1,44.9,48.1,1.9,14317
Telarah,87.0,390.0,288.0,118.0,38.0,9.4,42.3,31.3,12.8,4.1,13780
Farley,0.0,17.0,28.0,26.0,4.0,0.0,22.7,37.3,34.7,5.3,11490
Bishops Bridge,0.0,13.0,28.0,28.0,4.0,0.0,17.8,38.4,38.4,5.5,10380
Thornton (NSW),62.0,691.0,1213.0,689.0,45.0,2.3,25.6,44.9,25.5,1.7,13851
Millers Forest,0.0,15.0,47.0,50.0,0.0,0.0,13.4,42.0,44.6,0.0,12618
Berry Park,0.0,5.0,13.0,20.0,0.0,0.0,13.2,34.2,52.6,0.0,10325
Anna Bay,53.0,531.0,462.0,265.0,59.0,3.9,38.8,33.7,19.3,4.3,10060
Boat Harbour (Port Stephens - NSW),3.0,92.0,157.0,64.0,19.0,0.9,27.5,46.9,19.1,5.7,10425
Bobs Farm,0.0,35.0,39.0,56.0,5.0,0.0,25.9,28.9,41.5,3.7,10429
One Mile (NSW),0.0,58.0,48.0,41.0,4.0,0.0,38.4,31.8,27.2,2.6,13085
Lemon Tree Passage,40.0,424.0,378.0,156.0,48.0,3.8,40.5,36.1,14.9,4.6,12300
Mallabula,14.0,132.0,130.0,65.0,16.0,3.9,37.0,36.4,18.2,4.5,12455
Tanilba Bay,50.0,436.0,446.0,208.0,55.0,4.2,36.5,37.3,17.4,4.6,13748
Salamander Bay,125.0,827.0,662.0,243.0,86.0,6.4,42.6,34.1,12.5,4.4,13463
Soldiers Point,16.0,242.0,240.0,78.0,24.0,2.7,40.3,40.0,13.0,4.0,13570
Corlette,40.0,684.0,894.0,320.0,62.0,2.0,34.2,44.7,16.0,3.1,11075
Taylors Beach (NSW),0.0,16.0,17.0,11.0,3.0,0.0,34.0,36.2,23.4,6.4,13777
Nelson Bay (NSW),120.0,982.0,844.0,290.0,99.0,5.1,42.1,36.1,12.4,4.2,12923
Fingal Bay,35.0,295.0,213.0,72.0,28.0,5.4,45.9,33.1,11.2,4.4,11518
Shoal Bay (NSW),49.0,331.0,200.0,56.0,43.0,7.2,48.7,29.5,8.2,6.3,13539
Raymond Terrace,301.0,1817.0,1539.0,772.0,194.0,6.5,39.3,33.3,16.7,4.2,13327
Tomago,15.0,66.0,24.0,20.0,8.0,11.3,49.6,18.0,15.0,6.0,13889
Heatherbrae,9.0,41.0,37.0,34.0,115.0,3.8,17.4,15.7,14.4,48.7,11884
Eagleton,3.0,14.0,30.0,31.0,0.0,3.8,17.9,38.5,39.7,0.0,11342
Duns Creek,0.0,20.0,69.0,80.0,3.0,0.0,11.6,40.1,46.5,1.7,11326
Seaham,0.0,38.0,124.0,137.0,9.0,0.0,12.3,40.3,44.5,2.9,13510
Wallalong,0.0,41.0,136.0,123.0,4.0,0.0,13.5,44.7,40.5,1.3,14104
Brandy Hill,0.0,33.0,92.0,92.0,4.0,0.0,14.9,41.6,41.6,1.8,10548
Hinton,6.0,22.0,71.0,55.0,3.0,3.8,14.0,45.2,35.0,1.9,11916
Butterwick,0.0,3.0,12.0,33.0,0.0,0.0,6.2,25.0,68.8,0.0,10725
East Seaham,0.0,25.0,46.0,42.0,3.0,0.0,21.6,39.7,36.2,2.6,11362
Nelsons Plains,0.0,15.0,43.0,47.0,5.0,0.0,13.6,39.1,42.7,4.5,12924
Osterley (NSW),0.0,5.0,15.0,19.0,0.0,0.0,12.8,38.5,48.7,0.0,13099
Tea Gardens,43.0,572.0,468.0,141.0,43.0,3.4,45.1,36.9,11.1,3.4,13779
North Arm Cove,4.0,64.0,74.0,30.0,17.0,2.1,33.9,39.2,15.9,9.0,12979
Bundabah,3.0,16.0,19.0,6.0,3.0,6.4,34.0,40.4,12.8,6.4,10668
Pindimar,0.0,38.0,64.0,31.0,3.0,0.0,27.9,47.1,22.8,2.2,13211
Hawks Nest,32.0,238.0,169.0,60.0,34.0,6.0,44.7,31.7,11.3,6.4,11873
Karuah,28.0,234.0,170.0,91.0,23.0,5.1,42.9,31.1,16.7,4.2,12076
Medowie,39.0,618.0,1378.0,888.0,92.0,1.3,20.5,45.7,29.5,3.1,12554
Salt Ash,5.0,53.0,155.0,138.0,15.0,1.4,14.5,42.3,37.7,4.1,13467
Williamtown,22.0,124.0,53.0,68.0,26.0,7.5,42.3,18.1,23.2,8.9,14299
Twelve Mile Creek,3.0,34.0,16.0,11.0,4.0,4.4,50.0,23.5,16.2,5.9,13988
Swan Bay (Port Stephens - NSW),0.0,23.0,38.0,33.0,6.0,0.0,23.0,38.0,33.0,6.0,13704
Muswellbrook,339.0,1544.0,1662.0,678.0,169.0,7.7,35.2,37.8,15.4,3.8,12868
Denman,36.0,220.0,240.0,130.0,53.0,5.3,32.4,35.3,19.1,7.8,11241
Gungal,4.0,22.0,38.0,23.0,10.0,4.1,22.7,39.2,23.7,10.3,11810
Martindale,0.0,12.0,24.0,19.0,4.0,0.0,20.3,40.7,32.2,6.8,12510
Castle Rock,0.0,6.0,16.0,23.0,5.0,0.0,12.0,32.0,46.0,10.0,10848
Aberdeen (NSW),29.0,250.0,300.0,154.0,34.0,3.8,32.6,39.1,20.1,4.4,10007
Wybong,0.0,8.0,14.0,15.0,0.0,0.0,21.6,37.8,40.5,0.0,14436
Sandy Hollow,0.0,22.0,20.0,15.0,5.0,0.0,35.5,32.3,24.2,8.1,13486
Muscle Creek,0.0,7.0,42.0,38.0,3.0,0.0,7.8,46.7,42.2,3.3,12867
McCullys Gap,0.0,10.0,29.0,36.0,4.0,0.0,12.7,36.7,45.6,5.1,12540
Scone,154.0,731.0,769.0,366.0,107.0,7.2,34.4,36.2,17.2,5.0,13503
Middle Brook,0.0,14.0,28.0,28.0,0.0,0.0,20.0,40.0,40.0,0.0,12600
Dartbrook,0.0,7.0,14.0,14.0,0.0,0.0,20.0,40.0,40.0,0.0,11217
Segenhoe,0.0,11.0,22.0,19.0,0.0,0.0,21.2,42.3,36.5,0.0,13517
Rouchel,0.0,9.0,11.0,22.0,0.0,0.0,21.4,26.2,52.4,0.0,13422
Murrurundi,28.0,147.0,150.0,54.0,23.0,7.0,36.6,37.3,13.4,5.7,12864
Blandford,0.0,27.0,43.0,17.0,4.0,0.0,29.7,47.3,18.7,4.4,10406
Wingen,0.0,18.0,48.0,22.0,3.0,0.0,19.8,52.7,24.2,3.3,14331
Parkville (NSW),4.0,28.0,37.0,30.0,5.0,3.8,26.9,35.6,28.8,4.8,13154
Upper Dartbrook,0.0,15.0,18.0,20.0,3.0,0.0,26.8,32.1,35.7,5.4,14022
Gundy,0.0,10.0,26.0,22.0,3.0,0.0,16.4,42.6,36.1,4.9,11809
Moonan Flat,0.0,13.0,20.0,13.0,0.0,0.0,28.3,43.5,28.3,0.0,12697
Niangala,0.0,17.0,12.0,23.0,0.0,0.0,32.7,23.1,44.2,0.0,12962
Merriwa (NSW),29.0,219.0,217.0,154.0,41.0,4.4,33.2,32.9,23.3,6.2,12585
Moobi,0.0,4.0,29.0,11.0,0.0,0.0,9.1,65.9,25.0,0.0,12688
Dapto,272.0,1352.0,1432.0,727.0,163.0,6.9,34.3,36.3,18.4,4.1,11202
Kanahooka,82.0,748.0,748.0,420.0,64.0,4.0,36.3,36.3,20.4,3.1,12055
Koonawarra,100.0,498.0,434.0,203.0,49.0,7.8,38.8,33.8,15.8,3.8,12187
Avondale (NSW),61.0,192.0,209.0,137.0,47.0,9.4,29.7,32.4,21.2,7.3,10116
Marshall Mount,0.0,10.0,18.0,12.0,0.0,0.0,25.0,45.0,30.0,0.0,12507
Haywards Bay,3.0,60.0,148.0,85.0,5.0,1.0,19.9,49.2,28.2,1.7,11880
Brownsville,23.0,100.0,72.0,24.0,8.0,10.1,44.1,31.7,10.6,3.5,10612
Horsley,43.0,660.0,1167.0,639.0,49.0,1.7,25.8,45.6,25.0,1.9,11942
Wongawilli,0.0,7.0,20.0,19.0,0.0,0.0,15.2,43.5,41.3,0.0,14374
Kembla Grange,0.0,11.0,27.0,34.0,3.0,0.0,14.7,36.0,45.3,4.0,12092
Dombarton,0.0,4.0,21.0,20.0,3.0,0.0,8.3,43.8,41.7,6.2,11270
Port Kembla,274.0,704.0,514.0,292.0,98.0,14.6,37.4,27.3,15.5,5.2,13245
Coniston,81.0,382.0,236.0,99.0,36.0,9.7,45.8,28.3,11.9,4.3,11010
Unanderra,253.0,820.0,606.0,263.0,105.0,12.4,40.1,29.6,12.8,5.1,14008
Mount Kembla,7.0,65.0,144.0,110.0,8.0,2.1,19.5,43.1,32.9,2.4,12769
Kembla Heights,3.0,18.0,16.0,4.0,0.0,7.3,43.9,39.0,9.8,0.0,12093
Cordeaux Heights,17.0,224.0,658.0,471.0,34.0,1.2,16.0,46.9,33.5,2.4,11070
Farmborough Heights,35.0,348.0,605.0,339.0,31.0,2.6,25.6,44.6,25.0,2.3,11491
Berkeley,324.0,929.0,830.0,507.0,164.0,11.8,33.7,30.1,18.4,6.0,10303
Cringila,99.0,255.0,173.0,118.0,50.0,14.2,36.7,24.9,17.0,7.2,11116
Lake Heights,123.0,509.0,474.0,228.0,59.0,8.8,36.5,34.0,16.4,4.2,12248
Warrawong,378.0,723.0,380.0,161.0,123.0,21.4,41.0,21.5,9.1,7.0,14167
Windang,140.0,579.0,270.0,146.0,73.0,11.6,47.9,22.4,12.1,6.0,14316
Primbee,59.0,201.0,196.0,137.0,31.0,9.5,32.2,31.4,22.0,5.0,13264
Mount Keira,12.0,162.0,248.0,118.0,11.0,2.2,29.4,45.0,21.4,2.0,12768
Bulli,136.0,590.0,873.0,393.0,57.0,6.6,28.8,42.6,19.2,2.8,10662
Bargo,46.0,363.0,504.0,493.0,58.0,3.1,24.8,34.4,33.7,4.0,10198
Yerrinbool,17.0,90.0,154.0,118.0,8.0,4.4,23.3,39.8,30.5,2.1,14510
Wilton (NSW),5.0,104.0,449.0,336.0,16.0,0.5,11.4,49.3,36.9,1.8,14311
Pheasants Nest,0.0,23.0,61.0,100.0,11.0,0.0,11.8,31.3,51.3,5.6,13191
Albion Park,122.0,1087.0,1754.0,1194.0,92.0,2.9,25.6,41.3,28.1,2.2,10025
Calderwood,0.0,6.0,23.0,26.0,0.0,0.0,10.9,41.8,47.3,0.0,10750
Tullimbar,0.0,42.0,95.0,34.0,7.0,0.0,23.6,53.4,19.1,3.9,13958
Yellow Rock (Shellharbour - NSW),0.0,7.0,15.0,32.0,0.0,0.0,13.0,27.8,59.3,0.0,14503
Albion Park Rail,121.0,833.0,855.0,526.0,95.0,5.0,34.3,35.2,21.6,3.9,10026
Kiama,186.0,1051.0,1011.0,417.0,80.0,6.8,38.3,36.8,15.2,2.9,12116
Kiama Heights,3.0,75.0,142.0,63.0,9.0,1.0,25.7,48.6,21.6,3.1,12118
Bombo,0.0,14.0,13.0,8.0,0.0,0.0,40.0,37.1,22.9,0.0,10458
Kiama Downs,40.0,417.0,796.0,406.0,30.0,2.4,24.7,47.1,24.0,1.8,12117
Minnamurra,14.0,90.0,126.0,59.0,6.0,4.7,30.5,42.7,20.0,2.0,12639
Gerringong,63.0,392.0,610.0,236.0,45.0,4.7,29.1,45.3,17.5,3.3,11606
Jamberoo,6.0,136.0,221.0,201.0,15.0,1.0,23.5,38.2,34.7,2.6,11998
Werri Beach,0.0,57.0,87.0,48.0,4.0,0.0,29.1,44.4,24.5,2.0,14233
Gerroa,3.0,93.0,83.0,47.0,6.0,1.3,40.1,35.8,20.3,2.6,11607
Curramore (NSW),0.0,11.0,18.0,31.0,3.0,0.0,17.5,28.6,49.2,4.8,11174
Jerrara,0.0,9.0,18.0,8.0,0.0,0.0,25.7,51.4,22.9,0.0,12017
Toolijooa,0.0,10.0,11.0,13.0,3.0,0.0,27.0,29.7,35.1,8.1,13903
Foxground,0.0,14.0,23.0,13.0,3.0,0.0,26.4,43.4,24.5,5.7,11558
Flinders (NSW),55.0,563.0,945.0,506.0,72.0,2.6,26.3,44.1,23.6,3.4,11534
Shellharbour,57.0,436.0,464.0,276.0,45.0,4.5,34.1,36.3,21.6,3.5,13533
Shell Cove,4.0,337.0,882.0,438.0,29.0,0.2,19.9,52.2,25.9,1.7,13532
Barrack Point,9.0,73.0,85.0,59.0,8.0,3.8,31.2,36.3,25.2,3.4,10208
Dunmore (NSW),3.0,10.0,23.0,28.0,0.0,4.7,15.6,35.9,43.8,0.0,11323
Oak Flats,104.0,791.0,829.0,516.0,77.0,4.5,34.1,35.8,22.3,3.3,13053
Blackbutt (NSW),57.0,333.0,461.0,269.0,49.0,4.9,28.5,39.4,23.0,4.2,10391
Shellharbour City Centre,16.0,40.0,12.0,8.0,3.0,20.3,50.6,15.2,10.1,3.8,13534
Warilla,310.0,995.0,674.0,308.0,138.0,12.8,41.0,27.8,12.7,5.7,14151
Lake Illawarra,173.0,580.0,363.0,164.0,91.0,12.6,42.3,26.5,12.0,6.6,12250
Barrack Heights,153.0,769.0,743.0,405.0,104.0,7.0,35.4,34.2,18.6,4.8,10207
Mount Warrigal,80.0,586.0,640.0,347.0,47.0,4.7,34.5,37.6,20.4,2.8,12801
Fairy Meadow,380.0,1196.0,799.0,352.0,102.0,13.4,42.3,28.2,12.4,3.6,11484
Balgownie,112.0,642.0,792.0,415.0,70.0,5.5,31.6,39.0,20.4,3.4,10155
Gwynneville,164.0,431.0,253.0,141.0,33.0,16.0,42.2,24.8,13.8,3.2,11825
North Wollongong,119.0,407.0,240.0,103.0,40.0,13.1,44.8,26.4,11.3,4.4,13017
Mount Ousley,22.0,173.0,230.0,115.0,16.0,4.0,31.1,41.4,20.7,2.9,12782
Mount Pleasant (NSW),7.0,129.0,207.0,110.0,8.0,1.5,28.0,44.9,23.9,1.7,12784
Tarrawanna,82.0,275.0,232.0,157.0,30.0,10.6,35.4,29.9,20.2,3.9,13769
Corrimal,280.0,959.0,837.0,406.0,102.0,10.8,37.1,32.4,15.7,3.9,11082
Towradgi,124.0,430.0,417.0,185.0,64.0,10.2,35.2,34.2,15.2,5.2,13929
Fernhill,84.0,163.0,102.0,62.0,27.0,19.2,37.2,23.3,14.2,6.2,11507
East Corrimal,137.0,543.0,476.0,172.0,36.0,10.0,39.8,34.9,12.6,2.6,11348
Bellambi,239.0,666.0,428.0,172.0,73.0,15.1,42.2,27.1,10.9,4.6,10264
West Wollongong,180.0,716.0,621.0,250.0,61.0,9.8,39.2,34.0,13.7,3.3,14255
Keiraville,98.0,463.0,386.0,193.0,51.0,8.2,38.9,32.4,16.2,4.3,12085
Figtree,195.0,1184.0,1680.0,801.0,115.0,4.9,29.8,42.3,20.2,2.9,11515
Helensburgh,45.0,534.0,907.0,471.0,43.0,2.2,26.7,45.3,23.5,2.2,11890
Otford,0.0,39.0,56.0,26.0,5.0,0.0,31.0,44.4,20.6,4.0,13101
Stanwell Park,10.0,108.0,186.0,134.0,12.0,2.2,24.0,41.3,29.8,2.7,13653
Stanwell Tops,0.0,24.0,76.0,45.0,5.0,0.0,16.0,50.7,30.0,3.3,13654
Thirroul,113.0,746.0,861.0,343.0,54.0,5.3,35.2,40.7,16.2,2.6,13848
Austinmer,29.0,290.0,398.0,142.0,19.0,3.3,33.0,45.3,16.2,2.2,10108
Coledale,9.0,120.0,189.0,76.0,15.0,2.2,29.3,46.2,18.6,3.7,10966
Wombarra,4.0,97.0,136.0,69.0,4.0,1.3,31.3,43.9,22.3,1.3,14363
Scarborough (NSW),5.0,20.0,49.0,21.0,3.0,5.1,20.4,50.0,21.4,3.1,13500
Coalcliff,4.0,13.0,33.0,20.0,0.0,5.7,18.6,47.1,28.6,0.0,10944
Woonona,354.0,1553.0,1668.0,742.0,131.0,8.0,34.9,37.5,16.7,2.9,14416
Russell Vale,24.0,178.0,219.0,97.0,20.0,4.5,33.1,40.7,18.0,3.7,13448
Wollongong,1215.0,3540.0,1904.0,670.0,408.0,15.7,45.8,24.6,8.7,5.3,14358
Mount Saint Thomas,49.0,185.0,201.0,87.0,19.0,9.1,34.2,37.2,16.1,3.5,12791
Mangerton,110.0,311.0,406.0,179.0,31.0,10.6,30.0,39.2,17.3,3.0,12468
Bulahdelah,18.0,219.0,179.0,112.0,39.0,3.2,38.6,31.6,19.8,6.9,10649
Wards River,0.0,28.0,30.0,21.0,0.0,0.0,35.4,38.0,26.6,0.0,14147
Stroud Road,0.0,24.0,26.0,27.0,3.0,0.0,30.0,32.5,33.8,3.8,13679
Stroud,7.0,92.0,137.0,75.0,11.0,2.2,28.6,42.5,23.3,3.4,13677
Girvan,0.0,16.0,29.0,18.0,3.0,0.0,24.2,43.9,27.3,4.5,11637
Nerong,3.0,18.0,20.0,9.0,4.0,5.6,33.3,37.0,16.7,7.4,12929
Allworth,0.0,25.0,19.0,17.0,4.0,0.0,38.5,29.2,26.2,6.2,10041
Bunyah,0.0,14.0,19.0,10.0,3.0,0.0,30.4,41.3,21.7,6.5,10690
Markwell,6.0,14.0,20.0,15.0,0.0,10.9,25.5,36.4,27.3,0.0,12493
Booral (NSW),0.0,30.0,52.0,50.0,4.0,0.0,22.1,38.2,36.8,2.9,10496
Limeburners Creek (Mid-Coast - NSW),0.0,16.0,53.0,34.0,5.0,0.0,14.8,49.1,31.5,4.6,12328
Forster (NSW),428.0,2699.0,1784.0,584.0,307.0,7.4,46.5,30.7,10.1,5.3,11550
Green Point (Mid-Coast - NSW),3.0,85.0,95.0,24.0,8.0,1.4,39.5,44.2,11.2,3.7,11755
Darawank,3.0,34.0,49.0,47.0,10.0,2.1,23.8,34.3,32.9,7.0,11203
Tarbuck Bay,0.0,36.0,22.0,9.0,0.0,0.0,53.7,32.8,13.4,0.0,13762
Nabiac,9.0,132.0,190.0,108.0,18.0,2.0,28.9,41.6,23.6,3.9,12885
Failford,7.0,74.0,69.0,52.0,12.0,3.3,34.6,32.2,24.3,5.6,11476
Coomba Park,11.0,118.0,85.0,40.0,10.0,4.2,44.7,32.2,15.2,3.8,11038
Smiths Lake,8.0,163.0,204.0,63.0,22.0,1.7,35.4,44.3,13.7,4.8,13563
Bungwahl,4.0,31.0,32.0,20.0,7.0,4.3,33.0,34.0,21.3,7.4,10687
Charlotte Bay,0.0,14.0,22.0,16.0,3.0,0.0,25.5,40.0,29.1,5.5,10887
Wootton,0.0,21.0,31.0,22.0,5.0,0.0,26.6,39.2,27.8,6.3,14417
Coolongolook,3.0,49.0,51.0,34.0,6.0,2.1,34.3,35.7,23.8,4.2,11032
Coomba Bay,3.0,13.0,18.0,17.0,0.0,5.9,25.5,35.3,33.3,0.0,11037
Minimbah,3.0,12.0,36.0,15.0,5.0,4.2,16.9,50.7,21.1,7.0,12636
Elizabeth Beach,0.0,36.0,34.0,16.0,5.0,0.0,39.6,37.4,17.6,5.5,11396
Blueys Beach,7.0,27.0,30.0,9.0,5.0,9.0,34.6,38.5,11.5,6.4,10420
Boomerang Beach,7.0,47.0,47.0,10.0,6.0,6.0,40.2,40.2,8.5,5.1,10487
Tuncurry,249.0,1424.0,714.0,225.0,173.0,8.9,51.1,25.6,8.1,6.2,13969
South Kempsey,57.0,254.0,264.0,144.0,58.0,7.3,32.7,34.0,18.5,7.5,13588
West Kempsey,246.0,761.0,506.0,171.0,126.0,13.6,42.0,28.0,9.4,7.0,14247
Kempsey,43.0,90.0,41.0,18.0,15.0,20.8,43.5,19.8,8.7,7.2,12095
Frederickton,21.0,133.0,174.0,93.0,25.0,4.7,29.8,39.0,20.9,5.6,11561
Aldavilla,3.0,62.0,108.0,73.0,7.0,1.2,24.5,42.7,28.9,2.8,10028
Euroka,4.0,18.0,57.0,38.0,3.0,3.3,15.0,47.5,31.7,2.5,11464
Dondingalong,0.0,85.0,86.0,73.0,11.0,0.0,33.3,33.7,28.6,4.3,11272
Greenhill (NSW),9.0,69.0,90.0,29.0,13.0,4.3,32.9,42.9,13.8,6.2,11763
East Kempsey,46.0,215.0,163.0,63.0,30.0,8.9,41.6,31.5,12.2,5.8,11354
Verges Creek,0.0,12.0,34.0,26.0,5.0,0.0,15.6,44.2,33.8,6.5,14072
Yarravel,4.0,90.0,159.0,119.0,11.0,1.0,23.5,41.5,31.1,2.9,14483
Stuarts Point,24.0,153.0,115.0,37.0,10.0,7.1,45.1,33.9,10.9,2.9,13681
Barraganyatti,3.0,15.0,17.0,12.0,3.0,6.0,30.0,34.0,24.0,6.0,10209
Yarrahapinni,0.0,25.0,36.0,18.0,4.0,0.0,30.1,43.4,21.7,4.8,14474
Hat Head,3.0,57.0,54.0,17.0,11.0,2.1,40.1,38.0,12.0,7.7,11869
Kinchela,3.0,23.0,33.0,34.0,3.0,3.1,24.0,34.4,35.4,3.1,12140
Gladstone (NSW),6.0,53.0,59.0,16.0,11.0,4.1,36.6,40.7,11.0,7.6,11639
Smithtown,11.0,87.0,73.0,39.0,15.0,4.9,38.7,32.4,17.3,6.7,13564
Mungay Creek,0.0,19.0,17.0,9.0,0.0,0.0,42.2,37.8,20.0,0.0,12841
Willawarrin,3.0,22.0,25.0,20.0,4.0,4.1,29.7,33.8,27.0,5.4,14295
Temagog,3.0,37.0,33.0,25.0,0.0,3.1,37.8,33.7,25.5,0.0,13783
Turners Flat,0.0,11.0,22.0,16.0,0.0,0.0,22.4,44.9,32.7,0.0,13976
Millbank (NSW),3.0,15.0,13.0,7.0,3.0,7.3,36.6,31.7,17.1,7.3,12616
Hickeys Creek,0.0,13.0,19.0,14.0,3.0,0.0,26.5,38.8,28.6,6.1,11899
Belmore River,3.0,19.0,34.0,37.0,3.0,3.1,19.8,35.4,38.5,3.1,10280
Austral Eden,0.0,7.0,17.0,26.0,0.0,0.0,14.0,34.0,52.0,0.0,10110
Crescent Head,17.0,209.0,231.0,111.0,33.0,2.8,34.8,38.4,18.5,5.5,11114
Fishermans Reach,8.0,34.0,17.0,13.0,4.0,10.5,44.7,22.4,17.1,5.3,11524
Clybucca,0.0,15.0,20.0,16.0,6.0,0.0,26.3,35.1,28.1,10.5,10940
Bellimbopinni,0.0,6.0,12.0,13.0,0.0,0.0,19.4,38.7,41.9,0.0,10272
Collombatti,6.0,49.0,79.0,68.0,12.0,2.8,22.9,36.9,31.8,5.6,10979
Kundabung,0.0,43.0,74.0,69.0,10.0,0.0,21.9,37.8,35.2,5.1,12209
Sherwood (Kempsey - NSW),0.0,14.0,29.0,15.0,0.0,0.0,24.1,50.0,25.9,0.0,13537
Bellbrook,11.0,44.0,34.0,18.0,8.0,9.6,38.3,29.6,15.7,7.0,10270
Macksville,92.0,412.0,307.0,129.0,44.0,9.3,41.9,31.2,13.1,4.5,12430
North Macksville,18.0,102.0,81.0,37.0,13.0,7.2,40.6,32.3,14.7,5.2,12995
Way Way,0.0,22.0,48.0,22.0,3.0,0.0,23.2,50.5,23.2,3.2,14203
Scotts Head,18.0,161.0,143.0,30.0,16.0,4.9,43.8,38.9,8.2,4.3,13508
Gumma,0.0,44.0,71.0,48.0,5.0,0.0,26.2,42.3,28.6,3.0,11801
Nambucca Heads,274.0,1391.0,719.0,226.0,179.0,9.8,49.9,25.8,8.1,6.4,12887
Hyland Park,5.0,71.0,65.0,22.0,6.0,3.0,42.0,38.5,13.0,3.6,11968
Bowraville,31.0,199.0,120.0,65.0,23.0,7.1,45.4,27.4,14.8,5.3,10537
Valla Beach,15.0,252.0,225.0,56.0,23.0,2.6,44.1,39.4,9.8,4.0,14068
South Arm (Nambucca - NSW),9.0,44.0,46.0,23.0,0.0,7.4,36.1,37.7,18.9,0.0,13575
Newee Creek,0.0,31.0,63.0,39.0,4.0,0.0,22.6,46.0,28.5,2.9,12952
Congarinni North,0.0,29.0,48.0,38.0,7.0,0.0,23.8,39.3,31.1,5.7,11006
Congarinni,0.0,19.0,47.0,40.0,0.0,0.0,17.9,44.3,37.7,0.0,11005
Talarm,0.0,26.0,37.0,18.0,0.0,0.0,32.1,45.7,22.2,0.0,13728
Warrell Creek,4.0,19.0,38.0,30.0,3.0,4.3,20.2,40.4,31.9,3.2,14170
Eungai Creek,0.0,36.0,80.0,26.0,7.0,0.0,24.2,53.7,17.4,4.7,11458
Eungai Rail,0.0,33.0,27.0,19.0,0.0,0.0,41.8,34.2,24.1,0.0,11459
Allgomera,0.0,14.0,18.0,7.0,0.0,0.0,35.9,46.2,17.9,0.0,10040
Yarranbella,0.0,22.0,26.0,15.0,3.0,0.0,33.3,39.4,22.7,4.5,14478
Utungun,0.0,14.0,31.0,16.0,4.0,0.0,21.5,47.7,24.6,6.2,14062
Upper Taylors Arm,0.0,14.0,17.0,13.0,6.0,0.0,28.0,34.0,26.0,12.0,14045
Taylors Arm,0.0,12.0,22.0,15.0,0.0,0.0,24.5,44.9,30.6,0.0,13776
Argents Hill,0.0,29.0,38.0,20.0,0.0,0.0,33.3,43.7,23.0,0.0,10079
Missabotti,0.0,40.0,42.0,23.0,8.0,0.0,35.4,37.2,20.4,7.1,12649
South West Rocks,101.0,899.0,669.0,221.0,85.0,5.1,45.5,33.9,11.2,4.3,13600
