,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Goulburn,764.0,3122.0,2738.0,1415.0,387.0,9.1,37.1,32.5,16.8,4.6,11725
Run-o-Waters,0.0,21.0,64.0,61.0,4.0,0.0,14.0,42.7,40.7,2.7,13440
Marulan,13.0,128.0,166.0,107.0,18.0,3.0,29.6,38.4,24.8,4.2,12513
Windellama,0.0,35.0,57.0,36.0,10.0,0.0,25.4,41.3,26.1,7.2,14318
Bigga,3.0,28.0,40.0,22.0,0.0,3.2,30.1,43.0,23.7,0.0,10346
Tirrannaville,0.0,25.0,32.0,32.0,3.0,0.0,27.2,34.8,34.8,3.3,13883
Lake Bathurst,0.0,15.0,27.0,29.0,3.0,0.0,20.3,36.5,39.2,4.1,12239
Quialigo,0.0,10.0,46.0,26.0,4.0,0.0,11.6,53.5,30.2,4.7,13297
Laggan,3.0,20.0,43.0,52.0,3.0,2.5,16.5,35.5,43.0,2.5,12235
Grabben Gullen,6.0,15.0,34.0,32.0,8.0,6.3,15.8,35.8,33.7,8.4,11731
Parkesbourne,0.0,11.0,30.0,21.0,0.0,0.0,17.7,48.4,33.9,0.0,13152
Yarra,0.0,16.0,19.0,26.0,0.0,0.0,26.2,31.1,42.6,0.0,14468
Crookwell,49.0,341.0,389.0,249.0,43.0,4.6,31.8,36.3,23.2,4.0,11123
Bungonia,3.0,36.0,59.0,42.0,4.0,2.1,25.0,41.0,29.2,2.8,10685
Collector,0.0,23.0,46.0,31.0,3.0,0.0,22.3,44.7,30.1,2.9,10972
Middle Arm,0.0,15.0,49.0,53.0,3.0,0.0,12.5,40.8,44.2,2.5,12599
Taralga,4.0,54.0,54.0,51.0,6.0,2.4,32.0,32.0,30.2,3.6,13759
Tarlo,0.0,10.0,27.0,23.0,3.0,0.0,15.9,42.9,36.5,4.8,13767
Wayo,0.0,4.0,15.0,18.0,0.0,0.0,10.8,40.5,48.6,0.0,14204
Kingsdale,0.0,8.0,31.0,22.0,0.0,0.0,13.1,50.8,36.1,0.0,12155
Bannister (NSW),0.0,6.0,17.0,21.0,0.0,0.0,13.6,38.6,47.7,0.0,10183
