,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Naremburn,,"1,640","1,814",,,631,500,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,24.9,,,8.7,6.9,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narrabeen,,"2,399","2,922",,,824,708,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,29.6,,,8.3,7.2,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narraweena,913,"1,829","2,043",,,587,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,23.0,25.7,,,7.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narwee,,712,654,,,229,,,,,,"1,536",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.1,,,3.9,,,,,,26.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral Bay,,"2,258","3,370",,,"1,167",966,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,26.6,,,9.2,7.6,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Lambton,,"4,072","3,959",,,"1,377","1,165",,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,29.7,,,10.3,8.7,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Lambton Heights,,855,954,,,278,289,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,32.5,,,9.5,9.8,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle,,762,894,,,333,287,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,27.7,,,10.3,8.9,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle East,,330,386,,,159,126,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,28.4,,,11.7,9.3,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle West,,175,223,,,92,70,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,27.4,,,11.3,8.6,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newington,,813,843,,,279,,,,,,"1,276",,,,,,,,,,767,,,,,,,,,,,,,,,,,,,,12.5,13.0,,,4.3,,,,,,19.7,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,
Newport,,"3,199","3,958",,,"1,153","1,053",,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,32.0,,,9.3,8.5,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtown,,"3,770","4,539",,,"2,206","1,467",,,,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,23.2,,,11.3,7.5,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara Park,,"1,281","1,164",,,307,322,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,30.3,,,8.0,8.4,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norah Head,,453,486,,,147,129,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,33.7,,,10.2,8.9,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noraville,,"1,168","1,150",,,372,266,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,31.8,,,10.3,7.4,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normanhurst,,"1,638","1,775",,,579,533,,,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,25.6,,,8.3,7.7,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Avoca,,770,853,,,247,192,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,32.5,,,9.4,7.3,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Balgowlah,,"1,369","1,496",,,432,354,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,31.4,,,9.1,7.4,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Bondi,,"1,949","2,451",,,982,620,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,17.1,21.5,,,8.6,5.4,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
North Curl Curl,156,"1,293","1,477",,,498,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,26.2,30.0,,,10.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Epping,,"1,416","1,443",,,414,382,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,24.8,,,7.1,6.6,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Gosford,,"1,360","1,357",,,413,293,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,29.2,,,8.9,6.3,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lambton,,"1,176","1,119",,,286,304,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,27.6,,,7.1,7.5,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Manly,235,872,"1,073",,,334,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,23.4,28.8,,,9.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Narrabeen,,"2,153","2,314",,,660,503,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,30.9,,,8.8,6.7,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Parramatta,,"2,302","2,145",,,,,760,,,,"1,333",,,874,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,14.2,,,,,5.0,,,,8.8,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
North Rocks,,"2,192","2,192",,,716,585,,,,,"1,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,22.3,,,7.3,6.0,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ryde,651,"2,627","2,419",,,770,,,,,,"1,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,20.6,19.0,,,6.0,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North St Marys,,"1,252","1,169",,,283,249,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,24.7,,,6.0,5.3,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Strathfield,356,635,565,,,,,,,,,862,,,,,,,,,,359,,,,,,,,,,,,,,,,,,,6.8,12.1,10.8,,,,,,,,,16.4,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,
North Sydney,,"1,329","1,895",,,727,556,,,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,23.2,,,8.9,6.8,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Turramurra,,"1,298","1,607",,,439,456,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,30.5,,,8.3,8.6,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wahroonga,,578,685,,,201,203,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,26.8,,,7.9,7.9,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Willoughby,,"1,002","1,107",,,444,319,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,21.6,,,8.7,6.2,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wollongong,150,683,735,,,255,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,22.3,24.0,,,8.3,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northbridge,,"1,999","2,083",,,814,595,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,25.7,,,10.0,7.3,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northmead,,"2,890","3,009",,,"1,076",795,,,,,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,22.7,,,8.1,6.0,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwood,,309,322,,,146,113,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,25.1,,,11.4,8.8,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Flats,,"2,540","2,419",,,619,549,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,29.1,,,7.4,6.6,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakhurst,,"1,599","1,330",,,295,,454,"1,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,15.8,,,3.5,,5.4,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oatlands,,"1,158","1,152",,,,,,,,,674,,,762,,,,,,,362,,,,,,,,,,,,,,,,,,,,18.0,17.9,,,,,,,,,10.5,,,11.8,,,,,,,5.6,,,,,,,,,,,,,,,,,,
Oatley,,"3,330","3,342",,,"1,138",869,,,,,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,24.9,,,8.5,6.5,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Guildford,,334,260,,,,,,,,,161,,,919,,,,,,,,,,,,,,,,,,,,,,,78,,,,11.4,8.8,,,,,,,,,5.5,,,31.2,,,,,,,,,,,,,,,,,,,,,,,2.7,,
Old Toongabbie,,"1,041",777,,,267,189,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,22.5,,,7.7,5.5,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ourimbah,,"1,990","1,757",,,443,403,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,30.8,,,7.8,7.1,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxley Park,,853,790,,,208,164,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,21.6,,,5.7,4.5,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oyster Bay,,"2,313","2,089",,,724,495,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,28.3,,,9.8,6.7,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,,"3,040","4,527",,,"1,791","1,323",,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,27.2,,,10.8,8.0,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padstow,,"3,031","2,793",,,943,,,,,,"1,653",704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,17.9,,,6.0,,,,,,10.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padstow Heights,,"1,112",999,,,331,231,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,22.4,,,7.4,5.2,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagewood,,874,821,,,308,,,,,,304,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,17.9,,,6.7,,,,,,6.6,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Beach,,545,686,,,233,211,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,31.5,,,10.7,9.7,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panania,,"3,806","3,031",,,"1,109",699,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,20.6,,,7.5,4.8,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Parramatta,,"1,675","2,107",,,,,"4,252",,,,"4,179",,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,9.5,,,,,19.2,,,,18.9,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Peakhurst,,"2,812","2,519",,,832,591,,,,,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,20.3,,,6.7,4.8,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peakhurst Heights,,822,750,,,255,182,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,24.3,,,8.3,5.9,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Beach,,141,243,,,55,70,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,35.3,,,8.0,10.2,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelican,,403,377,,,79,71,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,35.4,,,7.4,6.7,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendle Hill,,"1,065","1,086",,,293,,"1,145",,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,14.0,,,3.8,,14.8,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennant Hills,,"1,995","2,160",,,739,716,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,23.4,,,8.0,7.7,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penrith,,"4,225","4,176",,,"1,175",914,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,27.1,,,7.6,5.9,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penrose,,622,539,,,113,135,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,29.6,,,6.2,7.4,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penshurst,,"2,177","2,031",,,882,,,,,,"2,569",680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,14.3,,,6.2,,,,,,18.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petersham,417,"1,997","2,184",,,"1,043",689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,19.6,21.4,,,10.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Bay,39,209,180,,,92,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,25.7,22.2,,,11.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picnic Point,,"2,059","1,741",,,657,424,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,23.5,,,8.9,5.7,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumpton,,"1,556","1,231",,,280,,618,"1,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,12.6,,,2.9,,6.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Clare,,"1,477","1,656",,,479,393,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,32.0,,,9.2,7.6,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Frederick,,570,765,,,248,179,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,32.4,,,10.5,7.6,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Piper,,261,357,,,128,127,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,20.2,,,7.3,7.2,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Kembla,484,"1,309","1,159",,,327,,,,,,,,906,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,21.5,19.0,,,5.4,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Potts Point,,"1,325","2,136",,,950,687,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,23.5,,,10.4,7.6,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairiewood,394,317,263,348,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,11.3,9.1,7.5,10.0,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,
Prestons,866,"2,331","1,731",,,,,"1,508",810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,13.6,10.1,,,,,8.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primbee,130,477,429,,,115,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,24.2,21.8,,,5.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect,,"1,145",920,,,284,,263,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,,,20.0,16.1,,,5.0,,4.6,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,
Punchbowl,,"1,718","1,264",,,,,,,,,"1,150",,,"5,690","1,218",,,,,,,,,,,,,,,,,,,,,,,,,,8.4,6.2,,,,,,,,,5.6,,,27.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Putney,578,"1,119","1,010",,,390,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,21.5,19.4,,,7.5,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pymble,,"3,082","3,383",,,"1,072",953,,,,,"1,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,24.2,,,7.7,6.8,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrmont,,"1,700","2,582",,,"1,001",649,,,,,"1,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,18.1,,,7.0,4.6,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quakers Hill,,"7,211","6,028",,,"1,683",,"2,606","2,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,18.4,,,5.1,,8.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Park,138,828,907,,,446,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,20.9,22.9,,,11.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raby,187,"2,177","1,930",,,564,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,27.7,24.6,,,7.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsgate,,225,208,,,51,61,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,18.3,,,4.5,5.4,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsgate Beach,,320,348,,,119,81,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,19.3,,,6.6,4.5,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randwick,,"6,347","7,741",,,"4,107","2,258",,,,,"2,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,21.3,,,11.3,6.2,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rankin Park,,"1,036","1,039",,,322,286,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,30.9,,,9.6,8.5,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redfern,,"2,499","3,129",,,"1,419",975,,,,,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,20.0,,,9.1,6.2,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redhead,,"1,550","1,502",,,359,407,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,32.7,,,7.8,8.9,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regents Park,,458,454,,,,,,,,,990,,,339,282,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.9,,,,,,,,,19.4,,,6.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,
Regentville,30,269,230,,,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,33.1,28.3,,,7.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revesby,,"3,147","2,675",,,902,,,,,,"1,219",,,985,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,16.8,,,5.7,,,,,,7.7,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
Revesby Heights,,515,396,,,151,118,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,21.6,,,8.2,6.4,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodes,,482,631,,,,,300,,,,"2,002",,,,,,,,,,722,,,,,,,,,,,,,,,,,,,,7.6,9.9,,,,,4.7,,,,31.4,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,
Riverstone,,"2,527","2,112",,,563,453,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,31.3,26.2,,,7.0,5.6,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,
Riverview,174,"1,083","1,158",,,546,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,24.6,26.4,,,12.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverwood,,"1,484","1,432",,,,,,,,,"2,537",451,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,12.0,,,,,,,,,21.3,3.8,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Rockdale,,"1,326","1,284",,,,,,,,,"2,411",,965,,,,,,,,,,,,,,,,,,,"1,091",,,,,,,,,8.4,8.1,,,,,,,,,15.3,,6.1,,,,,,,,,,,,,,,,,,,6.9,,,,,,,
Rocky Point,,142,83,,,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,39.6,23.1,,,8.1,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,
Rodd Point,313,313,315,,,118,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,18.9,19.0,,,7.1,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rooty Hill,,"2,538","2,111",,,533,,663,"2,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,13.4,,,3.4,,4.2,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Bay,,"1,917","2,474",,,877,644,,,,,,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,15.6,20.2,,,7.2,5.3,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,
Rosebery,,"1,211","1,156",,,501,,,,,,"1,211","1,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.4,,,4.9,,,,,,12.0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roselands,,"1,558","1,424",,,,,,,,,856,"1,738",,"1,596",,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,10.8,,,,,,,,,6.5,13.2,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemeadow,,"2,659","2,239",,,539,402,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,22.9,,,5.5,4.1,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roseville,,"2,967","3,167",,,"1,113",874,,,,,"1,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,25.6,,,9.0,7.1,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roseville Chase,,523,556,,,174,165,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,25.8,,,8.1,7.6,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rouse Hill,,"2,560","2,195",,,517,495,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,22.9,,,5.4,5.2,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozelle,330,"2,251","2,953",,,"1,233",856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,20.7,27.2,,,11.3,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruse,,"2,213","2,053",,,615,500,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,28.0,,,8.4,6.8,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rushcutters Bay,,405,711,,,280,236,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,23.2,,,9.1,7.7,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Lea,"1,102","1,311","1,187",,,558,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,20.8,18.8,,,8.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Vale,,715,610,,,152,196,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,29.9,,,7.5,9.6,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rydalmere,,"1,592","1,209",,,424,,,,,,"1,113",,,,,,,,,,395,,,,,,,,,,,,,,,,,,,,21.0,15.9,,,5.6,,,,,,14.7,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,
Ryde,"2,110","4,537","4,396",,,"1,658",,,,,,"2,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,17.0,16.5,,,6.2,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadleir,,704,574,,,123,,,,,,,,,464,288,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,15.9,,,3.4,,,,,,,,,12.9,8.0,,,,,,,,,,,,,,,,,,,,,,,,
San Remo,,"2,032","1,817",,,396,380,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,31.6,,,6.9,6.6,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandringham,56,237,254,,,87,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,19.1,20.4,,,7.0,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sans Souci,,"2,197","2,139",,,770,549,,,,,,"1,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,17.8,,,6.4,4.6,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saratoga,,"1,686","1,621",,,463,382,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,32.1,,,9.2,7.6,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
