,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Kiama Downs,0.0,8.0,89.0,731.0,833.0,19.0,3.5,2.8,0.0,0.5,5.3,43.5,49.6,1.1,--,--,12117
Minnamurra,0.0,3.0,49.0,141.0,97.0,5.0,3.3,2.5,0.0,1.0,16.6,47.8,32.9,1.7,--,--,12639
Gerringong,3.0,48.0,153.0,547.0,570.0,27.0,3.3,2.6,0.2,3.6,11.4,40.6,42.3,2.0,--,--,11606
Jamberoo,0.0,10.0,58.0,229.0,276.0,13.0,4.4,2.6,0.0,1.7,9.9,39.1,47.1,2.2,--,--,11998
Werri Beach,0.0,11.0,35.0,87.0,71.0,0.0,3.2,2.7,0.0,5.4,17.2,42.6,34.8,0.0,--,--,14233
Gerroa,0.0,8.0,37.0,90.0,88.0,4.0,3.3,2.4,0.0,3.5,16.3,39.6,38.8,1.8,--,--,11607
Curramore (NSW),0.0,0.0,4.0,17.0,39.0,0.0,3.8,2.7,0.0,0.0,6.7,28.3,65.0,0.0,--,--,11174
Jerrara,0.0,0.0,0.0,16.0,19.0,0.0,3.8,3.3,0.0,0.0,0.0,45.7,54.3,0.0,--,--,12017
Toolijooa,0.0,0.0,0.0,14.0,12.0,0.0,3.6,2.4,0.0,0.0,0.0,53.8,46.2,0.0,--,--,13903
Foxground,0.0,0.0,11.0,21.0,27.0,0.0,3.3,2.3,0.0,0.0,18.6,35.6,45.8,0.0,--,--,11558
Flinders (NSW),0.0,28.0,150.0,767.0,1161.0,45.0,3.6,3.0,0.0,1.3,7.0,35.7,54.0,2.1,--,--,11534
Shellharbour,3.0,54.0,257.0,532.0,405.0,20.0,3.1,2.6,0.2,4.2,20.2,41.9,31.9,1.6,--,--,13533
Shell Cove,0.0,0.0,10.0,317.0,1353.0,13.0,3.9,3.2,0.0,0.0,0.6,18.7,79.9,0.8,--,--,13532
Barrack Point,0.0,25.0,42.0,64.0,100.0,6.0,3.1,2.5,0.0,10.5,17.7,27.0,42.2,2.5,--,--,10208
Dunmore (NSW),0.0,0.0,3.0,24.0,36.0,0.0,3.7,2.9,0.0,0.0,4.8,38.1,57.1,0.0,--,--,11323
Oak Flats,0.0,44.0,312.0,1206.0,707.0,46.0,3.2,2.6,0.0,1.9,13.5,52.1,30.5,2.0,--,--,13053
Blackbutt (NSW),0.0,47.0,124.0,446.0,523.0,36.0,3.4,2.7,0.0,4.0,10.5,37.9,44.5,3.1,--,--,10391
Shellharbour City Centre,0.0,4.0,38.0,19.0,9.0,3.0,2.5,1.8,0.0,5.5,52.1,26.0,12.3,4.1,--,--,13534
Warilla,12.0,150.0,512.0,1199.0,443.0,95.0,2.9,2.4,0.5,6.2,21.2,49.7,18.4,3.9,--,--,14151
Lake Illawarra,3.0,96.0,489.0,538.0,189.0,48.0,2.6,2.1,0.2,7.0,35.9,39.5,13.9,3.5,--,--,12250
Barrack Heights,0.0,35.0,235.0,1302.0,531.0,60.0,3.2,2.6,0.0,1.6,10.9,60.2,24.5,2.8,--,--,10207
Mount Warrigal,7.0,15.0,56.0,1029.0,563.0,28.0,3.3,2.7,0.4,0.9,3.3,60.6,33.2,1.6,--,--,12801
Fairy Meadow,15.0,174.0,997.0,1070.0,502.0,63.0,2.7,2.4,0.5,6.2,35.3,37.9,17.8,2.2,--,--,11484
Balgownie,3.0,34.0,226.0,966.0,761.0,52.0,3.3,2.6,0.1,1.7,11.1,47.3,37.3,2.5,--,--,10155
Gwynneville,10.0,95.0,316.0,357.0,234.0,23.0,2.8,2.7,1.0,9.2,30.5,34.5,22.6,2.2,--,--,11825
North Wollongong,3.0,87.0,498.0,217.0,72.0,19.0,2.3,2.1,0.3,9.7,55.6,24.2,8.0,2.1,--,--,13017
Mount Ousley,0.0,5.0,63.0,259.0,221.0,9.0,3.4,2.8,0.0,0.9,11.3,46.5,39.7,1.6,--,--,12782
Mount Pleasant (NSW),0.0,0.0,19.0,167.0,274.0,8.0,3.8,2.8,0.0,0.0,4.1,35.7,58.5,1.7,--,--,12784
Tarrawanna,0.0,32.0,183.0,306.0,226.0,26.0,3.0,2.5,0.0,4.1,23.7,39.6,29.2,3.4,--,--,13769
Corrimal,0.0,111.0,688.0,1166.0,555.0,63.0,2.9,2.4,0.0,4.3,26.6,45.1,21.5,2.4,--,--,11082
Towradgi,3.0,116.0,305.0,487.0,275.0,30.0,2.8,2.4,0.2,9.5,25.1,40.0,22.6,2.5,--,--,13929
Fernhill,0.0,66.0,123.0,160.0,74.0,21.0,2.6,2.1,0.0,14.9,27.7,36.0,16.7,4.7,--,--,11507
East Corrimal,4.0,54.0,589.0,446.0,244.0,23.0,2.7,2.3,0.3,4.0,43.3,32.8,17.9,1.7,--,--,11348
Bellambi,6.0,86.0,389.0,811.0,238.0,47.0,2.8,2.4,0.4,5.5,24.7,51.4,15.1,3.0,--,--,10264
West Wollongong,19.0,92.0,422.0,838.0,424.0,35.0,2.9,2.5,1.0,5.0,23.1,45.8,23.2,1.9,--,--,14255
Keiraville,0.0,74.0,225.0,474.0,390.0,32.0,3.2,2.6,0.0,6.2,18.8,39.7,32.6,2.7,--,--,12085
Figtree,14.0,135.0,426.0,1675.0,1653.0,72.0,3.3,2.8,0.4,3.4,10.7,42.1,41.6,1.8,--,--,11515
Helensburgh,3.0,12.0,251.0,922.0,794.0,20.0,3.4,3.0,0.1,0.6,12.5,46.1,39.7,1.0,--,--,11890
Otford,0.0,0.0,13.0,52.0,52.0,3.0,3.4,3.0,0.0,0.0,10.8,43.3,43.3,2.5,--,--,13101
Stanwell Park,3.0,10.0,63.0,161.0,197.0,12.0,3.4,3.0,0.7,2.2,14.1,36.1,44.2,2.7,--,--,13653
Stanwell Tops,0.0,0.0,9.0,65.0,74.0,5.0,3.6,3.0,0.0,0.0,5.9,42.5,48.4,3.3,--,--,13654
Thirroul,3.0,44.0,430.0,894.0,699.0,38.0,3.2,2.7,0.1,2.1,20.4,42.4,33.2,1.8,--,--,13848
Austinmer,3.0,21.0,134.0,361.0,341.0,14.0,3.3,2.7,0.3,2.4,15.3,41.3,39.0,1.6,--,--,10108
Coledale,0.0,4.0,52.0,187.0,147.0,14.0,3.3,2.9,0.0,1.0,12.9,46.3,36.4,3.5,--,--,10966
Wombarra,0.0,11.0,59.0,121.0,115.0,3.0,3.2,2.7,0.0,3.6,19.1,39.2,37.2,1.0,--,--,14363
Scarborough (NSW),0.0,3.0,22.0,39.0,31.0,0.0,3.1,3.1,0.0,3.2,23.2,41.1,32.6,0.0,--,--,13500
Coalcliff,0.0,4.0,14.0,27.0,29.0,0.0,3.1,2.8,0.0,5.4,18.9,36.5,39.2,0.0,--,--,10944
Woonona,3.0,144.0,991.0,1919.0,1290.0,99.0,3.1,2.6,0.1,3.2,22.3,43.2,29.0,2.2,--,--,14416
Russell Vale,0.0,14.0,92.0,289.0,136.0,14.0,3.1,2.7,0.0,2.6,16.9,53.0,25.0,2.6,--,--,13448
Wollongong,54.0,731.0,3742.0,2331.0,542.0,331.0,2.4,2.1,0.7,9.5,48.4,30.2,7.0,4.3,--,--,14358
Mount Saint Thomas,0.0,8.0,150.0,271.0,104.0,18.0,2.9,2.6,0.0,1.5,27.2,49.2,18.9,3.3,--,--,12791
Mangerton,9.0,80.0,197.0,433.0,298.0,20.0,3.0,2.5,0.9,7.7,19.0,41.8,28.7,1.9,--,--,12468
Bulahdelah,4.0,26.0,89.0,298.0,131.0,29.0,3.0,2.2,0.7,4.5,15.4,51.6,22.7,5.0,--,--,10649
Wards River,3.0,7.0,11.0,34.0,18.0,0.0,2.7,2.1,4.1,9.6,15.1,46.6,24.7,0.0,--,--,14147
Stroud Road,0.0,0.0,14.0,45.0,17.0,4.0,3.1,2.5,0.0,0.0,17.5,56.2,21.2,5.0,--,--,13679
Stroud,0.0,8.0,53.0,161.0,96.0,9.0,3.2,2.6,0.0,2.4,16.2,49.2,29.4,2.8,--,--,13677
Girvan,0.0,0.0,17.0,34.0,14.0,0.0,2.8,2.2,0.0,0.0,26.2,52.3,21.5,0.0,--,--,11637
Nerong,0.0,3.0,18.0,26.0,7.0,0.0,2.7,2.0,0.0,5.6,33.3,48.1,13.0,0.0,--,--,12929
Allworth,0.0,4.0,24.0,27.0,16.0,4.0,2.8,1.9,0.0,5.3,32.0,36.0,21.3,5.3,--,--,10041
Bunyah,0.0,3.0,5.0,35.0,9.0,0.0,3.0,2.3,0.0,5.8,9.6,67.3,17.3,0.0,--,--,10690
Markwell,0.0,0.0,8.0,26.0,18.0,0.0,3.2,2.1,0.0,0.0,15.4,50.0,34.6,0.0,--,--,12493
Booral (NSW),0.0,0.0,31.0,52.0,50.0,0.0,3.2,2.6,0.0,0.0,23.3,39.1,37.6,0.0,--,--,10496
Limeburners Creek (Mid-Coast - NSW),0.0,0.0,21.0,44.0,34.0,3.0,3.2,2.8,0.0,0.0,20.6,43.1,33.3,2.9,--,--,12328
Forster (NSW),25.0,205.0,1237.0,2692.0,1445.0,194.0,3.0,2.1,0.4,3.5,21.3,46.4,24.9,3.3,--,--,11550
Green Point (Mid-Coast - NSW),0.0,3.0,22.0,118.0,61.0,6.0,3.2,2.2,0.0,1.4,10.5,56.2,29.0,2.9,--,--,11755
Darawank,4.0,9.0,22.0,40.0,65.0,5.0,3.2,2.6,2.8,6.2,15.2,27.6,44.8,3.4,--,--,11203
Tarbuck Bay,0.0,4.0,14.0,37.0,18.0,0.0,3.0,2.3,0.0,5.5,19.2,50.7,24.7,0.0,--,--,13762
Nabiac,3.0,13.0,54.0,207.0,160.0,10.0,3.3,2.6,0.7,2.9,12.1,46.3,35.8,2.2,--,--,12885
Failford,0.0,39.0,19.0,54.0,94.0,7.0,3.2,2.2,0.0,18.3,8.9,25.4,44.1,3.3,--,--,11476
Coomba Park,0.0,11.0,74.0,128.0,43.0,9.0,2.8,1.9,0.0,4.2,27.9,48.3,16.2,3.4,--,--,11038
Smiths Lake,0.0,0.0,65.0,233.0,149.0,15.0,3.2,2.4,0.0,0.0,14.1,50.4,32.3,3.2,--,--,13563
Bungwahl,0.0,4.0,19.0,40.0,31.0,3.0,3.1,2.2,0.0,4.1,19.6,41.2,32.0,3.1,--,--,10687
Charlotte Bay,0.0,0.0,8.0,22.0,22.0,3.0,3.2,2.5,0.0,0.0,14.5,40.0,40.0,5.5,--,--,10887
Wootton,0.0,4.0,18.0,31.0,27.0,7.0,3.0,2.1,0.0,4.6,20.7,35.6,31.0,8.0,--,--,14417
Coolongolook,4.0,7.0,20.0,56.0,56.0,6.0,3.1,2.4,2.7,4.7,13.4,37.6,37.6,4.0,--,--,11032
Coomba Bay,0.0,6.0,9.0,26.0,20.0,0.0,2.9,1.9,0.0,9.8,14.8,42.6,32.8,0.0,--,--,11037
Minimbah,0.0,5.0,6.0,25.0,34.0,0.0,3.4,2.7,0.0,7.1,8.6,35.7,48.6,0.0,--,--,12636
Elizabeth Beach,0.0,3.0,9.0,48.0,27.0,4.0,3.3,2.2,0.0,3.3,9.9,52.7,29.7,4.4,--,--,11396
Blueys Beach,0.0,5.0,20.0,34.0,16.0,0.0,2.9,2.3,0.0,6.7,26.7,45.3,21.3,0.0,--,--,10420
Boomerang Beach,0.0,0.0,29.0,47.0,29.0,0.0,3.1,2.3,0.0,0.0,27.6,44.8,27.6,0.0,--,--,10487
Tuncurry,10.0,180.0,886.0,1192.0,407.0,113.0,2.7,1.9,0.4,6.5,31.8,42.8,14.6,4.1,--,--,13969
South Kempsey,3.0,25.0,133.0,391.0,186.0,37.0,3.0,2.6,0.4,3.2,17.2,50.5,24.0,4.8,--,--,13588
West Kempsey,11.0,114.0,402.0,909.0,302.0,69.0,2.8,2.3,0.6,6.3,22.2,50.3,16.7,3.8,--,--,14247
Kempsey,3.0,25.0,59.0,84.0,13.0,14.0,2.4,2.0,1.5,12.6,29.8,42.4,6.6,7.1,--,--,12095
Frederickton,3.0,11.0,70.0,236.0,122.0,13.0,3.1,2.7,0.7,2.4,15.4,51.9,26.8,2.9,--,--,11561
Aldavilla,0.0,0.0,16.0,124.0,93.0,3.0,3.5,2.6,0.0,0.0,6.8,52.5,39.4,1.3,--,--,10028
Euroka,0.0,0.0,4.0,40.0,67.0,0.0,3.7,2.6,0.0,0.0,3.6,36.0,60.4,0.0,--,--,11464
Dondingalong,3.0,13.0,37.0,112.0,88.0,12.0,3.1,2.3,1.1,4.9,14.0,42.3,33.2,4.5,--,--,11272
Greenhill (NSW),0.0,0.0,28.0,101.0,81.0,3.0,3.3,2.8,0.0,0.0,13.1,47.4,38.0,1.4,--,--,11763
East Kempsey,3.0,15.0,102.0,260.0,123.0,19.0,3.0,2.4,0.6,2.9,19.5,49.8,23.6,3.6,--,--,11354
Verges Creek,0.0,0.0,7.0,30.0,35.0,3.0,3.4,2.6,0.0,0.0,9.3,40.0,46.7,4.0,--,--,14072
Yarravel,0.0,10.0,26.0,184.0,160.0,7.0,3.4,2.7,0.0,2.6,6.7,47.5,41.3,1.8,--,--,14483
Stuarts Point,0.0,22.0,103.0,155.0,55.0,3.0,2.7,2.1,0.0,6.5,30.5,45.9,16.3,0.9,--,--,13681
Barraganyatti,3.0,4.0,9.0,16.0,16.0,3.0,2.8,2.6,5.9,7.8,17.6,31.4,31.4,5.9,--,--,10209
Yarrahapinni,0.0,0.0,12.0,41.0,23.0,3.0,3.2,2.2,0.0,0.0,15.2,51.9,29.1,3.8,--,--,14474
Hat Head,6.0,9.0,37.0,56.0,28.0,4.0,2.6,2.0,4.3,6.4,26.4,40.0,20.0,2.9,--,--,11869
Kinchela,0.0,3.0,12.0,58.0,24.0,0.0,3.1,2.3,0.0,3.1,12.4,59.8,24.7,0.0,--,--,12140
Gladstone (NSW),0.0,3.0,31.0,74.0,35.0,5.0,3.0,2.2,0.0,2.0,20.9,50.0,23.6,3.4,--,--,11639
Smithtown,0.0,6.0,47.0,139.0,33.0,9.0,2.9,2.3,0.0,2.6,20.1,59.4,14.1,3.8,--,--,13564
Mungay Creek,0.0,4.0,3.0,32.0,8.0,0.0,2.9,2.0,0.0,8.5,6.4,68.1,17.0,0.0,--,--,12841
Willawarrin,0.0,5.0,14.0,30.0,15.0,0.0,2.9,2.3,0.0,7.8,21.9,46.9,23.4,0.0,--,--,14295
Temagog,0.0,8.0,18.0,48.0,26.0,0.0,2.9,2.3,0.0,8.0,18.0,48.0,26.0,0.0,--,--,13783
Turners Flat,0.0,0.0,4.0,32.0,15.0,0.0,3.2,2.5,0.0,0.0,7.8,62.7,29.4,0.0,--,--,13976
Millbank (NSW),0.0,3.0,15.0,21.0,3.0,4.0,2.6,2.0,0.0,6.5,32.6,45.7,6.5,8.7,--,--,12616
Hickeys Creek,0.0,6.0,11.0,21.0,9.0,0.0,2.9,2.4,0.0,12.8,23.4,44.7,19.1,0.0,--,--,11899
Belmore River,0.0,4.0,13.0,52.0,24.0,0.0,3.0,2.7,0.0,4.3,14.0,55.9,25.8,0.0,--,--,10280
Austral Eden,0.0,3.0,3.0,24.0,21.0,0.0,3.2,2.7,0.0,5.9,5.9,47.1,41.2,0.0,--,--,10110
Crescent Head,9.0,49.0,130.0,232.0,151.0,28.0,2.9,2.3,1.5,8.2,21.7,38.7,25.2,4.7,--,--,11114
Fishermans Reach,0.0,6.0,27.0,27.0,11.0,3.0,2.6,1.9,0.0,8.1,36.5,36.5,14.9,4.1,--,--,11524
Clybucca,0.0,0.0,10.0,26.0,17.0,4.0,3.1,2.5,0.0,0.0,17.5,45.6,29.8,7.0,--,--,10940
Bellimbopinni,0.0,0.0,8.0,19.0,10.0,0.0,3.1,2.5,0.0,0.0,21.6,51.4,27.0,0.0,--,--,10272
Collombatti,7.0,18.0,35.0,82.0,70.0,4.0,3.0,2.6,3.2,8.3,16.2,38.0,32.4,1.9,--,--,10979
Kundabung,3.0,7.0,29.0,74.0,66.0,9.0,3.2,2.8,1.6,3.7,15.4,39.4,35.1,4.8,--,--,12209
Sherwood (Kempsey - NSW),0.0,0.0,11.0,25.0,18.0,0.0,3.3,2.5,0.0,0.0,20.4,46.3,33.3,0.0,--,--,13537
Bellbrook,3.0,5.0,41.0,48.0,19.0,4.0,2.7,2.1,2.5,4.2,34.2,40.0,15.8,3.3,--,--,10270
Macksville,9.0,36.0,159.0,495.0,247.0,35.0,3.0,2.3,0.9,3.7,16.2,50.5,25.2,3.6,--,--,12430
North Macksville,3.0,15.0,48.0,101.0,66.0,9.0,3.0,2.3,1.2,6.2,19.8,41.7,27.3,3.7,--,--,12995
Way Way,0.0,3.0,15.0,40.0,25.0,3.0,3.0,2.4,0.0,3.5,17.4,46.5,29.1,3.5,--,--,14203
Scotts Head,0.0,10.0,61.0,184.0,90.0,10.0,3.0,2.2,0.0,2.8,17.2,51.8,25.4,2.8,--,--,13508
Gumma,3.0,12.0,10.0,68.0,72.0,0.0,3.2,2.7,1.8,7.3,6.1,41.2,43.6,0.0,--,--,11801
Nambucca Heads,26.0,222.0,870.0,1060.0,518.0,92.0,2.7,2.0,0.9,8.0,31.2,38.0,18.6,3.3,--,--,12887
Hyland Park,0.0,11.0,26.0,89.0,41.0,4.0,3.0,2.3,0.0,6.4,15.2,52.0,24.0,2.3,--,--,11968
Bowraville,3.0,15.0,81.0,242.0,86.0,15.0,2.9,2.3,0.7,3.4,18.3,54.8,19.5,3.4,--,--,10537
Valla Beach,3.0,17.0,139.0,242.0,161.0,9.0,3.0,2.2,0.5,3.0,24.3,42.4,28.2,1.6,--,--,14068
South Arm (Nambucca - NSW),0.0,13.0,16.0,66.0,30.0,3.0,2.9,2.4,0.0,10.2,12.5,51.6,23.4,2.3,--,--,13575
Newee Creek,4.0,3.0,17.0,52.0,54.0,3.0,3.2,2.6,3.0,2.3,12.8,39.1,40.6,2.3,--,--,12952
Congarinni North,0.0,8.0,10.0,54.0,49.0,7.0,3.3,2.7,0.0,6.2,7.8,42.2,38.3,5.5,--,--,11006
Congarinni,0.0,4.0,12.0,52.0,44.0,0.0,3.3,2.8,0.0,3.6,10.7,46.4,39.3,0.0,--,--,11005
Talarm,0.0,3.0,13.0,40.0,29.0,3.0,3.1,2.4,0.0,3.4,14.8,45.5,33.0,3.4,--,--,13728
Warrell Creek,0.0,6.0,20.0,43.0,23.0,3.0,3.0,2.7,0.0,6.3,21.1,45.3,24.2,3.2,--,--,14170
Eungai Creek,0.0,12.0,28.0,80.0,24.0,4.0,2.8,2.6,0.0,8.1,18.9,54.1,16.2,2.7,--,--,11458
Eungai Rail,0.0,0.0,18.0,37.0,16.0,0.0,3.0,2.8,0.0,0.0,25.4,52.1,22.5,0.0,--,--,11459
Allgomera,0.0,0.0,12.0,12.0,13.0,0.0,3.3,2.3,0.0,0.0,32.4,32.4,35.1,0.0,--,--,10040
Yarranbella,0.0,4.0,21.0,26.0,12.0,3.0,2.8,2.6,0.0,6.1,31.8,39.4,18.2,4.5,--,--,14478
Utungun,0.0,0.0,4.0,38.0,18.0,0.0,3.4,2.7,0.0,0.0,6.7,63.3,30.0,0.0,--,--,14062
Upper Taylors Arm,0.0,7.0,10.0,16.0,10.0,3.0,2.7,2.0,0.0,15.2,21.7,34.8,21.7,6.5,--,--,14045
Taylors Arm,0.0,3.0,10.0,32.0,4.0,3.0,2.8,2.4,0.0,5.8,19.2,61.5,7.7,5.8,--,--,13776
Argents Hill,4.0,4.0,15.0,35.0,26.0,0.0,2.9,2.3,4.8,4.8,17.9,41.7,31.0,0.0,--,--,10079
Missabotti,0.0,7.0,28.0,49.0,27.0,3.0,3.0,2.4,0.0,6.1,24.6,43.0,23.7,2.6,--,--,12649
South West Rocks,9.0,38.0,428.0,1007.0,447.0,46.0,3.0,2.1,0.5,1.9,21.7,51.0,22.6,2.3,--,--,13600
Arakoon,3.0,3.0,12.0,73.0,73.0,5.0,3.3,2.2,1.8,1.8,7.1,43.2,43.2,3.0,--,--,10069
Jerseyville,0.0,0.0,7.0,20.0,13.0,0.0,3.2,2.5,0.0,0.0,17.5,50.0,32.5,0.0,--,--,12022
Lord Howe Island,0.0,19.0,26.0,42.0,40.0,7.0,2.8,2.2,0.0,14.2,19.4,31.3,29.9,5.2,--,--,12387
Lake Cathie,3.0,23.0,272.0,447.0,545.0,24.0,3.3,2.5,0.2,1.8,20.7,34.0,41.5,1.8,--,--,12243
Bonny Hills,4.0,18.0,105.0,459.0,504.0,20.0,3.4,2.5,0.4,1.6,9.5,41.4,45.4,1.8,--,--,10470
North Haven (NSW),10.0,73.0,268.0,307.0,85.0,38.0,2.5,1.9,1.3,9.3,34.3,39.3,10.9,4.9,--,--,12992
Kendall,3.0,0.0,55.0,190.0,124.0,14.0,3.2,2.7,0.8,0.0,14.2,49.2,32.1,3.6,--,--,12096
West Haven,0.0,9.0,124.0,250.0,86.0,20.0,2.9,1.9,0.0,1.8,25.4,51.1,17.6,4.1,--,--,14245
Laurieton,13.0,103.0,339.0,389.0,116.0,41.0,2.5,1.8,1.3,10.3,33.9,38.9,11.6,4.1,--,--,12283
Kew (NSW),0.0,3.0,89.0,133.0,151.0,8.0,3.3,2.5,0.0,0.8,23.2,34.6,39.3,2.1,--,--,12109
Herons Creek,4.0,3.0,12.0,35.0,28.0,0.0,3.1,2.7,4.9,3.7,14.6,42.7,34.1,0.0,--,--,11897
Upsalls Creek,0.0,3.0,3.0,19.0,12.0,0.0,3.1,2.1,0.0,8.1,8.1,51.4,32.4,0.0,--,--,14049
Logans Crossing,0.0,3.0,0.0,32.0,19.0,0.0,3.3,2.2,0.0,5.6,0.0,59.3,35.2,0.0,--,--,12373
Lorne (NSW),3.0,6.0,16.0,41.0,33.0,3.0,3.1,2.5,2.9,5.9,15.7,40.2,32.4,2.9,--,--,12390
Lakewood,4.0,16.0,49.0,276.0,141.0,9.0,3.1,2.3,0.8,3.2,9.9,55.8,28.5,1.8,--,--,12259
Dunbogan,3.0,34.0,122.0,157.0,114.0,10.0,2.9,2.1,0.7,7.7,27.7,35.7,25.9,2.3,--,--,11310
Johns River,3.0,6.0,14.0,50.0,33.0,0.0,3.0,2.4,2.8,5.7,13.2,47.2,31.1,0.0,--,--,12037
Camden Head,0.0,3.0,5.0,27.0,27.0,0.0,3.3,2.1,0.0,4.8,8.1,43.5,43.5,0.0,--,--,10771
Port Macquarie,49.0,803.0,4135.0,7607.0,4990.0,506.0,3.0,2.3,0.3,4.4,22.9,42.1,27.6,2.8,--,--,13246
Lake Innes,0.0,4.0,9.0,42.0,80.0,0.0,3.7,3.0,0.0,3.0,6.7,31.1,59.3,0.0,--,--,12251
Fernbank Creek,0.0,4.0,5.0,15.0,22.0,0.0,3.3,2.9,0.0,8.7,10.9,32.6,47.8,0.0,--,--,11505
Riverside (NSW),0.0,5.0,3.0,46.0,53.0,0.0,3.5,2.5,0.0,4.7,2.8,43.0,49.5,0.0,--,--,13367
Thrumster,0.0,0.0,3.0,25.0,107.0,0.0,3.9,3.1,0.0,0.0,2.2,18.5,79.3,0.0,--,--,13852
North Shore (NSW),0.0,7.0,22.0,63.0,36.0,12.0,3.0,2.4,0.0,5.0,15.7,45.0,25.7,8.6,--,--,13006
Telegraph Point,3.0,3.0,28.0,84.0,80.0,4.0,3.3,2.6,1.5,1.5,13.9,41.6,39.6,2.0,--,--,13781
Blackmans Point,3.0,12.0,18.0,15.0,21.0,0.0,2.8,1.8,4.3,17.4,26.1,21.7,30.4,0.0,--,--,10395
Gum Scrub,0.0,3.0,7.0,18.0,14.0,0.0,3.2,2.7,0.0,7.1,16.7,42.9,33.3,0.0,--,--,11797
Cooperabung,0.0,3.0,7.0,36.0,42.0,0.0,3.4,2.8,0.0,3.4,8.0,40.9,47.7,0.0,--,--,11046
Rollands Plains,0.0,3.0,4.0,28.0,16.0,0.0,3.2,2.2,0.0,5.9,7.8,54.9,31.4,0.0,--,--,13392
Upper Rollands Plains,0.0,0.0,0.0,19.0,21.0,0.0,3.5,3.2,0.0,0.0,0.0,47.5,52.5,0.0,--,--,14043
Pembrooke,0.0,0.0,4.0,21.0,13.0,0.0,3.1,2.3,0.0,0.0,10.5,55.3,34.2,0.0,--,--,13180
Frazers Creek,0.0,3.0,3.0,31.0,25.0,3.0,3.5,2.7,0.0,4.6,4.6,47.7,38.5,4.6,--,--,11560
Mortons Creek,0.0,3.0,7.0,42.0,37.0,4.0,3.3,2.6,0.0,3.2,7.5,45.2,39.8,4.3,--,--,12731
Brombin,0.0,0.0,5.0,23.0,13.0,0.0,3.3,2.6,0.0,0.0,12.2,56.1,31.7,0.0,--,--,10593
Long Flat (NSW),0.0,0.0,13.0,23.0,18.0,0.0,3.2,2.0,0.0,0.0,24.1,42.6,33.3,0.0,--,--,12377
Byabarra,0.0,0.0,18.0,38.0,37.0,3.0,3.4,2.8,0.0,0.0,18.8,39.6,38.5,3.1,--,--,10727
Ellenborough,0.0,0.0,8.0,27.0,17.0,4.0,3.3,2.6,0.0,0.0,14.3,48.2,30.4,7.1,--,--,11401
Comboyne,0.0,15.0,35.0,87.0,39.0,4.0,3.0,2.4,0.0,8.3,19.4,48.3,21.7,2.2,--,--,10992
Wauchope,4.0,61.0,454.0,1272.0,516.0,56.0,3.0,2.4,0.2,2.6,19.2,53.8,21.8,2.4,--,--,14197
Yippin Creek,0.0,4.0,4.0,26.0,38.0,3.0,3.5,2.4,0.0,5.3,5.3,34.7,50.7,4.0,--,--,14515
Rosewood (Port Macquarie-Hastings - NSW),0.0,0.0,10.0,32.0,36.0,0.0,3.5,2.8,0.0,0.0,12.8,41.0,46.2,0.0,--,--,13414
Beechwood,0.0,3.0,27.0,107.0,80.0,0.0,3.3,2.7,0.0,1.4,12.4,49.3,36.9,0.0,--,--,10248
Redbank (NSW),0.0,0.0,9.0,48.0,66.0,0.0,3.6,2.8,0.0,0.0,7.3,39.0,53.7,0.0,--,--,13336
Crosslands,0.0,3.0,3.0,61.0,114.0,3.0,3.6,3.0,0.0,1.6,1.6,33.2,62.0,1.6,--,--,11127
King Creek,0.0,6.0,11.0,126.0,351.0,10.0,3.9,3.0,0.0,1.2,2.2,25.0,69.6,2.0,--,--,12145
Sancrox,0.0,11.0,10.0,58.0,116.0,0.0,3.6,2.6,0.0,5.6,5.1,29.7,59.5,0.0,--,--,13471
Gloucester,7.0,49.0,195.0,621.0,343.0,38.0,3.1,2.2,0.6,3.9,15.6,49.6,27.4,3.0,--,--,11685
Craven,0.0,0.0,10.0,24.0,13.0,0.0,3.1,2.4,0.0,0.0,21.3,51.1,27.7,0.0,--,--,11107
Stratford (NSW),0.0,0.0,14.0,35.0,10.0,0.0,2.9,2.3,0.0,0.0,23.7,59.3,16.9,0.0,--,--,13672
Forbesdale,0.0,0.0,3.0,28.0,24.0,0.0,3.5,3.0,0.0,0.0,5.5,50.9,43.6,0.0,--,--,11539
Barrington (NSW),0.0,4.0,12.0,64.0,61.0,4.0,3.3,2.3,0.0,2.8,8.3,44.1,42.1,2.8,--,--,10216
Bowman,0.0,4.0,7.0,19.0,17.0,0.0,2.8,2.3,0.0,8.5,14.9,40.4,36.2,0.0,--,--,10531
Diamond Beach,0.0,8.0,37.0,149.0,138.0,3.0,3.4,2.4,0.0,2.4,11.0,44.5,41.2,0.9,--,--,11251
Manning Point,4.0,23.0,47.0,20.0,18.0,8.0,2.2,1.8,3.3,19.2,39.2,16.7,15.0,6.7,--,--,12478
Mitchells Island,5.0,3.0,21.0,88.0,57.0,0.0,3.2,2.5,2.9,1.7,12.1,50.6,32.8,0.0,--,--,12652
