,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Bexhill,0.0,9.0,19.0,70.0,66.0,6.0,3.3,2.7,0.0,5.3,11.2,41.2,38.8,3.5,--,--,10333
Richmond Hill (NSW),0.0,0.0,6.0,101.0,186.0,4.0,3.8,2.6,0.0,0.0,2.0,34.0,62.6,1.3,--,--,13361
Boat Harbour (Lismore - NSW),0.0,0.0,9.0,16.0,21.0,0.0,3.3,2.8,0.0,0.0,19.6,34.8,45.7,0.0,--,--,10424
McLeans Ridges,0.0,0.0,5.0,61.0,98.0,3.0,3.6,2.8,0.0,0.0,3.0,36.5,58.7,1.8,--,--,12545
Eltham (NSW),0.0,0.0,9.0,48.0,55.0,6.0,3.6,2.9,0.0,0.0,7.6,40.7,46.6,5.1,--,--,11409
Lindendale,0.0,3.0,9.0,24.0,43.0,4.0,3.5,2.6,0.0,3.6,10.8,28.9,51.8,4.8,--,--,12336
Nimbin,34.0,92.0,185.0,202.0,73.0,35.0,2.3,2.0,5.5,14.8,29.8,32.5,11.8,5.6,--,--,12965
Stony Chute,3.0,7.0,16.0,21.0,16.0,0.0,2.8,2.1,4.8,11.1,25.4,33.3,25.4,0.0,--,--,13667
Blue Knob,3.0,24.0,40.0,19.0,14.0,0.0,2.1,1.8,3.0,24.0,40.0,19.0,14.0,0.0,--,--,10416
Tuntable Creek,7.0,13.0,22.0,30.0,13.0,3.0,2.3,2.2,8.0,14.8,25.0,34.1,14.8,3.4,--,--,13971
Coffee Camp,0.0,3.0,20.0,34.0,23.0,3.0,3.0,2.4,0.0,3.6,24.1,41.0,27.7,3.6,--,--,10958
