,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Blackett,989.0,366.0,117.0,969.0,40.7,15.1,4.8,39.9
Blacksmiths,697.0,200.0,140.0,390.0,48.6,13.9,9.8,27.2
Blacktown,15231.0,3167.0,1976.0,9064.0,51.7,10.8,6.7,30.8
Blackwall,626.0,224.0,132.0,394.0,45.4,16.3,9.6,28.6
Blairmount,129.0,25.0,9.0,255.0,32.1,6.2,2.2,63.4
Blakehurst,2481.0,268.0,375.0,1148.0,58.2,6.3,8.8,26.9
Blaxland,3068.0,567.0,232.0,1607.0,56.2,10.4,4.3,29.4
Blue Bay,322.0,115.0,82.0,184.0,45.7,16.3,11.6,26.1
Blue Haven,1905.0,402.0,128.0,835.0,58.5,12.4,3.9,25.7
Bolton Point,701.0,248.0,141.0,554.0,42.8,15.1,8.6,33.8
Bondi,2544.0,896.0,542.0,3713.0,33.1,11.6,7.0,48.2
Bondi Beach,2930.0,1128.0,399.0,5105.0,30.6,11.8,4.2,53.4
Bondi Junction,2364.0,733.0,401.0,3223.0,35.1,10.9,6.0,47.9
Bonnet Bay,1178.0,92.0,55.0,575.0,62.5,4.9,2.9,30.5
Bonnyrigg,3207.0,769.0,314.0,2319.0,48.6,11.6,4.8,35.1
Bonnyrigg Heights,3060.0,354.0,157.0,1644.0,58.7,6.8,3.0,31.5
Booker Bay,517.0,184.0,142.0,275.0,46.6,16.6,12.8,24.8
Boolaroo,450.0,136.0,80.0,279.0,47.9,14.5,8.5,29.7
Booragul,502.0,175.0,243.0,341.0,39.9,13.9,19.3,27.1
Bossley Park,6365.0,766.0,432.0,3470.0,57.6,6.9,3.9,31.4
Botany,3013.0,696.0,435.0,1900.0,49.9,11.5,7.2,31.5
Bow Bowing,692.0,118.0,27.0,324.0,59.0,10.1,2.3,27.6
Bradbury,3641.0,773.0,339.0,2377.0,51.1,10.8,4.8,33.3
Broadmeadow,437.0,171.0,63.0,513.0,36.8,14.4,5.3,43.3
Bronte,2264.0,613.0,334.0,2513.0,39.6,10.7,5.8,43.9
Brookvale,976.0,226.0,146.0,757.0,46.6,10.8,7.0,36.2
Budgewoi,1184.0,392.0,257.0,591.0,48.8,16.2,10.6,24.4
Buff Point,1366.0,355.0,191.0,678.0,52.4,13.6,7.3,26.0
Bulli,2228.0,450.0,295.0,1212.0,53.2,10.8,7.0,29.0
Burwood,4328.0,826.0,606.0,3708.0,45.7,8.7,6.4,39.2
Burwood Heights,424.0,54.0,70.0,279.0,52.7,6.7,8.7,34.7
Busby,1380.0,367.0,197.0,1000.0,46.8,12.5,6.7,33.9
Cabarita,583.0,84.0,41.0,247.0,60.0,8.7,4.2,25.4
Cabramatta,7645.0,1969.0,1064.0,4547.0,50.2,12.9,7.0,29.9
Cabramatta West,2576.0,536.0,353.0,1600.0,50.8,10.6,7.0,31.5
Cambridge Gardens,861.0,191.0,54.0,529.0,52.8,11.7,3.3,32.5
Cambridge Park,2337.0,589.0,254.0,1567.0,49.3,12.4,5.4,33.0
Camden,1187.0,305.0,359.0,646.0,47.5,12.2,14.4,25.8
Camden South,2109.0,354.0,154.0,1097.0,57.0,9.6,4.2,29.6
Cammeray,1960.0,712.0,223.0,2257.0,38.0,13.8,4.3,43.8
Campbelltown,3740.0,966.0,509.0,2652.0,47.6,12.3,6.5,33.7
Camperdown,1185.0,465.0,184.0,3219.0,23.5,9.2,3.6,63.7
Campsie,9232.0,1640.0,907.0,4836.0,55.6,9.9,5.5,29.1
Canada Bay,529.0,94.0,64.0,317.0,52.8,9.4,6.4,31.6
Canley Heights,3880.0,780.0,467.0,2311.0,52.2,10.5,6.3,31.1
Canley Vale,3889.0,997.0,609.0,2367.0,49.4,12.7,7.7,30.1
Canterbury,2306.0,432.0,233.0,1440.0,52.2,9.8,5.3,32.6
Canton Beach,435.0,171.0,168.0,240.0,42.9,16.9,16.6,23.7
Cardiff,1975.0,527.0,351.0,1208.0,48.5,13.0,8.6,29.7
Cardiff Heights,815.0,135.0,133.0,373.0,55.5,9.2,9.1,25.4
Cardiff South,1084.0,235.0,139.0,583.0,53.2,11.5,6.8,28.6
Caringbah,8974.0,1673.0,1380.0,4758.0,53.4,10.0,8.2,28.3
Carlingford,9409.0,1003.0,868.0,4394.0,60.0,6.4,5.5,28.0
Carlton,4164.0,745.0,460.0,2400.0,53.5,9.6,5.9,30.9
Carramar,1107.0,381.0,227.0,746.0,45.2,15.6,9.3,30.4
Carrington,343.0,273.0,113.0,571.0,26.2,20.9,8.6,43.7
Carss Park,547.0,68.0,83.0,253.0,57.8,7.2,8.8,26.7
Cartwright,752.0,274.0,133.0,589.0,43.1,15.7,7.6,33.7
Castle Cove,1185.0,115.0,125.0,458.0,63.1,6.1,6.7,24.4
Castle Hill,14740.0,1593.0,1714.0,6864.0,59.2,6.4,6.9,27.5
Castlecrag,1269.0,126.0,147.0,552.0,60.4,6.0,7.0,26.3
Casula,4753.0,814.0,436.0,2461.0,56.1,9.6,5.1,29.0
Caves Beach,2024.0,266.0,179.0,745.0,63.2,8.3,5.6,23.2
Cecil Hills,2674.0,250.0,127.0,1174.0,63.6,5.9,3.0,27.9
Centennial Park,504.0,221.0,82.0,1109.0,26.5,11.6,4.3,58.2
Charlestown,4957.0,1011.0,600.0,2605.0,54.0,11.0,6.5,28.4
Charmhaven,861.0,231.0,106.0,482.0,51.4,13.8,6.3,28.8
Chatswood,4075.0,700.0,681.0,3177.0,47.3,8.1,7.9,36.8
Chatswood West,3223.0,551.0,337.0,2163.0,51.4,8.8,5.4,34.5
Cheltenham,1000.0,74.0,66.0,423.0,64.1,4.7,4.2,27.1
Cherrybrook,8945.0,717.0,627.0,3842.0,63.3,5.1,4.4,27.2
Chester Hill,4101.0,844.0,602.0,2345.0,51.9,10.7,7.6,29.7
Chifley,1223.0,261.0,164.0,742.0,51.3,10.9,6.9,31.1
Chippendale,744.0,310.0,73.0,2001.0,23.9,9.9,2.3,64.2
Chipping Norton,4068.0,568.0,317.0,2175.0,57.0,8.0,4.4,30.5
Chiswick,528.0,148.0,66.0,427.0,45.2,12.7,5.6,36.5
