,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Murrumburrah,8.0,4.0,0.0,85.0,7.8,3.9,0.0,83.3,12863
Frogmore,16.0,3.0,3.0,109.0,11.6,2.2,2.2,79.0,11571
Maimuru,27.0,3.0,6.0,106.0,18.4,2.0,4.1,72.1,12444
Bendick Murrell,12.0,6.0,3.0,118.0,7.6,3.8,1.9,74.7,10290
Koorawatha,59.0,18.0,12.0,282.0,13.9,4.3,2.8,66.7,12192
Monteagle,22.0,5.0,9.0,166.0,10.5,2.4,4.3,79.0,12683
Murringo,38.0,17.0,14.0,274.0,10.4,4.6,3.8,74.7,12858
Thuddungra,7.0,7.0,0.0,95.0,6.1,6.1,0.0,82.6,13853
Bribbaree,3.0,7.0,3.0,120.0,2.1,5.0,2.1,85.1,10566
Avoca Beach,1014.0,447.0,277.0,2612.0,22.1,9.8,6.0,57.0,10114
Copacabana,570.0,222.0,178.0,1621.0,20.8,8.1,6.5,59.2,11056
Killcare Heights,150.0,51.0,65.0,451.0,20.4,6.9,8.8,61.4,12134
Macmasters Beach,207.0,124.0,83.0,818.0,16.0,9.6,6.4,63.2,12432
Empire Bay,347.0,178.0,126.0,1625.0,14.5,7.4,5.3,67.8,11415
Wagstaffe,46.0,19.0,22.0,122.0,20.8,8.6,10.0,55.2,14084
St Huberts Island,205.0,73.0,52.0,675.0,19.4,6.9,4.9,63.8,13638
Killcare,84.0,49.0,31.0,257.0,17.7,10.3,6.5,54.2,12133
Bensville,458.0,196.0,142.0,1663.0,18.1,7.7,5.6,65.5,10297
Daleys Point,181.0,48.0,43.0,376.0,26.3,7.0,6.3,54.7,11189
Pretty Beach (Central Coast - NSW),64.0,31.0,19.0,213.0,18.2,8.8,5.4,60.7,13261
Hardys Bay,35.0,23.0,11.0,141.0,15.2,10.0,4.8,61.0,11852
Kincumber South,195.0,44.0,25.0,380.0,28.6,6.5,3.7,55.8,12142
Somersby,177.0,65.0,43.0,695.0,16.5,6.1,4.0,64.8,13571
Calga,31.0,11.0,7.0,79.0,22.5,8.0,5.1,57.2,10752
Woy Woy,2132.0,766.0,525.0,6433.0,20.1,7.2,4.9,60.5,14425
Patonga,36.0,7.0,10.0,136.0,17.8,3.5,5.0,67.3,13160
Mooney Mooney,84.0,17.0,10.0,187.0,27.8,5.6,3.3,61.9,12704
Kariong,1450.0,521.0,385.0,3607.0,22.7,8.2,6.0,56.6,12074
Peats Ridge,67.0,18.0,19.0,219.0,17.8,4.8,5.0,58.1,13172
Central Mangrove,63.0,27.0,10.0,144.0,23.9,10.2,3.8,54.5,10876
Mangrove Mountain,185.0,53.0,40.0,385.0,26.1,7.5,5.6,54.3,12472
Kulnura,120.0,34.0,30.0,372.0,19.9,5.6,5.0,61.6,12206
Mount White,45.0,22.0,10.0,88.0,24.3,11.9,5.4,47.6,12803
Wendoree Park,30.0,15.0,14.0,58.0,22.2,11.1,10.4,43.0,14224
Wisemans Ferry,39.0,12.0,11.0,134.0,17.8,5.5,5.0,61.2,14344
Gunderman,39.0,12.0,7.0,89.0,19.8,6.1,3.6,45.2,11808
Spencer,50.0,14.0,5.0,147.0,16.7,4.7,1.7,49.2,13607
Erina,1197.0,354.0,234.0,2458.0,25.0,7.4,4.9,51.4,11433
Green Point (Central Coast - NSW),1514.0,502.0,354.0,3721.0,23.6,7.8,5.5,58.1,11753
Matcham,204.0,81.0,64.0,593.0,20.6,8.2,6.5,59.8,12520
Holgate,210.0,87.0,65.0,563.0,21.7,9.0,6.7,58.3,11921
Lisarow,1059.0,430.0,314.0,3137.0,20.6,8.4,6.1,61.1,12343
Erina Heights,92.0,27.0,24.0,261.0,21.5,6.3,5.6,61.1,11434
Terrigal,2809.0,898.0,670.0,6425.0,24.7,7.9,5.9,56.6,13805
Springfield (Central Coast - NSW),793.0,360.0,217.0,2526.0,19.3,8.8,5.3,61.6,13623
North Gosford,906.0,314.0,219.0,2003.0,24.5,8.5,5.9,54.1,12991
West Gosford,384.0,108.0,70.0,684.0,28.7,8.1,5.2,51.2,14244
Gosford,1277.0,222.0,161.0,1470.0,36.5,6.3,4.6,42.0,11722
East Gosford,1055.0,281.0,238.0,2373.0,24.9,6.6,5.6,56.1,11349
Point Frederick,503.0,161.0,90.0,997.0,26.1,8.3,4.7,51.7,13232
Kincumber,1328.0,589.0,403.0,4423.0,18.7,8.3,5.7,62.4,12141
Picketts Valley,40.0,20.0,12.0,147.0,18.0,9.0,5.4,66.2,13198
Narara,1703.0,626.0,430.0,4798.0,21.5,7.9,5.4,60.5,12895
Niagara Park,512.0,250.0,131.0,1696.0,18.6,9.1,4.8,61.7,12961
Mount Elliot (NSW),40.0,5.0,3.0,107.0,24.7,3.1,1.9,66.0,12757
Point Clare,896.0,329.0,256.0,2087.0,23.9,8.8,6.8,55.8,13231
Tascott,371.0,154.0,112.0,896.0,23.0,9.6,6.9,55.6,13772
Koolewong,216.0,58.0,53.0,503.0,25.0,6.7,6.1,58.3,12185
Saratoga,690.0,325.0,213.0,2513.0,17.5,8.2,5.4,63.8,13492
Davistown,340.0,183.0,141.0,1684.0,13.6,7.3,5.7,67.5,11221
Yattalunga (NSW),90.0,45.0,28.0,374.0,16.3,8.1,5.1,67.6,14496
North Avoca,374.0,157.0,149.0,1380.0,17.1,7.2,6.8,63.0,12980
Umina Beach,3061.0,1332.0,881.0,10245.0,18.3,8.0,5.3,61.2,14007
Booker Bay,256.0,81.0,59.0,826.0,19.3,6.1,4.4,62.2,10477
Ettalong Beach,909.0,321.0,221.0,3000.0,19.0,6.7,4.6,62.6,11445
Pearl Beach,146.0,50.0,23.0,275.0,27.0,9.3,4.3,50.9,13171
Wamberal,1145.0,539.0,356.0,4193.0,17.5,8.2,5.4,64.0,14122
Forresters Beach,462.0,216.0,170.0,1902.0,15.9,7.4,5.9,65.5,11549
Tumbi Umbi,865.0,421.0,247.0,3315.0,16.9,8.2,4.8,64.9,13962
Horsfield Bay,127.0,45.0,30.0,284.0,23.5,8.3,5.5,52.5,11941
Phegans Bay,97.0,40.0,28.0,234.0,22.8,9.4,6.6,54.9,13192
Woy Woy Bay,95.0,35.0,12.0,246.0,22.7,8.4,2.9,58.7,14426
Blackwall (NSW),344.0,128.0,86.0,1194.0,18.2,6.8,4.6,63.3,10399
Wyoming,2224.0,778.0,518.0,5737.0,21.9,7.7,5.1,56.6,14445
Bateau Bay,1671.0,899.0,576.0,8117.0,13.8,7.4,4.7,66.8,10227
Killarney Vale,928.0,537.0,340.0,4869.0,12.9,7.4,4.7,67.5,12131
Blue Haven,915.0,474.0,344.0,4343.0,14.4,7.4,5.4,68.1,10415
San Remo (NSW),527.0,315.0,191.0,3051.0,12.1,7.2,4.4,70.1,13470
Doyalson,47.0,37.0,18.0,204.0,15.1,11.9,5.8,65.4,11286
Buff Point,482.0,217.0,170.0,2379.0,13.8,6.2,4.9,67.9,10645
Budgewoi,425.0,226.0,143.0,2317.0,12.7,6.7,4.3,69.1,10642
Halekulani,343.0,168.0,111.0,1758.0,13.6,6.6,4.4,69.6,11830
Glenning Valley,291.0,153.0,113.0,1359.0,14.4,7.6,5.6,67.3,11672
Berkeley Vale,1165.0,702.0,469.0,5600.0,13.9,8.4,5.6,67.0,10304
Chittaway Point,180.0,72.0,47.0,609.0,19.2,7.7,5.0,64.9,10912
Chittaway Bay,312.0,136.0,97.0,1361.0,15.4,6.7,4.8,67.1,10911
Kanwal,663.0,261.0,179.0,2523.0,16.2,6.4,4.4,61.6,12067
Wyongah,275.0,158.0,104.0,1351.0,13.6,7.8,5.1,66.8,14448
Tuggerawong,177.0,80.0,81.0,860.0,13.8,6.2,6.3,66.9,13951
Rocky Point (NSW),50.0,23.0,10.0,167.0,19.0,8.7,3.8,63.5,13388
Gorokan,1239.0,605.0,361.0,5491.0,14.8,7.2,4.3,65.6,11721
Charmhaven,315.0,186.0,128.0,1739.0,12.3,7.3,5.0,68.0,10889
Lake Haven,655.0,222.0,152.0,2186.0,18.3,6.2,4.2,61.1,12247
Jilliby,239.0,104.0,90.0,1090.0,14.5,6.3,5.5,66.2,12027
Yarramalong,74.0,34.0,21.0,204.0,21.3,9.8,6.0,58.6,14475
Cedar Brush Creek,17.0,3.0,6.0,70.0,15.5,2.7,5.5,63.6,10867
Wyong Creek,59.0,46.0,30.0,256.0,13.5,10.5,6.9,58.6,14447
Dooralong,53.0,37.0,18.0,224.0,14.8,10.3,5.0,62.6,11276
Lake Munmorah,712.0,373.0,200.0,3647.0,13.5,7.1,3.8,69.4,12253
Chain Valley Bay,381.0,169.0,95.0,1657.0,15.4,6.8,3.8,67.1,10880
Kingfisher Shores,25.0,18.0,6.0,116.0,14.9,10.7,3.6,69.0,12146
Mannering Park,285.0,148.0,124.0,1786.0,11.5,6.0,5.0,72.1,12477
Doyalson North,97.0,23.0,16.0,212.0,25.5,6.0,4.2,55.6,11287
Ourimbah,742.0,310.0,272.0,2453.0,18.8,7.8,6.9,62.1,13103
Fountaindale,136.0,40.0,49.0,440.0,19.6,5.8,7.1,63.5,11554
Palm Grove (NSW),20.0,12.0,3.0,56.0,18.0,10.8,2.7,50.5,13133
Gwandalan,435.0,205.0,152.0,2325.0,13.3,6.3,4.6,71.0,11824
Summerland Point,384.0,167.0,133.0,1704.0,15.4,6.7,5.3,68.4,13690
Long Jetty,923.0,470.0,309.0,4177.0,14.4,7.3,4.8,65.3,12378
Shelly Beach (NSW),150.0,83.0,65.0,940.0,11.4,6.3,4.9,71.5,13535
Blue Bay,161.0,64.0,47.0,671.0,15.6,6.2,4.5,64.9,10414
Toowoon Bay,85.0,23.0,21.0,351.0,16.3,4.4,4.0,67.4,13916
The Entrance North,219.0,84.0,72.0,998.0,14.8,5.7,4.9,67.6,13819
Magenta (NSW),54.0,19.0,12.0,110.0,26.2,9.2,5.8,53.4,12441
The Entrance,788.0,268.0,189.0,2345.0,19.7,6.7,4.7,58.5,13818
Toukley,639.0,294.0,173.0,2829.0,14.0,6.5,3.8,62.2,13925
Canton Beach,168.0,84.0,38.0,760.0,14.3,7.1,3.2,64.5,10798
Noraville,398.0,193.0,126.0,1981.0,13.6,6.6,4.3,67.9,12974
Norah Head,127.0,65.0,59.0,826.0,11.3,5.8,5.2,73.4,12973
Kangy Angy,48.0,24.0,8.0,200.0,15.9,7.9,2.6,66.2,12064
Tuggerah,215.0,62.0,52.0,556.0,23.3,6.7,5.6,60.3,13950
Wyong,893.0,295.0,190.0,2543.0,20.7,6.8,4.4,58.8,14446
Mardi,855.0,270.0,203.0,2058.0,23.2,7.3,5.5,55.9,12488
Tacoma South,45.0,15.0,14.0,158.0,18.4,6.1,5.7,64.8,13725
Hamlyn Terrace,1232.0,462.0,310.0,3762.0,20.3,7.6,5.1,62.1,11843
Woongarrah,994.0,392.0,257.0,3329.0,19.0,7.5,4.9,63.8,14415
Warnervale,107.0,46.0,19.0,446.0,16.8,7.2,3.0,69.9,14154
Wallarah,74.0,30.0,10.0,223.0,19.9,8.1,2.7,60.1,14109
Wadalba,619.0,237.0,165.0,1693.0,21.9,8.4,5.8,59.9,14080
Watanobbi,694.0,273.0,203.0,2445.0,18.0,7.1,5.3,63.4,14181
Tacoma,77.0,47.0,32.0,442.0,12.1,7.4,5.0,69.5,13724
Llanarth (NSW),356.0,116.0,82.0,1567.0,16.2,5.3,3.7,71.4,12362
South Bathurst,163.0,68.0,62.0,1181.0,10.3,4.3,3.9,74.6,13577
Bathurst,1012.0,384.0,288.0,4554.0,14.6,5.5,4.2,65.7,10231
Robin Hill,83.0,40.0,28.0,744.0,9.0,4.3,3.0,80.5,13375
West Bathurst,341.0,199.0,138.0,2742.0,9.3,5.4,3.8,74.6,14241
Mitchell (NSW),90.0,28.0,36.0,380.0,6.9,2.1,2.8,29.1,12650
Gormans Hill,73.0,29.0,28.0,536.0,9.2,3.7,3.5,67.8,11720
Abercrombie,107.0,61.0,46.0,853.0,9.6,5.5,4.1,76.4,10004
Eglinton (NSW),155.0,116.0,94.0,1752.0,6.9,5.1,4.2,77.7,11386
Windradyne,301.0,155.0,108.0,2188.0,10.3,5.3,3.7,74.7,14324
Raglan (NSW),130.0,71.0,44.0,915.0,10.8,5.9,3.7,76.2,13304
White Rock (NSW),90.0,35.0,29.0,582.0,11.3,4.4,3.6,72.9,14275
