,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Maryvale (NSW),5.0,6.0,10.0,150.0,2.6,3.1,5.2,77.3,12517
Geurie,46.0,31.0,16.0,594.0,6.0,4.1,2.1,77.6,11608
Montefiores,32.0,19.0,10.0,465.0,5.4,3.2,1.7,78.2,12685
Greta (NSW),306.0,130.0,79.0,2153.0,10.8,4.6,2.8,76.1,11778
Lower Belford,15.0,14.0,20.0,328.0,3.8,3.6,5.1,83.9,12401
Belford,15.0,4.0,17.0,116.0,8.7,2.3,9.8,67.1,10258
Branxton,182.0,90.0,63.0,1542.0,9.2,4.5,3.2,77.8,10549
Pokolbin,155.0,45.0,42.0,572.0,16.2,4.7,4.4,59.8,13236
Keinbah,8.0,8.0,3.0,98.0,6.8,6.8,2.6,83.8,12084
Lovedale,80.0,29.0,22.0,318.0,16.5,6.0,4.5,65.7,12396
East Branxton,157.0,89.0,54.0,1372.0,8.7,4.9,3.0,75.7,11346
North Rothbury,91.0,36.0,36.0,669.0,10.1,4.0,4.0,73.9,13004
Leconfield,14.0,3.0,5.0,113.0,10.0,2.1,3.6,80.7,12291
Cessnock,1091.0,728.0,443.0,10835.0,7.2,4.8,2.9,71.4,10878
Nulkaba,73.0,30.0,35.0,507.0,10.5,4.3,5.1,73.3,13031
Aberdare,167.0,99.0,68.0,1961.0,6.7,4.0,2.7,79.2,10006
Kearsley,50.0,43.0,39.0,677.0,5.8,5.0,4.5,78.7,12080
Bellbird,139.0,86.0,59.0,1596.0,6.8,4.2,2.9,78.2,10268
Bellbird Heights,70.0,50.0,34.0,594.0,8.8,6.3,4.3,74.5,10269
Ellalong,112.0,46.0,46.0,798.0,10.2,4.2,4.2,72.7,11398
Kitchener,29.0,20.0,10.0,384.0,6.1,4.2,2.1,80.7,12174
Abernethy,15.0,11.0,8.0,238.0,4.3,3.2,2.3,68.8,10011
Mulbring,39.0,30.0,15.0,481.0,6.5,5.0,2.5,80.3,12813
Buchanan (NSW),9.0,6.0,11.0,152.0,4.5,3.0,5.6,76.8,10628
Millfield,88.0,45.0,22.0,694.0,8.8,4.5,2.2,69.6,12620
Paxton,47.0,47.0,26.0,729.0,5.0,5.0,2.8,78.0,13162
Black Hill (NSW),49.0,29.0,23.0,419.0,8.7,5.1,4.1,74.3,10385
Mount Vincent,41.0,31.0,16.0,247.0,11.4,8.6,4.5,68.8,12799
Brunkerville,30.0,15.0,13.0,129.0,14.9,7.5,6.5,64.2,10620
Quorrobolong,48.0,22.0,20.0,370.0,9.5,4.3,4.0,73.1,13302
Congewai,23.0,6.0,5.0,129.0,12.3,3.2,2.7,69.0,11007
Mount View,15.0,3.0,3.0,72.0,11.5,2.3,2.3,55.0,12798
Paynes Crossing,16.0,8.0,0.0,43.0,13.8,6.9,0.0,37.1,13163
Laguna,35.0,17.0,0.0,116.0,17.0,8.3,0.0,56.3,12237
Wollombi,49.0,23.0,8.0,82.0,26.3,12.4,4.3,44.1,14355
Watagan,28.0,9.0,10.0,68.0,23.3,7.5,8.3,56.7,14180
Murrays Run,39.0,5.0,12.0,85.0,25.3,3.2,7.8,55.2,12855
Bucketty,42.0,13.0,4.0,98.0,22.8,7.1,2.2,53.3,10634
Clarence Town,140.0,107.0,71.0,1550.0,7.0,5.4,3.6,77.8,10920
Dungog,106.0,73.0,39.0,1596.0,5.3,3.6,1.9,79.0,11320
Bendolba,7.0,11.0,0.0,166.0,3.4,5.4,0.0,81.0,10291
Paterson (NSW),61.0,45.0,23.0,674.0,6.9,5.1,2.6,76.2,13159
Martins Creek,27.0,18.0,11.0,286.0,6.9,4.6,2.8,73.5,12511
Torryburn (Dungog - NSW),11.0,8.0,4.0,117.0,7.5,5.4,2.7,79.6,13920
Vacy,42.0,30.0,22.0,520.0,6.7,4.8,3.5,83.3,14063
East Gresford,14.0,10.0,6.0,261.0,4.6,3.3,2.0,85.9,11350
Gresford,12.0,6.0,6.0,205.0,4.7,2.3,2.3,80.1,11777
Glen Martin,11.0,5.0,13.0,128.0,6.2,2.8,7.3,72.3,11650
Wallarobba,19.0,4.0,3.0,141.0,10.9,2.3,1.7,80.6,14111
Hilldale,10.0,11.0,4.0,151.0,5.3,5.8,2.1,79.9,11906
Glen Oak,20.0,11.0,4.0,272.0,5.8,3.2,1.2,79.5,11652
Glen William,3.0,5.0,7.0,101.0,2.4,3.9,5.5,79.5,11654
Brookfield (NSW),22.0,11.0,8.0,138.0,10.7,5.3,3.9,67.0,10596
Abermain,129.0,104.0,77.0,1866.0,5.5,4.5,3.3,80.1,10010
Weston (NSW),251.0,182.0,135.0,2891.0,6.8,4.9,3.7,78.3,14262
Kurri Kurri,435.0,324.0,193.0,4577.0,7.2,5.4,3.2,75.7,12221
Stanford Merthyr,36.0,29.0,26.0,427.0,6.4,5.2,4.7,76.4,13647
Pelaw Main,85.0,56.0,31.0,801.0,8.3,5.5,3.0,78.3,13177
Heddon Greta,165.0,87.0,52.0,1676.0,8.0,4.2,2.5,81.4,11888
Neath,42.0,26.0,30.0,333.0,8.6,5.3,6.1,67.8,12917
Cliftleigh,49.0,32.0,24.0,674.0,5.5,3.6,2.7,75.9,10932
Sawyers Gully,31.0,19.0,8.0,398.0,6.2,3.8,1.6,80.1,13499
Hunterview,380.0,138.0,140.0,2173.0,12.6,4.6,4.7,72.3,11955
Redbournberry,10.0,13.0,3.0,193.0,4.4,5.7,1.3,84.6,13337
Singleton (NSW),509.0,228.0,157.0,3727.0,10.2,4.6,3.1,74.6,13549
Whittingham,16.0,17.0,11.0,303.0,4.3,4.6,3.0,82.1,14279
Gowrie (Singleton - NSW),35.0,12.0,15.0,251.0,10.8,3.7,4.6,77.5,11729
Glenridding,23.0,5.0,11.0,190.0,9.2,2.0,4.4,75.7,11676
Singleton Heights,474.0,199.0,196.0,3492.0,10.1,4.2,4.2,74.4,13550
Wattle Ponds,100.0,52.0,68.0,857.0,8.9,4.6,6.1,76.4,14193
McDougalls Hill,7.0,4.0,4.0,121.0,4.9,2.8,2.8,84.6,12541
Darlington (Singleton - NSW),47.0,13.0,10.0,271.0,12.6,3.5,2.7,72.8,11213
Broke (NSW),69.0,27.0,22.0,371.0,12.0,4.7,3.8,64.4,10590
Putty,29.0,3.0,3.0,50.0,17.3,1.8,1.8,29.8,13279
Howes Valley,5.0,10.0,4.0,48.0,4.0,8.0,3.2,38.4,11948
Bulga (NSW),36.0,11.0,10.0,252.0,10.1,3.1,2.8,71.0,10651
Jerrys Plains,61.0,20.0,20.0,234.0,15.9,5.2,5.2,61.1,12021
Maison Dieu,14.0,3.0,9.0,130.0,7.5,1.6,4.8,69.9,12448
Bridgman,3.0,9.0,8.0,185.0,1.4,4.3,3.8,88.5,10567
Mount Olive (Singleton - NSW),14.0,9.0,5.0,107.0,9.9,6.4,3.5,75.9,12781
Westbrook (NSW),7.0,3.0,4.0,114.0,4.8,2.1,2.8,78.6,14257
Reedy Creek (NSW),11.0,3.0,3.0,124.0,6.6,1.8,1.8,74.7,13342
Sedgefield,18.0,8.0,5.0,133.0,10.1,4.5,2.8,74.3,13514
Mitchells Flat,7.0,14.0,4.0,173.0,3.3,6.6,1.9,81.6,12651
Glendon,11.0,0.0,3.0,89.0,9.7,0.0,2.7,78.8,11660
Elderslie (Singleton - NSW),5.0,10.0,5.0,94.0,4.0,8.0,4.0,75.2,11392
Lambs Valley (Singleton - NSW),39.0,22.0,23.0,248.0,10.5,5.9,6.2,66.7,12263
Stanhope (NSW),12.0,6.0,9.0,101.0,7.9,3.9,5.9,66.4,13648
Glendon Brook,19.0,16.0,5.0,208.0,7.1,6.0,1.9,77.6,11661
Maitland (NSW),208.0,95.0,67.0,1311.0,11.0,5.0,3.6,69.6,12449
South Maitland,37.0,19.0,8.0,310.0,7.8,4.0,1.7,65.7,13591
Gillieston Heights,309.0,198.0,121.0,2356.0,9.8,6.3,3.8,74.8,11624
Louth Park,59.0,29.0,29.0,514.0,9.0,4.4,4.4,78.8,12395
Horseshoe Bend,41.0,25.0,13.0,274.0,10.5,6.4,3.3,70.3,11939
Oakhampton,19.0,12.0,7.0,134.0,9.8,6.2,3.6,69.1,13056
East Maitland,1253.0,673.0,443.0,8646.0,10.6,5.7,3.8,73.4,11360
Metford,598.0,264.0,179.0,3447.0,12.5,5.5,3.8,72.3,12592
Tenambit,243.0,167.0,93.0,2225.0,8.4,5.8,3.2,76.7,13787
Raworth,133.0,100.0,74.0,1407.0,7.5,5.6,4.2,79.1,13325
Morpeth,138.0,94.0,35.0,1073.0,9.8,6.7,2.5,76.4,12727
Ashtonfield,623.0,284.0,179.0,3349.0,13.4,6.1,3.9,72.1,10102
Chisholm (NSW),190.0,94.0,68.0,1072.0,13.0,6.4,4.7,73.5,10909
Largs,95.0,90.0,74.0,1555.0,4.9,4.6,3.8,80.3,12278
Bolwarra Heights,287.0,139.0,116.0,2304.0,9.6,4.7,3.9,77.3,10451
Lorn,147.0,76.0,71.0,973.0,10.9,5.7,5.3,72.3,12389
Bolwarra (NSW),109.0,58.0,50.0,726.0,11.0,5.9,5.1,73.4,10450
Woodville (NSW),40.0,19.0,15.0,341.0,9.3,4.4,3.5,78.9,14398
Maitland Vale,16.0,10.0,3.0,86.0,12.6,7.9,2.4,67.7,12451
Rutherford,1159.0,619.0,400.0,8888.0,9.7,5.2,3.4,74.7,13449
Aberglasslyn,612.0,309.0,199.0,4064.0,11.3,5.7,3.7,75.2,10009
Luskintyre,13.0,15.0,7.0,141.0,7.0,8.1,3.8,75.8,12423
Lochinvar,87.0,40.0,20.0,601.0,11.0,5.0,2.5,75.7,12368
Windella,72.0,37.0,30.0,564.0,9.8,5.0,4.1,76.6,14317
Telarah,153.0,114.0,78.0,1850.0,6.6,4.9,3.3,79.3,13780
Farley,12.0,15.0,11.0,177.0,5.5,6.8,5.0,80.5,11490
Bishops Bridge,11.0,3.0,5.0,178.0,4.7,1.3,2.1,75.4,10380
Thornton (NSW),804.0,457.0,343.0,6197.0,10.0,5.7,4.3,76.8,13851
Millers Forest,25.0,12.0,13.0,282.0,7.4,3.6,3.9,83.7,12618
Berry Park,14.0,3.0,0.0,98.0,10.4,2.2,0.0,72.6,10325
Anna Bay,556.0,284.0,188.0,2414.0,14.5,7.4,4.9,62.8,10060
Boat Harbour (Port Stephens - NSW),112.0,52.0,48.0,701.0,11.7,5.4,5.0,73.3,10425
Bobs Farm,61.0,21.0,19.0,308.0,13.6,4.7,4.2,68.8,10429
One Mile (NSW),85.0,21.0,21.0,266.0,20.3,5.0,5.0,63.5,13085
Lemon Tree Passage,357.0,171.0,115.0,1755.0,13.7,6.6,4.4,67.3,12300
Mallabula,103.0,56.0,38.0,653.0,11.1,6.1,4.1,70.6,12455
Tanilba Bay,403.0,200.0,132.0,2201.0,12.7,6.3,4.2,69.6,13748
Salamander Bay,877.0,305.0,229.0,3038.0,18.3,6.4,4.8,63.3,13463
Soldiers Point,239.0,77.0,62.0,950.0,16.7,5.4,4.3,66.5,13570
Corlette,1077.0,382.0,244.0,3277.0,20.1,7.1,4.6,61.2,11075
Taylors Beach (NSW),10.0,14.0,14.0,77.0,8.3,11.6,11.6,63.6,13777
Nelson Bay (NSW),1159.0,396.0,262.0,3632.0,19.9,6.8,4.5,62.4,12923
Fingal Bay,243.0,89.0,61.0,980.0,15.1,5.5,3.8,60.8,11518
Shoal Bay (NSW),324.0,96.0,62.0,999.0,17.4,5.1,3.3,53.5,13539
Raymond Terrace,1229.0,684.0,490.0,9348.0,9.6,5.3,3.8,72.9,13327
Tomago,25.0,19.0,3.0,172.0,8.9,6.8,1.1,61.4,13889
Heatherbrae,56.0,20.0,21.0,356.0,11.2,4.0,4.2,70.9,11884
Eagleton,26.0,5.0,16.0,158.0,12.4,2.4,7.6,75.2,11342
Duns Creek,54.0,34.0,21.0,412.0,10.0,6.3,3.9,76.3,11326
Seaham,85.0,50.0,41.0,793.0,8.4,5.0,4.1,78.7,13510
Wallalong,81.0,39.0,37.0,824.0,7.8,3.8,3.6,79.8,14104
Brandy Hill,69.0,38.0,18.0,513.0,10.3,5.7,2.7,76.6,10548
Hinton,21.0,31.0,10.0,363.0,4.6,6.8,2.2,80.1,11916
Butterwick,14.0,13.0,11.0,101.0,9.7,9.0,7.6,69.7,10725
East Seaham,26.0,12.0,8.0,241.0,8.2,3.8,2.5,75.5,11362
Nelsons Plains,23.0,22.0,16.0,264.0,6.4,6.1,4.5,73.7,12924
Osterley (NSW),3.0,0.0,4.0,102.0,2.5,0.0,3.3,84.3,13099
Tea Gardens,501.0,171.0,114.0,1927.0,17.4,5.9,4.0,66.8,13779
North Arm Cove,93.0,24.0,24.0,268.0,21.0,5.4,5.4,60.6,12979
Bundabah,22.0,5.0,12.0,61.0,22.0,5.0,12.0,61.0,10668
Pindimar,50.0,22.0,17.0,219.0,14.7,6.5,5.0,64.4,13211
Hawks Nest,176.0,59.0,47.0,842.0,14.4,4.8,3.9,69.1,11873
Karuah,167.0,70.0,49.0,985.0,11.9,5.0,3.5,70.1,12076
Medowie,1127.0,625.0,446.0,6728.0,11.8,6.5,4.7,70.3,12554
Salt Ash,110.0,60.0,60.0,807.0,9.7,5.3,5.3,71.0,13467
Williamtown,121.0,44.0,37.0,509.0,13.7,5.0,4.2,57.4,14299
Twelve Mile Creek,13.0,4.0,7.0,101.0,8.0,2.5,4.3,62.3,13988
Swan Bay (Port Stephens - NSW),25.0,16.0,11.0,232.0,8.1,5.2,3.6,75.3,13704
Muswellbrook,1175.0,484.0,371.0,8932.0,9.7,4.0,3.1,74.0,12868
Denman,122.0,63.0,51.0,1432.0,6.8,3.5,2.8,80.0,11241
Gungal,26.0,14.0,9.0,202.0,9.4,5.0,3.2,72.7,11810
Martindale,16.0,0.0,3.0,115.0,10.3,0.0,1.9,73.7,12510
Castle Rock,13.0,12.0,0.0,129.0,7.4,6.8,0.0,73.3,10848
Aberdeen (NSW),123.0,65.0,41.0,1671.0,5.9,3.1,2.0,80.1,10007
Wybong,10.0,3.0,3.0,109.0,7.8,2.3,2.3,85.2,14436
Sandy Hollow,11.0,12.0,4.0,112.0,6.5,7.1,2.4,66.7,13486
Muscle Creek,12.0,15.0,11.0,258.0,3.8,4.8,3.5,81.9,12867
McCullys Gap,10.0,7.0,3.0,218.0,4.0,2.8,1.2,87.6,12540
Scone,587.0,223.0,161.0,4197.0,10.4,4.0,2.9,74.6,13503
Middle Brook,14.0,10.0,0.0,173.0,6.2,4.4,0.0,76.9,12600
Dartbrook,8.0,6.0,3.0,92.0,7.1,5.3,2.7,81.4,11217
Segenhoe,32.0,13.0,4.0,144.0,14.5,5.9,1.8,65.2,13517
Rouchel,18.0,5.0,8.0,99.0,12.4,3.4,5.5,68.3,13422
Murrurundi,116.0,34.0,25.0,728.0,11.2,3.3,2.4,70.5,12864
Blandford,18.0,9.0,5.0,142.0,10.2,5.1,2.8,80.2,10406
Wingen,17.0,13.0,10.0,204.0,5.3,4.0,3.1,63.4,14331
Parkville (NSW),18.0,7.0,4.0,249.0,6.0,2.3,1.3,83.6,13154
Upper Dartbrook,15.0,0.0,0.0,118.0,10.1,0.0,0.0,79.7,14022
Gundy,23.0,7.0,5.0,147.0,11.3,3.4,2.5,72.1,11809
Moonan Flat,16.0,0.0,3.0,88.0,12.7,0.0,2.4,69.8,12697
Niangala,11.0,0.0,3.0,105.0,8.7,0.0,2.4,82.7,12962
Merriwa (NSW),111.0,61.0,51.0,1328.0,6.3,3.5,2.9,75.1,12585
Moobi,25.0,6.0,6.0,108.0,16.3,3.9,3.9,70.6,12688
Dapto,2541.0,885.0,637.0,6156.0,23.7,8.3,5.9,57.4,11202
Kanahooka,1480.0,454.0,345.0,3088.0,26.5,8.1,6.2,55.3,12055
Koonawarra,827.0,301.0,217.0,2134.0,22.6,8.2,5.9,58.2,12187
Avondale (NSW),410.0,120.0,88.0,935.0,24.8,7.2,5.3,56.5,10116
Marshall Mount,20.0,10.0,6.0,99.0,14.2,7.1,4.3,70.2,12507
Haywards Bay,221.0,92.0,68.0,592.0,22.0,9.2,6.8,59.0,11880
Brownsville,148.0,36.0,22.0,289.0,27.9,6.8,4.1,54.4,10612
Horsley,2064.0,704.0,523.0,4610.0,25.1,8.6,6.4,56.1,11942
Wongawilli,27.0,12.0,10.0,82.0,19.9,8.8,7.4,60.3,14374
Kembla Grange,39.0,23.0,13.0,159.0,15.1,8.9,5.0,61.6,12092
Dombarton,35.0,13.0,6.0,87.0,23.3,8.7,4.0,58.0,11270
Port Kembla,1909.0,335.0,227.0,2197.0,38.1,6.7,4.5,43.9,13245
Coniston,964.0,172.0,118.0,872.0,42.4,7.6,5.2,38.4,11010
Unanderra,1415.0,387.0,308.0,2681.0,26.1,7.1,5.7,49.4,14008
Mount Kembla,225.0,85.0,65.0,647.0,21.1,8.0,6.1,60.7,12769
Kembla Heights,15.0,9.0,6.0,78.0,12.6,7.6,5.0,65.5,12093
Cordeaux Heights,1563.0,359.0,286.0,2243.0,34.3,7.9,6.3,49.2,11070
Farmborough Heights,1162.0,425.0,225.0,2169.0,27.7,10.1,5.4,51.7,11491
Berkeley,2591.0,581.0,363.0,3558.0,34.0,7.6,4.8,46.8,10303
Cringila,1254.0,191.0,112.0,487.0,56.9,8.7,5.1,22.1,11116
Lake Heights,1781.0,322.0,200.0,1311.0,46.4,8.4,5.2,34.2,12248
Warrawong,2293.0,313.0,198.0,1524.0,48.3,6.6,4.2,32.1,14167
Windang,570.0,171.0,135.0,1617.0,21.5,6.4,5.1,60.9,14316
Primbee,497.0,140.0,82.0,794.0,30.3,8.5,5.0,48.4,13264
Mount Keira,447.0,165.0,125.0,864.0,26.9,9.9,7.5,52.0,12768
Bulli,1192.0,546.0,414.0,3660.0,19.5,8.9,6.8,60.0,10662
Bargo,795.0,323.0,213.0,2812.0,18.1,7.3,4.8,64.0,10198
Yerrinbool,188.0,92.0,88.0,730.0,16.2,7.9,7.6,62.7,14510
Wilton (NSW),550.0,271.0,173.0,1978.0,17.8,8.8,5.6,64.1,14311
Pheasants Nest,145.0,37.0,27.0,422.0,21.0,5.3,3.9,61.0,13191
Albion Park,2592.0,1054.0,798.0,8213.0,19.5,7.9,6.0,61.7,10025
Calderwood,42.0,9.0,11.0,95.0,25.0,5.4,6.5,56.5,10750
Tullimbar,90.0,44.0,43.0,333.0,17.0,8.3,8.1,62.8,13958
Yellow Rock (Shellharbour - NSW),43.0,10.0,16.0,122.0,21.7,5.1,8.1,61.6,14503
Albion Park Rail,1383.0,517.0,391.0,4151.0,20.0,7.5,5.6,60.0,10026
Kiama,1468.0,499.0,341.0,4128.0,21.3,7.2,5.0,59.9,12116
Kiama Heights,201.0,51.0,52.0,464.0,24.6,6.2,6.4,56.8,12118
Bombo,12.0,4.0,5.0,65.0,11.9,4.0,5.0,64.4,10458
Kiama Downs,858.0,410.0,279.0,3253.0,17.1,8.2,5.6,64.9,12117
Minnamurra,91.0,66.0,42.0,521.0,12.0,8.7,5.5,68.8,12639
Gerringong,590.0,274.0,178.0,2565.0,14.9,6.9,4.5,64.7,11606
Jamberoo,269.0,125.0,66.0,1048.0,16.5,7.7,4.0,64.3,11998
Werri Beach,62.0,29.0,33.0,412.0,11.0,5.2,5.9,73.2,14233
Gerroa,126.0,50.0,24.0,392.0,18.7,7.4,3.6,58.2,11607
Curramore (NSW),31.0,10.0,8.0,138.0,16.1,5.2,4.1,71.5,11174
Jerrara,17.0,20.0,8.0,93.0,10.9,12.8,5.1,59.6,12017
Toolijooa,16.0,3.0,0.0,79.0,12.9,2.4,0.0,63.7,13903
Foxground,22.0,18.0,6.0,86.0,15.3,12.5,4.2,59.7,11558
Flinders (NSW),1969.0,558.0,357.0,3487.0,29.5,8.4,5.3,52.2,11534
Shellharbour,817.0,287.0,177.0,2001.0,23.0,8.1,5.0,56.2,13533
Shell Cove,1531.0,494.0,317.0,3086.0,27.2,8.8,5.6,54.9,13532
Barrack Point,139.0,54.0,51.0,376.0,20.3,7.9,7.4,54.9,10208
Dunmore (NSW),42.0,10.0,14.0,129.0,19.6,4.7,6.5,60.3,11323
Oak Flats,1554.0,483.0,363.0,3655.0,24.2,7.5,5.7,57.0,13053
Blackbutt (NSW),1217.0,289.0,177.0,1455.0,36.8,8.7,5.4,44.1,10391
Shellharbour City Centre,95.0,24.0,4.0,93.0,40.3,10.2,1.7,39.4,13534
Warilla,1481.0,462.0,347.0,3425.0,23.0,7.2,5.4,53.1,14151
Lake Illawarra,791.0,227.0,213.0,1718.0,25.0,7.2,6.7,54.2,12250
Barrack Heights,1614.0,474.0,350.0,3110.0,27.4,8.0,5.9,52.7,10207
Mount Warrigal,1394.0,379.0,281.0,2565.0,28.4,7.7,5.7,52.3,12801
Fairy Meadow,2849.0,535.0,363.0,3191.0,38.5,7.2,4.9,43.1,11484
Balgownie,1729.0,418.0,318.0,2808.0,31.3,7.6,5.8,50.8,10155
Gwynneville,1514.0,167.0,141.0,1173.0,48.9,5.4,4.5,37.9,11825
North Wollongong,963.0,169.0,148.0,1110.0,37.0,6.5,5.7,42.7,13017
Mount Ousley,435.0,125.0,81.0,906.0,27.2,7.8,5.1,56.7,12782
Mount Pleasant (NSW),428.0,94.0,97.0,678.0,31.3,6.9,7.1,49.6,12784
Tarrawanna,627.0,143.0,119.0,1059.0,30.3,6.9,5.8,51.2,13769
Corrimal,1761.0,482.0,403.0,3548.0,27.0,7.4,6.2,54.4,11082
Towradgi,834.0,233.0,184.0,1741.0,26.7,7.5,5.9,55.7,13929
Fernhill,277.0,72.0,45.0,557.0,27.1,7.1,4.4,54.6,11507
East Corrimal,833.0,287.0,225.0,1892.0,24.4,8.4,6.6,55.5,11348
Bellambi,937.0,293.0,225.0,2210.0,23.7,7.4,5.7,56.0,10264
West Wollongong,1623.0,405.0,275.0,2294.0,33.6,8.4,5.7,47.5,14255
Keiraville,1421.0,241.0,216.0,1580.0,39.8,6.8,6.1,44.3,12085
Figtree,3696.0,905.0,691.0,5788.0,32.0,7.8,6.0,50.1,11515
Helensburgh,881.0,509.0,460.0,4132.0,13.8,8.0,7.2,64.8,11890
Otford,101.0,45.0,41.0,171.0,27.4,12.2,11.1,46.5,13101
Stanwell Park,287.0,100.0,101.0,853.0,20.3,7.1,7.1,60.2,13653
Stanwell Tops,69.0,41.0,35.0,329.0,13.8,8.2,7.0,65.9,13654
Thirroul,1254.0,576.0,418.0,3528.0,20.6,9.5,6.9,57.9,13848
Austinmer,536.0,251.0,178.0,1435.0,20.9,9.8,7.0,56.0,10108
Coledale,235.0,128.0,69.0,762.0,18.7,10.2,5.5,60.6,10966
Wombarra,199.0,95.0,58.0,487.0,22.8,10.9,6.7,55.9,14363
Scarborough (NSW),65.0,33.0,28.0,173.0,20.8,10.5,8.9,55.3,13500
Coalcliff,52.0,13.0,6.0,109.0,28.0,7.0,3.2,58.6,10944
Woonona,2445.0,1055.0,776.0,7273.0,20.1,8.7,6.4,59.7,14416
Russell Vale,243.0,130.0,85.0,1031.0,15.7,8.4,5.5,66.5,13448
Wollongong,7721.0,1155.0,829.0,6836.0,41.8,6.3,4.5,37.0,14358
Mount Saint Thomas,387.0,148.0,105.0,753.0,26.3,10.1,7.1,51.3,12791
Mangerton,815.0,248.0,150.0,1447.0,28.6,8.7,5.3,50.7,12468
Bulahdelah,158.0,55.0,39.0,1030.0,11.2,3.9,2.8,72.7,10649
Wards River,21.0,5.0,3.0,135.0,11.9,2.8,1.7,76.3,14147
Stroud Road,16.0,8.0,3.0,174.0,7.0,3.5,1.3,76.3,13679
Stroud,80.0,38.0,25.0,734.0,8.5,4.1,2.7,78.3,13677
Girvan,22.0,4.0,4.0,108.0,14.4,2.6,2.6,70.6,11637
Nerong,11.0,3.0,7.0,81.0,10.5,2.9,6.7,77.1,12929
Allworth,16.0,13.0,4.0,125.0,9.4,7.6,2.3,73.1,10041
Bunyah,22.0,3.0,10.0,98.0,15.8,2.2,7.2,70.5,10690
Markwell,9.0,3.0,3.0,89.0,8.1,2.7,2.7,80.2,12493
Booral (NSW),42.0,17.0,15.0,298.0,10.5,4.2,3.7,74.3,10496
Limeburners Creek (Mid-Coast - NSW),33.0,16.0,9.0,240.0,9.7,4.7,2.6,70.6,12328
Forster (NSW),1658.0,833.0,519.0,9565.0,12.1,6.1,3.8,69.6,11550
Green Point (Mid-Coast - NSW),88.0,34.0,26.0,352.0,16.6,6.4,4.9,66.4,11755
Darawank,46.0,18.0,17.0,298.0,11.4,4.5,4.2,74.1,11203
Tarbuck Bay,26.0,10.0,8.0,139.0,13.3,5.1,4.1,70.9,13762
Nabiac,117.0,86.0,50.0,921.0,9.3,6.9,4.0,73.4,12885
Failford,70.0,34.0,15.0,371.0,13.4,6.5,2.9,70.8,11476
Coomba Park,135.0,36.0,28.0,342.0,21.4,5.7,4.4,54.1,11038
Smiths Lake,165.0,86.0,70.0,840.0,13.4,7.0,5.7,68.2,13563
Bungwahl,40.0,11.0,13.0,148.0,17.4,4.8,5.7,64.3,10687
Charlotte Bay,21.0,17.0,9.0,112.0,12.0,9.7,5.1,64.0,10887
Wootton,25.0,10.0,11.0,137.0,12.8,5.1,5.6,70.3,14417
Coolongolook,44.0,16.0,12.0,284.0,11.1,4.0,3.0,71.4,11032
Coomba Bay,32.0,11.0,3.0,70.0,25.0,8.6,2.3,54.7,11037
Minimbah,32.0,13.0,9.0,129.0,15.6,6.3,4.4,62.9,12636
Elizabeth Beach,28.0,21.0,10.0,137.0,12.9,9.7,4.6,63.1,11396
Blueys Beach,19.0,19.0,10.0,131.0,9.9,9.9,5.2,68.6,10420
Boomerang Beach,31.0,27.0,16.0,187.0,10.6,9.2,5.5,63.8,10487
Tuncurry,747.0,347.0,216.0,4334.0,12.1,5.6,3.5,70.0,13969
South Kempsey,157.0,91.0,45.0,1681.0,6.8,4.0,2.0,73.2,13588
West Kempsey,298.0,188.0,113.0,3664.0,6.1,3.8,2.3,74.4,14247
Kempsey,61.0,13.0,7.0,337.0,12.7,2.7,1.5,69.9,12095
Frederickton,106.0,59.0,32.0,1113.0,7.6,4.2,2.3,79.4,11561
Aldavilla,49.0,37.0,21.0,547.0,4.0,3.0,1.7,44.7,10028
Euroka,30.0,22.0,6.0,269.0,8.3,6.1,1.7,74.1,11464
Dondingalong,84.0,32.0,25.0,481.0,12.6,4.8,3.7,72.1,11272
Greenhill (NSW),45.0,23.0,31.0,548.0,6.1,3.1,4.2,74.0,11763
East Kempsey,100.0,56.0,26.0,1036.0,7.4,4.1,1.9,76.6,11354
Verges Creek,15.0,8.0,4.0,184.0,6.3,3.4,1.7,77.6,14072
Yarravel,87.0,51.0,46.0,850.0,7.8,4.6,4.1,76.6,14483
Stuarts Point,91.0,37.0,33.0,546.0,11.9,4.8,4.3,71.4,13681
Barraganyatti,17.0,9.0,8.0,99.0,11.8,6.2,5.6,68.8,10209
Yarrahapinni,26.0,8.0,7.0,123.0,13.6,4.2,3.7,64.4,14474
Hat Head,22.0,16.0,15.0,235.0,7.1,5.2,4.8,75.8,11869
Kinchela,14.0,10.0,4.0,213.0,5.4,3.9,1.6,82.6,12140
Gladstone (NSW),20.0,13.0,6.0,306.0,5.3,3.4,1.6,80.5,11639
Smithtown,22.0,13.0,10.0,496.0,3.7,2.2,1.7,84.4,13564
Mungay Creek,14.0,3.0,11.0,82.0,10.4,2.2,8.1,60.7,12841
Willawarrin,17.0,15.0,13.0,129.0,8.9,7.9,6.8,67.5,14295
Temagog,28.0,14.0,13.0,160.0,11.8,5.9,5.5,67.5,13783
Turners Flat,13.0,3.0,6.0,108.0,8.9,2.1,4.1,74.0,13976
Millbank (NSW),12.0,0.0,8.0,81.0,10.3,0.0,6.8,69.2,12616
