,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Uniting Church,Islam,Latter Day Saints,Buddhism,"Christian, nfd",Baptist,Pentecostal,Judaism,Oriental Orthodox,Sikhism,Jehovah's Witnesses,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Uniting Church (%),Islam (%),Latter Day Saints (%),Buddhism (%),"Christian, nfd (%)",Baptist (%),Pentecostal (%),Judaism (%),Oriental Orthodox (%),Sikhism (%),Jehovah's Witnesses (%)
Cheltenham,393,,558,399,,119,,168,,,,,,,,,,,18.8,,26.6,19.0,,5.7,,8.0,,,,,,,,,,
Cherrybrook,"4,666",,"3,422","2,597",,,,"1,111",,,,,843,,,,,,25.2,,18.5,14.0,,,,6.0,,,,,4.6,,,,,
Chester Hill,"2,735",,"1,326",842,,,,,"1,632",,"1,177",,,,,,,,26.0,,12.6,8.0,,,,,15.5,,11.2,,,,,,,
Chifley,"1,162",161,712,309,,,,,,,71,,,,,,,,37.8,5.2,23.1,10.0,,,,,,,2.3,,,,,,,
Chippendale,456,,239,974,,60,,,,,236,,,,,,,,11.2,,5.9,24.0,,1.5,,,,,5.8,,,,,,,
Chipping Norton,"3,301",849,"1,535",583,,,,,,,336,,,,,,,,38.5,9.9,17.9,6.8,,,,,,,3.9,,,,,,,
Chiswick,839,91,330,339,,,,,,,65,,,,,,,,35.3,3.8,13.9,14.3,,,,,,,2.7,,,,,,,
Chittaway Bay,594,,722,336,,54,,84,,,,,,,,,,,27.9,,33.9,15.8,,2.5,,3.9,,,,,,,,,,
Chittaway Point,224,,232,136,,19,,54,,,,,,,,,,,27.9,,28.9,16.9,,2.4,,6.7,,,,,,,,,,
Church Point,259,,363,249,,33,,37,,,,,,,,,,,22.5,,31.5,21.6,,2.9,,3.2,,,,,,,,,,
Claremont Meadows,"1,087",,811,390,,,122,,108,,,,,,,,,,31.5,,23.5,11.3,,,3.5,,3.1,,,,,,,,,
Claymore,704,,673,332,,,,,,153,,,,146,,,,,21.4,,20.4,10.1,,,,,,4.6,,,,4.4,,,,
Clontarf,413,58,515,270,,67,,,,,,,,,,,,,26.1,3.7,32.6,17.1,,4.2,,,,,,,,,,,,
Clovelly,"1,399",121,800,996,,,,,,,,,,,162,,,,31.6,2.7,18.1,22.5,,,,,,,,,,,3.7,,,
Coal Point,367,,480,258,,72,,207,,,,,,,,,,,21.2,,27.7,14.9,,4.2,,12.0,,,,,,,,,,
Coledale,244,,244,253,,31,,43,,,,,,,,,,,25.3,,25.3,26.3,,3.2,,4.5,,,,,,,,,,
Collaroy,"4,133",,"3,791","2,372",,465,,642,,,,,,,,,,,29.1,,26.7,16.7,,3.3,,4.5,,,,,,,,,,
Colyton,"2,685",255,"1,725",838,,246,,,,,,,,,,,,,34.0,3.2,21.9,10.6,,3.1,,,,,,,,,,,,
Como,"1,054",,"1,014",665,,,,279,,,,,103,,,,,,28.2,,27.1,17.8,,,,7.5,,,,,2.8,,,,,
Concord,"6,399",814,"1,501","1,384",,334,,,,,,,,,,,,,49.2,6.3,11.5,10.6,,2.6,,,,,,,,,,,,
Concord West,"2,656",319,697,559,,,,198,,,,,,,,,,,48.1,5.8,12.6,10.1,,,,3.6,,,,,,,,,,
Condell Park,"3,021","1,526",814,,,,,,"1,838",,764,,,,,,,,29.0,14.7,7.8,,,,,,17.6,,7.3,,,,,,,
Coniston,418,480,238,276,,,,,57,,,,,,,,,,22.2,25.5,12.6,14.7,,,,,3.0,,,,,,,,,
Connells Point,888,483,565,263,,,,110,,,,,,,,,,,31.0,16.9,19.7,9.2,,,,3.8,,,,,,,,,,
Coogee,"3,899",504,"2,048","3,091",,,,,,,,,,,333,,,,29.6,3.8,15.5,23.5,,,,,,,,,,,2.5,,,
Cooks Hill,684,,579,772,,86,,124,,,,,,,,,,,23.3,,19.8,26.3,,2.9,,4.2,,,,,,,,,,
Copacabana,721,,687,507,,64,,124,,,,,,,,,,,27.0,,25.7,19.0,,2.4,,4.6,,,,,,,,,,
Cordeaux Heights,"1,443",619,989,508,,,,281,,,,,,,,,,,28.5,12.2,19.5,10.0,,,,5.5,,,,,,,,,,
Corrimal,"2,157",269,"1,574",731,,,,437,,,,,,,,,,,33.0,4.1,24.1,11.2,,,,6.7,,,,,,,,,,
Cranebrook,"4,335",,"3,578","1,918",,363,,410,,,,,,,,,,,33.1,,27.3,14.6,,2.8,,3.1,,,,,,,,,,
Cremorne,"2,483",,"2,346","2,090",,305,,352,,,,,,,,,,,23.8,,22.5,20.0,,2.9,,3.4,,,,,,,,,,
Cremorne Point,393,,432,362,,47,,62,,,,,,,,,,,21.6,,23.7,19.9,,2.6,,3.4,,,,,,,,,,
Cringila,531,652,124,125,,,,,467,,,,,,,,,,24.3,29.9,5.7,5.7,,,,,21.4,,,,,,,,,
Cromer,"2,233",,"2,173","1,178",,242,,432,,,,,,,,,,,29.2,,28.5,15.4,,3.2,,5.7,,,,,,,,,,
Cronulla,"4,932",,"4,216","2,358",,471,,727,,,,,,,,,,,29.4,,25.2,14.1,,2.8,,4.3,,,,,,,,,,
Croudace Bay,88,,134,61,,,,29,,,,,19,,,,,,22.3,,34.0,15.5,,,,7.4,,,,,4.8,,,,,
Crows Nest,746,,587,830,,74,,86,,,,,,,,,,,23.7,,18.6,26.3,,2.3,,2.7,,,,,,,,,,
Croydon,"3,777",629,"1,038","1,474",,,,,,,422,,,,,,,,39.2,6.5,10.8,15.3,,,,,,,4.4,,,,,,,
Croydon Park,"4,743",797,955,"1,092",,291,,,,,,,,,,,,,45.4,7.6,9.1,10.4,,2.8,,,,,,,,,,,,
Curl Curl,606,,559,422,,63,,120,,,,,,,,,,,28.6,,26.4,19.9,,3.0,,5.7,,,,,,,,,,
Currans Hill,"1,640",,"1,393",634,,126,,147,,,,,,,,,,,33.0,,28.0,12.7,,2.5,,3.0,,,,,,,,,,
Daceyville,449,80,219,102,,,,,47,,,,,,,,,,37.8,6.7,18.4,8.6,,,,,4.0,,,,,,,,,
Daleys Point,126,,170,56,,25,,,,,,,33,,,,,,23.9,,32.2,10.6,,4.7,,,,,,,6.3,,,,,
Dapto,"2,992",,"3,083","1,423",,421,,703,,,,,,,,,,,28.5,,29.4,13.6,,4.0,,6.7,,,,,,,,,,
Darling Point,778,,895,612,,116,,,,,,,,,443,,,,20.2,,23.3,15.9,,3.0,,,,,,,,,11.5,,,
