,Median weekly rent,Median monthly mortgage repayment,Average people per household,Average number of people per bedroom,Median weekly rent (%),Median monthly mortgage repayment (%),Average people per household (%),Average number of people per bedroom (%)
La Perouse,120.0,1868.0,3.0,1.1,--,--,--,--
Lake Haven,185.0,1300.0,2.4,1.1,--,--,--,--
Lake Heights,178.0,1324.0,2.5,1.1,--,--,--,--
Lake Illawarra,150.0,1181.0,2.2,1.1,--,--,--,--
Lakelands,230.0,1323.0,3.1,1.1,--,--,--,--
Lakemba,175.0,1285.0,2.8,1.5,--,--,--,--
Lalor Park,130.0,1500.0,2.5,1.1,--,--,--,--
Lambton,200.0,1400.0,2.4,1.1,--,--,--,--
Lane Cove,295.0,2157.0,2.3,1.1,--,--,--,--
Lane Cove North,280.0,2027.0,2.2,1.1,--,--,--,--
Lane Cove West,315.0,2383.0,2.7,1.1,--,--,--,--
Lapstone,260.0,1600.0,2.6,1.0,--,--,--,--
Lavender Bay,320.0,2500.0,1.8,1.2,--,--,--,--
Leichhardt,340.0,2200.0,2.2,1.1,--,--,--,--
Leonay,290.0,1717.0,2.9,1.1,--,--,--,--
Lethbridge Park,140.0,1212.0,2.8,1.1,--,--,--,--
Leumeah,180.0,1400.0,2.7,1.1,--,--,--,--
Lewisham,235.0,1907.0,2.3,1.1,--,--,--,--
Liberty Grove,365.0,2101.0,2.7,1.2,--,--,--,--
Lidcombe,240.0,1733.0,3.0,1.2,--,--,--,--
Lilli Pilli (Sutherland Shire),450.0,2687.0,3.1,1.0,--,--,--,--
Lilyfield,280.0,2316.0,2.3,1.1,--,--,--,--
Lindfield,331.0,2450.0,2.8,1.1,--,--,--,--
Linley Point,465.0,3325.0,2.8,1.0,--,--,--,--
Lisarow,240.0,1603.0,3.2,1.1,--,--,--,--
Little Bay,117.0,2112.0,2.6,1.1,--,--,--,--
Liverpool,180.0,1400.0,2.7,1.3,--,--,--,--
Loftus,310.0,1897.0,2.9,1.1,--,--,--,--
Long Jetty,190.0,1343.0,2.1,1.1,--,--,--,--
Long Point (Campbelltown),160.0,1517.0,3.1,1.1,--,--,--,--
Longueville,613.0,3800.0,3.2,1.0,--,--,--,--
Lugarno,330.0,2000.0,2.9,1.1,--,--,--,--
Lurnea,200.0,1474.0,2.9,1.2,--,--,--,--
Macquarie Fields,170.0,1400.0,2.9,1.1,--,--,--,--
Macquarie Hills,240.0,1387.0,3.0,1.0,--,--,--,--
Macquarie Links,420.0,2500.0,3.5,1.0,--,--,--,--
Macquarie Park,255.0,1625.0,1.9,1.2,--,--,--,--
Malabar,105.0,2000.0,2.5,1.1,--,--,--,--
Mangerton,135.0,1674.0,2.5,1.1,--,--,--,--
Manly,380.0,2300.0,2.1,1.2,--,--,--,--
Manly Vale,300.0,1958.0,2.3,1.2,--,--,--,--
Marayong,200.0,1517.0,2.8,1.1,--,--,--,--
Mardi,230.0,1700.0,2.8,1.0,--,--,--,--
Marks Point,173.0,1472.0,2.1,1.1,--,--,--,--
Marmong Point,185.0,1148.0,2.2,1.0,--,--,--,--
Maroubra,300.0,2167.0,2.4,1.2,--,--,--,--
Marrickville,225.0,1798.0,2.5,1.2,--,--,--,--
Marsfield,295.0,1931.0,2.4,1.1,--,--,--,--
Maryland (Newcastle),215.0,1317.0,2.9,1.1,--,--,--,--
Maryville,250.0,1322.0,2.2,1.1,--,--,--,--
Mascot,300.0,2037.0,2.7,1.2,--,--,--,--
Matraville,250.0,1952.0,2.8,1.1,--,--,--,--
Mayfield East,190.0,1300.0,2.2,1.1,--,--,--,--
Mayfield West,160.0,1213.0,2.2,1.1,--,--,--,--
Mays Hill,240.0,1764.0,2.7,1.2,--,--,--,--
McMahons Point,369.0,2500.0,1.8,1.1,--,--,--,--
Meadowbank,225.0,1517.0,1.9,1.2,--,--,--,--
Melrose Park,280.0,2000.0,2.9,1.1,--,--,--,--
Menai,290.0,1900.0,3.2,1.1,--,--,--,--
Merewether,220.0,1646.0,2.3,1.1,--,--,--,--
Merewether Heights,320.0,1733.0,2.7,1.0,--,--,--,--
Merrylands,220.0,1600.0,2.8,1.3,--,--,--,--
Merrylands West,210.0,1517.0,2.6,1.2,--,--,--,--
Middle Cove,571.0,3000.0,2.9,1.1,--,--,--,--
