,Less than $650 gross weekly income,More than $3000 gross weekly income,Less than $650 gross weekly income (%),More than $3000 gross weekly income (%),SSC_CODE
Box Hill (NSW),--,--,14.9,27.6,10539
Blacktown,--,--,17.9,12.0,10397
Kings Park (NSW),--,--,11.6,16.8,12150
Acacia Gardens,--,--,6.1,32.7,10014
Quakers Hill,--,--,9.8,21.7,13286
Marayong,--,--,20.9,13.0,12485
Woodcroft (NSW),--,--,8.7,29.4,14381
Bungarribee,--,--,1.1,32.0,10682
Doonside,--,--,21.1,10.8,11275
Seven Hills (NSW),--,--,19.3,16.0,13518
Lalor Park,--,--,26.4,9.9,12261
Kings Langley,--,--,10.9,27.7,12149
Toongabbie (NSW),--,--,15.4,17.5,13907
Prospect (NSW),--,--,13.8,18.8,13266
Glenwood (NSW),--,--,6.8,35.6,11682
Parklea,--,--,3.8,32.9,13153
Stanhope Gardens,--,--,11.2,32.4,13649
Kellyville Ridge,--,--,4.0,37.7,12089
The Ponds,--,--,4.5,40.2,13835
Riverstone,--,--,15.9,17.8,13368
Schofields,--,--,10.2,22.0,13502
Shanes Park,--,--,20.6,27.5,13524
Marsden Park,--,--,25.8,13.5,12505
Colebee,--,--,3.0,43.6,10965
Bidwill (NSW),--,--,38.5,3.4,10340
Hebersham,--,--,22.6,8.0,11886
Dharruk,--,--,19.4,7.7,11248
Blackett,--,--,27.9,6.0,10392
Emerton,--,--,28.8,6.1,11413
Glendenning,--,--,7.4,15.3,11659
Dean Park,--,--,14.7,12.3,11224
Plumpton (NSW),--,--,10.2,19.3,13230
Hassall Grove,--,--,9.8,14.8,11866
Shalvey,--,--,25.1,7.0,13523
Willmot,--,--,30.9,5.5,14302
Tregear,--,--,29.3,5.1,13934
Lethbridge Park,--,--,30.1,5.5,12307
Ropes Crossing,--,--,9.3,15.8,13397
Mount Druitt,--,--,20.2,8.0,12756
Whalan,--,--,29.2,5.2,14266
Eastern Creek,--,--,14.6,9.6,11366
Minchinbury,--,--,9.8,22.5,12633
Rooty Hill,--,--,12.8,16.2,13395
Botany,--,--,14.2,26.6,10517
Mascot,--,--,15.4,26.1,12519
Eastlakes,--,--,32.4,9.3,11368
Rosebery (NSW),--,--,16.1,23.1,13405
Pagewood,--,--,20.1,29.0,13125
Daceyville,--,--,56.3,8.6,11185
Hillsdale,--,--,18.9,9.6,11911
Eastgardens,--,--,21.2,29.0,11367
Matraville,--,--,20.7,24.7,12524
Marrickville,--,--,16.3,23.8,12504
Petersham,--,--,13.6,29.9,13190
Dulwich Hill,--,--,14.6,22.8,11303
Newtown (NSW),--,--,13.5,30.5,12960
Lewisham (NSW),--,--,15.9,28.5,12313
Stanmore (NSW),--,--,11.3,32.9,13650
Camperdown (NSW),--,--,28.0,26.5,10781
St Peters (NSW),--,--,10.1,33.2,13644
Sydenham (NSW),--,--,17.2,25.1,13714
Tempe,--,--,14.8,27.4,13785
Darlinghurst,--,--,13.2,35.3,11212
Erskineville,--,--,9.7,39.3,11439
Alexandria,--,--,8.4,37.5,10030
Glebe (NSW),--,--,24.9,25.5,11641
Forest Lodge,--,--,17.8,34.7,11546
Annandale (NSW),--,--,12.5,39.9,10061
Darlington (Sydney - NSW),--,--,41.8,22.4,11214
Potts Point,--,--,13.1,26.4,13256
Elizabeth Bay,--,--,11.4,32.0,11395
Sydney,--,--,15.8,27.3,13715
Woolloomooloo,--,--,23.1,29.8,14406
Rushcutters Bay,--,--,13.0,24.8,13444
Pyrmont,--,--,11.6,37.3,13284
Ultimo,--,--,33.0,15.1,14006
Redfern,--,--,26.3,28.7,13339
Eveleigh,--,--,16.7,23.1,11471
Chippendale,--,--,34.4,16.4,10907
Surry Hills,--,--,17.6,34.5,13699
Haymarket,--,--,23.4,16.4,11877
Dawes Point,--,--,3.9,69.3,11222
Millers Point,--,--,10.9,50.6,12619
Barangaroo,--,--,9.8,62.7,10191
Balmain East,--,--,14.1,43.8,10165
The Rocks (Sydney - NSW),--,--,6.6,55.0,13840
Waterloo (NSW),--,--,31.9,23.0,14183
Zetland,--,--,23.7,24.9,14524
Beaconsfield (NSW),--,--,8.5,35.2,10239
Bronte,--,--,9.8,45.2,10594
Tamarama,--,--,8.8,54.7,13741
Bondi,--,--,14.1,35.1,10464
Bondi Beach,--,--,11.6,36.7,10465
North Bondi,--,--,10.9,42.5,12984
Waverley (NSW),--,--,14.7,35.9,14200
Bondi Junction,--,--,15.0,32.6,10467
Queens Park (NSW),--,--,13.4,47.4,13294
Centennial Park (NSW),--,--,13.1,29.2,10873
Darling Point,--,--,9.3,49.7,11211
Edgecliff,--,--,12.5,36.4,11379
Double Bay,--,--,11.6,43.8,11281
Bellevue Hill,--,--,8.8,48.6,10271
Rose Bay (NSW),--,--,11.9,38.4,13398
Paddington (NSW),--,--,11.1,45.5,13115
Point Piper,--,--,7.3,55.9,13233
Vaucluse,--,--,10.4,46.7,14071
Dover Heights,--,--,9.1,50.3,11284
Watsons Bay,--,--,12.1,46.1,14187
Woollahra,--,--,11.7,45.6,14404
Clovelly,--,--,10.1,46.7,10938
South Coogee,--,--,32.9,31.4,13579
Coogee (NSW),--,--,10.0,38.7,11015
La Perouse,--,--,20.0,19.1,12230
Little Bay,--,--,18.9,30.1,12349
Malabar,--,--,28.4,28.1,12453
Chifley (NSW),--,--,21.2,27.0,10901
Phillip Bay,--,--,18.2,29.3,13193
Kensington (NSW),--,--,23.0,22.6,12099
Kingsford (NSW),--,--,28.8,18.9,12156
Maroubra,--,--,20.6,25.7,12501
Randwick,--,--,12.9,33.1,13312
Georges Hall,--,--,17.2,16.8,11601
Bass Hill,--,--,24.9,12.2,10224
Yagoona,--,--,25.3,10.7,14453
Villawood,--,--,40.6,5.9,14074
Greenacre,--,--,25.7,12.4,11757
Potts Hill,--,--,8.4,28.8,13255
Milperra,--,--,12.9,20.1,12625
Revesby,--,--,20.8,16.7,13355
Condell Park,--,--,20.7,14.9,11001
Bankstown,--,--,25.9,8.1,10180
Mount Lewis,--,--,24.8,16.8,12774
Punchbowl (Canterbury-Bankstown - NSW),--,--,26.1,9.3,13273
Padstow,--,--,19.9,17.2,13120
Padstow Heights,--,--,22.2,19.5,13121
Panania,--,--,19.2,19.7,13144
East Hills,--,--,24.5,19.2,11351
Picnic Point,--,--,13.5,27.9,13199
Revesby Heights,--,--,11.0,30.0,13356
Birrong,--,--,22.3,13.8,10379
Belmore,--,--,23.2,9.6,10279
Belfield,--,--,21.8,15.5,10257
Campsie,--,--,22.3,8.8,10782
Canterbury (NSW),--,--,16.2,15.3,10797
Clemton Park,--,--,24.0,16.5,10928
Earlwood,--,--,15.8,25.2,11343
Kingsgrove,--,--,19.7,19.9,12158
Riverwood,--,--,34.1,9.6,13371
Roselands,--,--,21.5,13.7,13409
Beverly Hills,--,--,18.3,18.2,10331
Narwee,--,--,25.4,13.1,12912
Lakemba,--,--,26.2,5.4,12257
Wiley Park,--,--,24.2,4.9,14293
Hurstville,--,--,22.1,13.3,11964
Carlton (NSW),--,--,17.6,17.2,10819
Penshurst (NSW),--,--,16.8,18.0,13186
Oatley,--,--,11.8,33.4,13064
Mortdale,--,--,14.2,19.9,12728
Peakhurst,--,--,21.2,19.0,13168
Hurstville Grove,--,--,11.1,31.4,11965
Lugarno,--,--,11.4,33.4,12421
Peakhurst Heights,--,--,15.5,26.3,13169
South Hurstville,--,--,17.4,16.2,13587
Blakehurst,--,--,14.4,32.4,10403
Kyle Bay,--,--,7.9,41.0,12227
Connells Point,--,--,11.3,36.0,11013
Carss Park,--,--,20.3,33.0,10837
Arncliffe,--,--,19.6,19.2,10086
Wolli Creek,--,--,13.9,20.6,14353
Turrella,--,--,16.1,19.6,13982
Bardwell Valley,--,--,20.8,23.1,10196
Bardwell Park,--,--,14.0,28.3,10195
Bexley,--,--,18.1,17.0,10334
Kogarah,--,--,16.8,15.2,12181
Bexley North,--,--,22.2,21.1,10335
Allawah,--,--,17.8,12.0,10038
Beverley Park,--,--,16.0,24.8,10330
Kogarah Bay,--,--,13.2,31.9,12182
Kyeemagh,--,--,23.0,19.1,12226
Brighton-le-Sands,--,--,20.6,15.0,10569
Rockdale,--,--,15.8,15.8,13379
Monterey,--,--,18.2,17.8,12686
Banksia,--,--,15.9,22.8,10178
Sandringham (NSW),--,--,15.9,25.7,13478
Dolls Point,--,--,16.4,12.8,11267
Sans Souci,--,--,21.0,19.9,13489
Ramsgate,--,--,14.9,20.6,13309
Ramsgate Beach,--,--,23.7,12.7,13310
Concord,--,--,14.5,32.0,10999
Breakfast Point,--,--,11.5,34.4,10557
Cabarita (NSW),--,--,10.0,42.3,10736
Mortlake (NSW),--,--,10.6,34.3,12729
North Strathfield,--,--,12.7,26.6,13009
Concord West,--,--,15.3,30.8,11000
Sydney Olympic Park,--,--,18.0,18.3,13716
Liberty Grove,--,--,7.7,30.4,12315
Rhodes,--,--,21.0,21.1,13358
Drummoyne,--,--,12.4,39.2,11293
Russell Lea,--,--,15.6,34.7,13447
Rodd Point,--,--,12.8,40.8,13391
Abbotsford (NSW),--,--,17.5,32.2,10003
Chiswick,--,--,11.3,34.3,10910
Five Dock,--,--,17.6,32.0,11530
Canada Bay,--,--,15.2,29.3,10785
Wareemba,--,--,17.0,33.1,14148
Balmain,--,--,14.0,45.0,10164
Birchgrove,--,--,8.3,52.2,10374
Woolwich,--,--,7.6,51.8,14412
Leichhardt (NSW),--,--,12.9,36.9,12297
Lilyfield,--,--,18.5,39.9,12325
Rozelle,--,--,8.3,48.3,13435
Hurlstone Park,--,--,16.9,24.2,11963
Ashbury,--,--,13.0,33.1,10093
Burwood (NSW),--,--,24.6,16.6,10718
Croydon (NSW),--,--,17.2,27.0,11134
Strathfield (NSW),--,--,16.5,28.4,13675
Croydon Park (NSW),--,--,18.5,20.5,11135
Enfield (NSW),--,--,19.1,17.9,11421
Burwood Heights,--,--,17.8,23.3,10719
Haberfield,--,--,15.3,36.5,11828
Homebush West,--,--,16.0,13.9,11930
Homebush (NSW),--,--,13.0,20.8,11929
Strathfield South,--,--,15.9,22.7,13676
Chatswood,--,--,17.8,27.2,10892
North Willoughby,--,--,14.3,36.0,13016
Willoughby (NSW),--,--,12.0,44.2,14303
Artarmon,--,--,14.8,34.2,10090
Roseville,--,--,9.4,47.7,13412
Lane Cove North,--,--,11.9,30.6,12267
Chatswood West,--,--,11.1,43.6,10893
Lane Cove West,--,--,11.9,42.3,12268
Lane Cove,--,--,12.6,34.3,12266
Riverview (NSW),--,--,7.3,59.7,13370
Greenwich,--,--,8.5,44.2,11770
Northwood (NSW),--,--,5.6,66.1,13024
Longueville,--,--,7.1,66.6,12385
Linley Point,--,--,7.2,59.8,12341
St Leonards (NSW),--,--,8.2,37.8,13642
Naremburn,--,--,10.8,45.2,12898
Cammeray,--,--,10.6,40.2,10778
Castle Cove,--,--,9.4,47.8,10845
Castlecrag,--,--,8.4,61.0,10849
Northbridge (NSW),--,--,8.4,53.4,13022
Middle Cove,--,--,9.0,52.7,12602
Willoughby East,--,--,10.3,56.5,14304
Hornsby Heights,--,--,9.0,33.0,11937
Mount Colah,--,--,9.0,34.2,12750
Asquith,--,--,12.0,28.5,10103
Hornsby,--,--,16.3,18.6,11936
Mount Kuring-Gai,--,--,13.5,26.7,12772
Cowan,--,--,14.1,24.3,11097
Berowra,--,--,9.1,34.6,10308
Brooklyn (NSW),--,--,14.2,22.0,10599
Berowra Heights,--,--,9.5,29.3,10310
Dangar Island,--,--,23.2,16.2,11199
Normanhurst,--,--,17.8,33.4,12976
Thornleigh,--,--,11.3,34.8,13850
Westleigh,--,--,8.6,39.1,14260
Wahroonga,--,--,10.5,43.5,14085
Waitara,--,--,16.6,19.3,14086
East Killara,--,--,13.4,43.4,11355
Killara (NSW),--,--,11.6,43.6,12129
Lindfield,--,--,12.1,43.5,12339
Gordon (NSW),--,--,13.4,38.8,11718
East Lindfield,--,--,10.5,50.6,11357
Roseville Chase,--,--,5.7,50.7,13413
Pymble,--,--,8.1,51.2,13281
West Pymble,--,--,11.1,47.9,14250
St Ives (NSW),--,--,10.7,42.4,13639
St Ives Chase,--,--,7.3,48.8,13640
Turramurra,--,--,10.8,45.3,13980
South Turramurra,--,--,9.3,43.5,13598
North Turramurra,--,--,14.5,34.8,13013
Warrawee,--,--,7.8,50.6,14165
North Wahroonga,--,--,8.7,46.2,13015
Cremorne Point,--,--,10.1,46.0,11113
Cremorne (NSW),--,--,11.4,39.5,11112
Neutral Bay,--,--,10.4,37.3,12934
Crows Nest (NSW),--,--,8.7,38.0,11131
Wollstonecraft,--,--,9.3,40.4,14359
Waverton,--,--,10.8,40.7,14202
North Sydney,--,--,9.5,36.3,13010
Mosman,--,--,10.7,44.9,12738
Kirribilli,--,--,17.4,37.0,12173
Kurraba Point,--,--,6.5,48.5,12217
Milsons Point,--,--,7.7,50.7,12629
McMahons Point,--,--,8.6,40.5,12547
Lavender Bay,--,--,16.5,38.0,12285
Seaforth (NSW),--,--,8.4,54.2,13509
Balgowlah Heights,--,--,7.7,58.8,10154
Clontarf (NSW),--,--,7.7,59.9,10935
Balgowlah,--,--,11.6,36.3,10153
Manly (NSW),--,--,12.4,42.8,12475
Fairlight,--,--,9.5,44.4,11482
Avalon Beach,--,--,11.7,33.6,10111
Palm Beach (NSW),--,--,11.3,37.3,13132
Whale Beach,--,--,14.1,41.3,14267
Clareville,--,--,10.5,40.5,10923
Scotland Island,--,--,6.9,24.0,13505
Elanora Heights,--,--,9.6,39.9,11389
Ingleside,--,--,12.2,34.1,11979
Bayview (NSW),--,--,24.6,28.8,10237
Church Point,--,--,8.8,44.2,10915
Lovett Bay,--,--,28.6,39.3,12397
Mona Vale,--,--,13.2,30.3,12672
Newport (NSW),--,--,13.8,31.6,12956
Bilgola Plateau,--,--,9.6,36.2,10351
Bilgola Beach,--,--,13.3,55.4,10350
Warriewood,--,--,10.0,30.1,14173
North Narrabeen,--,--,11.6,32.2,12999
Beacon Hill,--,--,9.2,36.4,10238
Narraweena,--,--,24.8,23.7,12910
Cromer (NSW),--,--,15.5,28.5,11118
Oxford Falls,--,--,21.2,39.4,13106
Dee Why,--,--,14.1,17.8,11227
North Curl Curl,--,--,8.0,46.2,12988
Forestville (NSW),--,--,17.2,36.2,11548
Killarney Heights,--,--,11.0,44.5,12130
Frenchs Forest,--,--,9.8,40.1,11568
Belrose,--,--,13.6,35.0,10283
Davidson,--,--,9.1,43.3,11219
Curl Curl,--,--,12.5,45.5,11167
Freshwater (NSW),--,--,9.5,34.6,11569
Manly Vale,--,--,13.0,25.4,12476
North Manly,--,--,10.9,43.6,12997
Queenscliff (NSW),--,--,9.2,37.8,13296
Brookvale,--,--,13.4,20.8,10601
Allambie Heights,--,--,16.5,36.4,10036
North Balgowlah,--,--,9.9,51.4,12981
Narrabeen,--,--,17.9,20.3,12902
Collaroy (NSW),--,--,12.4,31.2,10970
Collaroy Plateau,--,--,7.8,40.0,10971
Wheeler Heights,--,--,9.6,34.0,14268
Terrey Hills,--,--,9.4,39.5,13804
Duffys Forest,--,--,5.9,55.1,11301
Ellis Lane,--,--,6.6,34.9,11405
Grasmere,--,--,27.4,24.2,11739
Camden,--,--,25.5,14.9,10770
Camden Park (NSW),--,--,5.8,43.9,10772
Cawdor (NSW),--,--,9.9,30.6,10863
Camden South,--,--,12.3,19.1,10773
Harrington Park,--,--,6.9,34.7,11859
Elderslie (Camden - NSW),--,--,11.7,22.1,11391
Narellan,--,--,16.2,12.9,12896
Kirkham,--,--,6.4,48.4,12171
Mount Annan,--,--,7.0,26.4,12745
Currans Hill,--,--,10.2,16.7,11175
Gregory Hills,--,--,3.6,27.2,11774
Narellan Vale,--,--,9.6,21.1,12897
Spring Farm (NSW),--,--,6.1,20.8,13612
Airds,--,--,47.2,1.9,10022
Bradbury (NSW),--,--,17.5,9.7,10543
St Helens Park,--,--,12.7,12.2,13637
Wedderburn (NSW),--,--,7.5,29.3,14209
Woodbine (NSW),--,--,14.5,14.7,14378
Campbelltown (NSW),--,--,24.9,8.3,10780
Blair Athol (NSW),--,--,8.7,29.5,10400
Raby,--,--,10.1,16.4,13303
Eagle Vale,--,--,13.7,13.5,11341
Eschol Park,--,--,11.6,13.2,11441
Blairmount,--,--,7.3,17.3,10401
Kearns,--,--,9.9,20.5,12079
Claymore,--,--,46.0,2.1,10924
Holsworthy,--,--,6.3,25.7,11926
Ingleburn,--,--,17.6,11.9,11978
Macquarie Links,--,--,7.9,41.8,12435
Denham Court,--,--,24.4,27.6,11235
Bardia,--,--,4.5,21.8,10194
Edmondson Park,--,--,6.3,28.8,11383
Ruse,--,--,13.0,14.0,13443
Kentlyn,--,--,15.6,32.4,12101
Minto Heights,--,--,11.2,33.7,12643
Macquarie Fields,--,--,23.8,7.7,12433
Glenfield (NSW),--,--,14.4,17.1,11664
Long Point (Campbelltown - NSW),--,--,14.8,24.6,12381
St Andrews (NSW),--,--,14.4,14.6,13631
Bow Bowing,--,--,10.3,17.0,10526
Minto,--,--,19.7,10.8,12642
Ambarvale,--,--,19.4,9.4,10049
Menangle Park,--,--,16.2,9.5,12569
Gilead,--,--,28.6,5.6,11617
Glen Alpine,--,--,7.5,37.5,11645
Englorie Park,--,--,15.8,9.0,11423
Yanderra,--,--,10.9,15.3,14461
Douglas Park,--,--,9.1,22.6,11283
Razorback,--,--,6.4,36.0,13328
Appin (NSW),--,--,8.7,20.6,10063
Menangle,--,--,18.8,24.2,12568
Picton (NSW),--,--,14.9,25.1,13200
Tahmoor,--,--,19.3,11.3,13727
Buxton (NSW),--,--,11.9,16.1,10726
Thirlmere,--,--,17.6,13.8,13847
Lakesland,--,--,10.5,29.8,12258
Werombi,--,--,10.9,28.5,14232
Orangeville,--,--,7.7,37.4,13094
Belimbla Park,--,--,13.3,23.3,10261
Mount Hunter,--,--,7.9,23.6,12765
Brownlow Hill,--,--,11.3,35.2,10609
Theresa Park,--,--,11.1,29.6,13845
Silverdale (NSW),--,--,8.7,27.4,13544
Oakdale (NSW),--,--,14.4,18.7,13054
Blackheath,--,--,26.5,8.3,10393
Mount Victoria,--,--,28.9,4.2,12797
Glenbrook,--,--,11.8,32.2,11656
Blaxland (NSW),--,--,14.2,23.3,10407
Warrimoo,--,--,8.6,24.8,14174
Lapstone,--,--,9.2,26.5,12276
Mount Riverview,--,--,9.2,23.7,12788
Yarramundi,--,--,8.9,34.0,14477
Katoomba,--,--,32.2,6.0,12077
Leura,--,--,25.0,12.3,12309
Medlow Bath,--,--,23.8,5.8,12553
Linden (NSW),--,--,12.7,23.6,12335
Woodford (NSW),--,--,15.7,15.7,14383
Hazelbrook,--,--,19.3,11.9,11881
Lawson (NSW),--,--,23.7,9.7,12289
Bullaburra,--,--,18.4,10.4,10656
Faulconbridge,--,--,12.6,19.6,11496
Winmalee,--,--,11.5,19.9,14334
Hawkesbury Heights,--,--,13.3,29.6,11872
Yellow Rock (Blue Mountains - NSW),--,--,7.2,32.2,14502
Springwood (NSW),--,--,17.6,17.9,13629
Valley Heights,--,--,13.3,19.8,14069
Sun Valley (NSW),--,--,9.9,32.4,13691
Wentworth Falls,--,--,21.9,13.0,14226
Werrington Downs,--,--,11.1,16.9,14237
Cambridge Park,--,--,15.8,10.5,10768
Werrington County,--,--,11.3,14.6,14236
Cambridge Gardens,--,--,14.5,15.0,10767
Cranebrook,--,--,12.1,18.9,11105
Llandilo,--,--,10.9,24.2,12363
Castlereagh,--,--,14.6,28.5,10850
Penrith,--,--,27.6,8.8,13184
Jordan Springs,--,--,5.9,23.5,12042
Emu Plains,--,--,17.6,18.6,11418
Leonay,--,--,8.2,30.0,12304
Emu Heights (NSW),--,--,10.4,25.0,11417
Glenmore Park,--,--,7.5,27.5,11670
Regentville,--,--,14.9,19.4,13346
Jamisontown,--,--,18.9,11.1,12000
South Penrith,--,--,15.5,14.2,13596
Kingswood (Penrith - NSW),--,--,23.5,7.4,12163
Caddens,--,--,8.6,23.9,10743
Claremont Meadows,--,--,9.1,21.0,10918
Wallacia,--,--,21.9,23.6,14101
Mulgoa,--,--,7.5,34.5,12814
Luddenham,--,--,9.0,35.3,12419
Badgerys Creek,--,--,16.1,17.7,10132
Orchard Hills,--,--,12.1,30.8,13095
Warragamba,--,--,16.9,8.5,14158
Richmond (NSW),--,--,27.2,8.9,13360
North Richmond,--,--,18.0,13.4,13002
Agnes Banks,--,--,11.9,28.1,10021
Hobartville (NSW),--,--,17.5,9.9,11917
Windsor (NSW),--,--,21.4,16.0,14325
Bligh Park,--,--,12.6,14.7,10411
Windsor Downs,--,--,6.5,39.8,14326
Londonderry (NSW),--,--,10.5,22.8,12375
Berkshire Park,--,--,16.8,21.6,10305
Erskine Park,--,--,8.6,26.2,11438
St Clair (Penrith - NSW),--,--,10.2,18.2,13632
Colyton,--,--,16.9,10.2,10987
St Marys (NSW),--,--,22.6,6.7,13643
North St Marys,--,--,25.5,6.9,13007
Silverwater (Parramatta - NSW),--,--,14.1,12.8,13547
Newington (NSW),--,--,8.6,34.8,12953
Lidcombe,--,--,17.8,18.0,12316
Wentworth Point,--,--,10.1,18.9,14227
Auburn (NSW),--,--,22.9,10.3,10106
Berala,--,--,21.3,12.3,10299
Regents Park (NSW),--,--,23.6,10.8,13345
Carlingford,--,--,14.5,23.6,10818
Beecroft,--,--,9.6,43.7,10249
Epping (NSW),--,--,14.6,28.1,11428
Rydalmere,--,--,19.7,18.0,13453
Parramatta,--,--,14.3,17.0,13156
Ermington,--,--,20.9,19.4,11435
Dundas (NSW),--,--,15.9,18.2,11312
Melrose Park (NSW),--,--,13.7,32.5,12563
Telopea,--,--,27.4,13.1,13782
Oatlands (NSW),--,--,14.1,27.4,13063
Dundas Valley,--,--,21.9,19.7,11313
Chester Hill,--,--,27.9,10.1,10899
Sefton,--,--,23.8,12.9,13516
Carramar (NSW),--,--,32.0,5.3,10826
Old Guildford,--,--,21.0,11.3,13077
Fairfield East,--,--,29.0,10.0,11478
Yennora,--,--,42.3,6.8,14506
Fairfield (NSW),--,--,29.0,6.5,11477
Merrylands,--,--,22.8,11.3,12588
Granville (NSW),--,--,22.3,10.0,11738
Guildford (NSW),--,--,26.7,8.8,11790
Pemulwuy,--,--,7.3,33.5,13181
Greystanes,--,--,15.8,18.1,11781
South Granville,--,--,33.6,7.5,13583
Merrylands West,--,--,27.9,9.8,12589
Guildford West,--,--,18.8,11.3,11791
Woodpark,--,--,14.7,13.5,14390
South Wentworthville,--,--,18.5,16.3,13599
Holroyd,--,--,10.7,17.2,11925
Smithfield (NSW),--,--,26.5,9.7,13559
North Parramatta,--,--,19.5,14.8,13001
North Rocks,--,--,9.2,30.2,13003
Westmead,--,--,13.8,18.5,14261
Wentworthville,--,--,15.9,17.6,14228
Winston Hills,--,--,13.9,27.1,14335
Rosehill (NSW),--,--,14.8,11.4,13408
Harris Park,--,--,16.4,11.5,11860
Old Toongabbie,--,--,16.0,19.9,13081
Constitution Hill,--,--,21.5,13.6,11014
Girraween (NSW),--,--,15.1,18.3,11636
Mays Hill,--,--,16.8,17.8,12538
North Epping,--,--,9.5,40.8,12990
Cheltenham (NSW),--,--,6.7,52.3,10896
Pennant Hills,--,--,10.8,34.8,13183
Denistone,--,--,10.0,35.9,11238
Eastwood (NSW),--,--,19.3,22.1,11369
Denistone East,--,--,11.6,30.2,11239
Denistone West,--,--,11.5,33.7,11240
Gladesville,--,--,16.6,29.9,11638
Tennyson Point,--,--,10.6,45.3,13790
Huntleys Point,--,--,7.5,52.5,11961
Henley,--,--,5.3,48.1,11891
Huntleys Cove,--,--,13.1,33.7,11960
Hunters Hill,--,--,14.1,46.3,11954
Macquarie Park,--,--,19.1,15.6,12437
Marsfield,--,--,20.8,19.8,12506
North Ryde,--,--,16.8,32.0,13005
Ryde,--,--,17.7,22.3,13454
East Ryde,--,--,11.9,42.6,11361
Meadowbank (NSW),--,--,13.8,17.4,12550
West Ryde,--,--,16.2,19.4,14251
Putney,--,--,11.6,40.6,13277
Busby,--,--,28.5,6.2,10720
Heckenberg,--,--,29.6,8.7,11887
Miller,--,--,43.2,3.9,12617
Ashcroft,--,--,34.9,5.2,10097
Sadleir,--,--,35.1,5.8,13461
Austral,--,--,21.7,15.4,10109
Rossmore (NSW),--,--,16.7,18.7,13420
Kemps Creek,--,--,17.3,17.1,12094
Bringelly,--,--,15.9,24.0,10575
Greendale (Liverpool - NSW),--,--,17.4,19.8,11759
Cecil Park,--,--,9.0,30.5,10866
Cecil Hills,--,--,9.0,29.5,10865
Catherine Field,--,--,12.4,24.2,10856
Leppington,--,--,18.0,17.9,12305
Cobbitty,--,--,11.9,28.4,10954
Oran Park,--,--,7.4,23.8,13091
Green Valley (NSW),--,--,15.2,15.3,11756
Elizabeth Hills,--,--,6.4,24.1,11397
Hinchinbrook (NSW),--,--,11.1,17.8,11915
Hoxton Park,--,--,13.2,16.5,11951
Carnes Hill,--,--,8.8,27.6,10820
Horningsea Park,--,--,8.8,22.6,11935
Middleton Grange,--,--,7.2,21.9,12607
West Hoxton,--,--,7.9,27.0,14246
Bonnyrigg Heights,--,--,13.4,19.6,10472
Bonnyrigg,--,--,24.6,11.1,10471
Bossley Park,--,--,16.8,16.0,10515
Abbotsbury,--,--,9.1,30.6,10002
Cabramatta,--,--,30.8,6.3,10740
Lansvale,--,--,20.4,11.0,12275
Canley Vale,--,--,30.0,9.1,10792
Mount Pritchard,--,--,24.7,10.7,12785
Cabramatta West,--,--,23.6,11.6,10741
Canley Heights,--,--,22.5,11.6,10791
Edensor Park,--,--,15.4,18.7,11377
Fairfield West,--,--,19.9,11.4,11480
Fairfield Heights,--,--,25.8,7.8,11479
Greenfield Park,--,--,16.7,16.0,11761
Prairiewood,--,--,20.8,13.9,13258
Horsley Park,--,--,18.2,26.0,11943
Mount Vernon,--,--,9.5,40.3,12796
Wetherill Park,--,--,17.1,16.3,14264
Wakeley,--,--,18.0,14.0,14089
St Johns Park,--,--,16.2,16.0,13641
Casula,--,--,17.1,16.5,10852
Moorebank,--,--,13.1,22.0,12712
Chipping Norton,--,--,12.7,21.6,10908
Voyager Point,--,--,4.8,45.5,14079
Wattle Grove (NSW),--,--,7.2,25.5,14192
Hammondville,--,--,17.1,16.1,11844
Sandy Point (NSW),--,--,5.9,35.3,13487
Pleasure Point,--,--,7.4,40.0,13229
Warwick Farm,--,--,32.4,5.3,14177
Cartwright,--,--,43.9,4.7,10838
Lurnea,--,--,27.4,6.9,12422
Prestons,--,--,9.2,22.8,13260
Gymea Bay,--,--,9.6,40.9,11827
Gymea,--,--,16.7,21.5,11826
Grays Point,--,--,6.9,42.2,11743
Miranda (NSW),--,--,19.5,17.4,12645
Yowie Bay,--,--,11.0,40.6,14519
Taren Point,--,--,21.0,20.8,13766
Caringbah,--,--,20.1,17.2,10815
Sylvania Waters,--,--,12.4,28.4,13718
Sylvania,--,--,18.1,22.1,13717
Kangaroo Point (NSW),--,--,8.7,57.8,12060
Caringbah South,--,--,13.6,35.4,10816
Dolans Bay,--,--,9.2,46.0,11266
Kurnell,--,--,14.3,19.4,12216
Greenhills Beach,--,--,2.3,67.2,11764
Cronulla,--,--,14.0,22.5,11119
Bundeena,--,--,16.5,19.0,10672
Maianbar,--,--,11.5,28.7,12443
Woolooware,--,--,13.4,28.4,14410
Lilli Pilli (Sutherland Shire - NSW),--,--,5.5,54.4,12322
Port Hacking,--,--,7.3,49.0,13244
Burraneer,--,--,9.4,47.5,10705
Heathcote (NSW),--,--,15.6,22.8,11883
Waterfall,--,--,9.9,19.7,14182
Illawong,--,--,8.3,39.1,11974
Alfords Point,--,--,6.0,42.9,10031
Barden Ridge,--,--,6.2,43.5,10193
Menai,--,--,10.4,31.6,12567
Bangor (NSW),--,--,10.3,34.3,10177
Woronora,--,--,10.4,35.1,14420
Bonnet Bay,--,--,8.1,44.3,10469
