,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%)
Holsworthy,47.0,511.0,651.0,196.0,22.0,3.3,35.8,45.6,13.7,1.5
Homebush (NSW),277.0,937.0,485.0,163.0,35.0,14.6,49.4,25.6,8.6,1.8
Homebush West,360.0,1140.0,433.0,86.0,70.0,17.2,54.6,20.7,4.1,3.4
Horningsea Park,30.0,214.0,545.0,216.0,13.0,2.9,21.0,53.5,21.2,1.3
Hornsby,1192.0,3898.0,1847.0,499.0,172.0,15.7,51.2,24.3,6.6,2.3
Hornsby Heights,45.0,587.0,989.0,379.0,23.0,2.2,29.0,48.9,18.7,1.1
Horsley,47.0,610.0,1033.0,485.0,26.0,2.1,27.7,46.9,22.0,1.2
Hoxton Park,42.0,313.0,564.0,242.0,20.0,3.6,26.5,47.8,20.5,1.7
Hunters Hill,239.0,923.0,1129.0,497.0,75.0,8.3,32.2,39.4,17.4,2.6
Huntleys Point,4.0,10.0,20.0,17.0,0.0,7.8,19.6,39.2,33.3,0.0
Hurlstone Park,247.0,817.0,493.0,160.0,47.0,14.0,46.3,27.9,9.1,2.7
Hurstville,1801.0,4017.0,2028.0,654.0,250.0,20.6,45.9,23.2,7.5,2.9
Hurstville Grove,34.0,226.0,304.0,178.0,13.0,4.5,29.9,40.3,23.6,1.7
Illawong,28.0,317.0,973.0,833.0,24.0,1.3,14.6,44.7,38.3,1.1
Ingleburn,533.0,2086.0,1468.0,650.0,145.0,10.9,42.7,30.1,13.3,3.0
