,"Car, as driver","Car, as passenger","Train, car as driver",Train,Truck,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Bus,Ferry,Walked only,Bicycle,"Train, bus",Motorbike/scooter,"Bus, car as driver",Other,"Car as driver, motorbike/scooter","Car as driver, car as passenger","Train, ferry",Taxi,"Train, car as passenger","Bus, other",Tram,"Ferry, car as driver","Car as driver, other","Bus, ferry","Car, as driver (%)","Car, as passenger (%)","Train, car as driver (%)",Train (%),Truck (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Bus (%),Ferry (%),Walked only (%),Bicycle (%),"Train, bus (%)",Motorbike/scooter (%),"Bus, car as driver (%)",Other (%),"Car as driver, motorbike/scooter (%)","Car as driver, car as passenger (%)","Train, ferry (%)",Taxi (%),"Train, car as passenger (%)","Bus, other (%)",Tram (%),"Ferry, car as driver (%)","Car as driver, other (%)","Bus, ferry (%)"
Oatley,"2,616",179,96,979,,&nbsp;,"1,222","2,807",,,90,,,,,,,,,,,,,,,,52.1,3.6,1.9,19.5,,&nbsp;,24.4,55.9,,,1.8,,,,,,,,,,,,,,,
Old Guildford,496,57,,86,19,&nbsp;,120,555,,,10,,,,,,,,,,,,,,,,61.6,7.1,,10.7,2.4,&nbsp;,14.9,68.9,,,1.2,,,,,,,,,,,,,,,
Old Toongabbie,866,58,,51,,&nbsp;,168,926,41,,,,24,,,,,,,,,,,,,,65.2,4.4,,3.8,,&nbsp;,12.7,69.8,3.1,,,,1.8,,,,,,,,,,,,,
Ourimbah,"1,283",113,34,108,32,&nbsp;,184,"1,399",,,,,,,,,,,,,,,,,,,61.4,5.4,1.6,5.2,1.5,&nbsp;,8.8,67.0,,,,,,,,,,,,,,,,,,
Oxley Park,750,70,29,68,25,&nbsp;,144,822,,,,,,,,,,,,,,,,,,,64.2,6.0,2.5,5.8,2.1,&nbsp;,12.3,70.3,,,,,,,,,,,,,,,,,,
Oyster Bay,"1,635",95,99,322,,&nbsp;,512,"1,737",,,,,44,,,,,,,,,,,,,,58.3,3.4,3.5,11.5,,&nbsp;,18.3,61.9,,,,,1.6,,,,,,,,,,,,,
Paddington,"2,028",240,,364,,&nbsp;,"2,030","2,266","1,400",,"1,262",,,,,,,,,,,,,,,,28.5,3.4,,5.1,,&nbsp;,28.5,31.8,19.7,,17.7,,,,,,,,,,,,,,,
Padstow,"3,366",230,,954,,&nbsp;,"1,323","3,612",,,111,,106,,,,,,,,,,,,,,57.1,3.9,,16.2,,&nbsp;,22.4,61.3,,,1.9,,1.8,,,,,,,,,,,,,
Padstow Heights,996,62,33,113,31,&nbsp;,216,"1,062",,,,,,,,,,,,,,,,,,,63.1,3.9,2.1,7.2,2.0,&nbsp;,13.7,67.2,,,,,,,,,,,,,,,,,,
Pagewood,959,87,,,,&nbsp;,247,"1,051",175,,46,,26,,,,,,,,,,,,,,58.8,5.3,,,,&nbsp;,15.1,64.4,10.7,,2.8,,1.6,,,,,,,,,,,,,
Palm Beach,422,31,,,,&nbsp;,47,455,37,,34,,,,,6,,,,,,,,,,,56.7,4.2,,,,&nbsp;,6.3,61.3,5.0,,4.6,,,,,0.8,,,,,,,,,,
Panania,"3,164",213,,786,68,&nbsp;,987,"3,383",,,80,,,,,,,,,,,,,,,,60.1,4.0,,14.9,1.3,&nbsp;,18.7,64.3,,,1.5,,,,,,,,,,,,,,,
Parramatta,"3,645",,,"2,461",,&nbsp;,"3,824","4,044",588,,"1,024",,518,,,,,,,,,,,,,,36.6,,,24.7,,&nbsp;,38.4,40.6,5.9,,10.3,,5.2,,,,,,,,,,,,,
Peakhurst,"2,550",153,93,468,,&nbsp;,739,"2,703",,,,,75,,,,,,,,,,,,,,60.1,3.6,2.2,11.0,,&nbsp;,17.4,63.7,,,,,1.8,,,,,,,,,,,,,
Peakhurst Heights,651,41,35,85,,&nbsp;,165,692,,,,,21,,,,,,,,,,,,,,62.7,3.9,3.4,8.2,,&nbsp;,15.9,66.7,,,,,2.0,,,,,,,,,,,,,
Pearl Beach,72,8,6,11,,&nbsp;,27,77,3,,,,,,,,,,,,,,,,,,43.1,4.8,3.6,6.6,,&nbsp;,16.3,46.4,1.8,,,,,,,,,,,,,,,,,
Pelican,260,17,,,5,&nbsp;,8,273,6,,4,,,,,,,,,,,,,,,,73.9,4.8,,,1.4,&nbsp;,2.3,77.8,1.7,,1.1,,,,,,,,,,,,,,,
Pendle Hill,"1,404",123,,564,,&nbsp;,750,"1,532",,,54,,77,,,,,,,,,,,,,,52.2,4.6,,21.0,,&nbsp;,27.9,57.0,,,2.0,,2.9,,,,,,,,,,,,,
Pennant Hills,"1,710",110,,753,,&nbsp;,974,"1,821",59,,107,,,,,,,,,,,,,,,,48.9,3.1,,21.5,,&nbsp;,27.9,52.1,1.7,,3.1,,,,,,,,,,,,,,,
Penrith,"2,870",258,,486,,&nbsp;,795,"3,141",,,285,,99,,,,,,,,,,,,,,55.8,5.0,,9.5,,&nbsp;,15.5,61.1,,,5.5,,1.9,,,,,,,,,,,,,
Penrose,441,38,,14,5,&nbsp;,35,483,16,,,,,,,,,,,,,,,,,,70.3,6.1,,2.2,0.8,&nbsp;,5.6,77.3,2.6,,,,,,,,,,,,,,,,,
Penshurst,"2,651",198,,"1,595",,&nbsp;,"1,956","2,870",,,144,,141,,,,,,,,,,,,,,45.7,3.4,,27.5,,&nbsp;,33.7,49.4,,,2.5,,2.4,,,,,,,,,,,,,
Petersham,"1,562",,,"1,006",,&nbsp;,"1,591","1,684",332,,195,130,,,,,,,,,,,,,,,36.6,,,23.6,,&nbsp;,37.3,39.4,7.8,,4.6,3.0,,,,,,,,,,,,,,
Phillip Bay,184,20,,,3,&nbsp;,24,202,18,,,,3,,,,,,,,,,,,,,61.3,6.7,,,1.0,&nbsp;,8.0,67.6,6.0,,,,1.0,,,,,,,,,,,,,
Picnic Point,"1,842",93,88,244,39,&nbsp;,425,"1,939",,,,,,,,,,,,,,,,,,,63.5,3.2,3.0,8.4,1.3,&nbsp;,14.6,66.8,,,,,,,,,,,,,,,,,,
Plumpton,"2,357",253,81,369,,&nbsp;,695,"2,618",,,,,109,,,,,,,,,,,,,,61.4,6.6,2.1,9.6,,&nbsp;,18.1,68.2,,,,,2.8,,,,,,,,,,,,,
Point Clare,894,61,34,135,,&nbsp;,240,958,,,34,,,,,,,,,,,,,,,,56.8,3.9,2.2,8.6,,&nbsp;,15.3,60.9,,,2.2,,,,,,,,,,,,,,,
Point Frederick,475,44,,52,,&nbsp;,102,519,,,27,,15,,,,,,,,,,,,,,57.9,5.4,,6.3,,&nbsp;,12.4,63.2,,,3.3,,1.8,,,,,,,,,,,,,
Point Piper,306,32,,,,&nbsp;,74,339,,19,26,,18,,,,,,,,,,,,,,51.8,5.4,,,,&nbsp;,12.5,57.4,,3.2,4.4,,3.0,,,,,,,,,,,,,
Port Kembla,"1,171",120,,41,,&nbsp;,93,"1,299",20,,52,,,,,,,,,,,,,,,,65.8,6.7,,2.3,,&nbsp;,5.2,73.0,1.1,,2.9,,,,,,,,,,,,,,,
Potts Point,669,,,920,,&nbsp;,"1,390",755,239,,"1,395",,,,,190,,,,,,,,,,,14.9,,,20.4,,&nbsp;,30.9,16.8,5.3,,31.0,,,,,4.2,,,,,,,,,,
Prairiewood,765,78,,45,26,&nbsp;,131,848,32,,,,,,,,,,,,,,,,,,66.0,6.7,,3.9,2.2,&nbsp;,11.3,73.2,2.8,,,,,,,,,,,,,,,,,
Prestons,"4,518",402,187,360,,&nbsp;,883,"4,933",,,,,107,,,,,,,,,,,,,,67.2,6.0,2.8,5.4,,&nbsp;,13.1,73.4,,,,,1.6,,,,,,,,,,,,,
Primbee,441,36,,6,9,&nbsp;,25,482,8,,,,,,,,,,,,,,,,,,70.2,5.7,,1.0,1.4,&nbsp;,4.0,76.9,1.3,,,,,,,,,,,,,,,,,
Prospect,"1,610",109,48,108,41,&nbsp;,277,"1,726",,,,,,,,,,,,,,,,,,,67.8,4.6,2.0,4.5,1.7,&nbsp;,11.7,72.7,,,,,,,,,,,,,,,,,,
Punchbowl,"3,505",366,,738,,&nbsp;,"1,062","3,880",,,110,,122,,,,,,,,,,,,,,59.1,6.2,,12.4,,&nbsp;,17.9,65.4,,,1.9,,2.1,,,,,,,,,,,,,
Putney,"1,271",92,,,,&nbsp;,293,"1,368",139,30,32,,,,,,,,,,,,,,,,60.4,4.4,,,,&nbsp;,13.9,64.9,6.6,1.4,1.5,,,,,,,,,,,,,,,
Pymble,"2,538",135,131,891,,&nbsp;,"1,214","2,686",,,89,,,,,,,,,,,,,,,,50.6,2.7,2.6,17.8,,&nbsp;,24.2,53.6,,,1.8,,,,,,,,,,,,,,,
Pyrmont,"1,668",186,,318,,&nbsp;,"1,411","1,858",676,,"2,658",,,,,,,,,,,,,,,,23.6,2.6,,4.5,,&nbsp;,20.0,26.3,9.6,,37.6,,,,,,,,,,,,,,,
Quakers Hill,"8,202",692,259,"1,621",,&nbsp;,"2,541","8,925",,,,,243,,,,,,,,,,,,,,60.8,5.1,1.9,12.0,,&nbsp;,18.8,66.2,,,,,1.8,,,,,,,,,,,,,
Queens Park,544,65,,256,,&nbsp;,392,610,72,,114,,,,,,,,,,,,,,,,36.8,4.4,,17.3,,&nbsp;,26.5,41.3,4.9,,7.7,,,,,,,,,,,,,,,
Raby,"2,177",183,60,186,,&nbsp;,357,"2,371",,,,,48,,,,,,,,,,,,,,67.0,5.6,1.8,5.7,,&nbsp;,11.0,73.0,,,,,1.5,,,,,,,,,,,,,
Ramsgate,259,15,,13,,&nbsp;,57,272,,,18,,22,,,,,,,,,,,,,,62.1,3.6,,3.1,,&nbsp;,13.7,65.2,,,4.3,,5.3,,,,,,,,,,,,,
Ramsgate Beach,396,33,23,31,,&nbsp;,118,426,,,,,40,,,,,,,,,,,,,,60.2,5.0,3.5,4.7,,&nbsp;,17.9,64.8,,,,,6.1,,,,,,,,,,,,,
Randwick,"5,754",532,,,,&nbsp;,"4,539","6,297","3,476",,"1,556",,656,,,,,,,,,,,,,,37.5,3.5,,,,&nbsp;,29.6,41.0,22.7,,10.1,,4.3,,,,,,,,,,,,,
Rankin Park,880,60,,,,&nbsp;,16,950,12,,16,,,16,,,,,,,,,,,,,71.4,4.9,,,,&nbsp;,1.3,77.0,1.0,,1.3,,,1.3,,,,,,,,,,,,
Redfern,"1,525",,,"1,103",,&nbsp;,"2,218","1,686",814,,"1,269",367,,,,,,,,,,,,,,,23.1,,,16.7,,&nbsp;,33.6,25.5,12.3,,19.2,5.6,,,,,,,,,,,,,,
Redhead,"1,106",88,,,16,&nbsp;,24,"1,193",17,,,14,,,,,,,,,,,,,,,70.0,5.6,,,1.0,&nbsp;,1.5,75.6,1.1,,,0.9,,,,,,,,,,,,,,
Regents Park,915,85,27,298,,&nbsp;,392,"1,008",,,43,,,,,,,,,,,,,,,,55.5,5.2,1.6,18.1,,&nbsp;,23.8,61.1,,,2.6,,,,,,,,,,,,,,,
Regentville,196,16,,14,15,&nbsp;,21,213,,,7,,,,,,,,,,,,,,,,61.2,5.0,,4.4,4.7,&nbsp;,6.6,67.0,,,2.2,,,,,,,,,,,,,,,
Revesby,"3,258",260,,825,,&nbsp;,"1,163","3,529",84,,124,,,,,,,,,,,,,,,,58.1,4.6,,14.7,,&nbsp;,20.8,63.0,1.5,,2.2,,,,,,,,,,,,,,,
Revesby Heights,433,25,,73,10,&nbsp;,107,459,,,,,12,,,,,,,,,,,,,,61.8,3.6,,10.4,1.4,&nbsp;,15.3,65.6,,,,,1.7,,,,,,,,,,,,,
Rhodes,"1,155",99,,955,,&nbsp;,"1,103","1,255",,,149,,60,,,,,,,,,,,,,,40.7,3.5,,33.7,,&nbsp;,38.9,44.3,,,5.3,,2.1,,,,,,,,,,,,,
Riverstone,"1,781",148,,174,109,&nbsp;,240,"1,940",,,62,,,,,,,,,,,,,,,,62.9,5.2,,6.1,3.9,&nbsp;,8.5,68.6,,,2.2,,,,,,,,,,,,,,,
Riverview,779,49,25,,,&nbsp;,246,832,155,,67,,,,,,,,,,,,,,,,52.0,3.3,1.7,,,&nbsp;,16.4,55.5,10.3,,4.5,,,,,,,,,,,,,,,
Riverwood,"1,885",184,,822,,&nbsp;,"1,077","2,074",,,93,,88,,,,,,,,,,,,,,49.9,4.9,,21.8,,&nbsp;,28.5,54.9,,,2.5,,2.3,,,,,,,,,,,,,
Rockdale,"2,609",275,,"2,184",,&nbsp;,"2,926","2,902",,,274,,331,,,,,,,,,,,,,,37.6,4.0,,31.4,,&nbsp;,42.1,41.8,,,3.9,,4.8,,,,,,,,,,,,,
Rocky Point,88,9,5,,,&nbsp;,9,96,4,,,3,,,,,,,,,,,,,,,71.0,7.3,4.0,,,&nbsp;,7.3,78.0,3.2,,,2.4,,,,,,,,,,,,,,
Rodd Point,349,28,,,,&nbsp;,105,381,71,,,12,,,11,,,,,,,,,,,,55.3,4.4,,,,&nbsp;,16.7,60.4,11.3,,,1.9,,,1.7,,,,,,,,,,,
Rooty Hill,"3,347",444,97,837,,&nbsp;,"1,239","3,795",,,,,143,,,,,,,,,,,,,,56.7,7.5,1.6,14.2,,&nbsp;,21.0,64.2,,,,,2.4,,,,,,,,,,,,,
Rose Bay,"2,195",210,,,,&nbsp;,"1,191","2,409",358,293,,,266,,,,,,,,,,,,,,46.3,4.4,,,,&nbsp;,25.1,50.8,7.5,6.2,,,5.6,,,,,,,,,,,,,
Rosebery,"1,977",237,,,,&nbsp;,"1,020","2,223",696,,201,,137,,,,,,,,,,,,,,48.1,5.8,,,,&nbsp;,24.8,54.1,16.9,,4.9,,3.3,,,,,,,,,,,,,
Roselands,"2,846",232,,387,,&nbsp;,680,"3,085",,,93,,79,,,,,,,,,,,,,,62.6,5.1,,8.5,,&nbsp;,15.0,67.9,,,2.0,,1.7,,,,,,,,,,,,,
Rosemeadow,"2,144",226,76,158,,&nbsp;,443,"2,380",,,,,104,,,,,,,,,,,,,,62.9,6.6,2.2,4.6,,&nbsp;,13.0,69.8,,,,,3.0,,,,,,,,,,,,,
Roseville,"2,008",143,,756,,&nbsp;,"1,121","2,164",208,,137,,,,,,,,,,,,,,,,46.4,3.3,,17.5,,&nbsp;,25.9,50.0,4.8,,3.2,,,,,,,,,,,,,,,
Roseville Chase,376,29,,13,,&nbsp;,133,403,79,,,,,,11,,,,,,,,,,,,50.8,3.9,,1.8,,&nbsp;,17.9,54.4,10.7,,,,,,1.5,,,,,,,,,,,
Rouse Hill,"2,466",151,,47,58,&nbsp;,334,"2,615",155,,,,,,,,,,,,,,,,,,67.4,4.1,,1.3,1.6,&nbsp;,9.1,71.4,4.2,,,,,,,,,,,,,,,,,
Rozelle,"2,003",178,,,,&nbsp;,"1,443","2,192","1,167",,261,,139,,,,,,,,,,,,,,41.0,3.6,,,,&nbsp;,29.5,44.8,23.9,,5.3,,2.8,,,,,,,,,,,,,
Ruse,"1,862",148,86,174,49,&nbsp;,376,"2,009",,,,,,,,,,,,,,,,,,,65.1,5.2,3.0,6.1,1.7,&nbsp;,13.2,70.3,,,,,,,,,,,,,,,,,,
Rushcutters Bay,306,,,274,,&nbsp;,465,336,123,,367,,51,,,,,,,,,,,,,,21.8,,,19.5,,&nbsp;,33.1,23.9,8.7,,26.1,,3.6,,,,,,,,,,,,,
Russell Lea,"1,386",107,,,,&nbsp;,442,"1,493",325,,43,,36,,,,,,,,,,,,,,56.7,4.4,,,,&nbsp;,18.1,61.0,13.3,,1.8,,1.5,,,,,,,,,,,,,
Russell Vale,465,29,,13,9,&nbsp;,34,500,,,10,,,,,,,,,,,,,,,,70.6,4.4,,2.0,1.4,&nbsp;,5.1,75.9,,,1.5,,,,,,,,,,,,,,,
Rydalmere,"1,710",113,,124,,&nbsp;,485,"1,832",136,,,,72,,,,,,,,,,,,,,61.3,4.1,,4.4,,&nbsp;,17.4,65.7,4.9,,,,2.6,,,,,,,,,,,,,
Ryde,"5,989",522,,321,,&nbsp;,"2,175","6,521","1,402",,315,,,,,,,,,,,,,,,,56.5,4.9,,3.0,,&nbsp;,20.5,61.5,13.2,,3.0,,,,,,,,,,,,,,,
Sadleir,507,70,,18,,&nbsp;,84,583,22,,,,17,,,,,,,,,,,,,,63.5,8.8,,2.3,,&nbsp;,10.5,73.1,2.8,,,,2.1,,,,,,,,,,,,,
San Remo,"1,119",126,,17,28,&nbsp;,59,"1,250",15,,,,,,,,,,,,,,,,,,67.8,7.6,,1.0,1.7,&nbsp;,3.6,75.8,0.9,,,,,,,,,,,,,,,,,
Sandringham,295,16,,,,&nbsp;,69,319,17,,13,,22,,,,,,,,,,,,,,60.5,3.3,,,,&nbsp;,14.1,65.1,3.5,,2.7,,4.5,,,,,,,,,,,,,
Sans Souci,"2,789",193,,135,,&nbsp;,595,"2,990",99,,,,209,,,,,,,,,,,,,,63.5,4.4,,3.1,,&nbsp;,13.6,68.1,2.3,,,,4.8,,,,,,,,,,,,,
Saratoga,"1,158",100,33,,25,&nbsp;,109,"1,258",,,17,,,,,,,,,,,,,,,,65.7,5.7,1.9,,1.4,&nbsp;,6.2,71.4,,,1.0,,,,,,,,,,,,,,,
Scarborough,69,3,,8,,&nbsp;,14,70,3,,9,,,,,,,,,,,,,,,,52.3,2.3,,6.1,,&nbsp;,10.6,53.0,2.3,,6.8,,,,,,,,,,,,,,,
Schofields,"1,282",93,,129,51,&nbsp;,205,"1,375",,,29,,,,,,,,,,,,,,,,65.2,4.7,,6.6,2.6,&nbsp;,10.4,69.9,,,1.5,,,,,,,,,,,,,,,
Scotland Island,113,,,,,&nbsp;,76,114,,,18,,,,,33,,,,,,,,26,24,,29.1,,,,,&nbsp;,19.6,29.5,,,4.6,,,,,8.5,,,,,,,,6.7,6.2,
Seaforth,"1,571",121,,,,&nbsp;,640,"1,696",505,,62,,,36,,,,,,,,,,,,,51.0,3.9,,,,&nbsp;,20.8,55.1,16.4,,2.0,,,1.2,,,,,,,,,,,,
Sefton,"1,199",116,29,228,,&nbsp;,317,"1,319",,,,,31,,,,,,,,,,,,,,61.9,6.0,1.5,11.8,,&nbsp;,16.4,68.2,,,,,1.6,,,,,,,,,,,,,
Seven Hills,"5,055",441,168,"1,064",,&nbsp;,"1,708","5,518",153,,,,,,,,,,,,,,,,,,58.9,5.1,2.0,12.4,,&nbsp;,19.9,64.3,1.8,,,,,,,,,,,,,,,,,
Shalvey,642,104,,32,22,&nbsp;,150,751,,,,,44,,,,,,,,,,,,,,58.7,9.5,,2.9,2.0,&nbsp;,13.7,68.7,,,,,4.0,,,,,,,,,,,,,
Shell Cove,"1,413",80,,16,20,&nbsp;,40,"1,502",,,14,,,,,,,,,,,,,,,,75.1,4.3,,0.9,1.1,&nbsp;,2.1,79.7,,,0.7,,,,,,,,,,,,,,,
Shellharbour,"1,104",89,,,24,&nbsp;,38,"1,205",20,,39,,,,,,,,,,,,,,,,69.1,5.6,,,1.5,&nbsp;,2.4,75.5,1.3,,2.4,,,,,,,,,,,,,,,
Shelly Beach,370,39,9,6,,&nbsp;,23,407,,,12,,,,,,,,,,,,,,,,68.4,7.2,1.7,1.1,,&nbsp;,4.3,75.4,,,2.2,,,,,,,,,,,,,,,
Shortland,"1,052",94,,,,&nbsp;,38,"1,152",18,,28,,,19,,,,,,,,,,,,,69.2,6.2,,,,&nbsp;,2.5,75.8,1.2,,1.8,,,1.2,,,,,,,,,,,,
Silverwater,61,3,,4,6,&nbsp;,5,62,,,,,,,,4,,,,,,,,,,,67.0,3.3,,4.4,6.6,&nbsp;,5.4,68.1,,,,,,,,4.4,,,,,,,,,,
Smithfield,"2,560",262,,134,90,&nbsp;,382,"2,833",72,,,,,,,,,,,,,,,,,,65.6,6.7,,3.4,2.3,&nbsp;,9.8,72.6,1.8,,,,,,,,,,,,,,,,,
South Coogee,"1,049",97,,,,&nbsp;,379,"1,149",294,,63,34,,,,,,,,,,,,,,,52.3,4.8,,,,&nbsp;,18.9,57.3,14.7,,3.1,1.7,,,,,,,,,,,,,,
South Granville,732,97,,85,45,&nbsp;,197,831,,,,,39,,,,,,,,,,,,,,56.3,7.5,,6.5,3.5,&nbsp;,15.1,63.9,,,,,3.0,,,,,,,,,,,,,
South Hurstville,"1,191",112,,305,,&nbsp;,528,"1,308",,,68,,105,,,,,,,,,,,,,,53.7,5.0,,13.7,,&nbsp;,23.8,59.0,,,3.1,,4.7,,,,,,,,,,,,,
South Penrith,"3,716",309,94,241,109,&nbsp;,569,"4,052",,,,,,,,,,,,,,,,,,,65.0,5.4,1.6,4.2,1.9,&nbsp;,10.0,70.9,,,,,,,,,,,,,,,,,,
South Turramurra,734,48,72,106,,&nbsp;,275,778,,,,,46,,,,,,,,,,,,,,53.4,3.5,5.2,7.7,,&nbsp;,20.0,56.6,,,,,3.3,,,,,,,,,,,,,
South Wentworthville,"1,454",146,,149,,&nbsp;,384,"1,601",80,,,,80,,,,,,,,,,,,,,61.5,6.2,,6.3,,&nbsp;,16.2,67.7,3.4,,,,3.4,,,,,,,,,,,,,
Speers Point,"1,093",78,,,,&nbsp;,49,"1,176",16,,18,12,,,,,,,,,,,,,,,70.9,5.1,,,,&nbsp;,3.2,76.3,1.0,,1.2,0.8,,,,,,,,,,,,,,
Springfield,"1,182",126,42,67,,&nbsp;,174,"1,311",,,29,,,,,,,,,,,,,,,,62.1,6.6,2.2,3.5,,&nbsp;,9.1,68.9,,,1.5,,,,,,,,,,,,,,,
Springwood,"2,386",157,77,342,,&nbsp;,504,"2,553",,,76,,,,,,,,,,,,,,,,60.1,4.0,1.9,8.6,,&nbsp;,12.7,64.3,,,1.9,,,,,,,,,,,,,,,
St Andrews,"1,762",183,58,240,,&nbsp;,433,"1,951",,,,,59,,,,,,,,,,,,,,61.4,6.4,2.0,8.4,,&nbsp;,15.1,68.0,,,,,2.1,,,,,,,,,,,,,
St Clair,"7,240",618,211,459,185,&nbsp;,"1,074","7,878",,,,,,,,,,,,,,,,,,,67.8,5.8,2.0,4.3,1.7,&nbsp;,10.1,73.8,,,,,,,,,,,,,,,,,,
St Helens Park,"2,051",175,,140,57,&nbsp;,334,"2,235",55,,,,,,,,,,,,,,,,,,67.9,5.8,,4.6,1.9,&nbsp;,11.1,74.0,1.8,,,,,,,,,,,,,,,,,
St Huberts Island,237,8,8,29,7,&nbsp;,48,244,,,,,,,,,,,,,,,,,,,58.5,2.0,2.0,7.2,1.7,&nbsp;,11.9,60.2,,,,,,,,,,,,,,,,,,
St Ives,"4,143",260,342,437,,&nbsp;,"1,260","4,409",185,,,,,,,,,,,,,,,,,,56.8,3.6,4.7,6.0,,&nbsp;,17.3,60.5,2.5,,,,,,,,,,,,,,,,,
St Ives Chase,818,57,64,70,,&nbsp;,240,881,47,,,,,,,,,,,,,,,,,,56.4,3.9,4.4,4.8,,&nbsp;,16.6,60.8,3.2,,,,,,,,,,,,,,,,,
St Johns Park,"1,566",172,60,134,,&nbsp;,325,"1,746",,,,,46,,,,,,,,,,,,,,66.2,7.3,2.5,5.7,,&nbsp;,13.7,73.8,,,,,1.9,,,,,,,,,,,,,
St Leonards,638,,,"1,187",,&nbsp;,"1,461",705,160,,404,,66,,,,,,,,,,,,,,21.9,,,40.7,,&nbsp;,50.1,24.2,5.5,,13.8,,2.3,,,,,,,,,,,,,
St Marys,"2,680",303,,372,,&nbsp;,668,"2,988",,,101,,104,,,,,,,,,,,,,,60.3,6.8,,8.4,,&nbsp;,15.0,67.3,,,2.3,,2.3,,,,,,,,,,,,,
St Peters,600,,,450,,&nbsp;,616,638,91,,105,73,,,,,,,,,,,,,,,34.5,,,25.9,,&nbsp;,35.4,36.7,5.2,,6.0,4.2,,,,,,,,,,,,,,
Stanhope Gardens,"2,494",157,85,98,,&nbsp;,698,"2,653",341,,,,,,,,,,,,,,,,,,63.0,4.0,2.1,2.5,,&nbsp;,17.6,67.0,8.6,,,,,,,,,,,,,,,,,
Stanmore,"1,543",,,934,,&nbsp;,"1,655","1,671",493,,321,163,,,,,,,,,,,,,,,34.0,,,20.6,,&nbsp;,36.4,36.8,10.9,,7.1,3.6,,,,,,,,,,,,,,
Stockton,993,80,,,,&nbsp;,146,"1,084",,61,73,27,,,,,,,,,,,,,,,59.6,4.8,,,,&nbsp;,8.8,65.1,,3.7,4.4,1.6,,,,,,,,,,,,,,
Strathfield,"4,874",470,,"2,831",,&nbsp;,"4,027","5,355",,,380,,587,,,,,,,,,,,,,,43.2,4.2,,25.1,,&nbsp;,35.7,47.5,,,3.4,,5.2,,,,,,,,,,,,,
Strathfield South,842,55,,113,,&nbsp;,397,893,55,,,,148,,,,,,,,,,,,,,53.3,3.5,,7.1,,&nbsp;,25.1,56.5,3.5,,,,9.4,,,,,,,,,,,,,
Summer Hill,"1,272",,,"1,258",,&nbsp;,"1,596","1,368",103,,170,,144,,,,,,,,,,,,,,33.8,,,33.5,,&nbsp;,42.5,36.4,2.7,,4.5,,3.8,,,,,,,,,,,,,
Surry Hills,"1,629",,,"1,283",,&nbsp;,"2,831","1,791","1,203",,"3,082",296,,,,,,,,,,,,,,,17.4,,,13.7,,&nbsp;,30.2,19.1,12.8,,32.9,3.2,,,,,,,,,,,,,,
Sutherland,"2,732",177,,"1,222",,&nbsp;,"1,438","2,916",,,144,,77,,,,,,,,,,,,,,50.7,3.3,,22.7,,&nbsp;,26.7,54.1,,,2.7,,1.4,,,,,,,,,,,,,
Swansea,"1,112",96,,,28,&nbsp;,41,"1,209",32,,28,,,,,,,,,,,,,,,,68.3,5.9,,,1.7,&nbsp;,2.5,74.2,2.0,,1.7,,,,,,,,,,,,,,,
Swansea Heads,202,19,,,7,&nbsp;,8,219,,,5,,,,,,,5,,,,,,,,,68.7,6.5,,,2.4,&nbsp;,2.7,74.2,,,1.7,,,,,,,1.7,,,,,,,,
Sydenham,213,,,170,,&nbsp;,222,229,20,,30,,22,,,,,,,,,,,,,,37.0,,,29.5,,&nbsp;,38.4,39.8,3.5,,5.2,,3.8,,,,,,,,,,,,,
Sydney,695,,,939,,&nbsp;,"1,939",801,769,,"3,599",,122,,,,,,,,,,,,,,9.5,,,12.9,,&nbsp;,26.6,11.0,10.5,,49.3,,1.7,,,,,,,,,,,,,
Sylvania,"2,873",179,121,139,,&nbsp;,497,"3,063",,,,,130,,,,,,,,,,,,,,64.1,4.0,2.7,3.1,,&nbsp;,11.1,68.3,,,,,2.9,,,,,,,,,,,,,
Sylvania Waters,"1,020",87,39,64,,&nbsp;,154,"1,105",,,27,,,,,,,,,,,,,,,,65.4,5.6,2.5,4.1,,&nbsp;,9.9,70.9,,,1.7,,,,,,,,,,,,,,,
Tacoma,249,21,,9,9,&nbsp;,25,269,,7,,,,,,,,,,,,,,,,,65.5,5.5,,2.4,2.4,&nbsp;,6.6,71.0,,1.8,,,,,,,,,,,,,,,,
Tacoma South,90,5,,5,,&nbsp;,6,98,0,,,,,,,,,,,,4,,,,,,70.9,3.9,,3.9,,&nbsp;,4.7,76.0,0.0,,,,,,,,,,,,3.1,,,,,
Tamarama,320,,,,,&nbsp;,228,349,58,,33,30,121,,,,,,,,,,,,,,40.7,,,,,&nbsp;,28.9,44.3,7.4,,4.2,3.8,15.4,,,,,,,,,,,,,
Taren Point,405,32,24,20,,&nbsp;,60,433,,,11,,,,,,,,,,,,,,,,65.5,5.2,3.9,3.2,,&nbsp;,9.7,70.3,,,1.8,,,,,,,,,,,,,,,
Tarrawanna,519,53,,16,12,&nbsp;,35,578,10,,,,,,,,,,,,,,,,,,65.2,6.7,,2.0,1.5,&nbsp;,4.4,72.6,1.3,,,,,,,,,,,,,,,,,
Tascott,355,27,,123,8,&nbsp;,147,382,,,,,,,,8,,,,,,,,,,,50.4,3.8,,17.5,1.1,&nbsp;,20.9,54.3,,,,,,,,1.1,,,,,,,,,,
