,English,Australian,Scottish,Irish,German,Lebanese,Welsh,French,Dutch,Italian,Indian,Australian Aboriginal,Greek,New Zealander,Maori,Australian South Sea Islander,American,Norwegian,Chinese,Maltese,Hungarian,Colombian,Danish,Austrian,South African,"British, nec",Vietnamese,Tongan,Latvian,Egyptian,Polish,Ukrainian,Portuguese,Macedonian,Turkish,Indonesian,Japanese,Filipino,Thai,Korean,Swiss,Afghan,Slovak,Mauritian,Czech,Serbian,Samoan,Pakistani,Bangladeshi,Russian,Syrian,Nepalese,Mongolian,Iranian,Armenian,Assyrian,Iraqi,Sri Lankan,Croatian,Chaldean,Khmer (Cambodian,English (%),Australian (%),Scottish (%),Irish (%),German (%),Lebanese (%),Welsh (%),French (%),Dutch (%),Italian (%),Indian (%),Australian Aboriginal (%),Greek (%),New Zealander (%),Maori (%),Australian South Sea Islander (%),American (%),Norwegian (%),Chinese (%),Maltese (%),Hungarian (%),Colombian (%),Danish (%),Austrian (%),South African (%),"British, nec (%)",Vietnamese (%),Tongan (%),Latvian (%),Egyptian (%),Polish (%),Ukrainian (%),Portuguese (%),Macedonian (%),Turkish (%),Indonesian (%),Japanese (%),Filipino (%),Thai (%),Korean (%),Swiss (%),Afghan (%),Slovak (%),Mauritian (%),Czech (%),Serbian (%),Samoan (%),Pakistani (%),Bangladeshi (%),Russian (%),Syrian (%),Nepalese (%),Mongolian (%),Iranian (%),Armenian (%),Assyrian (%),Iraqi (%),Sri Lankan (%),Croatian (%),Chaldean (%),Khmer (Cambodian (%),SSC_CODE
Kalkite,90,73,19,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,26.4,6.9,10.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12052
Crackenback,71,76,19,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,31.8,7.9,5.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11103
Jindabyne,"1,037","1,045",329,302,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,28.3,8.9,8.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12030
East Jindabyne,280,278,98,77,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,28.4,10.0,7.9,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11352
Dalgety,97,85,24,22,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,32.1,9.1,8.3,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11190
Moonbah,189,299,66,80,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,38.6,8.5,10.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12698
Catalina,981,"1,002",284,310,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,31.5,8.9,9.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10853
Batemans Bay,571,590,158,198,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,29.8,8.0,10.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10229
Nelligen,142,143,38,50,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,31.8,8.5,11.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12920
Long Beach,600,605,147,219,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.4,7.4,11.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12376
